# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editorial ^jj+atrb+++=EDITORIAL
contentment ^nn+nom+++=contentment.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
the ^ati++++=the
locking ^jj+atrb+++=locking
pin ^nn++++=pin
on ^rp++++=on
Press ^nn++++=Press
Four ^cd++++=Four
cracked ^jj+++xvbn+=cracked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
press ^nn++++=press
came ^vbd+++xvbn+=came
down ^rp++++=down
while ^cs+sub+++=while
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
clearing ^vbg+++xvbgx+=clearing
cloth ^nn++++=cloth
from ^in++++=from
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
left ^jj+++xvbn+=left
arm ^vb++++=arm
remained ^vbd+++xvbn+=remained
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
came ^vbd+++xvbn+=came
away ^rp+pl+++=away
on ^in++++=on
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
foreman ^nn++++=foreman
wrapped ^vbd+++xvbn+=wrapped
the ^ati++++=the
stump ^nn++++=stump
in ^in++++=in
waste ^nn++++=waste
cotton ^np++++=cotton
and ^cc++++=and
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
barrack ^nn++++=barrack
infirmary ^npl+nom+++=infirmary.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arm ^nn++++=arm
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
a ^at++++=a
scrap ^nn++++=scrap
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
did ^vbd+dod+aux++=did
not ^xnot++not++=not
die ^vb++++=die.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
troublesome ^jj++++=troublesome.
. ^zz++++=EXTRAWORD
Ann ^np++++=Ann
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
Relief ^nn++++=Relief
Office ^nn++++=Office.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain
from ^in++++=from
sunrise ^nn++++=sunrise
until ^in++++=until
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
picking ^vbg+++xvbg+=picking
his ^pp$+pp3+++=his
gold ^nn++++=gold
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
aid ^nn++++=aid,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
aid ^nn++++=aid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
money ^nn++++=money
deducted ^vwbn+++xvbn+=deducted
for ^in++++=for
injury ^nn++++=injury."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
husband ^nn++++=husband
damaged ^vbd+++xvbn+=damaged
company ^nn++++=company
machinery ^nn+nom+++=machinery
through ^in++++=through
carelessness ^nns+nom+++=carelessness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
owes ^vbz++++=owes
nine ^cd++++=nine
months ^nns++++=months'
' ^zz++++=EXTRAWORD
wages ^nns++++=wages
for ^in++++=for
interruption ^nn+nom+++=interruption
of ^in++++=of
production ^nn+nom+++=production."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ann ^np++++=Ann
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
the ^ati++++=the
blood ^nn++++=blood
upon ^in++++=upon
her ^pp$+pp3+++=her
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
that ^dt+dem+++=that
rag ^nn++++=rag
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move
quickly ^rb++++=quickly
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
struck ^vbd+++xvbnx+=struck
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workers ^nns+nom+++=workers
heard ^vbd+vprv++xvbn+=heard.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gathered ^vbd+++xvbnx+=gathered
before ^in++++=before
the ^ati++++=the
office ^nn++++=office
after ^in++++=after
the ^ati++++=the
evening ^nn++++=evening
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
rebellion ^nn++++=rebellion
do ^vb+do+aux++=do
not ^xnot++not++=not
imagine ^vb+vprv+++=imagine
banners ^nns+nom+++=banners
and ^cc++++=and
guns ^nns++++=guns
but ^cc++++=but
in ^cs+sub+++=in
that ^cs"++++=that
hesitant ^jj+atrb+++=hesitant
manner ^nn++++=manner
of ^in++++=of
slaves ^nns++++=slaves
who ^whp+rel+subj++=who
know ^vb+vprv+tht0++=know
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
right ^jj+pred+++=right
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
trained ^vpsv++agls+xvbnx+=trained
to ^to++++=to
apologize ^vbi++++=apologize
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
asked ^vbd+vsua++xvbnx+=asked
for ^in+ppvb+++=for
the ^ati++++=the
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
asked ^vbd+vsua++xvbn+=asked
which ^wdt+who+whcl++=which
of ^in++++=of
them ^pp3o+pp3+++=them
could ^md+pos+++=could
read ^vb+vprv++xvbn+=read
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
man ^nn++++=man
stepped ^vbd+++xvbn+=stepped
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
call ^vb++++=call
him ^pp3o+pp3+++=him
Elias ^np+++??+=Elias,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
name ^nn++++=name
under ^in++++=under
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
registered ^vpsv++agls+xvbnx+=registered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
read ^vb+vprv++xvbn+=read
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
A ^at++++=A
dangerous ^jj+atrb+++=dangerous
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
ordered ^vbd+++xvbn+=ordered
him ^pp3o+pp3+++=him
seized ^vbd+++xvbn+=seized.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
discipline ^nn++++=discipline
shed ^vbd+++xvbn+=shed
and ^cc+phrs+++=and
beat ^vbd+++xvbn+=beat
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
braided ^jj+atrb+++=braided
transmission ^nn++++=transmission
belt ^nn++++=belt.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
beat ^vbd+++xvbnx+=beat
him ^pp3o+pp3+++=him
until ^cs+sub+++=until
Clancy ^np+++??+=Clancy
grew ^vbd+++xvbn+=grew
bored ^vbd+++xvbn+=bored
and ^cc++++=and
Munster ^np+nom++??+=Munster
grew ^vbd+++xvbn+=grew
hungry ^jj++++=hungry.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
threw ^vbd+++xvbnx+=threw
him ^pp3o+pp3+++=him
beside ^in+pl+++=beside
the ^ati++++=the
ash ^nn++++=ash
heaps ^nns++++=heaps
with ^in++++=with
three ^cd++++=three
broken ^xvbn+++xvbn+=broken
ribs ^nns++++=ribs,
, ^zz++++=EXTRAWORD
a ^at++++=a
split ^nn+++xvbn+=split
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bleeding ^nvbg+++xvbg+=bleeding
deep ^jj++++=deep
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
bleeding ^nvbg+++xvbg+=bleeding
an ^at++++=an
overseer ^nn+nom+++=overseer
likes ^nns++++=likes
because ^cs+cos+++=because
it ^pp3+it+++=it
leaves ^nns++++=leaves
less ^rbr++++=less
stain ^nn++++=stain
upon ^in++++=upon
company ^nn++++=company
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Elias ^np+++??+=Elias
lived ^vbd+++xvbn+=lived
through ^in++++=through
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
packing ^jj+atrb++xvbg+=packing
room ^nn++++=room.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
schoolteacher ^nn+nom+++=schoolteacher
before ^in++++=before
the ^ati++++=the
Education ^nn+nom+++=Education
Restrictions ^nns+nom+++=Restrictions.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
taught ^vbd+vsua++xvbnx+=taught
him ^pp3o+pp3+++=him
with ^in++++=with
labels ^nns++++=labels
cut ^vbd+++xvbn+=cut
from ^in++++=from
chemical ^jj+atrb+++=chemical
drums ^nns++++=drums
and ^cc++++=and
scraps ^nns++++=scraps
of ^in++++=of
shipping ^nn++++=shipping
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Caustic ^jj++++=CAUSTIC.
. ^zz++++=EXTRAWORD
Export ^nn++++=EXPORT.
. ^zz++++=EXTRAWORD
Property ^nn++++=PROPERTY.
. ^zz++++=EXTRAWORD
Death ^nn++++=DEATH.
. ^zz++++=EXTRAWORD
A ^at++++=A
small ^jj+atrb+++=small
vocabulary ^nn+nom+++=vocabulary,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
describe ^vbi++++=describe
a ^at++++=a
factory ^nn++++=factory.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
obtained ^vwbn+++xvbn+=obtained
ink ^nn++++=ink
from ^in++++=from
a ^at++++=a
tally ^nn++++=tally
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
obtained ^vbd+++xvbnx+=obtained
paper ^nn++++=paper
from ^in++++=from
the ^ati++++=the
wrapper ^nn++++=wrapper
of ^in++++=of
a ^at++++=a
machine ^nn++++=machine
part ^nn++++=part.
. ^zz++++=EXTRAWORD
Lying ^vbg+++xvbg+=Lying
upon ^in++++=upon
his ^pp$+pp3+++=his
stomach ^nn++++=stomach
because ^cs+cos+++=because
his ^pp$+pp3+++=his
broken ^xvbn+++xvbn+=broken
ribs ^nns++++=ribs
would ^md+prd+++=would
not ^xnot++not++=not
permit ^vb++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
sit ^vbi++++=sit,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
a ^at++++=a
petition ^nn+nom+++=petition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
of ^in++++=of
the ^ati++++=the
stolen ^jj+atrb++xvbn+=stolen
deductions ^nns+nom+++=deductions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
of ^in++++=of
Tom ^np++++=Tom
Dixon ^np++++=Dixon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
eleven ^cd++++=eleven
children ^nns++++=children
killed ^vbd+++xvbn+=killed
in ^in++++=in
the ^ati++++=the
spinning ^jj+atrb++xvbg+=spinning
room ^nn++++=room
and ^cc++++=and
denied ^vbd+vpub++xvbn+=denied
burial ^nn++++=burial
money ^nn++++=money.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
of ^in++++=of
Munster ^np+nom+++=Munster's
's ^$++++=EXTRAWORD
green ^nn++++=green
bath ^np++++=bath
and ^cc++++=and
Clancy ^np++++=Clancy's
's ^$++++=EXTRAWORD
golden ^jj+atrb+++=golden
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
who ^whp+who+++=who
would ^md+prd+++=would
carry ^vb++++=carry
the ^ati++++=the
petition ^nn+nom+++=petition
to ^in++++=to
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
volunteered ^vprf+++xvbn+=volunteered.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
condemn ^vb++++=condemn
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
Courage ^nn+nom+++=Courage
is ^vbz+bez+vrb++=is
easy ^jj+pred+++=easy
in ^in++++=in
a ^at++++=a
warm ^jj+atrb+++=warm
tale ^nn++++=tale
told ^vbd+vpub++xvbn+=told
long ^rb++++=long
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
At ^in++++=At
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
a ^at++++=a
slave ^nn++++=slave
found ^vbd+vprv++xvbn+=found
with ^in++++=with
writing ^xvbg+++xvbg+=writing
could ^md+pos+++=could
be ^vb+be+aux++=be
blinded ^vpsv++agls+xvbnx+=blinded.
. ^zz++++=EXTRAWORD
A ^at++++=A
slave ^nn++++=slave
approaching ^vwbg+++xvbg+=approaching
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
palace ^nn++++=palace
without ^in++++=without
a ^at++++=a
pass ^nn++++=pass
could ^md+pos+++=could
be ^vb+be+aux++=be
shot ^vpsv++agls+xvbnx+=shot
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
outer ^jjb+atrb+++=outer
hedge ^nn++++=hedge.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
man ^nn++++=man
had ^vb+hv+vrb++=had
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
a ^at++++=a
life ^nn++++=life
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
miserable ^jj+pred+++=miserable
but ^cc++++=but
still ^rb++++=still
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
carry ^vb++++=carry
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
walk ^vb++++=walk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ann ^np++++=Ann
Dixon ^np++++=Dixon
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
walk ^vb++++=walk
once ^rb+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now,
, ^zz++++=EXTRAWORD
each ^dt++++=each
spring ^vb++++=spring
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
offered ^vbd+++xvbn+=offered
a ^at++++=a
silver ^nn++++=silver
medal ^nn++++=medal
for ^in++++=for
the ^ati++++=the
finest ^jjt+atrb+++=finest
strawberries ^nns++++=strawberries
grown ^vbd+++xvbn+=grown
upon ^in++++=upon
his ^pp$+pp3+++=his
estates ^nns+nom+++=estates.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pleased ^jj+++xvbn+=pleased
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bred ^jj+atrb+++=bred
strawberries ^nns++++=strawberries
as ^in++++=as
other ^ap++++=other
men ^nns++++=men
bred ^jj+atrb+++=bred
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spoke ^vbd+++xvbn+=spoke
more ^rbr++++=more
tenderly ^rb++++=tenderly
of ^in++++=of
their ^pp$+pp3+++=their
bruises ^nns++++=bruises
than ^in++++=than
of ^in++++=of
injuries ^nns++++=injuries
among ^in++++=among
his ^pp$+pp3+++=his
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
A ^at++++=A
gardener ^nn+nom+++=gardener
at ^in++++=at
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^jjb++++=Bottom
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
a ^at++++=a
new ^jj+atrb+++=new
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
white ^jj++++=white
at ^rb++++=at
the ^ati++++=the
crown ^nn++++=crown
and ^cc++++=and
crimson ^nn+++??+=crimson
below ^rb++++=below,
, ^zz++++=EXTRAWORD
each ^ppls++++=each
berry ^np++++=berry
large ^jj++++=large
as ^in++++=as
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
fist ^nn++++=fist.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
delivered ^vpsv++agls+xvbnx+=delivered
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace
in ^in++++=in
a ^at++++=a
cedar ^nn++++=cedar
basket ^nn++++=basket
lined ^vbd+++xvbn+=lined
with ^in++++=with
blue ^jj+atrb+++=blue
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
scrap ^nn++++=scrap
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
arm ^vb++++=arm
still ^jj+pred+++=still
lay ^jjb+++xvbn+=lay
in ^in++++=in
the ^ati++++=the
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
white ^nn++++=white
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
blood ^nn++++=blood
had ^vbd+hvd+aux++=had
drained ^vprf+++xvbnx+=drained
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
crushed ^xvbn+++xvbn+=crushed
above ^jjb++++=above
the ^ati++++=the
elbow ^nn++++=elbow
and ^cc++++=and
blackened ^jj++++=blackened
at ^in++++=at
the ^ati++++=the
torn ^xvbn+++xvbn+=torn
end ^np++++=end.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
fingers ^nns+nom+++=fingers
bent ^vbd+++xvbn+=bent
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
loom ^nn++++=loom
injury ^nn++++=injury.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=Elias
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
washroom ^nn+++??+=washroom
and ^cc++++=and
cleaned ^vbd+++xvbn+=cleaned
away ^rp+pl+++=away
the ^ati++++=the
grease ^nn++++=grease.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
well ^rb++++=well
washed ^vbd+++xvbn+=washed,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
must ^md+nec+++=must
be ^vb+be+vrb++=be
neat ^jj+pred+++=neat
when ^wrb+who+++=when
presenting ^vbg+++xvbg+=presenting
a ^at++++=a
grievance ^nn+nom+++=grievance
to ^in++++=to
a ^at++++=a
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dressed ^vbd+++xvbnx+=dressed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
gardener ^nn+nom+++=gardener's
's ^vbz+bez+vrb++0=EXTRAWORD
spare ^jj+atrb+++=spare
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
the ^ati++++=the
strawberries ^nns++++=strawberries
in ^in++++=in
the ^ati++++=the
cedar ^nn++++=cedar
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
red ^jj++++=red
and ^cc+phrs+++=and
shining ^jj+++xvbg+=shining,
, ^zz++++=EXTRAWORD
fruit ^nn++++=fruit
fit ^nn++++=fit
for ^in++++=for
the ^ati++++=the
tongue ^nn++++=tongue
of ^in++++=of
a ^at++++=a
master ^nn++++=master.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
midst ^nn++++=midst
he ^pp3a+pp3+++=he
laid ^vbd+++xvbnx+=laid
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
folded ^vbd+++xvbnx+=folded
the ^ati++++=the
petition ^nn+nom+++=petition
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
dead ^jj+atrb+++=dead
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
As ^ql++++=As
those ^dt+dem+++=those
fingers ^nns+nom+++=fingers
would ^md+prd+++=would
not ^xnot++not++=not
willingly ^rb++++=willingly
hold ^vb+vprv+++=hold
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tied ^vbd+++xvbnx+=tied
them ^pp3o+pp3+++=them
shut ^vbd+++xvbn+=shut
with ^in++++=with
white ^jj+atrb+++=white
thread ^nn++++=thread.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood-red
- ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
berries ^nns++++=berries.
. ^zz++++=EXTRAWORD
A ^at++++=A
bloodless ^jj+atrb+++=bloodless
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Black ^jj+atrb+++=Black
words ^nns++++=words
upon ^in++++=upon
brown ^jj+atrb+++=brown
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Body ^nn++++=Body
and ^cc++++=and
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn
Elias ^np+++??+=Elias
drove ^vbd+++xvbn+=drove
the ^ati++++=the
gardener ^nn+nom+++=gardener's
's ^$++++=EXTRAWORD
cart ^nn++++=cart
toward ^in++++=toward
the ^ati++++=the
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guards ^nns++++=guards
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
silver ^nn++++=silver
V ^zz++++=V
stamped ^vwbn+++xvbn+=stamped
upon ^in++++=upon
the ^ati++++=the
basket ^nn++++=basket
cloth ^nn++++=cloth
and ^cc++++=and
waved ^vbd+++xvbn+=waved
him ^pp3o+pp3+++=him
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
A ^at++++=A
poor ^jj+atrb+++=poor
man ^nn++++=man
carrying ^vwbg+++xvbg+=carrying
nothing ^pn++++=nothing
is ^vbz+bez+vrb++=is
suspicious ^jj+pred+++=suspicious.
. ^zz++++=EXTRAWORD
A ^at++++=A
poor ^jj+atrb+++=poor
man ^nn++++=man
carrying ^vwbg+++xvbg+=carrying
luxury ^nn++++=luxury
to ^in++++=to
a ^at++++=a
rich ^jj+atrb+++=rich
man ^nn++++=man
is ^vbz+bez+vrb++=is
invisible ^jj+pred+++=invisible.
