# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
two ^cd++++=two
lines ^nns++++=lines
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
bored ^vbd+++xvbn+=bored.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
cream ^nn++++=cream
at ^in++++=at
breakfast ^nn++++=breakfast
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
warm ^vb++++=warm
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
The ^ati++++=The
motives ^nns++++=motives
of ^in++++=of
masters ^nns+nom+++=masters
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded
with ^in++++=with
great ^jj+atrb+++=great
care ^nn++++=care
when ^wrb+who+++=when
those ^dt+dem+++=those
motives ^nns++++=motives
excuse ^nn++++=excuse
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
neglect ^nn++++=neglect
is ^vbz+bez+aux++=is
seldom ^rb++splt++=seldom
recorded ^vpsv++agls+xvbnx+=recorded
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
and ^cc++++=and
Munster ^np+nom++??+=Munster
assembled ^vbd+++xvbn+=assembled
the ^ati++++=the
petitioners ^nns+nom+++=petitioners
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
complained ^vprf+++xvbnx+=complained
of ^in++++=of
our ^pp$+pp1+++=our
management ^nn+nom+++=management,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
improve ^vb++++=improve
your ^pp$+pp2+++=your
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
yourselves ^ppls+pp2+++=yourselves
what ^wdt+who+++=what
form ^nn++++=form
such ^abl++++=such
improvement ^nn+nom+++=improvement
takes ^vbz++++=takes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forty ^cd++++=forty
were ^vbd+bed+aux++=were
beaten ^vpsv++agls+xvbnx+=beaten.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^nn++++=old
received ^vbd+++xvbn+=received
fewer ^ap++++=fewer
strokes ^nns+++??+=strokes
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
feared ^vpsv++tht0+xvbnx+=feared
they ^pp3a+pp3+++=they
might ^md+pos+++=might
die ^vb++++=die
too ^rb++++=too
quickly ^rb++++=quickly;
; ^zz++++=EXTRAWORD
the ^ati++++=the
strong ^nn++++=strong
received ^vbd+++xvbn+=received
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
literate ^jj+atrb+++=literate
slave ^nn++++=slave
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
the ^ati++++=the
words ^nns++++=words
was ^vbd+bedz+aux++=was
punished ^vpsv++agls+xvbnx+=punished
worst ^jjt++++=worst
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Munster ^np+nom++??+=Munster
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
not ^xnot++not++=not
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
beat ^vbd+++xvbnx+=beat
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
broke ^j+++xvbn+=broke
two ^cd++++=two
ribs ^nns++++=ribs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crushed ^jj+++xvbn+=crushed
the ^ati++++=the
fingers ^nns+nom+++=fingers
of ^in++++=of
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
something ^pn++++=something
within ^in++++=within
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
injured ^vpsv++agls+xvbnx+=injured
past ^jjb+atrb+++=past
repair ^nn++++=repair.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
day ^nn++++=day
he ^pp3a+pp3+++=he
coughed ^vbd+++xvbnx+=coughed
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grew ^vbd+++xvbnx+=grew
thinner ^jjr++++=thinner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
worked ^vbd+++xvbn+=worked,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
dying ^jj+atrb++xvbg+=dying
slave ^nn++++=slave
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
work ^vb++++=work
until ^cs+sub+++=until
the ^ati++++=the
hour ^nn++++=hour
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
ceases ^vbz++++=ceases
to ^to++++=to
be ^vbi++vrb++=be
profitable ^jj+pred+++=profitable.
. ^zz++++=EXTRAWORD
Weeks ^nns++++=Weeks
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Tom ^np++++=Tom
Dixon ^np++++=Dixon
lost ^vbd+++xvbn+=lost
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
worked ^vbd+++xvbn+=worked
in ^in++++=in
the ^ati++++=the
third ^od++++=third
spinning ^vbg+++xvbg+=spinning
hall ^npl++++=hall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
quiet ^jj+atrb+++=quiet
man ^nn++++=man,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
in ^in++++=in
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
wife ^nn++++=wife
and ^cc++++=and
two ^cd++++=two
small ^jj+atrb+++=small
sons ^nns++++=sons.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
a ^at++++=a
belt ^nn++++=belt
began ^vbd+++xvbn+=began
to ^to++++=to
slip ^vbi++++=slip
from ^in++++=from
the ^ati++++=the
upper ^nn++++=upper
wheel ^vb++++=wheel.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
called ^vbd+++xvbn+=called
for ^in+ppvb+++=for
the ^ati++++=the
line ^nn++++=line
to ^to++++=to
be ^vbi+vbi+aux++=be
stopped ^vpsv++agls+xvbnx+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
captain ^npt++++=captain
refused ^vbd+++xvbn+=refused
because ^cs+cos+++=because
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
count ^nn++++=count
was ^vbd+bedz+vrb++=was
already ^rb++++=already
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
frame ^nn++++=frame
while ^cs+sub+++=while
it ^pp3+it+++=it
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
belt ^nn++++=belt
caught ^vbd+++xvbn+=caught
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
right ^jj++++=right
arm ^vb++++=arm
went ^vbd+++xvbn+=went
between ^in++++=between
belt ^nn++++=belt
and ^cc++++=and
wheel ^nn++++=wheel.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
cut ^vb+++xvbn+=cut
cleanly ^rb++++=cleanly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
machinery ^nn+nom+++=machinery
pulled ^vbd+++xvbn+=pulled
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
twisted ^j+++xvbn+=twisted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tore ^vbd+++xvbn+=tore
the ^ati++++=the
arm ^nn++++=arm
from ^in++++=from
its ^pp$+it+++=its
socket ^nn++++=socket.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
then ^rn+tm+++=then
was ^vbd+bedz+vrb++=was
the ^ati++++=the
line ^nn++++=line
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
carried ^vbd+++xvbnx+=carried
Tom ^np++++=Tom
to ^in++++=to
the ^ati++++=the
factory ^nn++++=factory
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surgeon ^nn++++=surgeon
burned ^vbd+++xvbn+=burned
the ^ati++++=the
wound ^nn++++=wound
shut ^vbd+++xvbn+=shut
and ^cc+phrs+++=and
ordered ^vbd+++xvbn+=ordered
him ^pp3o+pp3+++=him
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
severed ^nn++++=severed
arm ^vb++++=arm
was ^vbd+bedz+aux++=was
thrown ^vpsv++agls+xvbnx+=thrown
upon ^in++++=upon
a ^at++++=a
scrap ^nn++++=scrap
cart ^nn++++=cart.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
applied ^vwbn+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
relief ^nn++++=relief
fund ^nn++++=fund.
. ^zz++++=EXTRAWORD
Clancy ^np+++??+=Clancy
refused ^vbd+++xvbn+=refused
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
injured ^vbd+++xvbnx+=injured
himself ^ppl+pp3+++=himself
by ^in++++=by
careless ^jj+atrb+++=careless
conduct ^nn++++=conduct,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Clancy ^np+++??+=Clancy.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
lay ^vbd+++xvbn+=lay
white ^jj++++=white-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
sack ^nn++++=sack
filled ^vbd+++xvbn+=filled
with ^in++++=with
straw ^nn++++=straw.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
children ^nns++++=children
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
shake ^nn++++=shake.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
no ^at++++=no
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
three ^cd++++=three
days ^nns++++=days
no ^at++++=no
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
The ^ati++++=The
literate ^jj+atrb+++=literate
slave ^nn++++=slave
visited ^vbd+++xvbn+=visited
him ^pp3o+pp3+++=him
at ^in++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
death ^nn++++=death
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
breath ^nn++++=breath
rattled ^vwbn+++xvbn+=rattled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
beside ^in+pl+++=beside
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
blood ^nn++++=blood
darkened ^vbd+++xvbn+=darkened
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
begged ^vbd+++xvbn+=begged.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
kill ^vb++++=kill
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slave ^nn++++=slave
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
sorry ^uh++++=sorry
all ^abn++++=all
my ^pp$+pp1+++=my
life ^nn++++=life
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not
be ^vb+be+vrb++=be
sorry ^jj++++=sorry
to ^to+jcmp+++=to
die ^vbi++++=die
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can
make ^vb++++=make
them ^pp3o+pp3+++=them
look ^nn++++=look."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
were ^vbd+bed+vrb++=were
his ^pp$+pp3+++=his
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
another ^dt++++=another
petition ^nn+nom+++=petition
with ^in++++=with
his ^pp$+pp3+++=his
unbroken ^jj+atrb+++=unbroken
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
trust ^vb+vprv+++=trust
a ^at++++=a
guard ^nn++++=guard,
, ^zz++++=EXTRAWORD
a ^at++++=a
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
messenger ^nn+nom+++=messenger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
words ^nns++++=words
sent ^vwbn+++xvbn+=sent
by ^in++++=by
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
road ^npl++++=road
return ^vb++++=return
to ^in++++=to
slaves ^nns++++=slaves
as ^ql++++=as
blows ^nns++++=blows.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
carry ^vbi++++=carry
the ^ati++++=the
words ^nns++++=words
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
possessed ^vbd+++xvbn+=possessed,
, ^zz++++=EXTRAWORD
among ^in++++=among
his ^pp$+pp3+++=his
many ^ap++++=many
luxuries ^nns++++=luxuries,
, ^zz++++=EXTRAWORD
a ^at++++=a
passion ^nn++++=passion
for ^in++++=for
strawberries ^nns++++=strawberries.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
small ^jj+atrb+++=small
berries ^nns++++=berries
grown ^vbd+++xvbn+=grown
in ^in++++=in
common ^jj+atrb+++=common
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
great ^jj+atrb+++=great
scarlet ^jj+atrb+++=scarlet
kind ^nn++++=kind
cultivated ^vbd+++xvbn+=cultivated
under ^in++++=under
glass ^nn++++=glass
in ^in++++=in
the ^ati++++=the
southern ^jj+atrb+++=southern
farm ^nn++++=farm
district ^nn++++=district.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gardeners ^nns+nom+++=gardeners
warmed ^vwbn+++xvbn+=warmed
the ^ati++++=the
earth ^nn++++=earth
with ^in++++=with
buried ^jj+atrb++xvbn+=buried
pipes ^nns++++=pipes
throughout ^in++++=throughout
the ^ati++++=the
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
workers ^nns+nom+++=workers
tended ^vbd+++xvbn+=tended
the ^ati++++=the
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
others ^aps++++=others
guarded ^jj+++xvbn+=guarded
them ^pp3o+pp3+++=them
from ^in++++=from
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
season ^nn++++=season,
, ^zz++++=EXTRAWORD
a ^at++++=a
tray ^nn++++=tray
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
each ^dt++++=each
morning ^nn++++=morning
from ^in++++=from
the ^ati++++=the
glasshouse ^nn+++??+=glasshouse
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
literate ^jj+atrb+++=literate
slave ^nn++++=slave
learned ^vbd+vprv++xvbn+=learned
the ^ati++++=the
route ^nn++++=route.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
dawn ^nn++++=dawn
he ^pp3a+pp3+++=he
stole ^vbd+++xvbnx+=stole
a ^at++++=a
farm ^nn++++=farm
worker ^nn++++=worker's
's ^vbz+bez+vrb++0=EXTRAWORD
green ^jj+atrb+++=green
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
empty ^jj+atrb+++=empty
silver ^nn++++=silver
tray ^nn++++=tray
from ^in++++=from
the ^ati++++=the
cart ^nn++++=cart
shed ^vbd+++xvbn+=shed
and ^cc+phrs+++=and
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
refuse ^nn++++=refuse
pit ^nn++++=pit
where ^wrb+who+++=where
Tom ^np++++=Tom
Dixon ^np++++=Dixon's
's ^$++++=EXTRAWORD
arm ^vb++++=arm
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
cast ^vpsv++agls+xvbnx+=cast
among ^in++++=among
greasy ^jj+atrb+++=greasy
cloth ^nn++++=cloth
and ^cc++++=and
broken ^jj+atrb++xvbn+=broken
machine ^nn++++=machine
parts ^nns++++=parts.
. ^zz++++=EXTRAWORD
Brothers ^nns+nom+++=Brothers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
washed ^vbd+++xvbnx+=washed
that ^dt+pdem+++=that
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
Think ^vb+vprv+++=Think
of ^in++++=of
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
black ^jj+atrb+++=black
river ^nn++++=river
in ^in++++=in
the ^ati++++=the
hour ^nn++++=hour
before ^in++++=before
sunrise ^nn++++=sunrise
a ^at++++=a
dying ^jj+atrb++xvbg+=dying
man ^nn++++=man
kneeling ^vwbg+++xvbg+=kneeling
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=washing
another ^dt++++=another
slave ^nn++++=slave's
's ^$++++=EXTRAWORD
severed ^vpsv++agls+xvbnx+=severed
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cleaned ^vbd+++xvbnx+=cleaned
the ^ati++++=the
oil ^nn++++=oil
and ^cc++++=and
lint ^nn++++=lint
from ^in++++=from
the ^ati++++=the
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
stiff ^jj+atrb+++=stiff
fingers ^nns+nom+++=fingers
around ^in++++=around
the ^ati++++=the
folded ^jj+atrb++xvbn+=folded
petition ^nn+nom+++=petition
and ^cc++++=and
bound ^vwbn+++xvbn+=bound
them ^pp3o+pp3+++=them
with ^in++++=with
thread ^nn++++=thread
so ^ql++++=so
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
open ^jj++++=open.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
glasshouse ^nn+++??+=glasshouse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
strawberries ^nns++++=strawberries
upon ^in++++=upon
the ^ati++++=the
tray ^nn++++=tray,
, ^zz++++=EXTRAWORD
berry ^nn++++=berry
after ^in++++=after
berry ^nn++++=berry,
, ^zz++++=EXTRAWORD
red ^jj++++=red
and ^cc+phrs+++=and
shining ^jj+++xvbg+=shining,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
silver ^nn++++=silver
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
midst ^nn++++=midst
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flesh ^nn++++=flesh
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white
from ^in++++=from
bloodlessness ^nns+nom+++=bloodlessness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
berries ^nns++++=berries
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red
as ^ql++++=as
the ^ati++++=the
banners ^nns+nom+++=banners
above ^in+pl+++=above
the ^ati++++=the
palace ^nn++++=palace
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fingers ^nns+nom+++=fingers
clutched ^vbd+++xvbn+=clutched
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
for ^in+ppvb+++=for
Paradise ^nn++++=Paradise.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Paradise ^nn++++=Paradise.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
name ^nn++++=name
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
western ^jj+atrb+++=western
bedrooms ^nns++++=bedrooms
alone ^rb++++=alone
were ^vbd+bed+vrb++=were
larger ^jjr+pred+++=larger
than ^in++++=than
the ^ati++++=the
family ^nn++++=family
pens ^nns++++=pens
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
marble ^nn++++=marble
basins ^nns++++=basins.
. ^zz++++=EXTRAWORD
Birds ^nns++++=Birds
from ^in++++=from
three ^cd++++=three
continents ^nns++++=continents
sang ^vbd+++xvbn+=sang
beneath ^rb++++=beneath
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+aux++=were
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
slaves ^nns++++=slaves
were ^vbd+bed+aux++=were
punished ^vpsv++agls+xvbnx+=punished
for ^in++++=for
looking ^xvbg+++xvbg+=looking
too ^ql++++=too
long ^jj++++=long
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Paradise ^nn++++=Paradise
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
built ^vpsv++by+xvbnx+=built
by ^in++++=by
thousands ^cds++++=thousands
who ^whp+rel+subj++=who
never ^rb++++=never
entered ^vbd+++xvbn+=entered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
carpets ^nns++++=carpets
were ^vbd+bed+aux++=were
woven ^vwbn+++xvbn+=woven
by ^in++++=by
crooked ^jj+atrb+++=crooked
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
silver ^nn++++=silver
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
men ^nns++++=men
dying ^vwbg+++xvbg+=dying
underground ^jjb++++=underground.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
baths ^nns++++=baths
were ^vbd+bed+aux++=were
heated ^vpsv++by+xvbnx+=heated
by ^in++++=by
coal ^nn++++=coal
carried ^vbd+++xvbn+=carried
on ^in++++=on
bleeding ^xvbg+++xvbg+=bleeding
backs ^nns++++=backs.
. ^zz++++=EXTRAWORD
Paradise ^nn++++=Paradise
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
many ^ap++++=many
hells ^nns+++??+=hells.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
service ^nn++++=service
gate ^nn++++=gate
the ^ati++++=the
guards ^nns++++=guards
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
green ^nn++++=green
farm ^nn++++=farm
coat ^nn++++=coat
and ^cc++++=and
a ^at++++=a
tray ^nn++++=tray
of ^in++++=of
strawberries ^nns++++=strawberries.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
waved ^vbd+++xvbnx+=waved
him ^pp3o+pp3+++=him
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
