# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Malitia ^np+++??+=MALITIA
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Forward."
forward ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
climbed ^vbd+++xvbn+=climbed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trees ^nns++++=trees
thinned ^vbd+++xvbn+=thinned
near ^in+pl+++=near
the ^ati++++=the
summit ^nn++++=summit.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
pale ^nn++++=pale
and ^cc++++=and
nearly ^rb+down+++=nearly
full ^jj++++=full,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
tremble ^vbi++++=tremble
in ^in++++=in
a ^at++++=a
vapourless ^jj+atrb+++=vapourless
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
torches ^nns++++=torches
burned ^vbd+++xvbn+=burned
low ^jj++++=low,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
air ^nn++++=air
moved ^vbd+++xvbn+=moved
scarcely ^rb+down+++=scarcely
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
gaps ^nns++++=gaps
in ^in++++=in
the ^ati++++=the
branches ^nns++++=branches
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
altar ^nn++++=altar
fires ^nns++++=fires
grow ^vb++++=grow
larger ^jjr++++=larger
and ^cc+phrs+++=and
redder ^jjr++++=redder.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
them ^pp3o+pp3+++=them
moved ^vbd+++xvbn+=moved
tall ^jj+atrb+++=tall
figures ^nns++++=figures
with ^in++++=with
antlered ^jj+atrb++xvbn+=antlered
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
these ^dt+pdem+++=these
were ^vbd+bed+aux++=were
masked ^vpsv++agls+xvbnx+=masked
men ^nns++++=men
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
determine ^vb++++=determine,
, ^zz++++=EXTRAWORD
for ^in++++=for
their ^pp$+pp3+++=their
limbs ^nns++++=limbs
bent ^vbd+++xvbn+=bent
with ^in++++=with
a ^at++++=a
looseness ^nns+nom+++=looseness
repugnant ^jj++++=repugnant
to ^in++++=to
human ^jj+atrb+++=human
anatomy ^nn++++=anatomy.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
archers ^nns+nom+++=archers
pointed ^vbd+++xvbn+=pointed
at ^rb++++=at
the ^ati++++=the
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
enormous ^jj++++=enormous
passed ^jj+++xvbn+=passed
overhead ^jjb++++=overhead.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
heard ^vbd+vprv++xvbn+=heard
no ^at++++=no
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
ponderous ^jj+atrb+++=ponderous
beating ^nvbg+++xvbg+=beating,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
sails ^vbz++++=sails
shaken ^vpsv++by+xvbn+=shaken
by ^in++++=by
a ^at++++=a
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
A ^at++++=A
constellation ^nn+nom+++=constellation
disappeared ^vbd+seem++xvbn+=disappeared;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Colossal ^jj++++=Colossal
forms ^vbz++++=forms
wheeled ^vprf+++xvbn+=wheeled
above ^jjb++++=above
the ^ati++++=the
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
blotting ^nn++++=blotting
out ^rp+pl+++=out
patches ^nns++++=patches
of ^in++++=of
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
outlines ^vbz++++=outlines
suggested ^vbd+vpub++xvbn+=suggested
neither ^dt++neg++=neither
bird ^nn++++=bird
nor ^cc++neg++=nor
bat ^nn++++=bat,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
at ^rb++++=at
moments ^nns+nom+++=moments
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
membranous ^jj+atrb+++=membranous
wings ^nns++++=wings
and ^cc++++=and
bodies ^nns++++=bodies
trailing ^vwbg+++xvbg+=trailing
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
appendages ^nns+nom+++=appendages.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
descended ^vbd+++xvbn+=descended
behind ^in+pl+++=behind
the ^ati++++=the
fires ^nns++++=fires.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mountain ^nn++++=mountain
shook ^vbd+++xvbn+=shook
at ^in++++=at
its ^pp$+it+++=its
alighting ^vbg+++xvbg+=alighting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
legionaries ^nns++++=legionaries
closed ^vbd+++xvbn+=closed
ranks ^nns++++=ranks
by ^in++++=by
instinct ^nn++++=instinct.
. ^zz++++=EXTRAWORD
Shields ^nns++++=Shields
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
Pila ^np+++??+=Pila
angled ^jj++++=angled
towards ^in++++=towards
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
shouted ^vbd+vpub++xvbn+=shouted
the ^ati++++=the
customary ^jj+atrb+++=customary
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
one ^cd1++++=one
proud ^jj+atrb+++=proud
instant ^nn+nom+++=instant
the ^ati++++=the
cohort ^nn++++=cohort
became ^vbd+++xvbn+=became
again ^rb+tm+++=again
an ^at++++=an
instrument ^nn+nom+++=instrument
of ^in++++=of
Rome ^np++++=Rome
measured ^vbd+++xvbn+=measured,
, ^zz++++=EXTRAWORD
armoured ^jj++++=armoured,
, ^zz++++=EXTRAWORD
obedient ^jj++++=obedient.
. ^zz++++=EXTRAWORD
A ^at++++=A
wind ^nn++++=wind
came ^vbd+++xvbn+=came
down ^in++++=down
the ^ati++++=the
path ^nn++++=path.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
blow ^vb++++=blow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
advanced ^vbd+++xvbn+=advanced.
. ^zz++++=EXTRAWORD
Leaves ^vbz++++=Leaves
lifted ^vbd+++xvbn+=lifted
before ^in++++=before
it ^pp3+it+++=it
without ^in++++=without
stirring ^xvbg+++xvbg+=stirring
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
Torches ^nns++++=Torches
died ^vbd+++xvbn+=died
in ^in++++=in
sequence ^nn+nom+++=sequence,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
at ^rb++++=at
the ^ati++++=the
rear ^nn++++=rear
of ^in++++=of
the ^ati++++=the
column ^nn++++=column,
, ^zz++++=EXTRAWORD
each ^dt++++=each
extinction ^nn+nom+++=extinction
accompanied ^vwbn+++xvbn+=accompanied
by ^in++++=by
a ^at++++=a
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
choking ^jj+atrb++xvbg+=choking
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thing ^nn++++=thing
moved ^vbd+++xvbn+=moved
with ^in++++=with
sentience ^nn+nom+++=sentience
and ^cc++++=and
deliberateness ^nns+nom+++=deliberateness,
, ^zz++++=EXTRAWORD
coiling ^nn+nom+++=coiling
amongst ^in++++=amongst
centuries ^nns++++=centuries
as ^in++++=as
a ^at++++=a
serpent ^nn++++=serpent
coils ^nns++++=coils
amongst ^in++++=amongst
reeds ^nns++++=reeds.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
it ^pp3+it+++=it
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
men ^nns++++=men
dropped ^vbd+++xvbn+=dropped
their ^pp$+pp3+++=their
shields ^nns++++=shields
and ^cc++++=and
clutched ^vbd+++xvbn+=clutched
their ^pp$+pp3+++=their
throats ^nns++++=throats.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
were ^vbd+bed+aux++=were
raised ^vpsv++agls+xvbnx+=raised
bodily ^jj++++=bodily,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
borne ^vbd+++xvbn+=borne
silently ^rb++++=silently
into ^in++++=into
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
" ^zz++++="Form
form ^nn++++=EXTRAWORD
orbem ^nn+++??+=orbem!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Form
form ^nn++++=EXTRAWORD
circle ^nn++++=circle!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
order ^to++++=order
travelled ^vprf+++xvbn+=travelled
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
paces ^nns++++=paces.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness
divided ^vwbn+++xvbn+=divided
rank ^nn++++=rank
from ^in++++=from
rank ^nn++++=rank,
, ^zz++++=EXTRAWORD
officer ^nn++++=officer
from ^in++++=from
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
man ^nn++++=man
from ^in++++=from
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
red ^jj+atrb+++=red
fires ^nns++++=fires
remained ^vbd+++xvbn+=remained
visible ^jj++++=visible
above ^rb++++=above
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
against ^in++++=against
them ^pp3o+pp3+++=them
appeared ^vbd+seem++xvbn+=appeared
shapes ^nns++++=shapes
which ^whp+rel+obj++=which
no ^at++++=no
nomenclature ^nn++++=nomenclature
of ^in++++=of
natural ^jj+atrb+++=natural
history ^nn++++=history
could ^md+pos+++=could
contain ^vb++++=contain:
: ^zz++++=EXTRAWORD
narrow ^jj+atrb+++=narrow
giants ^nns++++=giants
crowned ^vwbn+++xvbn+=crowned
with ^in++++=with
horns ^nns++++=horns;
; ^zz++++=EXTRAWORD
crouching ^vbg+++xvbg+=crouching
masses ^nns++++=masses
that ^tht+rel+subj++=that
opened ^vbd+++xvbn+=opened
vertically ^rb++++=vertically;
; ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
many ^ap++++=many-jointed
- ^zz++++=EXTRAWORD
jointed ^jj+atrb++xvbn+=EXTRAWORD
things ^nns++++=things
running ^vwbg+++xvbg+=running
upon ^in++++=upon
the ^ati++++=the
undersides ^nns+++??+=undersides
of ^in++++=of
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
Nameless ^jj+atrb+++=Nameless
beasts ^nns++++=beasts
descended ^vbd+++xvbn+=descended
amongst ^in++++=amongst
the ^ati++++=the
standards ^nns++++=standards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
screaming ^xvbg+++xvbg+=screaming
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
spread ^vbd+++xvbn+=spread
through ^in++++=through
the ^ati++++=the
cohort ^nn++++=cohort
more ^rbr++++=more
swiftly ^rb++++=swiftly
than ^in++++=than
flame ^nn++++=flame
through ^in++++=through
summer ^nn++++=summer
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
veterans ^nns+nom+++=veterans
of ^in++++=of
Sertorius ^np+++??+=Sertorius,
, ^zz++++=EXTRAWORD
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
comrades ^npt++++=comrades
crucified ^vwbn+++xvbn+=crucified,
, ^zz++++=EXTRAWORD
disembowelled ^j+++xvbn+=disembowelled
or ^cc+phrs+++=or
burned ^jj+++xvbn+=burned;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
they ^pp3a+pp3+++=they
shrieked ^vbd+++xvbnx+=shrieked
like ^in++++=like
children ^nns++++=children
in ^in++++=in
an ^at++++=an
unlighted ^jj+atrb+++=unlighted
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
Steel ^nn++++=Steel
struck ^vbd+++xvbn+=struck
unseen ^jj+atrb+++=unseen
bodies ^nns++++=bodies
and ^cc++++=and
rang ^vpsv++agls+xvbn+=rang
as ^in++++=as
against ^in"++++=against
immense ^jj+atrb+++=immense
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
A ^at++++=A
standard ^jj+atrb+++=standard
rose ^nn+++xvbn+=rose
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
its ^pp$+it+++=its
bearer ^nn++++=bearer
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vanished ^jj+++xvbn+=vanished
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
wet ^jj++++=wet
fell ^vbd+++xvbn+=fell
across ^in+pl+++=across
my ^pp$+pp1+++=my
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Asellius ^np+++??+=Asellius
seized ^vbd+++xvbn+=seized
my ^pp$+pp1+++=my
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mouth ^nn++++=mouth
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
voice ^nn++++=voice
emerged ^vbd+++xvbn+=emerged.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
a ^at++++=a
black ^jj+atrb+++=black
loop ^nn++++=loop,
, ^zz++++=EXTRAWORD
thick ^jj++++=thick
as ^in++++=as
a ^at++++=a
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
hawser ^nn++++=hawser,
, ^zz++++=EXTRAWORD
lowered ^j+++xvbn+=lowered
from ^in++++=from
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
encircled ^vbd+++xvbn+=encircled
his ^pp$+pp3+++=his
waist ^nn++++=waist
with ^in++++=with
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
gentleness ^nns+nom+++=gentleness
of ^in++++=of
a ^at++++=a
lover ^nn++++=lover's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
polished ^jj++++=polished
cuirass ^vbz+++??+=cuirass
folded ^vwbn+++xvbn+=folded
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
Laoco ^np+++??+=Laoco
n ^zz++++=n;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
young ^jj+atrb+++=young
tribune ^nn+++??+=tribune
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
One ^pn++++=One
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
stars ^nns++++=stars
were ^vbd+bed+aux++=were
blotted ^vpsv++agls+xvbnx+=blotted
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
heavens ^nns++++=heavens
possessed ^vbd+++xvbn+=possessed
neither ^dt++neg++=neither
depth ^nn++++=depth
nor ^cc++neg++=nor
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
fires ^nns++++=fires
burned ^vbd+++xvbn+=burned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
them ^pp3o+pp3+++=them
the ^ati++++=the
antlered ^jj+atrb++xvbn+=antlered
celebrants ^nns+nom+++=celebrants
bowed ^vbd+++xvbn+=bowed
not ^xnot++not++=not
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Scribonius ^np+++??+=Scribonius
stood ^vbd+++xvbn+=stood
at ^rb++++=at
my ^pp$+pp1+++=my
side ^nn++++=side.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bald ^jj+atrb+++=bald
head ^nn++++=head
was ^vbd+bedz+vrb++=was
bare ^jj+pred+++=bare,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
sword ^nn++++=sword
broken ^vbd+++xvbn+=broken.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weariness ^nns+nom+++=weariness
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place
was ^vbd+bedz+vrb++=was
recognition ^nn+nom+++=recognition.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
rebellion ^nn++++=rebellion,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
gods ^nns++++=gods?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
gods ^nns++++=gods
known ^vbd+++xvbn+=known
to ^to+vcmp+++=to
men ^vb++++=men."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^jj+atrb+++=cold
wind ^nn++++=wind
wrapped ^vbd+++xvbn+=wrapped
itself ^ppl++++=itself
around ^in++++=around
the ^ati++++=the
cohort ^nn++++=cohort.
. ^zz++++=EXTRAWORD
Shields ^nns++++=Shields,
, ^zz++++=EXTRAWORD
helmets ^nns++++=helmets,
, ^zz++++=EXTRAWORD
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
bodies ^nns++++=bodies
all ^rb++++=all
were ^vbd+bed+aux++=were
drawn ^vpsv++agls+xvbnx+=drawn
together ^nn+nom+++=together
in ^in++++=in
its ^pp$+it+++=its
invisible ^jj+atrb+++=invisible
constriction ^nn+nom+++=constriction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mountain ^npl++++=mountain
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
inhale ^vbi++++=inhale.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
drumming ^jj+++xvbg+=drumming
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
another ^ppls++++=another
sound ^jj++++=sound,
, ^zz++++=EXTRAWORD
immeasurably ^rb++++=immeasurably
deep ^jj++++=deep:
: ^zz++++=EXTRAWORD
the ^ati++++=the
grinding ^jj+++xvbg+=grinding
of ^in++++=of
some ^dti++++=some
vast ^jj+atrb+++=vast
gate ^nn++++=gate
opened ^vbd+++xvbn+=opened
after ^in++++=after
ages ^nns++++=ages.
. ^zz++++=EXTRAWORD
Scribonius ^np+++??+=Scribonius
looked ^vbd+++xvbn+=looked
once ^rb+tm+++=once
towards ^in++++=towards
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Pompelo ^np+++??+=Pompelo
lay ^vbd+++xvbn+=lay
beyond ^in++++=beyond
the ^ati++++=the
ridges ^nns++++=ridges.
. ^zz++++=EXTRAWORD
" ^zz++++="Malitia
malitia ^nn+++??+=EXTRAWORD
vetus ^nns+++??+=vetus,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
fires ^nns++++=fires
rushed ^vbd+++xvbn+=rushed
towards ^in++++=towards
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
awoke ^vbd+++xvbnx+=awoke
in ^in++++=in
my ^pp$+pp1+++=my
library ^npl+nom+++=library
at ^rb++++=at
Cambridge ^np++++=Cambridge,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly
before ^in++++=before
dawn ^nn++++=dawn
on ^in++++=on
the ^ati++++=the
twenty ^cd++++=twenty-third
- ^zz++++=EXTRAWORD
third ^od++++=EXTRAWORD
of ^in++++=of
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
with ^in++++=with
those ^dt+dem+++=those
words ^nns++++=words
upon ^in++++=upon
my ^pp$+pp1+++=my
lips ^nns++++=lips
and ^cc++++=and
my ^pp$+pp1+++=my
hands ^nns++++=hands
bleeding ^vwbg+++xvbg+=bleeding
where ^wrb+who+++=where
the ^ati++++=the
fingernails ^nns++++=fingernails
had ^vbd+hvd+aux++=had
pierced ^vprf+++xvbnx+=pierced
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
touched ^vbd+++xvbn+=touched
the ^ati++++=the
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
electric ^jj+atrb+++=electric
lamp ^nn++++=lamp
stood ^vbd+++xvbn+=stood
lighted ^vbd+++xvbn+=lighted
beside ^in+pl+++=beside
my ^pp$+pp1+++=my
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
my ^pp$+pp1+++=my
knees ^nns++++=knees
lay ^vbd+++xvbn+=lay
a ^at++++=a
volume ^nn++++=volume
of ^in++++=of
the ^ati++++=the
*corpus ^nns+++??+=*Corpus
Inscriptionum ^np+++??+=Inscriptionum
Latinarum* ^np+++??+=Latinarum*,
, ^zz++++=EXTRAWORD
open ^jj++++=open
at ^rb++++=at
a ^at++++=a
damaged ^jj+atrb++xvbn+=damaged
record ^nn++++=record
from ^in++++=from
ancient ^jj+atrb+++=ancient
Pompelo ^np+++??+=Pompelo.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
since ^cs+sub+++=since
examined ^vbd+++xvbn+=examined
every ^at++++=every
accessible ^jj+atrb+++=accessible
source ^nn++++=source
concerning ^in++++=concerning
the ^ati++++=the
administration ^nn+nom+++=administration
of ^in++++=of
Hispania ^np+++??+=Hispania
Citerior ^np+++??+=Citerior
in ^in++++=in
Cicero ^np++++=Cicero's
's ^$++++=EXTRAWORD
consulship ^nn+nom+++=consulship.
. ^zz++++=EXTRAWORD
No ^at++++=No
Lucius ^np+++??+=Lucius
C ^zz++++=C
cilius ^nns+++??+=cilius
Rufus ^np++++=Rufus
is ^vbz+bez+aux++=is
listed ^vpsv++agls+xvbnx+=listed
as ^ql++++=as
quaestor ^nn++++=quaestor
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
no ^at++++=no
proconsul ^nn+++??+=proconsul
named ^vbd+++xvbn+=named
Scribonius ^np+++??+=Scribonius
Libo ^np+++??+=Libo
can ^md+pos+++=can
be ^vb+be+aux++=be
satisfactorily ^rb++splt++=satisfactorily
identified ^vpsv++agls+xvbnx+=identified;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
chronicle ^nn++++=chronicle
records ^vbz+vpub+++=records
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
a ^at++++=a
cohort ^nn++++=cohort
in ^in++++=in
the ^ati++++=the
northern ^jj+atrb+++=northern
mountains ^npl++++=mountains.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
gaps ^nns++++=gaps
exist ^vb++++=exist,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
commonly ^rb++++=commonly
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
A ^at++++=A
fragmentary ^jj+atrb+++=fragmentary
inscription ^nn+nom+++=inscription
mentions ^nns+nom+++=mentions
repairs ^nns++++=repairs
to ^in++++=to
the ^ati++++=the
Pompelo ^np+++??+=Pompelo
garrison ^nn++++=garrison
after ^in++++=after
an ^at++++=an
unspecified ^jj+atrb+++=unspecified
calamitas ^nns+++??+=calamitas
autumnalis ^nns+++??+=autumnalis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
date ^nn++++=date
is ^vbz+bez+aux++=is
disputed ^vpsv++agls+xvbnx+=disputed.
. ^zz++++=EXTRAWORD
Pompelo ^np+++??+=Pompelo
itself ^ppl++++=itself
survived ^vbd+++xvbn+=survived.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
became ^vbd+++xvbn+=became
Pompaelo ^np+++??+=Pompaelo,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Pamplona ^np+++??+=Pamplona;
; ^zz++++=EXTRAWORD
Goth ^np+++??+=Goth,
, ^zz++++=EXTRAWORD
Moor ^npl++++=Moor,
, ^zz++++=EXTRAWORD
Frank ^np++++=Frank
and ^cc++++=and
Spaniard ^np+++??+=Spaniard
passed ^vbd+++xvbn+=passed
beneath ^rb++++=beneath
its ^pp$+it+++=its
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
ancient ^jj+atrb+++=ancient
people ^nns++++=people
descended ^vbd+++xvbn+=descended
to ^to++++=to
erase ^vbi++++=erase
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
endurance ^nn+nom+++=endurance
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
me ^pp1o+pp1+++=me
as ^in++++=as
proof ^nn++++=proof
that ^tht+ncmp+++=that
my ^pp$+pp1+++=my
dream ^nn++++=dream
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
an ^at++++=an
antiquarian ^jj+atrb+++=antiquarian
nightmare ^nn++++=nightmare,
, ^zz++++=EXTRAWORD
compounded ^xvbn+++xvbn+=compounded
of ^in++++=of
late ^nn++++=late
reading ^vwbg+++xvbg+=reading
and ^cc++++=and
imperfect ^jj+atrb+++=imperfect
health ^nn++++=health.
. ^zz++++=EXTRAWORD
