# ^zz++++=##
# ^zz++++=EXTRAWORD
Root ^nn++++=Root
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
a ^at++++=a
hand ^nn++++=hand
till ^in++++=till
November ^nr+nom+++=November.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
dollars ^nns++++=dollars
a ^at++++=a
month ^nn++++=month
and ^cc++++=and
board ^nn++++=board."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
money ^nn++++=money
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected
to ^to+vcmp+++=to
earn ^vbi++++=earn
in ^in++++=in
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
want ^vb++++=want
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tomorrow."
tomorrow ^nr+tm+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
tomorrow ^nr+tm+++=tomorrow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
finish ^vb++++=finish
this ^dt+dem+++=this
pasture ^nn++++=pasture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Green ^nn++++=Green
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Lemme
let ^vb++++0=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
is ^vbz+bez+aux++=is
paying ^vbg+++xvbgx+=paying
ye ^pp2+pp2+++=ye
next ^in+cmpx+++=next
to ^in"++++=to
nothing ^pn++++=nothing
to ^in++++=to
grub ^nn++++=grub
them ^pp3o+pp3+++=them
elders ^nns++++=elders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ye ^pp2+pp2+++=ye
refuse ^vb++++=refuse
ten ^cd++++=ten
dollars ^nns++++=dollars
a ^at++++=a
month ^nn++++=month?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
promised ^vbd+++xvbnx+=promised
to ^to+vcmp+++=to
finish ^vbi++++=finish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
back ^jjb++++=back
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
paid ^vprf+++xvbnx+=paid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
paid ^vprf+++xvbnx+=paid
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
snakes ^nns++++=snakes!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
quit ^vb++++=quit.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
owe ^vb++++=owe
him ^pp3o+pp3+++=him
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
my ^pp$+pp1+++=my
word ^nn++++=word."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
promise ^nn++++=promise
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
sense ^nn++++=sense
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
had ^vb+hv+vrb++=had
sense ^nn++++=sense
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
work ^nn++++=work
and ^cc++++=and
the ^ati++++=the
price ^nn++++=price."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Green ^jj++++=Green
looked ^jj+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
boy ^nn++++=boy
more ^rbr++++=more
carefully ^rb++++=carefully.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^ap++++=much
remains ^vbz++++=remains?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
two ^cd++++=two
acres ^nns++++=acres."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
finish ^nn++++=finish
before ^in++++=before
September ^nr+nom+++=September."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^vb++++=mean
to ^to+vcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
offer ^nn++++=offer
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
sorry ^uh++++=sorry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Think
think ^vb+vprv+tht0++=EXTRAWORD
it ^pp3+it+++=it
over ^in++++=over
till ^cs+sub+++=till
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
it ^pp3+it+++=it
over ^rb++++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jacob ^np++++=Jacob
Green ^npl++++=Green
gathered ^vbd+++xvbn+=gathered
up ^rp++++=up
his ^pp$+pp3+++=his
reins ^nns++++=reins.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
bluntly ^rb+cnj+++=bluntly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
stood ^vbd+++xvbn+=stood
a ^at++++=a
moment ^nn++++=moment
watching ^vwbg+++xvbg+=watching
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
dollars ^nns++++=dollars
a ^at++++=a
month ^nn++++=month
would ^md+prd+++=would
have ^vb+hv+aux++=have
bought ^vprf+++xvbnx+=bought
food ^nn++++=food,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fuel ^nn++++=fuel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
temptation ^nn+nom+++=temptation
was ^vbd+bedz+vrb++=was
severe ^jj+pred+++=severe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
sensible ^jj+atrb+++=sensible
person ^nn++++=person
could ^md+pos+++=could
have ^vb+hv+aux++=have
blamed ^vprf+++xvbnx+=blamed
a ^at++++=a
hungry ^jj+atrb+++=hungry
boy ^nn++++=boy
for ^in++++=for
feeling ^xvbg+++xvbg+=feeling
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^to++++=to
feel ^vbi+vprv+tht0++=feel
temptation ^nn+nom+++=temptation
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
yield ^vbi++++=yield
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
picked ^vbd+++xvbn+=picked
up ^rp++++=up
his ^pp$+pp3+++=his
axe ^nn++++=axe.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
sumacs ^nns+++??+=sumacs
on ^in++++=on
the ^ati++++=the
road ^npl++++=road
stood ^vbd+++xvbn+=stood
Timothy ^np++++=Timothy
Duncan ^np++++=Duncan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
to ^to++++=to
examine ^vbi++++=examine
a ^at++++=a
stone ^nn++++=stone
wall ^nn++++=wall
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
mill ^nn++++=mill
property ^nn++++=property.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wall ^nn++++=wall
was ^vbd+bedz+vrb++=was
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
distant ^jj++++=distant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
man ^nn++++=man
may ^md+pos+++=may
deceive ^vb++++=deceive
himself ^ppl+pp3+++=himself
more ^rbr++++=more
easily ^rb++++=easily
than ^in++++=than
his ^pp$+pp3+++=his
neighbours ^nns++++=neighbours.
. ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
watched ^vbd+++xvbn+=watched
Ellis ^np++++=Ellis
strike ^nn++++=strike
twice ^rb++++=twice
at ^in++++=at
a ^at++++=a
root ^nn++++=root
and ^cc++++=and
wipe ^vb++++=wipe
his ^pp$+pp3+++=his
forehead ^nn++++=forehead.
. ^zz++++=EXTRAWORD
" ^zz++++="Foolish
foolish ^jj+atrb+++=EXTRAWORD
bargain ^nn++++=bargain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
by ^in++++=by
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening
Timothy ^np++++=Timothy
called ^vbd+++xvbn+=called
at ^rb++++=at
Thomas ^np++++=Thomas
Fillmore ^np++++=Fillmore's
's ^$++++=EXTRAWORD
house ^npl++++=house.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
Ellis ^np++++=Ellis
doing ^vwbg+++xvbg+=doing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
pursed ^vbd+++xvbn+=pursed
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
" ^zz++++="Fair."
fair ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fair!
fair ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
cleared ^vprf+++xvbnx+=cleared
four ^cd++++=four
acres ^nns++++=acres."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ground's
ground ^nn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
softer ^jjr++++=softer
on ^in++++=on
that ^dt+dem+++=that
side ^nn++++=side."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
he ^pp3a+pp3+++=he
finish ^nn++++=finish?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
keeps ^vbz++++=keeps
at ^in++++=at
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=doesn't?"
n't ^xnot++not++0=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
save ^vb++++=save
my ^pp$+pp1+++=my
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
hardened ^vbd+++xvbn+=hardened.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
set ^vbd+++xvbn+=set
harsh ^jj+atrb+++=harsh
terms ^nns++++=terms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
accepted ^vbd+vprv++xvbnx+=accepted
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
make ^vb++++=make
them ^pp3o+pp3+++=them
generous ^jj++++=generous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Since
since ^cs+sub+++=EXTRAWORD
when ^wrb+who+++=when
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
object ^nn++++=object
to ^in++++=to
a ^at++++=a
close ^jj+atrb+++=close
bargain ^nn++++=bargain,
, ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
close ^jj+atrb+++=close
bargain ^nn++++=bargain
is ^vbz+bez+vrb++=is
one ^cd1++++=one
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Skinning ^vbg+++xvbg+=Skinning
a ^at++++=a
boy ^nn++++=boy
is ^vbz+bez+vrb++=is
another ^dt++++=another."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fillmore ^np+++??+=Fillmore
gave ^vbd+++xvbn+=gave
a ^at++++=a
dry ^jj+atrb+++=dry
chuckle ^nn++++=chuckle.
. ^zz++++=EXTRAWORD
" ^zz++++="Blood
blood ^nn++++=EXTRAWORD
tells ^vbz++++=tells,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
went ^vbd+++xvbn+=went
away ^rp+pl+++=away
without ^in++++=without
replying ^nn++++=replying.
. ^zz++++=EXTRAWORD
The ^ati++++=The
final ^jj++++=final
two ^cd++++=two
weeks ^nns++++=weeks
tested ^vwbn+++xvbn+=tested
Ellis ^np++++=Ellis
more ^rbr++++=more
cruelly ^rb++++=cruelly
than ^in++++=than
the ^ati++++=the
first ^rb++++=first
two ^cd++++=two
months ^nns++++=months.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+atrb++xvbg+=remaining
bushes ^nns++++=bushes
grew ^vbd+++xvbn+=grew
in ^in++++=in
stony ^jj+atrb+++=stony
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
left ^jj+++xvbn+=left
palm ^np++++=palm
split ^vbd+++xvbn+=split
open ^jj++++=open.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
filled ^vbd+++xvbn+=filled
the ^ati++++=the
trenches ^nns++++=trenches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
two ^cd++++=two
days ^nns++++=days
of ^in++++=of
sun ^nn++++=sun
made ^vbd+++xvbn+=made
the ^ati++++=the
wet ^jj+atrb+++=wet
soil ^nn++++=soil
heavy ^jj++++=heavy
as ^ql++++=as
clay ^np++++=clay.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
each ^dt++++=each
morning ^nn++++=morning
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
begged ^vbd+++xvbn+=begged
him ^pp3o+pp3+++=him
to ^in++++=to
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
make ^vb++++=make
yourself ^ppl+pp2+++=yourself
ill ^jj++++=ill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
six ^cd++++=six
days ^nns++++=days
left ^vbd+++xvbn+=left."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Fillmore ^np++++=Fillmore
might ^md+pos+++=might
extend ^vb++++=extend
the ^ati++++=the
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
promise ^nn++++=promise
to ^to+ncmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
fourth ^od++++=fourth
day ^nn++++=day
before ^in++++=before
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
again ^rb+tm+++=again
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
the ^ati++++=the
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
was ^vbd+bedz+aux++=was
levering ^vbg+++xvbgx+=levering
at ^rb++++=at
the ^ati++++=the
largest ^jjt+atrb+++=largest
root ^nn++++=root
in ^in++++=in
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
one ^cd1++++=one
looks ^nns++++=looks
tough ^jj++++=tough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Timothy ^np++++=Timothy.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jacob
jacob ^np++++=EXTRAWORD
Green ^np++++=Green
hired ^vbd+++xvbn+=hired
Silas ^np+++??+=Silas
Ward ^nn++++=Ward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
heard ^vbd+vprv+tht0+xvbnx+=heard
so ^pn++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sorry
sorry ^uh++++=EXTRAWORD
ye ^pp2+pp2+++=ye
lost ^vbd+++xvbn+=lost
the ^ati++++=the
place ^nn++++=place?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
seemed ^vbd+seem++xvbn+=seemed
surprised ^vpsv++by+xvbn+=surprised
by ^in++++=by
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye
take ^vb++++=take
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
promised ^vbd+vpub++xvbnx+=promised
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Fillmore ^np++++=Fillmore."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Suppose
suppose ^vb+vprv+++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
walked ^vbd+++xvbn+=walked
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
cleared ^jj+atrb++xvbn+=cleared
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
The ^ati++++=The
uprooted ^jj+atrb++xvbn+=uprooted
elders ^nns++++=elders
lay ^vbd+++xvbn+=lay
in ^in++++=in
heaps ^nns++++=heaps,
, ^zz++++=EXTRAWORD
twisted ^j+++xvbn+=twisted
and ^cc+phrs+++=and
ugly ^jj++++=ugly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clean ^jj+atrb+++=clean
earth ^nn++++=earth
stretched ^vwbn+++xvbn+=stretched
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
for ^in++++=for
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
would ^md+prd+++=would
have ^vb+hv+aux++=have
quit ^vb++++=quit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
straightened ^vbd+++xvbn+=straightened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired,
, ^zz++++=EXTRAWORD
sore ^jj++++=sore,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
less ^rbr++++=less
able ^jj++++=able
than ^in++++=than
usual ^jj++++=usual
to ^to++++=to
govern ^vbi++++=govern
his ^pp$+pp3+++=his
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
here ^rn+pl+++=here
to ^to++++=to
defend ^vbi++++=defend
himself ^ppl+pp3+++=himself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
needs ^nns++++=needs
a ^at++++=a
powerful ^jj+atrb+++=powerful
defence ^nn+nom+++=defence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
faults ^nns++++=faults.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
them ^pp3o+pp3+++=them
better ^jjr++++=better
than ^cs+sub+++=than
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Mother ^nn++++=Mother
and ^cc++++=and
I ^pp1a+pp1+++=I
suffered ^vbd+++xvbnx+=suffered
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
kind ^nn++++=kind
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++=of
Mother ^nn++++=Mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb++++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
judge ^vb++++=judge
me ^pp1o+pp1+++=me
by ^in++++=by
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Timothy ^np++++=Timothy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
not ^xnot++not++=not
come ^vb++++=come
here ^rn+pl+++=here
and ^cc++++=and
insult ^nn++++=insult
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
seconds ^nns++++=seconds
Timothy ^np++++=Timothy
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis's
's ^$++++=EXTRAWORD
face ^nn++++=face
was ^vbd+bedz+aux++=was
flushed ^vpsv++agls+xvbnx+=flushed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
did ^vbd+dod+aux++=did
not ^xnot++not++=not
