Jacob ^np++++=Jacob
from ^in++++=EXTRAWORD
a ^at++++=a
Portuguese ^jj++++=Portuguese
second ^od++++=second
mate ^nn++++=mate
who ^whp+rel+subj++=who
mistook ^vbd+++xvbn+=mistook
my ^pp$+pp1+++=my
countenance ^nn+nom+++=countenance
for ^in++++=for
a ^at++++=a
chart ^nn++++=chart
and ^cc++++0=an'
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
lay ^vbi++++=lay
down ^rb+phrv+++=down
a ^at++++=a
course ^nn++++=course
on ^in++++=on
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
sheath ^nn++++=sheath-knife.
- ^zz++++=EXTRAWORD
knife ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
altered ^vbd+++xvbnx+=altered
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
latitude ^nn++++=latitude
with ^in++++=with
a ^at++++=a
marlin ^nn+++??+=marlin-spike.
- ^zz++++=EXTRAWORD
spike ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
more ^rbr++++=more
family ^nn++++=family
questions ^nns+nom+++=questions?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent
made ^vbd+++xvbn+=made
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="See
see ^vb+vprv+++=EXTRAWORD
' ^zz++++='ere,
ere ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Undertaker ^nn+nom+++=Undertaker,
, ^zz++++=EXTRAWORD
wot ^wpr++++=wot's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
Ever ^rb++++=Ever
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
come ^vprf+++xvbn+=come
through ^in++++=through
that ^dt+dem+++=that
hatch ^np++++=hatch
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
looked ^vprf+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
sea ^nn++++=sea-serpent
- ^zz++++=EXTRAWORD
serpent ^nn++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
wash ^vb++++=wash-basin."
- ^zz++++=EXTRAWORD
basin ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
your ^pp$+pp2+++=your
face ^nn++++=face."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
wear ^vb++++=wear
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
right ^jj+atrb+++=right
hand ^nn++++=hand
moved ^vbd+++xvbn+=moved
toward ^in++++=toward
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun,
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
rested ^vbd+++xvbn+=rested
on ^in++++=on
wooden ^jj+atrb+++=wooden
pegs ^nns++++=pegs
above ^rb++++=above
his ^pp$+pp3+++=his
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="Easy,
easy ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
your ^pp$+pp2+++=your
batteries ^nns+nom+++=batteries
housed ^vbd+++xvbn+=housed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
paid ^vprf+++xvbnx+=paid
for ^in++++=for
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
gun ^nn++++=gun-play
- ^zz++++=EXTRAWORD
play ^nn++++=EXTRAWORD
interruptin ^nn+++??+=interruptin'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
enjoyment ^nn+nom+++=enjoyment
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cooked ^vbd+++xvbnx+=cooked
his ^pp$+pp3+++=his
supper ^nn++++=supper
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Kent ^np++++=Kent
offered ^vbd+++xvbn+=offered
beans ^nns++++=beans
at ^in++++=at
a ^at++++=a
price ^nn++++=price
usually ^rb+down+++=usually
associated ^vbd+++xvbn+=associated
with ^in++++=with
fresh ^jj+atrb+++=fresh
fruit ^nn++++=fruit
in ^in++++=in
mining ^nn++++=mining
camps ^nns++++=camps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
talked ^vbd+++xvbnx+=talked
as ^ql++++=as
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
had ^vbd+hvd+aux++=had
wintered ^vprf+++xvbnx+=wintered
in ^in++++=in
whalers ^nns+nom+++=whalers,
, ^zz++++=EXTRAWORD
deserted ^j+++xvbn+=deserted
from ^in++++=from
merchant ^nn+nom+++=merchant
brigs ^nns+++??+=brigs,
, ^zz++++=EXTRAWORD
hunted ^jj+atrb++xvbn+=hunted
seals ^nns++++=seals
off ^in+pl+++=off
Greenland ^np++++=Greenland,
, ^zz++++=EXTRAWORD
smuggled ^jj+atrb++xvbn+=smuggled
tobacco ^nn++++=tobacco
into ^in++++=into
unnamed ^jj+atrb+++=unnamed
ports ^nns++++=ports,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spent ^vbd+++xvbn+=spent
seventeen ^cd++++=seventeen
months ^nns++++=months
on ^in++++=on
an ^at++++=an
island ^nn++++=island
where ^wrb+who+++=where
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
wore ^vbd+++xvbn+=wore
nothing ^pn++++=nothing
but ^cc++++=but
shark ^nn+++??+=shark's
's ^$++++=EXTRAWORD
teeth ^nns++++=teeth
and ^cc++++=and
moral ^jj+atrb+++=moral
disapproval ^nn+nom+++=disapproval.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
these ^dt+dem+++=these
adventures ^nns++++=adventures
were ^vbd+bed+vrb++=were
true ^jj++++=true
mattered ^jj+++xvbn+=mattered
little ^jj++++=little.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
filled ^vbd+++xvbnx+=filled
the ^ati++++=the
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
silence ^nn+nom+++=silence
into ^in++++=into
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
movement ^nn+nom+++=movement
confirmed ^vwbn+vpub++xvbn+=confirmed
guilt ^nn++++=guilt.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Cardegee ^np+nom++??+=Cardegee
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
the ^ati++++=the
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
locating ^vbg+++xvbgx+=locating
the ^ati++++=the
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
examined ^vbd+++xvbnx+=examined
the ^ati++++=the
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
considering ^vbg+++xvbgx+=considering
ingress ^nns+nom+++=ingress.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
where ^wrb+who+whcl++=where
the ^ati++++=the
trail ^nn++++=trail
led ^vbd+++xvbn+=led,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
planning ^vbg+++xvbgx+=planning
escape ^vb++++=escape.
. ^zz++++=EXTRAWORD
Innocence ^nn+nom+++=Innocence
itself ^ppl++++=itself
would ^md+prd+++=would
have ^vb+hv+aux++=have
convicted ^vprf+++xvbnx+=convicted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
Kent ^np++++=Kent
knew ^vbd+vprv++xvbn+=knew
thieves ^nns++++=thieves
to ^to++++=to
be ^vbi++vrb++=be
cunning ^jj+pred+++=cunning.
. ^zz++++=EXTRAWORD
At ^rb++++=At
nine ^cd++++=nine
o'clock ^rb++++=o'clock
Cardegee ^np+nom++??+=Cardegee
rolled ^vbd+++xvbn+=rolled
himself ^ppl+pp3+++=himself
in ^in++++=in
his ^pp$+pp3+++=his
blankets ^nns++++=blankets
beside ^in+pl+++=beside
the ^ati++++=the
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
" ^zz++++="Call
call ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me
at ^in++++=at
four ^cd++++=four
bells ^nns++++=bells,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Daybreak,
daybreak ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
land ^nn++++=land-lubbin'
- ^zz++++=EXTRAWORD
lubbin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
hotel ^nn++++=hotel-keeper.
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
dogs ^nns++++=dogs
have ^vb+hv+vrb++=have
eighteen ^cd++++=eighteen
mile ^nn++++=mile
to ^to++++=to
make ^vbi++++=make."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Within ^in++++=Within
five ^cd++++=five
minutes ^nns++++=minutes
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep
and ^cc+phrs+++=and
snoring ^jj+++xvbg+=snoring
in ^in++++=in
three ^cd++++=three
distinct ^jj+atrb+++=distinct
registers ^nns+nom+++=registers.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
waited ^vbd+++xvbnx+=waited
one ^cd1++++=one
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
rigidly ^rb++++=rigidly
upon ^in++++=upon
his ^pp$+pp3+++=his
bunk ^nn++++=bunk
with ^in++++=with
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
across ^in+pl+++=across
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
candle ^nn++++=candle
guttered ^vbd+++xvbn+=guttered.
. ^zz++++=EXTRAWORD
Frost ^np++++=Frost
thickened ^vprf+++xvbn+=thickened
upon ^in++++=upon
the ^ati++++=the
panes ^nns++++=panes.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
explored ^vbd+++xvbn+=explored
the ^ati++++=the
eaves ^nns++++=eaves
with ^in++++=with
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
thin ^jj+atrb+++=thin
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom+++=Cardegee's
's ^$++++=EXTRAWORD
snores ^nns+++??+=snores
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell
like ^in++++=like
surf ^nn++++=surf
in ^in++++=in
a ^at++++=a
cavern ^nn++++=cavern.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Kent ^np++++=Kent
slipped ^vbd+++xvbn+=slipped
from ^in++++=from
the ^ati++++=the
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
to ^in++++=to
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
removed ^vbd+++xvbn+=removed
a ^at++++=a
short ^jj+atrb+++=short
section ^nn+nom+++=section
of ^in++++=of
moss ^np++++=moss-chinking
- ^zz++++=EXTRAWORD
chinking ^jj+++xvbg+=EXTRAWORD
behind ^in+pl+++=behind
a ^at++++=a
suspended ^jj+atrb++xvbn+=suspended
frying ^nn++++=frying-pan.
- ^zz++++=EXTRAWORD
pan ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
cavity ^nn++++=cavity
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
seven ^cd++++=seven
buckskin ^nn+++??+=buckskin
sacks ^nns++++=sacks
and ^cc++++=and
one ^cd1++++=one
twist ^nn++++=twist
of ^in++++=of
oiled ^jj+atrb++xvbn+=oiled
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
counted ^vbd+++xvbnx+=counted
them ^pp3o+pp3+++=them
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
weighed ^j+++xvbn+=weighed
three ^cd++++=three,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pressed ^vbd+++xvbn+=pressed
the ^ati++++=the
others ^aps++++=others
lovingly ^rb++++=lovingly
between ^in++++=between
his ^pp$+pp3+++=his
palms ^nns++++=palms.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
extinguished ^vbd+++xvbn+=extinguished
the ^ati++++=the
candle ^nn++++=candle.
. ^zz++++=EXTRAWORD
For ^in++++=For
ten ^cd++++=ten
minutes ^nns++++=minutes
he ^pp3a+pp3+++=he
crouched ^vbd+++xvbnx+=crouched
in ^in++++=in
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blood ^nn++++=blood
drumming ^vwbg+++xvbg+=drumming
in ^in++++=in
his ^pp$+pp3+++=his
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sailor ^nn++++=sailor
grunted ^vbd+++xvbn+=grunted,
, ^zz++++=EXTRAWORD
muttered ^j+++xvbn+=muttered
something ^pn++++=something
concerning ^in++++=concerning
a ^at++++=a
mizzen ^jj+++xvbn+=mizzen-top,
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resumed ^vbd+++xvbn+=resumed
snoring ^jj+++xvbg+=snoring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hiding ^jj+++xvbg+=hiding-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
compromised ^vpsv++agls+xvbnx+=compromised.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
had ^vb+hv+aux++=had
nearly ^rb+down+splt++=nearly
awakened ^vprf+++xvbnx+=awakened
while ^cs+sub+++=while
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
open ^jj++++=open;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
Cardegee ^np+nom++??+=Cardegee
might ^md+pos+++=might
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it
while ^cs+sub+++=while
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
To ^in++++=To
Kent ^np++++=Kent
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
reasonable ^jj+pred+++=reasonable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
move ^vb++++=move
the ^ati++++=the
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
considered ^vbd+vprv++xvbnx+=considered
the ^ati++++=the
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
rejected ^j+++xvbn+=rejected
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
flour ^nn++++=flour-barrel,
- ^zz++++=EXTRAWORD
barrel ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^ql++++=too
obvious ^jj++++=obvious;
; ^zz++++=EXTRAWORD
the ^ati++++=the
mule ^nn++++=mule's
's ^$++++=EXTRAWORD
feed ^nn++++=feed-box,
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^ql++++=too
accessible ^jj++++=accessible;
; ^zz++++=EXTRAWORD
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
impossible ^jj++++=impossible
without ^in++++=without
leaving ^xvbg+++xvbg+=leaving
tracks ^nns++++=tracks.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun.
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
ancient ^jj++++=ancient,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
double ^jj++++=double-barrelled
- ^zz++++=EXTRAWORD
barrelled ^jj+atrb++xvbn+=EXTRAWORD
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
bought ^j+++xvbn+=bought
from ^in++++=from
a ^at++++=a
bankrupt ^jj+atrb+++=bankrupt
trader ^nn++++=trader
who ^whp+rel+subj++=who
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
moose ^nn+++??+=moose.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
certainly ^rb++splt++=certainly
frightened ^vprf+++xvbnx+=frightened
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hammers ^nns+nom+++=hammers
were ^vbd+bed+vrb++=were
stiff ^jj+pred+++=stiff,
, ^zz++++=EXTRAWORD
the ^ati++++=the
right ^jj+atrb+++=right
nipple ^nn++++=nipple
worn ^vbd+++xvbn+=worn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Damascus ^np+++??+=Damascus
barrels ^nns++++=barrels
bore ^vbd+++xvbn+=bore
a ^at++++=a
suspicious ^jj+atrb+++=suspicious
swelling ^nn+nom+++=swelling
near ^in+pl+++=near
the ^ati++++=the
breech ^nn+++??+=breech.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
kept ^vbd+++xvbn+=kept
both ^abx++++=both
charges ^nns++++=charges
in ^in++++=in
place ^nn++++=place
throughout ^in++++=throughout
the ^ati++++=the
winter ^nn++++=winter
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
felt ^jj+atrb++xvbn+=felt
wads ^nns++++=wads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buckshot ^nn+++??+=buckshot
because ^cs+cos+++=because
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
like ^in++++=like
opportunity ^nn+nom+++=opportunity,
, ^zz++++=EXTRAWORD
seldom ^rb++++=seldom
waited ^vbd+++xvbn+=waited
upon ^in++++=upon
reloading ^xvbg+++xvbg+=reloading.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
the ^ati++++=the
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
Cardegee ^np+nom++??+=Cardegee,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
the ^ati++++=the
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
Afterward ^rb++++=Afterward
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
blank ^nn++++=blank
in ^in++++=in
his ^pp$+pp3+++=his
recollection ^nn+nom+++=recollection.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
overwrought ^xvbn+++xvbn+=overwrought
by ^in++++=by
vigilance ^nn+nom+++=vigilance
and ^cc++++=and
deprived ^vpsv++agls+xvbn+=deprived
of ^in++++=of
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
withdrew ^j+++xvbn+=withdrew
from ^in++++=from
its ^pp$+it+++=its
offices ^nns++++=offices.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
remained ^vbd+++xvbn+=remained
open ^jj++++=open,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
intelligence ^nn+nom+++=intelligence
departed ^vbd+++xvbn+=departed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
movements ^nns+nom+++=movements
became ^vbd+++xvbn+=became
solemn ^jj++++=solemn,
, ^zz++++=EXTRAWORD
exact ^jj++++=exact,
, ^zz++++=EXTRAWORD
somnambulic ^jj++++=somnambulic.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
the ^ati++++=the
shot ^nn+++xvbn+=shot-gun
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
the ^ati++++=the
ramrod ^nn++++=ramrod,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
sacks ^nns++++=sacks
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fed ^vbd+++xvbn+=fed
the ^ati++++=the
gold ^nn++++=gold
into ^in++++=into
the ^ati++++=the
muzzles ^nns+++??+=muzzles.
. ^zz++++=EXTRAWORD
Coarse ^jj+atrb+++=Coarse
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
nuggets ^nns+++??+=nuggets
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
peas ^nns++++=peas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
black ^jj+atrb+++=black
sand ^nn++++=sand
slid ^vbd+++xvbn+=slid
down ^rp++++=down
upon ^in++++=upon
the ^ati++++=the
old ^jj+atrb+++=old
charges ^nns++++=charges.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tamped ^vbd+++xvbnx+=tamped
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
rod ^nn++++=rod,
, ^zz++++=EXTRAWORD
added ^jj+atrb++xvbn+=added
scraps ^nns++++=scraps
of ^in++++=of
buckskin ^nn+++??+=buckskin,
, ^zz++++=EXTRAWORD
tamped ^j+++xvbn+=tamped
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poured ^vpsv++agls+xvbn+=poured
in ^in++++=in
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
barrels ^nns++++=barrels
swallowed ^vbd+++xvbn+=swallowed
his ^pp$+pp3+++=his
wealth ^nn++++=wealth
until ^cs+sub+++=until
nearly ^rb+down+++=nearly
every ^at++++=every
ounce ^nn++++=ounce
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
remained ^vbd+++xvbn+=remained
he ^pp3a+pp3+++=he
wrapped ^vbd+++xvbnx+=wrapped
in ^in++++=in
cloth ^nn++++=cloth
and ^cc++++=and
forced ^vpsv++agls+xvbn+=forced
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
replaced ^vbd+++xvbnx+=replaced
the ^ati++++=the
ramrod ^nn++++=ramrod,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
the ^ati++++=the
gun ^nn++++=gun
above ^jjb++++=above
the ^ati++++=the
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
restored ^xvbn+++xvbn+=restored
the ^ati++++=the
empty ^jj+atrb+++=empty
sacks ^nns++++=sacks
to ^in++++=to
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
steel ^nn++++=steel-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
fingers ^nns+nom+++=fingers
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Cardegee ^np+nom++??+=Cardegee
awoke ^vbd+++xvbn+=awoke
to ^in++++=to
an ^at++++=an
impression ^nn++++=impression
of ^in++++=of
discomfort ^nn++++=discomfort
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
traceable ^jj++++=traceable
to ^in++++=to
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
arms ^nns++++=arms
were ^vbd+bed+aux++=were
drawn ^vpsv++agls+xvbnx+=drawn
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
ankles ^nns++++=ankles
were ^vbd+bed+aux++=were
crossed ^vpsv++agls+xvbnx+=crossed
and ^cc+phrs+++=and
secured ^vbd+++xvbn+=secured.
. ^zz++++=EXTRAWORD
A ^at++++=A
rawhide ^nn+++??+=rawhide
thong ^nn+++??+=thong
ran ^vbd+++xvbn+=ran
from ^in++++=from
wrists ^nns++++=wrists
to ^in++++=to
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
