# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Easter ^np++++=Easter
Children ^nns++++=Children?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Neither?"
neither ^dt++neg++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Neither."
neither ^dt++neg++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elena ^np+++??+=Elena
Sergeyevna ^np+++??+=Sergeyevna
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
that ^dt+dem+++=that
directness ^nns+nom+++=directness
which ^whp+rel+obj++=which
in ^in++++=in
childhood ^nn+nom+++=childhood
had ^vbd+hvd+aux++=had
disconcerted ^vprf+++xvbnx+=disconcerted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
sighed ^vbd+++xvbnx+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
always ^rb++++=always
took ^vbd+++xvbn+=took
too ^ql++++=too
long ^vb++++=long
to ^to+vcmp+++=to
decide ^vbi+vprv+++=decide,
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
words ^nns++++=words
wounded ^vbd+++xvbn+=wounded
him ^pp3o+pp3+++=him
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
The ^ati++++=The
harbour ^npl++++=harbour
receded ^vbd+++xvbn+=receded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shore ^nn++++=shore
became ^vbd+++xvbn+=became
purple ^nn++++=purple;
; ^zz++++=EXTRAWORD
gulls ^nns++++=gulls
flew ^vbd+++xvbn+=flew
after ^in++++=after
the ^ati++++=the
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=hanging
almost ^rb+hdg+++=almost
motionless ^jj++++=motionless
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
cousins ^nns++++=cousins,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
name ^nn++++=name
rose ^vbd+++xvbn+=rose
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
like ^in++++=like
a ^at++++=a
face ^nn++++=face
at ^rb++++=at
a ^at++++=a
window ^nn++++=window
and ^cc++++=and
vanished ^jj+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Matvei ^np+++??+=Matvei,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coachman ^nn+nom+++=coachman
who ^whp+rel+subj++=who
drank ^vbd+++xvbn+=drank
furniture ^nn++++=furniture
polish ^nn++++=polish;
; ^zz++++=EXTRAWORD
Mademoiselle ^np+++??+=Mademoiselle
Blanche ^np++++=Blanche,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
claimed ^vbd+vpub++xvbn+=claimed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
French ^jj+pred+++=French
but ^cc++++=but
came ^vpsv++agls+xvbn+=came
from ^in+ppvb+++=from
Riga ^np+++??+=Riga;
; ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
setter ^jjr++++=setter
Trezor ^np+++??+=Trezor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
an ^at++++=an
Easter ^np++++=Easter
cake ^nn++++=cake
and ^cc++++=and
been ^vprf+ben+vrb+xvbn+=been
sick ^jj++++=sick
beneath ^in+pl+++=beneath
the ^ati++++=the
grand ^jj+atrb+++=grand
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
With ^in++++=With
every ^at++++=every
recollection ^nn+nom+++=recollection
Elena ^np++++=Elena's
's ^$++++=EXTRAWORD
gestures ^nns++++=gestures
grew ^vbd+++xvbn+=grew
younger ^jjr++++=younger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
touched ^vbd+++xvbnx+=touched
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
narrowed ^vbd+++xvbnx+=narrowed
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
before ^in++++=before
repeating ^xvbg+++xvbg+=repeating
some ^dti++++=some
absurd ^jj+atrb+++=absurd
phrase ^nn++++=phrase;
; ^zz++++=EXTRAWORD
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
forgetting ^vbg+vprv++xvbg+=forgetting
the ^ati++++=the
years ^nns++++=years,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="Nasty,
nasty ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
horrid ^jj+atrb+++=horrid
boy ^nn++++=boy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
cried ^vprf+++xvbnx+=cried
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
Yurlofs ^np+++??+=Yurlofs'
' ^zz++++=EXTRAWORD
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
him ^pp3o+pp3+++=him
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yurlofs ^np+++??+=Yurlofs'
' ^zz++++=EXTRAWORD
house ^npl++++=house
stood ^vbd+++xvbn+=stood
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
narrow ^jj+atrb+++=narrow
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
a ^at++++=a
wooden ^jj+atrb+++=wooden
fence ^nn++++=fence
painted ^vbd+++xvbn+=painted
green ^np++++=green.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
veranda ^nn++++=veranda
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
sun ^nn++++=sun-warmed
- ^zz++++=EXTRAWORD
warmed ^xvbn+++xvbn+=EXTRAWORD
boards ^nns++++=boards
and ^cc++++=and
cherry ^np++++=cherry
jam ^vb++++=jam;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
pantry ^nn++++=pantry
lay ^vbd+++xvbn+=lay
rows ^nns++++=rows
of ^in++++=of
apples ^nns++++=apples
upon ^in++++=upon
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
damp ^nn++++=damp
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden
black ^jj++++=black-currant
- ^zz++++=EXTRAWORD
currant ^nn+nom+++=EXTRAWORD
shoots ^nns++++=shoots
gave ^vbd+++xvbn+=gave
off ^rb+phrv+++=off
their ^pp$+pp3+++=their
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
medicinal ^jj+atrb+++=medicinal
fragrance ^nn+nom+++=fragrance
when ^wrb+who+++=when
broken ^jj+++xvbn+=broken.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
there ^rn+pl+++=there
all ^abn++++=all
his ^pp$+pp3+++=his
holidays ^nns++++=holidays
until ^in++++=until
his ^pp$+pp3+++=his
sixteenth ^nn++++=sixteenth
year ^nn++++=year,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
mother ^nn++++=mother
and ^cc++++=and
Elena ^np++++=Elena's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
were ^vbd+bed+vrb++=were
cousins ^nns++++=cousins,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
educated ^vpsv++agls+xvbnx+=educated
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
were ^vbd+bed+aux++=were
bound ^vpsv++by+xvbnx+=bound
by ^in++++=by
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
relationships ^nns+nom+++=relationships
which ^whp+rel+obj++=which
children ^nns++++=children
accept ^vb+vprv+++=accept
without ^in++++=without
understanding ^xvbg+++xvbg+=understanding.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
Lenotchka ^np+++??+=Lenotchka
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
children ^nns++++=children.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rolled ^vbd+++xvbnx+=rolled
down ^rp++++=down
slopes ^nns++++=slopes,
, ^zz++++=EXTRAWORD
climbed ^jj+atrb++xvbn+=climbed
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
persecuted ^j+++xvbn+=persecuted
the ^ati++++=the
turkeys ^nns+++??+=turkeys,
, ^zz++++=EXTRAWORD
stole ^jj+atrb++xvbn+=stole
cucumbers ^nns+nom+++=cucumbers
and ^cc++++=and
carried ^vpsv++agls+xvbn+=carried
on ^in++++=on
together ^nn+nom+++=together
like ^in++++=like
young ^jj+atrb+++=young
puppies ^nns++++=puppies,
, ^zz++++=EXTRAWORD
without ^in++++=without
modesty ^nn++++=modesty,
, ^zz++++=EXTRAWORD
calculation ^nn+nom+++=calculation
or ^cc++++=or
tenderness ^nns+nom+++=tenderness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
pulled ^vprf+++xvbnx+=pulled
her ^pp$+pp3+++=her
braid ^nn++++=braid;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bitten ^vprf+++xvbnx+=bitten
his ^pp$+pp3+++=his
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
an ^at++++=an
entire ^jjb+atrb+++=entire
afternoon ^nn++++=afternoon
constructing ^vwbg+++xvbg+=constructing
a ^at++++=a
funeral ^nn++++=funeral
for ^in++++=for
a ^at++++=a
dead ^jj+atrb+++=dead
frog ^nn+++??+=frog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lenotchka ^np+++??+=Lenotchka,
, ^zz++++=EXTRAWORD
acting ^vbg+++xvbg+=acting
as ^ql++++=as
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
excommunicated ^vprf+++xvbnx+=excommunicated
him ^pp3o+pp3+++=him
for ^in++++=for
laughing ^xvbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
during ^in++++=during
one ^cd1++++=one
winter ^nn++++=winter
away ^rp+pl+++=away
at ^rb++++=at
school ^nn++++=school,
, ^zz++++=EXTRAWORD
something ^pn++++=something
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
returned ^vbd+++xvbnx+=returned
the ^ati++++=the
following ^jj+atrb++xvbg+=following
summer ^nn++++=summer
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
Lenotchka ^np+++??+=Lenotchka
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
transformation ^nn+nom+++=transformation
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
indecently ^jj++++=indecently
sudden ^jj++++=sudden.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
fifteen ^cd++++=fifteen.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
dresses ^nns+nom+++=dresses
reached ^vbd+++xvbn+=reached
her ^pp$+pp3+++=her
ankles ^nns++++=ankles;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
braid ^nn++++=braid
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
wound ^vpsv++agls+xvbnx+=wound
upon ^in++++=upon
her ^pp$+pp3+++=her
head ^jjb++++=head;
; ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
thin ^jj+atrb+++=thin
muslin ^nn++++=muslin
at ^rb++++=at
her ^pp3o+pp3+++=her
breast ^nn++++=breast
were ^vbd+bed+vrb++=were
two ^cd++++=two
mysterious ^jj+atrb+++=mysterious
curves ^nns++++=curves
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
not ^xnot++not++=not
to ^to++++=to
see ^vbi+vprv+++=see
and ^cc+phrs+++=and
saw ^vbd+vprv++xvbn+=saw
continually ^rb++++=continually.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
no ^at++++=no
longer ^rbr++++=longer
ran ^vbd+++xvbn+=ran
when ^wrb+who+++=when
called ^jj+++xvbn+=called,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
approached ^vbd+++xvbn+=approached
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gravity ^nn+nom+++=gravity
contradicted ^vwbn+++xvbn+=contradicted
by ^in++++=by
laughter ^nn+nom+++=laughter
trembling ^vwbg+++xvbg+=trembling
at ^rb++++=at
the ^ati++++=the
corners ^nns+nom+++=corners
of ^in++++=of
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
knowledge ^nn++++=knowledge
had ^vbd+hvd+aux++=had
awakened ^vprf+++xvbnx+=awakened
in ^in++++=in
her ^pp3o+pp3+++=her
an ^at++++=an
innocent ^jj+atrb+++=innocent
cruelty ^nn++++=cruelty,
, ^zz++++=EXTRAWORD
a ^at++++=a
feminine ^jj+atrb+++=feminine
coquetry ^nn++++=coquetry
still ^rb+atrb+++=still
small ^jj++++=small
and ^cc+phrs+++=and
playful ^jj++++=playful,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
kitten ^nn++++=kitten
sharpening ^vwbg+++xvbg+=sharpening
its ^pp$+it+++=its
claws ^nns++++=claws
upon ^in++++=upon
a ^at++++=a
velvet ^nn++++=velvet
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
At ^in++++=At
dinner ^nn++++=dinner
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
pass ^vbi++++=pass
the ^ati++++=the
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
obeyed ^vbd+++xvbnx+=obeyed,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
fingers ^nns+nom+++=fingers
touched ^vbd+++xvbn+=touched.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Nikolai ^np+++??+=Nikolai
Andreyevich ^np+++??+=Andreyevich,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
ceremoniously ^jj++++=ceremoniously.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knocked ^vbd+++xvbnx+=knocked
over ^rb+phrv+++=over
a ^at++++=a
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
danced ^vbd+++xvbnx+=danced
that ^dt+dem+++=that
autumn ^nn++++=autumn
with ^in++++=with
a ^at++++=a
cavalry ^nn++++=cavalry
cornet ^nn++++=cornet
named ^vbd+++xvbn+=named
Bestuzhev ^np+++??+=Bestuzhev,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
yellow ^jj+atrb+++=yellow
moustaches ^nns++++=moustaches
and ^cc++++=and
jingling ^vbg+nom++xvbg+=jingling
spurs ^nps++++=spurs.
. ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin,
, ^zz++++=EXTRAWORD
still ^rb++++=still
in ^in++++=in
his ^pp$+pp3+++=his
school ^nn++++=school
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
behind ^in+pl+++=behind
a ^at++++=a
palm ^nn++++=palm
and ^cc++++=and
experienced ^jj+atrb++xvbn+=experienced
hatred ^nn++++=hatred
in ^in++++=in
its ^pp$+it+++=its
purest ^jjt+atrb+++=purest
form ^nn++++=form.
. ^zz++++=EXTRAWORD
Bestuzhev ^np++++=Bestuzhev's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
Lenotchka ^np++++=Lenotchka's
's ^$++++=EXTRAWORD
waist ^nn++++=waist;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
head ^jjb++++=head
bent ^xvbn+++xvbn+=bent
toward ^in++++=toward
his ^pp$+pp3+++=his
epaulette ^nn+nom+++=epaulette;
; ^zz++++=EXTRAWORD
the ^ati++++=the
room ^nn++++=room
turned ^vbd+++xvbn+=turned
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
perfume ^nn++++=perfume
and ^cc++++=and
the ^ati++++=the
dry ^jj++++=dry
whispering ^jj+++xvbg+=whispering
of ^in++++=of
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
Nikolai ^np+++??+=Nikolai
on ^in++++=on
the ^ati++++=the
dark ^jj+atrb+++=dark
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
sulking ^nvbg+++xvbg+=sulking?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
sulking ^jj+++xvbg+=sulking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
as ^cs+sub+++=as
if ^cs+cnd+++=if
someone ^pn++++=someone
had ^vbd+hvd+aux++=had
stolen ^vprf+++xvbnx+=stolen
your ^pp$+pp2+++=your
last ^rb++++=last
kopeck ^nn+++??+=kopeck."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
and ^cc++++=and
dance ^nn++++=dance
with ^in++++=with
your ^pp$+pp2+++=your
officer ^nn++++=officer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
So ^ql++++=So
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
leaned ^vbd+++xvbnx+=leaned
near ^rb++++=near
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smelled ^vbd+++xvbnx+=smelled
violets ^nns+nom+++=violets
in ^in++++=in
her ^pp$+pp3+++=her
hair ^nn++++=hair
and ^cc++++=and
felt ^vprf+++xvbn+=felt
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
another ^ppls++++=another
second ^od++++=second
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
something ^pn++++=something
monstrous ^jj++++=monstrous.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
waited ^vbd+++xvbnx+=waited,
, ^zz++++=EXTRAWORD
enjoying ^vbg+++xvbg+=enjoying
his ^pp$+pp3+++=his
suffering ^nvbg+++xvbg+=suffering
without ^in++++=without
comprehending ^xvbg+++xvbg+=comprehending
its ^pp$+it+++=its
depth ^nn++++=depth;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
From ^in++++=From
that ^dt+dem+++=that
evening ^nn++++=evening
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her
morning ^nn++++=morning
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
at ^rb++++=at
lessons ^nns++++=lessons
and ^cc++++=and
at ^in++++=at
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
in ^in++++=in
dreams ^nps++++=dreams
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
most ^ql+emph+++=most
commonplace ^nn++++=commonplace
occupations ^nns+nom+++=occupations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
letters ^nns+nom+++=letters
of ^in++++=of
her ^pp$+pp3+++=her
name ^nn++++=name
acquired ^vbd+++xvbn+=acquired
splendour ^nn++++=splendour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
them ^pp3o+pp3+++=them
in ^in++++=in
margins ^nns++++=margins
and ^cc++++=and
erased ^vbd+++xvbn+=erased
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
composed ^vbd+++xvbnx+=composed
speeches ^nns++++=speeches
while ^cs+sub+++=while
walking ^vbg+++xvbg+=walking
to ^in++++=to
school ^nn++++=school,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
could ^md+pos+++=could
say ^vb+vpub+++=say
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
Sergei ^np+++??+=Sergei
at ^in++++=at
home ^nr++++=home?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
imagined ^vbd+vprv++xvbnx+=imagined
rescuing ^vbg+++xvbg+=rescuing
her ^pp$+pp3+++=her
from ^in++++=from
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
drowning ^nvbg+++xvbg+=drowning,
, ^zz++++=EXTRAWORD
bandits ^nns++++=bandits
and ^cc++++=and
dishonour ^nn++++=dishonour;
; ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
fantasies ^nns++++=fantasies
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
shot ^vpsv++agls+xvbnx+=shot
through ^in++++=through
the ^ati++++=the
chest ^nn++++=chest
but ^cc++++=but
remained ^vbd+++xvbn+=remained
standing ^vbg+++xvbg+=standing
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
place ^vbi++++=place
her ^pp$+pp3+++=her
safely ^rb++++=safely
in ^in++++=in
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Easter ^np++++=Easter
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
year ^nn++++=year
came ^vbd+++xvbn+=came
early ^jj++++=early.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
still ^rb+atrb+++=still
lay ^jjb+++xvbn+=lay
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden
hollows ^nns++++=hollows,
, ^zz++++=EXTRAWORD
blackened ^jj++++=blackened
by ^in++++=by
twigs ^nns++++=twigs
and ^cc++++=and
soot ^nn++++=soot,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
paths ^nns++++=paths
were ^vbd+bed+vrb++=were
wet ^jj+pred+++=wet
and ^cc+phrs+++=and
shining ^jj+++xvbg+=shining.
. ^zz++++=EXTRAWORD
During ^in++++=During
Holy ^jj+atrb+++=Holy
Week ^nn++++=Week
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Copper ^nn++++=Copper
bowls ^nns++++=bowls
rang ^vbd+++xvbn+=rang
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen;
; ^zz++++=EXTRAWORD
almonds ^nns++++=almonds
were ^vbd+bed+aux++=were
chopped ^vpsv++agls+xvbnx+=chopped;
; ^zz++++=EXTRAWORD
eggs ^nns++++=eggs
were ^vbd+bed+aux++=were
dyed ^vpsv++agls+xvbnx+=dyed
purple ^jj++++=purple,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow
and ^cc++++=and
sapphire ^nn++++=sapphire
blue ^nn++++=blue;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cook ^nn++++=cook,
