# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Deposition ^nn+nom+++=Deposition
made ^vbd+++xvbnx+=made
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
yet ^rb++++=yet
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newspapers ^nns+nom+++=newspapers
later ^rbr+tm+++=later
represented ^vbd+++xvbn+=represented
it ^pp3+it+++=it
as ^in++++=as
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
evening ^nn++++=evening,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
temperance ^nn+nom+++=temperance
society ^nn++++=society
claimed ^vbd+vpub++xvbn+=claimed
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
first ^rb++++=first
human ^jj+atrb+++=human
utterance ^nn+nom+++=utterance
was ^vbd+bedz+vrb++=was
" ^zz++++="Never
never ^rb++++=EXTRAWORD
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Both ^abx++++=Both
are ^vb+ber+vrb++=are
false ^jj+pred+++=false.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
rough ^jj+atrb+++=rough
explosion ^nn++++=explosion,
, ^zz++++=EXTRAWORD
half ^abn++++=half
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
half ^abn++++=half
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
resembled ^vbd+++xvbn+=resembled
the ^ati++++=the
sailors ^nns++++=sailors'
' ^zz++++=EXTRAWORD
exclamation ^nn+nom+++=exclamation
closely ^rb++++=closely
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
became ^vbd+++xvbnx+=became
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
deck ^nn++++=deck
erupted ^vbd+++xvbn+=erupted.
. ^zz++++=EXTRAWORD
Caps ^nns++++=Caps
flew ^vbd+++xvbn+=flew
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
Voss ^np+++??+=Voss
embraced ^vbd+++xvbn+=embraced
the ^ati++++=the
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
assistant ^nn+nom+++=assistant.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
rang ^vbd+++xvbn+=rang
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
bell ^nn++++=bell
without ^in++++=without
authorization ^nn+nom+++=authorization.
. ^zz++++=EXTRAWORD
A ^at++++=A
funnel ^nn++++=funnel
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
spirits ^nns++++=spirits
were ^vbd+bed+aux++=were
poured ^vpsv++agls+xvbnx+=poured
into ^in++++=into
me ^pp1o+pp1+++=me
in ^in++++=in
honor ^nn++++=honor
of ^in++++=of
my ^pp$+pp1+++=my
achievement ^nn+nom+++=achievement.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lost ^vbd+++xvbnx+=lost
consciousness ^nns+nom+++=consciousness
among ^in++++=among
cheers ^nns++++=cheers.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
position ^nn+nom+++=position
within ^in++++=within
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
Before ^in+strn+++=Before,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
animal ^nn++++=animal
attempting ^vwbg+++xvbg+=attempting
tricks ^nns++++=tricks.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
an ^at++++=an
animal ^nn++++=animal
suspected ^vbd+vprv++xvbn+=suspected
of ^in++++=of
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
suspicion ^nn++++=suspicion
opened ^vbd+++xvbn+=opened
my ^pp$+pp1+++=my
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Speech ^nn++++=Speech
did ^vbd+dod+aux++=did
not ^xnot++not++=not
arrive ^vb++++=arrive
by ^in++++=by
miracle ^nn++++=miracle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
awaken ^vb++++=awaken
one ^cd1++++=one
morning ^nn++++=morning
with ^in++++=with
grammar ^nn++++=grammar
in ^in++++=in
my ^pp$+pp1+++=my
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stole ^vbd+++xvbnx+=stole
sounds ^nns++++=sounds
individually ^rb++++=individually.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lips ^nns++++=lips
of ^in++++=of
men ^nns++++=men
fascinated ^vwbn+++xvbn+=fascinated
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
pressed ^vbd+++xvbnx+=pressed
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
tongue ^nn++++=tongue
appeared ^vbd+seem++xvbn+=appeared
and ^cc+phrs+++=and
withdrew ^vbd+++xvbn+=withdrew,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
throat ^nn++++=throat
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
For ^in++++=For
hours ^nns++++=hours
I ^pp1a+pp1+++=I
repeated ^vbd+++xvbnx+=repeated
the ^ati++++=the
same ^ap++++=same
noise ^nn++++=noise
until ^cs+sub+++=until
it ^pp3+it+++=it
detached ^vbd+++xvbn+=detached
itself ^ppl++++=itself
from ^in++++=from
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
cries ^nns++++=cries
and ^cc++++=and
stood ^vbd+++xvbn+=stood
separately ^rb+cnj+++=separately,
, ^zz++++=EXTRAWORD
ugly ^jj++++=ugly
but ^cc+phrs+++=but
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
" ^zz++++="Water"
water ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
among ^in++++=among
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="Voss"
voss ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
easily ^rb+cnj+++=easily,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
required ^vbd+++xvbn+=required
little ^ap++++=little
refinement ^nn+nom+++=refinement
from ^in++++=from
a ^at++++=a
hiss ^nn++++=hiss.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes"
yes ^uh++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
invaluable ^jj+pred+++=invaluable.
. ^zz++++=EXTRAWORD
" ^zz++++="No"
no ^at++++=EXTRAWORD
" ^zz++++=EXTRAWORD
took ^vbd+++xvbn+=took
longer ^rbr++++=longer
not ^xnot++not++=not
as ^in++++=as
a ^at++++=a
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
a ^at++++=a
privilege ^nn++++=privilege.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
every ^at++++=every
correct ^jj+atrb+++=correct
answer ^nn++++=answer
was ^vbd+bedz+vrb++=was
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
instructors ^nns++++=instructors
beat ^vbd+++xvbn+=beat
the ^ati++++=the
cage ^nn++++=cage
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
failed ^vbd+++xvbnx+=failed
and ^cc+phrs+++=and
rewarded ^vbd+++xvbn+=rewarded
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
succeeded ^vbd+++xvbnx+=succeeded.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
remarkable ^jj++++=remarkable
in ^in++++=in
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
schools ^nns++++=schools
use ^nn++++=use
examinations ^nns+nom+++=examinations,
, ^zz++++=EXTRAWORD
salaries ^nns++++=salaries,
, ^zz++++=EXTRAWORD
humiliation ^nn+nom+++=humiliation,
, ^zz++++=EXTRAWORD
medals ^nns++++=medals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
threat ^nn++++=threat
of ^in++++=of
poverty ^nn++++=poverty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
instruments ^nns+nom+++=instruments
differ ^vb++++=differ;
; ^zz++++=EXTRAWORD
the ^ati++++=the
melody ^nn++++=melody
is ^vbz+bez+vrb++=is
familiar ^jj+pred+++=familiar.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
entered ^vbd+++xvbn+=entered
Hamburg ^np++++=Hamburg,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
drink ^vb++++=drink
from ^in++++=from
a ^at++++=a
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
shake ^vb++++=shake
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
spit ^nn++++=spit
with ^in++++=with
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
wear ^vb++++=wear
a ^at++++=a
loose ^jj+atrb+++=loose
pair ^nn++++=pair
of ^in++++=of
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say
perhaps ^rb++++=perhaps
twenty ^cd++++=twenty
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trousers ^nns+nom+++=trousers
deserve ^vb++++=deserve
mention ^nn+nom+++=mention.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
too ^ql++++=too
large ^jj++++=large
and ^cc+phrs+++=and
secured ^jj+++xvbn+=secured
with ^in++++=with
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sailors ^nns++++=sailors'
' ^zz++++=EXTRAWORD
delight ^nn++++=delight
at ^rb++++=at
seeing ^jj+++xvbg+=seeing
me ^pp1o+pp1+++=me
dressed ^vbd+++xvbn+=dressed
surpassed ^vbd+++xvbn+=surpassed
the ^ati++++=the
pleasure ^nn++++=pleasure
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
in ^rb+phrv+++=in
my ^pp$+pp1+++=my
wounds ^nns++++=wounds.
. ^zz++++=EXTRAWORD
Nakedness ^nns+nom+++=Nakedness,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
discovered ^vbd+vprv++xvbnx+=discovered,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
offensive ^jj+pred+++=offensive
chiefly ^rb++++=chiefly
when ^wrb+who+++=when
it ^pp3+it+++=it
resembles ^vbz++++=resembles
the ^ati++++=the
observer ^nn+nom+++=observer.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
docks ^nns++++=docks
I ^pp1a+pp1+++=I
faced ^vbd+++xvbnx+=faced
my ^pp$+pp1+++=my
first ^rb++++=first
important ^jj+atrb+++=important
administrative ^jj+atrb+++=administrative
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
Representatives ^nns++++=Representatives
of ^in++++=of
two ^cd++++=two
institutions ^nns+nom+++=institutions
came ^vbd+++xvbn+=came
aboard ^in+strn+++=aboard.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
from ^in++++=from
the ^ati++++=the
zoological ^jj+atrb+++=zoological
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
measured ^vbd+++xvbnx+=measured
me ^pp1o+pp1+++=me
through ^in++++=through
the ^ati++++=the
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
my ^pp$+pp1+++=my
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discussed ^vbd+++xvbn+=discussed
ventilation ^nn+nom+++=ventilation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
represented ^jj+++xvbn+=represented
a ^at++++=a
variety ^nn++++=variety
theater ^jjr++++=theater.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
green ^jj+atrb+++=green
coat ^nn++++=coat
and ^cc++++=and
carried ^vbd+++xvbn+=carried
a ^at++++=a
cane ^nn++++=cane
with ^in++++=with
a ^at++++=a
silver ^nn++++=silver
knob ^nn++++=knob.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
me ^pp1o+pp1+++=me
to ^in++++=to
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
smoked ^vbd+++xvbnx+=smoked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
me ^pp1o+pp1+++=me
to ^to++++=to
salute ^vbi++++=salute.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saluted ^vbd+++xvbnx+=saluted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
zoo ^nn++++=zoo
offered ^vbd+++xvbn+=offered
security ^nn+nom+++=security.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
larger ^jjr+atrb+++=larger
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
regular ^jj+atrb+++=regular
food ^nn++++=food,
, ^zz++++=EXTRAWORD
painted ^jj+atrb++xvbn+=painted
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
a ^at++++=a
dead ^jj+atrb+++=dead
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
brass ^nn++++=brass
plate ^nn++++=plate
containing ^vwbg+++xvbg+=containing
my ^pp$+pp1+++=my
place ^nn++++=place
of ^in++++=of
origin ^nn++++=origin.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
would ^md+prd+++=would
have ^vb+hv+aux++=have
thrown ^vprf+++xvbnx+=thrown
nuts ^nns++++=nuts
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Naturalists ^nns+nom++??+=Naturalists
would ^md+prd+++=would
have ^vb+hv+aux++=have
watched ^vprf+++xvbnx+=watched
me ^pp1o+pp1+++=me
mate ^nn++++=mate.
. ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
the ^ati++++=the
dignified ^jj+atrb+++=dignified
father ^nn++++=father
of ^in++++=of
a ^at++++=a
captive ^jj+atrb+++=captive
family ^nn++++=family.
. ^zz++++=EXTRAWORD
The ^ati++++=The
theater ^nn++++=theater
offered ^vbd+++xvbn+=offered
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
ridicule ^nn++++=ridicule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
possibility ^nn+nom+++=possibility.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen:
: ^zz++++=EXTRAWORD
not ^xnot++not++=not
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
A ^at++++=A
way ^nn++++=way
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
first ^od++++=first
trainer ^nn++++=trainer
was ^vbd+bedz+vrb++=was
Herr ^npt++++=Herr
Eber ^np+++??+=Eber.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
trained ^vprf+++xvbnx+=trained
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
ponies ^nns++++=ponies,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pigs ^nns++++=pigs,
, ^zz++++=EXTRAWORD
a ^at++++=a
goose ^nn++++=goose
that ^tht+rel+++=that
played ^jj+++xvbn+=played
a ^at++++=a
drum ^nn++++=drum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
man ^nn++++=man
from ^in++++=from
Saxony ^np+++??+=Saxony
who ^whp+rel+subj++=who
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
cannibal ^nn+nom+++=cannibal.
. ^zz++++=EXTRAWORD
Herr ^npt++++=Herr
Eber ^np+++??+=Eber
possessed ^vbd+++xvbn+=possessed
patience ^np+nom+++=patience
of ^in++++=of
a ^at++++=a
hard ^jj+atrb+++=hard,
, ^zz++++=EXTRAWORD
economical ^jj+atrb+++=economical
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
from ^in++++=from
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struck ^vbd+++xvbnx+=struck
me ^pp1o+pp1+++=me
toward ^in++++=toward
a ^at++++=a
result ^nn++++=result.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distinction ^nn+nom+++=distinction
mattered ^vbd+++xvbn+=mattered.
. ^zz++++=EXTRAWORD
Anger ^nn++++=Anger
is ^vbz+bez+vrb++=is
wasteful ^jj+pred+++=wasteful.
. ^zz++++=EXTRAWORD
A ^at++++=A
blow ^nn++++=blow
delivered ^vwbn+++xvbn+=delivered
in ^in++++=in
anger ^nn++++=anger
may ^md+pos+++=may
fall ^vb++++=fall
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
Herr ^npt++++=Herr
Eber ^np++++=Eber's
's ^$++++=EXTRAWORD
blows ^nns++++=blows
were ^vbd+bed+vrb++=were
instructional ^jj+pred+++=instructional
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
landed ^jj+++xvbn+=landed
exactly ^rb++++=exactly
where ^wrb+who+++=where
the ^ati++++=the
lesson ^nn++++=lesson
required ^vbd+++xvbn+=required.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
worked ^vbd+++xvbn+=worked
in ^in++++=in
a ^at++++=a
locked ^jj+atrb++xvbn+=locked
room ^nn++++=room
from ^in++++=from
dawn ^nn++++=dawn
until ^in++++=until
late ^jj+atrb+++=late
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
stand ^vbi++++=stand
upright ^jj++++=upright
for ^in++++=for
longer ^rbr++++=longer
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hips ^nns++++=hips
suffered ^vbd+++xvbn+=suffered.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
feet ^nns++++=feet
bled ^vbd+++xvbn+=bled
inside ^jjb+atrb+++=inside
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
spine ^nn++++=spine,
, ^zz++++=EXTRAWORD
built ^j+++xvbn+=built
for ^in++++=for
another ^dt++++=another
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
protested ^j+++xvbn+=protested
each ^dt++++=each
civilized ^jj+atrb+++=civilized
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Eber ^np+++??+=Eber
tied ^vbd+++xvbn+=tied
a ^at++++=a
cord ^nn++++=cord
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
chin ^nn++++=chin
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
hold ^vb+vprv+tht0++=hold
my ^pp$+pp1+++=my
head ^jjb++++=head
high ^jj++++=high.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
dropped ^vbd+++xvbnx+=dropped
onto ^in++++=onto
my ^pp$+pp1+++=my
knuckles ^nns++++=knuckles,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
touched ^vbd+++xvbnx+=touched
a ^at++++=a
hot ^jj+atrb+++=hot
iron ^nn++++=iron
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
my ^pp$+pp1+++=my
fur ^nn++++=fur
caught ^vbd+++xvbn+=caught
fire ^nn++++=fire
at ^rb++++=at
the ^ati++++=the
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
out ^rp+pl+++=out
immediately ^rb+tm+++=immediately
and ^cc++++=and
praised ^xvbn+++xvbn+=praised
me ^pp1o+pp1+++=me
for ^in++++=for
remaining ^xvbg+++xvbg+=remaining
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
conscientious ^jj+atrb+++=conscientious
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Language ^nn+nom+++=Language
became ^vbd+++xvbn+=became
the ^ati++++=the
central ^jj+atrb+++=central
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
nouns ^nns++++=nouns
first ^rb++++=first:
: ^zz++++=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
door ^nn++++=door,
, ^zz++++=EXTRAWORD
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Abstract ^jj+atrb+++=Abstract
terms ^nns++++=terms
came ^vbd+++xvbn+=came
later ^rbr+tm+++=later
and ^cc++++=and
caused ^vbd+++xvbn+=caused
more ^rbr++++=more
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
" ^zz++++="Duty"
duty ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant
doing ^vbg+++xvbg+=doing
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
demanded ^vpsv++agls+xvbnx+=demanded
before ^cs+sub+++=before
the ^ati++++=the
stick ^nn++++=stick
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
" ^zz++++="Success"
success ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
meant ^vbd+vprv+tht0+xvbn+=meant
the ^ati++++=the
stick ^nn++++=stick
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
" ^zz++++="Dignity"
dignity ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant
enduring ^jj+++xvbg+=enduring
the ^ati++++=the
lesson ^nn++++=lesson
without ^in++++=without
showing ^xvbg+++xvbg+=showing
the ^ati++++=the
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
" ^zz++++="Freedom,"
freedom ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
when ^wrb+who+++=when
used ^vpsv++by+xvbn+=used
by ^in++++=by
the ^ati++++=the
theater ^jjr+atrb+++=theater
director ^nn++++=director,
, ^zz++++=EXTRAWORD
meant ^vb+++xvbn+=meant
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
contract ^nn++++=contract
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
renewed ^vpsv++agls+xvbnx+=renewed.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
Herr ^npt++++=Herr
Eber ^np+++??+=Eber
slept ^vbd+++xvbn+=slept
badly ^rb++++=badly
on ^in++++=on
a ^at++++=a
sofa ^nn++++=sofa
in ^in++++=in
the ^ati++++=the
adjoining ^jj+atrb++xvbg+=adjoining
room ^nn++++=room.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
him ^pp3o+pp3+++=him
groan ^nn++++=groan,
, ^zz++++=EXTRAWORD
mutter ^nn++++=mutter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grind ^nn+++??+=grind
his ^pp$+pp3+++=his
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
woke ^vbd+++xvbnx+=woke
and ^cc+phrs+++=and
stared ^vbd+++xvbn+=stared
at ^rb++++=at
me ^pp1o+pp1+++=me
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
panel ^nn++++=panel
in ^in++++=in
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
progress ^nns+nom+++=progress
terrified ^jj++++=terrified
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
failed ^vbd+++xvbnx+=failed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
