Adventure ^nn++++=Adventure
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
inn ^nn++++=inn.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
the ^ati++++=the
district ^nn++++=district
was ^vbd+bedz+aux++=was
inhabited ^vpsv++agls+xvbnx+=inhabited."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
wolves ^nps++++=wolves!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
wolves ^nps++++=wolves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
inn ^nn++++=inn?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ten
ten ^cd++++=EXTRAWORD
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
fifteen ^cd++++=fifteen
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
stared ^vbd+++xvbn+=stared
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
nearby ^jjb+atrb+++=nearby
inn ^nn++++=inn
altered ^vwbn+++xvbn+=altered
the ^ati++++=the
situation ^nn+nom+++=situation
so ^rb++++=so
completely ^rb+amp+++=completely
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
personally ^rb++++=personally
deceived ^vpsv++by+xvbn+=deceived
by ^in++++=by
geography ^nn++++=geography.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
go ^vb++++=go
there ^rn+pl+++=there
at ^rb++++=at
once ^rb"+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
come ^vprf+++xvbn+=come
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
wolves ^nps++++=wolves
are ^vb+ber+vrb++=are
outside ^jjb+pred+++=outside."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
eat ^vb++++=eat
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
name ^nn++++=name
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
about ^rb++++=about
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
regarded ^vwbn+++xvbn+=regarded
him ^pp3o+pp3+++=him
with ^in++++=with
calm ^nn++++=calm
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
unfortunate ^jj+pred+++=unfortunate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
carriage ^nn+nom+++=carriage
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
whirled ^vbd+++xvbn+=whirled
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
a ^at++++=a
gust ^nn++++=gust
of ^in++++=of
air ^nn++++=air
so ^ql+emph+++=so
cold ^jj++++=cold
that ^dt+dem+++=that
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
travelled ^vbd+++xvbn+=travelled
expressly ^rb++++=expressly
from ^in++++=from
Russia ^np++++=Russia.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
seriously ^rb++splt++=seriously
intend ^vb++++=intend
to ^to+vcmp+++=to
cross ^vbi++++=cross
a ^at++++=a
wolf ^nn++++=wolf-infested
- ^zz++++=EXTRAWORD
infested ^vprf+++xvbn+=EXTRAWORD
forest ^nn++++=forest
in ^in++++=in
darkness ^nns+nom+++=darkness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
cousin ^nn++++=cousin
Karl ^np++++=Karl
keeps ^vbz++++=keeps
the ^ati++++=the
inn ^nn++++=inn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
have ^vb+hv+vrb++=have
soup ^nn++++=soup."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
invocation ^nn+nom+++=invocation
of ^in++++=of
soup ^nn++++=soup
overcame ^vbd+++xvbn+=overcame
whatever ^nn+nom+++=whatever
objections ^nns+nom+++=objections
her ^pp$+pp3+++=her
theology ^nn++++=theology
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
unresolved ^jj++++=unresolved.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stepped ^vbd+++xvbnx+=stepped
down ^rp++++=down
onto ^in++++=onto
the ^ati++++=the
buried ^jj+++xvbn+=buried
track ^npl++++=track.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
remained ^vbd+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
divided ^xvbn+++xvbn+=divided
between ^in++++=between
the ^ati++++=the
wolves ^nps++++=wolves
outside ^jjb++++=outside
and ^cc++++=and
the ^ati++++=the
solitude ^nn++++=solitude
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
alternatives ^nns++++=alternatives
possessed ^vbd+++xvbn+=possessed
grave ^jj+atrb+++=grave
disadvantages ^nns+nom+++=disadvantages;
; ^zz++++=EXTRAWORD
the ^ati++++=the
carriage ^nn+nom+++=carriage
at ^rb++++=at
least ^rb"++++=least
had ^vb+hv+vrb++=had
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
inn ^npl++++=inn
had ^vb+hv+vrb++=had
soup ^nn++++=soup.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
calculating ^vbg+++xvbgx+=calculating
the ^ati++++=the
relative ^jj+atrb+++=relative
value ^nn++++=value
of ^in++++=of
these ^dt+dem+++=these
features ^nns++++=features
when ^wrb+who+++=when
two ^cd++++=two
large ^jj+atrb+++=large
animals ^nns+nom+++=animals
burst ^vbd+++xvbn+=burst
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
fir ^nn++++=fir
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rushed ^vbd+++xvbnx+=rushed
at ^rb++++=at
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
gave ^vbd+++xvbn+=gave
a ^at++++=a
warning ^nn++++=warning
cry ^nn++++=cry
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
wholly ^rb++++=wholly
articulate ^jj++++=articulate
nor ^cc++neg++=nor
entirely ^rb+amp+++=entirely
English ^jj++++=English.
. ^zz++++=EXTRAWORD
The ^ati++++=The
animals ^nns+nom+++=animals
sprang ^vbd+++xvbn+=sprang
around ^in++++=around
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
rearing ^nn++++=rearing
against ^in++++=against
her ^pp$+pp3+++=her
skirts ^nns++++=skirts
and ^cc++++=and
thrusting ^vbg+++xvbg+=thrusting
their ^pp$+pp3+++=their
muzzles ^nns+++??+=muzzles
into ^in++++=into
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
scolded ^vbd+++xvbnx+=scolded
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
struck ^vbd+++xvbn+=struck
one ^cd1++++=one
lightly ^rb++++=lightly
with ^in++++=with
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
her ^pp$+pp3+++=her
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
dogs ^nns++++=dogs
great ^jj+atrb+++=great
shaggy ^jj+atrb+++=shaggy,
, ^zz++++=EXTRAWORD
delighted ^jj+atrb++xvbn+=delighted
dogs ^nns++++=dogs
wearing ^vwbg+++xvbg+=wearing
broad ^jj+atrb+++=broad
leather ^nn++++=leather
collars ^nns++++=collars.
. ^zz++++=EXTRAWORD
" ^zz++++="Karl's,"
karl ^np++++=EXTRAWORD
's," ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
come ^vb++++=come
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
hear ^vb+vprv+++=hear
the ^ati++++=the
train ^nn++++=train."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
descended ^vbd+++xvbn+=descended
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
retaining ^vbg+++xvbg+=retaining
one ^cd1++++=one
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
carriage ^nn+nom+++=carriage
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
animals ^nns+nom+++=animals
bounded ^vwbn+++xvbn+=bounded
toward ^in++++=toward
him ^pp3o+pp3+++=him
with ^in++++=with
sociable ^jj+atrb+++=sociable
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
retreated ^vbd+++xvbnx+=retreated
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbn+=knew
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
dogs ^nns++++=dogs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
wolves ^nps++++=wolves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
without ^in++++=without
help ^nn++++=help."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
unjust ^jj+pred+++=unjust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
demonstrably ^rb++++=demonstrably
so ^rb++++=so.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
started ^vbd+++xvbn+=started
along ^in++++=along
a ^at++++=a
narrow ^jj+atrb+++=narrow
path ^nn++++=path
between ^in++++=between
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dogs ^nns++++=dogs
escorting ^vwbg+++xvbg+=escorting
her ^pp$+pp3+++=her
with ^in++++=with
ceremonial ^nn++++=ceremonial
leaps ^vbz++++=leaps.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
follow ^vbi+vprv+++=follow.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
not ^xnot++not++=not
tell ^vb++++=tell
me ^pp1o+pp1+++=me
at ^rb++++=at
once ^rb"+tm+++=once
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
inn ^nn++++=inn
nearby ^jjb++++=nearby?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned.
. ^zz++++=EXTRAWORD
" ^zz++++="Karl
karl ^np++++=EXTRAWORD
charges ^nns++++=charges
strangers ^nns+nom+++=strangers
too ^ql++++=too
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
spare ^vbi++++=spare
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
sell ^vbi++++=sell
the ^ati++++=the
sausage ^nn+nom+++=sausage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
revelations ^nns+nom+++=revelations
which ^whp+rel+subj++=which
illuminate ^nn+nom+++=illuminate
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
which ^whp+rel+subj++=which
merely ^rb+down+++=merely
confirm ^vb+vpub+++=confirm
the ^ati++++=the
darkness ^nns+nom+++=darkness
already ^rb++++=already
suspected ^jj+++xvbn+=suspected.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
the ^ati++++=the
retreating ^jj+atrb+++=retreating
shawl ^nn++++=shawl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dogs ^nns++++=dogs
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
represented ^vprf+++xvbnx+=represented
death ^nn++++=death.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
the ^ati++++=the
forest ^nn++++=forest
contained ^vbd+++xvbn+=contained
dangers ^nns+nom+++=dangers
subtler ^jjr++++=subtler
than ^in++++=than
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much
does ^vbz+doz+vrb++=does
Karl ^np++++=Karl
charge ^nn++++=charge?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
soup ^nn++++=soup?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Too
too ^ql++++=EXTRAWORD
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
this ^dt+dem+++=this
disturbing ^jj+atrb++xvbg+=disturbing
estimate ^nn+nom+++=estimate
could ^md+pos+++=could
be ^vb+be+aux++=be
tested ^vpsv++agls+xvbnx+=tested,
, ^zz++++=EXTRAWORD
a ^at++++=a
whistle ^nn++++=whistle
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
train ^nn++++=train
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
A ^at++++=A
red ^jj++++=red
light ^jj++++=light
grew ^vbd+++xvbn+=grew
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
laboured ^jj+atrb++xvbn+=laboured
approach ^nn++++=approach
of ^in++++=of
a ^at++++=a
relief ^nn++++=relief
engine ^nn++++=engine
pushing ^vwbg+++xvbg+=pushing
a ^at++++=a
guard ^nn++++=guard's
's ^$++++=EXTRAWORD
van ^nn++++=van.
. ^zz++++=EXTRAWORD
Railway ^nn++++=Railway
men ^nns++++=men
appeared ^vbd+seem++xvbn+=appeared
with ^in++++=with
lanterns ^nns++++=lanterns,
, ^zz++++=EXTRAWORD
shovels ^nns++++=shovels,
, ^zz++++=EXTRAWORD
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
important ^jj+atrb+++=important
expressions ^nns++++=expressions
of ^in++++=of
officials ^nns+nom+++=officials
arriving ^vwbg+++xvbg+=arriving
after ^cs+sub+++=after
a ^at++++=a
catastrophe ^nn++++=catastrophe
has ^vbz+hvz+aux++=has
safely ^rb++splt++=safely
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
occur ^vbi++++=occur.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
waved ^vbd+++xvbn+=waved
with ^in++++=with
an ^at++++=an
enthusiasm ^nn++++=enthusiasm
he ^pp3a+pp3+++=he
would ^md+prd+++=would
later ^rbr+tm+splt++=later
consider ^nn+nom+++=consider
excessive ^jj++++=excessive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
paused ^vbd+++xvbn+=paused,
, ^zz++++=EXTRAWORD
calculated ^vpbn+vprv++xvbn+=calculated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
toward ^in++++=toward
the ^ati++++=the
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inn ^npl++++=inn
lost ^vbd+++xvbn+=lost
its ^pp$+it+++=its
customer ^nn+nom+++=customer;
; ^zz++++=EXTRAWORD
the ^ati++++=the
railway ^nn++++=railway
recovered ^vbd+++xvbn+=recovered
its ^pp$+it+++=its
passenger ^nn+nom+++=passenger;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wolves ^nps++++=wolves,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
were ^vbd+bed+aux++=were
present ^vb++++=present,
, ^zz++++=EXTRAWORD
remained ^j+++xvbn+=remained
professionally ^rb++++=professionally
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour
the ^ati++++=the
carriage ^nn+nom+++=carriage
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
coupled ^vpsv++agls+xvbnx+=coupled
to ^in++++=to
the ^ati++++=the
relief ^nn++++=relief
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
resumed ^vbd+++xvbn+=resumed
his ^pp$+pp3+++=his
journey ^nn++++=journey
to ^in++++=to
Fiume ^np+++??+=Fiume,
, ^zz++++=EXTRAWORD
to ^in++++=to
Millicent ^np+++??+=Millicent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
a ^at++++=a
marriage ^nn+nom+++=marriage
arranged ^vwbn+vsua++xvbn+=arranged
with ^in++++=with
every ^at++++=every
possible ^jj+atrb+++=possible
safeguard ^nn++++=safeguard
against ^in++++=against
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
discovered ^vbd+vprv++xvbn+=discovered
whether ^cs+who+++=whether
Karl ^np++++=Karl's
's ^$++++=EXTRAWORD
prices ^nns++++=prices
justified ^vwbn+++xvbn+=justified
his ^pp$+pp3+++=his
cousin ^nn++++=cousin's
's ^$++++=EXTRAWORD
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
ignorance ^nn+nom+++=ignorance
troubled ^vbd+++xvbn+=troubled
him ^pp3o+pp3+++=him
occasionally ^rb++++=occasionally
in ^in++++=in
later ^rbr+tm+++=later
life ^nn++++=life,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
suspicion ^nn++++=suspicion
that ^tht+ncmp+++=that
they ^pp3a+pp3+++=they
probably ^rb++++=probably
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
