# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Memoranda ^np+++??+=Memoranda
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
home ^nr++++=home
receded ^vbd+++xvbn+=receded
astern ^rb+pl+++=astern
at ^in++++=at
six ^cd++++=six
knots ^nns++++=knots.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
*jeroboam* ^nn+++??+=*Jeroboam*
finally ^rb++++=finally
entered ^xvbn+++xvbn+=entered
New ^np++++=New
Bedford ^np++++=Bedford,
, ^zz++++=EXTRAWORD
Manuel ^np++++=Manuel
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
ashore ^rb+pl+++=ashore
with ^in++++=with
eight ^cd++++=eight
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
a ^at++++=a
Bible ^nn++++=Bible
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
account ^nn++++=account
proving ^vb+++xvbg+=proving
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
cost ^nn++++=cost
the ^ati++++=the
owners ^nns++++=owners
much ^ap++++=much
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eight ^cd++++=eight
dollars ^nns++++=dollars
were ^vbd+bed+aux++=were
mentioned ^vpsv++agls+xvbnx+=mentioned
in ^in++++=in
every ^at++++=every
subsequent ^nn++++=subsequent
telling ^vwbg+++xvbg+=telling;
; ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
years ^nns++++=years
were ^vbd+bed+aux++=were
generally ^rb+down+splt++=generally
omitted ^vpsv++agls+xvbnx+=omitted,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
detail ^nn++++=detail
injurious ^jj++++=injurious
to ^in++++=to
the ^ati++++=the
moral ^nn++++=moral.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Hosea ^np+++??+=Hosea
Kean ^np+++??+=Kean,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
never ^rb++++=never
suffered ^vbd+++xvbn+=suffered
such ^abl++++=such
imposition ^nn+nom+++=imposition.
. ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
little ^ap++++=little
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
maintained ^vbd+vpub++xvbnx+=maintained
that ^tht+vcmp+++=that
a ^at++++=a
candidate ^nn+nom+++=candidate
viewed ^vwbn+++xvbn+=viewed
in ^in++++=in
the ^ati++++=the
marketplace ^nn+++??+=marketplace
was ^vbd+bedz+vrb++=was
a ^at++++=a
candidate ^nn+nom+++=candidate
in ^in++++=in
theatrical ^jj+atrb+++=theatrical
condition ^nn+nom+++=condition.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
before ^in++++=before
a ^at++++=a
captain ^nn++++=captain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
all ^abn++++=all
leg ^nn++++=leg
and ^cc++++=and
willingness ^nns+nom+++=willingness.
. ^zz++++=EXTRAWORD
Catch ^vb++++=Catch
him ^pp3o+pp3+++=him
natural ^jj++++=natural."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
recruiting ^vbg+++xvbg+=recruiting
at ^rb++++=at
Fogo ^np+++??+=Fogo,
, ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean
first ^od++++=first
inspected ^vbd+++xvbn+=inspected
the ^ati++++=the
applicants ^nns+nom+++=applicants
publicly ^rb++++=publicly
and ^cc++++=and
rejected ^vwbn+++xvbn+=rejected
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
At ^in++++=At
dusk ^nn++++=dusk
he ^pp3a+pp3+++=he
armed ^vbd+++xvbnx+=armed
the ^ati++++=the
mate ^nn++++=mate
and ^cc++++=and
four ^cd++++=four
boatsteerers ^nns+nom+++=boatsteerers,
, ^zz++++=EXTRAWORD
hired ^j+++xvbn+=hired
a ^at++++=a
boy ^nn++++=boy
as ^ql++++=as
guide ^vb++++=guide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marched ^vbd+++xvbn+=marched
inland ^jjb++++=inland
to ^to++++=to
observe ^vbi+vprv+++=observe
the ^ati++++=the
rejected ^jj+atrb++xvbn+=rejected
men ^nns++++=men
in ^in++++=in
their ^pp$+pp3+++=their
domestic ^jj+atrb+++=domestic
state ^nn++++=state.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
theory ^nn++++=theory
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
disease ^nn++++=disease
might ^md+pos+++=might
lie ^vb++++=lie
to ^in++++=to
a ^at++++=a
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
would ^md+prd+++=would
tell ^vb++++=tell
the ^ati++++=the
truth ^nn++++=truth
to ^in++++=to
a ^at++++=a
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
The ^ati++++=The
expedition ^nn+nom+++=expedition
approached ^vbd+++xvbn+=approached
each ^ppls++++=each
cottage ^npl+nom+++=cottage
silently ^rb++++=silently.
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
signal ^nn++++=signal
the ^ati++++=the
party ^nn++++=party
rushed ^vbd+++xvbn+=rushed
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
lanterns ^nns++++=lanterns
raised ^vbd+++xvbn+=raised
and ^cc++++=and
pistols ^nns++++=pistols
ready ^jj+atrb+++=ready,
, ^zz++++=EXTRAWORD
surprising ^jj+atrb++xvbg+=surprising
families ^nns++++=families
at ^in++++=at
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
quarrel ^nn++++=quarrel,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
such ^abl++++=such
other ^ap++++=other
suspicious ^jj+atrb+++=suspicious
pursuits ^nns++++=pursuits
as ^in++++=as
islanders ^nns+nom+++=islanders
practice ^nn++++=practice
when ^wrb+who+++=when
not ^xnot++not++=not
seeking ^jj+atrb++xvbg+=seeking
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
rise ^vbi++++=rise
from ^in++++=from
his ^pp$+pp3+++=his
mat ^nn++++=mat
and ^cc++++=and
jump ^nn++++=jump
three ^cd++++=three
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
carry ^vbi++++=carry
his ^pp$+pp3+++=his
mother ^nn++++=mother
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
A ^at++++=A
third ^nn++++=third,
, ^zz++++=EXTRAWORD
discovered ^jj+atrb++xvbn+=discovered
eating ^jj+atrb++xvbg+=eating
stew ^nn+++??+=stew,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
commanded ^vpsv++agls+xvbnx+=commanded
to ^in++++=to
cough ^nn++++=cough
while ^cs+sub+++=while
the ^ati++++=the
mate ^nn++++=mate
listened ^vbd+++xvbn+=listened
at ^rb++++=at
his ^pp$+pp3+++=his
back ^jjb++++=back
with ^in++++=with
an ^at++++=an
ear ^nn++++=ear
made ^vbd+++xvbn+=made
accurate ^jj++++=accurate
by ^in++++=by
rum ^nn++++=rum.
. ^zz++++=EXTRAWORD
" ^zz++++="Turn
turn ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him
round ^in+strn+++=round,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
rascal ^nn++++=rascal!
! ^zz++++=EXTRAWORD
Ge ^np+++??+=Ge-e-e-e-e!"
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
e ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
fellow ^nn++++=fellow
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
escape ^vbi++++=escape
through ^in++++=through
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean
marked ^vbd+++xvbn+=marked
him ^pp3o+pp3+++=him
especially ^rb++++=especially
sound ^jj++++=sound.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
method ^nn++++=method
he ^pp3a+pp3+++=he
obtained ^vbd+++xvbnx+=obtained
nine ^cd++++=nine
men ^nns++++=men
without ^in++++=without
elephantiasis ^nns+++??+=elephantiasis,
, ^zz++++=EXTRAWORD
concealed ^jj+atrb++xvbn+=concealed
fractures ^nns++++=fractures,
, ^zz++++=EXTRAWORD
advanced ^jj+atrb++xvbn+=advanced
consumption ^nn+nom+++=consumption,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
visible ^jj+atrb+++=visible
reluctance ^nn+nom+++=reluctance.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
had ^vb+hv+vrb++=had
a ^at++++=a
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
clung ^vbd+++xvbn+=clung
to ^in++++=to
his ^pp$+pp3+++=his
arm ^nn++++=arm
and ^cc++++=and
demanded ^vbd+vsua++xvbn+=demanded
to ^to++++=to
know ^vbi+vprv+++=know
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
taken ^vprf+++xvbn+=taken.
. ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
interpreter ^nn+nom+++=interpreter,
, ^zz++++=EXTRAWORD
explained ^vb+++xvbn+=explained
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
earn ^vb++++=earn
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wife ^nn++++=wife
asked ^vbd+vsua++xvbn+=asked
how ^wrb+who+whcl++=how
much ^rb++++=much.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
foreign ^jj++++=foreign
to ^in++++=to
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
expedition ^nn+nom+++=expedition,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
translated ^vbd+++xvbn+=translated.
. ^zz++++=EXTRAWORD
Kean ^np++++=Kean's
's ^$++++=EXTRAWORD
recruits ^nns++++=recruits
proved ^vbd+vprv++xvbn+=proved
excellent ^jj++++=excellent.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
two ^cd++++=two
deserted ^jj+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
three ^cd++++=three
were ^vbd+bed+aux++=were
injured ^vpsv++agls+xvbnx+=injured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
three ^cd++++=three
returned ^vbd+++xvbn+=returned
after ^cs+sub+++=after
four ^cd++++=four
years ^nns++++=years
with ^in++++=with
enough ^dt++++=enough
clothing ^nn++++=clothing
to ^to++++=to
be ^vbi+vbi+aux++=be
mistaken ^vpsv++agls+xvbnx+=mistaken
for ^in++++=for
prosperity ^nn+nom+++=prosperity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
system ^nn++++=system
was ^vbd+bedz+vrb++=was
thereafter ^nn+nom+++=thereafter
much ^ap++++=much
admired ^jj+++xvbn+=admired,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
never ^rb++++=never
generally ^rb+down+++=generally
adopted ^vbd+++xvbn+=adopted,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
required ^vbd+++xvbn+=required
walking ^vbg+++xvbg+=walking
uphill ^jjb++++=uphill
after ^in++++=after
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
the ^ati++++=the
moral ^jj+atrb+++=moral
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
' ^zz++++='Gee,
gee ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hesitate ^nn+nom+++=hesitate
to ^to+vcmp+++=to
pronounce ^vbi++++=pronounce.
. ^zz++++=EXTRAWORD
Sailors ^nns++++=Sailors
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
thievish ^jj+pred+++=thievish,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
sometimes ^rb++++=sometimes
takes ^vbz++++=takes
food ^nn++++=food
when ^wrb+who+++=when
hungry ^jj++++=hungry;
; ^zz++++=EXTRAWORD
cowardly ^jj++++=cowardly,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
dislikes ^nns++++=dislikes
being ^xvbg+++xvbg+=being
struck ^vbd+++xvbn+=struck;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ungrateful ^jj++++=ungrateful,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
after ^in++++=after
a ^at++++=a
voyage ^nn++++=voyage
of ^in++++=of
cuffs ^nns++++=cuffs,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
biscuit ^nn++++=biscuit
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
always ^rb++++=always
thank ^vb++++=thank
the ^ati++++=the
captain ^nn++++=captain
in ^in++++=in
polished ^jj+atrb+++=polished
terms ^nns++++=terms.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
to ^to++++=to
share ^vbi++++=share
his ^pp$+pp3+++=his
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
pull ^vb++++=pull
until ^cs+sub+++=until
blood ^nn++++=blood
stood ^vbd+++xvbn+=stood
in ^in++++=in
his ^pp$+pp3+++=his
palms ^nns++++=palms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
over ^in++++=over
a ^at++++=a
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
side ^nn++++=side
after ^cs+sub+++=after
a ^at++++=a
drowning ^xvbg+++xvbg+=drowning
shipmate ^nn+nom+++=shipmate
whom ^whp+wpor+++=whom
better ^jjr++++=better-paid
- ^zz++++=EXTRAWORD
paid ^vbd+++xvbn+=EXTRAWORD
men ^nns++++=men
had ^vb+hv+aux++=had
already ^rb++splt++=already
committed ^vprf+++xvbnx+=committed
to ^in++++=to
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
facts ^nns++++=facts
are ^vb+ber+vrb++=are
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
reconcile ^vbi++++=reconcile
with ^in++++=with
established ^jj+atrb++xvbn+=established
opinion ^nn++++=opinion
and ^cc++++=and
may ^md+pos+++=may
therefore ^rb+cnj+++=therefore
be ^vb+be+vrb++=be
exceptional ^jj+pred+++=exceptional.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
religion ^nn++++=religion
is ^vbz+bez+vrb++=is
Roman ^jj++++=Roman
Catholic ^jj++++=Catholic
ashore ^rb+pl+++=ashore
and ^cc++++=and
meteorological ^jj++++=meteorological
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
In ^in++++=In
calm ^nn++++=calm
weather ^nn++++=weather
he ^pp3a+pp3+++=he
remembers ^nns+nom+++=remembers
saints ^nns++++=saints;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
typhoon ^nn+++??+=typhoon
he ^pp3a+pp3+++=he
invokes ^nns+++??+=invokes
every ^at++++=every
power ^nn++++=power
from ^in++++=from
the ^ati++++=the
Virgin ^nn++++=Virgin
to ^in++++=to
the ^ati++++=the
cook ^nn++++=cook.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
cited ^vpsv++agls+xvbnx+=cited
as ^ql++++=as
theological ^jj+atrb+++=theological
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
Protestant ^nn+nom+++=Protestant
captains ^nns++++=captains
perform ^vb++++=perform
equal ^jj+atrb+++=equal
enlargements ^nns+nom+++=enlargements
of ^in++++=of
doctrine ^nn++++=doctrine
when ^wrb+who+++=when
a ^at++++=a
whale ^nn++++=whale
stove ^nn++++=stove
their ^pp$+pp3+++=their
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
survives ^vbz++++=survives
the ^ati++++=the
voyage ^nn++++=voyage
and ^cc++++=and
settles ^vbz++++=settles
in ^in++++=in
an ^at++++=an
American ^jj+atrb+++=American
port ^npl++++=port,
, ^zz++++=EXTRAWORD
identification ^nn+nom+++=identification
becomes ^vbz++++=becomes
troublesome ^jj++++=troublesome.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
buys ^vbz++++=buys
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
acquires ^vbz++++=acquires
English ^jj+atrb+++=English
oaths ^nns++++=oaths,
, ^zz++++=EXTRAWORD
marries ^vbz++++=marries,
, ^zz++++=EXTRAWORD
keeps ^vbz++++=keeps
a ^at++++=a
boardinghouse ^nn+++??+=boardinghouse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
occasionally ^rb++++=occasionally
lends ^vbz++++=lends
money ^nn++++=money
to ^in++++=to
sailors ^nns++++=sailors
who ^whp+rel+obj++=who
once ^cs+tm+++=once
kicked ^vprf+++xvbn+=kicked
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
children ^nns++++=children
attend ^vb++++=attend
school ^nn++++=school
and ^cc++++=and
refuse ^vb++++=refuse
to ^to+vcmp+++=to
answer ^vb++++=answer
to ^to++++=to
' ^zz++++='Gee.
gee ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
knowing ^jj+atrb++xvbg+=knowing
observer ^nn+nom+++=observer
may ^md+pos+++=may
still ^rb++splt++=still
detect ^vb++++=detect
the ^ati++++=the
ancestry ^nn++++=ancestry
by ^in++++=by
surname ^nn++++=surname,
, ^zz++++=EXTRAWORD
complexion ^nn++++=complexion,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
anger ^nn++++=anger
displayed ^vbd+++xvbn+=displayed
when ^wrb+who+++=when
asked ^vbd+vsua++xvbn+=asked
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
either ^dtx++++=either;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
such ^abl++++=such
tests ^nns++++=tests
are ^vb+ber+vrb++=are
uncertain ^jj+pred+++=uncertain.
. ^zz++++=EXTRAWORD
Prosperity ^nn+nom+++=Prosperity
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj++++=great
confounder ^jjr++++=confounder
of ^in++++=of
natural ^jj+atrb+++=natural
history ^nn++++=history.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
a ^at++++=a
despised ^jj+atrb++xvbn+=despised
man ^nn++++=man
a ^at++++=a
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
a ^at++++=a
vote ^nn++++=vote,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
rent ^nn++++=rent
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
long ^rb++++=long
some ^dti++++=some
philosopher ^nn+nom+++=philosopher
will ^md+prd+++=will
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
belongs ^vbz++++=belongs
to ^in++++=to
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
told ^vpsv++agls+xvbnx+=told,
, ^zz++++=EXTRAWORD
former ^ap++++=former
Fogo ^np+++??+=Fogo
hands ^nns++++=hands
in ^in++++=in
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
New ^jj+atrb+++=New
Bedford ^np++++=Bedford
who ^whp+rel+obj++=who
own ^ap++++=own
small ^jj+atrb+++=small
vessels ^nns++++=vessels
and ^cc++++=and
hire ^nn++++=hire
crews ^nns++++=crews
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
they ^pp3a+pp3+++=they
pay ^vb++++=pay
in ^in++++=in
biscuit ^nn++++=biscuit,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+aux++=be
philosophically ^rb++splt++=philosophically
pleasing ^vbg+++xvbgx+=pleasing
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
for ^in++++=for
oppression ^nn++++=oppression,
, ^zz++++=EXTRAWORD
like ^in++++=like
whale ^nn++++=whale
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
valuable ^jj++++=valuable
when ^wrb+who+++=when
refined ^jj+++xvbn+=refined
and ^cc+phrs+++=and
passed ^jj+++xvbn+=passed
through ^in++++=through
several ^ap++++=several
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Anyone ^pn++++=Anyone
desiring ^nvbg+++xvbg+=desiring
fuller ^jjr+atrb+++=fuller
information ^nn+nom+++=information
should ^md+nec+++=should
apply ^vb++++=apply
to ^in++++=to
a ^at++++=a
whaling ^jj+atrb++xvbg+=whaling
captain ^nn++++=captain
of ^in++++=of
long ^jj+atrb+++=long
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
will ^md+prd+++=will
describe ^vb++++=describe
the ^ati++++=the
Fogo ^np+++??+=Fogo
people ^nns++++=people
with ^in++++=with
complete ^jj+atrb+++=complete
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
if ^cs+cnd+++=if
none ^pn++++=none
are ^vb+ber+aux++=are
present ^vb++++=present
to ^to++++=to
contradict ^vbi++++=contradict
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Hosea ^np+++??+=Hosea
Kean ^np+++??+=Kean
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
these ^dt+dem+++=these
naturalists ^nns+nom+++=naturalists.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
report ^nn++++=report
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
Pacific ^jj+atrb+++=Pacific
north ^nr+pl+++=north
of ^in++++=of
one ^cd1++++=one
island ^nn++++=island,
, ^zz++++=EXTRAWORD
south ^nr+pl+++=south
of ^in++++=of
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
westward ^nn++++=westward
of ^in++++=of
the ^ati++++=the
truth ^nn++++=truth
examining ^vwbg+++xvbg+=examining
mankind ^nn++++=mankind
for ^in++++=for
defects ^nns++++=defects.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
the ^ati++++=the
inquirer ^nn+nom+++=inquirer
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
ask ^vb++++=ask
how ^wrb+who+++=how
many ^ap++++=many
' ^zz++++='Gees
gees ^nn++++=EXTRAWORD
make ^vb++++=make
a ^at++++=a
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
biscuits ^nns++++=biscuits
make ^vb++++=make
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
blows ^nns++++=blows
make ^vb++++=make
discipline ^nn++++=discipline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
what ^wdt+who+++=what
exact ^jj+atrb+++=exact
degree ^nn++++=degree
of ^in++++=of
danger ^nn++++=danger
a ^at++++=a
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
becomes ^vbz++++=becomes
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Kean ^np+++??+=Kean
will ^md+prd+++=will
answer ^vb++++=answer
