# ^zz++++=#
Traditions ^nns+nom+++=Traditions
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
masonry ^nn++++=masonry
or ^cc++++=or
natural ^jj+atrb+++=natural
rock ^nn++++=rock
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
decide ^vb+vprv+++=decide.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earl ^np++++=earl
and ^cc++++=and
his ^pp$+pp3+++=his
household ^nn++++=household
remain ^vb++++=remain
under ^in++++=under
the ^ati++++=the
servitude ^nn++++=servitude
of ^in++++=of
a ^at++++=a
strong ^jj+atrb+++=strong
spell ^nn++++=spell.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
in ^in++++=in
seven ^cd++++=seven
years ^nns++++=years,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
night ^nn++++=night
which ^whp+rel+obj++=which
no ^at++++=no
almanac ^nn+++??+=almanac
has ^vbz+hvz+aux++=has
precisely ^rb++splt++=precisely
fixed ^vprf+++xvbnx+=fixed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
castle ^nn++++=castle
rises ^vbz++++=rises
not ^xnot++not++=not
visibly ^rb++++=visibly
to ^in++++=to
all ^abn++++=all,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
destiny ^nn++++=destiny
or ^cc++++=or
misfortune ^nn++++=misfortune
conducts ^vbz++++=conducts
near ^in+pl+++=near
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
doors ^nns++++=doors
open ^jj++++=open
beneath ^in+pl+++=beneath
the ^ati++++=the
water ^nn++++=water;
; ^zz++++=EXTRAWORD
lights ^nns++++=lights
move ^vb++++=move
in ^in++++=in
the ^ati++++=the
depths ^nns++++=depths;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
earl ^npt++++=earl
rides ^vbz++++=rides
forth ^np++++=forth
upon ^in++++=upon
a ^at++++=a
milk ^nn++++=milk-white
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
his ^pp$+pp3+++=his
countess ^nns+nom+++=countess,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
officers ^nns+nom+++=officers,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
musicians ^nns++++=musicians,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hounds ^nns++++=hounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
entire ^jjb+atrb+++=entire
retinue ^nn+++??+=retinue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
is ^vbz+bez+aux++=is
shod ^vwbn+++xvbn+=shod
with ^in++++=with
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
those ^dt+dem+++=those
shoes ^nns++++=shoes
are ^vb+ber+aux++=are
worn ^vpsv++agls+xvbnx+=worn
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
the ^ati++++=the
enchantment ^nn+nom+++=enchantment
will ^md+prd+++=will
end ^vb++++=end;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
silver ^nn++++=silver
suffers ^nns+nom+++=suffers
little ^jj++++=little
from ^in++++=from
earthly ^jj+atrb+++=earthly
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
earl ^np++++=earl
must ^md+nec+++=must
continue ^vb++++=continue
his ^pp$+pp3+++=his
nocturnal ^jj+atrb+++=nocturnal
journeys ^nns++++=journeys
until ^cs+sub+++=until
the ^ati++++=the
last ^ap++++=last
thin ^jj+atrb+++=thin
fragment ^nn+nom+++=fragment
falls ^vbz++++=falls
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
rides ^vbz++++=rides
round ^rb++++=round
the ^ati++++=the
lake ^nn++++=lake;
; ^zz++++=EXTRAWORD
others ^aps++++=others,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
passes ^vbz++++=passes
from ^in++++=from
Lough ^np+++??+=Lough
Guir ^np+++??+=Guir
to ^in++++=to
the ^ati++++=the
Galtees ^nns+nom++??+=Galtees
and ^cc++++=and
back ^jjb++++=back
before ^in++++=before
cockcrow ^nn+++??+=cockcrow.
. ^zz++++=EXTRAWORD
All ^abn++++=All
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
no ^at++++=no
mortal ^nn++++=mortal
must ^md+nec+++=must
speak ^vb++++=speak
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
desires ^nns++++=desires
above ^rb++++=above
everything ^pn++++=everything
to ^to++++=to
obtain ^vbi++++=obtain
an ^at++++=an
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
willing ^jj+atrb+++=willing
word ^nn++++=word
addressed ^vbd+++xvbn+=addressed
to ^in++++=to
him ^pp3o+pp3+++=him
transfers ^nns+nom+++=transfers
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
speaker ^nn++++=speaker's
's ^vbz+bez+aux++0=EXTRAWORD
remaining ^vbg+++xvbgx+=remaining
years ^nns++++=years
to ^in++++=to
the ^ati++++=the
spell ^nn++++=spell
and ^cc++++=and
preserves ^vbz++++=preserves
the ^ati++++=the
shoes ^nns++++=shoes
from ^in++++=from
wear ^nn++++=wear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manner ^nn++++=manner
of ^in++++=of
his ^pp$+pp3+++=his
solicitation ^nn+nom+++=solicitation
is ^vbz+bez+vrb++=is
courteous ^jj+pred+++=courteous.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=does
not ^xnot++not++=not
threaten ^vb++++=threaten.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
salutes ^nns++++=salutes
the ^ati++++=the
traveller ^nn+nom+++=traveller,
, ^zz++++=EXTRAWORD
asks ^vbz++++=asks
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
inquires ^nns+++??+=inquires
the ^ati++++=the
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lets ^vbz++++=lets
fall ^nn++++=fall
some ^dti++++=some
valuable ^jj+atrb+++=valuable
object ^nn++++=object,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
begs ^nns+++??+=begs
the ^ati++++=the
witness ^nns+nom+++=witness
to ^to++++=to
restore ^vbi++++=restore.
. ^zz++++=EXTRAWORD
Courtesy ^nn++++=Courtesy
itself ^ppl++++=itself
becomes ^vbz++++=becomes
the ^ati++++=the
snare ^nn++++=snare.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
Teigue ^np+++??+=Teigue
O ^zz++++=O'Neill
'neill ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Silver ^nn++++=Silver
Shoes ^nns++++=Shoes
Teigue ^np+++??+=Teigue
O ^zz++++=O'Neill
'neill ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
smith ^np++++=smith
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
near ^in+pl+++=near
the ^ati++++=the
old ^jj+atrb+++=old
road ^nn++++=road,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
cabin ^nn++++=cabin
with ^in++++=with
a ^at++++=a
forge ^nn++++=forge
at ^in++++=at
one ^cd1++++=one
end ^nn++++=end
and ^cc++++=and
sleeping ^vbg+++xvbg+=sleeping-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
sober ^jj+atrb+++=sober
man ^nn++++=man,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
fond ^jj++++=fond
of ^in++++=of
company ^nn++++=company
on ^in++++=on
fair ^jj++++=fair-days,
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
reputation ^nn+nom+++=reputation
of ^in++++=of
being ^xvbg+++xvbg+=being
fearless ^jj++++=fearless
except ^in++++=except
where ^wrb+who+++=where
fairies ^nns++++=fairies
were ^vbd+bed+aux++=were
concerned ^vpsv++agls+xvbnx+=concerned.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
those ^dt+dem+++=those
subjects ^nns++++=subjects
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
prudent ^jj+pred+++=prudent,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
perhaps ^rb++++=perhaps
a ^at++++=a
better ^jjr+atrb+++=better
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
autumn ^nn++++=autumn
night ^nn++++=night
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
at ^rb++++=at
work ^nn++++=work
long ^rb++++=long
after ^cs+sub+++=after
his ^pp$+pp3+++=his
neighbours ^nns++++=neighbours
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
mending ^vbg+++xvbg+=mending
the ^ati++++=the
iron ^nn++++=iron
hoop ^nn++++=hoop
of ^in++++=of
a ^at++++=a
car ^nn++++=car-wheel
- ^zz++++=EXTRAWORD
wheel ^vb++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
farmer ^nn++++=farmer
who ^whp+rel+subj++=who
required ^vbd+++xvbn+=required
it ^pp3+it+++=it
at ^in++++=at
sunrise ^nn++++=sunrise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
burned ^vbd+++xvbn+=burned
red ^jj++++=red;
; ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
stood ^vbd+++xvbn+=stood
open ^jj++++=open
to ^to++++=to
cool ^vbi++++=cool
the ^ati++++=the
forge ^nn++++=forge;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
stroke ^nn++++=stroke
of ^in++++=of
his ^pp$+pp3+++=his
hammer ^nn++++=hammer
sent ^vbd+++xvbn+=sent
an ^at++++=an
echo ^nn++++=echo
over ^in++++=over
the ^ati++++=the
silent ^jj+atrb+++=silent
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
two ^cd++++=two
blows ^nns++++=blows
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
music ^nn++++=music.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
distant ^jj+atrb+++=distant
house ^nn++++=house,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
approached ^vbd+++xvbn+=approached
too ^ql++++=too
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
silver ^nn++++=silver
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
measured ^jj+atrb++xvbn+=measured
beat ^nn+++xvbn+=beat
of ^in++++=of
many ^ap++++=many
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Teigue ^np+++??+=Teigue
dropped ^vbd+++xvbn+=dropped
his ^pp$+pp3+++=his
hammer ^nn++++=hammer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
seventh ^nn++++=seventh
year ^nn++++=year
since ^cs+sub+++=since
old ^jj+atrb+++=old
Nora ^np+++??+=Nora
Crone ^nn++++=Crone
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
lights ^nns++++=lights
moving ^vwbg+++xvbg+=moving
under ^in++++=under
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
extinguished ^vbd+++xvbnx+=extinguished
the ^ati++++=the
forge ^nn++++=forge-fire,
- ^zz++++=EXTRAWORD
fire ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
the ^ati++++=the
door ^nn++++=door
nearly ^rb+down+++=nearly
shut ^vb+++xvbn+=shut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peered ^vpsv++agls+xvbn+=peered
through ^in++++=through
the ^ati++++=the
crack ^nn++++=crack.
. ^zz++++=EXTRAWORD
Along ^in++++=Along
the ^ati++++=the
road ^nn++++=road
came ^vbd+++xvbn+=came
a ^at++++=a
grand ^jj++++=grand-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
company ^nn++++=company,
, ^zz++++=EXTRAWORD
every ^at++++=every
horse ^nn++++=horse
white ^jj++++=white,
, ^zz++++=EXTRAWORD
every ^at++++=every
rider ^nn++++=rider
richly ^rb++++=richly
dressed ^vbd+++xvbn+=dressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
the ^ati++++=the
moon ^nn++++=moon
shone ^vbd+++xvbn+=shone
through ^in++++=through
them ^pp3o+pp3+++=them
faintly ^rb+cnj+++=faintly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
through ^in++++=through
breath ^nn++++=breath
upon ^in++++=upon
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
bridles ^nns+++??+=bridles
glittered ^vbd+++xvbn+=glittered;
; ^zz++++=EXTRAWORD
plumes ^nns+++??+=plumes
nodded ^vbd+++xvbn+=nodded
without ^in++++=without
wind ^nn++++=wind;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hoofbeats ^nns+++??+=hoofbeats,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
numerous ^jj++++=numerous,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
light ^jj++++=light
that ^dt+dem+++=that
the ^ati++++=the
loose ^jj+atrb+++=loose
stones ^nns++++=stones
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stir ^vb++++=stir.
. ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
head ^nn++++=head
rode ^vbd+++xvbn+=rode
the ^ati++++=the
earl ^np++++=earl.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
handsome ^jj+pred+++=handsome
and ^cc++++=and
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
cloak ^nn++++=cloak
black ^jj+atrb+++=black
velvet ^nn++++=velvet,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
gloves ^nns++++=gloves
embroidered ^vbd+++xvbn+=embroidered
in ^in++++=in
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
forge ^nn++++=forge
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
directly ^rb++++=directly
upon ^in++++=upon
the ^ati++++=the
hidden ^jj+++xvbn+=hidden
smith ^np++++=smith.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
shoes ^nns++++=shoes
came ^vbd+++xvbn+=came
loose ^jj++++=loose
and ^cc++++=and
rang ^vpsv++agls+xvbn+=rang
upon ^in++++=upon
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj++++=EXTRAWORD
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
earl ^np++++=earl,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
of ^in++++=of
the ^ati++++=the
trade ^nn++++=trade.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
set ^vbd+++xvbn+=set
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
shoe ^nn++++=shoe?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Teigue ^np+++??+=Teigue
held ^vbd+vprv++xvbn+=held
his ^pp$+pp3+++=his
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earl ^np++++=earl
dismounted ^vbd+++xvbn+=dismounted
and ^cc+phrs+++=and
led ^vbd+++xvbn+=led
the ^ati++++=the
horse ^nn++++=horse
to ^in++++=to
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
its ^pp$+it+++=its
silver ^nn++++=silver
shoes ^nns++++=shoes
was ^vbd+bedz+aux++=was
indeed ^qlp++++=indeed
hanging ^vbg+++xvbg+=hanging
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
nail ^nn++++=nail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
animal ^nn++++=animal
looked ^vbd+++xvbn+=looked
gentle ^jj++++=gentle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
its ^pp$+it+++=its
nostrils ^nns++++=nostrils
came ^vbd+++xvbn+=came
a ^at++++=a
vapour ^nn++++=vapour
cold ^jj++++=cold
enough ^qlp++++=enough
to ^to++++=to
whiten ^vbi++++=whiten
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
" ^zz++++="Name
name ^nn++++=EXTRAWORD
your ^pp$+pp2+++=your
price ^nn++++=price,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
earl ^np++++=earl.
. ^zz++++=EXTRAWORD
Teigue ^np+++??+=Teigue
pressed ^vbd+++xvbn+=pressed
both ^abx++++=both
hands ^nns++++=hands
upon ^in++++=upon
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earl ^np++++=earl
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
out ^rp+pl+++=out
a ^at++++=a
purse ^nn++++=purse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shook ^vbd+++xvbn+=shook
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Gold ^nn++++=Gold
pieces ^nns++++=pieces
sounded ^vbd+++xvbn+=sounded
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
stooped ^vbd+++xvbnx+=stooped,
, ^zz++++=EXTRAWORD
picked ^j+++xvbn+=picked
up ^rp++++=up
the ^ati++++=the
smith ^np++++=smith's
's ^$++++=EXTRAWORD
hammer ^nn++++=hammer
from ^in++++=from
where ^wrb+who+++=where
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
near ^in+pl+++=near
the ^ati++++=the
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
yours ^pp$$++++=yours?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Teigue ^np+++??+=Teigue
afterward ^rb++++=afterward
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
question ^nn+nom+++=question
almost ^rb+hdg+++=almost
surprised ^jj+++xvbn+=surprised
an ^at++++=an
answer ^nn++++=answer
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
word ^nn++++=word
rise ^nn++++=rise
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
that ^dt+dem+++=that
instant ^nn+nom+++=instant
the ^ati++++=the
horse ^nn++++=horse
stamped ^vwbn+++xvbn+=stamped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
loosened ^jj+atrb++xvbn+=loosened
silver ^nn++++=silver
shoe ^nn++++=shoe
turned ^vbd+++xvbn+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
its ^pp$+it+++=its
inner ^jjb+atrb+++=inner
surface ^nn++++=surface
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
print ^nn++++=print
of ^in++++=of
five ^cd++++=five
scorched ^vbd+++xvbn+=scorched
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
retinue ^nn+++??+=retinue
wheeled ^vbd+++xvbn+=wheeled
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
The ^ati++++=The
music ^nn++++=music
became ^vbd+++xvbn+=became
a ^at++++=a
wild ^jj+atrb+++=wild
screaming ^nvbg+++xvbg+=screaming;
; ^zz++++=EXTRAWORD
cloaks ^nns+++??+=cloaks,
, ^zz++++=EXTRAWORD
plumes ^nns+++??+=plumes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pale ^nn++++=pale
faces ^nns++++=faces
streamed ^vbd+++xvbn+=streamed
backward ^jj++++=backward;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cavalcade ^nn++++=cavalcade
departed ^vbd+++xvbn+=departed
at ^rb++++=at
a ^at++++=a
hurry ^nn++++=hurry-scurry
- ^zz++++=EXTRAWORD
scurry ^vb++++=EXTRAWORD
gallop ^nn++++=gallop
toward ^in++++=toward
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white
horse ^nn++++=horse
went ^vbd+++xvbn+=went
last ^rb+cnj+++=last,
, ^zz++++=EXTRAWORD
striking ^vbg+++xvbg+=striking
sparks ^np++++=sparks
of ^in++++=of
blue ^jj+atrb+++=blue
fire ^nn++++=fire
from ^in++++=from
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
water ^nn++++=water's
's ^$++++=EXTRAWORD
edge ^nn++++=edge
riders ^nns++++=riders
and ^cc++++=and
horses ^nns++++=horses
plunged ^vwbn+++xvbn+=plunged
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
their ^pp$+pp3+++=their
lights ^vbz++++=lights
moved ^vbd+++xvbn+=moved
under ^in++++=under
the ^ati++++=the
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
all ^rb++++=all
was ^vbd+bedz+vrb++=was
black ^jj+pred+++=black.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
Teigue ^np+++??+=Teigue
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
grass ^nn++++=grass
before ^cs+sub+++=before
his ^pp$+pp3+++=his
forge ^nn++++=forge
rimed ^vbd+++xvbn+=rimed
with ^in++++=with
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+vrb++=was
mild ^jj+pred+++=mild.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mark ^nn++++=mark
of ^in++++=of
the ^ati++++=the
silver ^nn++++=silver
shoe ^nn++++=shoe
remained ^vbd+++xvbn+=remained
upon ^in++++=upon
the ^ati++++=the
threshold ^nn++++=threshold
for ^in++++=for
many ^ap++++=many
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Anne ^np++++=Anne
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
believed ^vbd+vprv+tht0+xvbn+=believed
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
disappeared ^vbd+seem++xvbn+=disappeared
when ^wrb+who+++=when
the ^ati++++=the
stone ^nn++++=stone
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
Moll ^np+++??+=Moll
Rial ^np++++=Rial's
's ^$++++=EXTRAWORD
Ring ^nn++++=Ring
Moll ^np+++??+=Moll
Rial ^np+++??+=Rial,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
served ^vbd+++xvbn+=served
in ^in++++=in
the ^ati++++=the
Baily ^np+++??+=Baily
household ^nn++++=household
during ^in++++=during
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
Miss ^npt++++=Miss
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
cheerful ^jj++++=cheerful,
, ^zz++++=EXTRAWORD
round ^in++++=round-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
industrious ^jj++++=industrious,
, ^zz++++=EXTRAWORD
shy ^jj++++=shy
with ^in++++=with
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
disposed ^jj+++xvbn+=disposed
to ^to+jcmp+++=to
tales ^vb++++=tales
of ^in++++=of
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
beetling ^nn+nom+++=beetling
linen ^nn++++=linen
by ^in++++=by
the ^ati++++=the
water ^nn++++=water
a ^at++++=a
laborious ^jj+atrb+++=laborious
operation ^nn+nom+++=operation,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
nearly ^rb+down+++=nearly
forgotten ^jj+++xvbn+=forgotten,
