One ^pn++++=One,
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Wires ^nns++++=Wires
snap ^nn++++=snap.
. ^zz++++=EXTRAWORD
Exchanges ^nns++++=Exchanges
fail ^vb++++=fail.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
men ^nns++++=men
in ^in++++=in
tunnels ^nns++++=tunnels
drop ^nn++++=drop
tools ^nns++++=tools.
. ^zz++++=EXTRAWORD
Technology ^nn++++=Technology
is ^vbz+bez+vrb++=is
fragile ^jj+pred+++=fragile.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
test ^vb++++=test
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
call ^vb++++=call
the ^ati++++=the
time ^nn++++=time
service ^nn++++=service.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
it ^pp3+it+++=it
works ^vbz++++=works,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
goes ^vbz++++=goes
my ^pp$+pp1+++=my
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
Better ^jjr++++=Better
a ^at++++=a
possibly ^rb++++=possibly
broken ^vbd+++xvbn+=broken
telephone ^nn++++=telephone
than ^in++++=than
a ^at++++=a
certainly ^rb++++=certainly
silent ^jj+atrb+++=silent
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Ninety ^cd++++=Ninety-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
finished ^vpsv++agls+xvbnx+=finished.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
count ^npt++++=count
anymore ^nn+++??+=anymore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
says ^vbz+vpub+++=says
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
past ^jjb++++=past
nine ^cd++++=nine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
if ^cs+cnd+++=if
the ^ati++++=the
train ^nn++++=train
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
brother ^nn++++=brother
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
wash ^nn++++=wash,
, ^zz++++=EXTRAWORD
change ^nn++++=change,
, ^zz++++=EXTRAWORD
answer ^nn++++=answer
a ^at++++=a
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
rescue ^nn++++=rescue
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settle ^vb++++=settle
Parliament ^nn+nom+++=Parliament,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
talk ^vb++++=talk,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
all ^abn++++=all
I ^pp1a+pp1+++=I
want ^vb++++=want.
. ^zz++++=EXTRAWORD
Proof ^nn++++=Proof
of ^in++++=of
remembrance ^nn+nom+++=remembrance.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
mind ^nn++++=mind
emptied ^vwbn+++xvbn+=emptied
of ^in++++=of
everything ^pn++++=everything
but ^cc++++=but
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
walk ^vbi++++=walk
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts
and ^cc++++=and
lock ^nn++++=lock
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There.
. ^zz++++=EXTRAWORD
Honesty ^nn++++=Honesty
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
ugly ^jj++++=ugly
and ^cc+phrs+++=and
enormous ^jj++++=enormous.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
count ^vb++++=count
to ^to++++=to
two ^cd++++=two
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
one ^pn++++=one,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
two ^cd++++=two,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
three ^cd++++=three
No ^rb+cnj+++=No,
, ^zz++++=EXTRAWORD
by ^in++++=by
fives ^nns++++=fives.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
goes ^vbz++++=goes
faster ^rbr++++=faster
by ^in++++=by
fives ^nns++++=fives.
. ^zz++++=EXTRAWORD
One ^cd1++++=One-oh-five,
- ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one-ten,
- ^zz++++=EXTRAWORD
ten ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one-fifteen,
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one-twenty.
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
cheating ^vbg+++xvbgx+=cheating.
. ^zz++++=EXTRAWORD
God ^np++++=God
will ^md+prd+++=will
notice ^vb+vprv+++=notice.
. ^zz++++=EXTRAWORD
God ^np++++=God
notices ^nns++++=notices
cheating ^vwbg+++xvbg+=cheating
but ^cc++++=but
not ^xnot++not++=not
waiting ^nvbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
unfair ^jj+pred+++=unfair.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mean ^vb+vprv+++=mean
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
do ^vb+do+aux++=do
not ^xnot++not++=not
punish ^vb++++=punish
me ^pp1o+pp1+++=me
for ^in++++=for
being ^xvbg+++xvbg+=being
angry ^jj++++=angry.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
made ^vbd+++xvbn+=made
anger ^nn++++=anger.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
have ^vb+hv+aux++=have
known ^vprf++tht0+xvbnx+=known
someone ^pn++++=someone
would ^md+prd+++=would
use ^vb++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
him ^pp3o+pp3+++=him
entering ^vbg+++xvbg+=entering
his ^pp$+pp3+++=his
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
throws ^vbz++++=throws
his ^pp$+pp3+++=his
keys ^nns++++=keys
in ^in++++=in
the ^ati++++=the
blue ^jj+atrb+++=blue
dish ^nn++++=dish.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loosens ^nns+++??+=loosens
his ^pp$+pp3+++=his
tie ^nn++++=tie.
. ^zz++++=EXTRAWORD
The ^ati++++=The
telephone ^nn++++=telephone
is ^vbz+bez+vrb++=is
three ^cd++++=three
steps ^nns++++=steps
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^nns++++=looks
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembers ^nns+nom+++=remembers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
pours ^vbz++++=pours
a ^at++++=a
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reaches ^vbz++++=reaches
for ^in++++=for
the ^ati++++=the
receiver ^nn+nom+++=receiver.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers
touch ^vb++++=touch
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
knocks ^vbz++++=knocks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
strangle ^vb++++=strangle
that ^cs+sub+++=that
someone ^pn++++=someone.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
call ^vb++++=call
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
is ^vbz+bez+vrb++=is
loud ^jj+pred+++=loud.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
the ^ati++++=the
tap ^nn++++=tap
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
heard ^j+++xvbn+=heard
no ^at++++=no
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
wounded ^vpsv++agls+xvbnx+=wounded.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not
care ^nn++++=care.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
call ^vb++++=call
and ^cc+phrs+++=and
explain ^vb+vpub+++=explain.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
lunacy ^nn++++=lunacy
dressed ^vbd+++xvbn+=dressed
as ^ql++++=as
courtesy ^nn++++=courtesy.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
cared ^vbd+++xvbnx+=cared,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
try ^vb++++=try
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
clean ^jj+atrb+++=clean
sentence ^nn+nom+++=sentence,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp
as ^ql++++=as
a ^at++++=a
pin ^nn++++=pin.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
cared ^vbd+++xvbnx+=cared,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
no ^at++++=no
manners ^nns+nom+++=manners.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
thirty ^cd++++=thirty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
leave ^vb++++=leave
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Tomorrow ^nr+tm+++=Tomorrow
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
write ^vb++++=write
a ^at++++=a
brief ^jj+atrb+++=brief
note ^nn++++=note.
. ^zz++++=EXTRAWORD
No ^at++++=No
accusations ^nns+nom+++=accusations.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
happiness ^nns+nom+++=happiness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elegant ^jj++++=Elegant.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
read ^vb+vprv+tht0+xvbn+=read
it ^pp3+it+++=it
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
telephone ^vb++++=telephone
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
come ^vb++++=come
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
stand ^vb++++=stand
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
say ^vb+vpub+tht0++=say
my ^pp$+pp1+++=my
name ^nn++++=name.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
stand ^vb++++=stand
for ^in+ppvb+++=for
five ^cd++++=five
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
two ^cd++++=two.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
open ^vb++++=open
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
catches ^vbz++++=catches
cold ^jj++++=cold
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Darling ^np+nom+++=Darling,
, ^zz++++=EXTRAWORD
call ^nn++++=call
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
say ^vb+vpub+++=say
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+tht0++=Say
you ^pp2+pp2+++=you
forgot ^vbd+vprv++xvbn+=forgot.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
you ^pp2+pp2+++=you
never ^rb++++=never
meant ^vbd+vprv++xvbn+=meant
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+tht0++=Say
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
someone ^pn++++=someone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
let ^vb+++xvbn+=let
your ^pp$+pp2+++=your
voice ^nn++++=voice
come ^vprf+++xvbn+=come
through ^in++++=through
that ^dt+dem+++=that
wire ^nn++++=wire
and ^cc++++=and
make ^vb++++=make
this ^dt+dem+++=this
room ^nn++++=room
human ^jj++++=human
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
all ^abn++++=all.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
all ^rb++++=all.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
Halfway ^rb++++=Halfway
to ^to++++=to
three ^cd++++=three
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
calls ^nns++++=calls
before ^in++++=before
three ^cd++++=three
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgive ^vb++++=forgive
him ^pp3o+pp3+++=him
entirely ^rb+amp+++=entirely.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
four ^cd++++=four
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgive ^vb++++=forgive
him ^pp3o+pp3+++=him
with ^in++++=with
one ^cd1++++=one
remark ^nn++++=remark.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
five ^cd++++=five
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgive ^vb++++=forgive
him ^pp3o+pp3+++=him
after ^cs+sub+++=after
a ^at++++=a
silence ^nn+nom+++=silence
so ^ql+emph+++=so
delicate ^jj++++=delicate
he ^pp3a+pp3+++=he
will ^md+prd+++=will
feel ^vb+vprv+tht0++=feel
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
After ^in++++=After
five ^cd++++=five
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
never ^rb++++=never
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
my ^pp$+pp1+++=my
hand ^nn++++=hand
rot ^nn++++=rot
before ^in++++=before
it ^pp3+it+++=it
touches ^nns++++=touches
that ^tht+rel+obj++=that
receiver ^nn+nom+++=receiver.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
melodramatic ^jj+pred+++=melodramatic.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
hand ^nn++++=hand
is ^vbz+bez+vrb++=is
perfectly ^rb+amp+++=perfectly
innocent ^jj+pred+++=innocent.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty-four,
- ^zz++++=EXTRAWORD
