# ^zz++++=##
# ^zz++++=EXTRAWORD
Hundred ^cd++++=HUNDRED
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
and ^cc++++=and
dogs ^nns++++=dogs
are ^vb+ber+vrb++=are
the ^ati++++=the
careless ^jj+atrb+++=careless
aristocracy ^nn+nom+++=aristocracy
of ^in++++=of
affection ^nn+nom+++=affection;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seldom ^rb++++=seldom
demand ^nn++++=demand
references ^nns+nom+++=references.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Marion ^np++++=Marion
Bell ^np++++=Bell
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
Baker ^np++++=Baker
on ^in++++=on
the ^ati++++=the
kitchen ^nn++++=kitchen
step ^nn++++=step
and ^cc++++=and
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
mend ^vb++++=mend
a ^at++++=a
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy
Griggs ^np+++??+=Griggs
rode ^vbd+++xvbn+=rode
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
A ^at++++=A
solemn ^jj+atrb+++=solemn
hound ^nn++++=hound
named ^vbd+++xvbn+=named
Washington ^np++++=Washington
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
from ^in++++=from
woodpile ^nn+++??+=woodpile
to ^in++++=to
pantry ^nn++++=pantry,
, ^zz++++=EXTRAWORD
convinced ^jj+v++xvbn+=convinced
that ^tht+jcmp+++=that
those ^dt+dem+++=those
enormous ^jj+atrb+++=enormous
pockets ^nns++++=pockets
must ^md+nec+++=must
ultimately ^rb++splt++=ultimately
justify ^vb++++=justify
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pockets ^nns++++=pockets
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
left ^vbd+++xvbn+=left
contained ^vwbn+++xvbn+=contained
string ^nn++++=string,
, ^zz++++=EXTRAWORD
nails ^nns++++=nails,
, ^zz++++=EXTRAWORD
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
comb ^nn++++=comb,
, ^zz++++=EXTRAWORD
three ^cd++++=three
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
a ^at++++=a
rabbit ^nn++++=rabbit's
's ^$++++=EXTRAWORD
foot ^nn++++=foot
and ^cc++++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
stale ^jj+atrb+++=stale
corn ^nn++++=corn
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^nn++++=right
held ^vbd+vprv++xvbn+=held
a ^at++++=a
knife ^nn++++=knife
without ^in++++=without
a ^at++++=a
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
a ^at++++=a
whetstone ^nn+++??+=whetstone
without ^in++++=without
a ^at++++=a
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
two ^cd++++=two
peppermint ^jj+atrb++xvbn+=peppermint
sticks ^nns++++=sticks
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tiny ^jj+atrb+++=tiny
wooden ^jj+atrb+++=wooden
bird ^nn++++=bird
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
carved ^vprf+++xvbnx+=carved
in ^in++++=in
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
bird ^nn++++=bird
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marion ^np++++=Marion
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Mockin'-bird."
mockin ^nn+++??+=EXTRAWORD
'-bird." ^nn+++??+=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
like ^in++++=like
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
admitted ^vwbn+vpub++xvbn+=admitted.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
bird ^nn++++=bird
to ^to++++=to
set ^vpsv++by+xvbn+=set
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
him ^pp3o+pp3+++=him
from ^in++++=from
rememberin ^nn+++??+=rememberin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
noise ^nn++++=noise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
mocking ^jj+++xvbg+=mocking-bird
- ^zz++++=EXTRAWORD
bird ^nn++++=EXTRAWORD
sang ^vbd+++xvbn+=sang
every ^at++++=every
morning ^nn++++=morning
from ^in++++=from
the ^ati++++=the
magnolia ^nn+++??+=magnolia
by ^in++++=by
the ^ati++++=the
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
Baker ^np++++=Baker
would ^md+prd+++=would
sometimes ^rb++splt++=sometimes
stop ^vb++++=stop
with ^in++++=with
a ^at++++=a
bucket ^nn++++=bucket
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand
and ^cc++++=and
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
At ^rb++++=At
such ^abl++++=such
moments ^nns+nom+++=moments
his ^pp$+pp3+++=his
face ^vb++++=face
lost ^vbd+++xvbn+=lost
its ^pp$+it+++=its
habitual ^jj+atrb+++=habitual
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
enter ^vbi++++=enter
some ^dti++++=some
locked ^jj+atrb++xvbn+=locked
chamber ^nn++++=chamber
within ^in++++=within
him ^pp3o+pp3+++=him
and ^cc++++=and
move ^nn++++=move
among ^in++++=among
the ^ati++++=the
dead ^jj+atrb+++=dead
things ^nns++++=things
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
mocking ^jj+++xvbg+=mocking-birds
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
once ^cs+tm+++=once
asked ^vprf+++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Me?
me ^pp1o+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
used ^md"++pmd"++=used
to ^to++++=to
sing ^vb++++=sing
outside ^jjb++++=outside
the ^ati++++=the
stockade ^nn++++=stockade."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
stockade ^nn++++=stockade?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
went ^vbd+++xvbn+=went
instantly ^rb+tm+++=instantly
to ^in++++=to
his ^pp$+pp3+++=his
ankle ^nn++++=ankle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rubbed ^vbd+++xvbnx+=rubbed
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
coarse ^jj+atrb+++=coarse
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
it ^pp3+it+++=it
on ^rp++++=on
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
murmured ^vbd+++xvbnx+=murmured.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knows ^vbz+vprv+tht0++=knows
it ^pp3+it+++=it
right ^jj++++=right
smart ^jj++++=smart.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
sometimes ^rb++++=sometimes
my ^pp$+pp1+++=my
leg ^nn++++=leg
do ^vb+do+vrb++=don't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
understood ^vwbn+vprv++xvbn+=understood
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
peculiar ^jj+atrb+++=peculiar
walk ^nn++++=walk.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
seventh ^nn++++=seventh
or ^cc++++=or
eighth ^od++++=eighth
step ^nn++++=step
he ^pp3a+pp3+++=he
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
foot ^nn++++=foot
too ^ql++++=too
high ^np++++=high
and ^cc++++=and
set ^nn+++xvbn+=set
it ^pp3+it+++=it
down ^rp++++=down
with ^in++++=with
care ^nn++++=care,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
clearing ^nvbg+++xvbg+=clearing
a ^at++++=a
chain ^nn++++=chain.
. ^zz++++=EXTRAWORD
Freedom ^nn+nom+++=Freedom
had ^vbd+hvd+aux++=had
removed ^vprf+++xvbnx+=removed
the ^ati++++=the
iron ^nn++++=iron
but ^cc++++=but
had ^vbd+hvd+aux++=had
neglected ^vprf+++xvbnx+=neglected
its ^pp$+it+++=its
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
An ^at++++=An
invisible ^jj+atrb+++=invisible
ball ^nn++++=ball
dragged ^vbd+++xvbn+=dragged
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
hallways ^rb++++=hallways
of ^in++++=of
the ^ati++++=the
Clayton ^np+++??+=Clayton
House ^nn++++=House,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
bright ^jj+atrb+++=bright
lawns ^nns++++=lawns,
, ^zz++++=EXTRAWORD
even ^rb++++=even
into ^in++++=into
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
in ^in++++=in
fragments ^nns+nom+++=fragments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
story ^nn++++=story
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
convicted ^vpsv++agls+xvbnx+=convicted
of ^in++++=of
killing ^xvbg+++xvbg+=killing
a ^at++++=a
storekeeper ^nn++++=storekeeper
during ^in++++=during
a ^at++++=a
quarrel ^nn++++=quarrel
near ^in+pl+++=near
Macon ^np+++??+=Macon.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Baker ^np++++=Baker.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
brother ^nn++++=brother
who ^whp+rel+subj++=who
disappeared ^vbd+seem++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
a ^at++++=a
witness ^nns+nom+++=witness
who ^whp+rel+subj++=who
hesitated ^vbd+++xvbn+=hesitated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
evidence ^nn+nom+++=evidence
convenient ^jj++++=convenient
to ^to+jcmp+++=to
men ^vb++++=men
anxious ^jj++++=anxious
for ^in++++=for
a ^at++++=a
verdict ^nn++++=verdict.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prisoner ^nn+nom+++=prisoner
declared ^vbd+vpub++xvbn+=declared
his ^pp$+pp3+++=his
innocence ^nn+nom+++=innocence
until ^cs+sub+++=until
declaration ^nn+nom+++=declaration
became ^vbd+++xvbn+=became
useless ^jj++++=useless.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
numbered ^j+++xvbn+=numbered,
, ^zz++++=EXTRAWORD
chained ^j+++xvbn+=chained
and ^cc+phrs+++=and
hired ^jj+++xvbn+=hired
out ^rp+pl+++=out
with ^in++++=with
other ^ap++++=other
convicts ^nns++++=convicts
to ^in++++=to
men ^nns++++=men
who ^whp+rel+subj++=who
measured ^vwbn+++xvbn+=measured
justice ^npt++++=justice
by ^in++++=by
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
profit ^nn++++=profit.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+vrb++=did
they ^pp3a+pp3+++=they
call ^vb++++=call
you ^pp2+pp2+++=you
Hundred ^cd++++=Hundred
and ^cc++++=and
One ^pn++++=One?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton.
. ^zz++++=EXTRAWORD
" ^zz++++="Cell,"
cell ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="Convict
convict ^nn+++??+=EXTRAWORD
camp ^nn++++=camp
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
Hunder ^np+++??+=Hunder'd'n
'd'n ^nn+++??+=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+aux++=was
painted ^vpsv++agls+xvbnx+=painted
over ^in++++=over
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
while ^cs+sub+++=while
a ^at++++=a
man ^nn++++=man
gets ^vbz++++=gets
to ^to++++=to
match ^vbi++++=match
his ^pp$+pp3+++=his
door ^nn++++=door."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
escape ^vb++++=escape?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Escape?"
escape ^vb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
glanced ^vbd+++xvbn+=glanced
toward ^in++++=toward
the ^ati++++=the
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
A ^at++++=A
storm ^nn++++=storm
washed ^vwbn+++xvbn+=washed
out ^rp+pl+++=out
the ^ati++++=the
lower ^jjr+atrb+++=lower
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
Guard ^vb++++=Guard
went ^vbd+++xvbn+=went
to ^to++++=to
turn ^vbi++++=turn
the ^ati++++=the
mules ^nns++++=mules.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
legs ^nns++++=legs
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
along ^in++++=along
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^in++++=to
carryin ^nn+++??+=carryin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
free ^jj++++=free
six ^cd++++=six
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
wrote ^vbd+vprv++xvbn+=wrote
letters ^nns+nom+++=letters
discreetly ^rb++++=discreetly.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
went ^vbd+++xvbn+=went
to ^in++++=to
an ^at++++=an
attorney ^nn++++=attorney
in ^in++++=in
Atlanta ^np+++??+=Atlanta;
; ^zz++++=EXTRAWORD
one ^pn++++=one
to ^in++++=to
a ^at++++=a
former ^ap++++=former
judge ^nn++++=judge;
; ^zz++++=EXTRAWORD
another ^dt++++=another
to ^in++++=to
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
governor ^nn++++=governor's
's ^$++++=EXTRAWORD
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
received ^vbd+++xvbnx+=received
answers ^nns+nom+++=answers
full ^jj++++=full
of ^in++++=of
caution ^nn+nom+++=caution,
, ^zz++++=EXTRAWORD
procedure ^nn++++=procedure
and ^cc++++=and
official ^jj+atrb+++=official
delay ^nn++++=delay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
law ^nn++++=law,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
spent ^vprf+++xvbn+=spent
fifteen ^cd++++=fifteen
years ^nns++++=years
crushing ^vwbg+++xvbg+=crushing
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
required ^jj+atrb++xvbn+=required
time ^nn++++=time
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
so ^pn++++=so
regularly ^rb++++=regularly.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
kindness ^nns+nom+++=kindness
performed ^vwbn+++xvbn+=performed
its ^pp$+it+++=its
quieter ^jjr++++=quieter
appeal ^vb++++=appeal.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
food ^nn++++=food
filled ^vbd+++xvbn+=filled
the ^ati++++=the
hollows ^nns++++=hollows
in ^in++++=in
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep
came ^vwbn+++xvbn+=came
by ^in++++=by
degrees ^nns+nom+++=degrees.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
in ^in++++=in
the ^ati++++=the
bed ^nn++++=bed
for ^in++++=for
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
fled ^j+++xvbn+=fled
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
after ^in++++=after
a ^at++++=a
nightmare ^nn++++=nightmare,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
at ^rb++++=at
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
triumphant ^jj+atrb+++=triumphant
night ^nn++++=night
remained ^vbd+++xvbn+=remained
between ^in++++=between
sheets ^nns++++=sheets
until ^in++++=until
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
raw ^jj+atrb+++=raw
wound ^nn+++xvbn+=wound
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back
closed ^jj+++xvbn+=closed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shoulders ^nns+nom+++=shoulders
lifted ^vbd+++xvbn+=lifted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
pass ^vbi++++=pass
the ^ati++++=the
hitching ^nn++++=hitching-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
without ^in++++=without
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
relapses ^nns+++??+=relapses.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
guest ^nn++++=guest
complained ^vbd+vpub++xvbn+=complained
loudly ^rb++++=loudly
about ^in++++=about
a ^at++++=a
missing ^jj+atrb++xvbg+=missing
umbrella ^nn++++=umbrella,
, ^zz++++=EXTRAWORD
Baker ^np++++=Baker
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
behind ^in+pl+++=behind
the ^ati++++=the
ash ^nn++++=ash
shed ^vbd+++xvbn+=shed
with ^in++++=with
his ^pp$+pp3+++=his
wrists ^nns++++=wrists
crossed ^vbd+++xvbn+=crossed,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
tied ^vpsv++agls+xvbnx+=tied.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
seen ^vprf+++xvbn+=seen
his ^pp$+pp3+++=his
umbrella ^nn++++=umbrella,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
somebody ^pn++++=somebody's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
be ^vbi++vrb++=be
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckin ^nn+++??+=reckin
I ^pp1a+pp1+++=I
kin ^nns++++=kin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Another ^dt++++=Another
time ^nn++++=time
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
slammed ^vbd+++xvbn+=slammed
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
tray ^nn++++=tray
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
upon ^in++++=upon
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
no ^at++++=no
one ^cd1++++=one
whipped ^vbd+++xvbn+=whipped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
fastened ^vprf+++xvbn+=fastened
iron ^nn++++=iron
upon ^in++++=upon
his ^pp$+pp3+++=his
ankle ^nn++++=ankle.
. ^zz++++=EXTRAWORD
No ^at++++=No
overseer ^nn+nom+++=overseer
counted ^vbd+++xvbn+=counted
his ^pp$+pp3+++=his
mouthfuls ^nns+nom+++=mouthfuls
or ^cc++++=or
made ^vbd+++xvbn+=made
sport ^nn++++=sport
of ^in++++=of
his ^pp$+pp3+++=his
wounds ^nns++++=wounds.
. ^zz++++=EXTRAWORD
Repetition ^nn+nom+++=Repetition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
taught ^vbd+vsua++xvbn+=taught
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
A ^at++++=A
day ^nn++++=day
without ^in++++=without
cruelty ^nn++++=cruelty
became ^vbd+++xvbn+=became
a ^at++++=a
week ^nn++++=week;
; ^zz++++=EXTRAWORD
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
a ^at++++=a
month ^nn++++=month;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
calm ^nn++++=calm
consciousness ^nns+nom+++=consciousness
of ^in++++=of
personal ^jj+atrb+++=personal
safety ^nn++++=safety,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
ordinary ^jj+atrb+++=ordinary
men ^nns++++=men
inherit ^vb++++=inherit
without ^in++++=without
gratitude ^nn++++=gratitude,
, ^zz++++=EXTRAWORD
entered ^j+++xvbn+=entered
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
mind ^nn++++=mind
like ^in++++=like
a ^at++++=a
shy ^jj+atrb+++=shy
and ^cc+phrs+++=and
astonished ^jj+atrb++xvbn+=astonished
guest ^nn++++=guest.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
September ^nr+nom+++=September
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
almost ^rb+hdg+++=almost
cheerful ^jj++++=cheerful.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
boots ^nns++++=boots
reflected ^vbd+vprv++xvbn+=reflected
the ^ati++++=the
change ^nn++++=change.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
no ^at++++=no
longer ^rbr++++=longer
crept ^vbd+++xvbn+=crept
along ^in++++=along
the ^ati++++=the
baseboards ^nns+++??+=baseboards
but ^cc++++=but
strode ^vpsv++agls+xvbn+=strode
through ^in++++=through
the ^ati++++=the
lobby ^nn++++=lobby
on ^in++++=on
legitimate ^jj+atrb+++=legitimate
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^nn++++=right
one ^cd1++++=one
resumed ^vbd+++xvbn+=resumed
a ^at++++=a
modest ^jj+atrb+++=modest
rakishness ^nns+nom+++=rakishness;
; ^zz++++=EXTRAWORD
the ^ati++++=the
left ^nn++++=left
kept ^vbd+++xvbn+=kept
pace ^nn++++=pace
without ^in++++=without
apology ^nn++++=apology.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
