# ^zz++++=##
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
another ^dt++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
penguin ^nn+++??+=penguin
owns ^vbz++++=owns
the ^ati++++=the
lower ^jjr+atrb+++=lower
battery ^nn+nom+++=battery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pelican ^nn++++=pelican
the ^ati++++=the
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gull ^nn++++=gull
the ^ati++++=the
rigging ^nn++++=rigging,
, ^zz++++=EXTRAWORD
the ^ati++++=the
albatross ^nns+++??+=albatross
the ^ati++++=the
royal ^jj+atrb+++=royal
masthead ^nn+++??+=masthead.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
mutiny ^nn++++=mutiny
is ^vbz+bez+vrb++=is
perpetual ^jj+pred+++=perpetual.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
found ^vbd+vprv++xvbn+=found
a ^at++++=a
possible ^jj++++=possible
landing ^jj+++xvbg+=landing
on ^in++++=on
the ^ati++++=the
eastern ^jj+atrb+++=eastern
side ^nn++++=side,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
sloping ^jj+atrb++xvbg+=sloping
shelf ^nn++++=shelf
emerged ^vbd+++xvbn+=emerged
between ^in++++=between
surges ^nns++++=surges.
. ^zz++++=EXTRAWORD
Possible ^jj++++=Possible,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
sailors ^nns++++=sailors
use ^nn++++=use
that ^tht+rel+obj++=that
word ^nn++++=word
where ^wrb+who+++=where
landsmen ^jj+++xvbn+=landsmen
employ ^vb++++=employ
suicidal ^jj++++=suicidal.
. ^zz++++=EXTRAWORD
Watching ^vbg+++xvbg+=Watching
the ^ati++++=the
swell ^nn++++=swell,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
pulled ^vbd+++xvbn+=pulled
in ^rb+phrv+++=in;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
command ^nn++++=command
we ^pp1a+pp1+++=we
leaped ^vbd+++xvbn+=leaped,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
the ^ati++++=the
boat ^nn++++=boat's
's ^$++++=EXTRAWORD
painter ^nn++++=painter
after ^in++++=after
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
fell ^vbd+++xvbn+=fell
to ^in++++=to
his ^pp$+pp3+++=his
waist ^nn++++=waist;
; ^zz++++=EXTRAWORD
another ^dt++++=another
embraced ^jj+++xvbn+=embraced
a ^at++++=a
rock ^nn++++=rock
ornamented ^vbd+++xvbn+=ornamented
with ^in++++=with
crabs ^nns+++??+=crabs;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
lost ^vprf+++xvbn+=lost
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
a ^at++++=a
gull ^nn++++=gull
immediately ^rb+tm+++=immediately
investigated ^vbd+++xvbn+=investigated.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
shelf ^nn++++=shelf
rose ^vbd+++xvbn+=rose
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
chimney ^nn++++=chimney
of ^in++++=of
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
A ^at++++=A
narrow ^jj++++=narrow
cleft ^jj++++=cleft
zigzagged ^jj+++xvbn+=zigzagged
upward ^jjb++++=upward,
, ^zz++++=EXTRAWORD
choked ^j+++xvbn+=choked
with ^in++++=with
loose ^jj+atrb+++=loose
fragments ^nns+nom+++=fragments
and ^cc++++=and
generations ^nns+nom+++=generations
of ^in++++=of
avian ^nn++++=avian
refuse ^vb++++=refuse.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
staircase ^nn++++=staircase.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
ropes ^nns++++=ropes
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
ascend ^nn+++??+=ascend."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
line ^nn++++=line
was ^vbd+bedz+aux++=was
passed ^vpsv++agls+xvbnx+=passed
around ^rp++++=around
a ^at++++=a
projection ^nn+nom+++=projection.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lightest ^jjt+atrb+++=lightest
hand ^nn++++=hand
climbed ^vbd+++xvbn+=climbed
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
iron ^nn++++=iron
pins ^nns++++=pins
where ^wrb+who+++=where
the ^ati++++=the
rock ^npl++++=rock
permitted ^vbd+++xvbn+=permitted.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
eaten ^vprf+++xvbnx+=eaten
unwisely ^rb++++=unwisely
at ^in++++=at
noon ^nn++++=noon
and ^cc++++=and
soon ^rb+tm+++=soon
regretted ^vbd+vprv++xvbn+=regretted
both ^abx++++=both
the ^ati++++=the
meal ^nn++++=meal
and ^cc++++=and
the ^ati++++=the
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
At ^rb++++=At
every ^at++++=every
ledge ^nn++++=ledge
birds ^nns++++=birds
confronted ^vbd+++xvbn+=confronted
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
fled ^jj+atrb++xvbn+=fled
screaming ^nvbg+++xvbg+=screaming;
; ^zz++++=EXTRAWORD
others ^aps++++=others
struck ^vprf+++xvbn+=struck
with ^in++++=with
beak ^nn++++=beak
or ^cc++++=or
wing ^nn++++=wing;
; ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
merely ^rb+down+++=merely
opened ^vbd+++xvbn+=opened
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
in ^in++++=in
silent ^jj+atrb+++=silent
astonishment ^nn+nom+++=astonishment,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
human ^jj+atrb+++=human
ascent ^nn++++=ascent
were ^vbd+bed+vrb++=were
a ^at++++=a
breach ^nn++++=breach
of ^in++++=of
natural ^jj+atrb+++=natural
law ^nn++++=law.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rock ^nn++++=rock
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot
where ^wrb+who+++=where
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
slippery ^jj++++=slippery
where ^wrb+who+++=where
shaded ^xvbn+++xvbn+=shaded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everywhere ^rb++++=everywhere
perfumed ^jj+++xvbn+=perfumed
beyond ^in++++=beyond
civility ^nn+nom+++=civility.
. ^zz++++=EXTRAWORD
Feathers ^nns+nom+++=Feathers
entered ^vbd+++xvbn+=entered
the ^ati++++=the
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
dust ^vb++++=dust
entered ^vbd+++xvbn+=entered
the ^ati++++=the
throat ^nn++++=throat;
; ^zz++++=EXTRAWORD
eggs ^nns++++=eggs
rolled ^vbd+++xvbn+=rolled
underfoot ^rb+pl+++=underfoot
with ^in++++=with
consequences ^nns+nom+++=consequences
at ^in++++=at
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
only ^rb+down+++=only
hint ^nn++++=hint.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
upward ^jjb++++=upward
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
pulled ^xvbn+++xvbn+=pulled
by ^in++++=by
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed
by ^in++++=by
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
a ^at++++=a
parliament ^nn+nom+++=parliament
of ^in++++=of
indignant ^jj+atrb+++=indignant
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
At ^rb++++=At
halfway ^rb++++=halfway
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
boat ^nn++++=boat
had ^vbd+hvd+aux++=had
diminished ^vprf+++xvbnx+=diminished
to ^in++++=to
a ^at++++=a
chip ^nn++++=chip;
; ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
her ^pp$+pp3+++=her
were ^vbd+bed+vrb++=were
buttons ^nns++++=buttons;
; ^zz++++=EXTRAWORD
the ^ati++++=the
ship ^nn++++=ship
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
with ^in++++=with
sails ^nns++++=sails
furled ^vbd+++xvbn+=furled,
, ^zz++++=EXTRAWORD
resembled ^j+++xvbn+=resembled
a ^at++++=a
white ^jj+atrb+++=white
insect ^nn++++=insect
pinned ^vbd+++xvbn+=pinned
upon ^in++++=upon
blue ^jj+atrb+++=blue
silk ^nn++++=silk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
encircled ^vbd+++xvbn+=encircled
us ^pp1o+pp1+++=us
without ^in++++=without
seam ^nn++++=seam
or ^cc++++=or
boundary ^nn+nom+++=boundary.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
the ^ati++++=the
tower ^npl++++=tower
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
lean ^vbi++++=lean,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ocean ^nn++++=ocean
to ^to++++=to
rise ^vbi++++=rise
like ^in++++=like
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
clung ^vbd+++xvbnx+=clung
more ^rbr++++=more
lovingly ^rb++++=lovingly
to ^in++++=to
the ^ati++++=the
rock ^nn++++=rock.
. ^zz++++=EXTRAWORD
Above ^jjb++++=Above,
, ^zz++++=EXTRAWORD
a ^at++++=a
penguin ^nn+++??+=penguin
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--##
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
Sixth ^od++++=SIXTH
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Aviary ^np+++??+=AVIARY
Of ^in++++=OF
Ocean ^nn++++=OCEAN
> ^zz++++=>
Some ^dti++++=Some
wear ^nn++++=wear
the ^ati++++=the
cowl ^nn+++??+=cowl,
, ^zz++++=EXTRAWORD
some ^dti++++=some
bear ^nn++++=bear
the ^ati++++=the
senator ^nn++++=senator's
's ^$++++=EXTRAWORD
air ^nn++++=air;
; ^zz++++=EXTRAWORD
> ^zz++++=>
Some ^dti++++=Some
thieves ^nns++++=thieves
do ^vb+do+vrb++=do
chatter ^nn++++=chatter,
, ^zz++++=EXTRAWORD
some ^dti++++=some
pale ^jj+atrb+++=pale
angels ^nns++++=angels
glide ^vb++++=glide;
; ^zz++++=EXTRAWORD
> ^zz++++=>
Yet ^rb++++=Yet
all ^abn++++=all
alike ^rb++++=alike
inherit ^vb++++=inherit
wind ^nn++++=wind
and ^cc++++=and
glare ^nn++++=glare,
, ^zz++++=EXTRAWORD
> ^zz++++=>
And ^cc++++=And
build ^vb++++=build
their ^pp$+pp3+++=their
Babel ^nn++++=Babel
on ^in++++=on
the ^ati++++=the
tower ^npl++++=tower's
's ^$++++=EXTRAWORD
side ^nn++++=side.
. ^zz++++=EXTRAWORD
The ^ati++++=The
penguin ^nn+++??+=penguin
is ^vbz+bez+vrb++=is
proof ^nn++++=proof
that ^tht+ncmp+++=that
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
commonly ^rb++++=commonly
majestic ^jj++++=majestic,
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
drafts ^nns++++=drafts
in ^in++++=in
a ^at++++=a
comic ^jj+atrb+++=comic
mood ^nn++++=mood.
. ^zz++++=EXTRAWORD
On ^in++++=On
land ^nn++++=land
he ^pp3a+pp3+++=he
stumps ^nns++++=stumps
like ^in++++=like
a ^at++++=a
merchant ^nn+nom+++=merchant
late ^jj++++=late
for ^in++++=for
an ^at++++=an
appointment ^nn+nom+++=appointment;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
water ^nn++++=water
he ^pp3a+pp3+++=he
sculls ^nns+++??+=sculls
with ^in++++=with
the ^ati++++=the
dexterity ^nn+nom+++=dexterity
of ^in++++=of
a ^at++++=a
smuggler ^nn+nom+++=smuggler;
; ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
elements ^nns+nom+++=elements
he ^pp3a+pp3+++=he
flops ^nns+++??+=flops,
, ^zz++++=EXTRAWORD
scrambles ^nns+++??+=scrambles,
, ^zz++++=EXTRAWORD
bows ^nns++++=bows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recovers ^nns+nom+++=recovers
with ^in++++=with
an ^at++++=an
offended ^jj+atrb++xvbn+=offended
dignity ^nn+nom+++=dignity
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
accuse ^vbi++++=accuse
the ^ati++++=the
planet ^nn++++=planet
of ^in++++=of
improper ^jj+atrb+++=improper
construction ^nn+nom+++=construction.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
little ^jj+atrb+++=little
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
excellent ^jj++++=excellent
as ^ql++++=as
fins ^nns++++=fins,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
ridiculous ^jj+pred+++=ridiculous
as ^ql++++=as
wings ^nns++++=wings;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
black ^jj+atrb+++=black
coat ^nn++++=coat
and ^cc++++=and
white ^jj+atrb+++=white
waistcoat ^nn++++=waistcoat
suggest ^vb+vpub+++=suggest
formal ^jj+atrb+++=formal
society ^nn++++=society,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
feet ^nns++++=feet
betray ^vb++++=betray
the ^ati++++=the
tavern ^nn++++=tavern.
. ^zz++++=EXTRAWORD
Place ^nn++++=Place
a ^at++++=a
row ^nn++++=row
of ^in++++=of
penguins ^nps++++=penguins
on ^in++++=on
a ^at++++=a
ledge ^nn++++=ledge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
behold ^vb++++=behold
a ^at++++=a
committee ^nn+nom+++=committee
of ^in++++=of
aldermen ^nns++++=aldermen
debating ^vwbg+++xvbg+=debating
a ^at++++=a
sewer ^nn++++=sewer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
individual ^nn+nom+++=individual
who ^whp+rel+obj++=who
barred ^jj+++xvbn+=barred
my ^pp$+pp1+++=my
ascent ^nn++++=ascent
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
for ^in++++=for
his ^pp$+pp3+++=his
tribe ^nn++++=tribe
and ^cc++++=and
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
feathers ^nns+nom+++=feathers
above ^jjb+atrb+++=above
one ^cd1++++=one
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
look ^nn++++=look
of ^in++++=of
a ^at++++=a
scarred ^jj+atrb++xvbn+=scarred
duelist ^nn+nom+++=duelist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waved ^vbd+++xvbnx+=waved
my ^pp$+pp1+++=my
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pecked ^vprf+++xvbn+=pecked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
advanced ^vbd+++xvbnx+=advanced;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
struck ^vbd+++xvbnx+=struck
my ^pp$+pp1+++=my
shin ^nn++++=shin
with ^in++++=with
a ^at++++=a
beak ^nn++++=beak
of ^in++++=of
astonishing ^jj+atrb+++=astonishing
emphasis ^nn++++=emphasis.
. ^zz++++=EXTRAWORD
" ^zz++++="Sir,"
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="your
your ^pp$+pp2+++=EXTRAWORD
island ^nn++++=island
is ^vbz+bez+vrb++=is
large ^jj+pred+++=large."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered
by ^in++++=by
making ^xvbg+++xvbg+=making
himself ^ppl+pp3+++=himself
larger ^jjr++++=larger,
, ^zz++++=EXTRAWORD
an ^at++++=an
effect ^nn++++=effect
achieved ^vwbn+++xvbn+=achieved
chiefly ^rb++++=chiefly
by ^in++++=by
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
I ^pp1a+pp1+++=I
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
step ^vbi++++=step
over ^in++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seized ^vbd+++xvbnx+=seized
my ^pp$+pp1+++=my
trouser ^nn++++=trouser-leg
- ^zz++++=EXTRAWORD
leg ^nn++++=EXTRAWORD
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
fast ^rb++++=fast
while ^cs+sub+++=while
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
suspended ^xvbn+++xvbn+=suspended
between ^in++++=between
terror ^nn++++=terror
and ^cc++++=and
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
clung ^j+++xvbn+=clung
to ^in++++=to
the ^ati++++=the
rope ^nn++++=rope.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
assisting ^xvbg+++xvbg+=assisting,
, ^zz++++=EXTRAWORD
offered ^jj+atrb++xvbn+=offered
counsel ^nns++++=counsel
in ^in++++=in
several ^ap++++=several
varieties ^nns++++=varieties,
, ^zz++++=EXTRAWORD
none ^pn++++=none
practicable ^jj++++=practicable.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
when ^wrb+who+++=when
a ^at++++=a
pelican ^nn++++=pelican,
, ^zz++++=EXTRAWORD
disturbed ^j+++xvbn+=disturbed
from ^in++++=from
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
like ^in++++=like
a ^at++++=a
collapsed ^jj+atrb++xvbn+=collapsed
umbrella ^nn++++=umbrella
between ^in++++=between
us ^pp1o+pp1+++=us
did ^vbd+dod+vrb++=did
the ^ati++++=the
penguin ^nn+++??+=penguin
relinquish ^vb++++=relinquish
his ^pp$+pp3+++=his
claim ^nn++++=claim.
. ^zz++++=EXTRAWORD
Pelicans ^nns+nom++??+=Pelicans.
. ^zz++++=EXTRAWORD
A ^at++++=A
pelican ^jj++++=pelican
at ^rb++++=at
rest ^nn++++=rest
resembles ^vbz++++=resembles
an ^at++++=an
elderly ^jj++++=elderly
ecclesiastic ^jj++++=ecclesiastic
burdened ^jj+++xvbn+=burdened
with ^in++++=with
private ^jj+atrb+++=private
doubts ^nns++++=doubts.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eye ^nn++++=eye
is ^vbz+bez+vrb++=is
grave ^jj+pred+++=grave,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
bald ^jj++++=bald,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bill ^nn++++=bill
preposterous ^jj++++=preposterous;
; ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
hangs ^vbz++++=hangs
that ^cs+sub+++=that
famous ^jj+atrb+++=famous
pouch ^nn+++??+=pouch,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
irreverent ^jj+atrb+++=irreverent
sailors ^nns++++=sailors
compare ^vb++++=compare
to ^in++++=to
a ^at++++=a
provision ^nn++++=provision-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
and ^cc++++=and
theologians ^nns++++=theologians
to ^in++++=to
charity ^nn+nom+++=charity.
. ^zz++++=EXTRAWORD
Seen ^jj+atrb++xvbn+=Seen
flying ^nvbg+++xvbg+=flying,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
loses ^vbz++++=loses
much ^rb++++=much
of ^in++++=of
his ^pp$+pp3+++=his
comedy ^nn++++=comedy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broad ^jj+atrb+++=broad
wings ^nns++++=wings
labor ^nn++++=labor
slowly ^rb++++=slowly;
; ^zz++++=EXTRAWORD
the ^ati++++=the
long ^rb++++=long
bill ^nn++++=bill
points ^nns++++=points
with ^in++++=with
sacerdotal ^jj+atrb+++=sacerdotal
authority ^nn+nom+++=authority;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
file ^nn++++=file
of ^in++++=of
pelicans ^nns+nom+++=pelicans
crossing ^vwbg+++xvbg+=crossing
sunset ^nn++++=sunset
might ^md+pos+++=might
be ^vb+be+vrb++=be
monks ^nns++++=monks
migrating ^jj++++=migrating
from ^in++++=from
a ^at++++=a
drowned ^jj+++xvbn+=drowned
abbey ^npl++++=abbey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gulls ^nns++++=gulls
possessed ^vbd+++xvbn+=possessed
no ^at++++=no
such ^abl++++=such
sanctity ^nn+nom+++=sanctity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
pickpockets ^nns+++??+=pickpockets,
, ^zz++++=EXTRAWORD
fishwives ^nns++++=fishwives,
, ^zz++++=EXTRAWORD
prosecutors ^nns++++=prosecutors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
street ^npl++++=street-boys
- ^zz++++=EXTRAWORD
boys ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stole ^vbd+++xvbnx+=stole
from ^in++++=from
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
screamed ^jj+atrb++xvbn+=screamed
scandal ^nn++++=scandal,
, ^zz++++=EXTRAWORD
dropped ^j+++xvbn+=dropped
shells ^nps++++=shells
upon ^in++++=upon
our ^pp$+pp1+++=our
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed
each ^ppls++++=each
slip ^np++++=slip
of ^in++++=of
the ^ati++++=the
climber ^nn++++=climber
with ^in++++=with
hopeful ^jj+atrb+++=hopeful
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
A ^at++++=A
white ^jj+atrb+++=white
gull ^nn++++=gull
with ^in++++=with
one ^cd1++++=one
black ^jj+atrb+++=black
feather ^nn++++=feather
in ^in++++=in
his ^pp$+pp3+++=his
tail ^nn++++=tail
attended ^vbd+++xvbn+=attended
me ^pp1o+pp1+++=me
for ^in++++=for
fifty ^cd++++=fifty
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
uttering ^vbg+++xvbg+=uttering
comments ^nns+nom+++=comments
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
a ^at++++=a
boatswain ^nn++++=boatswain,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
vocabulary ^nn+nom+++=vocabulary
could ^md+pos+++=could
scarcely ^rb+down+++=scarcely
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
expressive ^jj++++=expressive.
. ^zz++++=EXTRAWORD
Petrels ^np+++??+=Petrels
darted ^vbd+++xvbn+=darted
about ^in++++=about
like ^in++++=like
fragments ^nns+nom+++=fragments
of ^in++++=of
burnt ^jj+atrb++xvbn+=burnt
paper ^nn++++=paper
lifted ^vbd+++xvbn+=lifted
from ^in++++=from
a ^at++++=a
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Boobies ^np+++??+=Boobies
sat ^vbd+++xvbn+=sat
so ^rb++++=so
tamely ^rb++++=tamely
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
touched ^vbd+++xvbn+=touched
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
mild ^jj+atrb+++=mild
faces ^nns++++=faces
incapable ^jj++++=incapable
of ^in++++=of
comprehending ^xvbg+++xvbg+=comprehending
malice ^nn++++=malice.
. ^zz++++=EXTRAWORD
Frigate ^np+nom++??+=Frigate-birds
- ^zz++++=EXTRAWORD
birds ^nns++++=EXTRAWORD
hung ^vbd+++xvbn+=hung
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
forked ^jj++++=forked
tails ^vbz++++=tails
steering ^nvbg+++xvbg+=steering,
, ^zz++++=EXTRAWORD
long ^rb++++=long
wings ^nns++++=wings
making ^vwbg+++xvbg+=making
almost ^rb+hdg+++=almost
no ^at++++=no
visible ^jj+atrb+++=visible
stroke ^nn++++=stroke.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
the ^ati++++=the
pirates ^nns+nom+++=pirates:
: ^zz++++=EXTRAWORD
lean ^vb++++=lean,
, ^zz++++=EXTRAWORD
black ^jj++++=black,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elegant ^jj++++=elegant,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
waited ^vbd+++xvbnx+=waited
until ^cs+sub+++=until
another ^dt++++=another
bird ^nn++++=bird
caught ^vbd+++xvbn+=caught
a ^at++++=a
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
harried ^vbd+++xvbn+=harried
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
air ^nn++++=air
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
