Merchant ^nn+nom+++=Merchant
walked ^vbd+++xvbn+=walked
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Adjunct ^nn++++=Adjunct,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
his ^pp$+pp3+++=his
knees ^nns++++=knees
and ^cc++++=and
from ^in++++=from
no ^at++++=no
illusions ^nns++++=illusions,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed
more ^rbr++++=more
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
monstrous ^jj+pred+++=monstrous,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Before
before ^in++++=EXTRAWORD
everyone ^pn++++=everyone
he ^pp3a+pp3+++=he
praises ^nns++++=praises
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
freedom ^nn+nom+++=freedom
and ^cc++++=and
the ^ati++++=the
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
speak ^vb++++=speak
the ^ati++++=the
truth ^nn++++=truth
he ^pp3a+pp3+++=he
calls ^nns++++=calls
it ^pp3+it+++=it
disrespect ^nn++++=disrespect!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Master ^nn++++=Master
Lind ^np+++??+=Lind.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
agree ^vb+vpub+++=agree
with ^in++++=with
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Entirely."
entirely ^rb+amp+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Agreement ^nn+nom+++=Agreement,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
obtained ^vbd+++xvbn+=obtained
too ^ql++++=too
easily ^rb+cnj+++=easily,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
sometimes ^rb++++=sometimes
disappointing ^jj+pred+++=disappointing.
. ^zz++++=EXTRAWORD
" ^zz++++="Yet
yet ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
led ^vbd+++xvbn+=led
me ^pp1o+pp1+++=me
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feared ^vbd+vprv+tht0+xvbnx+=feared
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
prove ^vb+vprv+tht0++=prove
yourself ^ppl+pp2+++=yourself
right ^jj++++=right
beyond ^in++++=beyond
all ^abn++++=all
possibility ^nn+nom+++=possibility
of ^in++++=of
forgiveness ^nns+nom+++=forgiveness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
ought ^md+nec+++=ought
truth ^vb++++=truth
to ^to++++=to
yield ^vbi++++=yield
to ^in++++=to
vanity ^nn++++=vanity?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ought?
ought ^md+nec+++=EXTRAWORD
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Every ^at++++=Every
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mean ^vb+vprv+++=mean
one ^cd1++++=one
word ^nn++++=word
of ^in++++=of
his ^pp$+pp3+++=his
speech ^nn++++=speech."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
every ^at++++=every
word ^nn++++=word
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
ordinary ^jj++++=ordinary
and ^cc++++=and
the ^ati++++=the
most ^ql+emph+++=most
curious ^jj+atrb+++=curious
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
looked ^vbd+++xvbn+=looked
towards ^in++++=towards
the ^ati++++=the
lighted ^jj+atrb++xvbn+=lighted
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father's
's ^$++++=EXTRAWORD
figure ^nn++++=figure
passed ^vbd+++xvbn+=passed
across ^rp+pl+++=across
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
agitated ^j+++xvbn+=agitated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
patriarchal ^jj++++=patriarchal.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
men ^nns++++=men
are ^vb+ber+vrb++=are
hypocrites ^nns++++=hypocrites."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sometimes.
sometimes ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
More ^rbr++++=More
often ^rb++++=often
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
merely ^rb+down+splt++=merely
divided ^vpsv++agls+xvbnx+=divided.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
father ^nn++++=father
loves ^vbz++++=loves
youth ^nn++++=youth
as ^in++++=as
an ^at++++=an
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
Youth ^nn++++=Youth
as ^in++++=as
a ^at++++=a
son ^nn++++=son
who ^whp+rel+subj++=who
corrects ^vbz+++??+=corrects
his ^pp$+pp3+++=his
dates ^nns++++=dates
is ^vbz+bez+vrb++=is
another ^dt++++=another
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
this ^dt+dem+++=this
natural ^jj++++=natural?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
human ^jj++++=human,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
precisely ^rb++++=precisely
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
an ^at++++=an
excuse ^nn++++=excuse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
little ^ap++++=little
arbour ^nn++++=arbour
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Master ^nn++++=Master
Lind ^np+++??+=Lind
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
with ^in++++=with
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
teachers ^nns+nom+++=teachers
are ^vb+ber+aux++=are
believed ^vpsv++agls+xvbnx+=believed
to ^to+vcmp+++=to
delight ^vb++++=delight
in ^in++++=in
walking ^xvbg+++xvbg+=walking
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
impart ^vb++++=impart
wisdom ^nn++++=wisdom;
; ^zz++++=EXTRAWORD
in ^in++++=in
reality ^nn+nom+++=reality
they ^pp3a+pp3+++=they
prefer ^vb+vprv+++=prefer
a ^at++++=a
bench ^nn++++=bench
( ^zz++++=(a
a ^at++++=EXTRAWORD
rarer ^jjr+atrb+++=rarer
thing ^nn++++=thing
with ^in++++=with
old ^jj+atrb+++=old
teachers ^nns+nom+++=teachers
than ^in++++=than
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
supposed ^vpsv++agls+xvbnx+=supposed).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
young ^jj+pred+++=young,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
serve ^vb++++=serve
truth ^nn++++=truth
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
possess ^nns+nom+++=possess
nothing ^pn++++=nothing
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
we ^pp1a+pp1+++=we
acquire ^vb++++=acquire
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
name ^nn++++=name,
, ^zz++++=EXTRAWORD
a ^at++++=a
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
a ^at++++=a
wife ^nn++++=wife
who ^whp+rel+subj++=who
fears ^vbz+vprv+++=fears
scenes ^nns++++=scenes,
, ^zz++++=EXTRAWORD
clerks ^nns++++=clerks
who ^whp+rel+obj++=who
bow ^nn++++=bow
to ^in++++=to
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
who ^whp+rel+subj++=who
know ^vb+vprv+++=know
more ^rbr++++=more
recent ^jj+atrb+++=recent
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
truth ^nn++++=truth
becomes ^vbz++++=becomes
a ^at++++=a
guest ^nn++++=guest
whom ^whp+rel+obj++=whom
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
honour ^vb++++=honour,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
sit ^vb++++=sit
in ^in++++=in
our ^pp$+pp1+++=our
chair ^nn++++=chair."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
never ^rb++++=never
be ^vb+be+vrb++=be
like ^in++++=like
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Henrik ^np+++??+=Henrik.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^vb+vprv+tht0++=mean
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^cd1++++=one
day ^nn++++=day
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knows ^vbz+vprv+++=knows
better ^jjr++++=better
than ^cs+sub+++=than
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
rejoice ^vb++++=rejoice.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
listen ^vb++++=listen
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++++=never
demand ^nn++++=demand
respect ^nn++++=respect
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
reason ^nn++++=reason."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No?"
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never!
never ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Age ^nn++++=Age
has ^vbz+hvz+vrb++=has
no ^at++++=no
privilege ^nn++++=privilege
against ^in++++=against
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coming ^jj+atrb++xvbg+=coming
generation ^nn+nom+++=generation
must ^md+nec+++=must
be ^vb+be+vrb++=be
freer ^nn++++=freer
than ^in++++=than
ours ^pp$$++++=ours;
; ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
mankind ^nn++++=mankind
goes ^vbz++++=goes
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
rather ^rb++++=rather
be ^vb+be+aux++=be
corrected ^vpsv++agls+xvbnx+=corrected
a ^at++++=a
thousand ^cd++++=thousand
times ^nns++++=times
than ^in++++=than
silence ^nn+nom+++=silence
an ^at++++=an
honest ^jj+atrb+++=honest
conviction ^nn+nom+++=conviction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
sunset ^nn++++=sunset
illuminated ^vbd+++xvbn+=illuminated
his ^pp$+pp3+++=his
pale ^nn++++=pale
face ^nn++++=face;
; ^zz++++=EXTRAWORD
the ^ati++++=the
fjord ^nn+++??+=fjord
glowed ^vbd+++xvbn+=glowed
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
had ^vb+hv+aux++=had
that ^dt+dem+++=that
transporting ^vbg+++xvbg+=transporting
resonance ^nn+nom+++=resonance
which ^whp+rel+subj++=which
comes ^vbz++++=comes
to ^in++++=to
young ^jj+atrb+++=young
men ^nns++++=men
after ^in++++=after
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
injury ^nn++++=injury,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
noble ^jj+atrb+++=noble
generalisation ^nn+nom+++=generalisation.
. ^zz++++=EXTRAWORD
Anyone ^pn++++=Anyone
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
impressed ^vpsv++agls+xvbnx+=impressed
but ^cc++++=but
Master ^nn++++=Master
Lind ^np+++??+=Lind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
teacher ^nn++++=teacher
regarded ^vwbn+++xvbn+=regarded
him ^pp3o+pp3+++=him
affectionately ^rb++++=affectionately.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Henrik ^np+++??+=Henrik,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="in
in ^in++++=EXTRAWORD
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
you ^pp2+pp2+++=you
will ^md+prd+++=will
sit ^vb++++=sit
at ^in++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
this ^dt+dem+++=this
table ^nn++++=table.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
have ^vb+hv+vrb++=have
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
warehouse ^nn++++=warehouse,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
even ^rb++++=even
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
son ^nn++++=son
will ^md+prd+++=will
return ^vb++++=return
from ^in++++=from
the ^ati++++=the
University ^nn+nom+++=University
and ^cc++++=and
correct ^jj++++=correct
you ^pp2+pp2+++=you
before ^in++++=before
a ^at++++=a
judge ^nn++++=judge
and ^cc++++=and
two ^cd++++=two
captains ^nns++++=captains.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
then ^rn+tm+splt++=then
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
independence ^nn+nom+++=independence
is ^vbz+bez+vrb++=is
admirable ^jj+pred+++=admirable
in ^in++++=in
the ^ati++++=the
abstract ^jj++++=abstract
and ^cc+phrs+++=and
intolerable ^jj++++=intolerable
at ^in++++=at
dessert ^nn++++=dessert."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
swear ^vbd+++xvbnx+=swear
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Master ^nn++++=Master
Lind ^np+++??+=Lind
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,"
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
return ^vb++++=return
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
forgive ^vb++++=forgive
one ^cd1++++=one
another ^dt++++=another
without ^in++++=without
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
later ^rbr+tm+++=later
Henrik ^np+++??+=Henrik
Vahl ^np+++??+=Vahl,
, ^zz++++=EXTRAWORD
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
civic ^jj+atrb+++=civic
councillor ^nn++++=councillor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
father ^nn++++=father
of ^in++++=of
a ^at++++=a
university ^nn+nom+++=university
student ^nn++++=student,
, ^zz++++=EXTRAWORD
proposed ^j+++xvbn+=proposed
at ^rb++++=at
a ^at++++=a
family ^nn++++=family
dinner ^nn++++=dinner
a ^at++++=a
toast ^nn++++=toast
to ^in++++=to
the ^ati++++=the
fearless ^jj+atrb+++=fearless
intellect ^nn++++=intellect
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
generation ^nn+nom+++=generation.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
evening ^nn++++=evening
ended ^vbd+++xvbn+=ended,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ordered ^vbd+vsua+tht0+xvbnx+=ordered
his ^pp$+pp3+++=his
son ^nn++++=son
from ^in++++=from
the ^ati++++=the
room ^nn++++=room
for ^in++++=for
contradicting ^xvbg+++xvbg+=contradicting
him ^pp3o+pp3+++=him
about ^in++++=about
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
a ^at++++=a
treaty ^nn++++=treaty.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=And
the ^ati++++=the
teacher ^nn++++=teacher
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
