# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
White ^jj++++=White
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
followed ^vbd+vprv++xvbn+=followed
in ^in++++=in
a ^at++++=a
scattered ^jj+atrb++xvbn+=scattered
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
black ^jj+atrb+++=black
stallion ^nn++++=stallion
gave ^vbd+++xvbn+=gave
a ^at++++=a
shrill ^jj+atrb+++=shrill
call ^nn++++=call.
. ^zz++++=EXTRAWORD
Whitey ^np++++=Whitey's
's ^$++++=EXTRAWORD
ears ^nns++++=ears
came ^vbd+++xvbn+=came
up ^rp++++=up.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
sign ^vb++++=sign
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
any ^dti++++=any.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
shortened ^jj++++=shortened
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
begin ^vb++++=begin
with ^in++++=with
a ^at++++=a
rush ^nn++++=rush
or ^cc++++=or
waste ^nn++++=waste
time ^nn++++=time
fighting ^vwbg+++xvbg+=fighting
the ^ati++++=the
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
lengthened ^jj+atrb++xvbn+=lengthened,
, ^zz++++=EXTRAWORD
gathered ^jj+atrb++xvbn+=gathered
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vbd+++xvbn+=passed
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
tired ^jj+atrb++xvbn+=tired
horses ^nns++++=horses
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
fresh ^jj+atrb+++=fresh
ones ^pn++++=ones;
; ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
Thompson ^np++++=Thompson
on ^in++++=on
the ^ati++++=the
bay ^nn++++=bay
and ^cc++++=and
Billy ^np++++=Billy
on ^in++++=on
the ^ati++++=the
chestnut ^nn++++=chestnut
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
tied ^vpsv++agls+xvbnx+=tied
to ^in++++=to
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Alec ^np++++=Alec,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
flogging ^nn++++=flogging
him ^pp3o+pp3+++=him
a ^at++++=a
moment ^nn++++=moment
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
sat ^vbd+++xvbn+=sat
quiet ^jj++++=quiet
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
frightened ^jj+++xvbn+=frightened.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
open ^vb++++=open
our ^pp$+pp1+++=our
eyes ^nns++++=eyes!
! ^zz++++=EXTRAWORD
The ^ati++++=The
brumbies ^nn++++=brumbies
dropped ^vbd+++xvbn+=dropped
into ^in++++=into
a ^at++++=a
gully ^nn++++=gully
choked ^vbd+++xvbn+=choked
with ^in++++=with
saplings ^nns+nom+++=saplings.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
went ^vbd+++xvbn+=went
down ^in++++=down
the ^ati++++=the
bank ^nn++++=bank
like ^in++++=like
a ^at++++=a
kangaroo ^nn+++??+=kangaroo,
, ^zz++++=EXTRAWORD
changed ^jj+atrb++xvbn+=changed
feet ^nns++++=feet
among ^in++++=among
the ^ati++++=the
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
far ^rb+pl+++=far
side ^nn++++=side
without ^in++++=without
losing ^xvbg+++xvbg+=losing
a ^at++++=a
stride ^nn++++=stride.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
a ^at++++=a
flat ^nn++++=flat
he ^pp3a+pp3+++=he
stretched ^vbd+++xvbnx+=stretched
till ^cs+sub+++=till
his ^pp$+pp3+++=his
belly ^nn++++=belly
seemed ^vbd+seem++xvbn+=seemed
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
ground ^nn++++=ground;
; ^zz++++=EXTRAWORD
through ^in++++=through
scrub ^nn++++=scrub
he ^pp3a+pp3+++=he
bent ^vbd+++xvbnx+=bent
and ^cc+phrs+++=and
twisted ^vbd+++xvbn+=twisted
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
chosen ^vprf+++xvbnx+=chosen
the ^ati++++=the
track ^nn++++=track
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
black ^jj+atrb+++=black
stallion ^nn++++=stallion
doubled ^vwbn+++xvbn+=doubled
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
doubled ^vwbn+++xvbn+=doubled
inside ^rp+pl+++=inside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mares ^nns++++=mares
broke ^vbd+++xvbn+=broke
toward ^in++++=toward
a ^at++++=a
stringybark ^nn+++??+=stringybark
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
swept ^vwbn+++xvbn+=swept
round ^rb++++=round
their ^pp$+pp3+++=their
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
turned ^vbd+++xvbn+=turned
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
hours ^nns++++=hours
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
that ^dt+dem+++=that
mob ^nn++++=mob
from ^in++++=from
hill ^nn++++=hill
to ^in++++=to
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
from ^in++++=from
range ^nn++++=range
to ^in++++=to
range ^nn++++=range,
, ^zz++++=EXTRAWORD
over ^in++++=over
ironstone ^np++++=ironstone
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
through ^in++++=through
gullies ^nns+++??+=gullies
and ^cc++++=and
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
flats ^nns++++=flats
where ^wrb+who+++=where
the ^ati++++=the
grass ^nn++++=grass
hid ^vbd+++xvbn+=hid
holes ^nns++++=holes
deep ^jj++++=deep
enough ^qlp++++=enough
to ^to++++=to
bury ^vbi++++=bury
a ^at++++=a
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
horses ^nns++++=horses
were ^vbd+bed+aux++=were
blown ^vpsv++agls+xvbnx+=blown
and ^cc+phrs+++=and
dropping ^vbg+++xvbg+=dropping
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet
to ^in++++=to
the ^ati++++=the
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
stride ^nn++++=stride
stayed ^vbd+++xvbn+=stayed
level ^nn++++=level.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
the ^ati++++=the
brumbies ^nn++++=brumbies
meant ^vbd+vprv++xvbn+=meant
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
tried ^vbd+++xvbnx+=tried
the ^ati++++=the
scrub ^nn++++=scrub,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
at ^in++++=at
their ^pp$+pp3+++=their
heads ^nns++++=heads;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
split ^vbd+++xvbnx+=split,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drove ^vbd+++xvbnx+=drove
the ^ati++++=the
mares ^nns++++=mares
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
stallion ^nn++++=stallion
challenged ^vwbn+++xvbn+=challenged,
, ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
ran ^vbd+++xvbn+=ran
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
and ^cc++++=and
smothered ^vbd+++xvbn+=smothered
him ^pp3o+pp3+++=him
for ^in++++=for
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Alec ^np++++=Alec
brought ^vbd+++xvbn+=brought
the ^ati++++=the
mob ^nn++++=mob
toward ^in++++=toward
a ^at++++=a
wing ^nn++++=wing
of ^in++++=of
the ^ati++++=the
boundary ^nn+nom+++=boundary
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
rigged ^vprf+++xvbnx+=rigged
a ^at++++=a
rough ^jj+atrb+++=rough
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
came ^vbd+++xvbn+=came
up ^rp++++=up
by ^in++++=by
twos ^cds++++=twos
and ^cc++++=and
threes ^cds++++=threes,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
horses ^nns++++=horses
whose ^whp+rel+obj++=whose
tongues ^nns++++=tongues
hung ^vbd+++xvbn+=hung
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Whitey ^np+++??+=Whitey
turned ^vbd+++xvbn+=turned
the ^ati++++=the
brumbies ^nns+++??+=brumbies
at ^rb++++=at
the ^ati++++=the
opening ^nvbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
them ^pp3o+pp3+++=them
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vwbn+vprv++xvbn+=followed
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^jjb++++=head
dropped ^jj+++xvbn+=dropped,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
ears ^nns++++=ears
fell ^vbd+++xvbn+=fell
sideways ^jjb++++=sideways,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
once ^rb+tm+++=once
more ^rbr++++=more
the ^ati++++=the
oldest ^jjt++++=oldest,
, ^zz++++=EXTRAWORD
ugliest ^jjt+atrb+++=ugliest,
, ^zz++++=EXTRAWORD
laziest ^jjt+atrb+++=laziest
pony ^nn++++=pony
on ^in++++=on
Buckalong ^np+++??+=Buckalong.
. ^zz++++=EXTRAWORD
Alec ^np++++=Alec
slid ^vbd+++xvbn+=slid
off ^in+pl+++=off
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
stared ^vbd+++xvbn+=stared
at ^rb++++=at
Whitey ^np+++??+=Whitey.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
fever ^nn++++=fever
man ^nn++++=man
knew ^vbd+vprv++xvbn+=knew."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
arrived ^vbd+++xvbn+=arrived
an ^at++++=an
hour ^nn++++=hour
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
wisely ^rb++++=wisely
taken ^vbd+++xvbn+=taken
no ^at++++=no
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
chase ^nn++++=chase.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
inspected ^vbd+++xvbnx+=inspected
the ^ati++++=the
captured ^jj+atrb++xvbn+=captured
brumbies ^nns+++??+=brumbies,
, ^zz++++=EXTRAWORD
listened ^j+++xvbn+=listened
to ^to++++=to
six ^cd++++=six
accounts ^nns++++=accounts
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
walked ^vbd+++xvbn+=walked
over ^in++++=over
to ^in++++=to
Whitey ^np+++??+=Whitey.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
ye ^pp2+pp2+++=ye,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
never ^rb++++=never
anything ^pn++++=anything
wrong ^jj+atrb+++=wrong
wi ^nn+++??+=wi'
' ^zz++++=EXTRAWORD
the ^ati++++=the
horrse ^nn+++??+=horrse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
argument ^nn+nom+++=argument
with ^in++++=with
a ^at++++=a
manager ^nn++++=manager
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
insubordination ^nn+nom+++=insubordination
with ^in++++=with
extra ^jj+atrb+++=extra
words ^nns++++=words.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Whitey ^np++++=Whitey's
's ^$++++=EXTRAWORD
reputation ^nn+nom+++=reputation
travelled ^vbd+++xvbn+=travelled
faster ^rbr++++=faster
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
stations ^nns+nom+++=stations
forty ^cd++++=forty
and ^cc++++=and
fifty ^cd++++=fifty
miles ^nns++++=miles
away ^rp+pl+++=away
to ^to++++=to
see ^vbi+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
coarse ^jj+atrb+++=coarse
head ^nn++++=head,
, ^zz++++=EXTRAWORD
drooping ^jj+atrb+++=drooping
quarters ^nns+nom+++=quarters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scarred ^xvbn+++xvbn+=scarred
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suspected ^jj+++xvbn+=suspected
us ^pp1o+pp1+++=us
of ^in++++=of
inventing ^j++++=inventing
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+aux++=be
a ^at++++=a
muster ^vb++++=muster,
, ^zz++++=EXTRAWORD
a ^at++++=a
wild ^jj+atrb+++=wild
bullock ^nn++++=bullock,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
horse ^nn++++=horse
that ^tht+rel+++=that
refused ^vb+++xvbn+=refused
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
headed ^vpsv++agls+xvbnx+=headed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Whitey ^np+++??+=Whitey
would ^md+prd+++=would
wake ^vb++++=wake.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
turn ^vb++++=turn
a ^at++++=a
beast ^nn++++=beast
on ^in++++=on
ground ^nn++++=ground
where ^wrb+who+++=where
another ^ppls++++=another
horse ^np++++=horse
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
stand ^vb++++=stand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
carry ^vb++++=carry
a ^at++++=a
man ^nn++++=man
from ^in++++=from
dawn ^nn++++=dawn
to ^in++++=to
dark ^jj++++=dark
and ^cc++++=and
finish ^nn++++=finish
with ^in++++=with
enough ^qlp++++=enough
left ^vbd+++xvbn+=left
to ^to++++=to
chase ^vbi++++=chase
the ^ati++++=the
camp ^nn++++=camp-horses.
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
when ^wrb+who+whcl++=when
to ^to++++=to
save ^vbi++++=save
himself ^ppl+pp3+++=himself
and ^cc+cls+++=and
when ^wrb+who+++=when
saving ^nvbg+++xvbg+=saving
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
the ^ati++++=the
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Offers ^vbz++++=Offers
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
refused ^vbd+++xvbn+=refused
a ^at++++=a
fiver ^jjr++++=fiver,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
" ^zz++++="Fifty
fifty ^cd++++=EXTRAWORD
pounds ^nns++++=pounds
for ^in++++=for
a ^at++++=a
horrse ^nn+++??+=horrse
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
for ^in++++=for
fifteen ^cd++++=fifteen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
kind ^rb++++=kind
of ^rb"++++0=o'
fool ^jjb++++=fool
would ^md+prd+++=would
sell ^vb++++=sell
at ^in++++=at
a ^at++++=a
profit ^nn++++=profit
and ^cc++++=and
spend ^vb++++=spend
the ^ati++++=the
rest ^nn++++=rest
of ^in++++0=o'
his ^pp$+pp3+++=his
life ^nn++++=life
regretting ^vwbg+++xvbg+=regretting
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
called ^vbd+++xvbn+=called
the ^ati++++=the
pony ^nn++++=pony
White ^jj++++=White-When-Wanted
- ^zz++++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
- ^zz++++=EXTRAWORD
wanted ^vbd+++xvbn+=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
shortened ^jj+pred+++=shortened
to ^to++++=to
Wanted ^vbi++++=Wanted
in ^in++++=in
busy ^jj+atrb+++=busy
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
pretended ^vbd+vprv+tht0+xvbn+=pretended
the ^ati++++=the
name ^nn++++=name
was ^vbd+bedz+vrb++=was
foolish ^jj+pred+++=foolish,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
used ^vbd+++xvbn+=used
it ^pp3+it+++=it
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
two ^cd++++=two
years ^nns++++=years
after ^cs+sub+++=after
the ^ati++++=the
drover ^jjr+atrb+++=drover's
's ^vbz+bez+vrb++0=EXTRAWORD
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
Wanted ^j+++xvbn+=Wanted
disappeared ^jj+++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
broken ^jj+atrb++xvbn+=broken
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
no ^at++++=no
open ^jj+atrb+++=open
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
no ^at++++=no
track ^nn++++=track
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
follow ^vb+vprv+++=follow
beyond ^in++++=beyond
the ^ati++++=the
hard ^jj+atrb+++=hard
road ^npl++++=road.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
searched ^vbd+++xvbn+=searched
the ^ati++++=the
paddocks ^nns+++??+=paddocks,
, ^zz++++=EXTRAWORD
creeks ^nns++++=creeks,
, ^zz++++=EXTRAWORD
ranges ^nns++++=ranges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
abandoned ^jj+atrb++xvbn+=abandoned
huts ^nns++++=huts.
. ^zz++++=EXTRAWORD
Boundary ^nn+nom+++=Boundary
riders ^nns++++=riders
were ^vbd+bed+aux++=were
questioned ^vpsv++agls+xvbnx+=questioned.
. ^zz++++=EXTRAWORD
Police ^nns++++=Police
were ^vbd+bed+aux++=were
informed ^vpsv++agls+xvbnx+=informed.
. ^zz++++=EXTRAWORD
Sandy ^jj++++=Sandy
offered ^jj+++xvbn+=offered
twenty ^cd++++=twenty
pounds ^nns++++=pounds
reward ^nn++++=reward
and ^cc++++=and
accused ^vbd+++xvbn+=accused
every ^at++++=every
horse ^nn++++=horse-trader
- ^zz++++=EXTRAWORD
trader ^nn++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
hundred ^cd++++=hundred
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
came ^vbd+++xvbn+=came
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected
Wanted ^vprf+++xvbn+=Wanted
to ^to+vcmp+++=to
walk ^vbi++++=walk
in ^in++++=in
at ^in++++=at
breakfast ^nn++++=breakfast,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
sleepy ^jj++++=sleepy
and ^cc+phrs+++=and
pleased ^jj+++xvbn+=pleased
with ^in++++=with
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
weeks ^nns++++=weeks
became ^vbd+++xvbn+=became
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
horses ^nns++++=horses
did ^vbd+dod+vrb++=did
his ^pp$+pp3+++=his
work ^nn++++=work
badly ^rb++++=badly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
black ^jj+atrb+++=black
brumby ^nn+++??+=brumby
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
threw ^j+++xvbn+=threw
Billy ^np++++=Billy
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
sold ^vpsv++agls+xvbnx+=sold
for ^in++++=for
thirty ^cd++++=thirty
shillings ^nns+nom+++=shillings.
. ^zz++++=EXTRAWORD
Buckalong ^np+++??+=Buckalong
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
as ^ql++++=as
stations ^nns+nom+++=stations
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
useful ^jj+atrb+++=useful
creature ^nn++++=creature
missing ^vwbg+++xvbg+=missing
and ^cc++++=and
twenty ^cd++++=twenty
useless ^jj+atrb+++=useless
ones ^cd1s++++=ones
eating ^nvbg+++xvbg+=eating.
. ^zz++++=EXTRAWORD
About ^in++++=About
a ^at++++=a
year ^nn++++=year
later ^rbr+tm+++=later
a ^at++++=a
traveller ^nn+nom+++=traveller
from ^in++++=from
far ^rb+pl+++=far
beyond ^in++++=beyond
the ^ati++++=the
western ^nn++++=western
runs ^vbz++++=runs
stayed ^vprf+++xvbn+=stayed
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
tea ^nn++++=tea
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
a ^at++++=a
grey ^jj+atrb+++=grey
pony ^nn++++=pony
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
at ^rb++++=at
a ^at++++=a
back ^rp++++=back-block
- ^zz++++=EXTRAWORD
block ^nn++++=EXTRAWORD
camp ^nn++++=camp
near ^in+pl+++=near
the ^ati++++=the
border ^nn++++=border
of ^in++++=of
settled ^jj+atrb++xvbn+=settled
country ^nn++++=country
a ^at++++=a
rough ^jj++++=rough-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
flea ^nn++++=flea-bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
moke ^np++++=moke
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
down ^rb+phrv+++=down
a ^at++++=a
mob ^nn++++=mob
of ^in++++=of
scrubbers ^nns+nom+++=scrubbers
after ^in++++=after
three ^cd++++=three
days ^nns++++=days'
' ^zz++++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
" ^zz++++="Rider
rider ^nn++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
scar ^nn++++=scar
down ^in++++=down
his ^pp$+pp3+++=his
face ^nn++++=face,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
traveller ^nn+nom+++=traveller
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Thin
thin ^jj+atrb+++=EXTRAWORD
chap ^nn++++=chap.
. ^zz++++=EXTRAWORD
Said ^j+++xvbn+=Said
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
the ^ati++++=the
pony ^nn++++=pony
from ^in++++=from
