# ^zz++++=##
# ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
that ^tht+rel+subj++=that
suffers ^nns+nom+++=suffers
if ^cs+cnd+++=if
unemployed ^jj++++=unemployed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
figured ^vbd+++xvbn+=figured
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high-gradin'
- ^zz++++=EXTRAWORD
gradin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
ore ^nn++++=ore
from ^in++++=from
the ^ati++++=the
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
watched ^vbd+++xvbn+=watched
the ^ati++++=the
trail ^nn++++=trail
nights ^nns++++=nights.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
come ^vb++++=come
or ^cc+phrs+++=or
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
Weaver ^np++++=Weaver
searched ^vbd+++xvbn+=searched
his ^pp$+pp3+++=his
cabin ^nn++++=cabin
while ^cs+sub+++=while
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
town ^nn++++=town
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
bacon ^np++++=bacon,
, ^zz++++=EXTRAWORD
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
cartridges ^nns+++??+=cartridges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
book ^nn++++=book
called ^vbd+++xvbn+=called
The ^ati++++=The
Young ^jj+atrb+++=Young
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Guide ^vb++++=Guide
to ^in++++=to
Moral ^jj+atrb+++=Moral
Improvement ^nn+nom+++=Improvement.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
book ^nn++++=book
looked ^vbd+++xvbn+=looked
untouched ^jj++++=untouched
and ^cc++++=and
was ^vbd+bedz+aux++=was
probably ^rb++splt++=probably
stolen ^vpsv++agls+xvbnx+=stolen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
mountain ^nn++++=mountain
river ^nn++++=river
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
closed ^vpsv++agls+xvbnx+=closed
to ^in++++=to
fishing ^xvbg+++xvbg+=fishing
for ^in++++=for
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mine ^nn++++=mine
had ^vbd+hvd+aux++=had
muddied ^vprf+++xvbnx+=muddied
some ^dti++++=some
of ^in++++=of
its ^pp$+it+++=its
lower ^jjr++++=lower
stretches ^vbz++++=stretches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
county ^nn++++=county
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
newly ^rb++++=newly
awakened ^vbd+++xvbn+=awakened
to ^in++++=to
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
declared ^vprf++tht0+xvbnx+=declared
the ^ati++++=the
upper ^jjb+atrb+++=upper
pools ^nns++++=pools
protected ^vwbn+++xvbn+=protected.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
posted ^vbd+++xvbnx+=posted
notices ^nns++++=notices
on ^in++++=on
trees ^nns++++=trees
and ^cc++++=and
promised ^vbd+vpub++xvbn+=promised
a ^at++++=a
fine ^nn++++=fine
of ^in++++=of
one ^cd1++++=one
hundred ^cd++++=hundred
dollars ^nns++++=dollars
to ^in++++=to
anyone ^pn++++=anyone
taking ^vbg+++xvbg+=taking
trout ^nns++++=trout
by ^in++++=by
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
trap ^nn++++=trap,
, ^zz++++=EXTRAWORD
poison ^nn++++=poison,
, ^zz++++=EXTRAWORD
giant ^jjb+atrb+++=giant
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
unlawful ^jj+atrb+++=unlawful
means ^nn++++=means.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
ordinance ^nn+nom+++=ordinance
was ^vbd+bedz+vrb++=was
unpopular ^jj+pred+++=unpopular
in ^in++++=in
Prosperity ^nn+nom+++=Prosperity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
miners ^nns++++=miners
considered ^vwbn+vprv++xvbn+=considered
fish ^nns++++=fish
a ^at++++=a
form ^nn++++=form
of ^in++++=of
loose ^jj+atrb+++=loose
property ^nn++++=property,
, ^zz++++=EXTRAWORD
like ^in++++=like
firewood ^nn+++??+=firewood
or ^cc++++=or
unattended ^jj+atrb+++=unattended
whiskey ^nn+++??+=whiskey.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
supported ^vbd+++xvbn+=supported
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
partly ^rb+down+++=partly
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
company ^nn++++=company
store ^nn++++=store
that ^tht+rel+subj++=that
sold ^vbd+++xvbn+=sold
hooks ^nns++++=hooks.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
and ^cc+phrs+++=and
again ^rb+cnj+++=again,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bunt ^np+++??+=Bunt,
, ^zz++++=EXTRAWORD
" ^zz++++="Cock-eye
cock ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
would ^md+prd+++=would
ride ^vb++++=ride
into ^in++++=into
camp ^nn++++=camp
with ^in++++=with
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
stay ^vb++++=stay
broke ^vbd+++xvbn+=broke
three ^cd++++=three-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
days ^nns++++=days
and ^cc++++=and
appear ^vb+seem+++=appear
sudden ^jj++++=sudden
with ^in++++=with
another ^dt++++=another
roll ^nn++++=roll.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
cabin ^nn++++=cabin
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
produce ^vb++++=produce
no ^at++++=no
mint ^nn++++=mint.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
the ^ati++++=the
cook ^nn++++=cook
at ^rb++++=at
the ^ati++++=the
boardinghouse ^nn+++??+=boardinghouse
mentions ^nns+nom+++=mentions
that ^tht+vcmp+++=that
a ^at++++=a
feller ^nn++++=feller
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
sellin ^nn+++??+=sellin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
trout ^nns++++=trout
fine ^jj+atrb+++=fine
big ^jj+atrb+++=big
trout ^nn++++=trout,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
and ^cc++++=and
thirty ^cd++++=thirty
at ^in++++=at
a ^at++++=a
lick ^nn++++=lick.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who?'
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Colonel ^npt++++=Colonel
Jim ^np++++=Jim.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
cook ^nn++++=cook
got ^vbd+++xvbn+=got
embarrassed ^jj+++xvbn+=embarrassed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
says ^vbz+vpub+tht0++=says
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
private ^jj+atrb+++=private
commercial ^jj+atrb+++=commercial
transaction ^nn+nom+++=transaction.
. ^zz++++=EXTRAWORD
" ^zz++++="Colonel
colonel ^npt++++=EXTRAWORD
Jim ^np++++=Jim
takes ^vbz++++=takes
away ^rb+phrv+++=away
his ^pp$+pp3+++=his
whiskey ^nn+++??+=whiskey
ration ^nn++++=ration.
. ^zz++++=EXTRAWORD
" ^zz++++="'Blacklock,'
' ^zz++++=EXTRAWORD
blacklock ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
cook ^nn++++=cook
immediate ^jj++++=immediate.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
commenced ^vbd+++xvbn+=commenced
to ^in++++=to
shape ^nn++++=shape
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hooks ^nns++++=hooks
and ^cc++++=and
lines ^nns++++=lines
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
account ^nn++++=account
for ^in++++=for
such ^abl++++=such
quantities ^nns+nom+++=quantities.
. ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
lazy ^jj+atrb+++=lazy
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
willingly ^rb++++=willingly
deceive ^vb++++=deceive
one ^cd1++++=one
fish ^nns++++=fish
at ^rb++++=at
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
could ^md+pos+++=could
assassinate ^nn+nom+++=assassinate
a ^at++++=a
congregation ^nn+nom+++=congregation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
week ^nn++++=week
Colonel ^npt++++=Colonel
Jim ^np++++=Jim
sent ^vbd+++xvbn+=sent
Bunt ^np+++??+=Bunt
to ^to++++=to
look ^vbi++++=look
around ^in++++=around
the ^ati++++=the
upper ^jjb+atrb+++=upper
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
found ^vbd+vprv++xvbn+=found
no ^at++++=no
nets ^nns++++=nets
and ^cc++++=and
no ^at++++=no
fish ^nns++++=fish
traps ^nns++++=traps.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
was ^vbd+bedz+vrb++=was
a ^at++++=a
scattering ^jj+++xvbg+=scattering
of ^in++++=of
dead ^jj+atrb+++=dead
minnows ^nns++++=minnows
along ^in++++=along
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
two ^cd++++=two
trout ^nns++++=trout
with ^in++++=with
their ^pp$+pp3+++=their
air ^nn++++=air
bladders ^nns+nom+++=bladders
ruptured ^vprf+++xvbn+=ruptured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
fuse ^nn++++=fuse
caught ^vbd+++xvbn+=caught
in ^in++++=in
willow ^nn++++=willow
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
" ^zz++++="Dynamite,"
dynamite ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
said ^vbd+vpub++xvbn+=said
solemnly ^rb++++=solemnly.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Cock-eye ^np++++=Cock-eye's
's ^$++++=EXTRAWORD
financial ^jj+atrb+++=financial
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
swipe ^nn+++??+=swipe
powder ^nn++++=powder
from ^in++++=from
the ^ati++++=the
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
toss ^vb++++=toss
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
pool ^nn++++=pool,
, ^zz++++=EXTRAWORD
collect ^vb++++=collect
what ^wdt+who+++=what
floated ^vbd+++xvbn+=floated
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sell ^vb++++=sell
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
robbin ^nn+++??+=robbin'
' ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Jim ^np++++=Jim,
, ^zz++++=EXTRAWORD
violatin ^nn+++??+=violatin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
fish ^nn++++=fish
law ^nn++++=law,
, ^zz++++=EXTRAWORD
destroyin ^nn+++??+=destroyin'
' ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
introducin ^nn+++??+=introducin'
' ^zz++++=EXTRAWORD
trout ^nns++++=trout
to ^in++++=to
sudden ^jj+atrb+++=sudden
death ^nn++++=death.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
hardly ^rb+down+++=hardly
an ^at++++=an
offense ^nn+++??+=offense
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
crowd ^nn++++=crowd
into ^in++++=into
one ^cd1++++=one
transaction ^nn+nom+++=transaction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
again ^rb+tm+++=again
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
prove ^vb+vprv+++=prove.
. ^zz++++=EXTRAWORD
Blacklock ^np++++=Blacklock's
's ^$++++=EXTRAWORD
customers ^nns+nom+++=customers
denied ^vbd+vpub++xvbn+=denied
buying ^vbg+++xvbg+=buying
fish ^nns++++=fish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
powder ^nn++++=powder
clerk ^nn++++=clerk
admitted ^vwbn+vpub++xvbn+=admitted
that ^tht+vcmp+++=that
dynamite ^nn++++=dynamite
was ^vbd+bedz+aux++=was
missing ^vbg+++xvbgx+=missing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
records ^vbz+vpub+++=records
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
kept ^vpsv++agls+xvbnx+=kept
on ^rb+phrv+++=on
loose ^jj+atrb+++=loose
scraps ^nns++++=scraps
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
to ^in++++=to
light ^nn++++=light
the ^ati++++=the
office ^nn++++=office
stove ^nn++++=stove.
. ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
Weaver ^np++++=Weaver
searched ^vbd+++xvbn+=searched
the ^ati++++=the
cabin ^nn++++=cabin
a ^at++++=a
second ^od++++=second
time ^nn++++=time
and ^cc++++=and
discovered ^vbd+vprv++xvbn+=discovered
nothing ^pn++++=nothing
except ^in++++=except
six ^cd++++=six
trout ^nns++++=trout
heads ^nns++++=heads
buried ^vwbn+++xvbn+=buried
behind ^in+pl+++=behind
the ^ati++++=the
woodpile ^nn+++??+=woodpile.
. ^zz++++=EXTRAWORD
" ^zz++++="'Coyotes,'
' ^zz++++=EXTRAWORD
coyotes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Blacklock ^np+++??+=Blacklock.
. ^zz++++=EXTRAWORD
" ^zz++++="'Coyotes
' ^zz++++=EXTRAWORD
coyotes ^vbz+++??+=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
generally ^rb+down+++=generally
bury ^vb++++=bury
heads ^nns++++=heads
in ^in++++=in
a ^at++++=a
straight ^jj+atrb+++=straight
line ^nn++++=line,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Dad ^nn++++=Dad.
. ^zz++++=EXTRAWORD
" ^zz++++="'Educated
' ^zz++++=EXTRAWORD
educated ^xvbn+++xvbn+=EXTRAWORD
coyotes ^nns+++??+=coyotes
might ^md+pos+++=might,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Cock ^nn++++=Cock-eye.
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
there ^rn+pl+++=there
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
was ^vbd+bedz+vrb++=was
guilty ^jj+pred+++=guilty
enough ^dt++++=enough
to ^in++++=to
poison ^nn++++=poison
the ^ati++++=the
air ^nn++++=air
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
technical ^jj++++=technical
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
pure ^jj++++=pure
as ^ql++++=as
snow ^np++++=snow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period
Prosperity ^nn+nom+++=Prosperity
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
dog ^nn++++=dog
named ^vbd+++xvbn+=named
Sloppy ^jj+atrb+++=Sloppy
Weather ^nn++++=Weather.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
who ^whp+wpr+whcl++=who
owned ^vbd+++xvbn+=owned
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
camp ^nn++++=camp
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
him ^pp3o+pp3+++=him
as ^ql++++=as
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
its ^pp$+it+++=its
name ^nn++++=name,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
marshal ^nn++++=marshal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
debts ^nns++++=debts
by ^in++++=by
gradual ^jj+atrb+++=gradual
acceptance ^nn+nom+++=acceptance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
yellow ^jj+pred+++=yellow,
, ^zz++++=EXTRAWORD
long ^jj++++=long-legged,
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow
in ^in++++=in
the ^ati++++=the
ribs ^nns++++=ribs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
decorated ^vpsv++agls+xvbn+=decorated
with ^in++++=with
patches ^nns++++=patches
of ^in++++=of
hair ^nn++++=hair
that ^tht+rel+subj++=that
pointed ^vbd+++xvbn+=pointed
in ^in++++=in
conflicting ^jj+atrb+++=conflicting
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tail ^nn++++=tail
curled ^vbd+++xvbn+=curled
upward ^jjb++++=upward,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
ears ^nns++++=ears
folded ^vbd+++xvbn+=folded
downward ^jjb++++=downward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
expression ^nn++++=expression
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
remembered ^vprf+++xvbnx+=remembered
a ^at++++=a
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^jjb+atrb+++=fool
pup ^nn++++=pup,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bunt ^np+++??+=Bunt,
, ^zz++++=EXTRAWORD
with ^in++++=with
affectionate ^jj+atrb+++=affectionate
gravity ^nn+nom+++=gravity.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+tht0++=mean
he ^pp3a+pp3+++=he
lacked ^vbd+++xvbnx+=lacked
sense ^nn++++=sense
complete ^jj++++=complete.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
sense ^nn++++=sense
enough ^dt++++=enough
for ^in++++=for
ordinary ^jj+atrb+++=ordinary
purposes ^nns++++=purposes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
bark ^nn++++=bark
at ^rb++++=at
a ^at++++=a
wagon ^nn++++=wagon
after ^cs+sub+++=after
it ^pp3+it+++=it
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
hide ^vb++++=hide
bones ^nns++++=bones
in ^in++++=in
the ^ati++++=the
blacksmith ^nn++++=blacksmith's
's ^$++++=EXTRAWORD
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
to ^to++++=to
sleep ^vbi++++=sleep
under ^in++++=under
horses ^nns++++=horses
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
introduced ^vpsv++agls+xvbnx+=introduced
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
Sloppy ^jj+atrb+++=Sloppy
Weather ^nn++++=Weather
because ^cs+cos+++=because
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
hisself ^nn+++??+=hisself
it ^pp3+it+++=it
rained ^vbd+++xvbn+=rained
in ^in++++=in
every ^at++++=every
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
dog ^nn++++=dog
had ^vb+hv+vrb++=had
one ^cd1++++=one
grand ^jj+atrb+++=grand
passion ^nn++++=passion:
: ^zz++++=EXTRAWORD
fetchin ^nn+++??+=fetchin'
' ^zz++++=EXTRAWORD
sticks ^nns++++=sticks.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
picked ^vbd+++xvbn+=picked
up ^rp++++=up
anything ^pn++++=anything
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
become ^vb++++=become
inspired ^vbd+++xvbn+=inspired.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
throw ^vb++++=throw
a ^at++++=a
broom ^nn++++=broom,
, ^zz++++=EXTRAWORD
a ^at++++=a
shovel ^nn++++=shovel
handle ^nn++++=handle,
, ^zz++++=EXTRAWORD
a ^at++++=a
table ^nn++++=table
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
a ^at++++=a
crutch ^nn++++=crutch,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
section ^nn+nom+++=section
of ^in++++=of
stovepipe ^nn+++??+=stovepipe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sloppy ^jj++++=Sloppy
would ^md+prd+++=would
chase ^vb++++=chase
it ^pp3+it+++=it
with ^in++++=with
religious ^jj+atrb+++=religious
devotion ^nn+nom+++=devotion.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
the ^ati++++=the
parson ^nn++++=parson
points ^nns++++=points
his ^pp$+pp3+++=his
arm ^nn++++=arm
toward ^in++++=toward
salvation ^nn+nom+++=salvation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sloppy ^jj+atrb+++=Sloppy
jumps ^nns++++=jumps
through ^in++++=through
the ^ati++++=the
church ^nn++++=church
window ^nn++++=window
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
for ^in++++=for
where ^wrb+who+++=where
it ^pp3+it+++=it
landed ^vbd+++xvbn+=landed.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
quit ^vb++++=quit,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
could ^md+pos+++=could
throw ^vb++++=throw
a ^at++++=a
stick ^nn++++=stick
for ^in++++=for
him ^pp3o+pp3+++=him
till ^in++++=till
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
wore ^vbd+++xvbn+=wore
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sloppy ^jj++++=Sloppy
would ^md+prd+++=would
stand ^vb++++=stand
there ^rn+pl+++=there
waggin ^nn+++??+=waggin',
', ^nn+++??+=EXTRAWORD
askin ^nn+++??+=askin'
' ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
full ^jj+atrb+++=full
extent ^nn++++=extent
of ^in++++=of
human ^jj+atrb+++=human
entertainment ^nn+nom+++=entertainment."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
disliked ^vbd+++xvbn+=disliked
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
