Vienna ^np++++=VIENNA,
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
respected ^vpsv++agls+xvbnx+=respected,
, ^zz++++=EXTRAWORD
esteemed ^xvbn+++xvbn+=esteemed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
liked ^vbd+++xvbn+=liked
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
stationed ^vpsv++agls+xvbnx+=stationed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
can ^md+pos+++=can
exercise ^vb++++=exercise
an ^at++++=an
influence ^nn+nom+++=influence
which ^whp+rel+subj++=which
can ^md+pos+++=can
extend ^vb++++=extend
our ^pp$+pp1+++=our
trade ^nn++++=trade
and ^cc++++=and
forward ^rb++++=forward
our ^pp$+pp1+++=our
prosperity ^nn+nom+++=prosperity.
. ^zz++++=EXTRAWORD
A ^at++++=A
considerable ^jj+atrb+++=considerable
number ^nn++++=number
of ^in++++=of
his ^pp$+pp3+++=his
business ^nns+nom+++=business
activities ^nns+nom+++=activities
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
field ^nn++++=field
in ^in++++=in
his ^pp$+pp3+++=his
social ^jj+atrb+++=social
relations ^nns+nom+++=relations;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clothes ^nns++++=clothes
which ^whp+rel+subj++=which
do ^vb+do+aux++=do
not ^xnot++not++=not
offend ^vb++++=offend
against ^in++++=against
local ^jj+atrb+++=local
manners ^nns+nom+++=manners
and ^cc++++=and
customers ^nns+nom+++=customers
and ^cc++++=and
prejudices ^nns++++=prejudices
are ^vb+ber+vrb++=are
a ^at++++=a
valuable ^jj+atrb+++=valuable
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
equipment ^nn+nom+++=equipment
in ^in++++=in
this ^dt+dem+++=this
matter ^nn++++=matter--would
-- ^--+clp+++=EXTRAWORD
would ^md+prd+++=EXTRAWORD
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
Franklin ^np++++=Franklin
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
done ^vbd+++xvbn+=done
with ^in++++=with
gratis ^nns+++??+=gratis
suggestions ^nns+nom+++=suggestions
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
made ^vbd+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
valuable ^jj+atrb+++=valuable
advance ^nn+nom+++=advance
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
instituted ^vbd+++xvbn+=instituted
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
ambassador ^nn++++=ambassador.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
lofty ^np++++=lofty
rank ^nn++++=rank
endows ^nns+++??+=endows
its ^pp$+it+++=its
possessor ^nn++++=possessor
with ^in++++=with
several ^ap++++=several
times ^nns++++=times
as ^ql++++=as
much ^ap++++=much
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
effectiveness ^nns+nom+++=effectiveness
as ^in++++=as
the ^ati++++=the
rank ^nn++++=rank
of ^in++++=of
minister ^nn+nom+++=minister
bestows ^vbz++++=bestows.
. ^zz++++=EXTRAWORD
For ^in+cmpx+++=For
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
country ^nn++++=country's
's ^$++++=EXTRAWORD
dignity ^nn+nom+++=dignity
and ^cc++++=and
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
her ^pp$+pp3+++=her
advantage ^nn+nom+++=advantage
commercially ^rb+cnj+++=commercially,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
have ^vb+hv+vrb++=have
ambassadors ^nns++++=ambassadors,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
great ^jj+atrb+++=great
courts ^nns++++=courts
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
not ^xnot++not++=not
at ^rb++++=at
present ^vb++++=present
salaries ^nns++++=salaries!
! ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
maintain ^vbi+vpub+++=maintain
present ^vb++++=present
salaries ^nns++++=salaries,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
make ^vb++++=make
no ^at++++=no
more ^rbr++++=more
ambassadors ^nns++++=ambassadors;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
unmake ^nn+++??+=unmake
those ^dt+dem+++=those
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
already ^rb++splt++=already
made ^vprf+++xvbnx+=made.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
means ^nn++++=means
of ^in++++=of
respectably ^rb++++=respectably
maintaining ^vbg+++xvbg+=maintaining
it ^pp3+it+++=it--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
wisdom ^nn++++=wisdom
in ^cs+sub+++=in
that ^cs"++++=that.
. ^zz++++=EXTRAWORD
A ^at++++=A
foreign ^jj+atrb+++=foreign
representative ^nn++++=representative,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
valuable ^jj+pred+++=valuable
to ^in++++=to
his ^pp$+pp3+++=his
country ^nn++++=country,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
on ^in++++=on
good ^jj+atrb+++=good
terms ^nns++++=terms
with ^in++++=with
the ^ati++++=the
officials ^nns+nom+++=officials
of ^in++++=of
the ^ati++++=the
capital ^nn++++=capital
and ^cc++++=and
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
influential ^jj++++=influential
folk ^jjb++++=folk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
mingle ^vb+++??+=mingle
with ^in++++=with
this ^dt+dem+++=this
society ^nn++++=society;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
sit ^vb++++=sit
at ^in++++=at
home ^nr++++=home--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
butters ^nns+nom+++=butters
no ^at++++=no
commercial ^jj+atrb+++=commercial
parsnips ^nns+++??+=parsnips.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
attend ^vb++++=attend
the ^ati++++=the
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
banquets ^nns++++=banquets,
, ^zz++++=EXTRAWORD
suppers ^nns+nom+++=suppers,
, ^zz++++=EXTRAWORD
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
receptions ^nns+nom+++=receptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
return ^vb++++=return
these ^dt+dem+++=these
hospitalities ^nns+nom+++=hospitalities.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
should ^md+nec+++=should
return ^vb++++=return
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
he ^pp3a+pp3+++=he
gets ^vbz++++=gets,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
Business ^nns+nom+++=Business.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
we ^pp1a+pp1+++=we
ever ^rb++++=ever
had ^vb+hv+vrb++=had
a ^at++++=a
minister ^nn+nom+++=minister
or ^cc++++=or
an ^at++++=an
ambassador ^nn++++=ambassador
who ^whp+rel+subj++=who
could ^md+pos+++=could
do ^vb+do+vrb++=do
this ^dt+dem+++=this
on ^in++++=on
his ^pp$+pp3+++=his
salary ^nn++++=salary?
? ^zz++++=EXTRAWORD
No ^at++++=No--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
from ^in++++=from
Franklin ^np++++=Franklin's
's ^$++++=EXTRAWORD
time ^nn++++=time
to ^in++++=to
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
countries ^nns++++=countries
understand ^vb+vprv+++=understand
the ^ati++++=the
commercial ^jj+atrb+++=commercial
value ^nn++++=value
of ^in++++=of
properly ^rb++++=properly
lining ^vbg+++xvbg+=lining
the ^ati++++=the
pockets ^nns++++=pockets
of ^in++++=of
their ^pp$+pp3+++=their
representatives ^nns++++=representatives;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
apparently ^rb++++=apparently
our ^pp$+pp1+++=our
Government ^nn+nom+++=Government
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
learned ^vprf+++xvbn+=learned
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
England ^np++++=England
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
successful ^jj+atrb+++=successful
trader ^nn++++=trader
of ^in++++=of
the ^ati++++=the
several ^ap++++=several
trading ^jj+atrb++xvbg+=trading
nations ^nns+nom+++=nations;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
takes ^vbz++++=takes
good ^jj+atrb+++=good
care ^nn++++=care
of ^in++++=of
the ^ati++++=the
watchmen ^jj+++xvbn+=watchmen
who ^whp+who+++=who
keep ^vb++++=keep
guard ^nn++++=guard
in ^in++++=in
her ^pp$+pp3+++=her
commercial ^jj+atrb+++=commercial
towers ^nns++++=towers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
we ^pp1a+pp1+++=we
needed ^vbd+++xvbn+=needed
to ^to+vcmp+++=to
blush ^vbi++++=blush
for ^in++++=for
our ^pp$+pp1+++=our
representatives ^nns++++=representatives
abroad ^rb+pl+++=abroad.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
custom ^nn++++=custom
to ^to++++=to
send ^vbi++++=send
our ^pp$+pp1+++=our
fittest ^jjt++++=fittest.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
send ^vb++++=send
men ^nns++++=men
of ^in++++=of
distinction ^nn+nom+++=distinction,
, ^zz++++=EXTRAWORD
cultivation ^nn+nom+++=cultivation,
, ^zz++++=EXTRAWORD
character ^nn+nom+++=character--our
-- ^--+clp+++=EXTRAWORD
our ^pp$+pp1+++=EXTRAWORD
ablest ^jjt++++=ablest,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
choicest ^jjt++++=choicest,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
best ^jjt++++=best.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
cripple ^nn++++=cripple
their ^pp$+pp3+++=their
efficiency ^nn++++=efficiency
through ^in++++=through
the ^ati++++=the
meagreness ^nns+nom+++=meagreness
of ^in++++=of
their ^pp$+pp3+++=their
pay ^nn++++=pay.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
a ^at++++=a
list ^nn++++=list
of ^in++++=of
salaries ^nns++++=salaries
for ^in++++=for
English ^nn++++=English
and ^cc++++=and
American ^jj+atrb+++=American
ministers ^nns+nom+++=ministers
and ^cc++++=and
ambassadors ^nns++++=ambassadors:
: ^zz++++=EXTRAWORD
City ^nn++++=City
Salaries ^nns++++=Salaries
American ^jj+atrb+++=American
English ^jj+atrb+++=English
Paris ^np++++=Paris
$ ^zz++++=$17,500
17,500 ^cd++++=EXTRAWORD
$ ^zz++++=$45,000
45,000 ^cd++++=EXTRAWORD
Berlin ^np++++=Berlin
17,500 ^cd++++=17,500
40,000 ^cd++++=40,000
Vienna ^np++++=Vienna
12,000 ^cd++++=12,000
40,000 ^cd++++=40,000
Constantinople ^np++++=Constantinople
10,000 ^cd++++=10,000
40,000 ^cd++++=40,000
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Petersburg ^np++++=Petersburg
17,500 ^cd++++=17,500
39,000 ^cd++++=39,000
Rome ^np++++=Rome
12,000 ^cd++++=12,000
35,000 ^cd++++=35,000
Washington ^np++++=Washington
- ^zz++++=-32,500
32,500 ^cd++++=EXTRAWORD
Sir ^npt++++=Sir
Julian ^np++++=Julian
Pauncefote ^np+++??+=Pauncefote,
, ^zz++++=EXTRAWORD
the ^ati++++=the
English ^jj+atrb+++=English
ambassador ^nn++++=ambassador
at ^rb++++=at
Washington ^np++++=Washington,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
very ^ql+amp+++=very
fine ^jj+atrb+++=fine
house ^nn++++=house
besides ^in+strn+++=besides--at
-- ^--+clp+++=EXTRAWORD
at ^rb++++=EXTRAWORD
no ^at++++=no
damage ^nn++++=damage
to ^in++++=to
his ^pp$+pp3+++=his
salary ^nn++++=salary.
. ^zz++++=EXTRAWORD
English ^jj+atrb+++=English
ambassadors ^npt++++=ambassadors
pay ^nn++++=pay
no ^at++++=no
house ^npl++++=house
rent ^nn++++=rent;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
live ^vb++++=live
in ^in++++=in
palaces ^npl++++=palaces
owned ^vwbn+++xvbn+=owned
by ^in++++=by
England ^np++++=England.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
representatives ^nns++++=representatives
pay ^nn++++=pay
house ^nn++++=house-rent
- ^zz++++=EXTRAWORD
rent ^nn++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
salaries ^nns++++=salaries.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
judge ^vb++++=judge
by ^in++++=by
the ^ati++++=the
above ^jjb+atrb+++=above
figures ^nns++++=figures
what ^wdt+who+++=what
kind ^rb++++=kind
of ^rb"++++=of
houses ^nns++++=houses
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
America ^np++++=America
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
used ^md"++pmd"++=used
to ^to++++=to
living ^vb+++xvbg+=living
in ^in++++=in
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
sort ^nn++++=sort
of ^in++++=of
return ^nn++++=return-entertaining
- ^zz++++=EXTRAWORD
entertaining ^jj+++xvbg+=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
salary ^nn++++=salary
in ^in++++=in
our ^pp$+pp1+++=our
list ^nn++++=list
which ^whp+rel+subj++=which
would ^md+prd+++=would
properly ^rb++++=properly
house ^nn++++=house
the ^ati++++=the
representative ^nn++++=representative
receiving ^vwbg+++xvbg+=receiving
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
pay ^vb++++=pay
$ ^zz++++=$3,000
3,000 ^cd++++=EXTRAWORD
toward ^in++++=toward
his ^pp$+pp3+++=his
family ^nn++++=family's
's ^$++++=EXTRAWORD
bacon ^nn++++=bacon
and ^cc++++=and
doughnuts ^nns+++??+=doughnuts--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
strange ^jj++++=strange
but ^cc+phrs+++=but
economical ^jj+atrb+++=economical
and ^cc+phrs+++=and
customary ^jj+atrb+++=customary
fare ^nn++++=fare
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
ambassador ^nn++++=ambassador's
's ^$++++=EXTRAWORD
household ^nn++++=household,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
on ^in++++=on
Sundays ^nrs++++=Sundays,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
petrified ^jj+atrb+++=petrified
Boston ^np++++=Boston
crackers ^nns+nom+++=crackers
are ^vb+ber+aux++=are
added ^vpsv++agls+xvbnx+=added.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ambassadors ^nns++++=ambassadors
and ^cc++++=and
ministers ^nns+nom+++=ministers
of ^in++++=of
foreign ^jj+atrb+++=foreign
nations ^nns+nom+++=nations
not ^xnot++not++=not
only ^rb+down+++=only
have ^vb+hv+vrb++=have
generous ^jj+atrb+++=generous
salaries ^nns++++=salaries,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
Governments ^nns+nom+++=Governments
provide ^vb+vsua+++=provide
them ^pp3o+pp3+++=them
with ^in++++=with
money ^nn++++=money
wherewith ^nn+++??+=wherewith
to ^to++++=to
pay ^vbi++++=pay
a ^at++++=a
considerable ^jj+atrb+++=considerable
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
hospitality ^nn+nom+++=hospitality
bills ^nns++++=bills.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
our ^pp$+pp1+++=our
Government ^nn+nom+++=Government
pays ^vbz++++=pays
no ^at++++=no
hospitality ^nn+nom+++=hospitality
bills ^nns++++=bills
except ^in++++=except
those ^dt+dem+++=those
incurred ^vpsv++by+xvbn+=incurred
by ^in++++=by
the ^ati++++=the
navy ^nn++++=navy.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
this ^dt+dem+++=this
concession ^nn++++=concession
to ^in++++=to
the ^ati++++=the
navy ^nn++++=navy,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
arm ^nn++++=arm
is ^vbz+bez+vrb++=is
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do
us ^pp1o+pp1+++=us
credit ^nn++++=credit
in ^in++++=in
foreign ^jj+atrb+++=foreign
parts ^nns++++=parts;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certainly ^rb++++=certainly
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
well ^rb++++=well
and ^cc++++=and
politic ^jj++++=politic.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+++=why
the ^ati++++=the
Government ^nn+nom+++=Government
does ^vbz+doz+aux++=does
not ^xnot++not++=not
think ^vb+vprv+++=think
it ^pp3+it+++=it
well ^rb++++=well
and ^cc++++=and
politic ^jj++++=politic
that ^cs+sub+++=that
our ^pp$+pp1+++=our
diplomats ^nns+++??+=diplomats
should ^md+nec+++=should
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do
us ^pp1o+pp1+++=us
like ^in++++=like
credit ^nn++++=credit
abroad ^rb+pl+++=abroad
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
mysterious ^jj+atrb+++=mysterious
inconsistencies ^nns++++=inconsistencies
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
puzzling ^nvbg+++xvbg+=puzzling
me ^pp1o+pp1+++=me
ever ^rb++++=ever
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
baseball ^nn++++=baseball
and ^cc++++=and
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
statesmanship ^nn+nom+++=statesmanship
as ^in++++=as
a ^at++++=a
pastime ^nn++++=pastime.
. ^zz++++=EXTRAWORD
To ^to++++=To
return ^vbi++++=return
to ^in++++=to
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
house ^nn++++=house-rent.
- ^zz++++=EXTRAWORD
rent ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
properly ^rb++++=properly
furnished ^jj+++xvbn+=furnished,
, ^zz++++=EXTRAWORD
in ^in++++=in
European ^jj+atrb+++=European
capitals ^nns+nom+++=capitals,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
had ^vb+hv+vrb++=had
at ^rb++++=at
small ^jj+atrb+++=small
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
foreign ^jj+atrb+++=foreign
representatives ^nns++++=representatives
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
garrets ^nns+++??+=garrets
-- ^--+clp+++=--sometimes
sometimes ^rb++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
poor ^jj+atrb+++=poor
men ^nns++++=men,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
best ^jjt++++=best
they ^pp3a+pp3+++=they
could ^md+pos+++=could
do ^vb+do+vrb++=do
on ^in++++=on
the ^ati++++=the
salary ^nn++++=salary
which ^whp+rel+obj++=which
the ^ati++++=the
Government ^nn+nom+++=Government
has ^vbz+hvz+aux++=has
paid ^vprf+++xvbnx+=paid
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
they ^pp3a+pp3+++=they
adequately ^rb++++=adequately
return ^vb++++=return
the ^ati++++=the
hospitalities ^nns+nom+++=hospitalities
shown ^vbd+vprv++xvbn+=shown
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
have ^vb+hv+aux++=have
exhausted ^vprf+++xvbnx+=exhausted
the ^ati++++=the
salary ^nn++++=salary
in ^in++++=in
three ^cd++++=three
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
official ^jj+atrb+++=official
duty ^nn++++=duty
to ^to+ncmp+++=to
entertain ^vbi++++=entertain
their ^pp$+pp3+++=their
influentials ^nns+nom+++=influentials
after ^in++++=after
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
fashion ^nn++++=fashion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
the ^ati++++=the
best ^jjt++++=best
they ^pp3a+pp3+++=they
could ^md+pos+++=could
with ^in++++=with
their ^pp$+pp3+++=their
limited ^jj+atrb++xvbn+=limited
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
In ^in++++=In
return ^in"++++=return
for ^in"++++=for
champagne ^nn++++=champagne
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
lemonade ^nn++++=lemonade;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
game ^nn++++=game
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
ham ^np++++=ham;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
whale ^nn++++=whale
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
sardines ^nns+++??+=sardines;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
liquors ^nns++++=liquors
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
condensed ^vbd+++xvbn+=condensed
milk ^nn++++=milk;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
the ^ati++++=the
battalion ^nn++++=battalion
of ^in++++=of
liveried ^jj+atrb++xvbn+=liveried
and ^cc+phrs+++=and
powdered ^jj+atrb++xvbn+=powdered
flunkeys ^nns+++??+=flunkeys
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
girl ^nn++++=girl;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
the ^ati++++=the
fairy ^nn++++=fairy
wilderness ^nns+nom+++=wilderness
of ^in++++=of
sumptuous ^jj+atrb+++=sumptuous
decorations ^nns+nom+++=decorations
they ^pp3a+pp3+++=they
draped ^jj++++=draped
the ^ati++++=the
stove ^nn++++=stove
with ^in++++=with
the ^ati++++=the
American ^jj+atrb+++=American
flag ^nn++++=flag;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
the ^ati++++=the
orchestra ^nn++++=orchestra
they ^pp3a+pp3+++=they
furnished ^vbd+++xvbnx+=furnished
zither ^jjr++++=zither
and ^cc++++=and
ballads ^nns++++=ballads
by ^in++++=by
the ^ati++++=the
family ^nn++++=family;
; ^zz++++=EXTRAWORD
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
the ^ati++++=the
ball ^nn++++=ball--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
return ^vb++++=return
the ^ati++++=the
ball ^nn++++=ball,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
cases ^nns++++=cases
where ^wrb+who+++=where
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
lived ^vbd+++xvbn+=lived
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof
and ^cc++++=and
had ^vb+hv+vrb++=had
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
