He ^pp3a+pp3+++=He
boat ^nn++++=boat-hook,
- ^zz++++=EXTRAWORD
hook ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
three ^cd++++=three
other ^ap++++=other
men ^nns++++=men
in ^in++++=in
boating ^xvbg+++xvbg+=boating
costume ^nn++++=costume,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
clumsily ^rb++++=clumsily
with ^in++++=with
oars ^nns+++??+=oars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
grey ^np++++=grey
hat ^nn++++=hat
and ^cc++++=and
red ^jj+atrb+++=red
belt ^nn++++=belt
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
After ^in++++=After
an ^at++++=an
interval ^nn+nom+++=interval
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
with ^in++++=with
the ^ati++++=the
gun ^nn++++=gun
reappeared ^vbd+seem++xvbn+=reappeared,
, ^zz++++=EXTRAWORD
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
near ^in+pl+++=near
the ^ati++++=the
river ^nn++++=river
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
emerged ^vbd+++xvbnx+=emerged
upon ^in++++=upon
the ^ati++++=the
towing ^jj+++xvbg+=towing-path,
- ^zz++++=EXTRAWORD
path ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurried ^vpsv++agls+xvbn+=hurried
after ^in++++=after
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
The ^ati++++=The
opposite ^rb++++=opposite
bank ^npl++++=bank
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
blank ^jj++++=blank
and ^cc+phrs+++=and
desolate ^jj++++=desolate
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sick ^jj++++=sick-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
disgraced ^vpsv++by+xvbnx+=disgraced
by ^in++++=by
more ^rbr++++=more
profanity ^nn+nom+++=profanity.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
give ^vb++++=give
my ^pp$+pp1+++=my
life ^nn++++=life
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
indistinct ^nn+++??+=indistinct
shouts ^vbz++++=shouts
up ^rp++++=up
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
coming ^vbg+++xvbgx+=coming
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
disappointed ^vbd+++xvbnx+=disappointed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
sat ^vbd+++xvbn+=sat
and ^cc+phrs+++=and
grumbled ^vbd+++xvbn+=grumbled.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
grumbling ^nvbg+++xvbg+=grumbling
when ^wrb+who+++=when
his ^pp$+pp3+++=his
eye ^nn++++=eye
caught ^vbd+++xvbn+=caught
something ^pn++++=something
black ^jj++++=black
and ^cc++++=and
round ^nn++++=round
among ^in++++=among
the ^ati++++=the
waves ^nns++++=waves.
. ^zz++++=EXTRAWORD
" ^zz++++="Hullo!"
hullo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
narrowly ^rb++++=narrowly
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
two ^cd++++=two
triangular ^jj+atrb+++=triangular
black ^jj+atrb+++=black
bodies ^nns++++=bodies
frothing ^vwbg+++xvbg+=frothing
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
about ^in++++=about
a ^at++++=a
yard ^nn++++=yard
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
doubtful ^jj+pred+++=doubtful
when ^wrb+who+++=when
the ^ati++++=the
little ^jj+atrb+++=little
band ^nn++++=band
of ^in++++=of
pursuers ^nns+nom+++=pursuers
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
sight ^nn++++=sight
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
point ^vbi++++=point
to ^in++++=to
this ^dt+dem+++=this
floating ^jj+atrb++xvbg+=floating
object ^nn++++=object.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
eagerly ^rb++++=eagerly.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
gun ^nn++++=gun
took ^vbd+++xvbn+=took
aim ^nn++++=aim.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
swimming ^vbg+++xvbgx+=swimming
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
by ^in++++=by
George ^np++++=George!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Malay ^nn++++=Malay
looked ^vbd+++xvbn+=looked
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
the ^ati++++=the
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
under ^in+strn+++=under.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
up ^rp++++=up
so ^ql++++=so
close ^in+cmpx+++=close
to ^in++++=to
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
that ^tht+rel+++=that
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
bars ^nns++++=bars
of ^in++++=of
the ^ati++++=the
balcony ^nn++++=balcony
hid ^vbd+++xvbn+=hid
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
emerged ^vbd+++xvbnx+=emerged
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
gun ^nn++++=gun
fired ^vbd+++xvbn+=fired.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Malay ^nn++++=Malay
kept ^vbd+++xvbn+=kept
steadily ^rb++++=steadily
onward ^jjb++++=onward
Bailey ^np++++=Bailey
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
wet ^jj+atrb+++=wet
hair ^nn++++=hair
on ^in++++=on
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
now ^rn+tm+++=now
and ^cc++++=and
the ^ati++++=the
krees ^nn++++=krees
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
was ^vbd+bedz+aux++=was
presently ^rb+tm+splt++=presently
hidden ^vpsv++by+xvbnx+=hidden
by ^in++++=by
the ^ati++++=the
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
Bailey ^vbi++++=Bailey
an ^at++++=an
unendurable ^jj++++=unendurable
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost
to ^in++++=to
him ^pp3o+pp3+++=him
for ^rb++++=for
ever ^rb"++++=ever
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
brute ^jjb++++=brute
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
himself ^ppl+pp3+++=himself
decently ^rb++++=decently
caught ^vbd+++xvbn+=caught
on ^in++++=on
the ^ati++++=the
opposite ^rb++++=opposite
bank ^npl++++=bank,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shot ^vpsv++agls+xvbn+=shot
in ^in++++=in
the ^ati++++=the
water ^nn++++=water?
? ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
worse ^jjr++++=worse
than ^in++++=than
Edwin ^np++++=Edwin
Drood ^np+++??+=Drood,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
things ^nns++++=things
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
an ^at++++=an
absolute ^jj++++=absolute
blank ^jj++++=blank.
. ^zz++++=EXTRAWORD
All ^abn++++=All
seven ^cd++++=seven
men ^nns++++=men
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
stream ^nn++++=stream
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
boat ^nn++++=boat
and ^cc++++=and
follow ^vb+vprv+++=follow
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
listened ^vbd+++xvbn+=listened
and ^cc+phrs+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="Surely
surely ^rb++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
over ^in++++=over
like ^in++++=like
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
minutes ^nns++++=minutes
passed ^vbd+++xvbn+=passed
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
tug ^nn++++=tug
with ^in++++=with
two ^cd++++=two
barges ^nns++++=barges
went ^vbd+++xvbn+=went
up ^rp++++=up
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
The ^ati++++=The
attitudes ^nns++++=attitudes
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
upon ^in++++=upon
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
the ^ati++++=the
attitudes ^nns++++=attitudes
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
see ^vb+vprv+++=see
nothing ^pn++++=nothing
remarkable ^jj++++=remarkable
in ^in++++=in
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
water ^nn++++=water,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Clearly ^rb++++=Clearly
the ^ati++++=the
whole ^jj+atrb+++=whole
affair ^nn++++=affair
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
the ^ati++++=the
hunt ^np++++=hunt
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
the ^ati++++=the
beech ^np++++=beech
woods ^nns++++=woods
behind ^in+pl+++=behind
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
" ^zz++++="Confound
confound ^vb++++=EXTRAWORD
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
be ^vbi+vbi+aux++=be
continued ^vpsv++agls+xvbnx+=continued
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
chance ^nn++++=chance
this ^dt+dem+++=this
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
sequel ^nn++++=sequel.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
hard ^jj+pred+++=hard
on ^in++++=on
a ^at++++=a
sick ^jj+atrb+++=sick
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
step ^nn++++=step
on ^in++++=on
the ^ati++++=the
staircase ^nn++++=staircase
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
looking ^vbg+++xvbg+=looking
round ^rb++++=round
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
door ^nn++++=door
open ^nn++++=open.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green
came ^vbd+++xvbn+=came
in ^in++++=in
and ^cc++++=and
sat ^vbd+++xvbn+=sat
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
panting ^vbg+++xvbg+=panting.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
still ^rb++++=still
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
bonnet ^nn++++=bonnet
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
purse ^nn++++=purse
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
little ^ap++++=little
brown ^jj+atrb+++=brown
basket ^nn++++=basket
upon ^in++++=upon
her ^pp$+pp3+++=her
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^jj+++xvbn+=left
Bailey ^np++++=Bailey
to ^to++++=to
imagine ^vbi+vprv+++=imagine
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
whisky ^nn++++=whisky
and ^cc++++=and
water ^nn++++=water,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
Sipping ^vbg+++xvbg+=Sipping
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
began ^vbd+++xvbn+=began
to ^to++++=to
recover ^vbi++++=recover
her ^pp$+pp3+++=her
powers ^nns++++=powers
of ^in++++=of
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
those ^dt+dem+++=those
black ^jj+atrb+++=black
creatures ^nns++++=creatures
at ^in++++=at
the ^ati++++=the
Fitzgibbon ^np++++=Fitzgibbon's
's ^$++++=EXTRAWORD
'd ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
mad ^jj++++=mad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
about ^in++++=about
with ^in++++=with
a ^at++++=a
big ^jj+atrb+++=big
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
stabbing ^nn++++=stabbing
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
a ^at++++=a
groom ^nn++++=groom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stabbed ^xvbn+++xvbn+=stabbed
the ^ati++++=the
under ^in++++=under-butler,
- ^zz++++=EXTRAWORD
butler ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
cut ^vb+++xvbn+=cut
the ^ati++++=the
arm ^nn++++=arm
off ^in+pl+++=off
a ^at++++=a
boating ^jj+atrb++xvbg+=boating
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
" ^zz++++="Running
running ^jj+atrb++xvbg+=EXTRAWORD
amuck ^nn+++??+=amuck
with ^in++++=with
a ^at++++=a
krees ^nn++++=krees,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
hiding ^vbg+++xvbgx+=hiding
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
through ^in++++=through
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
" ^zz++++="What!
what ^wdt+who+++=EXTRAWORD
! ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
he ^pp3a+pp3+++=he
run ^vbd+++xvbnx+=run
after ^in++++=after
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
certain ^jj+atrb+++=certain
touch ^nn++++=touch
of ^in++++=of
glee ^nn++++=glee
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
horrible ^jj+atrb+++=horrible
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
right ^jj++++=right
through ^in++++=through
the ^ati++++=the
woods ^nns++++=woods
and ^cc++++=and
had ^vb+hv+aux++=had
never ^rb++splt++=never
known ^vprf+++xvbnx+=known
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
young ^jj+atrb+++=young
Mr ^npt++++=Mr
Fitzgibbon ^np++++=Fitzgibbon
carrying ^vwbg+++xvbg+=carrying
his ^pp$+pp3+++=his
gun ^nn++++=gun
in ^in++++=in
the ^ati++++=the
shrubbery ^nn+nom+++=shrubbery
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
heard ^vbd+vprv+tht0+xvbnx+=heard
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Apparently ^rb+cnj+++=Apparently,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
upset ^xvbn+++xvbn+=upset
Mrs ^npt++++=Mrs
Green ^np++++=Green
was ^vbd+bedz+vrb++=was
the ^ati++++=the
lost ^jj+atrb++xvbn+=lost
opportunity ^nn+nom+++=opportunity
for ^in++++=for
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
most ^ap+emph+++=most
of ^in++++=of
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
think ^vbi+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
over ^in++++=over
and ^cc++++=and
over ^in++++=over
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
endured ^vwbn+++xvbn+=endured
this ^dt+dem+++=this
patiently ^rb++++=patiently
enough ^dt++++=enough
for ^in++++=for
perhaps ^rb++++=perhaps
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
advisable ^vb++++=advisable
to ^to+vcmp+++=to
assert ^vbi+vpub+tht0++=assert
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
twenty ^cd++++=twenty
past ^jjb+atrb+++=past
one ^pn++++=one,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
it ^pp3+it+++=it
time ^nn++++=time
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
me ^pp1o+pp1+++=me
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
brought ^xvbn+++xvbn+=brought
Mrs ^npt++++=Mrs
Green ^np++++=Green
suddenly ^rb++++=suddenly
to ^in++++=to
her ^pp$+pp3+++=her
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
making ^jj+++xvbg+=making
me ^pp1o+pp1+++=me
go ^vb++++=go
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
room ^nn++++=room,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
caught ^vpsv++agls+xvbnx+=caught.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
into ^in+ppvb+++=into
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
might ^md+pos+++=might
be ^vb+be+aux++=be
creeping ^vbg+++xvbgx+=creeping,
, ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=creeping,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
knife ^nn++++=knife
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
passage ^nn+nom+++=passage
this ^dt+dem+++=this
very ^ql+amp+++=very
" ^zz++++="
She ^pp3a+pp3+++=She
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off
suddenly ^rb++++=suddenly
and ^cc++++=and
glared ^vbd+++xvbn+=glared
over ^rp++++=over
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lower ^jjr+atrb+++=lower
jaw ^nn++++=jaw
dropped ^vbd+++xvbn+=dropped.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
head ^jjb++++=head
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
space ^nn++++=space
of ^in++++=of
half ^nn++++=half
a ^at++++=a
second ^od++++=second
things ^nns++++=things
seemed ^vbd+seem++xvbn+=seemed
just ^rb+emph+++=just
as ^ql++++=as
they ^pp3a+pp3+++=they
