It ^pp3+it+++=It's
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
a ^at++++=a
commincement ^nn+nom+++=commincement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be
too ^ql++++=too
rough ^np++++=rough
wid ^in++++=wid
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship?
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
och ^uh++++=och,
, ^zz++++=EXTRAWORD
botheration ^nn+nom+++=botheration,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
gentaalest ^jjt++++=gentaalest
and ^cc+phrs+++=and
dilikittest ^jjt++++=dilikittest
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
little ^ap++++=little
squazes ^nns+++??+=squazes
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
in ^rb+phrv+++=in
return ^nn++++=return?
? ^zz++++=EXTRAWORD
" ^zz++++="Blood
blood ^nn++++=EXTRAWORD
and ^cc++++=and
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I
to ^in++++=to
mesilf ^nn+++??+=mesilf,
, ^zz++++=EXTRAWORD
" ^zz++++="fait
fait ^&fw++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
jist ^nn++++=jist
the ^ati++++=the
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
else ^rb+cnj+++=else
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
handsomest ^jjt++++=handsomest
and ^cc++++=and
the ^ati++++=the
fortunittest ^jjt+atrb+++=fortunittest
young ^jj+atrb+++=young
bog ^nn++++=bog-throtter
- ^zz++++=EXTRAWORD
throtter ^jjr++++=EXTRAWORD
that ^cs+sub+++=that
ever ^rb++++=ever
cum ^&fw++++=cum'd
'd ^md+prd+vrb++0=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
Connaught ^np+++??+=Connaught!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
with ^in++++=with
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
givd ^nn+++??+=givd
the ^ati++++=the
flipper ^jjr++++=flipper
a ^at++++=a
big ^jj+atrb+++=big
squaze ^nn+++??+=squaze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
big ^jj+atrb+++=big
squaze ^nn+++??+=squaze
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
powers ^nns++++=powers,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
leddyship ^nn+nom+++=leddyship
giv ^nn+++??+=giv'd
'd ^md+prd+vrb++0=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
would ^md+prd+++=would
ha ^uh++++=ha
split ^vbd+++xvbn+=split
the ^ati++++=the
seven ^cd++++=seven
sides ^nns++++=sides
of ^in++++=of
you ^pp2+pp2+++=you
wid ^in++++=wid
the ^ati++++=the
laffin ^nn+++??+=laffin'
' ^zz++++=EXTRAWORD
to ^in++++=to
behould ^nn+++??+=behould,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
then ^rn+tm+++=then
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
the ^ati++++=the
consated ^jj+atrb++xvbn+=consated
behavior ^nn++++=behavior
of ^in++++=of
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns.
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
likes ^nns++++=likes
of ^in++++0=o'
sich ^&fw++++=sich
a ^at++++=a
jabbering ^nvbg+++xvbg+=jabbering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
smirking ^nvbg+++xvbg+=smirking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
parley ^nn+++??+=parley-wouing
- ^zz++++=EXTRAWORD
wouing ^jj+++xvbg+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
begin ^vb++++=begin'd
'd ^md+prd+vrb++0=EXTRAWORD
wid ^in++++=wid
her ^pp$+pp3+++=her
leddyship ^nn+nom+++=leddyship,
, ^zz++++=EXTRAWORD
niver ^jjr++++=niver
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
before ^in++++=before
upon ^in++++=upon
arth ^nn+++??+=arth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
divil ^nn+++??+=divil
may ^md+pos+++=may
burn ^vb++++=burn
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
me ^pp1o+pp1+++=me
own ^ap++++=own
very ^ql+amp+++=very
two ^cd++++=two
peepers ^nns+nom+++=peepers
that ^tht+rel+++=that
cotch ^nn+++??+=cotch'd
'd ^md+prd+vrb++0=EXTRAWORD
him ^pp3o+pp3+++=him
tipping ^nn++++=tipping
her ^pp3o+pp3+++=her
the ^ati++++=the
wink ^nn++++=wink
out ^rp+pl+++=out
of ^in++++=of
one ^cd1++++=one
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Och ^uh++++=Och,
, ^zz++++=EXTRAWORD
hon ^npt++++=hon!
! ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
mesilf ^jj+++??+=mesilf
thin ^jj++++=thin
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
mad ^jj+pred+++=mad
as ^in++++=as
a ^at++++=a
Kilkenny ^np+++??+=Kilkenny
cat ^nn++++=cat
I ^pp1a+pp1+++=I
shud ^nn+++??+=shud
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi++vrb++=be
tould ^nn+++??+=tould
who ^whp+rel+obj++=who
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
infarm ^nn+++??+=infarm
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mounseer ^np+nom++??+=Mounseer
Maiter ^np+++??+=Maiter-di-dauns,"
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
as ^in++++=as
purlite ^nn++++=purlite
as ^in++++=as
iver ^jjr++++=iver
ye ^pp2+pp2+++=ye
seed ^nn++++=seed,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
gintaal ^jj+atrb+++=gintaal
thing ^nn++++=thing
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
likes ^nns++++=likes
of ^in++++0=o'
you ^pp2+pp2+++=you
inny ^nn+++??+=inny
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
afther ^jjr+pred+++=afther
the ^ati++++=the
oggling ^nn+nom+++=oggling
and ^cc++++=and
a ^at++++=a
goggling ^nn+nom+++=goggling
at ^rb++++=at
her ^pp3o+pp3+++=her
leddyship ^nn+nom+++=leddyship
in ^cs+sub+++=in
that ^cs"++++=that
fashion ^nn++++=fashion,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
jist ^nn++++=jist
wid ^in++++=wid
that ^dt+dem+++=that
such ^abl++++=such
another ^dt++++=another
squaze ^nn+++??+=squaze
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
giv ^nn+++??+=giv'd
'd ^md+prd+vrb++0=EXTRAWORD
her ^pp$+pp3+++=her
flipper ^jjr++++=flipper,
, ^zz++++=EXTRAWORD
all ^abn++++=all
as ^ql++++=as
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
jewel ^nn++++=jewel,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to
the ^ati++++=the
proticting ^jj+++xvbg+=proticting
of ^in++++0=o'
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
darlint ^jj+++xvbn+=darlint?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
there ^rn+pl+++=there
cum ^&fw++++=cum'd
'd ^md+prd+vrb++0=EXTRAWORD
another ^dt++++=another
squaze ^nn+++??+=squaze
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
all ^abn++++=all
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Thrue
thrue ^nn+++??+=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
said ^vbd+vpub++xvbn+=said
as ^ql++++=as
plain ^nn++++=plain
as ^ql++++=as
iver ^jjr++++=iver
a ^at++++=a
squaze ^nn++++=squaze
said ^vbd+vpub++xvbn+=said
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
" ^zz++++="Thrue
thrue ^nn+++??+=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
proper ^jj+atrb+++=proper
nate ^nn++++=nate
gintleman ^jj++++=gintleman
ye ^pp2+pp2+++=ye
are ^vb+ber+vrb++=are
- ^zz++++=-that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
truth ^nn++++=truth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
opened ^vbd+++xvbnx+=opened
her ^pp$+pp3+++=her
two ^cd++++=two
beautiful ^jj+atrb+++=beautiful
peepers ^nns+nom+++=peepers
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
belaved ^vbd+++xvbnx+=belaved
they ^pp3a+pp3+++=they
wud ^vb+++??+=wud
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
cum ^&fw++++=cum'd
'd ^md+prd+vrb++0=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
hid ^vbd+++xvbn+=hid
althegither ^jjr++++=althegither
and ^cc+phrs+++=and
intirely ^jj++++=intirely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
first ^od++++=first
as ^ql++++=as
mad ^jj++++=mad
as ^in++++=as
a ^at++++=a
cat ^nn++++=cat
at ^in++++=at
Mounseer ^np+nom++??+=Mounseer
Frog ^np+++??+=Frog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
as ^ql++++=as
smiling ^jj+++xvbg+=smiling
as ^ql++++=as
all ^abn++++=all
out ^rp+pl+++=out
of ^in++++0=o'
doors ^nns++++=doors
at ^rb++++=at
mesilf ^nn+++??+=mesilf.
. ^zz++++=EXTRAWORD
" ^zz++++="Thin,"
thin ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
the ^ati++++=the
willian ^nn++++=willian,
, ^zz++++=EXTRAWORD
" ^zz++++="Och
och ^uh++++=EXTRAWORD
hon ^npt++++=hon!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wolly ^jj++++=wolly-wou,
- ^zz++++=EXTRAWORD
wou ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
pully ^jj++++=pully-wou,"
- ^zz++++=EXTRAWORD
wou ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
wid ^in++++=wid
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
shoved ^vbd+++xvbnx+=shoved
up ^rp++++=up
his ^pp$+pp3+++=his
two ^cd++++=two
shoulders ^nns+nom+++=shoulders
till ^in++++=till
the ^ati++++=the
divil ^nn+++??+=divil
the ^ati++++=the
bit ^nn++++=bit
of ^in++++=of
his ^pp$+pp3+++=his
hid ^vbd+++xvbn+=hid
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
diskivered ^vpsv++agls+xvbnx+=diskivered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
down ^rb+phrv+++=down
the ^ati++++=the
two ^cd++++=two
corners ^nns+nom+++=corners
of ^in++++=of
his ^pp$+pp3+++=his
purraty ^nn+++??+=purraty-trap,
- ^zz++++=EXTRAWORD
trap ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
not ^xnot++not++=not
a ^at++++=a
haporth ^nn+++??+=haporth
more ^rbr++++=more
of ^in++++=of
the ^ati++++=the
satisfaction ^nn+nom+++=satisfaction
could ^md+pos+++=could
I ^pp1a+pp1+++=I
git ^np++++=git
out ^rp+pl+++=out
of ^in++++0=o'
the ^ati++++=the
spalpeen ^nn++++=spalpeen.
. ^zz++++=EXTRAWORD
Belave ^np+++??+=Belave
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
jewel ^nn++++=jewel,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
unreasonable ^jj++++=unreasonable
mad ^jj++++=mad
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
by ^in++++=by
token ^nn++++=token
that ^tht+rel+obj++=that
the ^ati++++=the
Frinchman ^np+nom++??+=Frinchman
kipt ^vbd+++xvbn+=kipt
an ^at++++=an
wid ^in++++=wid
his ^pp$+pp3+++=his
winking ^vbg+++xvbg+=winking
at ^in++++=at
the ^ati++++=the
widdy ^nn+++??+=widdy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
widdy ^nn+++??+=widdy
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
an ^at++++=an
wid ^in++++=wid
the ^ati++++=the
squazing ^jj+++xvbg+=squazing
of ^in++++=of
my ^pp$+pp1+++=my
flipper ^jjr++++=flipper,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
him ^pp3o+pp3+++=him
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
mavourneen ^vbd+++xvbn+=mavourneen:"
: ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
ripped ^vbd+++xvbn+=ripped
out ^rp+pl+++=out
wid ^in++++=wid
a ^at++++=a
big ^jj+atrb+++=big
oath ^nn++++=oath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
little ^ap++++=little
spalpeeny ^nn+++??+=spalpeeny
frog ^nn+++??+=frog
of ^in++++=of
a ^at++++=a
bog ^nn++++=bog-throtting
- ^zz++++=EXTRAWORD
throtting ^jj+atrb++xvbg+=EXTRAWORD
son ^nn++++=son
of ^in++++=of
a ^at++++=a
bloody ^jj+atrb+++=bloody
noun ^nn++++=noun!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
- ^zz++++=-and
and ^cc++++=EXTRAWORD
jist ^nn++++=jist
thin ^jj++++=thin
what ^wdt+who+++=what
do ^do+do+aux++0=d'ye
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
leddyship ^nn+nom+++=leddyship
did ^vbd+dod+vrb++=did?
? ^zz++++=EXTRAWORD
Troth ^np+++??+=Troth
she ^pp3a+pp3+++=she
jumped ^vbd+++xvbnx+=jumped
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
sofy ^vb++++=sofy
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vpsv++agls+xvbn+=made
off ^in+pl+++=off
through ^in++++=through
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
my ^pp$+pp1+++=my
head ^jjb++++=head
round ^in++++=round
afther ^jjr++++=afther
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
complate ^nn+nom+++=complate
bewilderment ^nn+nom+++=bewilderment
and ^cc++++=and
botheration ^nn+nom+++=botheration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv+tht0+xvbn+=followed
her ^pp$+pp3+++=her
wid ^in++++=wid
me ^pp1o+pp1+++=me
two ^cd++++=two
peepers ^nns+nom+++=peepers.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
percave ^nn+++??+=percave
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
reason ^nn++++=reason
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
for ^in++++=for
knowing ^vb+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
down ^in++++=down
the ^ati++++=the
stares ^nns+++??+=stares
althegither ^jjr++++=althegither
and ^cc+phrs+++=and
intirely ^jj++++=intirely;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
very ^ql+amp+++=very
well ^rb++++=well
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
hould ^nn+++??+=hould
of ^in++++=of
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
divil ^nn+++??+=divil
the ^ati++++=the
bit ^nn++++=bit
had ^vb+hv+vrb++=had
I ^pp1a+pp1+++=I
iver ^jjr++++=iver
lit ^rb+++xvbn+=lit
it ^pp3+it+++=it
go ^vb++++=go.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
laste ^nn+++??+=laste
little ^ap++++=little
bit ^nn++++=bit
of ^in++++=of
a ^at++++=a
mistake ^nn++++=mistake
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
that ^tht+rel+obj++=that
ye ^pp2+pp2+++=ye've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
afther ^jjr++++=afther
the ^ati++++=the
making ^nvbg+++xvbg+=making,
, ^zz++++=EXTRAWORD
yer ^pp$++++=yer
leddyship ^nn+nom+++=leddyship?
? ^zz++++=EXTRAWORD
Come ^vb++++=Come
back ^jjb++++=back
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
darlint ^jj+++xvbn+=darlint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
ye ^pp2+pp2+++=ye
yur ^nn+++??+=yur
flipper ^jjr++++=flipper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
aff ^nn+++??+=aff
she ^pp3a+pp3+++=she
wint ^vbd+++xvbnx+=wint
down ^rp++++=down
the ^ati++++=the
stairs ^nns++++=stairs
like ^in++++=like
a ^at++++=a
shot ^nn+++xvbn+=shot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
round ^rb+phrv+++=round
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
Frinch ^np+++??+=Frinch
furrenner ^jjr++++=furrenner.
. ^zz++++=EXTRAWORD
Och ^uh++++=Och
hon ^npt++++=hon!
! ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
his ^pp$+pp3+++=his
spalpeeny ^nn+++??+=spalpeeny
little ^ap++++=little
paw ^npt++++=paw
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
hould ^nn+++??+=hould
of ^in++++=of
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
- ^zz++++=-why
why ^wrb+who+++=EXTRAWORD
thin ^jj++++=thin
- ^zz++++=-thin
thin ^jj++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
- ^zz++++=-that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
maybe ^rb+hdg+++=maybe
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
mesilf ^nn+++??+=mesilf
that ^tht+rel+++=that
jist ^nn++++=jist
died ^vbd+++xvbn+=died
then ^rn+tm+++=then
outright ^rb++++=outright
wid ^in++++=wid
the ^ati++++=the
laffin ^nn+++??+=laffin',
', ^nn+++??+=EXTRAWORD
to ^to++++=to
behold ^vbi++++=behold
the ^ati++++=the
little ^jj+atrb+++=little
chap ^nn++++=chap
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
widdy ^nn+++??+=widdy
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
hould ^nn+++??+=hould
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison.
'grandison. ^nn+++??+=EXTRAWORD
The ^ati++++=The
ould ^np++++=ould
divil ^nn+++??+=divil
himself ^ppl+pp3+++=himself
niver ^jjr+atrb+++=niver
behild ^nn+++??+=behild
sich ^&fw++++=sich
a ^at++++=a
long ^rb++++=long
face ^nn++++=face
as ^ql++++=as
he ^pp3a+pp3+++=he
pet ^nn++++=pet
an ^at++++=an!
! ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
for ^in++++=for
the ^ati++++=the
likes ^nns++++=likes
of ^in++++=of
his ^pp$+pp3+++=his
riverence ^nn+nom+++=riverence
to ^to++++=to
be ^vbi++vrb++=be
afther ^jjr+pred+++=afther
the ^ati++++=the
minding ^nn++++=minding
of ^in++++=of
a ^at++++=a
thrifle ^nn+++??+=thrifle
of ^in++++=of
a ^at++++=a
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
may ^md+pos+++=may
jist ^vb++++=jist
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
( ^zz++++=(for
for ^in++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
thruth ^nn+++??+=thruth),
) ^zz++++=EXTRAWORD
