His ^pp$+pp3+++=His
on ^in++++=on
the ^ati++++=the
temples ^nns++++=temples
of ^in++++=of
Imam ^npt++++=Imam
Baksh ^np+++??+=Baksh.
. ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
the ^ati++++=the
Presence ^nn+nom+++=Presence
know ^vb+vprv+++=know
the ^ati++++=the
torture ^nn++++=torture
of ^in++++=of
the ^ati++++=the
Cold ^nn++++=Cold
Draw ^vb++++=Draw?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
also ^rb++++=also
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
The ^ati++++=The
Tiger ^nn++++=Tiger
of ^in++++=of
Gokral ^np+++??+=Gokral-Seeta-run,
- ^zz++++=EXTRAWORD
seeta ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
run ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
evil ^nn++++=evil
smile ^nn++++=smile
was ^vbd+bedz+vrb++=was
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
back ^jjb++++=back
ready ^jj++++=ready
for ^in++++=for
what ^wdt+who+++=what
might ^md+pos+++=might
befall ^vb++++=befall.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib
unlocked ^vbd+++xvbn+=unlocked
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
his ^pp$+pp3+++=his
bath ^nn++++=bath-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smiled ^vbd+++xvbn+=smiled
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
lay ^jjb+++xvbn+=lay
the ^ati++++=the
six ^cd++++=six
rifles ^nns++++=rifles
and ^cc++++=and
the ^ati++++=the
big ^jj+atrb+++=big
Police ^nns++++=Police-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Thana ^np+++??+=Thana
of ^in++++=of
Howli ^np+++??+=Howli!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
by ^in++++=by
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
devil ^nn++++=devil-carriage
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
noiseless ^jj+pred+++=noiseless
as ^in++++=as
a ^at++++=a
ghoul ^nn+++??+=ghoul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moving ^jj+++xvbg+=moving
among ^in++++=among
us ^pp1o+pp1+++=us
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
away ^rb+phrv+++=away
both ^abx++++=both
the ^ati++++=the
guns ^nns++++=guns
and ^cc++++=and
the ^ati++++=the
book ^nn++++=book!
! ^zz++++=EXTRAWORD
Twice ^rb++++=Twice
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
Thana ^np+++??+=Thana,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
each ^dt++++=each
time ^nn++++=time
three ^cd++++=three
rifles ^nns++++=rifles.
. ^zz++++=EXTRAWORD
The ^ati++++=The
liver ^nn++++=liver
of ^in++++=of
the ^ati++++=the
Havildar ^np+++??+=Havildar
was ^vbd+bedz+aux++=was
turned ^vpsv++agls+xvbnx+=turned
to ^in++++=to
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
scrabbling ^nn+nom+++=scrabbling
in ^in++++=in
the ^ati++++=the
dirt ^nn++++=dirt
about ^in++++=about
the ^ati++++=the
boots ^nns++++=boots
of ^in++++=of
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
crying-- ^nn+++??+=crying--'Have
'have ^nn+++??+=EXTRAWORD
mercy ^nn++++=mercy!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
Delhi ^np++++=Delhi
Pathan ^np+++??+=Pathan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
with ^in++++=with
little ^jj+atrb+++=little
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Havildar ^np++++=Havildar's
's ^$++++=EXTRAWORD
mare ^nn++++=mare
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
compound ^nn++++=compound.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
to ^in+ppvb+++=to
her ^pp$+pp3+++=her
and ^cc++++=and
rode ^vbd+++xvbn+=rode:
: ^zz++++=EXTRAWORD
the ^ati++++=the
black ^jj+atrb+++=black
wrath ^nn++++=wrath
of ^in++++=of
the ^ati++++=the
Sirkar ^np+++??+=Sirkar
was ^vbd+bedz+vrb++=was
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
not ^xnot++not++=not
whither ^jjr++++=whither
to ^to++++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
Till ^cs+sub+++=Till
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
and ^cc+phrs+++=and
died ^vbd+++xvbn+=died
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
the ^ati++++=the
red ^jj+atrb+++=red
mare ^nn++++=mare;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
blessing ^nn++++=blessing
of ^in++++=of
God ^np++++=God,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
without ^in++++=without
doubt ^nn++++=doubt
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
all ^rb++++=all
just ^rb+emph+++=just
men ^nns++++=men,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
escaped ^vbd+++xvbnx+=escaped.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
Havildar ^np+++??+=Havildar
and ^cc++++=and
the ^ati++++=the
rest ^nn++++=rest
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
in ^in++++=in
jail ^nn++++=jail.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
scamp ^nn+++??+=scamp?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
as ^in++++=as
the ^ati++++=the
Presence ^nn+nom+++=Presence
pleases ^vbz++++=pleases.
. ^zz++++=EXTRAWORD
God ^np++++=God
will ^md+prd+++=will
make ^vb++++=make
the ^ati++++=the
Presence ^nn+nom+++=Presence
a ^at++++=a
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
him ^pp3o+pp3+++=him
a ^at++++=a
rich ^jj+atrb+++=rich
_mem ^nn+++??+=_Mem-sahib_
- ^zz++++=EXTRAWORD
sahib_ ^nn+++??+=EXTRAWORD
as ^ql++++=as
fair ^jj++++=fair
as ^ql++++=as
a ^at++++=a
Peri ^np+++??+=Peri
to ^in++++=to
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
strong ^jj+atrb+++=strong
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
orderly ^nn++++=orderly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Mercy ^nn++++=Mercy
of ^in++++=of
Heaven ^nn++++=Heaven
be ^vb+be+vrb++=be
upon ^in++++=upon
the ^ati++++=the
Sahib ^np+++??+=Sahib!
! ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
only ^rb+down+splt++=only
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
bazar ^nn++++=bazar
and ^cc++++=and
bring ^vb++++=bring
my ^pp$+pp1+++=my
children ^nns++++=children
to ^in++++=to
these ^dt+dem+++=these
so ^ql++++=so-palace-like
- ^zz++++=EXTRAWORD
palace ^npl++++=EXTRAWORD
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
quarters ^nns+nom+++=quarters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Presence ^nn+nom+++=Presence
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
Father ^nn++++=Father
and ^cc++++=and
my ^pp$+pp1+++=my
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Afzal ^np+++??+=Afzal
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
am ^vb+bem+vrb++=am
his ^pp$+pp3+++=his
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
Ohe ^np+++??+=Ohe,
, ^zz++++=EXTRAWORD
_sirdar ^nn+++??+=_Sirdar-ji!_
- ^zz++++=EXTRAWORD
ji!_ ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
Also ^rb++++=also
Am ^vb+bem+vrb++=am
Of ^in++++=of
The ^ati++++=the
Household ^nn++++=household
Of ^in++++=of
The ^ati++++=the
Sahib ^np++++=Sahib.
 ^zz++++=EXTRAWORD
