Puppy ^np+++??+=PUPPY
pinching ^vbg+++xvbgx+=pinching
was ^vbd+bedz+vrb++=was
like ^in++++=like
her ^pp$+pp3+++=her
handle ^vb++++=handle,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure
I ^pp1a+pp1+++=I
totally ^rb+amp+++=totally
heard ^vbd+vprv++xvbn+=heard
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
just ^rb+emph+++=just
said ^vbd+vpub++xvbn+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
time ^nn++++=time
after ^in++++=after
the ^ati++++=the
kittens ^nns+++??+=kittens,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
only ^rb+down+splt++=only
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
what ^wdt+who+++=what
you ^pp2+pp2+++=you
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
sure ^jj++++=sure
not ^xnot++not++=not
easy ^jj+atrb+++=easy
raising ^jj+atrb++xvbg+=raising
kids ^nns++++=kids
the ^ati++++=the
right ^jj+atrb+++=right
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
made ^vprf+++xvbn+=made
his ^pp$+pp3+++=his
life ^nn++++=life
harder ^jjr++++=harder
by ^in++++=by
being ^xvbg+++xvbg+=being
a ^at++++=a
smart ^jj++++=smart-ass,
- ^zz++++=EXTRAWORD
ass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
there ^rn+pl+++=there
making ^jj+atrb++xvbg+=making
plans ^nns++++=plans,
, ^zz++++=EXTRAWORD
like ^in++++=like
why ^wrb+who+++=why
not ^xnot++not++=not
sell ^vb++++=sell
this ^dt+dem+++=this
place ^nn++++=place
and ^cc++++=and
move ^nn++++=move
to ^in++++=to
Arizona ^np++++=Arizona
and ^cc++++=and
buy ^vb++++=buy
a ^at++++=a
car ^nn++++=car
wash ^nn++++=wash,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
buy ^vb++++=buy
the ^ati++++=the
kids ^nns++++=kids
Hooked ^vbd+++xvbn+=Hooked
on ^in++++=on
Phonics ^np+++??+=Phonics,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
plant ^nn++++=plant
tomatoes ^nns++++=tomatoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
got ^vprf++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
wrestling ^vb+nom+++=wrestling
around ^rp++++=around
and ^cc++++=and
( ^zz++++=(she
she ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
idea ^nn++++=idea
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
this ^dt+dem+++=this)
) ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
done ^vprf+++xvbnx+=done
this ^dt+dem+++=this
thing ^nn++++=thing
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
holding ^vbg+vprv+tht0+xvbg+=holding
her ^pp$+pp3+++=her
close ^jj++++=close,
, ^zz++++=EXTRAWORD
bursting ^jj+++xvbg+=bursting
this ^dt+dem+++=this
sudden ^jj+atrb+++=sudden
laugh ^nn++++=laugh/despair-snort
into ^in++++=into
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
sneeze ^nn+++??+=sneeze,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
like ^vb++++=like
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
start ^vb++++=start
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
feel ^vb+vprv+++=feel
special ^jj++++=special,
, ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
trusting ^vbg+++xvbg+=trusting
her ^pp$+pp3+++=her
with ^in++++=with
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
So ^ql++++=So
what ^wdt+who+++=what
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
for ^in++++=for
tonight ^nr+tm+++=tonight?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+aux++=Was
getting ^vbg+++xvbgx+=getting
the ^ati++++=the
pup ^nn++++=pup
sold ^vwbn+++xvbn+=sold,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
the ^ati++++=the
kids ^nns++++=kids
to ^in++++=to
bed ^nn++++=bed
early ^jj++++=early,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
seeing ^vwbg+vprv++xvbg+=seeing
her ^pp$+pp3+++=her
as ^in++++=as
all ^abn++++=all
organized ^jj+++xvbn+=organized
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
pup ^nn++++=pup,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
mess ^vb++++=mess
around ^rp++++=around
and ^cc+phrs+++=and
afterward ^rb++++=afterward
lie ^vb++++=lie
there ^rn+pl+++=there
making ^jj+atrb++xvbg+=making
plans ^nns++++=plans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
do ^vb+do+vrb++=do
that ^dt+dem+++=that
laugh ^nn++++=laugh/snort
thing ^nn++++=thing
in ^in++++=in
her ^pp$+pp3+++=her
hair ^nn++++=hair
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
that ^dt+dem+++=that
laugh ^nn++++=laugh/snort
meant ^vbd+vprv++xvbn+=meant
so ^ql++++=so
much ^ap++++=much
to ^in++++=to
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
freaking ^jj+atrb++xvbg+=freaking
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
weird ^jj+atrb+++=weird
things ^nns++++=things
about ^in++++=about
the ^ati++++=the
Wonder ^vb++++=Wonder
That ^dt+pdem+++=That
Was ^vbd+bedz+vrb++=Was
Her ^pp$+pp3+++=Her,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha
ha ^uh++++=ha
ha ^uh++++=ha.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
Bo ^np+++??+=Bo
hopped ^vbd+++xvbn+=hopped
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
( ^zz++++=(here
here ^rn+pl+++=EXTRAWORD
we ^pp1a+pp1+++=we
go ^vb++++=go)
) ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
who ^whp+rel+subj++=who'd
'd ^vbd+hvd+aux++0=EXTRAWORD
called ^vprf+++xvbnx+=called
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
pulled ^vprf+++xvbnx+=pulled
up ^rp++++=up?
? ^zz++++=EXTRAWORD
Yep ^np+++??+=Yep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
nice ^jj+atrb+++=nice
car ^nn++++=car,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
meant ^vbd+vprv++xvbn+=meant
too ^ql++++=too
bad ^jj++++=bad
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
put ^vprf+++xvbnx+=put
" ^zz++++="Cheap"
cheap ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ad ^&fw++++=ad.
. ^zz++++=EXTRAWORD
Abbie ^np+++??+=Abbie
squealed ^vbd+++xvbn+=squealed,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Mommy ^np+++??+=Mommy,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
puppy ^nn++++=puppy
looked ^vbd+++xvbn+=looked
up ^rp++++=up
dimly ^rb++++=dimly
from ^in++++=from
its ^pp$+it+++=its
shoebox ^nn+++??+=shoebox
and ^cc++++=and
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
went ^vbd+++xvbn+=went
trudging ^nvbg+++xvbg+=trudging
away ^rp+pl+++=away
and ^cc++++=and
one ^cd1++++=one-two-three-four
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
plucked ^xvbn+++xvbn+=plucked
up ^rp++++=up
four ^cd++++=four
dog ^nn++++=dog
turds ^nns+++??+=turds
from ^in++++=from
the ^ati++++=the
rug ^nn++++=rug.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
wow ^nn++++=wow,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
super ^jj+atrb+++=super
field ^nn++++=field
trip ^nn++++=trip
for ^in++++=for
the ^ati++++=the
kids ^nns++++=kids,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
thought ^vbd+++xvbn+=thought,
, ^zz++++=EXTRAWORD
ha ^uh++++=ha
ha ^uh++++=ha
( ^zz++++=(the
the ^ati++++=EXTRAWORD
filth ^nn++++=filth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mildew ^nn++++=mildew
smell ^nn++++=smell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dry ^jj+atrb+++=dry
aquarium ^nn++++=aquarium
holding ^vwbg+++xvbg+=holding
the ^ati++++=the
single ^jj+atrb+++=single
encyclopedia ^nn+++??+=encyclopedia
volume ^nn++++=volume,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pasta ^nn+++??+=pasta
pot ^vb++++=pot
on ^in++++=on
the ^ati++++=the
bookshelf ^nn+++??+=bookshelf
with ^in++++=with
an ^at++++=an
inflatable ^jj+atrb+++=inflatable
candy ^nn++++=candy
cane ^nn++++=cane
inexplicably ^jj++++=inexplicably
sticking ^jj+++xvbg+=sticking
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
some ^dti++++=some
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
disgusted ^vpsv++agls+xvbnx+=disgusted
( ^zz++++=(by
by ^in++++=EXTRAWORD
the ^ati++++=the
spare ^nn++++=spare
tire ^vb++++=tire
on ^in++++=on
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
glum ^jj+atrb+++=glum
mother ^nn++++=mother
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presumed ^nn++++=presumed
in ^in++++=in-house
- ^zz++++=EXTRAWORD
house ^nn++++=EXTRAWORD
pooper ^jjr++++=pooper,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
dragging ^vbg+++xvbgx+=dragging
her ^pp$+pp3+++=her
rear ^jjb++++=rear
over ^in++++=over
the ^ati++++=the
pile ^nn++++=pile
of ^in++++=of
clothing ^nn++++=clothing
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
sitting ^jj+atrb++xvbg+=sitting
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
splay ^nn+++??+=splay-legged,
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
moronic ^jj++++=moronic
look ^vb++++=look
of ^in++++=of
pleasure ^nn++++=pleasure
on ^rp++++=on
her ^pp3o+pp3+++=her
face ^nn++++=face),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie
realized ^vbd+vprv++xvbn+=realized
( ^zz++++=(resisting
resisting ^vbg+++xvbg+=EXTRAWORD
the ^ati++++=the
urge ^vb++++=urge
to ^to+vcmp+++=to
rush ^vb++++=rush
to ^in++++=to
the ^ati++++=the
sink ^nn++++=sink
and ^cc++++=and
wash ^nn++++=wash
her ^pp3o+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
in ^in++++=in
part ^nn++++=part
because ^cs+cos+++=because
the ^ati++++=the
sink ^vb++++=sink
had ^vb+hv+vrb++=had
a ^at++++=a
basketball ^nn+++??+=basketball
in ^in++++=in
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
what ^wdt+who+++=what
this ^dt+pdem+++=this
really ^rb+emph+++=really
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
deeply ^rb++++=deeply
sad ^jj+pred+++=sad.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
do ^vb+do+aux++=do
not ^xnot++not++=not
touch ^vb++++=touch
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
please ^uh++++=please
do ^vb+do+vrb++=do
not ^xnot++not++=not
touch ^nn++++=touch,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Josh ^vb+++??+=Josh
and ^cc++++=and
Abbie ^np+++??+=Abbie,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
in ^in++++=in
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
give ^vbi++++=give
the ^ati++++=the
children ^nns++++=children
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
observe ^vbi+vprv+tht0++=observe
her ^pp$+pp3+++=her
being ^vbg+beg++xvbg+=being
democratic ^jj++++=democratic
and ^cc+phrs+++=and
accepting ^jj+++xvbg+=accepting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterward ^rb++++=afterward
they ^pp3a+pp3+++=they
could ^md+pos+++=could
all ^abn++++=all
wash ^nn++++=wash
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
half ^abn++++=half-remodeled
- ^zz++++=EXTRAWORD
remodeled ^jj+++xvbn+=EXTRAWORD
Mcdonald ^np+++??+=McDonald's,
's, ^nn+++??+=EXTRAWORD
as ^ql++++=as
long ^jj++++=long
as ^ql++++=as
they ^pp3a+pp3+++=they
just ^rb+emph+++=just
please ^uh++++=please
please ^uh++++=please
kept ^vbd+++xvbn+=kept
their ^pp$+pp3+++=their
hands ^nns++++=hands
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
mouths ^nns++++=mouths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
God ^np++++=God
forbid ^vb+vsua+tht0++=forbid
they ^pp3a+pp3+++=they
should ^md+nec+++=should
rub ^vb++++=rub
their ^pp$+pp3+++=their
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
phone ^nn++++=phone
rang ^vbd+++xvbn+=rang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
plodded ^vbd+++xvbn+=plodded
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
the ^ati++++=the
daintily ^nn++++=daintily
held ^vbd+vprv++xvbn+=held,
, ^zz++++=EXTRAWORD
paper ^nn++++=paper-towel-wrapped
- ^zz++++=EXTRAWORD
towel ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
wrapped ^xvbn+++xvbn+=EXTRAWORD
turds ^nns+++??+=turds
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
" ^zz++++="Mommy,
mommy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Abbie ^np+++??+=Abbie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
definitely ^rb++++=definitely
walk ^nn++++=walk
him ^pp3o+pp3+++=him
like ^in++++=like
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
' ^zz++++='like,'
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="
Marie ^np++++=Marie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
definitely ^rb++++=definitely
walk ^nn++++=walk
him ^pp3o+pp3+++=him
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
adopt ^vb++++=adopt
a ^at++++=a
white ^jj++++=white-trash
- ^zz++++=EXTRAWORD
trash ^nn++++=EXTRAWORD
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha
ha ^uh++++=ha.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=could
name ^vb++++=name
it ^pp3+it+++=it
Zeke ^np+++??+=Zeke,
, ^zz++++=EXTRAWORD
buy ^vb++++=buy
it ^pp3+it+++=it
a ^rb++++=a
little ^rb"++++=little
corncob ^nn+++??+=corncob
pipe ^nn++++=pipe
and ^cc++++=and
a ^at++++=a
straw ^nn++++=straw
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
imagined ^vbd+vprv++xvbnx+=imagined
the ^ati++++=the
puppy ^nn+++??+=puppy,
, ^zz++++=EXTRAWORD
having ^vbg+++xvbg+=having
crapped ^jj+++xvbn+=crapped
on ^in++++=on
the ^ati++++=the
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^rp++++=up
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going,
, ^zz++++=EXTRAWORD
Cai ^np+++??+=Cain't
n't ^xnot++not++0=EXTRAWORD
hep ^vb+++??+=hep
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^rb++++=no.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
she ^pp3a+pp3+++=she
come ^vb++++=come
from ^in+ppvb+++=from
a ^at++++=a
perfect ^jj+atrb+++=perfect
place ^nn++++=place?
? ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
transmutable ^jj+pred+++=transmutable.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
imagined ^vbd+vprv+tht0+xvbnx+=imagined
the ^ati++++=the
puppy ^nn++++=puppy
grown ^vbd+++xvbn+=grown
up ^rp++++=up,
, ^zz++++=EXTRAWORD
entertaining ^jj+++xvbg+=entertaining
some ^dti++++=some
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=speaking
to ^in++++=to
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
British ^jj+atrb+++=British
accent ^nn++++=accent:
: ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
family ^nn++++=family
of ^in++++=of
origin ^nn++++=origin
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
um ^uh++++=um,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
respectable ^jj++++=respectable
Ha ^uh++++=Ha
ha ^uh++++=ha,
, ^zz++++=EXTRAWORD
wow ^nn++++=wow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
amazing ^jj+pred+++=amazing,
, ^zz++++=EXTRAWORD
always ^rb++++=always
cranking ^vbg+++xvbg+=cranking
out ^rp+pl+++=out
these ^dt+dem+++=these
Marie ^np++++=Marie
stepped ^vbd+++xvbn+=stepped
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and,
, ^zz++++=EXTRAWORD
anthropologically ^rb++++=anthropologically
pulling ^vbg+nom++xvbg+=pulling
the ^ati++++=the
blind ^jj++++=blind
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
shocked ^vpsv++agls+xvbnx+=shocked,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
shocked ^jj+++xvbn+=shocked
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
blind ^jj++++=blind
and ^cc++++=and
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
wake ^vbi++++=wake
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
shocked ^j+++xvbn+=shocked
to ^to++++=to
see ^vbi+vprv+++=see
a ^at++++=a
young ^jj+atrb+++=young
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
younger ^jjr++++=younger
than ^in++++=than
Josh ^np+++??+=Josh,
, ^zz++++=EXTRAWORD
harnessed ^jj++++=harnessed
and ^cc+phrs+++=and
chained ^jj+++xvbn+=chained
to ^in++++=to
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
via ^in++++=via
some ^dti++++=some
sort ^nn++++=sort
of ^in++++=of
doohickey ^nn+++??+=doohickey
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
pulled ^vbd+++xvbnx+=pulled
the ^ati++++=the
blind ^jj++++=blind
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
When ^wrb+who+++=When
the ^ati++++=the
boy ^nn++++=boy
ran ^vbd+++xvbn+=ran,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chain ^nn++++=chain
spooled ^vbd+++xvbn+=spooled
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
back ^jjb++++=back
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
chain ^nn++++=chain,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
jerked ^vbd+++xvbn+=jerked
and ^cc++++=and
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
as ^cs+sub+++=as
if ^cs+cnd+++=if
shot ^nn+++xvbn+=shot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
to ^in++++=to
a ^at++++=a
sitting ^jj+atrb++xvbg+=sitting
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
railed ^jj++++=railed
against ^in++++=against
the ^ati++++=the
chain ^nn++++=chain,
, ^zz++++=EXTRAWORD
whipped ^j+++xvbn+=whipped
