Dusk ^nn++++=Dusk
his ^pp$+pp3+++=his
bowl ^nn++++=bowl
to ^in++++=to
the ^ati++++=the
last ^rb++++=last
drop ^vb++++=drop
too ^ql++++=too
quickly ^rb++++=quickly
to ^in++++=to
taste ^nn++++=taste
it ^pp3+it+++=it
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
drank ^vbd+++xvbnx+=drank,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
kept ^vprf+++xvbnx+=kept
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
close ^jj++++=close
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
from ^in++++=from
that ^dt+dem+++=that
moment ^nn++++=moment
his ^pp$+pp3+++=his
friend ^nn++++=friend
had ^vb+hv+aux++=had
somehow ^rb++splt++=somehow
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
way ^nn++++=way
down ^in++++=down
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
things ^nns++++=things
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
unusual ^jj+pred+++=unusual,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
chiefly ^rb++++=chiefly
about ^in++++=about
the ^ati++++=the
' ^zz++++='Chenille',
chenille ^nn+++??+=EXTRAWORD
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
delicious ^jj+atrb+++=delicious,
, ^zz++++=EXTRAWORD
delicate ^jj+atrb+++=delicate
flavour ^nn++++=flavour
of ^in++++=of
the ^ati++++=the
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
all ^abn++++=all
phrased ^jj+++xvbn+=phrased
in ^in++++=in
such ^abl++++=such
a ^at++++=a
way ^nn++++=way
that ^tht+rel+obj++=that
it ^pp3+it+++=it
sounded ^vbd+++xvbn+=sounded
singular ^nn++++=singular,
, ^zz++++=EXTRAWORD
unfamiliar ^jj++++=unfamiliar,
, ^zz++++=EXTRAWORD
unpleasant ^jj++++=unpleasant
even ^rb++++=even.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
recall ^vbi+vprv+++=recall
the ^ati++++=the
sentences ^nns+nom+++=sentences
the ^ati++++=the
actual ^jj+atrb+++=actual
words ^nns++++=words
evaded ^vbd+++xvbn+=evaded
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
uneasiness ^nns+nom+++=uneasiness
and ^cc++++=and
apprehension ^nn++++=apprehension
they ^pp3a+pp3+++=they
caused ^vbd+++xvbnx+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
feel ^vbi+vprv+++=feel
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
night ^nn++++=night
ever ^rb++++=ever
italicizes ^vbz++++=italicizes
such ^abl++++=such
memories ^nns++++=memories!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
to ^in++++=to
cap ^nn++++=cap
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
followed ^vprf+++xvbnx+=followed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
wholly ^rb++++=wholly
foolish ^jj+pred+++=foolish
and ^cc+phrs+++=and
absurd ^jj++++=absurd
to ^to++++=to
feel ^vbi+vprv+++=feel
the ^ati++++=the
things ^nns++++=things
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
feel ^vb+vprv+++=feel;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
there ^rn+pl+++=there
the ^ati++++=the
feelings ^nns+nom+++=feelings
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
the ^ati++++=the
good ^nn++++=good
of ^in++++=of
arguing ^xvbg+++xvbg+=arguing?
? ^zz++++=EXTRAWORD
That ^dt+dem+++=That
girl ^nn++++=girl
frightened ^vbd+++xvbn+=frightened
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
change ^nn++++=change
in ^in++++=in
his ^pp$+pp3+++=his
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
or ^cc++++=or
other ^ap++++=other
a ^at++++=a
danger ^nn++++=danger
signal ^nn++++=signal.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
than ^in++++=than
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
An ^at++++=An
explanation ^nn+nom+++=explanation
might ^md+pos+++=might
come ^vb++++=come
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
the ^ati++++=the
present ^jj+atrb+++=present
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
desire ^nn++++=desire
was ^vbd+bedz+aux++=was
to ^to++++=to
get ^vbi++++=get
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
place ^nn++++=place
and ^cc++++=and
to ^to++++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
friend ^nn++++=friend
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
on ^in++++=on
this ^dt+dem+++=this
thought ^nn+++xvbn+=thought
sleep ^nn++++=sleep
overtook ^vbd+++xvbn+=overtook
him ^pp3o+pp3+++=him
- ^zz++++=-heavily.
heavily ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
wide ^jj+atrb+++=wide
open ^nn++++=open;
; ^zz++++=EXTRAWORD
outside ^jjb++++=outside
was ^vbd+bedz+vrb++=was
a ^at++++=a
garden ^nn++++=garden
with ^in++++=with
a ^at++++=a
rather ^rb++++=rather
high ^jj+atrb+++=high
enclosing ^jj+atrb++xvbg+=enclosing
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
far ^rb+pl+++=far
end ^vb++++=end
a ^at++++=a
gate ^nn++++=gate
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
locked ^vbd+++xvbn+=locked
because ^cs+cos+++=because
it ^pp3+it+++=it
led ^vbd+++xvbn+=led
into ^in++++=into
private ^jj+atrb+++=private
fields ^nns++++=fields
and ^cc++++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
back ^jjb+atrb+++=back
way ^nn++++=way,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
cemetery ^nn+nom+++=cemetery
and ^cc++++=and
the ^ati++++=the
little ^ap++++=little
church ^npl++++=church.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
the ^ati++++=the
guests ^nns++++=guests
of ^in++++=of
the ^ati++++=the
inn ^npl++++=inn
made ^vbd+++xvbn+=made
use ^nn++++=use
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
got ^vbd+++xvbn+=got
lost ^vbd+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
network ^nn++++=network
of ^in++++=of
fields ^nns++++=fields
and ^cc++++=and
vines ^nns++++=vines,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
proper ^jj+atrb+++=proper
route ^nn++++=route
that ^tht+rel+++=that
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
road ^nn++++=road
or ^cc++++=or
the ^ati++++=the
mountains ^nns++++=mountains.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
usually ^rb+down+++=usually
ended ^vbd+++xvbn+=ended
up ^rp++++=up
prematurely ^rb++++=prematurely
in ^in++++=in
the ^ati++++=the
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
village ^nn+nom+++=village
by.passing ^vwbg+++xvbg+=by.passing
through ^in++++=through
the ^ati++++=the
church ^nn++++=church,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
always ^rb++++=always
open ^jj+pred+++=open;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
knocking ^nn++++=knocking
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
doors ^nns++++=doors
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
houses ^nns++++=houses
and ^cc++++=and
explaining ^vbg+vpub++xvbg+=explaining
their ^pp$+pp3+++=their
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
the ^ati++++=the
gate ^nn++++=gate
was ^vbd+bedz+aux++=was
locked ^vpsv++agls+xvbnx+=locked
now ^rn+tm+++=now
to ^to++++=to
save ^vbi++++=save
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
After ^in++++=After
several ^ap++++=several
hours ^nns++++=hours
of ^in++++=of
hot ^jj+atrb+++=hot,
, ^zz++++=EXTRAWORD
unrefreshing ^jj+atrb++xvbg+=unrefreshing
sleep ^nn++++=sleep
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
turned ^vbd+++xvbn+=turned
in ^rb+phrv+++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed
and ^cc++++=and
woke ^vbd+++xvbn+=woke.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
stretch ^vbi++++=stretch,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=couldn't;
n't ^xnot++not++0=EXTRAWORD
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
sat ^vbd+++xvbn+=sat
up ^rp++++=up
panting ^vbg+++xvbg+=panting
with ^in++++=with
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
suffocation ^nn+nom+++=suffocation.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
by ^in++++=by
the ^ati++++=the
faint ^jj+atrb+++=faint
starlight ^nn+++??+=starlight
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer
night ^nn++++=night,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
next ^ap++++=next
that ^dt+dem+++=that
his ^pp$+pp3+++=his
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
up ^rp++++=up
and ^cc++++=and
moving ^vbg+++xvbg+=moving
about ^rb+phrv+++=about
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Remembering ^vbg+vprv++xvbg+=Remembering
that ^tht+vcmp+++=that
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
in ^in++++=in
his ^pp$+pp3+++=his
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
to ^in++++=to
him ^pp3o+pp3+++=him
gently ^rb++++=gently:
: ^zz++++=EXTRAWORD
' ^zz++++='Morton,
morton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
chap ^nn++++=chap,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
authority ^nn+nom+++=authority
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
' ^zz++++='go
go ^vb++++=EXTRAWORD
back ^jjb++++=back
to ^in++++=to
bed ^nn++++=bed!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
walked ^vprf+++xvbnx+=walked
enough ^qlp++++=enough
for ^in++++=for
one ^cd1++++=one
day ^nn++++=day!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
the ^ati++++=the
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
obeying ^vbg+++xvbg+=obeying
as ^in++++=as
sleep ^nn++++=sleep-walkers
- ^zz++++=EXTRAWORD
walkers ^nns+nom+++=EXTRAWORD
often ^rb++++=often
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
among ^in++++=among
the ^ati++++=the
shadows ^nps++++=shadows
over ^in++++=over
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
plunged ^jj+++xvbn+=plunged
and ^cc+phrs+++=and
burrowed ^jj+++xvbn+=burrowed
himself ^ppl+pp3+++=himself
into ^in++++=into
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
position ^nn+nom+++=position
again ^rb+tm+++=again
for ^in++++=for
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shortness ^nns+nom+++=shortness
of ^in++++=of
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
tiresome ^jj+atrb+++=tiresome
interruption ^nn+nom+++=interruption
of ^in++++=of
his ^pp$+pp3+++=his
slumbers ^nns+nom+++=slumbers
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
lose ^vbi++++=lose
consciousness ^nns+nom+++=consciousness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forced ^vbd+++xvbnx+=forced
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
to ^to++++=to
keep ^vbi++++=keep
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
body ^nn++++=body
to ^to++++=to
cease ^vbi++++=cease
from ^in++++=from
fidgeting ^xvbg+++xvbg+=fidgeting,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
nibbling ^nn+nom+++=nibbling
at ^in++++=at
his ^pp$+pp3+++=his
mind ^nn++++=mind
like ^in++++=like
a ^at++++=a
spirit ^nn++++=spirit
mouse ^nn++++=mouse
that ^tht+rel+++=that
never ^rb++++=never
permitted ^jj+++xvbn+=permitted
him ^pp3o+pp3+++=him
to ^to++++=to
cross ^vbi++++=cross
the ^ati++++=the
frontier ^nn+nom+++=frontier
into ^in++++=into
actual ^jj+atrb+++=actual
oblivion ^nn++++=oblivion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slept ^vbd+++xvbnx+=slept
with ^in++++=with
one ^cd1++++=one
eye ^nn++++=eye
open ^nn++++=open,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
saying ^nvbg+++xvbg+=saying
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Odours ^nns++++=Odours
of ^in++++=of
hay ^nn++++=hay
and ^cc++++=and
flowers ^nns+nom+++=flowers
and ^cc++++=and
baked ^jj+atrb++xvbn+=baked
ground ^nn++++=ground
stole ^vbd+++xvbn+=stole
in ^in++++=in
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window;
; ^zz++++=EXTRAWORD
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
sounds ^nns++++=sounds
- ^zz++++=-little
little ^ap++++=EXTRAWORD
sounds ^nns++++=sounds
that ^tht+rel+++=that
disturbed ^jj+++xvbn+=disturbed
him ^pp3o+pp3+++=him
without ^in++++=without
being ^xvbg+++xvbg+=being
ever ^rb++++=ever
loud ^jj++++=loud
enough ^qlp++++=enough
to ^to++++=to
claim ^vbi++++=claim
definite ^jj+atrb+++=definite
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
lose ^vb++++=lose
consciousness ^nns+nom+++=consciousness
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
- ^zz++++=-when,
when ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
a ^at++++=a
thought ^nn+++xvbn+=thought
came ^vbd+++xvbn+=came
with ^in++++=with
a ^at++++=a
sharp ^jj+atrb+++=sharp
rush ^nn++++=rush
into ^in++++=into
his ^pp$+pp3+++=his
mind ^nn++++=mind
and ^cc++++=and
galvanized ^jj++++=galvanized
him ^pp3o+pp3+++=him
once ^rb+tm+++=once
more ^rbr++++=more
into ^in++++=into
utter ^jjb+atrb+++=utter
wakefulness ^nns+nom+++=wakefulness.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
amazed ^vbd+++xvbn+=amazed
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
grasped ^vprf+++xvbn+=grasped
it ^pp3+it+++=it
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
the ^ati++++=the
figure ^nn++++=figure
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
Alarm ^vb++++=Alarm
gripped ^vbd+++xvbn+=gripped
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
think ^vb+vprv+++=think
or ^cc+phrs+++=or
argue ^vb+vpub+++=argue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cold ^jj+atrb+++=cold
perspiration ^nn+nom+++=perspiration
broke ^vbd+++xvbn+=broke
out ^rp+pl+++=out
all ^abn++++=all
over ^in++++=over
his ^pp$+pp3+++=his
body ^nn++++=body.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fumbled ^vbd+++xvbnx+=fumbled
for ^in++++=for
matches ^nns++++=matches,
, ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
remembering ^nc+++xvbg+=remembering
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
electric ^jj++++=electric
light ^jj++++=light,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
scraped ^vbd+++xvbnx+=scraped
the ^ati++++=the
wall ^nn++++=wall
with ^in++++=with
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
- ^zz++++=-and
and ^cc++++=EXTRAWORD
turned ^vpsv++agls+xvbn+=turned
on ^rb+phrv+++=on
the ^ati++++=the
little ^ap++++=little
white ^jj+atrb+++=white
switch ^nn++++=switch.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
sudden ^jj+atrb+++=sudden
glare ^nn++++=glare
that ^tht+rel+++=that
filled ^jj+++xvbn+=filled
the ^ati++++=the
room ^nn++++=room
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
instantly ^rb+tm+++=instantly
that ^cs+sub+++=that
his ^pp$+pp3+++=his
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
bed ^nn++++=bed
was ^vbd+bedz+aux++=was
no ^at++++=no
longer ^rbr++++=longer
occupied ^vbd+++xvbn+=occupied.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
acting ^nvbg+++xvbg+=acting
instinctively ^rb+cnj+++=instinctively,
, ^zz++++=EXTRAWORD
without ^in++++=without
process ^nns+nom+++=process
of ^in++++=of
conscious ^jj+atrb+++=conscious
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
flew ^j+++xvbn+=flew
like ^in++++=like
a ^at++++=a
flash ^nn++++=flash
to ^in++++=to
their ^pp$+pp3+++=their
walk ^nn++++=walk
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
- ^zz++++=-to
to ^in++++=EXTRAWORD
the ^ati++++=the
tumble ^nn++++=tumble-down.
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='Chenille,'
chenille ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
glass ^nn++++=glass
of ^in++++=of
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odd ^jj+atrb+++=odd
behaviour ^nn++++=behaviour
of ^in++++=of
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
- ^zz++++=-to
to ^in++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
second ^od++++=second
he ^pp3a+pp3+++=he
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
the ^ati++++=the
odour ^nn++++=odour
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
which ^whp+rel+obj++=which
hitherto ^rb++++=hitherto
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
composite ^jj+atrb+++=composite
odour ^nn++++=odour
of ^in++++=of
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
something ^pn++++=something
else ^rb+cnj+++=else:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
freshly ^rb++++=freshly
turned ^vbd+++xvbn+=turned
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Immediately ^rb+tm+++=Immediately
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
this ^dt+dem+++=this
discovery ^nn+nom+++=discovery
came ^vbd+++xvbn+=came
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
slight ^jj+atrb+++=slight
sounds ^nns++++=sounds
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
outside ^jjb++++=outside
the ^ati++++=the
window ^nn++++=window
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
ordinary ^jj+atrb+++=ordinary
night ^nn++++=night-sounds,
- ^zz++++=EXTRAWORD
sounds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
murmur ^nn++++=murmur
of ^in++++=of
wind ^nn++++=wind
and ^cc++++=and
insects ^nns++++=insects:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
footsteps ^nns++++=footsteps
moving ^vwbg+++xvbg+=moving
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
stealthily ^rb++++=stealthily
down ^in++++=down
the ^ati++++=the
little ^jj+atrb+++=little
paths ^nns++++=paths
of ^in++++=of
crushed ^jj+atrb++xvbn+=crushed
granite ^nn++++=granite.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
wonderful ^jj++++=wonderful
short ^jj++++=short
order ^to++++=order,
, ^zz++++=EXTRAWORD
noticing ^vbg+++xvbg+=noticing
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^ql++++=so
that ^cs+sub+++=that
his ^pp$+pp3+++=his
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
night ^nn++++=night-garments
- ^zz++++=EXTRAWORD
garments ^nns+nom+++=EXTRAWORD
lay ^vbd+++xvbn+=lay
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
therefore ^rb+cnj+splt++=therefore
dressed ^vprf+++xvbnx+=dressed;
; ^zz++++=EXTRAWORD
further ^jjb++++=further
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
unlocked ^vpsv++agls+xvbnx+=unlocked
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
half ^abn++++=half
an ^at++++=an
inch ^nn++++=inch
ajar ^rb++++=ajar.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
no ^at++++=no
question ^nn+nom+++=question
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
slept ^vprf+++xvbnx+=slept
again ^rb+tm+++=again:
: ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
