[ ^zz++++=[1]
You ^pp2+pp2+++=You--you--you!"
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
raving ^jj+pred+++=raving,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
in ^in++++=in
a ^at++++=a
low ^jj+atrb+++=low
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
followed ^vbd+vprv+tht0+xvbnx+=followed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
step ^vb++++=step
by ^in++++=by
step ^nn++++=step,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
retreated ^vbd+++xvbnx+=retreated,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
upon ^in++++=upon
hers ^pp$$++++=hers
with ^in++++=with
a ^at++++=a
steady ^jj+atrb+++=steady
gaze ^nn++++=gaze
in ^in++++=in
which ^whp+rel+pied++=which
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
of ^in++++=of
tenderness ^nns+nom+++=tenderness
nor ^cc++neg++=nor
of ^in++++=of
compassion ^nn++++=compassion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hand ^nn++++=hand
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
in ^in++++=in
accusation ^nn+nom+++=accusation
fell ^vbd+++xvbn+=fell
to ^in++++=to
her ^pp$+pp3+++=her
side ^nn++++=side,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dilated ^vbd+++xvbn+=dilated
eyes ^nns++++=eyes
contracted ^vbd+++xvbn+=contracted
visibly ^rb+cnj+++=visibly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lids ^nns++++=lids
slowly ^rb++++=slowly
dropped ^vbd+++xvbn+=dropped
over ^rp++++=over
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
veiling ^nn+nom+++=veiling
their ^pp$+pp3+++=their
strange ^jj+atrb+++=strange
wild ^jj+atrb+++=wild
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
motionless ^jj++++=motionless
and ^cc++++=and
almost ^rb+hdg+++=almost
as ^ql++++=as
white ^np++++=white
as ^ql++++=as
the ^ati++++=the
dead ^jj+atrb+++=dead
girl ^nn++++=girl
lying ^vwbg+++xvbg+=lying
near ^in+strn+++=near.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
put ^vb+++xvbn+=put
his ^pp$+pp3+++=his
arm ^nn++++=arm
gently ^rb++++=gently
about ^rb++++=about
her ^pp3o+pp3+++=her
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
support ^vbi++++=support
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
she ^pp3a+pp3+++=she
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
a ^at++++=a
passion ^nn++++=passion
of ^in++++=of
tears ^nns++++=tears
and ^cc++++=and
clung ^vpsv++agls+xvbn+=clung
to ^in++++=to
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
child ^nn++++=child
to ^in++++=to
its ^pp$+it+++=its
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile
that ^tht+rel+++=that
affected ^jj+++xvbn+=affected
me ^pp1o+pp1+++=me
most ^ql+emph+++=most
disagreeably ^rb++++=disagreeably--perhaps
-- ^--+clp+++=EXTRAWORD
perhaps ^rb++++=EXTRAWORD
any ^dti++++=any
kind ^rb++++=kind
of ^rb"++++=of
smile ^nn++++=smile
would ^md+prd+++=would
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
so ^ql++++=so--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
led ^vwbn+++xvbn+=led
her ^pp$+pp3+++=her
silently ^rb++++=silently
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
inquest ^nn++++=inquest--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
the ^ati++++=the
customary ^jj+atrb+++=customary
verdict ^nn++++=verdict:
: ^zz++++=EXTRAWORD
the ^ati++++=the
deceased ^jj++++=deceased,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her
death ^nn++++=death
through ^in++++=through
" ^zz++++="heart
heart ^nn++++=EXTRAWORD
disease ^nn++++=disease."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
before ^in++++=before
the ^ati++++=the
invention ^nn+nom+++=invention
of ^in++++=of
heart ^nn++++=heart
_failure_ ^nn+++??+=_failure_,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
poor ^jj+atrb+++=poor
Pauline ^np++++=Pauline
had ^vb+hv+aux++=had
indubitably ^rb++splt++=indubitably
failed ^vprf+++xvbnx+=failed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
body ^nn++++=body
was ^vbd+bedz+vrb++=was
embalmed ^jj+pred+++=embalmed
and ^cc+phrs+++=and
taken ^vb+++xvbn+=taken
to ^to+vcmp+++=to
San ^vb++++=San
Francisco ^np++++=Francisco
by ^in++++=by
some ^dti++++=some
one ^cd1++++=one
summoned ^vbd+++xvbn+=summoned
thence ^rb++++=thence
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
Eva ^np+++??+=Eva
nor ^cc++neg++=nor
Benning ^np+++??+=Benning
accompanying ^vwbg+++xvbg+=accompanying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel
gossips ^nns++++=gossips
ventured ^vbd+++xvbn+=ventured
to ^to+vcmp+++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
very ^ql+amp+++=very
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^ap++++=a
few ^ap"++++=few
hardy ^jj+atrb+++=hardy
spirits ^nns++++=spirits
went ^vbd+++xvbn+=went
so ^rb++++=so
far ^rb+pl+++=far
as ^in++++=as
to ^in"++++=to
think ^vb+vprv+++=think
it ^pp3+it+++=it
very ^ql+amp+++=very
strange ^jj++++=strange
indeed ^rb++++=indeed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
good ^jj+atrb+++=good
landlady ^nn++++=landlady
generously ^rb++++=generously
threw ^vbd+++xvbn+=threw
herself ^ppl+pp3+++=herself
into ^in++++=into
the ^ati++++=the
breach ^nn++++=breach,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
precarious ^jj+atrb+++=precarious
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
health ^nn++++=health.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
of ^in++++=of
record ^vb++++=record
that ^tht+vcmp+obj++=that
either ^dtx++++=either
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
persons ^nns++++=persons
most ^ql+emph+++=most
affected ^jj+++xvbn+=affected
and ^cc++++=and
apparently ^rb++++=apparently
least ^rb++++=least
concerned ^vwbn+++xvbn+=concerned
made ^vbd+++xvbn+=made
any ^dti++++=any
explanation ^nn+nom+++=explanation.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
about ^in++++=about
a ^at++++=a
week ^nn++++=week
after ^cs+sub+++=after
the ^ati++++=the
death ^nn++++=death
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
veranda ^nn++++=veranda
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel
to ^to++++=to
get ^vbi++++=get
a ^at++++=a
book ^nn++++=book
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
some ^dti++++=some
vines ^nns++++=vines
shutting ^vwbg+++xvbg+=shutting
out ^rp+pl+++=out
the ^ati++++=the
moonlight ^nn++++=moonlight
from ^in++++=from
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
space ^nn++++=space
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Richard ^np++++=Richard
Benning ^np+++??+=Benning,
, ^zz++++=EXTRAWORD
for ^in++++=for
whose ^whp+rel+pied++=whose
apparition ^nn+nom+++=apparition
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
prepared ^vpsv++by+xvbnx+=prepared
by ^in++++=by
having ^xvbg+++xvbg+=having
previously ^rb+tm+++=previously
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
low ^jj+atrb+++=low,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
voice ^nn++++=voice
of ^in++++=of
Eva ^np+++??+=Eva
Maynard ^np+++??+=Maynard,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
also ^rb++++=also
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
discerned ^vbd+++xvbn+=discerned,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
raised ^vbd+++xvbn+=raised
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
judge ^vb++++=judge,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
upward ^jjb++++=upward
into ^in++++=into
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv+tht0+xvbnx+=held
her ^pp$+pp3+++=her
disengaged ^vbd+++xvbn+=disengaged
hand ^nn++++=hand
and ^cc++++=and
his ^pp$+pp3+++=his
head ^nn++++=head
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent
with ^in++++=with
a ^at++++=a
singular ^jj+atrb+++=singular
dignity ^nn+nom+++=dignity
and ^cc++++=and
grace ^nn++++=grace.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
attitude ^nn++++=attitude
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
lovers ^nns++++=lovers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
in ^in++++=in
deep ^jj+atrb+++=deep
shadow ^nn++++=shadow
to ^to++++=to
observe ^vbi+vprv+tht0++=observe
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
even ^rb++++=even
guiltier ^jjr++++=guiltier
than ^in++++=than
on ^in++++=on
that ^dt+dem+++=that
memorable ^jj+atrb+++=memorable
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
retire ^vb++++=retire,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
girl ^nn++++=girl
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
contrast ^nn++++=contrast
between ^in++++=between
her ^pp$+pp3+++=her
words ^nns++++=words
and ^cc++++=and
her ^pp$+pp3+++=her
attitude ^nn++++=attitude
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
surprising ^jj+++xvbg+=surprising
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
merely ^rb+down+splt++=merely
forgotten ^vprf+++xvbnx+=forgotten
to ^to+vcmp+++=to
go ^vbi++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
take ^vb++++=take
my ^pp$+pp1+++=my
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="as
as ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
Pauline ^np++++=Pauline's.
's. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
your ^pp$+pp2+++=your
intention ^nn+nom+++=intention
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
your ^pp$+pp2+++=your
power ^nn++++=power,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ask ^vb++++=ask
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
that ^dt+dem+++=that
you ^pp2+pp2+++=you
finish ^vb++++=finish
your ^pp$+pp2+++=your
work ^nn++++=work
without ^in++++=without
needless ^jj+atrb+++=needless
delay ^nn++++=delay
and ^cc++++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
be ^vb+be+vrb++=be
at ^in++++=at
peace ^nn++++=peace."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
reply ^nn++++=reply--merely
-- ^--+clp+++=EXTRAWORD
merely ^rb+down+++=EXTRAWORD
let ^vb+++xvbn+=let
go ^vb++++=go
the ^ati++++=the
hand ^nn++++=hand
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
holding ^vbg+vprv++xvbgx+=holding,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
the ^ati++++=the
other ^ap++++=other
from ^in++++=from
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turning ^nvbg+++xvbg+=turning
away ^rp+pl+++=away
descended ^vbd+++xvbn+=descended
the ^ati++++=the
steps ^nns++++=steps
leading ^vwbg+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
garden ^nn++++=garden
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
in ^in++++=in
the ^ati++++=the
shrubbery ^nn+nom+++=shrubbery.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
moment ^nn++++=moment
later ^rbr+tm+++=later
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
seemingly ^rb++++=seemingly
from ^in++++=from
a ^at++++=a
great ^jj+atrb+++=great
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fine ^jj+atrb+++=fine
clear ^jj+atrb+++=clear
voice ^nn++++=voice
in ^in++++=in
a ^at++++=a
barbaric ^jj+atrb+++=barbaric
chant ^nn++++=chant,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
as ^ql++++=as
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
brought ^vbd+++xvbn+=brought
before ^in++++=before
some ^dti++++=some
inner ^jjb+atrb+++=inner
spiritual ^jj+atrb+++=spiritual
sense ^nn++++=sense
a ^at++++=a
consciousness ^nns+nom+++=consciousness
of ^in++++=of
some ^dti++++=some
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
strange ^jj+atrb+++=strange
land ^nn++++=land
peopled ^vbd+++xvbn+=peopled
with ^in++++=with
beings ^nns++++=beings
having ^xvbg+++xvbg+=having
forbidden ^xvbn+++xvbn+=forbidden
powers ^nns++++=powers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
held ^vbd+vprv++xvbn+=held
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
spell ^nn++++=spell,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
away ^rp+pl+++=away
I ^pp1a+pp1+++=I
recovered ^vbd+++xvbnx+=recovered
and ^cc++++=and
instantly ^rb+tm+++=instantly
perceived ^vbd+vprv++xvbn+=perceived
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
an ^at++++=an
opportunity ^nn+nom+++=opportunity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
shadow ^nn++++=shadow
to ^to++++=to
where ^wrb+who+++=where
the ^ati++++=the
girl ^nn++++=girl
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
stared ^vbd+++xvbn+=stared
at ^rb++++=at
me ^pp1o+pp1+++=me
with ^in++++=with
something ^pn++++=something
of ^in++++=of
the ^ati++++=the
look ^nn++++=look,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
hunted ^jj+atrb++xvbn+=hunted
hare ^nn++++=hare.
. ^zz++++=EXTRAWORD
Possibly ^rb++++=Possibly
my ^pp$+pp1+++=my
intrusion ^nn++++=intrusion
had ^vbd+hvd+aux++=had
frightened ^vprf+++xvbnx+=frightened
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Maynard ^np++++=Maynard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
you ^pp2+pp2+++=you
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
who ^whp+who+++=who
that ^dt+dem+++=that
man ^nn++++=man
is ^vbz+bez+vrb++=is
and ^cc++++=and
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
his ^pp$+pp3+++=his
power ^nn++++=power
over ^in++++=over
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
rude ^jj+pred+++=rude
in ^in++++=in
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
matter ^nn++++=matter
for ^in++++=for
idle ^jj+atrb+++=idle
civilities ^nns+nom+++=civilities.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
woman ^nn++++=woman
is ^vbz+bez+vrb++=is
in ^in++++=in
danger ^nn++++=danger
any ^dti++++=any
man ^nn++++=man
has ^vbz+hvz+vrb++=has
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
act ^vb++++=act."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
listened ^vbd+++xvbnx+=listened
without ^in++++=without
visible ^jj+atrb+++=visible
emotion ^nn+nom+++=emotion--almost
-- ^--+clp+++=EXTRAWORD
almost ^rb+hdg+++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
without ^in++++=without
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
she ^pp3a+pp3+++=she
closed ^vbd+++xvbnx+=closed
her ^pp3o+pp3+++=her
big ^jj+atrb+++=big
blue ^nn++++=blue
eyes ^nns++++=eyes
as ^cs+sub+++=as
if ^cs+cnd+++=if
unspeakably ^jj++++=unspeakably
weary ^jj++++=weary.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do
nothing ^pn++++=nothing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
hold ^nn++++=hold
of ^in++++=of
her ^pp$+pp3+++=her
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
gently ^rb++++=gently
shaking ^jj+++xvbg+=shaking
her ^pp3o+pp3+++=her
as ^ql++++=as
one ^cd1++++=one
shakes ^vbz++++=shakes
a ^at++++=a
person ^nn++++=person
falling ^vwbg+++xvbg+=falling
into ^in++++=into
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
rouse ^vb++++=rouse
yourself ^ppl+pp2+++=yourself,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="something
something ^pn++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
and ^cc++++=and
you ^pp2+pp2+++=you
must ^md+nec+++=must
give ^vb++++=give
me ^pp1o+pp1+++=me
leave ^vb++++=leave
to ^in++++=to
act ^nn++++=act.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
that ^dt+dem+++=that
man ^nn++++=man
killed ^vbd+++xvbn+=killed
your ^pp$+pp2+++=your
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
kill ^vb++++=kill
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
that ^tht+vcmp+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
merely ^rb+down+++=merely
raised ^jj+++xvbn+=raised
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
to ^in++++=to
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
tell ^vb++++=tell
me ^pp1o+pp1+++=me
all ^abn++++=all?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you--nothing.
-- ^--+clp+++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+vrb++=do
anything ^pn++++=anything
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
matter ^nn++++=matter
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
here ^rn+pl+++=here
only ^rb+down+++=only
two ^cd++++=two
days ^nns++++=days
more ^ql++++=more;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
go ^vb++++=go
away ^rp+pl+++=away
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
observed ^vprf++tht0+xvbnx+=observed
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
you ^pp2+pp2+++=you
to ^to++++=to
be ^vbi++vrb++=be
silent ^jj+pred+++=silent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
by ^in++++=by
rough ^jj+atrb+++=rough
speech ^nn++++=speech
to ^to++++=to
break ^vbi++++=break
the ^ati++++=the
deadly ^jj+atrb+++=deadly
repose ^nn++++=repose
of ^in++++=of
