Sailormen ^np+++??+=Sailormen
idden ^vb+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
somewhere ^rb++++=somewhere
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
' ^zz++++='owever,
owever ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
our ^pp$+pp1+++=our
being ^vbg+beg++xvbg+=being
short- ^nn+++??+=short-'anded,
'anded, ^nn+++??+=EXTRAWORD
Jimmy ^np++++=Jimmy
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
for ^in++++=for'ard
'ard ^nn+++??+=EXTRAWORD
to ^in++++=to
work ^nn++++=work
as ^in++++=as
ordinary ^jj+atrb+++=ordinary
seaman ^nn++++=seaman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
noticeable ^jj+pred+++=noticeable
the ^ati++++=the
way ^nn++++=way
' ^zz++++='e
e ^zz++++=EXTRAWORD
avoided ^vbd+++xvbn+=avoided
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
one ^cd1++++=one
day ^nn++++=day
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
' ^zz++++='im
im ^&fw++++=EXTRAWORD
alone ^rb++++=alone
down ^rp++++=down
the ^ati++++=the
fo ^nn+++??+=fo'c'sle,
'c'sle, ^nn+++??+=EXTRAWORD
and ^cc++++=and
Bill ^nn++++=Bill
put ^vbd+++xvbn+=put
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
arm ^nn++++=arm
round ^in++++=round
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
got ^vbd+++xvbn+=got
im ^&fw++++=im
on ^in++++=on
the ^ati++++=the
locker ^jjr++++=locker
and ^cc+phrs+++=and
asked ^jj+++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
straight ^jj++++=straight
out ^rp+pl+++=out
where ^wrb+who+++=where
the ^ati++++=the
money ^nn++++=money
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
chucked ^vbd+++xvbnx+=chucked
it ^pp3+it+++=it
overboard ^rb+cnj+++=overboard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
so ^rb++++=so
afore ^in+strn+++=afore.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
memory ^nn++++=memory
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
picked ^vbd+++xvbn+=picked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
up ^rp++++=up
and ^cc++++=and
laid ^vbd+++xvbn+=laid
' ^zz++++='im
im ^&fw++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
locker ^jjr++++=locker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
searched ^vbd+++xvbn+=searched
' ^zz++++='im
im ^&fw++++=EXTRAWORD
thoroughly ^rb+amp+++=thoroughly.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
even ^rb++++=even
took ^vbd+++xvbn+=took
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
boots ^nns++++=boots
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
another ^dt++++=another
look ^vb++++=look
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk
while ^cs+sub+++=while
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
putting ^vbg+++xvbgx+=putting
them ^pp3o+pp3+++0='em
on ^in++++=on
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
innercent ^jj+pred+++=innercent,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
call ^vb++++=call
out? ^nn+++??+=out?--eh?"
-- ^--+clp+++=EXTRAWORD
eh ^uh++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
not ^xnot++not++=not
to ^to++++=to
say ^vbi+vpub+++=say
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
next ^rb++++=next
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Loud ^jj++++=Loud,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
' ^zz++++='ere,"
ere ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
tell ^vb++++=tell
us ^pp1o+pp1+++=us
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
shares ^nns++++=shares
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
two ^cd++++=two
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
pounds ^nns++++=pounds
each ^dt++++=each,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
yours ^pp$$++++=yours
changed ^vbd+++xvbn+=changed
without ^in++++=without
getting ^nn++++=getting
caught ^vbd+++xvbn+=caught.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+vrb++0=EXTRAWORD
cleverer ^jjr+pred+++=cleverer
than ^in++++=than
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
good ^jj++++=good
me ^pp1o+pp1+++=me
telling ^vbg+nom++xvbg+=telling
you ^pp2+pp2+++=you
lies ^vbz++++=lies.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
chucked ^vbd+++xvbnx+=chucked
it ^pp3+it+++=it
overboard ^rb+pl+++=overboard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
the ^ati++++=the
skipper ^nn++++=skipper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
' ^zz++++='im,"
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
searched ^vpsv++agls+xvbnx+=searched
arter ^jjr++++=arter
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
stepped ^vprf+++xvbnx+=stepped
ashore ^rb+cnj+++=ashore,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
allowed ^vpsv++agls+xvbnx+=allowed
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
lose ^vb++++=lose
it ^pp3+it+++=it
all ^rb++++=all
by ^in++++=by
being ^xvbg+++xvbg+=being
greedy ^jj++++=greedy,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
go ^vb++++=go
shares ^nns++++=shares
with ^in++++=with
us ^pp1o+pp1+++=us
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
two ^cd++++=two
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
as ^in++++=as
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
thought ^nn+++xvbn+=thought
of ^in++++0=o'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
try ^vb++++=try
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
would ^md+prd+++=would
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='ide
ide ^nn+++??+=EXTRAWORD
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
feelin ^nn+++??+=feelin's.
's. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
Bill ^np++++=Bill
a ^at++++=a
red ^jj++++=red-nosed
- ^zz++++=EXTRAWORD
nosed ^vbd+++xvbn+=EXTRAWORD
shark ^nn+++??+=shark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
somethin ^nn+++??+=somethin'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="Think
think ^vb+vprv+++=EXTRAWORD
it ^pp3+it+++=it
over ^rb+cnj+++=over,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill;
; ^zz++++=EXTRAWORD
" ^zz++++="mind,
mind ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
collared ^vpsv++agls+xvbnx+=collared
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
left ^vprf+++xvbnx+=left
the ^ati++++=the
gangway ^nn++++=gangway
and ^cc++++=and
searched ^vpsv++by+xvbn+=searched
by ^in++++=by
the ^ati++++=the
police ^nns++++=police."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
will ^md+prd+++=will
they ^pp3a+pp3+++=they
tickle ^vb+++??+=tickle
the ^ati++++=the
cook ^nn++++=cook
too ^ql++++=too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
savagely ^rb++++=savagely.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
prison ^nn++++=prison,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
clump ^nn++++=clump
of ^in++++0=o'
the ^ati++++=the
side ^nn++++=side
of ^in++++0=o'
the ^ati++++=the
' ^zz++++='ead,
ead ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
nice ^jj++++=nice,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
looked ^vbd+++xvbn+=looked
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
steps ^nns++++=steps
to ^in++++=to
the ^ati++++=the
ladder ^nn++++=ladder.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
talk ^vb++++=talk
to ^in++++=to
you ^pp2+pp2+++=you
any ^dti++++=any
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
the ^ati++++=the
skipper ^nn++++=skipper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
up ^rp++++=up
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
reached ^vprf+++xvbn+=reached
the ^ati++++=the
deck ^nn++++=deck
Jimmy ^np++++=Jimmy
started ^vbd+++xvbn+=started
up ^rp++++=up
and ^cc++++=and
called ^vbd+++xvbn+=called
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
pretended ^vbd+vprv++xvbn+=pretended
not ^xnot++not++=not
to ^to++++=to
' ^zz++++='ear,
ear ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
boy ^nn++++=boy
ran ^vbd+++xvbn+=ran
up ^rp++++=up
on ^in++++=on
deck ^nn++++=deck
and ^cc++++=and
follered ^jj+++xvbn+=follered
' ^zz++++='im;
im ^&fw++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
both ^abx++++=both
came ^vbd+++xvbn+=came
down ^in++++=down
again ^rb+tm+++=again
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
speak ^vbi++++=speak
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lad ^nn++++=lad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
' ^zz++++='olding
olding ^jj+++xvbg+=EXTRAWORD
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
' ^zz++++='ead
ead ^nn+++??+=EXTRAWORD
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
fiddling ^vbg+nom++xvbg+=fiddling
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
fingers ^nns+nom+++=fingers;
; ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
keep ^vb++++=keep
your ^pp$+pp2+++=your
ugly ^jj+atrb+++=ugly
mouth ^nn++++=mouth
shut ^vbd+++xvbn+=shut,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
shares ^nns++++=shares."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ho!"
ho ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
throwed ^vbd+++xvbn+=throwed
it ^pp3+it+++=it
overboard ^rb+pl+++=overboard!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
so ^ql++++=so,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
below ^in+pl+++=below
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
in ^in++++=in
my ^pp$+pp1+++=my
trousers ^nns+nom+++=trousers
pocket ^nn++++=pocket."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
me ^pp1o+pp1+++=me
all ^abn++++=all
my ^pp$+pp1+++=my
time ^nn++++=time
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
trust ^vb+vprv+++=trust
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
trust ^vb+vprv+++=trust
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
minute ^nn++++=minute,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
to ^in++++=to
the ^ati++++=the
ladder ^nn++++=ladder
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
off ^in+pl+++=off
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
it ^pp3+it+++=it
in ^in++++=in
my ^pp$+pp1+++=my
' ^zz++++='ands,
ands ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
my ^pp$+pp1+++=my
share ^nn++++=share
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
share ^vb++++=share
it ^pp3+it+++=it
out ^rp+pl+++=out
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
' ^zz++++='aven't
ave ^nn+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Jimmy ^np++++=Jimmy,
, ^zz++++=EXTRAWORD
stamping ^nvbg+++xvbg+=stamping
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
" ^zz++++="that's
