High ^jj++++=High
flew ^vbd+++xvbnx+=flew
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
bath ^nn++++=bath.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
remarkable ^jj+atrb+++=remarkable
phenomenon ^nn++++=phenomenon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Professor ^nn++++=Professor
of ^in++++=of
Ornithology ^np+++??+=Ornithology
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing
over ^rb+phrv+++=over
the ^ati++++=the
bridge ^nn++++=bridge.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
swallow ^nn++++=swallow
in ^in++++=in
winter ^nn++++=winter!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
wrote ^vbd+vprv++xvbnx+=wrote
a ^at++++=a
long ^jj+atrb+++=long
letter ^nn++++=letter
about ^in++++=about
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
local ^jj+atrb+++=local
newspaper ^nn+nom+++=newspaper.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
quoted ^vbd+++xvbn+=quoted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
so ^ql++++=so
many ^ap++++=many
words ^nns++++=words
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
" ^zz++++="To-night
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
to ^in++++=to
Egypt ^np++++=Egypt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
high ^jj+atrb+++=high
spirits ^nns++++=spirits
at ^in++++=at
the ^ati++++=the
prospect ^nn++++=prospect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
visited ^vbd+++xvbnx+=visited
all ^abn++++=all
the ^ati++++=the
public ^jj+atrb+++=public
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
on ^in++++=on
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
church ^npl++++=church
steeple ^nn++++=steeple.
. ^zz++++=EXTRAWORD
Wherever ^nn+nom+++=Wherever
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
the ^ati++++=the
Sparrows ^nns++++=Sparrows
chirruped ^vbd+++xvbn+=chirruped,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
distinguished ^jj+++xvbn+=distinguished
stranger ^jjr++++=stranger!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
enjoyed ^vbd+++xvbnx+=enjoyed
himself ^ppl+pp3+++=himself
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
moon ^np++++=moon
rose ^vbd+++xvbn+=rose
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
commissions ^nns++++=commissions
for ^in++++=for
Egypt ^np++++=Egypt?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
just ^rb+emph+splt++=just
starting ^vbg+++xvbgx+=starting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
stay ^vb++++=stay
with ^in++++=with
me ^pp1o+pp1+++=me
one ^cd1++++=one
night ^nn++++=night
longer ^rbr++++=longer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
waited ^vpsv++agls+xvbnx+=waited
for ^in++++=for
in ^in++++=in
Egypt ^np++++=Egypt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Swallow ^nn++++=Swallow.
. ^zz++++=EXTRAWORD
" ^zz++++="To-morrow
tomorrow ^nr+tm+++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends
will ^md+prd+++=will
fly ^vb++++=fly
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
Second ^od++++=Second
Cataract ^np+++??+=Cataract.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river-horse
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
couches ^nns++++=couches
there ^rn+pl+++=there
among ^in++++=among
the ^ati++++=the
bulrushes ^nns+++??+=bulrushes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
a ^at++++=a
great ^jj+atrb+++=great
granite ^nn++++=granite
throne ^nn++++=throne
sits ^vbz++++=sits
the ^ati++++=the
God ^np++++=God
Memnon ^np+++??+=Memnon.
. ^zz++++=EXTRAWORD
All ^abn++++=All
night ^nn++++=night
long ^rb++++=long
he ^pp3a+pp3+++=he
watches ^vbz++++=watches
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
morning ^nn++++=morning
star ^nn++++=star
shines ^vbz++++=shines
he ^pp3a+pp3+++=he
utters ^nn++++=utters
one ^cd1++++=one
cry ^nn++++=cry
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
the ^ati++++=the
yellow ^jj+atrb+++=yellow
lions ^nns++++=lions
come ^vprf+++xvbn+=come
down ^rb+phrv+++=down
to ^in+ppvb+++=to
the ^ati++++=the
water ^nn++++=water's
's ^$++++=EXTRAWORD
edge ^nn++++=edge
to ^to++++=to
drink ^vbi++++=drink.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
eyes ^nns++++=eyes
like ^in++++=like
green ^nn++++=green
beryls ^nns+++??+=beryls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
roar ^nn++++=roar
is ^vbz+bez+vrb++=is
louder ^jjr+pred+++=louder
than ^in++++=than
the ^ati++++=the
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
cataract ^nn++++=cataract.
. ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="far
far ^rb+pl+++=EXTRAWORD
away ^rp+pl+++=away
across ^in+pl+++=across
the ^ati++++=the
city ^nn++++=city
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
in ^in++++=in
a ^at++++=a
garret ^nn+++??+=garret.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
leaning ^vbg+++xvbgx+=leaning
over ^in++++=over
a ^at++++=a
desk ^nn++++=desk
covered ^vbd+++xvbn+=covered
with ^in++++=with
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
tumbler ^nn++++=tumbler
by ^in++++=by
his ^pp$+pp3+++=his
side ^nn++++=side
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
withered ^jj+atrb++xvbn+=withered
violets ^nns+nom+++=violets.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
is ^vbz+bez+vrb++=is
brown ^jj+pred+++=brown
and ^cc+phrs+++=and
crisp ^jj++++=crisp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
lips ^nns++++=lips
are ^vb+ber+vrb++=are
red ^jj+pred+++=red
as ^ql++++=as
a ^at++++=a
pomegranate ^nn+nom+++=pomegranate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
large ^jj+atrb+++=large
and ^cc+phrs+++=and
dreamy ^jj+atrb+++=dreamy
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
finish ^vbi++++=finish
a ^at++++=a
play ^nn++++=play
for ^in++++=for
the ^ati++++=the
Director ^nn++++=Director
of ^in++++=of
the ^ati++++=the
Theatre ^nn++++=Theatre,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
too ^ql++++=too
cold ^jj++++=cold
to ^to++++=to
write ^vbi++++=write
any ^dti++++=any
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
fire ^nn++++=fire
in ^in++++=in
the ^ati++++=the
grate ^nn++++=grate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hunger ^nn++++=hunger
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
faint ^jj++++=faint."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
wait ^vb++++=wait
with ^in++++=with
you ^pp2+pp2+++=you
one ^cd1++++=one
night ^nn++++=night
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
really ^rb+emph+++=really
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
him ^pp3o+pp3+++=him
another ^ppls++++=another
ruby ^np++++=ruby?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Alas!
alas ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
ruby ^np++++=ruby
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince;
; ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
eyes ^nns++++=eyes
are ^vb+ber+vrb++=are
all ^abn++++=all
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
rare ^jj+atrb+++=rare
sapphires ^nns+++??+=sapphires,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
out ^rb+phrv+++=out
of ^in++++=of
India ^np++++=India
a ^at++++=a
thousand ^cd++++=thousand
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Pluck ^np+++??+=Pluck
out ^rp+pl+++=out
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
and ^cc++++=and
take ^vb++++=take
it ^pp3+it+++=it
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
sell ^vb++++=sell
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
jeweller ^jjr++++=jeweller,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buy ^vb++++=buy
food ^nn++++=food
and ^cc++++=and
firewood ^nn+++??+=firewood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finish ^vb++++=finish
his ^pp$+pp3+++=his
play ^nn++++=play."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^uh++++=EXTRAWORD
Prince ^nn++++=Prince,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
do ^vb+do+vrb++=do
that ^cs+sub+++=that";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
weep ^vbi++++=weep.
. ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+vrb++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
command ^nn++++=command
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Swallow ^nn++++=Swallow
plucked ^vbd+++xvbn+=plucked
out ^rp+pl+++=out
the ^ati++++=the
Prince ^np++++=Prince's
's ^$++++=EXTRAWORD
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flew ^vbd+++xvbn+=flew
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
student ^nn++++=student's
's ^$++++=EXTRAWORD
garret ^nn+++??+=garret.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
easy ^jj+pred+++=easy
enough ^qlp++++=enough
to ^to++++=to
get ^vbi++++=get
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
darted ^vbd+++xvbnx+=darted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
head ^jjb++++=head
buried ^jj+++xvbn+=buried
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear
the ^ati++++=the
flutter ^nn++++=flutter
of ^in++++=of
the ^ati++++=the
bird ^nn++++=bird's
's ^$++++=EXTRAWORD
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
sapphire ^nn++++=sapphire
lying ^vwbg+++xvbg+=lying
on ^in++++=on
the ^ati++++=the
withered ^jj+atrb++xvbn+=withered
violets ^nns+nom+++=violets.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
be ^vbi+vbi+aux++=be
appreciated ^vpsv++agls+xvbnx+=appreciated,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="this
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
from ^in++++=from
some ^dti++++=some
great ^jj+atrb+++=great
admirer ^nn++++=admirer.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
can ^md+pos+++=can
finish ^vb++++=finish
my ^pp$+pp1+++=my
play ^nn++++=play,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
quite ^rb++++=quite
happy ^jj++++=happy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
the ^ati++++=the
Swallow ^nn++++=Swallow
flew ^vbd+++xvbn+=flew
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
harbour ^nn++++=harbour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
on ^in++++=on
the ^ati++++=the
mast ^nn++++=mast
of ^in++++=of
a ^at++++=a
large ^jj+atrb+++=large
vessel ^nn++++=vessel
and ^cc++++=and
watched ^vbd+++xvbn+=watched
the ^ati++++=the
sailors ^nns++++=sailors
hauling ^nn+nom+++=hauling
big ^jj+atrb+++=big
chests ^nns++++=chests
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
hold ^nn++++=hold
with ^in++++=with
ropes ^nns++++=ropes.
. ^zz++++=EXTRAWORD
" ^zz++++="Heave
heave ^nn++++=EXTRAWORD
a ^at++++=a-hoy!"
- ^zz++++=EXTRAWORD
hoy ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
shouted ^vbd+vpub++xvbnx+=shouted
as ^ql++++=as
each ^dt++++=each
chest ^nn++++=chest
came ^vbd+++xvbn+=came
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
to ^in++++=to
Egypt ^np++++=Egypt"!
" ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nobody ^pn++++=nobody
minded ^vbd+++xvbn+=minded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
moon ^np++++=moon
rose ^vbd+++xvbn+=rose
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
come ^vprf+++xvbn+=come
to ^to++++=to
bid ^vbi++++=bid
you ^pp2+pp2+++=you
good ^jj++++=good-bye,"
- ^zz++++=EXTRAWORD
bye ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Swallow,
swallow ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Swallow ^vb++++=Swallow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
stay ^vb++++=stay
with ^in++++=with
me ^pp1o+pp1+++=me
one ^cd1++++=one
night ^nn++++=night
longer ^rbr++++=longer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
winter ^nn++++=winter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
the ^ati++++=the
chill ^vb++++=chill
snow ^nn++++=snow
will ^md+prd+++=will
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
In ^in++++=In
Egypt ^np++++=Egypt
the ^ati++++=the
sun ^nn++++=sun
is ^vbz+bez+vrb++=is
warm ^jj+pred+++=warm
on ^in++++=on
the ^ati++++=the
green ^jj+atrb+++=green
palm ^nn++++=palm-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
crocodiles ^nns++++=crocodiles
lie ^vb++++=lie
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud
and ^cc++++=and
look ^nn++++=look
lazily ^rb++++=lazily
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
companions ^nns++++=companions
are ^vb+ber+aux++=are
building ^vbg+++xvbgx+=building
a ^at++++=a
nest ^nn++++=nest
in ^in++++=in
the ^ati++++=the
Temple ^nn++++=Temple
of ^in++++=of
Baalbec ^np+++??+=Baalbec,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pink ^nn++++=pink
and ^cc++++=and
white ^jj+atrb+++=white
doves ^nns++++=doves
are ^vb+ber+aux++=are
watching ^vbg+++xvbgx+=watching
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cooing ^nn++++=cooing
to ^in++++=to
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Dear ^uh++++=Dear
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
leave ^vb++++=leave
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
never ^rb++splt++=never
forget ^vb+vprv+tht0++=forget
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
next ^ap++++=next
spring ^vb++++=spring
I ^pp1a+pp1+++=I
will ^md+prd+++=will
bring ^vb++++=bring
you ^pp2+pp2+++=you
back ^jjb+atrb+++=back
two ^cd++++=two
beautiful ^jj+atrb+++=beautiful
jewels ^nns++++=jewels
in ^in++++=in
place ^in"++++=place
of ^in"++++=of
those ^dt+dem+++=those
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ruby ^np++++=ruby
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
redder ^jjr+pred+++=redder
than ^in++++=than
a ^at++++=a
red ^jj+atrb+++=red
rose ^nn+++xvbn+=rose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sapphire ^nn++++=sapphire
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
as ^ql++++=as
blue ^np++++=blue
as ^ql++++=as
the ^ati++++=the
great ^jj+atrb+++=great
sea ^nn++++=sea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
the ^ati++++=the
square ^nn++++=square
below ^rb++++=below,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
stands ^vbz++++=stands
a ^rb++++=a
little ^rb"++++=little
match ^nn++++=match-girl.
- ^zz++++=EXTRAWORD
girl ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=has
let ^vprf+++xvbnx+=let
her ^pp$+pp3+++=her
matches ^vbz++++=matches
fall ^nn++++=fall
in ^in++++=in
the ^ati++++=the
gutter ^nn++++=gutter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
all ^abn++++=all
spoiled ^jj+++xvbn+=spoiled.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
will ^md+prd+++=will
beat ^vb+++xvbn+=beat
her ^pp3o+pp3+++=her
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
does ^vbz+doz+aux++=does
not ^xnot++not++=not
bring ^vb++++=bring
home ^nr++++=home
some ^dti++++=some
money ^nn++++=money,
, ^zz++++=EXTRAWORD
