Of ^in+emph+++=Of
i ^pp1a+pp1+++=EXTRAWORD
really ^rb+emph+++=really
must ^md+nec+++=must
conquer ^vb++++=conquer
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
absurd ^jj++++=absurd,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^vb++++=love
to ^to+vcmp+++=to
hear ^vbi+vprv+tht0++=hear
you ^pp2+pp2+++=you
laughing ^nvbg+++xvbg+=laughing!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
imagine ^vb+vprv+++=imagine
anything ^pn++++=anything
more ^ql++++=more--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
truth ^nn++++=truth
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
both ^abx++++=both
knew ^vbd+vprv+tht0+xvbn+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
always ^rb++++=always
laughing ^nvbg+++xvbg+=laughing;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
a ^at++++=a
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
ever ^rb++++=ever
since ^cs+sub+++=since
the ^ati++++=the
day ^nn++++=day
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
met ^vprf+++xvbnx+=met,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
since ^in++++=since
that ^dt+dem+++=that
very ^ql+amp+++=very
first ^rb++++=first
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
strange ^jj+atrb+++=strange
reason ^nn++++=reason
that ^tht+ncmp+++=that
Reggie ^np+++??+=Reggie
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
God ^vb++++=God
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne
had ^vbd+hvd+aux++=had
laughed ^vprf+++xvbnx+=laughed
at ^in+ppvb+++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
or ^cc+cls+++=or
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
might ^md+pos+++=might
begin ^vb++++=begin
by ^in++++=by
being ^xvbg+++xvbg+=being
as ^ql++++=as
serious ^jj++++=serious
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
dead ^jj++++=dead
serious ^jj++++=serious
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
concerned ^vpsv++agls+xvbnx+=concerned
but ^cc++++=but
then ^rn+tm+++=then
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
a ^at++++=a
sentence ^nn+nom+++=sentence,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne
would ^md+prd+++=would
glance ^vb++++=glance
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
quick ^jj+atrb+++=quick
quiver ^nn++++=quiver
passed ^vbd+++xvbn+=passed
over ^rb+phrv+++=over
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lips ^nns++++=lips
parted ^vbd+++xvbn+=parted,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
danced ^vbd+++xvbn+=danced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
laughing ^nvbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
queer ^jj+atrb+++=queer
thing ^nn++++=thing
about ^in++++=about
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
had ^vb+hv+vrb++=had
an ^at++++=an
idea ^nn++++=idea
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
herself ^ppl+pp3+++=herself
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
turn ^nn++++=turn
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
frown ^nn++++=frown,
, ^zz++++=EXTRAWORD
suck ^vb++++=suck
in ^in++++=in
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
press ^nn++++=press
her ^pp3o+pp3+++=her
hands ^nns++++=hands
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
soft ^jj+atrb+++=soft
peal ^nn++++=peal
sounded ^vbd+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
even ^rb++++=even
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
laughing ^vbg+++xvbgx+=laughing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
mystery ^nn+nom+++=mystery
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
tucked ^vbd+++xvbnx+=tucked
the ^ati++++=the
handkerchief ^nn++++=handkerchief
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
sit ^vb++++=sit
down ^rb+cnj+++=down,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
cigarettes ^nns+nom+++=cigarettes
in ^cs+sub+++=in
that ^cs"++++=that
little ^jj+atrb+++=little
box ^nn++++=box
beside ^in+pl+++=beside
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
one ^cd1++++=one
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lighted ^vbd+++xvbnx+=lighted
a ^at++++=a
match ^nn++++=match
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
she ^pp3a+pp3+++=she
bent ^vbd+++xvbnx+=bent
forward ^rb++++=forward
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
tiny ^jj+atrb+++=tiny
flame ^nn++++=flame
glow ^nn++++=glow
in ^in++++=in
the ^ati++++=the
pearl ^nn++++=pearl
ring ^nn++++=ring
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
tomorrow ^nr+tm+++=to-morrow
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tomorrow ^nr+tm+++=to-morrow
as ^in++++=as
ever ^rb++++=ever
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
blew ^vbd+++xvbnx+=blew
a ^rb++++=a
little ^rb"++++=little
fan ^nn++++=fan
of ^in++++=of
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
on ^in++++=on
earth ^nn++++=earth
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
so ^rb+emph+++=so
nervous ^jj++++=nervous?
? ^zz++++=EXTRAWORD
Nervous ^jj++++=Nervous
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
word ^nn++++=word
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
frightfully ^rb++++=frightfully
hard ^jj++++=hard
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes
yes ^uh++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
leaned ^vbd+++xvbnx+=leaned
forward ^rb++++=forward
and ^cc++++=and
rolled ^vbd+++xvbn+=rolled
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
her ^pp$+pp3+++=her
cigarette ^nn+nom+++=cigarette
round ^in++++=round
the ^ati++++=the
green ^jj+atrb+++=green
ash ^nn++++=ash-tray.
- ^zz++++=EXTRAWORD
tray ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
beautiful ^jj++++=beautiful
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
like ^in++++=like
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
simply ^rb++++=simply
beautiful ^jj++++=beautiful
and ^cc++++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
small ^jj++++=small
in ^cs+sub+++=in
that ^cs"++++=that
immense ^jj+atrb+++=immense
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
swelled ^vbd+++xvbn+=swelled
with ^in++++=with
tenderness ^nns+nom+++=tenderness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
soft ^jj+atrb+++=soft
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
tremble ^vb++++=tremble.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+tht0++=feel
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
here ^rn+pl+++=here
for ^in++++=for
years ^nns++++=years,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald
took ^vbd+++xvbn+=took
a ^at++++=a
deep ^jj+atrb+++=deep
breath ^nn++++=breath
of ^in++++=of
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
ghastly ^jj++++=ghastly,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
idea ^nn++++=idea
of ^in++++=of
going ^xvbg+++xvbg+=going
back ^jjb++++=back,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Coo-roo-coo-coo-coo,"
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
roo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded
from ^in++++=from
the ^ati++++=the
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
fond ^jj+pred+++=fond
of ^in++++=of
being ^xvbg+++xvbg+=being
out ^rp+pl+++=out
there ^ex+pex+++=there,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anne ^np++++=Anne.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hooked ^vbd+++xvbnx+=hooked
her ^pp$+pp3+++=her
finger ^nn++++=finger
through ^rp++++=through
her ^pp3o+pp3+++=her
pearl ^nn++++=pearl
necklace ^nn++++=necklace.
. ^zz++++=EXTRAWORD
" ^zz++++="Father
father ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
only ^rb+down+++=only
the ^ati++++=the
other ^ap++++=other
night ^nn++++=night
how ^wrb+who+++=how
lucky ^jj++++=lucky
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
have ^vbi++vrb++=have
a ^at++++=a
life ^nn++++=life
of ^in++++=of
your ^pp$+pp2+++=your
own ^ap++++=own."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald's
's ^$++++=EXTRAWORD
smile ^nn++++=smile
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
wan ^jj+pred+++=wan.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
feel ^vb+vprv+++=feel
fearfully ^rb++++=fearfully
lucky ^jj++++=lucky,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
lightly ^rb++++=lightly.
. ^zz++++=EXTRAWORD
" ^zz++++="Roo-coo-coo-coo,"
roo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Anne ^np++++=Anne
murmured ^vbd+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
mean ^vb+vprv+tht0++=mean
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
lonely ^jj++++=lonely."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
loneliness ^nns+nom+++=loneliness
I ^pp1a+pp1+++=I
care ^nn++++=care
about ^in+strn+++=about,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reginald ^np++++=Reginald,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stumped ^vbd+++xvbnx+=stumped
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette
savagely ^rb++++=savagely
on ^in++++=on
the ^ati++++=the
green ^jj+atrb+++=green
ash ^nn++++=ash-tray.
- ^zz++++=EXTRAWORD
tray ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
stand ^vb++++=stand
any ^dti++++=any
amount ^nn++++=amount
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
like ^vb++++=like
it ^pp3+it+++=it
even ^rb++++=even.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
of ^in+strn+++=of--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Suddenly ^rb+cnj+++=Suddenly,
, ^zz++++=EXTRAWORD
to ^in++++=to
his ^pp$+pp3+++=his
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
himself ^ppl+pp3+++=himself
blushing ^vbg+++xvbg+=blushing.
. ^zz++++=EXTRAWORD
" ^zz++++="Roo-coo-coo-coo!
roo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Roo ^np+++??+=Roo-coo-coo-coo!"
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
coo ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
jumped ^vbd+++xvbn+=jumped
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
say ^vb+vpub+++=say
good ^jj++++=good-bye
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
doves ^nns++++=doves,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="They've
they ^pp3a+pp3+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
moved ^vpsv++agls+xvbnx+=moved
to ^in++++=to
the ^ati++++=the
side ^nn++++=side
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+vrb++=do
like ^in++++=like
doves ^nns++++=doves,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Awfully,"
awfully ^ql++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
so ^ql++++=so
fervently ^rb++++=fervently
that ^cs+sub+++=that
as ^ql++++=as
he ^pp3a+pp3+++=he
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
French ^jj+atrb+++=French
window ^nn++++=window
for ^in++++=for
her ^pp$+pp3+++=her
and ^cc++++=and
stood ^vbd+++xvbn+=stood
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne
ran ^vbd+++xvbn+=ran
forward ^rb++++=forward
and ^cc++++=and
laughed ^vpsv++agls+xvbn+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
doves ^nns++++=doves
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
To ^to++++=To
and ^cc++++=and
fro ^rb+cnj+++=fro,
, ^zz++++=EXTRAWORD
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
over ^in++++=over
the ^ati++++=the
fine ^jj+atrb+++=fine
red ^jj+atrb+++=red
sand ^nn++++=sand
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
dove ^np++++=dove
house ^npl++++=house,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
the ^ati++++=the
two ^cd++++=two
doves ^nns++++=doves.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
always ^rb++++=always
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
ran ^vbd+++xvbn+=ran
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
uttering ^vbg+++xvbg+=uttering
a ^rb++++=a
little ^rb"++++=little
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
followed ^jj+++xvbn+=followed,
, ^zz++++=EXTRAWORD
solemnly ^rb++++=solemnly
bowing ^vbg+++xvbg+=bowing
and ^cc+phrs+++=and
bowing ^vbg+++xvbg+=bowing.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Anne ^np++++=Anne,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looks ^nns++++=looks
at ^rb++++=at
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove
and ^cc++++=and
gives ^vbz++++=gives
that ^dt+dem+++=that
little ^ap++++=little
laugh ^nn++++=laugh
and ^cc++++=and
runs ^vbz++++=runs
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
follows ^vbz+vprv+tht0++=follows
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
and ^cc+phrs+++=and
bowing ^vbg+++xvbg+=bowing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
makes ^vbz++++=makes
her ^pp$+pp3+++=her
laugh ^nn++++=laugh
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Away ^rp+pl+++=Away
she ^pp3a+pp3+++=she
runs ^vbz++++=runs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Anne ^np++++=Anne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
back ^jjb++++=back
on ^in++++=on
her ^pp$+pp3+++=her
heels ^nns++++=heels,
, ^zz++++=EXTRAWORD
" ^zz++++="comes
comes ^vbz++++=EXTRAWORD
poor ^jj+atrb+++=poor
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Dove ^np++++=Dove,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
and ^cc+phrs+++=and
bowing ^vbg+++xvbg+=bowing
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
their ^pp$+pp3+++=their
whole ^jj+atrb+++=whole
life ^nn++++=life.
. ^zz++++=EXTRAWORD
