[ ^zz++++=[This
. ^zz++++=EXTRAWORD
The ^ati++++=The
precious ^jj+atrb+++=precious
metals ^nns++++=metals
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
diamonds ^nns++++=diamonds
glitter ^nn++++=glitter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men's
's ^$++++=EXTRAWORD
names ^nns++++=names
resound ^nn+++??+=resound
at ^rb++++=at
my ^pp$+pp1+++=my
command ^nn++++=command.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whisper ^vb+vpub+++=whisper
in ^in++++=in
the ^ati++++=the
ears ^nns++++=ears
of ^in++++=of
women ^nns++++=women,
, ^zz++++=EXTRAWORD
of ^in++++=of
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
statesmen ^nns++++=statesmen,
, ^zz++++=EXTRAWORD
words ^nns++++=words
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
of ^in++++=of
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
of ^in++++=of
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
With ^in++++=With
Messalina ^np++++=Messalina
and ^cc++++=and
Nero ^np+++??+=Nero,
, ^zz++++=EXTRAWORD
at ^in++++=at
Paris ^np++++=Paris
and ^cc++++=and
at ^in++++=at
Babylon ^np++++=Babylon,
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
self ^nn++++=self-same
- ^zz++++=EXTRAWORD
same ^ap++++=EXTRAWORD
moment ^nn++++=moment
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
dwell ^vb++++=dwell.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
a ^at++++=a
new ^jj+atrb+++=new
island ^nn++++=island
be ^vb+be+aux++=be
discovered ^vpsv++agls+xvbnx+=discovered,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fly ^vb++++=fly
to ^in++++=to
it ^pp3+it+++=it
ere ^jj+atrb++??+=ere
man ^nn++++=man
can ^md+pos+++=can
set ^vb+++xvbn+=set
foot ^nn++++=foot
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
be ^vb+be+vrb++=be
but ^cc++++=but
a ^at++++=a
rock ^nn++++=rock
encircled ^vwbn+++xvbn+=encircled
by ^in++++=by
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
there ^rn+pl+++=there
in ^in++++=in
advance ^nn+nom+++=advance
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
will ^md+prd+++=will
dispute ^vb++++=dispute
for ^in++++=for
its ^pp$+it+++=its
possession ^nn++++=possession.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lounge ^nn++++=lounge,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
courtesan ^jj+atrb+++=courtesan's
's ^vbz+bez+vrb++0=EXTRAWORD
couch ^nn++++=couch
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
perfumed ^jj+atrb++xvbn+=perfumed
beds ^nns++++=beds
of ^in++++=of
emperors ^nns++++=emperors.
. ^zz++++=EXTRAWORD
Hatred ^nn++++=Hatred
and ^cc++++=and
envy ^nn++++=envy,
, ^zz++++=EXTRAWORD
pride ^nn++++=pride
and ^cc++++=and
wrath ^nn++++=wrath,
, ^zz++++=EXTRAWORD
pour ^&fw++++=pour
from ^in++++=from
my ^pp$+pp1+++=my
lips ^nns++++=lips
in ^in++++=in
simultaneous ^jj+atrb+++=simultaneous
utterance ^nn+nom+++=utterance.
. ^zz++++=EXTRAWORD
By ^in++++=By
night ^nn++++=night
and ^cc++++=and
day ^nn++++=day
I ^pp1a+pp1+++=I
work ^nn++++=work.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
men ^nns++++=men
ate ^vbd+++xvbn+=ate
burning ^jj+atrb++xvbg+=burning
Christians ^nn++++=Christians,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
luxuriate ^nn+nom+++=luxuriate
voluptuously ^jj++++=voluptuously
in ^in++++=in
baths ^nns++++=baths
perfumed ^vbd+++xvbn+=perfumed
with ^in++++=with
roses ^nns++++=roses;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
race ^nn++++=race
in ^in++++=in
chariots ^nns+++??+=chariots;
; ^zz++++=EXTRAWORD
yield ^vb++++=yield
to ^in++++=to
deep ^nn++++=deep
despair ^vb++++=despair;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
boast ^nn++++=boast
aloud ^rb++++=aloud
in ^in++++=in
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
believed ^vprf+++xvbnx+=believed
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
embodied ^vbd+++xvbnx+=embodied
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
took ^vbd+++xvbn+=took
place ^nn++++=place,
, ^zz++++=EXTRAWORD
in ^in++++=in
verity ^nn++++=verity,
, ^zz++++=EXTRAWORD
within ^in++++=within
my ^pp$+pp1+++=my
being ^vbg+beg++xvbg+=being.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
I ^pp1a+pp1+++=I
weary ^jj++++=weary,
, ^zz++++=EXTRAWORD
lose ^vb++++=lose
my ^pp$+pp1+++=my
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indulge ^vb++++=indulge
in ^in++++=in
such ^abl++++=such
mad ^jj+atrb+++=mad
follies ^nns++++=follies
that ^tht+rel+obj++=that
the ^ati++++=the
most ^ql+emph+++=most
worthless ^jj++++=worthless
of ^in++++=of
my ^pp$+pp1+++=my
minions ^nns++++=minions
ridicule ^nn++++=ridicule
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
pity ^nn++++=pity
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
No ^at++++=No
creature ^nn++++=creature
cares ^vbz++++=cares
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
nowhere ^rb+pl+++=nowhere
am ^vb+bem+aux++=am
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
in ^in++++=in
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
yet ^rb++++=yet
in ^in++++=in
hell ^nn++++=hell,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
upon ^in++++=upon
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
men ^nns++++=men
deem ^nn+++??+=deem
me ^pp1o+pp1+++=me
a ^at++++=a
god ^nn++++=god.
. ^zz++++=EXTRAWORD
Naught ^np+++??+=Naught
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
but ^cc++++=but
paroxysms ^nns+++??+=paroxysms
of ^in++++=of
rage ^nn++++=rage,
, ^zz++++=EXTRAWORD
rivers ^nns++++=rivers
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
maddened ^jj+atrb++xvbn+=maddened
frenzy ^nn++++=frenzy.
. ^zz++++=EXTRAWORD
Never ^rb++++0=Ne'er
shall ^md+prd+++=shall
my ^pp$+pp1+++=my
eyelids ^nns++++=eyelids
close ^nn++++=close
in ^in++++=in
slumber ^jjr++++=slumber,
, ^zz++++=EXTRAWORD
never ^rb++++=never
my ^pp$+pp1+++=my
spirit ^nn++++=spirit
find ^vb+vprv+++=find
repose ^nn++++=repose,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
canst ^nn+++??+=canst
rest ^nn++++=rest
thy ^pp$+pp2+++=thy
head ^nn++++=head
upon ^in++++=upon
the ^ati++++=the
cool ^jj++++=cool,
, ^zz++++=EXTRAWORD
green ^nn++++=green
freshness ^nns+nom+++=freshness
of ^in++++=of
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Yea ^np+++??+=Yea,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
ever ^rb++splt++=ever
dwell ^vb++++=dwell
amid ^in++++=amid
the ^ati++++=the
glare ^nn++++=glare
of ^in++++=of
palaces ^nns++++=palaces,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
curses ^nns++++=curses
of ^in++++=of
the ^ati++++=the
starving ^nvbg+++xvbg+=starving,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
inhale ^vb++++=inhale
the ^ati++++=the
stench ^nn++++=stench
of ^in++++=of
crimes ^nns++++=crimes
that ^tht+rel+obj++=that
cry ^nn++++=cry
aloud ^rb++++=aloud
to ^in++++=to
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
hate ^vb++++=hate,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
punished ^vprf+++xvbnx+=punished
me ^pp1o+pp1+++=me
indeed ^rb++++=indeed!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
soul ^nn++++=soul
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater
even ^rb++++=even
than ^in++++=than
His ^pp$+pp3+++=His
wrath ^nn++++=wrath;
; ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
deep ^jj+atrb+++=deep
sigh ^nn++++=sigh
I ^pp1a+pp1+++=I
could ^md+pos+++=could
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world
draw ^nn++++=draw
into ^in++++=into
my ^pp$+pp1+++=my
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
would ^md+prd+++=would
burn ^vb++++=burn
eternally ^rb+cnj+++=eternally,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When,
, ^zz++++=EXTRAWORD
Lord ^npt++++=Lord,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
thy ^pp$+pp2+++=thy
great ^jj+atrb+++=great
trumpet ^nn++++=trumpet
sound ^nn++++=sound?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
great ^jj+atrb+++=great
harmony ^nn++++=harmony
shall ^md+prd+++=shall
hover ^jjr++++=hover
over ^in++++=over
sea ^nn++++=sea
and ^cc++++=and
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
would ^md+prd+++=would
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
suffer ^vb++++=suffer
with ^in++++=with
humanity ^nn+nom+++=humanity;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
cries ^nns++++=cries
and ^cc++++=and
sobs ^nns++++=sobs
should ^md+nec+++=should
drown ^vb++++=drown
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
mine ^pp$$++++=mine!
! ^zz++++=EXTRAWORD
[ ^zz++++=[Innumerable
innumerable ^jj+atrb+++=EXTRAWORD
skeletons ^nns++++=skeletons,
, ^zz++++=EXTRAWORD
riding ^nvbg+++xvbg+=riding
in ^in++++=in
chariots ^nns+++??+=chariots,
, ^zz++++=EXTRAWORD
advance ^nn+nom+++=advance
at ^rb++++=at
a ^at++++=a
rapid ^jj+atrb+++=rapid
pace ^nn++++=pace,
, ^zz++++=EXTRAWORD
with ^in++++=with
cries ^nns++++=cries
of ^in++++=of
joy ^nn++++=joy
and ^cc++++=and
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drag ^nn++++=drag
broken ^vbd+++xvbn+=broken
branches ^nns++++=branches
and ^cc++++=and
crowns ^nns++++=crowns
of ^in++++=of
laurel ^nn++++=laurel,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
dried ^jj+atrb++xvbn+=dried
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
leaves ^nns++++=leaves
fall ^nn++++=fall
continually ^rb++++=continually
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
the ^ati++++=the
dust ^nn++++=dust.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Lo ^np++++=Lo,
, ^zz++++=EXTRAWORD
a ^at++++=a
triumphal ^jj+atrb+++=triumphal
throng ^nn++++=throng
from ^in++++=from
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Eternal ^jj+atrb+++=Eternal
City ^nn++++=City!
! ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
Coliseum ^np+++??+=Coliseum
and ^cc++++=and
her ^pp$+pp3+++=her
Capitol ^np++++=Capitol
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
two ^cd++++=two
grains ^nns++++=grains
of ^in++++=of
sands ^nns++++=sands
that ^tht+rel+++=that
served ^jj+++xvbn+=served
once ^rb+tm+++=once
as ^ql++++=as
a ^at++++=a
pedestal ^nn+nom+++=pedestal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Death ^nn++++=Death
has ^vbz+hvz+aux++=has
swung ^vprf+++xvbnx+=swung
his ^pp$+pp3+++=his
scythe ^nn++++=scythe:
: ^zz++++=EXTRAWORD
the ^ati++++=the
monuments ^nns+nom+++=monuments
have ^vb+hv+aux++=have
fallen ^vprf+++xvbn+=fallen.
. ^zz++++=EXTRAWORD
Behold ^vb++++=Behold!
! ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
head ^nn++++=head
comes ^vbz++++=comes
Nero ^np+++??+=Nero,
, ^zz++++=EXTRAWORD
pride ^nn++++=pride
of ^in++++=of
my ^pp$+pp1+++=my
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
poet ^nn++++=poet
earth ^nn++++=earth
has ^vbz+hvz+aux++=has
known ^vprf+++xvbnx+=known!
! ^zz++++=EXTRAWORD
[ ^zz++++=[Nero
nero ^np++++=EXTRAWORD
advances ^nns+nom+++=advances
in ^in++++=in
a ^at++++=a
chariot ^nn++++=chariot
drawn ^vwbn+++xvbn+=drawn
by ^in++++=by
twelve ^cd++++=twelve
skeleton ^nn++++=skeleton
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
sceptre ^np++++=sceptre
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
strikes ^vbz++++=strikes
the ^ati++++=the
bony ^jj+atrb+++=bony
backs ^nns++++=backs
of ^in++++=of
his ^pp$+pp3+++=his
steeds ^nns++++=steeds.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stands ^vbz++++=stands
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shroud ^nn++++=shroud
flapping ^vwbg+++xvbg+=flapping
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
in ^in++++=in
billowy ^nn+++??+=billowy
folds ^nns++++=folds.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turns ^vbz++++=turns,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
upon ^in++++=upon
a ^at++++=a
racecourse ^nn++++=racecourse;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
are ^vb+ber+vrb++=are
flaming ^jj+pred+++=flaming
and ^cc++++=and
he ^pp3a+pp3+++=he
cries ^nns++++=cries
loudly ^rb++++=loudly:]
: ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Nero ^np+++??+=NERO.
. ^zz++++=EXTRAWORD
Quick ^jj++++=Quick!
! ^zz++++=EXTRAWORD
Quick ^jj++++=Quick!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
faster ^rbr++++=faster
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
your ^pp$+pp2+++=your
feet ^nns++++=feet
dash ^nn++++=dash
fire ^nn++++=fire
from ^in++++=from
the ^ati++++=the
flinty ^nn+++??+=flinty
stones ^nns++++=stones
and ^cc++++=and
your ^pp$+pp2+++=your
nostrils ^nns++++=nostrils
fleck ^nn+++??+=fleck
your ^pp$+pp2+++=your
breasts ^nns++++=breasts
with ^in++++=with
foam ^nn++++=foam.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What!
! ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
the ^ati++++=the
wheels ^nns++++=wheels
smoke ^nn++++=smoke
yet ^cc++++=yet?
? ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
ye ^pp2+pp2+++=ye
the ^ati++++=the
fanfares ^nns+++??+=fanfares,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
sound ^vb++++=sound
reached ^vbd+++xvbn+=reached
even ^rb++++=even
to ^in++++=to
Ostia ^np+++??+=Ostia;
; ^zz++++=EXTRAWORD
the ^ati++++=the
clapping ^nn++++=clapping
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cries ^nns++++=cries
of ^in++++=of
joy ^nn++++=joy?
? ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
the ^ati++++=the
populace ^nn++++=populace
shower ^nn++++=shower
saffron ^nn++++=saffron
on ^in++++=on
my ^pp$+pp1+++=my
head ^nn++++=head!
! ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
how ^wrb+who+whcl++=how
my ^pp$+pp1+++=my
pathway ^nn++++=pathway
is ^vbz+bez+vrb++=is
already ^rb++++=already
damp ^jj+pred+++=damp
with ^in++++=with
sprayed ^vbd+++xvbn+=sprayed
perfume ^nn++++=perfume!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
chariot ^nn++++=chariot
whirls ^nns+++??+=whirls
on ^in+strn+++=on;
; ^zz++++=EXTRAWORD
the ^ati++++=the
pace ^nn++++=pace
is ^vbz+bez+vrb++=is
swifter ^jjr+pred+++=swifter
than ^in++++=than
the ^ati++++=the
wind ^nn++++=wind
as ^ql++++=as
I ^pp1a+pp1+++=I
shake ^vb++++=shake
the ^ati++++=the
golden ^jj+atrb+++=golden
reins ^nns++++=reins!
! ^zz++++=EXTRAWORD
Faster ^rbr++++=Faster
and ^cc+phrs+++=and
faster ^rbr++++=faster!
! ^zz++++=EXTRAWORD
The ^ati++++=The
dust ^nn++++=dust
clouds ^nns++++=clouds
rise ^vb++++=rise;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mantle ^nn++++=mantle
floats ^vbz++++=floats
upon ^in++++=upon
the ^ati++++=the
breeze ^nn++++=breeze,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
my ^pp$+pp1+++=my
ears ^nns++++=ears
sings ^vbz++++=sings
" ^zz++++="Triumph!
triumph ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
triumph ^nn++++=triumph!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Faster ^rbr++++=Faster
and ^cc+phrs+++=and
faster ^rbr++++=faster!
! ^zz++++=EXTRAWORD
Hearken ^np+++??+=Hearken
to ^in++++=to
the ^ati++++=the
shouts ^nn++++=shouts
of ^in++++=of
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
list ^nn++++=list
to ^in++++=to
the ^ati++++=the
stamping ^jj+atrb++xvbg+=stamping
feet ^nns++++=feet
and ^cc++++=and
the ^ati++++=the
plaudits ^nns+++??+=plaudits
of ^in++++=of
the ^ati++++=the
multitude ^nn++++=multitude.
. ^zz++++=EXTRAWORD
Jupiter ^np+++??+=Jupiter
himself ^ppl+pp3+++=himself
looks ^nns++++=looks
down ^rp++++=down
on ^rp++++=on
us ^pp1o+pp1+++=us
from ^in++++=from
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Faster ^rbr++++=Faster!
! ^zz++++=EXTRAWORD
yea ^nn+++??+=yea,
, ^zz++++=EXTRAWORD
faster ^rbr++++=faster
still ^rb++++=still!
! ^zz++++=EXTRAWORD
[ ^zz++++=[Nero's
nero ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
chariot ^nn++++=chariot
now ^rn+tm+++=now
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
drawn ^vpsv++by+xvbnx+=drawn
by ^in++++=by
demons ^nns++++=demons:
: ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust
and ^cc++++=and
smoke ^nn++++=smoke
envelops ^nns+++??+=envelops
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
erratic ^jj+atrb+++=erratic
course ^nn++++=course
he ^pp3a+pp3+++=he
crashes ^vbz++++=crashes
into ^in++++=into
tombs ^nns++++=tombs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
re ^in++++=re-awakened
- ^zz++++=EXTRAWORD
awakened ^vprf+++xvbn+=EXTRAWORD
corpses ^nns++++=corpses
are ^vb+ber+aux++=are
crushed ^vpsv++agls+xvbnx+=crushed
under ^in++++=under
the ^ati++++=the
wheels ^nns++++=wheels
of ^in++++=of
the ^ati++++=the
chariot ^nn++++=chariot,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
now ^rn+tm+++=now
turns ^vbz++++=turns,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stops ^nns++++=stops.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Nero ^np+++??+=NERO.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
six ^cd++++=six
hundred ^cd++++=hundred
of ^in++++=of
my ^pp$+pp1+++=my
women ^nns++++=women
dance ^vb++++=dance
the ^ati++++=the
Grecian ^np+++??+=Grecian
Dances ^nns++++=Dances
silently ^rb++++=silently
before ^in++++=before
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
lave ^nn+++??+=lave
myself ^ppl+pp1+++=myself
with ^in++++=with
roses ^nns++++=roses
in ^in++++=in
a ^at++++=a
bath ^nn++++=bath
of ^in++++=of
porphyry ^nn++++=porphyry.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them
circle ^nn++++=circle
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
with ^in++++=with
interlacing ^nn++++=interlacing
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
see ^vb+vprv+++=see
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides
alabaster ^nn+nom+++=alabaster
forms ^nns++++=forms
in ^in++++=in
graceful ^jj+atrb+++=graceful
evolution ^nn+nom+++=evolution,
, ^zz++++=EXTRAWORD
swaying ^vbg+++xvbg+=swaying
like ^in++++=like
tall ^jj+atrb+++=tall
reeds ^nns++++=reeds
bending ^vwbg+++xvbg+=bending
over ^in++++=over
an ^at++++=an
amorous ^jj+atrb+++=amorous
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
the ^ati++++=the
empire ^nn++++=empire
and ^cc++++=and
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Senate ^np++++=Senate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Olympus ^np+++??+=Olympus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
who ^whp+who+++=who
shall ^md+prd+++=shall
embrace ^vb++++=embrace
me ^pp1o+pp1+++=me
the ^ati++++=the
most ^ql+emph+++=most
ardently ^rb++++=ardently;
; ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
whose ^whp+who+++=whose
heart ^nn++++=heart
shall ^md+prd+++=shall
throb ^vb++++=throb
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
own ^ap++++=own;
; ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
who ^whp+who+++=who
shall ^md+prd+++=shall
enmesh ^vb+++??+=enmesh
me ^pp1o+pp1+++=me
in ^in++++=in
her ^pp$+pp3+++=her
flowing ^vbg+++xvbg+=flowing
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
smile ^nn++++=smile
on ^rp++++=on
me ^pp1o+pp1+++=me
sweetest ^jjt++++=sweetest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enfold ^vb++++=enfold
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
warmest ^jjt+atrb+++=warmest
clasp ^nn++++=clasp;
; ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
who ^whp+who+++=who
soothing ^jj++++=soothing
me ^pp1o+pp1+++=me
with ^in++++=with
songs ^nns++++=songs
of ^in++++=of
love ^nn++++=love
shall ^md+prd+++=shall
waken ^vb++++=waken
me ^pp1o+pp1+++=me
to ^in++++=to
joy ^nn++++=joy
and ^cc++++=and
heights ^nns++++=heights
of ^in++++=of
rapture ^nn++++=rapture!
! ^zz++++=EXTRAWORD
Rome ^np++++=Rome
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
still ^rb++++=still
this ^dt+dem+++=this
night ^nn++++=night;
; ^zz++++=EXTRAWORD
no ^at++++=no
barque ^nn+++??+=barque
shall ^md+prd+++=shall
cleave ^vb+++??+=cleave
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
Tiber ^np+++??+=Tiber,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++0='tis
