Eight ^cd++++=Eight
copy ^nn++++=copy
and ^cc++++=and
sometimes ^rb++++=sometimes
not ^xnot++not++=not
finding ^vbg+++xvbg+=finding
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
always ^rb++++=always
to ^in++++=to
have ^vbi++vrb++=have
something ^pn++++=something
new ^jj++++=new
in ^in++++=in
your ^pp$+pp2+++=your
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
Damn ^vb++++=Damn
proofs ^nns++++=proofs
and ^cc++++=and
printers ^nns+nom+++=printers,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
deuced ^vpsv++agls+xvbnx+=deuced
glad ^jj++++=glad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
back ^rb+phrv+++=back
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
a ^at++++=a
fellow ^jjb++++=fellow
good ^jj++++=good,
, ^zz++++=EXTRAWORD
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
a ^at++++=a
holiday ^nn++++=holiday.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
a ^at++++=a
ton ^nn++++=ton
better ^jjr++++=better
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
landed ^vbd+++xvbnx+=landed
again ^rb+tm+++=again
in ^in++++=in
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
dirty ^jj+atrb+++=dirty
Dublin. ^np+++??+=Dublin...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water?
? ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say
when ^wrb+who+whcl++=when.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
allowed ^vwbn+++xvbn+=allowed
his ^pp$+pp3+++=his
whisky ^nn++++=whisky
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
much ^ap++++=much
diluted ^jj+++xvbn+=diluted.
. ^zz++++=EXTRAWORD
` ^zz++++=`You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
drink ^vb++++=drink
mine ^nn++++=mine
neat ^jj++++=neat.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
drink ^vb++++=drink
very ^ql+amp+++=very
little ^ap++++=little
as ^ql++++=as
a ^at++++=a
rule ^nn++++=rule,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
modestly ^jj++++=modestly.
. ^zz++++=EXTRAWORD
` ^zz++++=`An
an ^at++++=EXTRAWORD
odd ^jj++++=odd
half ^abn++++=half-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
or ^cc++++=or
so ^ql++++=so
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
meet ^vb++++=meet
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
crowd ^nn++++=crowd:
: ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Ah
ah ^uh++++=EXTRAWORD
well ^rb+cnj+++=well,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
cheerfully ^rb+cnj+++=cheerfully,
, ^zz++++=EXTRAWORD
` ^zz++++=`here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
to ^in++++=to
us ^pp1o+pp1+++=us
and ^cc++++=and
to ^in++++=to
old ^jj+atrb+++=old
times ^nns++++=times
and ^cc++++=and
old ^jj+atrb+++=old
acquaintance ^nn+nom+++=acquaintance.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
clinked ^vbd+++xvbnx+=clinked
glasses ^nns++++=glasses
and ^cc++++=and
drank ^vbd+++xvbn+=drank
the ^ati++++=the
toast ^nn++++=toast.
. ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
met ^vbd+++xvbnx+=met
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
gang ^nn++++=gang
today ^nr+tm+++=today,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
` ^zz++++=`O'Hara
o ^zz++++=EXTRAWORD
'hara ^nn+++??+=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
a ^at++++=a
bad ^jj+atrb+++=bad
way ^nn++++=way.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+aux++0=EXTRAWORD
he ^pp3a+pp3+++=he
doing ^vbg+++xvbg+=doing?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Nothing,'
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
` ^zz++++=`He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
to ^in++++=to
the ^ati++++=the
dogs ^nns++++=dogs.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`But
but ^cc++++=EXTRAWORD
Hogan ^np+++??+=Hogan
has ^vbz+hvz+vrb++=has
a ^at++++=a
good ^nn++++=good
sit ^vb++++=sit,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Land ^nn++++=Land
Commission ^nn++++=Commission.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
met ^vbd+++xvbnx+=met
him ^pp3o+pp3+++=him
one ^cd1++++=one
night ^nn++++=night
in ^in++++=in
London ^np++++=London
and ^cc++++=and
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
very ^ql+amp+++=very
flush. ^vb+++??+=flush...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
O ^zz++++=O'Hara!
'hara! ^nn+++??+=EXTRAWORD
Booze ^np+++??+=Booze,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Other
other ^ap++++=EXTRAWORD
things ^nns++++=things,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
shortly ^rb+tm+++=shortly.
. ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
` ^zz++++=`Tommy,'
tommy ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
changed ^vprf+++xvbn+=changed
an ^at++++=an
atom ^nn++++=atom.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
same ^ap++++=same
serious ^jj+atrb+++=serious
person ^nn++++=person
that ^tht+rel+subj++=that
used ^vwbn+++xvbn+=used
to ^in++++=to
lecture ^nn++++=lecture
me ^pp1o+pp1+++=me
on ^in++++=on
Sunday ^nr++++=Sunday
mornings ^nns++++=mornings
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
sore ^jj++++=sore
head ^jjb++++=head
and ^cc++++=and
a ^at++++=a
fur ^nn++++=fur
on ^in++++=on
my ^pp$+pp1+++=my
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md+prd+aux++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
knock ^vbi++++=knock
about ^rb+phrv+++=about
a ^at++++=a
bit ^nn++++=bit
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
never ^rb++++=never
been ^vprf+ben+vrb+xvbn+=been
anywhere ^rb++++=anywhere
even ^rb++++=even
for ^in++++=for
a ^at++++=a
trip ^nn++++=trip?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
Isle ^nn++++=Isle
of ^in++++=of
Man ^nn++++=Man,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
` ^zz++++=`The
the ^ati++++=EXTRAWORD
Isle ^nn++++=Isle
of ^in++++=of
Man ^nn++++=Man!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=`Go
go ^vb++++=EXTRAWORD
to ^in++++=to
London ^np++++=London
or ^cc++++=or
Paris ^np++++=Paris:
: ^zz++++=EXTRAWORD
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
for ^in++++=for
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That'd
'd ^md+prd+aux++0=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
good ^jj++++=good.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
seen ^vbd+vprv++xvbn+=seen
Paris ^np++++=Paris?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
knocked ^vprf+++xvbnx+=knocked
about ^rb+phrv+++=about
there ^rn+pl+++=there
a ^rb++++=a
little ^rb"++++=little.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`And
and ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
really ^rb+emph+++=really
so ^rb+emph+++=so
beautiful ^jj++++=beautiful
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sipped ^vbd+++xvbnx+=sipped
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
his ^pp$+pp3+++=his
drink ^vb++++=drink
while ^cs+sub+++=while
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
boldly ^rb++++=boldly.
. ^zz++++=EXTRAWORD
` ^zz++++=`Beautiful?'
beautiful ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing
on ^in++++=on
the ^ati++++=the
word ^nn++++=word
and ^cc++++=and
on ^in++++=on
the ^ati++++=the
flavour ^nn++++=flavour
of ^in++++=of
his ^pp$+pp3+++=his
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
` ^zz++++=`It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
so ^rb+emph+++=so
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
beautiful. ^nn+++??+=beautiful...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
Paris ^np++++=Paris;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
city ^nn++++=city
like ^in++++=like
Paris ^np++++=Paris
for ^in++++=for
gaiety ^nn++++=gaiety,
, ^zz++++=EXTRAWORD
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
excitement. ^nn+++??+=excitement...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++='
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
whisky ^nn++++=whisky
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
some ^dti++++=some
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
succeeded ^j+++xvbn+=succeeded
in ^in++++=in
catching ^xvbg+++xvbg+=catching
the ^ati++++=the
barman ^nn++++=barman's
's ^$++++=EXTRAWORD
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+vsua++xvbnx+=ordered
the ^ati++++=the
same ^ap++++=same
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
` ^zz++++=`I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
Moulin ^np++++=Moulin
Rouge ^np++++=Rouge,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
continued ^vbd+++xvbn+=continued
when ^wrb+who+++=when
the ^ati++++=the
barman ^nn++++=barman
had ^vbd+hvd+aux++=had
removed ^vprf+++xvbnx+=removed
their ^pp$+pp3+++=their
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
` ^zz++++=`and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
all ^abn++++=all
the ^ati++++=the
Bohemian ^jj+atrb+++=Bohemian
cafs ^nns+++??+=cafs.
. ^zz++++=EXTRAWORD
Hot ^jj+atrb+++=Hot
stuff ^nn++++=stuff!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
for ^in++++=for
a ^at++++=a
pious ^jj+atrb+++=pious
chap ^nn++++=chap
like ^in++++=like
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
until ^cs+sub+++=until
the ^ati++++=the
barman ^nn++++=barman
returned ^vbd+++xvbn+=returned
with ^in++++=with
two ^cd++++=two
glasses ^nns++++=glasses:
: ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
touched ^vbd+++xvbnx+=touched
his ^pp$+pp3+++=his
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
glass ^nn++++=glass
lightly ^rb++++=lightly
and ^cc++++=and
reciprocated ^vbd+++xvbn+=reciprocated
the ^ati++++=the
former ^ap++++=former
toast ^nn++++=toast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
feel ^vbi+vprv+++=feel
somewhat ^rb+down+++=somewhat
disillusioned ^jj++++=disillusioned.
. ^zz++++=EXTRAWORD
Gallaher ^np+nom+++=Gallaher's
's ^$++++=EXTRAWORD
accent ^nn++++=accent
and ^cc++++=and
way ^nn++++=way
of ^in++++=of
expressing ^xvbg+++xvbg+=expressing
himself ^ppl+pp3+++=himself
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
please ^uh++++=please
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
vulgar ^jj++++=vulgar
in ^in++++=in
his ^pp$+pp3+++=his
friend ^nn++++=friend
which ^whp+rel+subj++=which
lie ^vb++++=lie
had ^vb+hv+aux++=had
not ^xnot++not++=not
observed ^vbd+vprv++xvbn+=observed
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
perhaps ^rb++++=perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
living ^xvbg+++xvbg+=living
in ^in++++=in
London ^np++++=London
amid ^in++++=amid
the ^ati++++=the
bustle ^nn++++=bustle
and ^cc++++=and
competition ^nn+nom+++=competition
of ^in++++=of
the ^ati++++=the
Press ^nn++++=Press.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
personal ^jj+atrb+++=personal
charm ^nn++++=charm
was ^vbd+bedz+vrb++=was
still ^rb++++=still
there ^rn+pl+++=there
under ^in++++=under
this ^dt+dem+++=this
new ^jj+atrb+++=new
gaudy ^jj+atrb+++=gaudy
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
Gallaher ^np+nom++??+=Gallaher
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
looked ^vbd+++xvbn+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
friend ^nn++++=friend
enviously ^rb++++=enviously.
. ^zz++++=EXTRAWORD
` ^zz++++=`Everything
everything ^pn++++=EXTRAWORD
in ^in++++=in
Paris ^np++++=Paris
is ^vbz+bez+vrb++=is
gay ^jj+pred+++=gay,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher.
. ^zz++++=EXTRAWORD
` ^zz++++=`They
they ^pp3a+pp3+++=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
enjoying ^xvbg+++xvbg+=enjoying
life ^nn++++=life
and ^cc++++=and
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
enjoy ^vbi++++=enjoy
yourself ^ppl+pp2+++=yourself
properly ^rb++++=properly
you ^pp2+pp2+++=you
must ^md+nec+++=must
go ^vb++++=go
to ^in++++=to
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they've
've ^vb+hv+vrb++0=EXTRAWORD
a ^at++++=a
great ^jj++++=great
feeling ^jj+++xvbg+=feeling
for ^in++++=for
the ^ati++++=the
Irish ^jj++++=Irish
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
heard ^vbd+vprv+tht0+xvbnx+=heard
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
from ^in++++=from
Ireland ^np++++=Ireland
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
eat ^vbi++++=eat
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
man ^nn++++=man.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
took ^vbd+++xvbn+=took
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
sips ^nns+++??+=sips
from ^in++++=from
his ^pp$+pp3+++=his
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
` ^zz++++=`Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
` ^zz++++=`is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
true ^jj++++=true
that ^tht+jcmp+++=that
Paris ^np++++=Paris
is ^vbz+bez+vrb++=is
so. ^nn+++??+=so...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
immoral ^jj++++=immoral
as ^ql++++=as
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
made ^vbd+++xvbn+=made
a ^at++++=a
catholic ^jj+atrb+++=catholic
gesture ^nn++++=gesture
with ^in++++=with
his ^pp$+pp3+++=his
right ^jj++++=right
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
` ^zz++++=`Every
every ^at++++=EXTRAWORD
place ^nn++++=place
is ^vbz+bez+vrb++=is
immoral ^jj+pred+++=immoral,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=`Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
find ^vb+vprv+++=find
spicy ^jj+atrb++??+=spicy
bits ^nns++++=bits
in ^in++++=in
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
students ^nns++++=students'
' ^zz++++=EXTRAWORD
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
lively ^jj++++=lively,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
cocottes ^nns+++??+=cocottes
begin ^vb++++=begin
to ^to++++=to
let ^vbi++++=let
themselves ^ppls+pp3+++=themselves
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
` ^zz++++=`I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
of ^in++++=of
them ^pp3o+pp3+++=them,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler.
. ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
drank ^vbd+++xvbn+=drank
off ^in+pl+++=off
his ^pp$+pp3+++=his
