Mme ^npt++++=Mme.
your ^pp$+pp2+++=your
dear ^jj+atrb+++=dear
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
to ^to++++=to
live ^vbi++++=live
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life
along ^in++++=along
the ^ati++++=the
lines ^nns++++=lines
which ^whp+rel+obj++=which
our ^pp$+pp1+++=our
dear ^jj+atrb+++=dear
Lord ^npt++++=Lord
traces ^nns++++=traces
for ^in++++=for
each ^dt++++=each
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
bring ^vb++++=bring
with ^in++++=with
it ^pp3+it+++=it
resignation ^nn+nom+++=resignation
and ^cc++++=and
even ^rb++++=even
a ^at++++=a
certain ^jj+atrb+++=certain
comfort ^nn++++=comfort.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
your ^pp$+pp2+++=your
household ^nn++++=household
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
music ^nn++++=music,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
continue ^vb++++=continue
to ^to++++=to
devote ^vbi++++=devote
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
always ^rb++++=always
good ^jj+atrb+++=good
works ^nns++++=works-the
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
poor ^jj++++=poor-who
- ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
always ^rb++++=always
with ^in++++=with
us ^pp1o+pp1+++=us-to
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
be ^vbi+vbi+aux++=be
relieved ^vpsv++agls+xvbnx+=relieved;
; ^zz++++=EXTRAWORD
the ^ati++++=the
afflicted ^jj+++xvbn+=afflicted
to ^to++++=to
be ^vbi+vbi+aux++=be
comforted ^vpsv++agls+xvbnx+=comforted.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe!
! ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
listen ^vb++++=listen!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
not ^xnot++not++=not
La ^&fw++++=La
Rose ^vbd+++xvbn+=Rose
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
moving ^vbg+++xvbg+=moving
down ^rp++++=down
there ^rn+pl+++=there
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
pasture ^nn++++=pasture?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fancy ^vb+vprv+tht0++=fancy
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
reproaching ^vbg+++xvbgx+=reproaching
me ^pp1o+pp1+++=me
with ^in++++=with
being ^xvbg+++xvbg+=being
an ^at++++=an
ingrate ^nn+nom+++=ingrate,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
have ^vbi+vbi+aux++=have
pressed ^vprf+++xvbnx+=pressed
a ^at++++=a
kiss ^vb++++=kiss
yet ^rb++++=yet
on ^in++++=on
that ^dt+dem+++=that
white ^jj+atrb+++=white
forehead ^nn++++=forehead
of ^in++++=of
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
women ^nns++++=women
arose ^vbd+++xvbn+=arose
and ^cc+phrs+++=and
walked ^vbd+++xvbn+=walked
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
hand ^nn++++=hand
in ^in++++=in
hand ^nn++++=hand
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
tufted ^jj+atrb++xvbn+=tufted
grass ^nn++++=grass
down ^in++++=down
the ^ati++++=the
gentle ^jj+atrb+++=gentle
decline ^nn++++=decline
where ^wrb+who+++=where
it ^pp3+it+++=it
sloped ^vbd+++xvbn+=sloped
toward ^in++++=toward
the ^ati++++=the
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
limpid ^nn+++??+=limpid
stream ^nn++++=stream
that ^tht+rel+subj++=that
flowed ^vbd+++xvbn+=flowed
cool ^jj++++=cool
and ^cc+phrs+++=and
fresh ^jj++++=fresh
from ^in++++=from
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
walked ^vbd+++xvbn+=walked
with ^in++++=with
her ^pp$+pp3+++=her
composed ^vbd+++xvbn+=composed,
, ^zz++++=EXTRAWORD
nunlike ^jj+atrb+++=nunlike
tread ^nn++++=tread;
; ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
with ^in++++=with
a ^at++++=a
balancing ^nn++++=balancing
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
a ^at++++=a
bounding ^nn++++=bounding
step ^vb++++=step,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
earth ^nn++++=earth
responded ^vbd+++xvbn+=responded
to ^in++++=to
her ^pp$+pp3+++=her
light ^jj+atrb+++=light
footfall ^nn++++=footfall
with ^in++++=with
some ^dti++++=some
subtle ^jj+atrb+++=subtle
impulse ^nn++++=impulse
all ^rb++++=all
its ^pp$+it+++=its
own ^ap++++=own.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lingered ^vbd+++xvbnx+=lingered
long ^rb++++=long
upon ^in++++=upon
the ^ati++++=the
foot ^nn++++=foot-bridge
- ^zz++++=EXTRAWORD
bridge ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
spanned ^vbd+++xvbn+=spanned
the ^ati++++=the
narrow ^jj+atrb+++=narrow
stream ^nn++++=stream
which ^whp+rel+obj++=which
divided ^jj+++xvbn+=divided
the ^ati++++=the
convent ^nn++++=convent
grounds ^nns++++=grounds
from ^in++++=from
the ^ati++++=the
meadow ^nn++++=meadow
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
to ^in++++=to
Adrienne ^np+++??+=Adrienne
indescribably ^rb++++=indescribably
sweet ^jj++++=sweet
to ^in++++=to
rest ^nn++++=rest
there ^rn+pl+++=there
in ^in++++=in
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
low ^jj+atrb+++=low
converse ^nn++++=converse
with ^in++++=with
this ^dt+dem+++=this
gentle ^jj++++=gentle-faced
- ^zz++++=EXTRAWORD
faced ^xvbn+++xvbn+=EXTRAWORD
nun ^np++++=nun,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gurgle ^nn++++=gurgle
of ^in++++=of
the ^ati++++=the
running ^jj+atrb++xvbg+=running
water ^nn++++=water
beneath ^in+pl+++=beneath
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lowing ^jj+++xvbg+=lowing
of ^in++++=of
cattle ^nns++++=cattle
approaching ^vwbg+++xvbg+=approaching
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
only ^rb+down+++=only
sounds ^nns++++=sounds
that ^tht+rel+subj++=that
broke ^vbd+++xvbn+=broke
upon ^in++++=upon
the ^ati++++=the
stillness ^nns+nom+++=stillness,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
the ^ati++++=the
clear ^jj+atrb+++=clear
tones ^nns++++=tones
of ^in++++=of
the ^ati++++=the
angelus ^nn++++=angelus
bell ^nn++++=bell
pealed ^vbd+++xvbn+=pealed
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
convent ^nn++++=convent
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
sound ^nn++++=sound
both ^abx++++=both
women ^nns++++=women
instinctively ^rb++++=instinctively
sank ^vbd+++xvbn+=sank
to ^in++++=to
their ^pp$+pp3+++=their
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
signing ^vbg+++xvbg+=signing
themselves ^ppls+pp3+++=themselves
with ^in++++=with
the ^ati++++=the
sign ^nn++++=sign
of ^in++++=of
the ^ati++++=the
cross ^nn++++=cross.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
repeated ^vbd+++xvbn+=repeated
the ^ati++++=the
customary ^jj+atrb+++=customary
invocation ^nn+nom+++=invocation,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
responding ^vwbg+++xvbg+=responding
in ^in++++=in
musical ^jj+atrb+++=musical
tones ^nns++++=tones:
: ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Angel ^nn++++=Angel
of ^in++++=of
the ^ati++++=the
Lord ^npt++++=Lord
declared ^vbd+vpub++xvbn+=declared
unto ^in++++=unto
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
conceived ^vbd+++xvbnx+=conceived
by ^in++++=by
the ^ati++++=the
Holy ^jj+atrb+++=Holy
Ghost ^nn++++=Ghost-"
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
brief ^jj+atrb+++=brief
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
arose ^vbd+++xvbnx+=arose
and ^cc+phrs+++=and
retraced ^vbd+++xvbn+=retraced
their ^pp$+pp3+++=their
steps ^nns++++=steps
toward ^in++++=toward
the ^ati++++=the
convent ^nn++++=convent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
with ^in++++=with
subtle ^jj+atrb+++=subtle
and ^cc+phrs+++=and
naive ^jj+atrb+++=naive
pleasure ^nn++++=pleasure
that ^tht+rel+obj++=that
Adrienne ^np+++??+=Adrienne
prepared ^vwbn+++xvbn+=prepared
herself ^ppl+pp3+++=herself
that ^cs+sub+++=that
night ^nn++++=night
for ^in++++=for
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
shared ^vbd+++xvbnx+=shared
with ^in++++=with
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
was ^vbd+bedz+vrb++=was
immaculately ^rb++++=immaculately
white ^jj+pred+++=white.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
a ^at++++=a
dead ^jj+atrb+++=dead
white ^nn++++=white,
, ^zz++++=EXTRAWORD
relieved ^j+++xvbn+=relieved
only ^rb+down+++=only
by ^in++++=by
one ^cd1++++=one
florid ^jj+atrb+++=florid
print ^nn++++=print
depicting ^vwbg+++xvbg+=depicting
Jacob ^np++++=Jacob's
's ^$++++=EXTRAWORD
dream ^nn++++=dream
at ^rb++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
ladder ^nn++++=ladder,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
which ^whp+rel+pied++=which
angels ^nns++++=angels
mounted ^vbd+++xvbn+=mounted
and ^cc++++=and.
. ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bare ^jj+atrb+++=bare
floors ^nns++++=floors,
, ^zz++++=EXTRAWORD
a ^at++++=a
soft ^jj++++=soft
yellow ^jj++++=yellow-white,
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
little ^jj+atrb+++=little
patches ^nns++++=patches
of ^in++++=of
gray ^np++++=gray
carpet ^nn++++=carpet
beside ^in+pl+++=beside
each ^dt++++=each
spotless ^jj+atrb+++=spotless
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
white ^jj++++=white-draped
- ^zz++++=EXTRAWORD
draped ^jj+atrb+++=EXTRAWORD
beds ^nns++++=beds
were ^vbd+bed+vrb++=were
two ^cd++++=two
b ^zz++++=b
nitiers ^nns+nom+++=nitiers
containing ^vwbg+++xvbg+=containing
holy ^jj+atrb+++=holy
water ^nn++++=water
absorbed ^vbd+++xvbn+=absorbed
in ^in++++=in
sponges ^nns++++=sponges.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
disrobed ^vbd+++xvbn+=disrobed
noiselessly ^rb++++=noiselessly
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
curtains ^nns++++=curtains
and ^cc++++=and
glided ^vpsv++agls+xvbn+=glided
into ^in++++=into
bed ^nn++++=bed
without ^in++++=without
having ^nn+nn+aux++=having
revealed ^vbd+vprv++xvbn+=revealed,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
faint ^jj+atrb+++=faint
candlelight ^nn++++=candlelight,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
shadow ^nn++++=shadow
of ^in++++=of
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
pattered ^vbd+++xvbn+=pattered
about ^in++++=about
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
and ^cc+phrs+++=and
folded ^jj+++xvbn+=folded
her ^pp3o+pp3+++=her
garments ^nns+nom+++=garments
with ^in++++=with
great ^jj+atrb+++=great
care ^nn++++=care,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
a ^at++++=a
chair ^nn++++=chair
as ^ql++++=as
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
do ^vbi++++=do
when ^wrb+who+++=when
a ^at++++=a
child ^nn++++=child
at ^in++++=at
the ^ati++++=the
convent ^nn++++=convent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
secretly ^rb++++=secretly
pleased ^vbd+++xvbn+=pleased
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
to ^to++++=to
feel ^vbi+vprv+++=feel
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
dear ^jj+atrb+++=dear
Adrienne ^np+++??+=Adrienne
clung ^vbd+++xvbn+=clung
to ^in++++=to
the ^ati++++=the
habits ^nns++++=habits
acquired ^vbd+++xvbn+=acquired
in ^in++++=in
her ^pp$+pp3+++=her
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Adrienne ^np+++??+=Adrienne
could ^md+pos+++=could
not ^xnot++not++=not
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
greatly ^rb+amp+++=greatly
desire ^nn++++=desire
to ^to+ncmp+++=to
do ^vbi++++=do
so ^rb++++=so.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
hours ^nns++++=hours
seemed ^vbd+seem++xvbn+=seemed
too ^ql++++=too
precious ^jj++++=precious
to ^to++++=to
be ^vbi+vbi+aux++=be
cast ^vpsv++agls+xvbnx+=cast
into ^in++++=into
the ^ati++++=the
oblivion ^nn++++=oblivion
of ^in++++=of
slumber ^nn++++=slumber.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
always ^rb++++=always
so ^rb++++=so
the ^ati++++=the
first ^od++++=first
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
excitement ^nn+nom+++=excitement
of ^in++++=of
my ^pp$+pp1+++=my
arrival ^nn++++=arrival-I
- ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what-keeps
- ^zz++++=EXTRAWORD
keeps ^vbz++++=EXTRAWORD
me ^pp1o+pp1+++=me
awake ^jj++++=awake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Say
say ^vb+vpub+++=EXTRAWORD
your ^pp$+pp2+++=your
' ^zz++++='Hail,
hail ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
child ^nn++++=child,
, ^zz++++=EXTRAWORD
over ^in++++=over
and ^cc++++=and
over ^rb++++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
so ^pn++++=so,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
help ^vb++++=help
. ^zz++++=."
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
lie ^vb++++=lie
quite ^rb++++=quite
still ^rb++++=still
on ^in++++=on
your ^pp$+pp2+++=your
side ^nn++++=side
and ^cc++++=and
think ^vb+vprv+++=think
of ^in++++=of
nothing ^pn++++=nothing
but ^cc++++=but
your ^pp$+pp2+++=your
own ^ap++++=own
respiration ^nn+nom+++=respiration.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
such ^abl++++=such
inducement ^nn+nom+++=inducement
to ^to++++=to
sleep ^vbi++++=sleep
seldom ^rb++++=seldom
fails ^vbz++++=fails."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
try ^vb++++=try.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe.
. ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
night ^nn++++=night,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
child ^nn++++=child.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
the ^ati++++=the
Holy ^jj++++=Holy
Virgin ^jjb++++=Virgin
guard ^vb++++=guard
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An
hour ^nn++++=hour
later ^rbr+tm+++=later
Adrienne ^np+++??+=Adrienne
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
lying ^vbg+++xvbgx+=lying
with ^in++++=with
wide ^jj+atrb+++=wide,
, ^zz++++=EXTRAWORD
wakeful ^jj+atrb+++=wakeful
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
regular ^jj++++=regular
breathing ^jj+++xvbg+=breathing
of ^in++++=of
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trailing ^nn++++=trailing
of ^in++++=of
the ^ati++++=the
passing ^jj+atrb++xvbg+=passing
wind ^nn++++=wind
through ^in++++=through
the ^ati++++=the
treetops ^nns+++??+=treetops,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ceaseless ^jj+atrb+++=ceaseless
babble ^nn++++=babble
of ^in++++=of
the ^ati++++=the
rivulet ^nn+nom+++=rivulet
were ^vbd+bed+vrb++=were
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
sounds ^nns++++=sounds
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
to ^in++++=to
her ^pp$+pp3+++=her
faintly ^rb++++=faintly
through ^in++++=through
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
fortnight ^nn++++=fortnight
which ^whp+rel+subj++=which
followed ^vbd+vprv++xvbn+=followed
were ^vbd+bed+vrb++=were
in ^in++++=in
character ^nn+nom+++=character
much ^ap++++=much
like ^in++++=like
the ^ati++++=the
first ^rb++++=first
peaceful ^jj+atrb+++=peaceful,
, ^zz++++=EXTRAWORD
uneventful ^jj+atrb+++=uneventful
day ^nn++++=day
of ^in++++=of
her ^pp$+pp3+++=her
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
exception ^nn+nom+++=exception
only ^rb+down+++=only
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
devoutly ^jj++++=devoutly
heard ^vbd+vprv++xvbn+=heard
mass ^nn++++=mass
every ^at++++=every
morning ^nn++++=morning
at ^in++++=at
an ^at++++=an
early ^jj+atrb+++=early
hour ^nn++++=hour
in ^in++++=in
the ^ati++++=the
convent ^nn++++=convent
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
Sundays ^nrs++++=Sundays
sang ^vbd+++xvbn+=sang
in ^in++++=in
the ^ati++++=the
choir ^nn++++=choir
in ^in++++=in
her ^pp$+pp3+++=her
agreeable ^jj+atrb+++=agreeable,
, ^zz++++=EXTRAWORD
cultivated ^jj+atrb++xvbn+=cultivated
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
with ^in++++=with
delight ^nn++++=delight
and ^cc++++=and
the ^ati++++=the
warmest ^jjt+atrb+++=warmest
appreciation ^nn+nom+++=appreciation.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
her ^pp$+pp3+++=her
departure ^nn++++=departure
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
satisfied ^jj+++xvbn+=satisfied
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj++++=good-bye
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
portal ^nn++++=portal
as ^in++++=as
the ^ati++++=the
others ^aps++++=others
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
down ^rp++++=down
the ^ati++++=the
drive ^nn++++=drive
beside ^in+pl+++=beside
the ^ati++++=the
creeping ^jj+atrb++xvbg+=creeping
old ^jj+atrb+++=old
cabriolet ^nn+nom+++=cabriolet,
, ^zz++++=EXTRAWORD
chattering ^jj++++=chattering
her ^pp$+pp3+++=her
pleasant ^jj++++=pleasant
last ^jj+atrb+++=last
words ^nns++++=words.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood-it
- ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
she ^pp3a+pp3+++=she
might ^md+pos+++=might
go ^vb++++=go-at
- ^zz++++=EXTRAWORD
at ^rb++++=EXTRAWORD
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
good ^jj++++=good-bye
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
fluttering ^nn++++=fluttering
of ^in++++=of
Adrienne ^np++++=Adrienne's
's ^$++++=EXTRAWORD
handkerchief ^nn++++=handkerchief.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
hours ^nns++++=hours
later ^rbr+tm+++=later
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
instructing ^vbg+++xvbgx+=instructing
a ^at++++=a
class ^nn++++=class
of ^in++++=of
little ^jj+atrb+++=little
girls ^nns++++=girls
for ^in++++=for
their ^pp$+pp3+++=their
first ^od++++=first
communion ^nn++++=communion,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
classroom ^nn++++=classroom
clock ^nn++++=clock
and ^cc++++=and
murmured ^vbd+++xvbn+=murmured:
: ^zz++++=EXTRAWORD
" ^zz++++="Adrienne
adrienne ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
at ^rb++++=at
home ^nr++++=home
now. ^nn+++??+=now.""
" ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Adrienne ^np+++??+=Adrienne
was ^vbd+bedz+vrb++=was
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Paris ^np++++=Paris
had ^vbd+hvd+aux++=had
engulfed ^vprf+++xvbnx+=engulfed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
