Adventures ^nns++++=Adventures,
. ^zz++++=EXTRAWORD
The ^ati++++=The
holy ^jj++++=holy
Maria ^&fw++++=Maria
Kleopha ^np+++??+=Kleopha
would ^md+prd+++=would
not ^xnot++not++=not
permit ^vb++++=permit
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
with ^in++++=with
provoking ^jj+atrb+++=provoking
calm ^nn++++=calm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
heads ^nn++++=heads
dropped ^vbd+++xvbn+=dropped
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
an ^at++++=an
uncanny ^nn++++=uncanny
silence ^nn+nom+++=silence
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
the ^ati++++=the
beleaguered ^jj+atrb+++=beleaguered
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
neither ^dt++neg++=neither
moved ^jj+++xvbn+=moved
nor ^cc++neg++=nor
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
brutes ^nns+++??+=brutes
had ^vb+hv+aux++=had
not ^xnot++not++=not
clearly ^rb++++=clearly
seen ^vbd+vprv++xvbn+=seen
or ^cc++++=or
winded ^jj++++=winded
the ^ati++++=the
human ^jj+atrb+++=human
occupants ^nns+nom+++=occupants
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
prowled ^vprf+++xvbnx+=prowled
away ^rp+pl+++=away
on ^in++++=on
some ^dti++++=some
other ^ap++++=other
errand ^nn++++=errand
of ^in++++=of
rapine ^nn++++=rapine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj+atrb+++=long
torture ^nn++++=torture-laden
- ^zz++++=EXTRAWORD
laden ^xvbn+++xvbn+=EXTRAWORD
minutes ^nns++++=minutes
passed ^vbd+++xvbn+=passed
slowly ^rb++++=slowly
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
grows ^vbz++++=grows
cold ^nn++++=cold,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
over ^in++++=over
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
heads ^nns++++=heads
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
heating ^jj+atrb++xvbg+=heating
apparatus ^nn++++=apparatus
does ^vbz+doz+aux++=does
not ^xnot++not++=not
work ^vb++++=work
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
over ^in++++=over
there ^rn+pl+++=there
beyond ^in++++=beyond
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
chimney ^nn++++=chimney
with ^in++++=with
smoke ^nn++++=smoke
coming ^vwbg+++xvbg+=coming
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
snow ^nn++++=snow
has ^vbz+hvz+aux++=has
nearly ^rb+down+splt++=nearly
stopped ^vprf+++xvbnx+=stopped,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
find ^vb+vprv+++=find
a ^at++++=a
path ^nn++++=path
through ^in++++=through
the ^ati++++=the
forest ^nn++++=forest
to ^in++++=to
that ^dt+dem+++=that
house ^npl++++=house
with ^in++++=with
the ^ati++++=the
chimney ^nn++++=chimney."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
wolves ^nps++++=wolves!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Abbleway ^np+++??+=Abbleway;
; ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
may ^md+pos+++=may
" ^zz++++="
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
name ^nn++++=name-day,"
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
woman ^nn++++=woman
obstinately ^rb+cnj+++=obstinately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
stop ^vb++++=stop
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
climbed ^vprf+++xvbn+=climbed
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
hid ^vbd+++xvbnx+=hid
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
two ^cd++++=two
gaunt ^np++++=gaunt
lean ^vb++++=lean
figures ^nns++++=figures
rushed ^vbd+++xvbn+=rushed
upon ^in++++=upon
her ^pp$+pp3+++=her
from ^in++++=from
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
No ^at++++=No
doubt ^nn++++=doubt
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
courted ^vprf+++xvbnx+=courted
her ^pp$+pp3+++=her
fate ^nn++++=fate,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Abbleway ^np+++??+=Abbleway
had ^vb+hv+aux++=had
no ^at++++=no
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
human ^nn++++=human
being ^xvbg+++xvbg+=being
torn ^xvbn+++xvbn+=torn
to ^in++++=to
pieces ^nns++++=pieces
and ^cc++++=and
devoured ^vpsv++agls+xvbn+=devoured
before ^in++++=before
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
last ^rb"++++=last
a ^at++++=a
new ^jj+atrb+++=new
sensation ^nn+nom+++=sensation
of ^in++++=of
scandalised ^jj+atrb+++=scandalised
astonishment ^nn+nom+++=astonishment
took ^vbd+++xvbn+=took
possession ^nn++++=possession
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
straitly ^jj++++=straitly
brought ^xvbn+++xvbn+=brought
up ^rb+phrv+++=up
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
English ^jj+atrb+++=English
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
witness ^nns+nom+++=witness
of ^in++++=of
a ^at++++=a
miracle ^nn++++=miracle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wolves ^nps++++=wolves
were ^vbd+bed+aux++=were
not ^xnot++not++=not
doing ^vbg+++xvbg+=doing
anything ^pn++++=anything
worse ^jjr++++=worse
to ^to+jcmp+++=to
the ^ati++++=the
woman ^nn++++=woman
than ^in++++=than
drench ^nn+++??+=drench
her ^pp$+pp3+++=her
with ^in++++=with
snow ^np++++=snow
as ^ql++++=as
they ^pp3a+pp3+++=they
gambolled ^vbd+++xvbnx+=gambolled
round ^rb++++=round
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
short ^jj++++=short,
, ^zz++++=EXTRAWORD
joyous ^jj++++=joyous
bark ^vb++++=bark
revealed ^vbd+vprv++xvbn+=revealed
the ^ati++++=the
clue ^nn++++=clue
to ^in++++=to
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
those ^dt+dem+++=those
dogs ^nns++++=dogs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
weakly ^rb++++=weakly.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
cousin ^nn++++=cousin
Karl ^np++++=Karl's
's ^$++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
inn ^nn++++=inn,
, ^zz++++=EXTRAWORD
over ^in++++=over
beyond ^in++++=beyond
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
take ^vbi++++=take
you ^pp2+pp2+++=you
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
always ^rb++splt++=always
grasping ^vbg+++xvbgx+=grasping
with ^in++++=with
strangers ^nns+nom+++=strangers.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
grows ^vbz++++=grows
too ^ql++++=too
cold ^jj++++=cold
to ^to++++=to
remain ^vbi++++=remain
in ^in++++=in
the ^ati++++=the
train ^nn++++=train.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
ah ^uh++++=ah,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
comes ^vbz++++=comes!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
whistle ^nn++++=whistle
sounded ^vbd+++xvbn+=sounded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
relief ^nn++++=relief
engine ^nn++++=engine
made ^vbd+++xvbn+=made
its ^pp$+it+++=its
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
snorting ^jj++++=snorting
its ^pp$+it+++=its
way ^nn++++=way
sulkily ^rb++++=sulkily
through ^in++++=through
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
for ^in++++=for
finding ^nn++++=finding
out ^rp+pl+++=out
whether ^cs+who+++=whether
karl ^np++++=Karl
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
avaricious ^jj+pred+++=avaricious.
. ^zz++++=EXTRAWORD
