Roses ^nns++++=ROSES
I ^pp1a+pp1+++=I'mgoing
'mgoing ^jj++be+xvbg+0=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
you ^pp2+pp2+++=you
some ^dti++++=some
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
if ^cs+cnd+++=if
mamma ^npt++++=mamma
is ^vbz+bez+vrb++=is
too ^ql++++=too
busy ^jj+atrb+++=busy
toattend ^nn+++??+=toattend
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
nod ^nn++++=nod
and ^cc++++=and
a ^at++++=a
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
Belle ^np++++=Belle
flew ^vbd+++xvbn+=flew
about ^in++++=about
the ^ati++++=the
room ^nn++++=room
a ^at++++=a
minute ^nn++++=minute;
; ^zz++++=EXTRAWORD
thenvanished ^j+++xvbn+=thenvanished,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
Lizzie ^np+++??+=Lizzie
to ^in++++=to
her ^pp$+pp3+++=her
comfortable ^jj+atrb+++=comfortable
task ^nn++++=task,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
as ^ql++++=as
iffairies ^nns++++=iffairies
still ^rb+atrb+++=still
haunted ^jj+++xvbn+=haunted
the ^ati++++=the
world ^nn++++=world
as ^in++++=as
in ^in"++++=in
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
times ^nns++++=times.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Belle ^np++++=Belle
came ^vbd+++xvbn+=came
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
Lizzieabsorbed ^np+++??+=Lizzieabsorbed
in ^in++++=in
admiring ^xvbg+++xvbg+=admiring
contemplation ^nn+nom+++=contemplation
of ^in++++=of
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
atesponge ^nn+++??+=atesponge-cake
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
blissful ^jj+atrb+++=blissful
sort ^nn++++=sort
of ^in++++=of
waking ^xvbg+++xvbg+=waking-dream.
- ^zz++++=EXTRAWORD
dream ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Mamma
mamma ^npt++++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care
about ^in++++=about
the ^ati++++=the
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
do ^vb+do+vrb++=do
verywell ^nn+++??+=verywell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
worth ^in++++=worth
fussing ^nn++++=fussing
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
those ^dt+pdem+++=those
be ^vb+be+vrb++=be
of ^in++++=of
any ^dti++++=any
useto ^nn+++??+=useto
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
offered ^vbd+++xvbnx+=offered
the ^ati++++=the
nosegay ^nn+++??+=nosegay
with ^in++++=with
a ^at++++=a
much ^ap++++=much
happier ^jjr+atrb+++=happier
face ^nn++++=face
thanthe ^nn+++??+=thanthe
one ^cd1++++=one
Lizzie ^np+++??+=Lizzie
first ^rb++++=first
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
just ^rb+emph+++=just
lovely ^jj+pred+++=lovely!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
copy ^vb++++=copy
that ^tht+rel+++=that
pink ^jj+atrb+++=pink
rose ^nn+++xvbn+=rose
as ^ql++++=as
soon ^rb+tm+++=soon
asever ^jjr++++=asever
I ^pp1a+pp1+++=I
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
learned ^vprf+++xvbnx+=learned
how ^wrb+who+whcl++=how
to ^to++++=to
do ^vbi++++=do
them ^pp3o+pp3+++0='em
tip ^nn++++=tip-top,
- ^zz++++=EXTRAWORD
top ^jjb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^in++++=like
tobring ^xvbg+++xvbg+=tobring
you ^pp2+pp2+++=you
some ^dti++++=some,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
smiling ^vbg+nom++xvbg+=smiling
allover ^jjr++++=allover
her ^pp$+pp3+++=her
face ^nn++++=face
as ^ql++++=as
she ^pp3a+pp3+++=she
buried ^vbd+++xvbnx+=buried
her ^pp3o+pp3+++=her
nose ^nn++++=nose
luxuriously ^rb++++=luxuriously
in ^in++++=in
the ^ati++++=the
fragrantmass ^nns+++??+=fragrantmass.
. ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+vrb++=EXTRAWORD
like ^in++++=like
it ^pp3+it+++=it
very ^ql+amp+++=very
much ^ap++++=much,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
veryclever ^jjr++++=veryclever
to ^to++++=to
make ^vbi++++=make
such ^abl++++=such
pretty ^rb++++=pretty
things ^nns++++=things.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
quite ^rb++++=quite
fancy ^jj+atrb+++=fancy
thoserosebuds ^nns+++??+=thoserosebuds
in ^in++++=in
my ^pp$+pp1+++=my
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
learn ^vb+vprv+++=learn
how ^wrb+who+whcl++=how
tomake ^nn+++??+=tomake
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
an ^at++++=an
orange ^nn++++=orange
in ^in++++=in
your ^pp$+pp2+++=your
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flowers ^nns+nom+++=flowers
in ^in++++=in
water ^nn++++=water
assoon ^nn+++??+=assoon
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
fresh ^jj+pred+++=fresh
when ^wrb+who+++=when
you ^pp2+pp2+++=you
want ^vb++++=want
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-by.Bring
- ^zz++++=EXTRAWORD
by.bring ^jj+atrb++xvbg+=EXTRAWORD
home ^nr++++=home
our ^pp$+pp1+++=our
hats ^nns++++=hats
every ^at++++=every
time ^nn++++=time
and ^cc++++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
how ^wrb+who+++=how
you ^pp2+pp2+++=you
get ^vb++++=get
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
kind ^nn++++=kind
words ^nns++++=words
like ^in++++=like
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
Belle ^np++++=Belle
dismissed ^vbd+++xvbn+=dismissed
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
randownstairs ^nns+++??+=randownstairs,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
as ^ql++++=as
rich ^np++++=rich
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
a ^at++++=a
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
Away ^rp+pl+++=Away
tothe ^nn+++??+=tothe
next ^ap++++=next
place ^nn++++=place
she ^pp3a+pp3+++=she
hurried ^vbd+++xvbnx+=hurried,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
to ^to+jcmp+++=to
get ^vbi++++=get
her ^pp$+pp3+++=her
errands ^vbz+++??+=errands
done ^vprf+++xvbn+=done
and ^cc++++=and
theprecious ^jj+atrb+++=theprecious
posy ^nn++++=posy
safely ^rb++++=safely
into ^in++++=into
fresh ^jj+atrb+++=fresh
water ^nn++++=water.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Turretviile ^np++++=Turretviile
was ^vbd+bedz+vrb++=was
notat ^nn+++??+=notat
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bonnet ^nn++++=bonnet
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
left ^vpsv++agls+xvbnx+=left
till ^cs+sub+++=till
paid ^vprf+++xvbn+=paid
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Lizzieturned ^np+++??+=Lizzieturned
to ^to++++=to
go ^vbi++++=go
down ^rp++++=down
the ^ati++++=the
high ^jj+atrb+++=high
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
glad ^jj++++=glad
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
need ^nn++++=need
not ^xnot++not++=not
wait ^vb++++=wait.
. ^zz++++=EXTRAWORD
Shestopped ^np+++??+=Shestopped
one ^cd1++++=one
instant ^nn+nom+++=instant
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
delicious ^jj+atrb+++=delicious
sniff ^nn+++??+=sniff
at ^rb++++=at
her ^pp3o+pp3+++=her
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
andthat ^nn+++??+=andthat
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
happy ^jj+atrb+++=happy
moment ^nn++++=moment
that ^tht+rel+++=that
poor ^jj+atrb+++=poor
Lizzie ^np+++??+=Lizzie
knew ^vbd+vprv++xvbn+=knew
for ^in++++=for
many ^ap++++=many
wearymonths ^nns+++??+=wearymonths.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
boots ^nns++++=boots
were ^vbd+bed+vrb++=were
large ^jj+pred+++=large
for ^in++++=for
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
steps ^nns++++=steps
slippery ^jj++++=slippery
with ^in++++=with
sleet ^nn++++=sleet,
, ^zz++++=EXTRAWORD
anddown ^j+++xvbn+=anddown
went ^vbd+++xvbn+=went
the ^ati++++=the
little ^jj+atrb+++=little
errand ^nn++++=errand
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
from ^in++++=from
top ^nn++++=top
to ^in++++=to
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
till ^in++++=till
shelanded ^nn++++=shelanded
in ^in++++=in
the ^ati++++=the
gutter ^nn++++=gutter
directly ^rb++++=directly
upon ^in++++=upon
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Turretville ^np++++=Turretville's
's ^$++++=EXTRAWORD
costly ^jj+atrb+++=costly
bonnet ^nn++++=bonnet.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
saved ^vprf+++xvbnx+=saved
my ^pp$+pp1+++=my
posies ^nns+++??+=posies,
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
sighed ^vbd+++xvbn+=sighed
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
picked ^vbd+++xvbnx+=picked
herselfup ^nn+++??+=herselfup,
, ^zz++++=EXTRAWORD
bruised ^j+++xvbn+=bruised,
, ^zz++++=EXTRAWORD
wet ^jj++++=wet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faint ^jj++++=faint
with ^in++++=with
pain ^nn++++=pain;
; ^zz++++=EXTRAWORD
" ^zz++++="but,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
heart ^nn++++=heart!
! ^zz++++=EXTRAWORD
wo ^&fw++++=won'tMadame
n'tmadame ^vbd++not+xvbn+0=EXTRAWORD
scold ^nn+++??+=scold
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
sees ^vbz+vprv+++=sees
that ^tht+vcmp+++=that
band ^nn++++=band-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
smashed ^vbd+++xvbn+=smashed
flat ^nn++++=flat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
thepoor ^nn++++=thepoor
child ^nn++++=child,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
curbstone ^nn+++??+=curbstone
to ^to++++=to
get ^vbi++++=get
her ^pp$+pp3+++=her
breath ^nn++++=breath
and ^cc++++=and
view ^nn++++=view
thedisaster ^nn+nom+++=thedisaster.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rain ^nn++++=rain
poured ^vbd+++xvbn+=poured,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sparrows ^nns++++=sparrows
on ^in++++=on
the ^ati++++=the
park ^npl++++=park
railingchirped ^vbd+++xvbn+=railingchirped
derisively ^rb+cnj+++=derisively,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
came ^vbd+++xvbn+=came
along ^in++++=along
to ^to++++=to
help ^vbi++++=help
Lizzie ^np+++??+=Lizzie
out ^rp+pl+++=out
of ^in++++=of
hertroubles ^nns+++??+=hertroubles.
. ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly
she ^pp3a+pp3+++=she
gathered ^vbd+++xvbnx+=gathered
up ^rp++++=up
her ^pp$+pp3+++=her
burdens ^nns++++=burdens;
; ^zz++++=EXTRAWORD
painfully ^rb++++=painfully
she ^pp3a+pp3+++=she
limpedaway ^nn+++??+=limpedaway
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
boots ^nns++++=boots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
the ^ati++++=the
naughty ^jj+atrb+++=naughty
sparrows ^nns++++=sparrows
saw ^vbd+vprv++xvbn+=saw
of ^in++++=of
herwas ^nns+++??+=herwas
a ^at++++=a
shabby ^jj+atrb+++=shabby
little ^jj+atrb+++=little
figure ^nn++++=figure
going ^vwbg+++xvbg+=going
round ^in++++=round
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
pale,tearful ^jj+atrb+++=pale,tearful
face ^nn++++=face
held ^vbd+vprv++xvbn+=held
lovingly ^rb++++=lovingly
over ^in++++=over
the ^ati++++=the
bright ^jj+atrb+++=bright
bouquet ^nn++++=bouquet
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
onetreasure ^nn+++??+=onetreasure
and ^cc++++=and
her ^pp$+pp3+++=her
only ^rb+down+++=only
comfort ^nn++++=comfort
in ^in++++=in
the ^ati++++=the
moment ^nn++++=moment
which ^whp+rel+subj++=which
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
her ^pp$+pp3+++=her
thegreat ^nn+++??+=thegreat
misfortune ^nn++++=misfortune
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
Forget ^vb+vprv+++=FORGET-ME-NOTS
- ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
- ^zz++++=EXTRAWORD
nots ^nn++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
so ^ql+emph+++=so
relieved ^jj+++xvbn+=relieved
that ^tht+jcmp+++=that
the ^ati++++=the
box ^nn++++=box
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
at ^rb++++=at
last ^rb"++++=last!
! ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
ithad ^nn+++??+=ithad
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
of ^in++++=of
disappointment ^nn+nom+++=disappointment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
criedpretty ^nn+++??+=criedpretty
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
five ^cd++++=five
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
morning ^nn++++=morning
before ^in++++=before
her ^pp$+pp3+++=her
eighteenthbirthday ^nn+++??+=eighteenthbirthday.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
serious ^jj+atrb+++=serious
disappointment ^nn+nom+++=disappointment,
, ^zz++++=EXTRAWORD
darling ^np+nom+++=darling;
; ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
sotmy ^nn+++??+=sotmy
heart ^nn++++=heart
on ^in++++=on
your ^pp$+pp2+++=your
wearing ^vbg+++xvbg+=wearing
my ^pp$+pp1+++=my
gift ^nn++++=gift
tomorrow ^nr+tm+++=to-morrow
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
thesteamers ^nns+nom+++=thesteamers
kept ^vbd+++xvbn+=kept
coming ^vbg+++xvbg+=coming
in ^in++++=in
without ^in++++=without
my ^pp$+pp1+++=my
trunk ^nn++++=trunk
from ^in++++=from
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
veryanxious ^jj+pred+++=veryanxious.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=will
like ^vb++++=like
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
mamma ^npt++++=mamma,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
like ^vb++++=like
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
taste ^nn++++=taste
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
good ^jj++++=good
and ^cc++++=and
youknow ^nn+++??+=youknow
what ^wdt+who+++=what
suits ^nns++++=suits
me ^pp1o+pp1+++=me
so ^ql++++=so
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Make ^vb++++=Make
haste ^nn++++=haste,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
dying ^vbg+++xvbgx+=dying
to ^to++++=to
see ^vbi+vprv+++=see
it,"said ^nn+++??+=it,"said
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
dancing ^vbg+++xvbg+=dancing
about ^in++++=about
the ^ati++++=the
great ^jj+atrb+++=great
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
maid ^np++++=maid
carefullyunfolded ^vbd+++xvbn+=carefullyunfolded
tissue ^nn++++=tissue
papers ^nns++++=papers
and ^cc++++=and
muslin ^nn++++=muslin
wrappers ^nns+nom+++=wrappers.
. ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
first ^od++++=first
ball ^nn++++=ball-dress
- ^zz++++=EXTRAWORD
dress ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
grand ^jj+atrb+++=grand
affair, ^nn+++??+=affair,--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
atleast ^nn+++??+=atleast;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Belle ^np++++=Belle
soon ^rb+tm+++=soon
stopped ^vbd+++xvbn+=stopped
dancing ^vbg+++xvbg+=dancing,
, ^zz++++=EXTRAWORD
to ^to++++=to
stand ^vbi++++=stand
with ^in++++=with
clasped ^vwbn+++xvbn+=clasped
hands,eager ^jjr+atrb+++=hands,eager
eyes ^nns++++=eyes
and ^cc++++=and
parted ^jj+atrb++xvbn+=parted
lips ^nns++++=lips
before ^in++++=before
the ^ati++++=the
snowy ^jj+atrb+++=snowy
pile ^nn++++=pile
of ^in++++=of
illusion ^nn++++=illusion
thatwas ^nns+++??+=thatwas
at ^rb++++=at
last ^rb"++++=last
daintily ^jj++++=daintily
lifted ^jj+++xvbn+=lifted
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Mariedisplayed ^np+++??+=Mariedisplayed
its ^pp$+it+++=its
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
little ^ap++++=little
cries ^nns++++=cries
of ^in++++=of
delight ^nn++++=delight
were ^vbd+bed+aux++=were
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
andwhen ^j+++xvbn+=andwhen
the ^ati++++=the
whole ^jj+atrb+++=whole
delicate ^jj+atrb+++=delicate
dress ^nn++++=dress
was ^vbd+bedz+aux++=was
arranged ^vpsv++agls+xvbnx+=arranged
to ^to+vcmp+++=to
the ^ati++++=the
best ^jjt+atrb+++=best
effect ^nn++++=effect
shethrew ^nn+++??+=shethrew
herself ^ppl+pp3+++=herself
upon ^in++++=upon
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
and ^cc++++=and
actually ^rb+amp+++=actually
cried ^vbd+++xvbn+=cried
withpleasure ^nn+++??+=withpleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="Mamma,
mamma ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
too ^ql++++=too
lovely ^jj++++=lovely
I ^pp1a+pp1+++=I
and ^cc++++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
very ^ap+amp+++=very
kind ^nn++++=kind
to ^to++++=to
do ^vbi++++=do
so ^ql++++=so
much ^ap++++=much
forme ^nn+++??+=forme.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
ever ^rb++++=ever
thank ^vb++++=thank
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
putting ^xvbg+++xvbg+=putting
it ^pp3+it+++=it
right ^jj++++=right
on ^in++++=on
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
it ^pp3+it+++=it
fits ^vbz++++=fits;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
you ^pp2+pp2+++=you
wear ^vb++++=wear
it ^pp3+it+++=it
lookyour ^nn+++??+=lookyour
happiest ^jjt++++=happiest,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+vrb++=be
proud ^jj+pred+++=proud
of ^in++++=of
my ^pp$+pp1+++=my
pretty ^jj+atrb+++=pretty
daughter ^nn+nom+++=daughter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mamma ^npt++++=Mamma
got ^vbd+++xvbn+=got
no ^at++++=no
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
for ^in++++=for
Marie ^np++++=Marie
uttered ^vwbn+++xvbn+=uttered
a ^at++++=a
French ^nn++++=French
shriek ^vb++++=shriek,
, ^zz++++=EXTRAWORD
wrung ^jj+atrb++xvbn+=wrung
herhands ^nns+++??+=herhands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
began ^vbd+++xvbn+=began
to ^to++++=to
burrow ^vbi+++??+=burrow
wildly ^rb++++=wildly
in ^in++++=in
the ^ati++++=the
trunk ^nn++++=trunk
and ^cc++++=and
among ^in++++=among
thepapers ^nns+nom+++=thepapers,
, ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying
distractedly ^jj++++=distractedly:
: ^zz++++=EXTRAWORD
" ^zz++++="Great
great ^jj+atrb+++=EXTRAWORD
Heavens ^nns++++=Heavens,
, ^zz++++=EXTRAWORD
madame ^npt++++=madame!
! ^zz++++=EXTRAWORD
the ^ati++++=the
wreath ^nn++++=wreath
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
forgotten ^vpsv++agls+xvbnx+=forgotten!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
anaffliction ^nn+nom+++=anaffliction!
! ^zz++++=EXTRAWORD
