Belle ^np++++=Belle
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
that ^dt+pdem+++=that
excited ^vbd+++xvbn+=excited
his ^pp$+pp3+++=his
already ^rb++++=already
aroused ^vbd+++xvbn+=aroused
fancy ^jj++++=fancy.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
year ^nn++++=year
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
devoting ^vbg+++xvbgx+=devoting
all ^rb++++=all
of ^in++++=of
his ^pp$+pp3+++=his
odd ^jj+atrb+++=odd
moments ^nns+nom+++=moments
to ^in++++=to
the ^ati++++=the
reading ^jj+++xvbg+=reading
of ^in++++=of
books ^nns++++=books
and ^cc++++=and
now ^rn+tm+++=now
some ^dti++++=some
tale ^nn++++=tale
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
read ^vprf+++xvbnx+=read
concerning ^in++++=concerning
life ^nn++++=life
in ^in++++=in
old ^jj+atrb+++=old
world ^nn++++=world
towns ^nns++++=towns
of ^in++++=of
the ^ati++++=the
middle ^jjb+atrb+++=middle
ages ^nns++++=ages
came ^vbd+++xvbn+=came
sharply ^rb++++=sharply
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
mind ^nn++++=mind
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
stumbled ^vbd+++xvbnx+=stumbled
forward ^rb++++=forward
with ^in++++=with
the ^ati++++=the
curious ^jj++++=curious
feeling ^jj+++xvbg+=feeling
of ^in++++=of
one ^cd1++++=one
revisiting ^nvbg+++xvbg+=revisiting
a ^at++++=a
place ^nn++++=place
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
part ^nn++++=part
of ^in++++=of
some ^dti++++=some
former ^ap++++=former
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
On ^in++++=On
an ^at++++=an
impulse ^nn++++=impulse
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
street ^nn++++=street
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
into ^in++++=into
a ^rb++++=a
little ^rb"++++=little
dark ^jj+atrb+++=dark
alleyway ^nn+++??+=alleyway
behind ^in+pl+++=behind
the ^ati++++=the
sheds ^nns++++=sheds
in ^in++++=in
which ^whp+rel+pied++=which
lived ^vbd+++xvbn+=lived
the ^ati++++=the
cows ^nns++++=cows
and ^cc++++=and
pigs ^nns++++=pigs.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
half ^nn++++=half
hour ^nn++++=hour
he ^pp3a+pp3+++=he
stayed ^vbd+++xvbnx+=stayed
in ^in++++=in
the ^ati++++=the
alleyway ^nn+++??+=alleyway,
, ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=smelling
the ^ati++++=the
strong ^jj+atrb+++=strong
smell ^nn++++=smell
of ^in++++=of
animals ^nns+nom+++=animals
too ^rb++++=too
closely ^rb++++=closely
housed ^vbd+++xvbn+=housed
and ^cc+phrs+++=and
letting ^vbg+++xvbg+=letting
his ^pp$+pp3+++=his
mind ^nn++++=mind
play ^nn++++=play
with ^in++++=with
the ^ati++++=the
strange ^jj+atrb+++=strange
new ^jj+atrb+++=new
thoughts ^nns++++=thoughts
that ^tht+ncmp+subj++=that
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
rankness ^nns+nom+++=rankness
of ^in++++=of
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
manure ^nn++++=manure
in ^in++++=in
the ^ati++++=the
clear ^jj+atrb+++=clear
sweet ^jj+atrb+++=sweet
air ^nn++++=air
awoke ^vbd+++xvbn+=awoke
something ^pn++++=something
heady ^jj++++=heady
in ^in++++=in
his ^pp$+pp3+++=his
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
houses ^nns++++=houses
lighted ^vwbn+++xvbn+=lighted
by ^in++++=by
kerosene ^nn+++??+=kerosene
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
chimneys ^nns++++=chimneys
mounting ^vwbg+++xvbg+=mounting
straight ^jj++++=straight
up ^rp++++=up
into ^in++++=into
the ^ati++++=the
clear ^jj+atrb+++=clear
air ^nn++++=air,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grunting ^nn++++=grunting
of ^in++++=of
pigs ^nns++++=pigs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
women ^nns++++=women
clad ^jj++++=clad
in ^in++++=in
cheap ^jj+atrb+++=cheap
calico ^nn+++??+=calico
dresses ^nns+nom+++=dresses
and ^cc++++=and
washing ^nvbg+++xvbg+=washing
dishes ^nns++++=dishes
in ^in++++=in
the ^ati++++=the
kitchens ^nns++++=kitchens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
footsteps ^nns++++=footsteps
of ^in++++=of
men ^nns++++=men
coming ^vwbg+++xvbg+=coming
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
and ^cc++++=and
going ^vbg+++xvbg+=going
off ^rp+pl+++=off
to ^in++++=to
the ^ati++++=the
stores ^nns++++=stores
and ^cc++++=and
saloons ^nns+++??+=saloons
of ^in++++=of
Main ^jjb+atrb+++=Main
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dogs ^nns++++=dogs
barking ^vwbg+++xvbg+=barking
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
crying ^vwbg+++xvbg+=crying
all ^abn++++=all
these ^dt+dem+++=these
things ^nns++++=things
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
seem ^vb+seem+++=seem,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
lurked ^vbd+++xvbnx+=lurked
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
oddly ^rb++++=oddly
detached ^jj+++xvbn+=detached
and ^cc++++=and
apart ^in++++=apart
from ^in"++++=from
all ^abn++++=all
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
excited ^jj+atrb++xvbn+=excited
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
bear ^vbi+vprv+++=bear
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
move ^vbi++++=move
cautiously ^rb++++=cautiously
along ^in++++=along
the ^ati++++=the
alleyway ^nn+++??+=alleyway.
. ^zz++++=EXTRAWORD
A ^at++++=A
dog ^nn++++=dog
attacked ^vbd+++xvbn+=attacked
him ^pp3o+pp3+++=him
and ^cc++++=and
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
driven ^vbd+++xvbn+=driven
away ^rp+pl+++=away
with ^in++++=with
stones ^nns++++=stones
and ^cc++++=and
a ^at++++=a
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
swear ^vbi+vpub++xvbn+=swear
at ^in++++=at
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
George ^np++++=George
went ^vbd+++xvbn+=went
into ^in++++=into
a ^at++++=a
vacant ^jj+atrb+++=vacant
lot ^nn++++=lot
and ^cc++++=and
throwing ^vbg+++xvbg+=throwing
back ^jjb++++=back
his ^pp$+pp3+++=his
head ^jjb++++=head
looked ^jj+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
unutterably ^jj++++=unutterably
big ^jj++++=big
and ^cc++++=and
re ^in++++=re-made
- ^zz++++=EXTRAWORD
made ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
simple ^jj+atrb+++=simple
experience ^nn+nom+++=experience
through ^in++++=through
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
passing ^vbg+++xvbgx+=passing
and ^cc++++=and
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
fervor ^nn++++=fervor
of ^in++++=of
emotion ^nn+nom+++=emotion
put ^vbd+++xvbn+=put
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
thrusting ^vbg+++xvbg+=thrusting
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness
above ^rb++++=above
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
muttering ^nvbg+++xvbg+=muttering
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
desire ^nn++++=desire
to ^to+ncmp+++=to
say ^vbi+vpub+tht0++=say
words ^nns++++=words
overcame ^vbd+++xvbn+=overcame
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
words ^nns++++=words
without ^in++++=without
meaning ^xvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
rolling ^jj+++xvbg+=rolling
them ^pp3o+pp3+++=them
over ^in++++=over
on ^in++++=on
his ^pp$+pp3+++=his
tongue ^nn++++=tongue
and ^cc++++=and
saying ^nvbg+++xvbg+=saying
them ^pp3o+pp3+++=them
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
brave ^jj+atrb+++=brave
words ^nns++++=words,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning.
. ^zz++++=EXTRAWORD
" ^zz++++="Death,"
death ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered,
, ^zz++++=EXTRAWORD
" ^zz++++="night,
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
loveliness ^nns+nom+++=loveliness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
Willard ^np+++??+=Willard
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
vacant ^jj+atrb+++=vacant
lot ^nn++++=lot
and ^cc++++=and
stood ^vbd+++xvbn+=stood
again ^rb+tm+++=again
on ^in++++=on
the ^ati++++=the
sidewalk ^nn++++=sidewalk
facing ^vwbg+++xvbg+=facing
the ^ati++++=the
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
street ^nn++++=street
must ^md+nec+++=must
be ^vb+be+vrb++=be
brothers ^nns+nom+++=brothers
and ^cc++++=and
sisters ^nns+nom+++=sisters
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
wished ^vbd+vprv+tht0+xvbnx+=wished
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
call ^vbi++++=call
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
houses ^nns++++=houses
and ^cc++++=and
to ^to++++=to
shake ^vbi++++=shake
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
a ^at++++=a
woman ^nn++++=woman
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
would ^md+prd+++=would
take ^vb++++=take
hold ^nn++++=hold
of ^in++++=of
her ^pp$+pp3+++=her
hand ^nn++++=hand
and ^cc++++=and
we ^pp1a+pp1+++=we
would ^md+prd+++=would
run ^vb+++xvbn+=run
until ^cs+sub+++=until
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
both ^abx++++=both
tired ^jj+++xvbn+=tired
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
would ^md+prd+++=would
make ^vb++++=make
me ^pp1o+pp1+++=me
feel ^vb+vprv+++=feel
better ^jjr++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
street ^nn++++=street
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
toward ^in++++=toward
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
would ^md+prd+++=would
understand ^vb+vprv+tht0++=understand
his ^pp$+pp3+++=his
mood ^nn++++=mood
and ^cc++++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
achieve ^vb++++=achieve
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
a ^at++++=a
position ^nn+nom+++=position
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
wanting ^vbg+++xvbgx+=wanting
to ^to+vcmp+++=to
achieve ^vbi++++=achieve.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
past ^jjb++++=past
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
with ^in++++=with
her ^pp$+pp3+++=her
and ^cc++++=and
had ^vbd+hvd+aux++=had
kissed ^vprf+++xvbnx+=kissed
her ^pp$+pp3+++=her
lips ^nns++++=lips
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
away ^rp+pl+++=away
filled ^vbd+++xvbn+=filled
with ^in++++=with
anger ^nn++++=anger
at ^in++++=at
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
like ^in++++=like
one ^cd1++++=one
being ^xvbg+++xvbg+=being
used ^vbd+++xvbn+=used
for ^in++++=for
some ^dti++++=some
obscure ^jj+atrb+++=obscure
purpose ^nn++++=purpose
and ^cc++++=and
had ^vb+hv+aux++=had
not ^xnot++not++=not
enjoyed ^vprf+++xvbn+=enjoyed
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
suddenly ^rb++splt++=suddenly
become ^vb++++=become
too ^ql++++=too
big ^jj++++=big
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
George ^np++++=George
Willard ^np+++??+=Willard
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
Belle ^vb++++=Belle
Carpenter ^np+nom+++=Carpenter's
's ^$++++=EXTRAWORD
house ^npl++++=house
there ^rn+pl+++=there
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
visitor ^nn++++=visitor
there ^rn+pl+++=there
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Ed ^np++++=Ed
Handby ^np+++??+=Handby
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
calling ^nvbg+++xvbg+=calling
Belle ^np++++=Belle
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
talk ^vbi++++=talk
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
wanted ^vprf+++xvbnx+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
the ^ati++++=the
woman ^nn++++=woman
to ^to++++=to
come ^vbi++++=come
away ^rp+pl+++=away
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
to ^to++++=to
be ^vbi++vrb++=be
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
by ^in++++=by
the ^ati++++=the
door ^nn++++=door
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
self ^nn++++=self-assurance
- ^zz++++=EXTRAWORD
assurance ^nn+nom+++=EXTRAWORD
and ^cc++++=and
became ^vbd+++xvbn+=became
sullen ^jj++++=sullen.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
stay ^vb++++=stay
away ^in+pl+++=away
from ^in"++++=from
that ^dt+dem+++=that
kid ^nn++++=kid,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
growled ^vbd+++xvbnx+=growled,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
knowing ^vbg+vprv++xvbg+=knowing
what ^wdt+who+whcl++=what
else ^rb+cnj+++=else
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
to ^to++++=to
go ^vbi++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
catch ^vb++++=catch
you ^pp2+pp2+++=you
together ^nn+nom+++=together
I ^pp1a+pp1+++=I
will ^md+prd+++=will
break ^vb++++=break
your ^pp$+pp2+++=your
bones ^nns++++=bones
and ^cc++++=and
his ^pp$+pp3+++=his
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bartender ^jjr++++=bartender
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
woo ^vbi++++=woo,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
threaten ^vbi++++=threaten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
angry ^jj+pred+++=angry
with ^in++++=with
himself ^ppl+pp3+++=himself
because ^cs+cos+++=because
of ^in"++++=of
his ^pp$+pp3+++=his
failure ^nn++++=failure.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
her ^pp$+pp3+++=her
lover ^nn++++=lover
had ^vbd+hvd+aux++=had
departed ^vprf+++xvbnx+=departed
Belle ^np++++=Belle
went ^vbd+++xvbn+=went
indoors ^rn+pl+++=indoors
and ^cc++++=and
ran ^vbd+++xvbn+=ran
hurriedly ^rb++++=hurriedly
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
From ^in++++=From
a ^at++++=a
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
upper ^jjb+atrb+++=upper
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
Ed ^np++++=Ed
Handby ^np+++??+=Handby
cross ^nn++++=cross
the ^ati++++=the
street ^nn++++=street
and ^cc++++=and
sit ^vb++++=sit
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
horse ^nn++++=horse
block ^nn++++=block
before ^in++++=before
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
a ^at++++=a
neighbor ^nn++++=neighbor.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
dim ^jj+atrb+++=dim
light ^nn++++=light
the ^ati++++=the
man ^nn++++=man
sat ^vbd+++xvbn+=sat
motionless ^jj++++=motionless
holding ^jj+++xvbg+=holding
his ^pp$+pp3+++=his
head ^nn++++=head
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
happy ^jj++++=happy
by ^in++++=by
the ^ati++++=the
sight ^nn++++=sight
and ^cc+cls+++=and
when ^wrb+who+++=when
George ^np++++=George
Willard ^np+++??+=Willard
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
door ^nn++++=door
she ^pp3a+pp3+++=she
greeted ^vbd+++xvbnx+=greeted
him ^pp3o+pp3+++=him
effusively ^jj++++=effusively
and ^cc++++=and
hurriedly ^rb++++=hurriedly
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
as ^ql++++=as
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
through ^in++++=through
the ^ati++++=the
streets ^nns++++=streets
with ^in++++=with
young ^jj+atrb+++=young
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
Ed ^np++++=Ed
Handby ^np+++??+=Handby
would ^md+prd+++=would
follow ^vb+vprv+++=follow
and ^cc++++=and
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
suffer ^vb++++=suffer.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
hour ^nn++++=hour
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
and ^cc++++=and
the ^ati++++=the
young ^jj+atrb+++=young
reporter ^nn+nom+++=reporter
walked ^vbd+++xvbn+=walked
about ^in++++=about
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees
in ^in++++=in
the ^ati++++=the
sweet ^jj+atrb+++=sweet
night ^nn++++=night
air ^nn++++=air.
. ^zz++++=EXTRAWORD
George ^np++++=George
Willard ^np+++??+=Willard
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
big ^jj+atrb+++=big
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sense ^nn++++=sense
of ^in++++=of
power ^nn++++=power
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
him ^pp3o+pp3+++=him
during ^in++++=during
the ^ati++++=the
hour ^nn++++=hour
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
of ^in++++=of
the ^ati++++=the
alleyway ^nn+++??+=alleyway
remained ^vbd+++xvbn+=remained
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
boldly ^rb+cnj+++=boldly,
, ^zz++++=EXTRAWORD
swaggering ^jj+++xvbg+=swaggering
along ^in++++=along
and ^cc++++=and
swinging ^vbg+++xvbg+=swinging
his ^pp$+pp3+++=his
arms ^nns++++=arms
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
make ^vbi++++=make
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
realize ^vb+vprv+++=realize
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
his ^pp$+pp3+++=his
former ^ap++++=former
weakness ^nns+nom+++=weakness
and ^cc++++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
find ^vb+vprv+++=find
me ^pp1o+pp1+++=me
different ^jj++++=different,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared,
, ^zz++++=EXTRAWORD
thrusting ^vbg+++xvbg+=thrusting
his ^pp$+pp3+++=his
hands ^nns++++=hands
into ^in++++=into
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
and ^cc++++=and
looking ^vbg+++xvbg+=looking
boldly ^rb++++=boldly
into ^in++++=into
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
but ^cc++++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^rb++++=so.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^md"++pmd"++=have
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
take ^vb++++=take
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
man ^nn++++=man
or ^cc++++=or
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Up ^rp++++=Up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
quiet ^jj+atrb+++=quiet
streets ^nns++++=streets
under ^in++++=under
the ^ati++++=the
