Lark ^nn++++=Lark
test ^nn++++=test
into ^in++++=into
a ^at++++=a
bag ^nn++++=bag
so ^rb++++=so
quickly ^rb++++=quickly
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
missed ^vprf+++xvbnx+=missed
it ^pp3+it+++=it
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
watching ^vbg+++xvbgx+=watching
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
with ^in++++=with
an ^at++++=an
unblinking ^nvbg+++xvbg+=unblinking,
, ^zz++++=EXTRAWORD
morbid ^jj+atrb+++=morbid
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
positive ^jj+pred+++=positive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
test ^nn++++=test.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
talked ^vbd+++xvbn+=talked
about ^in++++=about
what ^wdt+who+++=what
to ^to++++=to
do ^vbi++++=do
and ^cc+phrs+++=and
decided ^vprf++tht0+xvbn+=decided
we ^pp1a+pp1+++=we
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
handle ^vb++++=handle
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+tht0++=mean
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
mean ^vb+vprv+++=mean
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
responded ^vbd+++xvbn+=responded
with ^in++++=with
a ^at++++=a
grunt ^nn++++=grunt.
. ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
slowly ^rb++splt++=slowly
secreting ^vbg+++xvbgx+=secreting
from ^in++++=from
the ^ati++++=the
twins ^nns++++=twins'
' ^zz++++=EXTRAWORD
skin ^nn++++=skin
was ^vbd+bedz+vrb++=was
staining ^nn++++=staining
my ^pp$+pp1+++=my
pillowcase ^nn+++??+=pillowcase,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
sitting ^vbg+++xvbgx+=sitting
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="After
after ^in++++=EXTRAWORD
the ^ati++++=the
test ^nn++++=test,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
to ^in++++=to
a ^at++++=a
clinic ^nn++++=clinic.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
the ^ati++++=the
pills ^nns++++=pills
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better
that ^tht+jcmp+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mom ^nn+++??+=mom
works ^nns++++=works
nights ^nns++++=nights.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard
for ^in++++=for
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
it ^pp3+it+++=it
basically ^rb+cnj+++=basically,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
gotten ^vprf+++xvbnx+=gotten
scared ^xvbn+++xvbn+=scared
that ^dt+dem+++=that
something ^pn++++=something
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong
and ^cc+phrs+++=and
considered ^jj+++xvbn+=considered
calling ^jj+++xvbg+=calling
911 ^cd++++=911.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
impossible ^jj++++=impossible
that ^tht+jcmp+++=that
anyone ^pn++++=anyone
in ^in++++=in
the ^ati++++=the
medical ^jj+atrb+++=medical
field ^nn++++=field
would ^md+prd+++=would
allow ^vb++++=allow
a ^at++++=a
human ^nn++++=human
being ^vwbg+beg++xvbg+=being
to ^in++++=to
experience ^nn+nom+++=experience
what ^wdt+who+++=what
Jaclyn ^np+++??+=Jaclyn
went ^vbd+++xvbn+=went
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
911 ^cd++++=911.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
drove ^vbd+++xvbnx+=drove
her ^pp$+pp3+++=her
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
Volvo ^np++++=Volvo.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
left ^vbd+++xvbn+=left
it ^pp3+it+++=it
home ^nr++++=home
most ^ql+emph+++=most
days ^nns++++=days
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe.
. ^zz++++=EXTRAWORD
" ^zz++++="Whatever,"
whatever ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
all ^abn++++=all
day ^nn++++=day.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++0=wanna
to ^to+vcmp+++=EXTRAWORD
know ^vbi+vprv+++=know
what ^wdt+who+whcl++=what
woulda ^nn+++??+=woulda
happened ^vbd+++xvbn+=happened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
psychic ^jj++++=psychic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
psychic ^jj++++=psychic!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
gotta ^md+nec+++0=gotta
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
ask ^vb++++=ask
to ^to+vcmp+++=to
go ^vbi++++=go
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
mother ^npt++++=mother
loved ^vbd+++xvbn+=loved
those ^dt+dem+++=those
kinds ^nns++++=kinds
of ^in++++=of
places ^nns++++=places.
. ^zz++++=EXTRAWORD
" ^zz++++="Okay,"
okay ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
through ^in++++=through
my ^pp$+pp1+++=my
guilt ^nn++++=guilt.
. ^zz++++=EXTRAWORD
" ^zz++++="Okay."
okay ^rb+dspt+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
threw ^vbd+++xvbnx+=threw
on ^rb+phrv+++=on
some ^dti++++=some
jeans ^nns++++=jeans,
, ^zz++++=EXTRAWORD
some ^dti++++=some
Chucks ^np+++??+=Chucks,
, ^zz++++=EXTRAWORD
a ^at++++=a
light ^nn++++=light
jacket ^nn++++=jacket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
twins ^nns++++=twins
were ^vbd+bed+aux++=were
losing ^vbg+++xvbgx+=losing
their ^pp$+pp3+++=their
pink ^nn++++=pink
shine ^vb++++=shine
and ^cc+phrs+++=and
becoming ^vbg+++xvbg+=becoming
a ^at++++=a
grayish ^jj+atrb+++=grayish
red ^nn++++=red.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understood ^vbd+vprv+tht0+xvbnx+=understood
their ^pp$+pp3+++=their
time ^nn++++=time
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited.
. ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
go ^vb++++=go,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad,
, ^zz++++=EXTRAWORD
hurry ^np++++=hurry
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said
as ^ql++++=as
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
tiny ^jj+atrb+++=tiny
arms ^nns++++=arms
toward ^in++++=toward
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
toddler ^nn++++=toddler
waiting ^vb+++xvbg+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
scooped ^vpsv++agls+xvbnx+=scooped
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
not ^xnot++not++=not
to ^to++++=to
look ^vbi++++=look
repulsed ^vbd+++xvbn+=repulsed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lowered ^vbd+++xvbnx+=lowered
my ^pp$+pp1+++=my
hand ^nn++++=hand
so ^ql++++=so
they ^pp3a+pp3+++=they
could ^md+pos+++=could
climb ^vb++++=climb
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
hop ^vbi++++=hop
up ^rp++++=up
onto ^in++++=onto
my ^pp$+pp1+++=my
hand ^nn++++=hand
in ^in++++=in
one ^cd1++++=one
great ^jj++++=great
leap ^vb++++=leap.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tripped ^vbd+++xvbnx+=tripped
and ^cc+phrs+++=and
fell ^vbd+++xvbn+=fell
face ^nn++++=face-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
into ^in++++=into
my ^pp$+pp1+++=my
clammy ^jj+atrb+++=clammy
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
" ^zz++++="Whoops,"
whoops ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
settled ^vpsv++agls+xvbnx+=settled
and ^cc++++=and
upright ^jj++++=upright,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
practiced ^vbd+++xvbnx+=practiced
moving ^vbg+++xvbg+=moving
while ^cs+sub+++=while
holding ^nvbg+++xvbg+=holding
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Cradling ^np+nom++??+=Cradling
them ^pp3o+pp3+++=them
like ^in++++=like
puddles ^nns++++=puddles
in ^in++++=in
my ^pp$+pp1+++=my
cupped ^jj+atrb+++=cupped
palm ^nn++++=palm.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
cool ^vb++++=cool
and ^cc++++=and
slimy ^jj++++=slimy.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
guys ^nns++++=guys
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
okay ^rb+dspt+++=okay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
quick ^jj+atrb+++=quick
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
left ^jj+++xvbn+=left
palm ^np++++=palm
and ^cc++++=and
the ^ati++++=the
twins ^nns++++=twins
close ^in+cmpx+++=close
to ^in"++++=to
my ^pp$+pp1+++=my
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
my ^pp$+pp1+++=my
right ^jj+atrb+++=right
hand ^nn++++=hand
to ^in++++=to
shield ^nn++++=shield
them ^pp3o+pp3+++=them
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
guard ^vb++++=guard
a ^at++++=a
flame ^nn++++=flame
from ^in++++=from
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
fall ^nn++++=fall
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
hand ^nn++++=hand
onto ^in++++=onto
the ^ati++++=the
concrete ^nn++++=concrete,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
proud ^jj++++=proud
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
curled ^vbd+++xvbn+=curled
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small
ball ^nn++++=ball
and ^cc++++=and
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
with ^in++++=with
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
kicked ^vbd+++xvbn+=kicked
at ^rb++++=at
her ^pp3o+pp3+++=her
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Baby!
baby ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Baby ^nn++++=Baby,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
baby ^nn++++=baby!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stopped ^vbd+++xvbnx+=stopped
walking ^vbg+++xvbg+=walking.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey,"
hey ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be
nice ^jj+pred+++=nice
for ^in++++=for
one ^cd1++++=one
second ^od++++=second?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi+vbi+aux++=be
a ^at++++=a
jerk ^vb++++=jerk
all ^abn++++=all
day ^nn++++=day?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
genes ^nns++++=genes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
funny ^jj++++=funny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
make ^vbi++++=make
my ^pp$+pp1+++=my
voice ^nn++++=voice
bigger ^jjr++++=bigger
than ^in++++=than
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
cool ^jj++++=cool.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
shifting ^jj+++xvbg+=shifting
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention
to ^in++++=to
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
peeking ^vbg+++xvbgx+=peeking
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
ball ^nn++++=ball
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
rolled ^vprf+++xvbnx+=rolled
herself ^ppl+pp3+++=herself
into ^in+strn+++=into.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
stand ^vb++++=stand
up ^rp++++=up
for ^in++++=for
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
anybody ^pn++++=anybody
push ^vb++++=push
you ^pp2+pp2+++=you
around ^rp++++=around
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Okay,"
okay ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
squeaked ^vbd+++xvbn+=squeaked.
. ^zz++++=EXTRAWORD
" ^zz++++="Whatever,"
whatever ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
project ^vbi++++=project
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
disappointment ^nn+nom+++=disappointment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
back ^jjb++++=back
at ^in++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
disappointment ^nn+nom+++=disappointment
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
him ^pp3o+pp3+++=him
to ^to++++=to
feel ^vbi+vprv+++=feel
rain ^nn++++=rain
back ^jjb++++=back
all ^abn++++=all
over ^rp++++=over
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued
walking ^vbg+++xvbg+=walking
toward ^in++++=toward
the ^ati++++=the
psychic ^jj+atrb+++=psychic's
's ^vbz+bez+vrb++0=EXTRAWORD
place ^nn++++=place
without ^in++++=without
looking ^xvbg+++xvbg+=looking
back ^jjb++++=back
into ^in++++=into
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
psychic ^jj++++=psychic
two ^cd++++=two
days ^nns++++=days
before ^in++++=before
our ^pp$+pp1+++=our
appointment ^nn+nom+++=appointment
at ^in++++=at
the ^ati++++=the
clinic ^nn++++=clinic.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
asked ^vprf++tht0+xvbnx+=asked
her ^pp$+pp3+++=her
not ^xnot++not++=not
to ^to++++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
asked ^vprf++tht0+xvbnx+=asked
her ^pp$+pp3+++=her
which ^whp+who+++=which
psychic ^jj++++=psychic
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^to++++=to
and ^cc+cls+++=and
when ^wrb+who+++=when.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
that ^dt+dem+++=that
guy ^np++++=guy
on ^in++++=on
Lark ^nn++++=Lark
tomorrow ^nr+tm+++=tomorrow
afternoon ^nn++++=afternoon
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
come ^vbi++++=come
with ^in++++=with
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
told ^vprf++tht0+xvbnx+=told
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^cs+sub+++=in
that ^cs"++++=that
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
anything ^pn++++=anything,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
night ^nn++++=night
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
called ^vprf+++xvbnx+=called
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
crazy ^jj+pred+++=crazy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
' ^zz++++='Even
even ^cs+sub+++=EXTRAWORD
though ^cs+sub+++=though
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
stuck ^vprf+++xvbn+=stuck,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
do ^vb++++=do
what ^wdt+who+++=what
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best
for ^in++++=for
you, ^nn+++??+=you,'"
'" ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
