Somewhere ^rb++++=Somewhere
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
resolutely ^rb++++=resolutely
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
V ^zz++++=V,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learned ^vbd+vprv++xvbn+=learned
many ^ap++++=many
things ^nns++++=things.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
how ^wrb+who+whcl++=how
shoes ^nns++++=shoes
that ^tht+rel+subj++=that
look ^vb++++=look
like ^in++++=like
six ^cd++++=six
dollar ^nn++++=dollar
values ^nns++++=values
may ^md+pos+++=may
be ^vb+be+aux++=be
sold ^vpsv++agls+xvbnx+=sold
for ^in++++=for
two ^cd++++=two-fifty.
- ^zz++++=EXTRAWORD
fifty ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
on ^in++++=on
in ^in++++=in
wide ^jj++++=wide-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
horror ^nn++++=horror
while ^cs+sub+++=while
Sophy ^np++++=Sophy
fitted ^vwbn+++xvbn+=fitted
a ^at++++=a
No ^rb++++=No.
. ^zz++++=EXTRAWORD
5 ^zz++++=5
C ^zz++++=C
shoe ^nn++++=shoe
on ^in++++=on
a ^at++++=a
6 ^zz++++=6
B ^zz++++=B
foot ^nn++++=foot
and ^cc++++=and
assured ^vbd+vpub++xvbn+=assured
the ^ati++++=the
wearer ^nn++++=wearer
that ^tht+rel+obj++=that
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
made ^vbd+++xvbn+=made-to-order
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
dull ^jj+atrb+++=dull
kid ^nn++++=kid
shoes ^nns++++=shoes
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
leather ^nn++++=leather-wise
- ^zz++++=EXTRAWORD
wise ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes
saw ^vbd+vprv++xvbn+=saw
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
his ^pp$+pp3+++=his
hat ^nn++++=hat
off ^in+pl+++=off
the ^ati++++=the
hook ^nn++++=hook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
offended ^xvbn+++xvbn+=offended
business ^nns+nom+++=business
principles ^nns++++=principles
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop
forever ^rb++++=forever
if ^cs+cnd+++=if
Sophy ^np++++=Sophy
had ^vb+hv+vrb++=had
not ^xnot++not++=not
completed ^jj+++xvbn+=completed
her ^pp3o+pp3+++=her
purchase ^nn++++=purchase
and ^cc++++=and
strolled ^vpsv++agls+xvbn+=strolled
over ^in++++=over
to ^in++++=to
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
psychological ^jj+atrb+++=psychological
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
impudently ^rb++++=impudently.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pink ^jj+atrb+++=Pink
Cheeks ^nns++++=Cheeks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
like ^in++++=like
our ^pp$+pp1+++=our
little ^jj+atrb+++=little
settlement ^nn+nom+++=settlement
by ^in++++=by
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
huh ^uh++++=huh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
shoes ^nns++++=shoes
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
worth ^in++++=worth
two ^cd++++=two-fifty,"
- ^zz++++=EXTRAWORD
fifty ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
indignation ^nn+nom+++=indignation
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Sophy ^np++++=Sophy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is?
? ^zz++++=EXTRAWORD
A ^at++++=A
charity ^nn+nom+++=charity
bazaar ^nn++++=bazaar?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
back ^jjb+atrb+++=back
home ^nr++++=home----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
hotly ^rb++++=hotly.
. ^zz++++=EXTRAWORD
" ^zz++++="Ferget
ferget ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
kid ^nn++++=kid,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sophy ^np++++=Sophy.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
big ^jj+atrb+++=big
town ^nn++++=town,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
room ^nn++++=room
for ^in++++=for
back ^rp++++=back-homers.
- ^zz++++=EXTRAWORD
homers ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
sour ^jj++++=sour
on ^in++++=on
one ^cd1++++=one
job ^nn++++=job
till ^in++++=till
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
another ^dt++++=another
nailed ^jj+++xvbn+=nailed.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
yourself ^ppl+pp2+++=yourself
cuddling ^nn+nom+++=cuddling
down ^rp++++=down
on ^in++++=on
a ^at++++=a
park ^nn++++=park
bench ^nn++++=bench
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=do.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
honestly ^rb++++=honestly
from ^in++++=from
Oskaloosa ^np+++??+=Oskaloosa?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
certainly ^rb++++=certainly
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
with ^in++++=with
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
goodness ^nns+nom+++=goodness!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ejaculated ^vbd+++xvbn+=ejaculated
Sophy ^np++++=Sophy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
believed ^vbd+vprv+tht0+xvbn+=believed
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
such ^abl++++=such
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
brag ^nn+++??+=brag
about ^in++++=about
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
fellows ^nns++++=fellows."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
time ^nn++++=time
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
go ^vb++++=go
out ^rb+phrv+++=out
for ^in+ppvb+++=for
lunch ^nn++++=lunch?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Louie ^np++++=Louie.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
accent ^nn++++=accent
on ^in++++=on
the ^ati++++=the
" ^zz++++="to."
to ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
a ^at++++=a
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
generally ^rb+down+++=generally
ask ^vb++++=ask,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Louie ^np++++=Louie,
, ^zz++++=EXTRAWORD
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
long ^jj++++=long,
, ^zz++++=EXTRAWORD
keen ^jj++++=keen,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
look ^nn++++=look.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
learn ^vb+vprv+++=learn,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
observed ^vbd+vprv++xvbnx+=observed,
, ^zz++++=EXTRAWORD
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie
did ^vbd+dod+aux++=did
learn ^vb+vprv+++=learn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+++xvbnx+=learned
so ^ql++++=so
much ^ap++++=much
in ^cs+sub+++=in
that ^cs"++++=that
first ^rb++++=first
week ^nn++++=week
that ^tht+rel+++=that
when ^wrb+who+++=when
Sunday ^nr++++=Sunday
came ^vbd+++xvbn+=came
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
though ^cs+sub+++=though
aeons ^nns+++??+=aeons
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
over ^rb+phrv+++=over
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
the ^ati++++=the
crime ^nn++++=crime
of ^in++++=of
murder ^nn++++=murder
was ^vbd+bedz+vrb++=was
as ^ql++++=as
nothing ^pn++++=nothing
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
crime ^nn++++=crime
of ^in++++=of
allowing ^xvbg+++xvbg+=allowing
a ^at++++=a
customer ^nn+nom+++=customer
to ^to++++=to
depart ^vbi++++=depart
shoeless ^jj++++=shoeless;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
the ^ati++++=the
lunch ^nn++++=lunch
hour ^nn++++=hour
was ^vbd+bedz+aux++=was
invented ^vpsv++agls+xvbnx+=invented
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
making ^xvbg+++xvbg+=making
dates ^nns++++=dates;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
no ^at++++=no
one ^cd1++++=one
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
heard ^vprf+++xvbnx+=heard
of ^in++++=of
Oskaloosa ^np+++??+=Oskaloosa,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
seven ^cd++++=seven
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week
does ^vbz+doz+aux++=does
not ^xnot++not++=not
leave ^vb++++=leave
much ^ap++++=much
margin ^nn++++=margin
for ^in++++=for
laundry ^nn++++=laundry
and ^cc++++=and
general ^jj+atrb+++=general
recklessness ^nns+nom+++=recklessness;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
madonna ^np++++=madonna
face ^nn++++=face
above ^jjb++++=above
a ^at++++=a
V ^zz++++=V-cut
- ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=EXTRAWORD
gown ^nn++++=gown
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
distract ^vbi++++=distract
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
attention ^nn+nom+++=attention
from ^in++++=from
shoes ^nns++++=shoes;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
hundred ^cd++++=hundred-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
nest ^nn++++=nest
egg ^nn++++=egg
is ^vbz+bez+vrb++=is
as ^ql++++=as
effective ^jj++++=effective
in ^in++++=in
Chicago ^np++++=Chicago
as ^in++++=as
a ^at++++=a
pine ^nn++++=pine
stick ^nn++++=stick
would ^md+prd+++=would
be ^vb+be+vrb++=be
in ^in++++=in
propping ^xvbg+++xvbg+=propping
up ^rp++++=up
a ^at++++=a
stone ^nn++++=stone
wall ^nn++++=wall;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
men ^nns++++=men
clerks ^nns++++=clerks
called ^vbd+++xvbn+=called
Sophy ^np++++=Sophy
" ^zz++++="sweetheart."
sweetheart ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
his ^pp$+pp3+++=his
newly ^rb++++=newly
acquired ^jj+atrb++xvbn+=acquired
knowledge ^nn++++=knowledge
brought ^vbd+++xvbn+=brought
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
as ^in++++=as
knowledge ^nn++++=knowledge
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
State ^nn++++=State
Street ^nn++++=Street
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
Sophys ^np+++??+=Sophys
during ^in++++=during
the ^ati++++=the
noon ^nn++++=noon
hour ^nn++++=hour;
; ^zz++++=EXTRAWORD
girls ^nns++++=girls
with ^in++++=with
lovely ^jj+atrb+++=lovely
faces ^nns++++=faces
under ^in++++=under
pitifully ^rb++++=pitifully
absurd ^jj+atrb+++=absurd
hats ^nns++++=hats.
. ^zz++++=EXTRAWORD
Girls ^nns++++=Girls
who ^whp+rel+subj++=who
aped ^vbd+++xvbn+=aped
the ^ati++++=the
fashions ^nns++++=fashions
of ^in++++=of
the ^ati++++=the
dazzling ^jj+atrb++xvbg+=dazzling
creatures ^nns++++=creatures
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
stepping ^vbg+++xvbg+=stepping
from ^in++++=from
limousines ^nns+++??+=limousines.
. ^zz++++=EXTRAWORD
Girls ^nns++++=Girls
who ^whp+rel+subj++=who
starved ^vprf+++xvbn+=starved
body ^nn++++=body
and ^cc++++=and
soul ^nn++++=soul
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
false ^jj+atrb+++=false
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
black ^jj+atrb+++=black
satin ^nn++++=satin
shoes ^nns++++=shoes
with ^in++++=with
mother-o ^nn+++??+=mother-o'-pearl
'-pearl ^nn+++??+=EXTRAWORD
buttons ^nns++++=buttons.
. ^zz++++=EXTRAWORD
Girls ^nns++++=Girls
whose ^whp+rel+obj++=whose
minds ^nns++++=minds
were ^vbd+bed+aux++=were
bounded ^vpsv++agls+xvbnx+=bounded
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north
by ^in++++=by
the ^ati++++=the
nickel ^nn++++=nickel
theatres ^nns++++=theatres;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
east ^np+pl+++=east
by ^in++++=by
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sez ^nn+++??+=sez
to ^in++++=to
him ^pp3o+pp3+++=him";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
south ^np+pl+++=south
by ^in++++=by
the ^ati++++=the
gorgeous ^jj+atrb+++=gorgeous
shop ^nn++++=shop
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
west ^np+pl+++=west
by ^in++++=by
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
sez ^nn+++??+=sez
t ^zz++++=t'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
much ^rb++++=much
Louie ^np++++=Louie
learned ^vbd+vprv++xvbn+=learned
in ^cs+sub+++=in
that ^cs"++++=that
first ^rb++++=first
week ^nn++++=week
while ^cs+sub+++=while
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
getting ^vbg+++xvbgx+=getting
accustomed ^vbd+++xvbn+=accustomed
to ^in++++=to
the ^ati++++=the
shifting ^nvbg+++xvbg+=shifting,
, ^zz++++=EXTRAWORD
jostling ^vbg+nom++xvbg+=jostling,
, ^zz++++=EXTRAWORD
pushing ^nvbg+++xvbg+=pushing,
, ^zz++++=EXTRAWORD
giggling ^nvbg+++xvbg+=giggling,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
throng ^nn++++=throng.
. ^zz++++=EXTRAWORD
The ^ati++++=The
city ^nn++++=city
is ^vbz+bez+vrb++=is
justly ^rb++++=justly
famed ^jj+pred+++=famed
as ^in++++=as
a ^at++++=a
hot ^jj+atrb+++=hot
house ^nn++++=house
of ^in++++=of
forced ^jj+atrb++xvbn+=forced
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
Louie ^np++++=Louie
could ^md+pos+++=could
not ^xnot++not++=not
learn ^vb+vprv+++=learn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
bring ^vb++++=bring
himself ^ppl+pp3+++=himself
to ^to++++=to
accept ^vbi+vprv+++=accept
the ^ati++++=the
V ^zz++++=V
in ^in++++=in
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Louie ^np++++=Louie's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
kind ^nn++++=kind
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
a ^at++++=a
blue ^jj++++=blue-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
checked ^jj+atrb++xvbn+=checked
gingham ^nn+++??+=gingham
apron ^nn++++=apron
from ^in++++=from
6 ^zz++++=6
A.m ^np+++??+=A.M.
. ^zz++++=EXTRAWORD
to ^to++++=to
2 ^zz++++=2
P.m ^rb++++=P.M.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
off ^rp+pl+++=off
to ^to++++=to
go ^vbi++++=go
downtown ^rn++++=downtown
and ^cc++++=and
help ^vb++++=help
the ^ati++++=the
ladies ^nns++++=ladies
of ^in++++=of
the ^ati++++=the
church ^npl++++=church
at ^rb++++=at
the ^ati++++=the
cake ^nn++++=cake
sale ^nn++++=sale
in ^in++++=in
the ^ati++++=the
empty ^jj+atrb+++=empty
window ^nn++++=window
of ^in++++=of
the ^ati++++=the
gas ^nn++++=gas
company ^nn++++=company's
's ^$++++=EXTRAWORD
office ^nn++++=office,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^in++++=to
don ^npt++++=don
it ^pp3+it+++=it
again ^rb+tm+++=again
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
fried ^jj++++=fried
the ^ati++++=the
potatoes ^nns++++=potatoes
for ^in++++=for
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
other ^ap++++=other
things ^nns++++=things
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
Louie ^np++++=Louie
to ^to++++=to
wipe ^vbi++++=wipe
his ^pp$+pp3+++=his
feet ^nns++++=feet
before ^in++++=before
coming ^nn++++=coming
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
to ^in++++=to
respect ^nn++++=respect
and ^cc++++=and
help ^nn++++=help
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
change ^nn++++=change
his ^pp$+pp3+++=his
socks ^nns++++=socks
often ^rb++++=often.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
month ^nn++++=month
of ^in++++=of
Chicago ^np++++=Chicago
Louie ^np++++=Louie
forgot ^vbd+vprv++xvbn+=forgot
the ^ati++++=the
first ^od++++=first
lesson ^nn++++=lesson;
; ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
more ^rbr++++=more
difficulty ^nn++++=difficulty
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you
in ^in++++=in
reverencing ^xvbg+++xvbg+=reverencing
a ^at++++=a
woman ^nn++++=woman
who ^whp+who+++=who
only ^ap+down+++=only
said ^vprf+++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Aw,
aw ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
fresh ^jj++++=fresh
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
other ^ap++++=other
men ^nns++++=men
put ^vbd+++xvbn+=put
their ^pp$+pp3+++=their
arms ^nns++++=arms
about ^in++++=about
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adhered ^vpsv++agls+xvbn+=adhered
to ^in++++=to
the ^ati++++=the
third ^od++++=third
only ^rb+down+++=only
after ^in++++=after
a ^at++++=a
struggle ^nn++++=struggle,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
a ^at++++=a
small ^jj++++=small
private ^jj++++=private
washing ^jj+++xvbg+=washing
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
wash ^vb++++=wash-bowl
- ^zz++++=EXTRAWORD
bowl ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
stiff ^nn++++=stiff.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gravely ^rb++++=gravely
courteous ^jj+atrb+++=courteous
treatment ^nn+nom+++=treatment
of ^in++++=of
her ^pp$+pp3+++=her
made ^vbd+++xvbn+=made
her ^pp$+pp3+++=her
vaguely ^rb++++=vaguely
uncomfortable ^jj++++=uncomfortable.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
past ^jjb+atrb+++=past
mistress ^nns+nom+++=mistress
in ^in++++=in
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
parrying ^xvbg+++xvbg+=parrying
insults ^nns+++??+=insults
and ^cc++++=and
banter ^jjr++++=banter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
reply ^nn++++=reply
ready ^jj++++=ready
for ^in++++=for
Louie ^np++++=Louie's
's ^$++++=EXTRAWORD
boyish ^jj+atrb+++=boyish
air ^nn++++=air
of ^in++++=of
deference ^nn+nom+++=deference.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
