To ^to++++=To-night
bellowing ^vwbg+++xvbg+=bellowing
in ^in++++=in
my ^pp$+pp1+++=my
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
rattling ^nn++++=rattling
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
howling ^nvbg+++xvbg+=howling
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
catch ^vb++++=catch
his ^pp$+pp3+++=his
words ^nns++++=words
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
proposed ^vprf+++xvbnx+=proposed
to ^in++++=to
the ^ati++++=the
wrong ^jj+atrb+++=wrong
one ^pn++++=one!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
had ^vb+hv+vrb++=had
no ^at++++=no
occasion ^nn++++=occasion
to ^to++++=to
make ^vbi++++=make
this ^dt+dem+++=this
confidence ^nn+nom+++=confidence
to ^to+ncmp+++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
never ^rb++++=never
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
fancy ^jj++++=fancy
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
were ^vbd+bed+vrb++=were
ourselves ^ppls+pp1+++=ourselves
just ^rb+emph+++=just
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
with ^in++++=with
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
feeling ^nvbg+++xvbg+=feeling
queer ^jj++++=queer
all ^abn++++=all
over ^in++++=over
with ^in++++=with
the ^ati++++=the
electricity ^nn+nom+++=electricity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
think ^vb+vprv+++=think
of ^in++++=of
anything ^pn++++=anything
to ^to++++=to
say ^vbi+vpub+++=say
except: ^nn+++??+=except:--"More
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
more ^ql++++=EXTRAWORD
fool ^jjb++++=fool
you ^pp2+pp2+++=you
for ^in++++=for
proposing ^nn++++=proposing
in ^in++++=in
a ^at++++=a
dust ^nn++++=dust-storm."
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
that ^dt+pdem+++=that
would ^md+prd+++=would
improve ^vb++++=improve
the ^ati++++=the
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted:
: ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Edith ^np++++=Edith--Edith
-- ^--+clp+++=EXTRAWORD
edith ^np++++=EXTRAWORD
Copleigh ^np+++??+=Copleigh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Edith ^np++++=Edith
was ^vbd+bedz+vrb++=was
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
astonishment: ^nn+++??+=astonishment:--"What
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want
with ^in++++=with
Her ^pp$+pp3+++=HER?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
two ^cd++++=two
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
shouting ^vbg+vpub++xvbgx+=shouting
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
like ^in++++=like
maniacs ^nns++++=maniacs--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
vowing ^vbg+++xvbg+=vowing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
sister ^nn++++=sister
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
propose ^vbi++++=propose
to ^in++++=to
all ^abn++++=all
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
telling ^jj+++xvbg+=telling
him ^pp3o+pp3+++=him
till ^in++++=till
my ^pp$+pp1+++=my
throat ^nn++++=throat
was ^vbd+bedz+vrb++=was
hoarse ^jj+pred+++=hoarse
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
a ^at++++=a
mistake ^nn++++=mistake!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
account ^nn++++=account
for ^in++++=for
this ^dt+dem+++=this
except ^in+strn+++=except,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
neither ^dt++neg++=neither
of ^in++++=of
us ^pp1o+pp1+++=us
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
like ^in++++=like
a ^at++++=a
bad ^jj+atrb+++=bad
dream ^nn++++=dream--from
-- ^--+clp+++=EXTRAWORD
from ^in++++=EXTRAWORD
the ^ati++++=the
stamping ^jj+++xvbg+=stamping
of ^in++++=of
the ^ati++++=the
horses ^nns++++=horses
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
to ^in++++=to
Saumarez ^np+++??+=Saumarez
telling ^vwbg+++xvbg+=telling
me ^pp1o+pp1+++=me
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
his ^pp$+pp3+++=his
loving ^jj+++xvbg+=loving
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh
since ^in++++=since
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
clawing ^jj+pred+++=clawing
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
begging ^nvbg+++xvbg+=begging
me ^pp1o+pp1+++=me
to ^to++++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
where ^wrb+who+++=where
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
another ^dt++++=another
lull ^vb++++=lull
came ^vbd+++xvbn+=came
and ^cc+phrs+++=and
brought ^vbd+++xvbn+=brought
light ^jj++++=light
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
dust ^nn++++=dust-cloud
- ^zz++++=EXTRAWORD
cloud ^nn++++=EXTRAWORD
forming ^vwbg+++xvbg+=forming
on ^in++++=on
the ^ati++++=the
plain ^nn++++=plain
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
worst ^jjt++++=worst
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
the ^ati++++=the
glimmer ^nn++++=glimmer
of ^in++++=of
the ^ati++++=the
false ^jj+atrb+++=false
dawn ^nn++++=dawn
that ^tht+rel+subj++=that
comes ^vbz++++=comes
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
before ^in++++=before
the ^ati++++=the
real ^jj+atrb+++=real
one ^pn++++=one.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
light ^nn++++=light
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
faint ^vb++++=faint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dun ^jj+atrb+++=dun
cloud ^nn++++=cloud
roared ^vbd+++xvbn+=roared
like ^in++++=like
a ^at++++=a
bull ^nn++++=bull.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
where ^wrb+who+whcl++=where
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
wondering ^vbg+++xvbgx+=wondering
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
three ^cd++++=three
things ^nns++++=things
together ^nn+nom+++=together:
: ^zz++++=EXTRAWORD
First ^rb++++=First
Maud ^np++++=Maud
Copleigh ^np++++=Copleigh's
's ^$++++=EXTRAWORD
face ^nn++++=face
come ^vprf+++xvbn+=come
smiling ^jj+++xvbg+=smiling
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
darkness ^nns+nom+++=darkness
and ^cc++++=and
move ^nn++++=move
towards ^in++++=towards
Saumarez ^np+++??+=Saumarez,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
by ^in++++=by
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
girl ^nn++++=girl
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="George,"
george ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
slide ^nn++++=slide
her ^pp3o+pp3+++=her
arm ^vb++++=arm
through ^in++++=through
the ^ati++++=the
arm ^vb++++=arm
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
clawing ^jj++++=clawing
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
that ^tht+vcmp+++=that
look ^vb++++=look
on ^rp++++=on
her ^pp3o+pp3+++=her
face ^nn++++=face
which ^whp+rel+subj++=which
only ^rb+down+++=only
comes ^vbz++++=comes
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb++++=twice
in ^in++++=in
a ^at++++=a
lifetime ^nn++++=lifetime-when
- ^zz++++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
is ^vbz+bez+vrb++=is
perfectly ^rb+amp+++=perfectly
happy ^jj+pred+++=happy
and ^cc++++=and
the ^ati++++=the
air ^nn++++=air
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
trumpets ^nns++++=trumpets
and ^cc++++=and
gorgeouscolored ^jj+atrb++xvbn+=gorgeouscolored
fire ^nn++++=fire
and ^cc++++=and
the ^ati++++=the
Earth ^nn++++=Earth
turns ^nns++++=turns
into ^in++++=into
cloud ^nn++++=cloud
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
loves ^vbz++++=loves
and ^cc++++=and
is ^vbz+bez+aux++=is
loved ^vpsv++agls+xvbnx+=loved.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Saumarez ^np++++=Saumarez's
's ^$++++=EXTRAWORD
face ^nn++++=face
as ^ql++++=as
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
Maud ^np++++=Maud
Copleigh ^np++++=Copleigh's
's ^$++++=EXTRAWORD
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fifty ^cd++++=fifty
yards ^nns++++=yards
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
clump ^nn++++=clump
of ^in++++=of
orangetrees ^nns+nom+++=orangetrees
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
brown ^np++++=brown
holland ^np++++=holland
habit ^nn++++=habit
getting ^vwbg+++xvbg+=getting
upon ^in++++=upon
a ^at++++=a
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
my ^pp$+pp1+++=my
state ^nn++++=state
of ^in++++=of
over ^in++++=over-excitement
- ^zz++++=EXTRAWORD
excitement ^nn+nom+++=EXTRAWORD
that ^tht+rel+subj++=that
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
so ^rb+emph+++=so
quick ^jj++++=quick
to ^to+jcmp+++=to
meddle ^vbi++++=meddle
with ^in++++=with
what ^wdt+who+++=what
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
concern ^nn++++=concern
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
habit ^nn++++=habit;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
pushed ^vbd+++xvbnx+=pushed
him ^pp3o+pp3+++=him
back ^jjb++++=back
and ^cc++++=and
said: ^nn+++??+=said:--"Stop
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
stop ^vb++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
explain ^vb+vpub+++=explain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
fetch ^vb++++=fetch
her ^pp$+pp3+++=her
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
out ^rp+pl+++=out
to ^to++++=to
get ^vbi++++=get
at ^in+ppvb+++=at
my ^pp$+pp1+++=my
own ^ap++++=own
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
perfectly ^rb+amp+++=perfectly
unnecessary ^jj+atrb+++=unnecessary
notion ^nn++++=notion
that ^tht+ncmp+++=that
everything ^pn++++=everything
must ^md+nec+++=must
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
decently ^rb++++=decently
and ^cc++++=and
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
Saumarez ^np++++=Saumarez's
's ^$++++=EXTRAWORD
first ^od++++=first
care ^vb+vprv+++=care
was ^vbd+bedz+aux++=was
to ^to++++=to
wipe ^vbi++++=wipe
the ^ati++++=the
happy ^jj+atrb+++=happy
look ^nn++++=look
out ^rp+pl+++=out
of ^in++++=of
Maud ^np++++=Maud
Copleigh ^np++++=Copleigh's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
linking ^vbg+++xvbgx+=linking
up ^rp++++=up
the ^ati++++=the
curb ^nn++++=curb-chain
- ^zz++++=EXTRAWORD
chain ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
would ^md+prd+++=would
do ^vb+do+vrb++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cantered ^vbd+++xvbnx+=cantered
after ^in++++=after
Edith ^np++++=Edith
Copleigh ^np+++??+=Copleigh,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
to ^to++++=to
bring ^vbi++++=bring
her ^pp$+pp3+++=her
back ^jjb++++=back
slowly ^rb++++=slowly
on ^in++++=on
some ^dti++++=some
pretence ^nn+nom+++=pretence
or ^cc++++=or
another ^dt++++=another.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
galloped ^vbd+++xvbnx+=galloped
away ^rp+pl+++=away
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
ride ^vbi++++=ride
after ^in++++=after
her ^pp$+pp3+++=her
in ^in++++=in
earnest ^nn++++=earnest.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
called ^vbd+++xvbnx+=called
back ^rb+phrv+++=back
over ^rp++++=over
her ^pp3o+pp3+++=her
shoulder ^nn+nom+++=shoulder--"Go
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
go ^vb++++=go
away ^rp+pl+++=away!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
times ^nns++++=times;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
business ^nns+nom+++=business
was ^vbd+bedz+aux++=was
to ^to++++=to
catch ^vbi++++=catch
her ^pp3o+pp3+++=her
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
argue ^vb+vpub+++=argue
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ride ^nn++++=ride
just ^rb+emph+++=just
fitted ^vbd+++xvbn+=fitted
in ^in++++=in
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
evil ^nn++++=evil
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ground ^nn++++=ground
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
and ^cc+phrs+++=and
again ^rb+tm+++=again
we ^pp1a+pp1+++=we
rushed ^vbd+++xvbn+=rushed
through ^rb+phrv+++=through
the ^ati++++=the
whirling ^nvbg+++xvbg+=whirling,
, ^zz++++=EXTRAWORD
choking ^vbg+++xvbg+=choking
" ^zz++++="dust-devils"
dust ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
devils ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
skirts ^nns++++=skirts
of ^in++++=of
the ^ati++++=the
flying ^jj+atrb++xvbg+=flying
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
burning ^jj+atrb++xvbg+=burning
hot ^jj+atrb+++=hot
wind ^nn++++=wind
blowing ^vwbg+++xvbg+=blowing
that ^dt+pdem+++=that
brought ^vbd+++xvbn+=brought
up ^rb+phrv+++=up
a ^at++++=a
stench ^nn++++=stench
of ^in++++=of
stale ^jj+atrb+++=stale
brick ^nn++++=brick-kilns
- ^zz++++=EXTRAWORD
kilns ^nns++++=EXTRAWORD
with ^in++++=with
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
the ^ati++++=the
half ^abn++++=half
light ^jj++++=light
and ^cc++++=and
through ^in++++=through
the ^ati++++=the
dust ^nn++++=dust-devils,
- ^zz++++=EXTRAWORD
devils ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
that ^dt+dem+++=that
desolate ^jj+atrb+++=desolate
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
flickered ^j+++xvbn+=flickered
the ^ati++++=the
brown ^np++++=brown
holland ^np++++=holland
habit ^nn++++=habit
on ^in++++=on
the ^ati++++=the
gray ^np++++=gray
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
headed ^vbd+++xvbnx+=headed
for ^in+ppvb+++=for
the ^ati++++=the
Station ^nn+nom+++=Station
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
wheeled ^vbd+++xvbnx+=wheeled
round ^rb++++=round
and ^cc++++=and
set ^vpsv++agls+xvbn+=set
off ^rb+phrv+++=off
for ^in++++=for
the ^ati++++=the
river ^nn++++=river
through ^in++++=through
beds ^nns++++=beds
of ^in++++=of
burnt ^jj+++xvbn+=burnt
down ^rp++++=down
jungle ^nn++++=jungle-grass,
- ^zz++++=EXTRAWORD
grass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bad ^jj++++=bad
even ^rb++++=even
to ^to++++=to
ride ^vbi++++=ride
a ^at++++=a
pig ^nn++++=pig
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
In ^in++++=In
cold ^jj+atrb+++=cold
blood ^nn++++=blood
I ^pp1a+pp1+++=I
should ^md+nec+++=should
never ^rb++++=never
have ^vb+hv+aux++=have
dreamed ^vprf+++xvbnx+=dreamed
of ^in++++=of
going ^nn++++=going
over ^in++++=over
such ^abl++++=such
a ^at++++=a
country ^nn++++=country
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
quite ^rb++++=quite
right ^jj++++=right
and ^cc+phrs+++=and
natural ^jj++++=natural
with ^in++++=with
the ^ati++++=the
lightning ^nn++++=lightning
crackling ^nn+nom+++=crackling
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
reek ^nn+++??+=reek
like ^in++++=like
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
Pit ^nn++++=Pit
in ^in++++=in
my ^pp$+pp1+++=my
nostrils ^nns++++=nostrils.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
and ^cc+phrs+++=and
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
bent ^vbd+++xvbnx+=bent
forward ^rb++++=forward
and ^cc++++=and
lashed ^vbd+++xvbn+=lashed
her ^pp$+pp3+++=her
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
aftermath ^nn++++=aftermath
of ^in++++=of
the ^ati++++=the
dust ^nn++++=dust-storm
- ^zz++++=EXTRAWORD
storm ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
up ^rp++++=up
and ^cc++++=and
caught ^vbd+++xvbn+=caught
us ^pp1o+pp1+++=us
both ^abx++++=both,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drove ^vbd+++xvbn+=drove
us ^pp1o+pp1+++=us
downwind ^nn+++??+=downwind
like ^in++++=like
pieces ^nns++++=pieces
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
far ^rb+pl+++=far
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
drumming ^nn++++=drumming
of ^in++++=of
the ^ati++++=the
horse ^nn++++=horse-hoofs
- ^zz++++=EXTRAWORD
hoofs ^nns++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
the ^ati++++=the
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
faint ^jj+atrb+++=faint
blood ^nn++++=blood-red
- ^zz++++=EXTRAWORD
red ^jj+atrb+++=EXTRAWORD
moon ^np++++=moon
through ^in++++=through
the ^ati++++=the
yellow ^jj+atrb+++=yellow
mist ^nn++++=mist
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
gone ^vprf+++xvbn+=gone
on ^in++++=on
for ^in++++=for
years ^nns++++=years
and ^cc++++=and
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
literally ^rb++splt++=literally
