To ^in++++=TO
that ^dt+dem+++=that
illustrious ^jj+atrb+++=illustrious
species ^nns++++=species
known ^vbd+vprv++xvbn+=known
throughout ^in++++=throughout
the ^ati++++=the
gastronomical ^jj+atrb+++=gastronomical
world ^nn++++=world
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Foot ^nn++++=Foot.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
miracles ^nns++++=miracles
were ^vbd+bed+vrb++=were
the ^ati++++=the
salvation ^nn+nom+++=salvation
of ^in++++=of
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sages ^nn++++=sages
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
immediately ^rb+tm+++=immediately
saw ^vbd+vprv++xvbn+=saw
in ^in++++=in
them ^pp3o+pp3+++=them
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
understood ^vbd+vprv++xvbn+=understood
their ^pp$+pp3+++=their
mystic ^jj+atrb+++=mystic
signification ^nn+nom+++=signification.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
set ^jj+++xvbnx+=set
to ^to+jcmp+++=to
work ^vb++++=work
with ^in++++=with
all ^abn++++=all
diligence ^nn+nom+++=diligence
to ^to++++=to
cultivate ^nn+nom+++=cultivate
and ^cc+phrs+++=and
multiply ^vb++++=multiply
these ^dt+dem+++=these
great ^jj+atrb+++=great
blessings ^nns++++=blessings;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
abundantly ^rb++++=abundantly
did ^vbd+dod+vrb++=did
the ^ati++++=the
gubernatorial ^jj+atrb+++=gubernatorial
hat ^nn++++=hat
and ^cc++++=and
shoe ^nn++++=shoe
fructify ^vb++++=fructify
and ^cc++++=and
increase ^nn++++=increase,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
time ^nn++++=time
great ^jj+atrb+++=great
patches ^nns++++=patches
of ^in++++=of
cabbages ^nns+nom+++=cabbages
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
extending ^vbg+++xvbg+=extending
from ^in++++=from
the ^ati++++=the
village ^nn+nom+++=village
of ^in++++=of
Communipaw ^np+++??+=Communipaw
quite ^rb++++=quite
to ^in++++=to
the ^ati++++=the
Bergen ^np+++??+=Bergen
Hills ^nns++++=Hills;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
whole ^jj++++=whole
bottom ^jjb++++=bottom
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay
in ^in++++=in
front ^nn++++=front
became ^vbd+++xvbn+=became
a ^at++++=a
vast ^jj+atrb+++=vast
bed ^nn++++=bed
of ^in++++=of
oysters ^nns+nom+++=oysters.
. ^zz++++=EXTRAWORD
Ever ^rb++++=Ever
since ^cs+sub+++=since
that ^dt+dem+++=that
time ^nn++++=time
this ^dt+dem+++=this
excellent ^jj+atrb+++=excellent
community ^nn+nom+++=community
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
great ^jj+atrb+++=great
classes ^nns++++=classes:
: ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
cultivate ^nn+nom+++=cultivate
the ^ati++++=the
land ^nn++++=land
and ^cc++++=and
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
cultivate ^nn+nom+++=cultivate
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
former ^ap++++=former
have ^vb+hv+aux++=have
devoted ^vprf+++xvbnx+=devoted
themselves ^ppls+pp3+++=themselves
to ^in++++=to
the ^ati++++=the
nurture ^nn++++=nurture
and ^cc++++=and
edification ^nn+nom+++=edification
of ^in++++=of
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
rearing ^nn++++=rearing
them ^pp3o+pp3+++=them
in ^in++++=in
all ^abn++++=all
their ^pp$+pp3+++=their
varieties ^nns++++=varieties;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
latter ^ap++++=latter
have ^vb+hv+aux++=have
formed ^vprf+++xvbnx+=formed
parks ^nns++++=parks
and ^cc++++=and
plantations ^nns+nom+++=plantations,
, ^zz++++=EXTRAWORD
under ^in++++=under
water ^nn++++=water,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
juvenile ^jj+atrb+++=juvenile
oysters ^nns+nom+++=oysters
are ^vb+ber+aux++=are
transplanted ^vpsv++agls+xvbnx+=transplanted
from ^in++++=from
foreign ^jj+atrb+++=foreign
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
to ^to++++=to
finish ^vbi++++=finish
their ^pp$+pp3+++=their
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
As ^ql++++=As
these ^dt+dem+++=these
great ^jj+atrb+++=great
sources ^nns++++=sources
of ^in++++=of
profit ^nn++++=profit
multiplied ^vwbn+++xvbn+=multiplied
upon ^in++++=upon
their ^pp$+pp3+++=their
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
worthy ^jj+atrb+++=worthy
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
Communipaw ^np+++??+=Communipaw
began ^vbd+++xvbn+=began
to ^in++++=to
long ^jj++++=long
for ^in++++=for
a ^at++++=a
market ^nn++++=market
at ^in++++=at
which ^whp+rel+pied++=which
to ^to++++=to
dispose ^vbi++++=dispose
of ^in+ppvb+++=of
their ^pp$+pp3+++=their
superabundance ^nn+nom+++=superabundance.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
gradually ^rb++++=gradually
produced ^vbd+++xvbn+=produced
once ^rb+tm+++=once
more ^rbr++++=more
an ^at++++=an
intercourse ^nn+++??+=intercourse
with ^in++++=with
New ^jj++++=New-York;
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
carried ^vpsv++agls+xvbnx+=carried
on ^in++++=on
by ^in++++=by
the ^ati++++=the
old ^jj+atrb+++=old
people ^nns++++=people
and ^cc++++=and
the ^ati++++=the
negroes ^nns+++??+=negroes;
; ^zz++++=EXTRAWORD
never ^rb++++=never
would ^md+prd+++=would
they ^pp3a+pp3+++=they
permit ^vb++++=permit
the ^ati++++=the
young ^jj+atrb+++=young
folks ^nns++++=folks,
, ^zz++++=EXTRAWORD
of ^in++++=of
either ^dtx++++=either
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
they ^pp3a+pp3+++=they
should ^md+nec+++=should
get ^vb++++=get
tainted ^jj+++xvbn+=tainted
with ^in++++=with
foreign ^jj+atrb+++=foreign
manners ^nns+nom+++=manners
and ^cc++++=and
bring ^vb++++=bring
home ^nr++++=home
foreign ^jj+atrb+++=foreign
fashions ^nns++++=fashions.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
an ^at++++=an
old ^jj++++=old
burgher ^jjr++++=burgher
in ^in++++=in
the ^ati++++=the
market ^nn++++=market,
, ^zz++++=EXTRAWORD
with ^in++++=with
hat ^nn++++=hat
and ^cc++++=and
garb ^nn++++=garb
of ^in++++=of
antique ^jj+atrb+++=antique
Dutch ^jj+atrb+++=Dutch
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
unconquered ^jj+atrb++xvbn+=unconquered
race ^nn++++=race
of ^in++++=of
the ^ati++++=the
" ^zz++++="bitter
bitter ^jj+atrb+++=EXTRAWORD
blood ^nn++++=blood,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
who ^whp+who+++=who
maintain ^vb+vpub+tht0++=maintain
their ^pp$+pp3+++=their
strong ^jj++++=strong-hold
- ^zz++++=EXTRAWORD
hold ^nn++++=EXTRAWORD
at ^rb++++=at
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
In ^in++++=In
modern ^jj+atrb+++=modern
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hereditary ^jj+atrb+++=hereditary
bitterness ^nns+nom+++=bitterness
against ^in++++=against
the ^ati++++=the
English ^nn++++=English
has ^vbz+hvz+aux++=has
lost ^vprf+++xvbnx+=lost
much ^ap++++=much
of ^in++++=of
its ^pp$+it+++=its
asperity ^nn+nom+++=asperity,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
has ^vbz+hvz+aux++=has
become ^vb++++=become
merged ^vbd+++xvbn+=merged
in ^in++++=in
a ^at++++=a
new ^jj+atrb+++=new
source ^nn++++=source
of ^in++++=of
jealousy ^nn++++=jealousy
and ^cc++++=and
apprehension ^nn++++=apprehension:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allude ^nn+++??+=allude
to ^in++++=to
the ^ati++++=the
incessant ^jj++++=incessant
and ^cc+phrs+++=and
wide ^jj++++=wide-spreading
- ^zz++++=EXTRAWORD
spreading ^vbg+++xvbg+=EXTRAWORD
irruptions ^nns+nom+++=irruptions
from ^in++++=from
New ^jj++++=New-England.
- ^zz++++=EXTRAWORD
england ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Word ^nn++++=Word
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
continually ^rb++splt++=continually
brought ^vbd+++xvbn+=brought
back ^rb+phrv+++=back
to ^in++++=to
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
by ^in++++=by
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
community ^nn+nom+++=community
who ^whp+rel+subj++=who
return ^vb++++=return
from ^in++++=from
their ^pp$+pp3+++=their
trading ^nvbg+++xvbg+=trading
voyages ^nns+nom+++=voyages
in ^in++++=in
cabbages ^nns+nom+++=cabbages
and ^cc++++=and
oysters ^nns+nom+++=oysters,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
alarming ^jj+atrb++xvbg+=alarming
power ^nn++++=power
which ^whp+rel+obj++=which
the ^ati++++=the
Yankees ^nns+nom+++=Yankees
are ^vb+ber+aux++=are
gaining ^vbg+++xvbgx+=gaining
in ^in++++=in
the ^ati++++=the
ancient ^jj+atrb+++=ancient
city ^nn++++=city
of ^in++++=of
New ^jj++++=New-Amsterdam;
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
elbowing ^jj+++xvbg+=elbowing
the ^ati++++=the
genuine ^jj+atrb+++=genuine
Knickerbockers ^nns+nom++??+=Knickerbockers
out ^rp+pl+++=out
of ^in++++=of
all ^rb++++=all
civic ^jj+atrb+++=civic
posts ^nns++++=posts
of ^in++++=of
honor ^nn++++=honor
and ^cc++++=and
profit ^nn++++=profit;
; ^zz++++=EXTRAWORD
bargaining ^nn++++=bargaining
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
hereditary ^jj+atrb+++=hereditary
homesteads ^nns++++=homesteads;
; ^zz++++=EXTRAWORD
pulling ^vbg+nom++xvbg+=pulling
down ^rb+phrv+++=down
the ^ati++++=the
venerable ^jj+atrb+++=venerable
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
with ^in++++=with
crow ^nn++++=crow-step
- ^zz++++=EXTRAWORD
step ^vb++++=EXTRAWORD
gables ^nns+++??+=gables,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
stood ^vprf+++xvbnx+=stood
since ^in++++=since
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
Dutch ^nn++++=Dutch
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
erecting ^nvbg+++xvbg+=erecting,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
granite ^nn++++=granite
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marble ^nn++++=marble
banks ^nns++++=banks;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
evincing ^jj+++xvbg+=evincing
a ^at++++=a
deadly ^jj+atrb+++=deadly
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
obliterate ^nn+nom+++=obliterate
every ^at++++=every
vestige ^nn+++??+=vestige
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
Dutch ^nn++++=Dutch
times ^nns++++=times.
. ^zz++++=EXTRAWORD
In ^rb++++=In
consequence ^nn+nom+++=consequence
of ^in++++=of
the ^ati++++=the
jealousy ^nn++++=jealousy
thus ^rb+cnj+++=thus
awakened ^vbd+++xvbn+=awakened,
, ^zz++++=EXTRAWORD
the ^ati++++=the
worthy ^jj+atrb+++=worthy
traders ^nns+nom+++=traders
from ^in++++=from
Communipaw ^np+++??+=Communipaw
confine ^vb++++=confine
their ^pp$+pp3+++=their
dealings ^nns+nom+++=dealings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
genuine ^jj+atrb+++=genuine
Dutch ^jj+atrb+++=Dutch
families ^nns++++=families.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
furnish ^vb++++=furnish
the ^ati++++=the
Yankees ^nns+nom+++=Yankees
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
with ^in++++=with
inferior ^jj+atrb+++=inferior
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
can ^md+pos+++=can
the ^ati++++=the
latter ^ap++++=latter
procure ^vb++++=procure
a ^at++++=a
real ^jj++++=real
" ^zz++++="Governor's
governor ^npt++++=EXTRAWORD
's ^$++++=EXTRAWORD
Head ^nn++++=Head,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Governor's
governor ^npt++++=EXTRAWORD
's ^$++++=EXTRAWORD
Foot ^nn++++=Foot,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
offered ^vprf+++xvbnx+=offered
extravagant ^jj+atrb+++=extravagant
prices ^nns++++=prices
for ^in++++=for
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
to ^in++++=to
grace ^nn++++=grace
their ^pp$+pp3+++=their
table ^nn++++=table
on ^in++++=on
the ^ati++++=the
annual ^jj+atrb+++=annual
festival ^nn+nom+++=festival
of ^in++++=of
the ^ati++++=the
New ^jj++++=New-England
- ^zz++++=EXTRAWORD
england ^np++++=EXTRAWORD
Society ^nn++++=Society.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
has ^vbz+hvz+aux++=has
carried ^vprf+++xvbnx+=carried
this ^dt+dem+++=this
hostility ^nn+nom+++=hostility
to ^in++++=to
the ^ati++++=the
Yankees ^nns+nom+++=Yankees
to ^in++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
pitch ^nn++++=pitch,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
attempt ^nn++++=attempt
made ^vwbn+++xvbn+=made
by ^in++++=by
that ^cs+sub+++=that
all ^abn++++=all-pervading
- ^zz++++=EXTRAWORD
pervading ^jj+atrb++xvbg+=EXTRAWORD
race ^nn++++=race
to ^to++++=to
get ^vbi++++=get
possession ^nn++++=possession
of ^in++++=of
Communipaw ^np+++??+=Communipaw
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir;
; ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
late ^jj+atrb+++=late
mania ^nn++++=mania
for ^in++++=for
land ^nn++++=land
speculation ^nn+nom+++=speculation,
, ^zz++++=EXTRAWORD
a ^at++++=a
daring ^jj+atrb++xvbg+=daring
company ^nn++++=company
of ^in++++=of
Yankee ^jj+atrb+++=Yankee
projectors ^nns++++=projectors
landed ^vbd+++xvbn+=landed
before ^in++++=before
the ^ati++++=the
village ^nn+nom+++=village;
; ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
the ^ati++++=the
honest ^jj+atrb+++=honest
burghers ^nns+nom+++=burghers
on ^in++++=on
the ^ati++++=the
public ^jj+atrb+++=public
highway ^nn++++=highway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
endeavored ^vpsv++agls+xvbn+=endeavored
to ^to+vcmp+++=to
bargain ^vb++++=bargain
them ^pp3o+pp3+++=them
out ^rp+pl+++=out
of ^in++++=of
their ^pp$+pp3+++=their
hereditary ^jj+atrb+++=hereditary
acres ^nns++++=acres;
; ^zz++++=EXTRAWORD
displayed ^jj+atrb++xvbn+=displayed
lithographic ^jj+atrb+++=lithographic
maps ^nns++++=maps,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
their ^pp$+pp3+++=their
cabbage ^nn+nom+++=cabbage-gardens
- ^zz++++=EXTRAWORD
gardens ^nns++++=EXTRAWORD
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
out ^rb+phrv+++=out
into ^in++++=into
town ^nn++++=town
lots ^nns++++=lots:
: ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
oyster ^nn++++=oyster-parks
- ^zz++++=EXTRAWORD
parks ^nns++++=EXTRAWORD
into ^in++++=into
docks ^nns++++=docks
and ^cc++++=and
quays ^nns++++=quays;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys
metamorphosed ^vbd+++xvbn+=metamorphosed
into ^in++++=into
a ^at++++=a
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
enrich ^vbi++++=enrich
the ^ati++++=the
whole ^jj+atrb+++=whole
neighborhood ^nn+nom+++=neighborhood
with ^in++++=with
paper ^nn++++=paper
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Fortunately ^rb+cnj+++=Fortunately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gallant ^jj++++=gallant
Van ^&fw++++=Van
Hornes ^np+++??+=Hornes
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
rescue ^nn++++=rescue,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
worthy ^jj+atrb+++=worthy
burghers ^nns+nom+++=burghers
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
capitulating ^nn++++=capitulating.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yankees ^nns+nom+++=Yankees
were ^vbd+bed+aux++=were
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
the ^ati++++=the
rout ^nn++++=rout,
, ^zz++++=EXTRAWORD
with ^in++++=with
signal ^nn++++=signal
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
never ^rb++++=never
since ^cs+sub+++=since
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
show ^vbi+vprv+++=show
their ^pp$+pp3+++=their
faces ^nns++++=faces
in ^in++++=in
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
good ^jj+atrb+++=good
people ^nns++++=people
continue ^vb++++=continue
to ^to++++=to
cultivate ^nn+nom+++=cultivate
their ^pp$+pp3+++=their
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rear ^jjb++++=rear
their ^pp$+pp3+++=their
oysters ^nns+nom+++=oysters;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
joint ^jjb+atrb+++=joint
stock ^nn++++=stock
companies ^nns++++=companies,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
treasure ^nn++++=treasure
up ^rp++++=up
their ^pp$+pp3+++=their
money ^nn++++=money
in ^in++++=in
stocking ^nn++++=stocking-feet,
- ^zz++++=EXTRAWORD
feet ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bury ^vb++++=bury
it ^pp3+it+++=it
in ^in++++=in
iron ^nn++++=iron
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
as ^ql++++=as
did ^vbd+dod+vrb++=did
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers
and ^cc++++=and
grandfathers ^nns+nom+++=grandfathers
before ^in++++=before
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
still ^rb++++=still
remains ^vbz++++=remains
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
and ^cc+phrs+++=and
tall ^jj+atrb+++=tall
family ^nn++++=family
of ^in++++=of
the ^ati++++=the
Van ^&fw++++=Van
Hornes ^np+++??+=Hornes.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
ancient ^jj+atrb+++=ancient
Dutch ^nn++++=Dutch
corner ^npl++++=corner
cupboards ^nns++++=cupboards,
, ^zz++++=EXTRAWORD
chests ^nns++++=chests
of ^in++++=of
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
massive ^jj+atrb+++=massive
clothes ^nns++++=clothes-presses,
- ^zz++++=EXTRAWORD
presses ^nns+nom++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
quaintly ^jj++++=quaintly
carved ^jj+++xvbn+=carved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carefully ^rb++++=carefully
waxed ^vbd+++xvbn+=waxed
and ^cc++++=and
polished ^jj++++=polished;
; ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
divers ^nns++++=divers
thick ^jj++++=thick,
, ^zz++++=EXTRAWORD
black ^jj++++=black-letter
- ^zz++++=EXTRAWORD
letter ^nn++++=EXTRAWORD
volumes ^nns++++=volumes,
, ^zz++++=EXTRAWORD
with ^in++++=with
brass ^nn++++=brass
clasps ^nns+++??+=clasps,
, ^zz++++=EXTRAWORD
printed ^j+++xvbn+=printed
of ^in++++=of
yore ^nn+++??+=yore
in ^in++++=in
Leydon ^np+++??+=Leydon
and ^cc++++=and
Amsterdam ^np++++=Amsterdam,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vwbn+++xvbn+=handed
down ^rb+phrv+++=down
from ^in++++=from
generation ^nn+nom+++=generation
to ^in++++=to
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
read ^vb+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
preserved ^vpsv++agls+xvbnx+=preserved
in ^in++++=in
the ^ati++++=the
archives ^nn++++=archives,
, ^zz++++=EXTRAWORD
among ^in++++=among
sundry ^jj+atrb+++=sundry
old ^jj+atrb+++=old
parchment ^nn+nom+++=parchment
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
in ^in++++=in
Dutch ^jj++++=Dutch
and ^cc++++=and
English ^nn++++=English,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
the ^ati++++=the
seals ^nns++++=seals
of ^in++++=of
the ^ati++++=the
early ^jj+atrb+++=early
governors ^npts++++=governors
of ^in++++=of
the ^ati++++=the
province ^nn++++=province.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
house ^nn++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primitive ^jj+atrb+++=primitive
Dutch ^jj+atrb+++=Dutch
holidays ^nns++++=holidays
of ^in++++=of
Paas ^np+++??+=Paas
and ^cc++++=and
Pinxter ^np+++??+=Pinxter
are ^vb+ber+aux++=are
faithfully ^rb++splt++=faithfully
kept ^vpsv++agls+xvbnx+=kept
up ^rb+phrv+++=up;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
New ^jj++++=New-Year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
celebrated ^vbd+++xvbn+=celebrated
with ^in++++=with
cookies ^nns+++??+=cookies
and ^cc++++=and
cherry ^nn++++=cherry-bounce;
- ^zz++++=EXTRAWORD
bounce ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
is ^vbz+bez+vrb++=is
the ^ati++++=the
festival ^nn+nom+++=festival
of ^in++++=of
the ^ati++++=the
blessed ^jj+++xvbn+=blessed
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
forgotten ^vwbn+++xvbn+=forgotten,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
children ^nns++++=children
are ^vb+ber+vrb++=are
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
hang ^vbi++++=hang
up ^rp++++=up
their ^pp$+pp3+++=their
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
have ^vbi+vbi+aux++=have
them ^pp3o+pp3+++=them
filled ^vbd+++xvbn+=filled
according ^in+cmpx+++=according
to ^in++++=to
their ^pp$+pp3+++=their
deserts ^nns++++=deserts;
; ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
the ^ati++++=the
