July ^nr++++=JULY
Yet ^rb++++=Yet
what ^wdt+who+++=what
power ^nn++++=power
had ^vb+hv+vrb++=had
she? ^nn+++??+=she?--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
power ^nn++++=power
of ^in++++=of
exciting ^jj++++=exciting
my ^pp$+pp1+++=my
hate ^vb++++=hate--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
utter ^jjb+atrb+++=utter
scorn ^nn++++=scorn--my--oh,
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
but ^cc++++=but
indifference ^nn+nom+++=indifference!
! ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
I ^pp1a+pp1+++=I
attain ^vb++++=attain
that ^dt+pdem+++=that--could
-- ^--+clp+++=EXTRAWORD
could ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
regard ^nn++++=regard
her ^pp$+pp3+++=her
with ^in++++=with
careless ^jj+atrb+++=careless
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
transferring ^vbg+++xvbg+=transferring
my ^pp$+pp1+++=my
rejected ^vbd+++xvbn+=rejected
love ^vb++++=love
to ^to+vcmp+++=to
one ^cd1++++=one
fairer ^jjr++++=fairer
and ^cc++++=and
more ^rbr++++=more
true ^jj++++=true,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
were ^vbd+bed+vrb++=were
indeed ^rb++++=indeed
a ^at++++=a
victory ^nn++++=victory!
! ^zz++++=EXTRAWORD
A ^at++++=A
bright ^jj+atrb+++=bright
flash ^nn++++=flash
darted ^vbd+++xvbn+=darted
before ^in++++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
the ^ati++++=the
medicine ^nn++++=medicine
of ^in++++=of
the ^ati++++=the
adept ^jj++++=adept;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
gazed ^vbd+++xvbnx+=gazed
on ^in++++=on
it ^pp3+it+++=it
with ^in++++=with
wonder ^nn++++=wonder:
: ^zz++++=EXTRAWORD
flashes ^nns++++=flashes
of ^in++++=of
admirable ^jj+atrb+++=admirable
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
bright ^jj++++=bright
than ^in++++=than
those ^dt+pdem+++=those
which ^whp+rel+obj++=which
the ^ati++++=the
diamond ^nn++++=diamond
emits ^nns+++??+=emits
when ^wrb+who+++=when
the ^ati++++=the
sun ^nn++++=sun's
's ^$++++=EXTRAWORD
rays ^nns++++=rays
are ^vb+ber+vrb++=are
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
glanced ^j+++xvbn+=glanced
from ^in++++=from
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
liquid ^nn++++=liquid;
; ^zz++++=EXTRAWORD
an ^at++++=an
odour ^nn++++=odour
the ^ati++++=the
most ^ql+emph+++=most
fragrant ^jj++++=fragrant
and ^cc+phrs+++=and
grateful ^jj++++=grateful
stole ^vbd+++xvbn+=stole
over ^in++++=over
my ^pp$+pp1+++=my
sense ^nn++++=sense;
; ^zz++++=EXTRAWORD
the ^ati++++=the
vessel ^nn++++=vessel
seemed ^vbd+seem++xvbn+=seemed
one ^cd1++++=one
globe ^nn++++=globe
of ^in++++=of
living ^xvbg+++xvbg+=living
radiance ^nn+nom+++=radiance,
, ^zz++++=EXTRAWORD
lovely ^jj++++=lovely
to ^in++++=to
the ^ati++++=the
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
inviting ^jj+++xvbg+=inviting
to ^in++++=to
the ^ati++++=the
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
thought ^vbd+++xvbn+=thought,
, ^zz++++=EXTRAWORD
instinctively ^rb++++=instinctively
inspired ^vpsv++by+xvbn+=inspired
by ^in++++=by
the ^ati++++=the
grosser ^jjr+atrb+++=grosser
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
drink ^vb++++=drink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
vessel ^nn++++=vessel
to ^in++++=to
my ^pp$+pp1+++=my
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
cure ^vb++++=cure
me ^pp1o+pp1+++=me
of ^in++++=of
love ^nn++++=love--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
torture ^nn++++=torture!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Already ^rb++++=Already
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
quaffed ^vprf+++xvbnx+=quaffed
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
delicious ^jj+atrb+++=delicious
liquor ^nn++++=liquor
ever ^rb++++=ever
tasted ^vprf+++xvbn+=tasted
by ^in++++=by
the ^ati++++=the
palate ^nn++++=palate
of ^in++++=of
man ^nn++++=man,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
philosopher ^nn+nom+++=philosopher
stirred ^vbd+++xvbn+=stirred.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
dropped ^vbd+++xvbnx+=dropped
the ^ati++++=the
glass ^nn++++=glass--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
fluid ^nn++++=fluid
flamed ^vbd+++xvbn+=flamed
and ^cc+phrs+++=and
glanced ^vbd+++xvbn+=glanced
along ^in++++=along
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
Cornelius ^np++++=Cornelius's
's ^$++++=EXTRAWORD
gripe ^nn+++??+=gripe
at ^rb++++=at
my ^pp$+pp1+++=my
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
shrieked ^vbd+++xvbnx+=shrieked
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
" ^zz++++="Wretch!
wretch ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
destroyed ^vprf+++xvbnx+=destroyed
the ^ati++++=the
labour ^nn++++=labour
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
philosopher ^nn+nom+++=philosopher
was ^vbd+bedz+vrb++=was
totally ^rb+amp+++=totally
unaware ^jj+pred+++=unaware
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
drunk ^vprf+++xvbnx+=drunk
any ^dti++++=any
portion ^nn+nom+++=portion
of ^in++++=of
his ^pp$+pp3+++=his
drug ^nn++++=drug.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
a ^at++++=a
tacit ^jj+atrb+++=tacit
assent ^nn++++=assent
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
the ^ati++++=the
vessel ^nn++++=vessel
from ^in++++=from
curiosity ^nn+nom+++=curiosity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
frighted ^j+++xvbn+=frighted
at ^rb++++=at
its ^pp$+it+++=its
brightness ^nns+nom+++=brightness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flashes ^nns++++=flashes
of ^in++++=of
intense ^jj+atrb+++=intense
light ^nn++++=light
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
let ^vprf+++xvbnx+=let
it ^pp3+it+++=it
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
undeceived ^jj+++xvbn+=undeceived
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
of ^in++++=of
the ^ati++++=the
medicine ^nn++++=medicine
was ^vbd+bedz+aux++=was
quenched ^vpsv++agls+xvbnx+=quenched--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
fragrance ^nn+nom+++=fragrance
died ^vbd+++xvbn+=died
away ^rp+pl+++=away--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
grew ^vbd+++xvbnx+=grew
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
philosopher ^nn+nom+++=philosopher
should ^md+nec+++=should
under ^in++++=under
the ^ati++++=the
heaviest ^jjt+atrb+++=heaviest
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dismissed ^vbd+++xvbn+=dismissed
me ^pp1o+pp1+++=me
to ^in++++=to
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
attempt ^vb++++=attempt
to ^to+vcmp+++=to
describe ^vbi++++=describe
the ^ati++++=the
sleep ^nn++++=sleep
of ^in++++=of
glory ^nn++++=glory
and ^cc++++=and
bliss ^nn++++=bliss
which ^whp+rel+subj++=which
bathed ^vprf+++xvbn+=bathed
my ^pp$+pp1+++=my
soul ^nn++++=soul
in ^in++++=in
paradise ^nn++++=paradise
during ^in++++=during
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
hours ^nns++++=hours
of ^in++++=of
that ^dt+dem+++=that
memorable ^jj+atrb+++=memorable
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Words ^nns++++=Words
would ^md+prd+++=would
be ^vb+be+vrb++=be
faint ^jj+pred+++=faint
and ^cc+phrs+++=and
shallow ^jj+atrb+++=shallow
types ^nns++++=types
of ^in++++=of
my ^pp$+pp1+++=my
enjoyment ^nn+nom+++=enjoyment,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
of ^in++++=of
the ^ati++++=the
gladness ^nns+nom+++=gladness
that ^tht+rel+subj++=that
possessed ^vprf+++xvbn+=possessed
my ^pp$+pp1+++=my
bosom ^nn++++=bosom
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trod ^vbd+++xvbnx+=trod
air ^nn++++=air--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
thoughts ^nns++++=thoughts
were ^vbd+bed+vrb++=were
in ^in++++=in
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
Earth ^nn++++=Earth
appeared ^vbd+seem++xvbn+=appeared
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
inheritance ^nn+nom+++=inheritance
upon ^in++++=upon
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
one ^cd1++++=one
trance ^nn++++=trance
of ^in++++=of
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
cured ^vpsv++agls+xvbnx+=cured
of ^in++++=of
love ^nn++++=love,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
see ^vb+vprv+++=see
Bertha ^np+++??+=Bertha
this ^dt+dem+++=this
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
will ^md+prd+++=will
find ^vb+vprv+tht0++=find
her ^pp$+pp3+++=her
lover ^nn++++=lover
cold ^jj++++=cold
and ^cc++++=and
regardless ^rb++++=regardless:
: ^zz++++=EXTRAWORD
too ^ql++++=too
happy ^jj++++=happy
to ^to+jcmp+++=to
be ^vbi++vrb++=be
disdainful ^jj+pred+++=disdainful,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
how ^wrb+who+++=how
utterly ^rb+amp+++=utterly
indifferent ^jj++++=indifferent
to ^in++++=to
her ^pp$+pp3+++=her!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hours ^nns++++=hours
danced ^vbd+++xvbn+=danced
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
secure ^vb++++=secure
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
succeeded ^vprf+++xvbnx+=succeeded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
believing ^vbg+vprv++xvbg+=believing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
concoct ^vbi+++??+=concoct
the ^ati++++=the
same ^ap++++=same
medicine ^nn++++=medicine
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
shut ^vpsv++agls+xvbnx+=shut
up ^rb+phrv+++=up
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
books ^nns++++=books
and ^cc++++=and
drugs ^nns++++=drugs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
holiday ^nn++++=holiday.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dressed ^vbd+++xvbnx+=dressed
myself ^ppl+pp1+++=myself
with ^in++++=with
care ^nn++++=care;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
in ^in++++=in
an ^at++++=an
old ^jj+atrb+++=old
but ^cc+phrs+++=but
polished ^jj+atrb+++=polished
shield ^nn++++=shield,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
served ^vbd+++xvbn+=served
me ^pp1o+pp1+++=me
for ^in++++=for
a ^at++++=a
mirror ^nn++++=mirror;
; ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=methought
thought ^vbd+++xvbn+=EXTRAWORD
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
looks ^nns++++=looks
had ^vb+hv+aux++=had
wonderfully ^rb++splt++=wonderfully
improved ^vprf+++xvbnx+=improved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hurried ^vbd+++xvbnx+=hurried
beyond ^in++++=beyond
the ^ati++++=the
precincts ^nns++++=precincts
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
joy ^nn++++=joy
in ^in++++=in
my ^pp$+pp1+++=my
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beauty ^nn++++=beauty
of ^in++++=of
heaven ^nn++++=heaven
and ^cc++++=and
earth ^nn++++=earth
around ^rp++++=around
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
my ^pp$+pp1+++=my
steps ^nns++++=steps
towards ^in++++=towards
the ^ati++++=the
castle ^npl++++=castle--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
look ^vb++++=look
on ^in++++=on
its ^pp$+it+++=its
lofty ^np++++=lofty
turrets ^nns++++=turrets
with ^in++++=with
lightness ^nns+nom+++=lightness
of ^in++++=of
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
cured ^vpsv++agls+xvbnx+=cured
of ^in++++=of
love ^nn++++=love.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
Bertha ^np+++??+=Bertha
saw ^vbd+vprv++xvbn+=saw
me ^pp1o+pp1+++=me
afar ^rb++++=afar
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
up ^rp++++=up
the ^ati++++=the
avenue ^nn++++=avenue.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
what ^wdt+who+++=what
sudden ^jj+atrb+++=sudden
impulse ^nn++++=impulse
animated ^vwbn+++xvbn+=animated
her ^pp3o+pp3+++=her
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sprung ^vbd+++xvbnx+=sprung
with ^in++++=with
a ^at++++=a
light ^nn++++=light
fawn ^nn++++=fawn-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
bound ^vbd+++xvbn+=bound
down ^rp++++=down
the ^ati++++=the
marble ^nn++++=marble
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
hastening ^vbg+++xvbgx+=hastening
towards ^in++++=towards
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
perceived ^vpsv++by+xvbnx+=perceived
by ^in++++=by
another ^dt++++=another
person ^nn++++=person.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj++++=old
high ^jj++++=high-born
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
hag ^nn+++??+=hag,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
called ^vbd+++xvbn+=called
herself ^ppl+pp3+++=herself
her ^pp$+pp3+++=her
protectress ^nns+nom+++=protectress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
tyrant ^nn++++=tyrant,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
also ^rb++++=also;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hobbled ^vbd+++xvbnx+=hobbled,
, ^zz++++=EXTRAWORD
panting ^vbg+++xvbg+=panting,
, ^zz++++=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
terrace ^nn++++=terrace;
; ^zz++++=EXTRAWORD
a ^at++++=a
page ^nn++++=page,
, ^zz++++=EXTRAWORD
as ^ql++++=as
ugly ^jj++++=ugly
as ^ql++++=as
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
up ^rp++++=up
her ^pp$+pp3+++=her
train ^nn++++=train,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fanned ^vbd+++xvbn+=fanned
her ^pp$+pp3+++=her
as ^ql++++=as
she ^pp3a+pp3+++=she
hurried ^vbd+++xvbnx+=hurried
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vbd+++xvbn+=stopped
my ^pp$+pp1+++=my
fair ^jj+atrb+++=fair
girl ^nn++++=girl
with ^in++++=with
a ^at++++=a
" ^zz++++="How,
how ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
bold ^jj+atrb+++=bold
mistress ^nns+nom+++=mistress?
? ^zz++++=EXTRAWORD
whither ^jjr++++=whither
so ^ql++++=so
fast ^rb++++=fast?
? ^zz++++=EXTRAWORD
Back ^jjb++++=Back
to ^in++++=to
your ^pp$+pp2+++=your
cage ^nn++++=cage--hawks
-- ^--+clp+++=EXTRAWORD
hawks ^nns+++??+=EXTRAWORD
are ^vb+ber+vrb++=are
abroad ^rb+pl+++=abroad!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
clasped ^vbd+++xvbn+=clasped
her ^pp$+pp3+++=her
hands ^nns++++=hands--her
-- ^--+clp+++=EXTRAWORD
her ^pp$+pp3+++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
still ^rb++splt++=still
bent ^vpsv++agls+xvbnx+=bent
on ^in++++=on
my ^pp$+pp1+++=my
approaching ^jj+atrb++xvbg+=approaching
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
contest ^nn++++=contest.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
I ^pp1a+pp1+++=I
abhorred ^vbd+++xvbnx+=abhorred
the ^ati++++=the
old ^jj+atrb+++=old
crone ^nn++++=crone
who ^whp+rel+subj++=who
checked ^vbd+++xvbn+=checked
the ^ati++++=the
kind ^nn++++=kind
impulses ^nns++++=impulses
of ^in++++=of
my ^pp$+pp1+++=my
Bertha ^np++++=Bertha's
's ^$++++=EXTRAWORD
softening ^jj+atrb+++=softening
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Hitherto ^rb+cnj+++=Hitherto,
, ^zz++++=EXTRAWORD
respect ^nn++++=respect
for ^in++++=for
her ^pp$+pp3+++=her
rank ^nn++++=rank
had ^vbd+hvd+aux++=had
caused ^vprf+++xvbnx+=caused
me ^pp1o+pp1+++=me
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
lady ^nn++++=lady
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
disdained ^vbd+++xvbnx+=disdained
such ^abl++++=such
trivial ^jj+atrb+++=trivial
considerations ^nns+nom+++=considerations.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
cured ^vpsv++agls+xvbnx+=cured
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lifted ^vbd+++xvbn+=lifted
above ^jjb++++=above
all ^rb++++=all
human ^jj+atrb+++=human
fears ^nns++++=fears;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hastened ^vbd+++xvbnx+=hastened
forwards ^nns++++=forwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
reached ^vbd+++xvbn+=reached
the ^ati++++=the
terrace ^nn++++=terrace.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
lovely ^jj+atrb+++=lovely
Bertha ^np+++??+=Bertha
looked ^vbd+++xvbn+=looked!
! ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
flashing ^vwbg+++xvbg+=flashing
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
glowing ^vwbg+++xvbg+=glowing
with ^in++++=with
impatience ^nn+nom+++=impatience
and ^cc++++=and
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
thousand ^cd++++=thousand
times ^nns++++=times
more ^rbr++++=more
graceful ^jj++++=graceful
and ^cc+phrs+++=and
charming ^jj+++xvbg+=charming
than ^in++++=than
ever ^rb++++=ever--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
loved ^vbd+++xvbn+=loved--Oh!
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
adored ^vbd+++xvbnx+=adored--worshipped--idolized
-- ^--+clp+++=EXTRAWORD
worshipped ^j+++xvbn+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
idolized ^j+++xvbn+=EXTRAWORD
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
morning ^nn++++=morning
been ^vprf+ben+aux+xvbn+=been
persecuted ^vpsv++agls+xvbnx+=persecuted,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
usual ^jj+atrb+++=usual
vehemence ^nn+nom+++=vehemence,
, ^zz++++=EXTRAWORD
to ^in++++=to
consent ^nn++++=consent
to ^in++++=to
an ^at++++=an
immediate ^jj+atrb+++=immediate
marriage ^nn+nom+++=marriage
with ^in++++=with
my ^pp$+pp1+++=my
rival ^jjb++++=rival.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
reproached ^vpsv++agls+xvbnx+=reproached
with ^in++++=with
the ^ati++++=the
encouragement ^nn+nom+++=encouragement
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
him ^pp3o+pp3+++=him--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
threatened ^vpsv++agls+xvbnx+=threatened
with ^in++++=with
being ^nn+nn+aux++=being
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
of ^in++++=of
doors ^nns++++=doors
with ^in++++=with
disgrace ^nn+++??+=disgrace
and ^cc++++=and
shame ^nn++++=shame.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
proud ^jj+atrb+++=proud
spirit ^nn++++=spirit
rose ^vbd+++xvbn+=rose
in ^in++++=in
arms ^nns++++=arms
at ^in++++=at
the ^ati++++=the
threat ^nn++++=threat;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
scorn ^nn++++=scorn
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
heaped ^vprf+++xvbnx+=heaped
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
