Of ^in++++=Of
demands ^nns++++=demands
for ^in++++=for
future ^jjb+atrb+++=future
reports ^nns++++=reports
of ^in++++=of
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bore ^nn+++xvbn+=bore
regular ^jj+atrb+++=regular
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
for ^in++++=for
after ^cs+sub+++=after
the ^ati++++=the
first ^od++++=first
interview ^vb++++=interview
the ^ati++++=the
manuscript ^nn++++=manuscript
records ^vbz+vpub+++=records
daily ^jj+atrb+++=daily
calls ^nns++++=calls
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
related ^vbd+++xvbnx+=related
startling ^jj+atrb+++=startling
fragments ^nns+nom+++=fragments
of ^in++++=of
nocturnal ^jj+atrb+++=nocturnal
imagery ^nn+nom+++=imagery
whose ^whp+rel+obj++=whose
burden ^nn++++=burden
was ^vbd+bedz+vrb++=was
always ^rb++++=always
some ^dti++++=some
terrible ^jj+atrb+++=terrible
Cyclopean ^np+nom++??+=Cyclopean
vista ^nn++++=vista
of ^in++++=of
dark ^jj+atrb+++=dark
and ^cc+phrs+++=and
dripping ^jj+atrb++xvbg+=dripping
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
subterrene ^nn+++??+=subterrene
voice ^nn++++=voice
or ^cc++++=or
intelligence ^nn+nom+++=intelligence
shouting ^vwbg+++xvbg+=shouting
monotonously ^rb++++=monotonously
in ^in++++=in
enigmatical ^jj+atrb+++=enigmatical
sense ^nn++++=sense-impacts
- ^zz++++=EXTRAWORD
impacts ^nns+++??+=EXTRAWORD
uninscribable ^jj++++=uninscribable
save ^vb++++=save
as ^ql++++=as
gibberish ^jj++++=gibberish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
sounds ^nns++++=sounds
most ^ql+emph+++=most
frequently ^rb++++=frequently
repeated ^jj+++xvbn+=repeated
are ^vb+ber+aux++=are
those ^dt+dem+++=those
rendered ^vpsv++by+xvbn+=rendered
by ^in++++=by
the ^ati++++=the
letters ^nns+nom+++=letters
" ^zz++++="Cthulhu"
cthulhu ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="R'lyeh".
r ^zz++++=EXTRAWORD
'lyeh". ^nn+++??+=EXTRAWORD
On ^in++++=On
23 ^cd++++=23
March ^nn++++=March,
, ^zz++++=EXTRAWORD
the ^ati++++=the
manuscript ^nn++++=manuscript
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
Wilcox ^np++++=Wilcox
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
appear ^vbi+seem+++=appear;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inquiries ^nns++++=inquiries
at ^in++++=at
his ^pp$+pp3+++=his
quarters ^nns+nom+++=quarters
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
stricken ^jj++++=stricken
with ^in++++=with
an ^at++++=an
obscure ^jj+atrb+++=obscure
sort ^nn++++=sort
of ^in++++=of
fever ^nn++++=fever
and ^cc++++=and
taken ^vpsv++agls+xvbn+=taken
to ^to+vcmp+++=to
the ^ati++++=the
home ^nr++++=home
of ^in++++=of
his ^pp$+pp3+++=his
family ^nn++++=family
in ^in++++=in
Waterman ^np+nom++??+=Waterman
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
cried ^vprf+++xvbnx+=cried
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
arousing ^vbg+++xvbg+=arousing
several ^ap++++=several
other ^ap++++=other
artists ^nns+nom+++=artists
in ^in++++=in
the ^ati++++=the
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
manifested ^vprf+++xvbnx+=manifested
since ^cs+sub+++=since
then ^rn+tm+++=then
only ^rb+down+++=only
alternations ^nns+nom+++=alternations
of ^in++++=of
unconsciousness ^nns+nom+++=unconsciousness
and ^cc++++=and
delirium ^nn+++??+=delirium.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle
at ^rb++++=at
once ^rb"+tm+++=once
telephoned ^vbd+vpub++xvbn+=telephoned
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
that ^dt+dem+++=that
time ^nn++++=time
forward ^rb++++=forward
kept ^vbd+++xvbn+=kept
close ^jj++++=close
watch ^vb++++=watch
of ^in++++=of
the ^ati++++=the
case ^nn++++=case;
; ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
often ^rb++++=often
at ^in++++=at
the ^ati++++=the
Thayer ^np+++??+=Thayer
Street ^nn++++=Street
office ^nn++++=office
of ^in++++=of
Dr ^npt++++=Dr
Tobey ^np++++=Tobey,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
charge ^nn++++=charge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
youth ^nn++++=youth's
's ^$++++=EXTRAWORD
febrile ^nn+++??+=febrile
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
dwelling ^nvbg+++xvbg+=dwelling
on ^in+ppvb+++=on
strange ^jj+atrb+++=strange
things ^nns++++=things;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor
shuddered ^vbd+++xvbn+=shuddered
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
included ^vbd+++xvbnx+=included
not ^xnot++not++=not
only ^rb+down+++=only
a ^at++++=a
repetition ^nn+nom+++=repetition
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
dreamed ^vprf+++xvbnx+=dreamed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
touched ^vbd+++xvbn+=touched
wildly ^rb++++=wildly
on ^in++++=on
a ^at++++=a
gigantic ^jj+atrb+++=gigantic
thing ^nn++++=thing
" ^zz++++="miles
miles ^nns++++=EXTRAWORD
high ^jj++++=high"
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
walked ^vbd+++xvbn+=walked
or ^cc+phrs+++=or
lumbered ^vbd+++xvbn+=lumbered
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
at ^rb++++=at
no ^at++++=no
time ^nn++++=time
fully ^rb+amp+++=fully
described ^vbd+++xvbn+=described
this ^dt+dem+++=this
object ^nn++++=object
but ^cc++++=but
occasional ^jj+atrb+++=occasional
frantic ^jj+atrb+++=frantic
words ^nns++++=words,
, ^zz++++=EXTRAWORD
as ^in++++=as
repeated ^nn++++=repeated
by ^in++++=by
Dr ^npt++++=Dr
Tobey ^np++++=Tobey,
, ^zz++++=EXTRAWORD
convinced ^vpbn+v++xvbn+=convinced
the ^ati++++=the
professor ^npt++++=professor
that ^tht+rel+obj++=that
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
identical ^jj+pred+++=identical
with ^in++++=with
the ^ati++++=the
nameless ^jj+atrb+++=nameless
monstrosity ^nn+nom+++=monstrosity
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sought ^vprf+++xvbnx+=sought
to ^to++++=to
depict ^vbi++++=depict
in ^in++++=in
his ^pp$+pp3+++=his
dream ^nn++++=dream-sculpture.
- ^zz++++=EXTRAWORD
sculpture ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Reference ^nn+nom+++=Reference
to ^in++++=to
this ^dt+dem+++=this
object ^nn++++=object,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor
added ^vbd+vpub++xvbn+=added,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
invariably ^rb++++=invariably
a ^at++++=a
prelude ^nn++++=prelude
to ^in++++=to
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man's
's ^$++++=EXTRAWORD
subsidence ^nn+nom+++=subsidence
into ^in++++=into
lethargy ^nn++++=lethargy.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
temperature ^nn++++=temperature,
, ^zz++++=EXTRAWORD
oddly ^rb++++=oddly
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
greatly ^rb+amp+++=greatly
above ^jjb++++=above
normal ^jj++++=normal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
whole ^jj+atrb+++=whole
condition ^nn+nom+++=condition
was ^vbd+bedz+vrb++=was
otherwise ^rb+cnj+++=otherwise
such ^in++++=such
as ^in++++=as
to ^in"++++=to
suggest ^vb+vpub+++=suggest
true ^jj+atrb+++=true
fever ^nn++++=fever
rather ^rb++++=rather
than ^in++++=than
mental ^jj+atrb+++=mental
disorder ^nn+nom+++=disorder.
. ^zz++++=EXTRAWORD
On ^in++++=On
2 ^zz++++=2
April ^nr++++=April
at ^rb++++=at
about ^in++++=about
3 ^zz++++=3
P.m ^rb++++=P.M.
. ^zz++++=EXTRAWORD
every ^at++++=every
trace ^nn++++=trace
of ^in++++=of
Wilcox ^np++++=Wilcox's
's ^$++++=EXTRAWORD
malady ^nn++++=malady
suddenly ^rb++++=suddenly
ceased ^vbd+++xvbn+=ceased.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
upright ^jj++++=upright
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
astonished ^j+++xvbn+=astonished
to ^to+jcmp+++=to
find ^vbi+vprv+tht0++=find
himself ^ppl+pp3+++=himself
at ^in++++=at
home ^nr++++=home
and ^cc++++=and
completely ^rb+amp+++=completely
ignorant ^jj++++=ignorant
of ^in++++=of
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
in ^in++++=in
dream ^nn++++=dream
or ^cc++++=or
reality ^nn+nom+++=reality
since ^in++++=since
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
22 ^cd++++=22
March ^nn++++=March.
. ^zz++++=EXTRAWORD
Pronounced ^j+++xvbn+=Pronounced
well ^rb++++=well
by ^in++++=by
his ^pp$+pp3+++=his
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
his ^pp$+pp3+++=his
quarters ^nns+nom+++=quarters
in ^in++++=in
three ^cd++++=three
days ^nns++++=days;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
Professor ^npt++++=Professor
Angell ^np+++??+=Angell
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
of ^in++++=of
no ^at++++=no
further ^jjb+atrb+++=further
assistance ^nn+nom+++=assistance.
. ^zz++++=EXTRAWORD
All ^abn++++=All
traces ^nns++++=traces
of ^in++++=of
strange ^nn++++=strange
dreaming ^vwbg+++xvbg+=dreaming
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
with ^in++++=with
his ^pp$+pp3+++=his
recovery ^nn+nom+++=recovery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
uncle ^npt++++=uncle
kept ^vbd+++xvbn+=kept
no ^at++++=no
record ^nn++++=record
of ^in++++=of
his ^pp$+pp3+++=his
night ^nn++++=night-thoughts
- ^zz++++=EXTRAWORD
thoughts ^nns++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
week ^nn++++=week
of ^in++++=of
pointless ^jj+atrb+++=pointless
and ^cc+phrs+++=and
irrelevant ^jj+atrb+++=irrelevant
accounts ^nns++++=accounts
of ^in++++=of
thoroughly ^rb+amp+++=thoroughly
usual ^jj+atrb+++=usual
visions ^nns++++=visions.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
first ^od++++=first
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
manuscript ^nn++++=manuscript
ended ^vbd+++xvbn+=ended,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
references ^nns+nom+++=references
to ^in++++=to
certain ^jj++++=certain
of ^in++++=of
the ^ati++++=the
scattered ^jj+atrb++xvbn+=scattered
notes ^nns++++=notes
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
much ^ap++++=much
material ^nn++++=material
for ^in++++=for
thought ^nn+++xvbn+=thought
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
only ^rb+down+++=only
the ^ati++++=the
ingrained ^jj+atrb++xvbn+=ingrained
skepticism ^nn+nom+++=skepticism
then ^rn+tm+++=then
forming ^vbg+++xvbg+=forming
my ^pp$+pp1+++=my
philosophy ^nn++++=philosophy
can ^md+pos+++=can
account ^vb++++=account
for ^in+ppvb+++=for
my ^pp$+pp1+++=my
continued ^vbd+++xvbn+=continued
distrust ^nn++++=distrust
of ^in++++=of
the ^ati++++=the
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
notes ^nns++++=notes
in ^in++++=in
question ^nn+nom+++=question
were ^vbd+bed+vrb++=were
those ^dt+dem+++=those
descriptive ^jj++++=descriptive
of ^in++++=of
the ^ati++++=the
dreams ^nps++++=dreams
of ^in++++=of
various ^jj+atrb+++=various
persons ^nns++++=persons
covering ^vwbg+++xvbg+=covering
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period
as ^ql++++=as
that ^cs+sub+++=that
in ^in++++=in
which ^whp+rel+pied++=which
young ^jj+atrb+++=young
Wilcox ^np++++=Wilcox
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
strange ^jj+atrb+++=strange
visitations ^nns+nom+++=visitations.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
quickly ^rb++splt++=quickly
instituted ^vprf+++xvbnx+=instituted
a ^at++++=a
prodigiously ^rb++++=prodigiously
far ^rb+pl+++=far-flung
- ^zz++++=EXTRAWORD
flung ^vbd+++xvbn+=EXTRAWORD
body ^nn++++=body
of ^in++++=of
inquiries ^nns++++=inquiries
amongst ^in++++=amongst
nearly ^rb+down+++=nearly
all ^rb++++=all
the ^ati++++=the
friends ^nns++++=friends
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
could ^md+pos+++=could
question ^nn+nom+++=question
without ^in++++=without
impertinence ^nn+nom+++=impertinence,
, ^zz++++=EXTRAWORD
asking ^vbg+vsua++xvbg+=asking
for ^in+ppvb+++=for
nightly ^rb++++=nightly
reports ^nns++++=reports
of ^in++++=of
their ^pp$+pp3+++=their
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dates ^nns++++=dates
of ^in++++=of
any ^dti++++=any
notable ^jj+atrb+++=notable
visions ^nns++++=visions
for ^in++++=for
some ^dti++++=some
time ^nn++++=time
past ^jjb++++=past.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reception ^nn+nom+++=reception
of ^in++++=of
his ^pp$+pp3+++=his
request ^nn++++=request
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
varied ^vpsv++agls+xvbnx+=varied;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
very ^ql+amp+++=very
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
more ^ql++++=more
responses ^nns++++=responses
than ^in++++=than
any ^dti++++=any
ordinary ^jj+atrb+++=ordinary
man ^nn++++=man
could ^md+pos+++=could
have ^vb+hv+aux++=have
handled ^vprf+++xvbnx+=handled
without ^in++++=without
a ^at++++=a
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
original ^jj+atrb+++=original
correspondence ^nn+nom+++=correspondence
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
preserved ^vbd+++xvbn+=preserved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
notes ^vbz+vprv+++=notes
formed ^vbd+++xvbn+=formed
a ^at++++=a
thorough ^jj++++=thorough
and ^cc++++=and
really ^rb+emph+++=really
significant ^jj+atrb+++=significant
digest ^nn++++=digest.
. ^zz++++=EXTRAWORD
Average ^jj+atrb+++=Average
people ^nns++++=people
in ^in++++=in
society ^nn++++=society
and ^cc++++=and
business ^nns+nom+++=business
New ^jj+atrb+++=New
England ^np++++=England's
's ^$++++=EXTRAWORD
traditional ^jj++++=traditional
" ^zz++++="salt
salt ^jj++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth"
" ^zz++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
an ^at++++=an
almost ^rb+hdg+++=almost
completely ^rb+amp+++=completely
negative ^jj+atrb+++=negative
result ^nn++++=result,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
scattered ^xvbn+++xvbn+=scattered
cases ^nns++++=cases
of ^in++++=of
uneasy ^jj+atrb+++=uneasy
but ^cc+phrs+++=but
formless ^jj+atrb+++=formless
nocturnal ^nn+nom+++=nocturnal
impressions ^nns++++=impressions
appear ^vb+seem+++=appear
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
always ^rb++++=always
between ^in++++=between
23 ^cd++++=23
March ^nn++++=March
and ^cc++++=and
2 ^zz++++=2
April ^nr++++=April
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
young ^jj+atrb+++=young
Wilcox ^np++++=Wilcox's
's ^$++++=EXTRAWORD
delirium ^nn+++??+=delirium.
. ^zz++++=EXTRAWORD
Scientific ^jj+atrb+++=Scientific
men ^nns++++=men
were ^vbd+bed+aux++=were
little ^ap++++=little
more ^rbr++++=more
affected ^vbd+++xvbn+=affected,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
four ^cd++++=four
cases ^nns++++=cases
of ^in++++=of
vague ^jj+atrb+++=vague
description ^nn+nom+++=description
suggest ^vb+vpub+++=suggest
fugitive ^jj+atrb+++=fugitive
glimpses ^nns++++=glimpses
of ^in++++=of
strange ^jj+atrb+++=strange
landscapes ^nns++++=landscapes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
one ^cd1++++=one
case ^nn++++=case
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
mentioned ^vpsv++agls+xvbnx+=mentioned
a ^at++++=a
dread ^nn++++=dread
of ^in++++=of
something ^pn++++=something
abnormal ^jj++++=abnormal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
from ^in++++=from
the ^ati++++=the
artists ^nns+nom+++=artists
and ^cc++++=and
poets ^nns++++=poets
that ^tht+rel+obj++=that
the ^ati++++=the
pertinent ^jj+atrb+++=pertinent
answers ^nns+nom+++=answers
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that
panic ^vb++++=panic
would ^md+prd+++=would
have ^vb+hv+aux++=have
broken ^vprf+++xvbnx+=broken
loose ^jj++++=loose
had ^vb+hv+aux++=had
they ^pp3a+pp3+++=they
been ^vb+vbd+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
compare ^vb++++=compare
notes ^nns++++=notes.
. ^zz++++=EXTRAWORD
As ^ql++++=As
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
lacking ^jj+++xvbg+=lacking
their ^pp$+pp3+++=their
original ^jj+atrb+++=original
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
half ^abn++++=half
suspected ^jj+++xvbn+=suspected
the ^ati++++=the
compiler ^nn++++=compiler
of ^in++++=of
having ^nn+nn+aux++=having
asked ^vbd+vsua++xvbn+=asked
leading ^jj+atrb++xvbg+=leading
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
of ^in++++=of
having ^nn+nn+aux++=having
edited ^vbd+++xvbn+=edited
the ^ati++++=the
correspondence ^nn+nom+++=correspondence
in ^in++++=in
corroboration ^nn+nom+++=corroboration
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
latently ^jj++++=latently
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
see ^vbi+vprv+++=see.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
continued ^vbd+++xvbnx+=continued
to ^to++++=to
feel ^vbi+vprv+++=feel
that ^tht+vcmp+++=that
Wilcox ^np++++=Wilcox,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow
cognizant ^jj++++=cognizant
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
data ^nns++++=data
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
imposing ^vbg+++xvbgx+=imposing
on ^in++++=on
the ^ati++++=the
veteran ^nn++++=veteran
scientist ^nn+nom+++=scientist.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
responses ^nns++++=responses
from ^in++++=from
aesthetes ^nn++++=aesthetes
told ^vbd+vpub++xvbn+=told
a ^at++++=a
disturbing ^jj+atrb++xvbg+=disturbing
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
From ^in++++=From
28 ^cd++++=28
February ^nr+nom+++=February
to ^to++++=to
2 ^zz++++=2
April ^nr++++=April
a ^at++++=a
large ^jj+atrb+++=large
proportion ^nn+nom+++=proportion
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vbd+hvd+aux++=had
dreamed ^vprf+++xvbnx+=dreamed
very ^ql+amp+++=very
bizarre ^jj+atrb+++=bizarre
things ^nns++++=things,
, ^zz++++=EXTRAWORD
the ^ati++++=the
intensity ^nn+nom+++=intensity
of ^in++++=of
the ^ati++++=the
dreams ^nps++++=dreams
being ^vwbg+beg++xvbg+=being
immeasurably ^rb++++=immeasurably
the ^ati++++=the
stronger ^nn++++=stronger
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
sculptor ^nn++++=sculptor's
's ^$++++=EXTRAWORD
delirium ^nn+++??+=delirium.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
a ^at++++=a
fourth ^od++++=fourth
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
reported ^vbn+vpub++xvbn+=reported
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
reported ^jj+atrb++xvbn+=reported
scenes ^nns++++=scenes
and ^cc++++=and
half ^abn++++=half-sounds
- ^zz++++=EXTRAWORD
sounds ^nns++++=EXTRAWORD
not ^xnot++not++=not
unlike ^in++++=unlike
those ^dt+pdem+++=those
which ^whp+rel+obj++=which
Wilcox ^np++++=Wilcox
had ^vbd+hvd+aux++=had
described ^vprf+++xvbnx+=described;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
dreamers ^nns+nom+++=dreamers
confessed ^vbd+vpub++xvbn+=confessed
acute ^jj+atrb+++=acute
fear ^nn++++=fear
of ^in++++=of
the ^ati++++=the
gigantic ^jj+atrb+++=gigantic
nameless ^jj+atrb+++=nameless
thing ^nn++++=thing
visible ^jj++++=visible
towards ^in++++=towards
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
case ^nn++++=case,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
note ^nn++++=note
describes ^vbz++++=describes
with ^in++++=with
emphasis ^nn++++=emphasis,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
a ^at++++=a
widely ^rb++++=widely
known ^jj+atrb++xvbn+=known
architect ^nn++++=architect
with ^in++++=with
leanings ^nns++++=leanings
towards ^in++++=towards
theosophy ^nn+++??+=theosophy
and ^cc++++=and
occultism ^nn+nom+++=occultism,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
violently ^rb++++=violently
insane ^jj++++=insane
on ^in++++=on
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
young ^jj+atrb+++=young
Wilcox ^np++++=Wilcox's
's ^$++++=EXTRAWORD
seizure ^nn++++=seizure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expired ^vbd+++xvbn+=expired
several ^ap++++=several
months ^nns++++=months
later ^rbr+tm+++=later
after ^cs+sub+++=after
incessant ^jj+atrb+++=incessant
screamings ^nns+++??+=screamings
to ^to++++=to
be ^vbi+vbi+aux++=be
saved ^vpsv++agls+xvbnx+=saved
from ^in++++=from
some ^dti++++=some
escaped ^jj+++xvbn+=escaped
denizen ^jj+++xvbn+=denizen
of ^in++++=of
hell ^nn++++=hell.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
my ^pp$+pp1+++=my
uncle ^npt++++=uncle
referred ^vbd+++xvbn+=referred
to ^in++++=to
these ^dt+dem+++=these
cases ^nns++++=cases
by ^in++++=by
name ^nn++++=name
instead ^rb+cnj+++=instead
of ^in++++=of
merely ^rb+down+++=merely
by ^in++++=by
number ^nn++++=number,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
some ^dti++++=some
corroboration ^nn+nom+++=corroboration
and ^cc++++=and
personal ^jj+atrb+++=personal
investigation ^nn+nom+++=investigation;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
succeeded ^vbd+++xvbnx+=succeeded
in ^in++++=in
tracing ^xvbg+++xvbg+=tracing
down ^rp++++=down
only ^rb+down+++=only
a ^ap++++=a
