Sparrow ^np+++??+=SPARROW
or ^cc++++=or
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
forecast ^nn+++xvbn+=forecast."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
something ^pn++++=something
like ^in++++=like
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
bet ^vbd+vpub+tht0+xvbnx+=bet
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
right ^jj+pred+++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
confirmed ^vbd+vpub+tht0+xvbn+=confirmed
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
simpatico ^nn+++??+=simpatico.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
start ^nn++++=start
to ^in++++=to
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
raining ^vbg+++xvbgx+=raining
cats ^nns++++=cats
and ^cc++++=and
dogs ^nns++++=dogs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
seemed ^vbd+seem++xvbn+=seemed,
, ^zz++++=EXTRAWORD
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
forthright ^nn+++??+=forthright
way ^nn++++=way
of ^in++++=of
acknowledging ^xvbg+++xvbg+=acknowledging
how ^wrb+who+++=how
right ^nn++++=right
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
found ^vbd+vprv++xvbnx+=found
this ^dt+dem+++=this
generous ^jj++++=generous)
) ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
pleased ^vbd+++xvbn+=pleased
her ^pp3o+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
acknowledge ^vb+vpub+++=acknowledge
how ^wrb+who+whcl++=how
right ^nn++++=right
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
and ^cc+phrs+++=and
enjoyed ^vbd+++xvbn+=enjoyed
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
tended ^vbd+++xvbnx+=tended
to ^to+vcmp+++=to
get ^vbi++++=get
most ^ql+emph+++=most
things ^nns++++=things
right ^nn++++=right.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
seemed ^vbd+seem++xvbnx+=seemed,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
confident ^jj++++=confident.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
bother ^vb++++=bother
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
most ^ql+emph+++=most
women ^nns++++=women,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi++vrb++=be
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
person ^nn++++=person
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
feel ^vbi+vprv+++=feel,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
skin ^nn++++=skin
off ^rp+pl+++=off
her ^pp3o+pp3+++=her
ass ^nn++++=ass.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
imagine ^vb+vprv+tht0++=imagine
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
all ^abn++++=all
your ^pp$+pp2+++=your
life ^nn++++=life,
, ^zz++++=EXTRAWORD
people ^nns++++=people
have ^vb+hv+aux++=have
shied ^vprf+++xvbnx+=shied
away ^rb+phrv+++=away
from ^in+ppvb+++=from
and ^cc++++=and
avoided ^vbd+++xvbn+=avoided,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whenever ^nn+nom+++=whenever
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
something ^pn++++=something
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
just ^rb+emph+++=just
hung ^vbd+++xvbn+=hung
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
a ^at++++=a
neutral ^jj++++=neutral
or ^cc++++=or
slightly ^rb+down+++=slightly
adverse ^jj+atrb+++=adverse
reaction ^nn+nom+++=reaction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
time ^nn++++=time
this ^dt+dem+++=this
happened ^jj+++xvbn+=happened,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
felt ^vbd+vprv++xvbn+=felt
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
life ^nn++++=life
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
accrued ^vprf+++xvbnx+=accrued
a ^at++++=a
series ^nn++++=series
of ^in++++=of
light ^nn++++=light
but ^cc++++=but
painful ^jj++++=painful
little ^ap++++=little
blows ^nns++++=blows,
, ^zz++++=EXTRAWORD
conspiring ^jj+++xvbg+=conspiring
to ^to++++=to
convince ^vbi++++=convince
you ^pp2+pp2+++=you
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
wrong ^jj++++=wrong
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
yourself ^ppl+pp2+++=yourself
in ^in++++=in
the ^ati++++=the
daily ^jj+atrb+++=daily
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
coming ^vbg+++xvbgx+=coming
to ^to++++=to
like ^vbi++++=like
you ^pp2+pp2+++=you
and ^cc++++=and
has ^vbz+hvz+aux++=has
even ^cs+sub+++=even
started ^vprf+++xvbn+=started
to ^to++++=to
leave ^vbi++++=leave
you ^pp2+pp2+++=you
little ^ap++++=little
presents ^vbz++++=presents
on ^in++++=on
the ^ati++++=the
break ^nn++++=break
room ^nn++++=room
table ^nn++++=table
( ^zz++++=(a
a ^at++++=EXTRAWORD
chocolate ^nn+nom+++=chocolate
mint ^nn++++=mint,
, ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
Twinkie ^np+++??+=Twinkie).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
is ^vbz+bez+vrb++=is
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
against ^in++++=against
this ^dt+dem+++=this
thing ^nn++++=thing
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
thing ^nn++++=thing
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
propels ^nns+++??+=propels
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Gloria ^np++++=Gloria,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed
every ^at++++=every
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
finds ^vbz+vprv+++=finds
all ^rb++++=all
of ^in++++=of
this ^dt+dem+++=this
amazing ^jj++++=amazing
and ^cc+phrs+++=and
laughable ^jj++++=laughable
and ^cc+phrs+++=and
disappointing ^jj++++=disappointing
and ^cc++++=and
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
tells ^vbz++++=tells
her ^pp$+pp3+++=her
son ^nn++++=son
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
interest ^nn++++=interest
in ^in++++=in
you ^pp2+pp2+++=you
is ^vbz+bez+aux++=is
causing ^vbg+++xvbgx+=causing
her ^pp3o+pp3+++=her
to ^in++++=to
downgrade ^nn+++??+=downgrade
her ^pp3o+pp3+++=her
opinion ^nn++++=opinion
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
the ^ati++++=the
man ^nn++++=man
shares ^nns++++=shares
this ^dt+dem+++=this
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
from ^rb"++++=from
discouraging ^jj++++=discouraging
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
has ^vbz+hvz+aux++=has
actually ^rb+amp+splt++=actually
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
the ^ati++++=the
protector ^nn++++=protector
of ^in++++=of
some ^dti++++=some
woman ^nn++++=woman
not ^xnot++not++=not
his ^pp$+pp3+++=his
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
blushing ^vbg+++xvbg+=blushing,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
feel ^vb+vprv+++=feel
tender ^jj++++=tender,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whatnot ^nn+++??+=whatnot.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
the ^ati++++=the
kind ^rb++++=kind
of ^rb"++++=of
month ^nn++++=month
that ^tht+rel+subj++=that
would ^md+prd+++=would
be ^vb+be+vrb++=be
for ^in++++=for
you ^pp2+pp2+++=you
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
that ^dt+dem+++=that
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
imagine ^vb+vprv+tht0++=imagine
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
that ^dt+dem+++=that
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
feels ^vbz+vprv+tht0++=feels
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
protecting ^vbg+++xvbgx+=protecting
a ^at++++=a
woman ^nn++++=woman
not ^xnot++not++=not
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
so ^ql++++=so
much ^ap++++=much
more ^rbr++++=more
full ^jj++++=full
of ^in++++=of
life ^nn++++=life
than ^in++++=than
his ^pp$+pp3+++=his
old ^jj++++=old,
, ^zz++++=EXTRAWORD
tan ^nn++++=tan,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent-but-agile
- ^zz++++=EXTRAWORD
but ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
agile ^jj+atrb+++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
smug ^jj+atrb+++=smug
eternal ^jj+atrb+++=eternal
certainty ^nn++++=certainty
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
to ^to++++=to
seem ^vbi+seem+++=seem
tiresome ^jj++++=tiresome,
, ^zz++++=EXTRAWORD
as ^ql++++=as
are ^vb+ber+vrb++=are
those ^dt+dem+++=those
big ^jj+atrb+++=big
honker ^jjr+atrb+++=honker
glasses ^nns++++=glasses
that ^tht+rel+subj++=that
once ^rb+tm+++=once
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
into ^in++++=into
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
put ^jj+atrb++xvbn+=put
new ^jj+atrb+++=new
lenses ^nns++++=lenses
last ^jj+atrb+++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
eleven ^cd++++=eleven
whole ^jj+atrb+++=whole
years ^nns++++=years
after ^cs+sub+++=after
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^vbz+bez+aux++0=EXTRAWORD
passing ^vbg+++xvbgx+=passing.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
young ^jj+atrb+++=young,
, ^zz++++=EXTRAWORD
energetic ^jj+atrb+++=energetic
woman ^nn++++=woman
with ^in++++=with
whom ^whp+rel+pied++=whom
you ^pp2+pp2+++=you
often ^rb++++=often
now ^rn+tm+++=now
find ^vb+vprv+++=find
yourself ^ppl+pp2+++=yourself
in ^in++++=in
pleasant ^jj+atrb+++=pleasant
agreement ^nn+nom+++=agreement,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
suddenly ^rb++splt++=suddenly
start ^vb++++=start
to ^to++++=to
seem ^vbi+seem+++=seem
even ^rb++++=even
prettier ^jjr++++=prettier
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
no ^at++++=no
one ^cd1++++=one
else ^rb+cnj+++=else
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
notice ^vbi+vprv+++=notice
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
uptick ^nn+++??+=uptick
in ^in++++=in
her ^pp$+pp3+++=her
prettiness ^nns+nom+++=prettiness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
say ^vb+vpub+++=say
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
notes ^nns++++=notes
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
begun ^vprf+++xvbnx+=begun
leaving ^vbg+++xvbg+=leaving
on ^in++++=on
the ^ati++++=the
break ^nn++++=break
table ^nn++++=table,
, ^zz++++=EXTRAWORD
with ^in++++=with
those ^dt+dem+++=those
snacks ^nns++++=snacks,
, ^zz++++=EXTRAWORD
notes ^vb++++=notes
that ^tht+vcmp+subj++=that
are ^vb+ber+aux++=are
getting ^vbg+++xvbgx+=getting
longer ^rbr++++=longer
and ^cc+phrs+++=and
longer ^rbr++++=longer
lately ^rb+tm+++=lately
and ^cc+phrs+++=and
sometimes ^rb++++=sometimes
even ^rb++++=even
border ^nn++++=border
on ^in++++=on
the ^ati++++=the
passionate ^jj++++=passionate,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
your ^pp$+pp2+++=your
grammar ^nn++++=grammar
will ^md+prd+++=will
sometimes ^rb++splt++=sometimes
go ^vb++++=go
a ^at++++=a
bit ^nn++++=bit
off ^rp+pl+++=off
as ^ql++++=as
you ^pp2+pp2+++=you
struggle ^vb++++=struggle
to ^to+vcmp+++=to
express ^nns+nom+++=express
these ^dt+dem+++=these
new ^jj+atrb+++=new
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
might ^md+pos+++=might
even ^rb++splt++=even
include ^vb++++=include
a ^at++++=a
drawing ^jj+++xvbg+=drawing
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
cartoon ^nn++++=cartoon
man ^nn++++=man
with ^in++++=with
stars ^nns++++=stars
pouring ^vwbg+++xvbg+=pouring
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
open ^jj++++=open
top ^jjb++++=top
of ^in++++=of
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
one ^cd1++++=one
day ^nn++++=day
there ^ex+pex+++=there
comes ^vbz++++=comes
a ^at++++=a
kiss ^nn++++=kiss.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
stockroom ^nn+++??+=stockroom.
. ^zz++++=EXTRAWORD
After ^in++++=After
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
bad ^jj++++=bad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
she ^pp3a+pp3+++=she
replies ^vbz+vpub+++=replies,
, ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
bad ^jj++++=bad
at ^rb++++=at
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
you ^pp2+pp2+++=you
take ^vb++++=take
as ^ql++++=as
confirmation ^nn+nom+++=confirmation
that ^tht+vcmp+obj++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
always ^rb++splt++=always
felt ^vprf+++xvbnx+=felt
yourself ^ppl+pp2+++=yourself
to ^to++++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
an ^at++++=an
excellent ^jj++++=excellent
kisser ^jjr++++=kisser,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
someone ^pn++++=someone
has ^vbz+hvz+aux++=has
finally ^rb++splt++=finally
noticed ^vprf+++xvbnx+=noticed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
races ^nns++++=races,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
matter ^nn++++=matter
what ^wdt+who+++=what
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
live ^vb++++=live
in ^cs+sub+++=in
that ^cs"++++=that
town ^nn++++=town
and ^cc++++=and
shop ^nn++++=shop
in ^cs+sub+++=in
that ^cs"++++=that
store ^nn++++=store,
, ^zz++++=EXTRAWORD
think ^vb+vprv+++=think
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
snicker ^jjr++++=snicker
about ^in++++=about
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
parking ^jj+atrb++xvbg+=parking
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
unimaginative ^jj+atrb+++=unimaginative
things ^nns++++=things
ourselves ^ppls+pp1+++=ourselves
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
good ^jj++++=good
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
really ^rb+cnj+++=really,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="One
one ^cd1++++=EXTRAWORD
thing ^nn++++=thing
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
is ^vbz+bez+vrb++=is
a ^at++++=a
fly ^nn++++=fly
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
of ^in++++=of
wherever ^nn+nom+++=wherever
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
they ^pp3a+pp3+++=they
go ^vb++++=go
to ^to++++=to
be ^vbi++vrb++=be
alone ^rb++++=alone"
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
you ^pp2+pp2+++=you
never ^rb++++=never
can ^md+pos+++=can
tell ^vb++++=tell,
, ^zz++++=EXTRAWORD
with ^in++++=with
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
no ^at++++=no
matter ^nn++++=matter
what ^wdt+who+++=what
the ^ati++++=the
mother ^nn++++=mother
with ^in++++=with
the ^ati++++=the
men ^nns++++=men's
's ^$++++=EXTRAWORD
glasses ^nns++++=glasses
might ^md+pos+++=might
hiss ^vb++++=hiss
at ^rb++++=at
night ^nn++++=night
at ^rb++++=at
her ^pp3o+pp3+++=her
son ^nn++++=son
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
and ^cc++++=and
the ^ati++++=the
son ^nn++++=son
share ^nn++++=share
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
owns ^vbz++++=owns,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
still ^rb++++=still
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
willed ^vpsv++by+xvbn+=willed
by ^in++++=by
some ^dti++++=some
force ^nn++++=force
bigger ^jjr++++=bigger
than ^in++++=than
any ^dti++++=any
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
a ^at++++=a
wedding ^nn++++=wedding,
, ^zz++++=EXTRAWORD
in ^in++++=in
July ^nr++++=July,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
church ^nn++++=church
just ^rb+emph+++=just
up ^rp++++=up
the ^ati++++=the
block ^nn++++=block
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
private ^jj+atrb+++=private
home ^nr++++=home
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
current ^jj+atrb+++=current
pastor ^nn++++=pastor
had ^vbd+hvd+aux++=had
crowned ^vprf+++xvbnx+=crowned
with ^in++++=with
a ^at++++=a
bell ^nn++++=bell
tower ^nn++++=tower
of ^in++++=of
sorts ^nns++++=sorts
but ^cc++++=but
without ^in++++=without
any ^dti++++=any
bell ^nn++++=bell
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
of ^in++++=of
us ^pp1o+pp1+++=us
would ^md+prd+++=would
go ^vb++++=go
to ^in++++=to
that ^dt+dem+++=that
wedding ^nn++++=wedding,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
how ^wrb+who+whq++=how
could ^md+pos+++=could
we ^pp1a+pp1+++=we
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
because ^cs+cos+++=because
the ^ati++++=the
new ^jj+atrb+++=new
couple ^nn++++=couple
looked ^vbd+++xvbn+=looked
so ^ql++++=so
na ^xnot++not++=na
ve ^nn+++??+=ve,
, ^zz++++=EXTRAWORD
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
