Violent ^jj+atrb+++=VIOLENT
hunched ^j+++xvbn+=hunched
over ^in++++=over
drinks ^nns++++=drinks,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
dim ^jj+atrb+++=dim
red ^jj+atrb+++=red
glow ^nn++++=glow,
, ^zz++++=EXTRAWORD
remembering ^nc+++xvbg+=remembering
seven ^cd++++=seven
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Lieutenant ^npt+nom+++=Lieutenant
Peyton ^np+++??+=Peyton
recalled ^vwbn+vprv++xvbn+=recalled
a ^at++++=a
young ^jj++++=young
blonde ^jj++++=blonde,
, ^zz++++=EXTRAWORD
nude ^jj++++=nude
on ^in++++=on
a ^at++++=a
morgue ^nn+++??+=morgue
slab ^nn++++=slab.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
wholesome ^jj+atrb+++=wholesome
farm ^nn++++=farm
girls ^nns++++=girls
on ^in++++=on
the ^ati++++=the
cover ^nn++++=cover
of ^in++++=of
his ^pp$+pp3+++=his
folks ^nns++++=folks'
' ^zz++++=EXTRAWORD
American ^jj+atrb+++=American
Magazines ^nns++++=Magazines,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
the ^ati++++=the
lump ^nn++++=lump
on ^rp++++=on
her ^pp3o+pp3+++=her
head ^jjb++++=head
and ^cc++++=and
the ^ati++++=the
gash ^nn++++=gash
across ^rp+pl+++=across
her ^pp3o+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
An ^at++++=An
officer ^npt++++=officer
read ^vbd+vprv++xvbn+=read
from ^in++++=from
a ^at++++=a
notebook ^nn++++=notebook:
: ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Helen ^np++++=Helen
Dunn ^np+++??+=Dunn.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
barmaid ^nn+++??+=barmaid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
named ^vbd+++xvbnx+=named
a ^at++++=a
bar ^nn++++=bar
near ^in+pl+++=near
Wayne ^np+++??+=Wayne
State ^nn++++=State
University ^npl+nom+++=University.
. ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
boss ^nn++++=boss
was ^vbd+bedz+aux++=was
emptying ^vbg+++xvbgx+=emptying
out ^rp+pl+++=out
some ^dti++++=some
trash ^nn++++=trash,
, ^zz++++=EXTRAWORD
right ^jj++++=right
after ^in++++=after
opening ^xvbg+++xvbg+=opening
up ^rp++++=up,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
body ^nn++++=body
behind ^in+pl+++=behind
some ^dti++++=some
cans ^nn++++=cans."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Had
had ^vb+hv+aux++=EXTRAWORD
there ^ex+pex+++=there
been ^vprf+ben+vrb+xvbn+=been
any ^dti++++=any
trouble ^nn++++=trouble
recently ^rb+tm+++=recently?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
in ^rb++++=in
particular ^rb"++++=particular;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
barmaids ^nns+++??+=barmaids
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yeah."
yeah ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
replaced ^vbd+++xvbnx+=replaced
the ^ati++++=the
sheet ^nn++++=sheet,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
how ^wrb+who+++=how
to ^to++++=to
say ^vbi+vpub+++=say
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
had ^md"++pmd"++=had
to ^md+nec+++=to
say ^vb+vpub+++=say
without ^in++++=without
revealing ^xvbg+++xvbg+=revealing
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
decided ^vbd+vprv+tht0+xvbnx+=decided
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
this ^dt+dem+++=this
to ^in++++=to
have ^vbi++vrb++=have
top ^jjb+atrb+++=top
priority ^nn+nom+++=priority.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
who ^whp+wpr+whcl++=who
works ^nns++++=works
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
drinks ^nns++++=drinks
there ^rn+pl+++=there--everything."
-- ^--+clp+++=EXTRAWORD
everything ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Something
something ^pn++++=EXTRAWORD
special ^jj++++=special
about ^in++++=about
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
twenty ^cd++++=twenty-three-year-old
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
girls ^nns++++=girls
die ^vb++++=die."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
fooling ^vbg+nom++xvbg+=fooling
the ^ati++++=the
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="something
something ^pn++++=EXTRAWORD
special ^jj++++=special"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
printed ^jj+atrb++xvbn+=printed
note ^nn++++=note
now ^rn+tm+++=now
in ^in++++=in
his ^pp$+pp3+++=his
desk ^nn++++=desk
drawer ^nn++++=drawer:
: ^zz++++=EXTRAWORD
" ^zz++++="Helen
helen ^np++++=EXTRAWORD
Dunn ^np+++??+=Dunn
begins ^vbz++++=begins
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
sleep ^nn++++=sleep
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
long ^jj+atrb+++=long
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Mephistopheles ^np+++??+=Mephistopheles.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
Anyone ^pn++++=Anyone
can ^md+pos+++=can
write ^vb++++=write
a ^at++++=a
note ^nn++++=note,
, ^zz++++=EXTRAWORD
blame ^vb++++=blame
a ^at++++=a
personal ^nn++++=personal
killing ^vwbg+++xvbg+=killing
on ^in++++=on
a ^at++++=a
fictional ^jj+atrb+++=fictional
psychopath ^nn++++=psychopath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
police ^nns++++=police
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
murder ^nn++++=murder
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
usual ^jj+atrb+++=usual
diligence ^nn+nom+++=diligence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
spread ^xvbn+++xvbn+=spread
no ^at++++=no
alarms ^nns++++=alarms.
. ^zz++++=EXTRAWORD
Peyton ^np+++??+=Peyton
dismissed ^vbd+++xvbn+=dismissed
the ^ati++++=the
note ^nn++++=note
as ^ql++++=as
a ^at++++=a
blind ^jj++++=blind
a ^at++++=a
week ^nn++++=week
and ^cc++++=and
a ^at++++=a
half ^abn++++=half
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
spent ^vbd+++xvbn+=spent
the ^ati++++=the
next ^ap++++=next
two ^cd++++=two
months ^nns++++=months
going ^vwbg+++xvbg+=going
through ^in++++=through
his ^pp$+pp3+++=his
mail ^nn++++=mail
on ^in++++=on
the ^ati++++=the
brink ^nn++++=brink
of ^in++++=of
cardiac ^jj+atrb+++=cardiac
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
stopped ^vprf+++xvbnx+=stopped
fearing ^vbg+vprv++xvbg+=fearing
postal ^jj+atrb+++=postal
deliveries ^nns+nom+++=deliveries
when ^wrb+who+++=when
the ^ati++++=the
second ^od++++=second
note ^vb+vprv+++=note
arrived ^vbd+++xvbn+=arrived:
: ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+atrb+++=afraid
Tracy ^np+++??+=Tracy
Huggins ^np++++=Huggins
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
much ^ap++++=much
time ^nn++++=time
for ^in++++=for
studying ^nn++++=studying
from ^in++++=from
now ^rn+tm+++=now
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She's
's ^vbz+bez+aux++0=EXTRAWORD
never ^rb++++=never
going ^vbg+++xvbgx+=going
to ^in++++=to
graduate ^nn+nom+++=graduate.
. ^zz++++=EXTRAWORD
Mephistopheles ^np+++??+=Mephistopheles."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shut ^vbd+++xvbnx+=shut
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
feelings ^nns+nom+++=feelings
and ^cc++++=and
scoured ^jj++++=scoured
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
called ^vbd+++xvbn+=called
every ^at++++=every
Huggins ^np++++=Huggins
in ^in++++=in
the ^ati++++=the
phone ^nn++++=phone
book ^nn++++=book.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
home ^nr++++=home
with ^in++++=with
no ^at++++=no
idea ^nn++++=idea
who ^whp+rel+obj++=who
Tracy ^np+++??+=Tracy
Huggins ^np++++=Huggins
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
The ^ati++++=The
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
during ^in++++=during
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
someone ^pn++++=someone
tapped ^vbd+++xvbn+=tapped
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
another ^dt++++=another
detective ^nn++++=detective.
. ^zz++++=EXTRAWORD
" ^zz++++="Weren't
were ^vbd+bed+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
for ^in++++=for
Tracy ^np+++??+=Tracy
Huggins ^np++++=Huggins?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
folks ^nns++++=folks
just ^rb+emph+++=just
reported ^vbn+vpub++xvbn+=reported
her ^pp$+pp3+++=her
missing ^jj+++xvbg+=missing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
seen ^vpsv++agls+xvbnx+=seen
since ^cs+sub+++=since
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
late ^jj+atrb+++=late
class ^nn++++=class
at ^in++++=at
Wayne ^np+++??+=Wayne
two ^cd++++=two
nights ^nns++++=nights
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Six ^cd++++=Six
days ^nns++++=days
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
a ^at++++=a
deputy ^nn++++=deputy
sheriff ^npt++++=sheriff
on ^in++++=on
horseback ^nn++++=horseback
found ^vbd+vprv++xvbn+=found
her ^pp$+pp3+++=her
behind ^rp+pl+++=behind
some ^dti++++=some
bushes ^nns++++=bushes
in ^in++++=in
Hines ^np+++??+=Hines
Park ^nn++++=Park.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Wayne ^np+++??+=Wayne
State ^nn++++=State
was ^vbd+bedz+vrb++=was
on ^in++++=on
its ^pp$+it+++=its
guard ^nn++++=guard.
. ^zz++++=EXTRAWORD
Patrols ^nns++++=Patrols,
, ^zz++++=EXTRAWORD
curfews ^nns+++??+=curfews,
, ^zz++++=EXTRAWORD
inspection ^nn+nom+++=inspection
of ^in++++=of
credentials ^nns+nom+++=credentials,
, ^zz++++=EXTRAWORD
hot ^jj+atrb+++=hot
lines ^nns++++=lines
to ^in++++=to
a ^at++++=a
special ^jj+atrb+++=special
task ^nn++++=task
force ^nn++++=force--there
-- ^--+clp+++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
way ^nn++++=way
this ^dt+dem+++=this
character ^nn+nom+++=character
could ^md+pos+++=could
strike ^vb++++=strike
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
As ^ql++++=As
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
confined ^vbd+++xvbnx+=confined
himself ^ppl+pp3+++=himself
to ^in++++=to
Wsu ^np+++??+=WSU.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
April ^nr++++=April
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Debra ^np+++??+=Debra
Meredith ^np++++=Meredith,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-tour,
- ^zz++++=EXTRAWORD
tour ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
divorced ^j+++xvbn+=divorced,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
a ^at++++=a
singles ^nns++++=singles
bar ^nn++++=bar
in ^in++++=in
Farmington ^np+++??+=Farmington.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
left ^vbd+++xvbnx+=left,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
about ^in++++=about
twelve ^cd++++=twelve-fifteen.
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
driver ^nn++++=driver's
's ^$++++=EXTRAWORD
seat ^nn++++=seat
of ^in++++=of
her ^pp$+pp3+++=her
car ^nn++++=car
in ^in++++=in
an ^at++++=an
Oak ^nn++++=Oak
Park ^npl++++=Park
shopping ^vwbg+++xvbg+=shopping
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
note ^nn++++=note
was ^vbd+bedz+vrb++=was
on ^rp++++=on
her ^pp3o+pp3+++=her
lap ^nn++++=lap:
: ^zz++++=EXTRAWORD
" ^zz++++="Debra
debra ^nn+++??+=EXTRAWORD
Meredith ^np++++=Meredith
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
for ^in++++=for
action ^nn++++=action.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mephistopheles ^np+++??+=Mephistopheles."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
investigation ^nn+nom+++=investigation
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
statewide ^jj+pred++??+=statewide;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
few ^ap++++=few
leads ^vbz++++=leads,
, ^zz++++=EXTRAWORD
all ^abn++++=all
false ^jj++++=false,
, ^zz++++=EXTRAWORD
by ^in++++=by
that ^dt+dem+++=that
early ^jj+atrb+++=early
morning ^nn++++=morning
in ^in++++=in
June ^nr++++=June
when ^wrb+who+++=when
a ^at++++=a
priest ^nn++++=priest
at ^in++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Windsor ^np++++=Windsor
found ^vbd+vprv++xvbn+=found
Julie ^np++++=Julie
Mckinnon ^np+++??+=McKinnon,
, ^zz++++=EXTRAWORD
of ^in++++=of
Toronto ^np++++=Toronto,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
bushes ^nns++++=bushes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Windsor ^np++++=Windsor
police ^nns++++=police
received ^vbd+++xvbn+=received
a ^at++++=a
note ^nn++++=note
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day:
: ^zz++++=EXTRAWORD
" ^zz++++="Julie
julie ^np++++=EXTRAWORD
Mckinnon ^np+++??+=McKinnon
felt ^vbd+vprv++xvbn+=felt
so ^ql+emph+++=so
safe ^jj++++=safe
on ^in++++=on
this ^dt+dem+++=this
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
feels ^vbz+vprv+++=feels
so ^ql++++=so
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
Mephistopheles ^np+++??+=Mephistopheles.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
That ^tht+rel+subj++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Until ^in++++=Until
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
The ^ati++++=The
whitewashed ^jj+atrb++xvbn+=whitewashed
walls ^nns++++=walls
of ^in++++=of
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Whitney ^np++++=Whitney
Larsen ^np++++=Larsen's
's ^$++++=EXTRAWORD
office ^nn++++=office
were ^vbd+bed+aux++=were
decorated ^vpsv++agls+xvbnx+=decorated
with ^in++++=with
framed ^xvbn+++xvbn+=framed
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
Ph.d ^npt++++=Ph.D.;
. ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
professional ^jj++++=professional-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
by ^in++++=by
the ^ati++++=the
doctor ^nn++++=doctor
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
of ^in++++=of
breathtaking ^xvbg+++xvbg+=breathtaking
landscapes ^nns++++=landscapes
( ^zz++++=("I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
shoot ^vb++++=shoot
anything ^pn++++=anything
warmblooded ^vbd+++xvbn+=warmblooded,
, ^zz++++=EXTRAWORD
even ^rb++++=even
with ^in++++=with
a ^at++++=a
camera" ^nn+++??+=camera");
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
numerous ^jj+atrb+++=numerous
paintings ^nns++++=paintings,
, ^zz++++=EXTRAWORD
portraits ^nns++++=portraits
and ^cc++++=and
abstracts ^nns+++??+=abstracts
and ^cc++++=and
everything ^pn++++=everything
in ^in++++=in
between ^in+strn+++=between,
, ^zz++++=EXTRAWORD
of ^in++++=of
dogs ^nns++++=dogs
( ^zz++++=("I
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
like ^vb++++=like
dogs ^nns++++=dogs.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
dogs ^nns++++=dogs
have ^vb+hv+aux++=have
lasted ^vprf+++xvbnx+=lasted
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pleased ^jj+++xvbn+=pleased
me ^pp1o+pp1+++=me
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
than ^in++++=than
all ^abn++++=all
my ^pp$+pp1+++=my
marriages" ^nn+++??+=marriages").
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen's
's ^$++++=EXTRAWORD
build ^nn++++=build
resulted ^vbd+++xvbn+=resulted
from ^in++++=from
another ^dt++++=another
hobby ^nn++++=hobby:
: ^zz++++=EXTRAWORD
fine ^jj+atrb+++=fine
food ^nn++++=food.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
fat ^nn++++=fat
yet ^cc++++=yet;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
distinct ^jj+atrb+++=distinct
possibility ^nn+nom+++=possibility.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
with ^in++++=with
black ^nn++++=black,
, ^zz++++=EXTRAWORD
curly ^jj+atrb+++=curly,
, ^zz++++=EXTRAWORD
thinning ^jj+atrb+++=thinning
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hazel ^np++++=hazel
eyes ^nns++++=eyes
studied ^vbd+++xvbn+=studied
Jimmy ^nn++++=Jimmy
Peyton ^np+++??+=Peyton,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
haltingly ^rb++++=haltingly
detailed ^jj++++=detailed
his ^pp$+pp3+++=his
fantasies ^nns++++=fantasies
about ^in++++=about
Lucy ^np++++=Lucy
Welch ^np++++=Welch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
realized ^vbd+vprv+tht0+xvbn+=realized
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
something ^pn++++=something
profound ^jj++++=profound.
. ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
good-looking ^jj++++=good-looking--uh,
-- ^--+clp+++=EXTRAWORD
uh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
corpses ^nns++++=corpses
go ^vb++++=go,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Welch ^np++++=Welch
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
attractive ^jj+atrb+++=attractive
woman ^nn++++=woman
in ^in++++=in
her ^pp$+pp3+++=her
lifetime ^nn++++=lifetime."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen
chuckled ^vbd+++xvbn+=chuckled.
. ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
it ^pp3+it+++=it
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
jumped ^vprf+++xvbnx+=jumped
her ^pp$+pp3+++=her
bones ^nns++++=bones,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
really ^rb+emph+++=really
would ^md+prd+++=would've
've ^vb+hv+aux++0=EXTRAWORD
shown ^vprf+++xvbnx+=shown
Daddy ^npt++++=Daddy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Conversation ^nn+nom+++=Conversation
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Jimmy ^nn++++=Jimmy
studied ^vbd+++xvbn+=studied
the ^ati++++=the
plaques ^nns+++??+=plaques
and ^cc++++=and
pictures ^nns++++=pictures
while ^cs+sub+++=while
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen
studied ^vbd+++xvbn+=studied
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Jimmy,"
jimmy ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
doctor ^nn++++=doctor
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
get ^vb++++=get
the ^ati++++=the
feeling ^jj+++xvbg+=feeling
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
all ^rb++++=all
