Sir ^npt++++=Sir,
geographical ^jj+atrb+++=geographical
and ^cc+phrs+++=and
political ^jj+atrb+++=political
definition ^nn+nom+++=definition
of ^in++++=of
my ^pp$+pp1+++=my
national ^jj+atrb+++=national
identity ^nn+nom+++=identity.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=meaning
no ^at++++=no
disrespect ^nn++++=disrespect
to ^in++++=to
any ^dti++++=any
of ^in++++=of
our ^pp$+pp1+++=our
co ^nn++++=co-heirs
- ^zz++++=EXTRAWORD
heirs ^nns++++=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
great ^jj+atrb+++=great
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
for ^in++++=for
none ^rb++++=none
of ^in++++=of
this ^dt+dem+++=this
coparceny ^nn+++??+=coparceny
in ^in++++=in
a ^at++++=a
name ^nn++++=name
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
to ^in++++=to
mingle ^nn+++??+=mingle
us ^pp1o+pp1+++=us
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
riff ^nn+++??+=riff-raff
- ^zz++++=EXTRAWORD
raff ^nn+++??+=EXTRAWORD
colonies ^nns++++=colonies
and ^cc++++=and
off ^rp+pl+++=off-sets
- ^zz++++=EXTRAWORD
sets ^vbz++++=EXTRAWORD
of ^in++++=of
every ^at++++=every
nation ^nn++++=nation
of ^in++++=of
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title
of ^in++++=of
American ^jj+atrb+++=American
may ^md+pos+++=may
serve ^vb++++=serve
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
belong ^vb++++=belong,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
as ^in++++=as
a ^at++++=a
Frenchman ^nn+nom+++=Frenchman
or ^cc++++=or
an ^at++++=an
Englishman ^nn+nom+++=Englishman
may ^md+pos+++=may
call ^vb++++=call
himself ^ppl+pp3+++=himself
a ^at++++=a
European ^jj++++=European;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
want ^vb++++=want
my ^pp$+pp1+++=my
own ^ap++++=own
peculiar ^jj+atrb+++=peculiar
national ^jj+atrb+++=national
name ^nn++++=name
to ^in++++=to
rally ^nn++++=rally
under ^in+strn+++=under.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
an ^at++++=an
appellation ^nn+nom+++=appellation
that ^tht+rel+subj++=that
shall ^md+prd+++=shall
tell ^vb++++=tell
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
way ^nn++++=way
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
mistaken ^vpsv++agls+xvbnx+=mistaken,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
belong ^vb++++=belong
to ^in++++=to
this ^dt+dem+++=this
very ^ap+amp+++=very
portion ^nn+nom+++=portion
of ^in++++=of
America ^np++++=America,
, ^zz++++=EXTRAWORD
geographical ^jj++++=geographical
and ^cc+phrs+++=and
political ^jj++++=political,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
pride ^nn++++=pride
and ^cc++++=and
happiness ^nns+nom+++=happiness
to ^to++++=to
belong ^vbi++++=belong;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
of ^in++++=of
the ^ati++++=the
Anglo ^np+++??+=Anglo-Saxon
- ^zz++++=EXTRAWORD
saxon ^jj+atrb+++=EXTRAWORD
race ^nn++++=race
which ^whp+rel+subj++=which
founded ^vbd+++xvbn+=founded
this ^dt+dem+++=this
Anglo ^np+++??+=Anglo-Saxon
- ^zz++++=EXTRAWORD
saxon ^jj+atrb+++=EXTRAWORD
empire ^nn++++=empire
in ^in++++=in
the ^ati++++=the
wilderness ^nns+nom+++=wilderness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
part ^nn++++=part
or ^cc++++=or
parcel ^nn++++=parcel
with ^in++++=with
any ^dti++++=any
other ^ap++++=other
race ^nn++++=race
or ^cc++++=or
empire ^nn++++=empire,
, ^zz++++=EXTRAWORD
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
French ^jj++++=French,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
in ^in++++=in
either ^dtx++++=either
of ^in++++=of
the ^ati++++=the
Americas ^nps++++=Americas.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
appellation ^nn+nom+++=appellation,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+vrb++=have
magic ^nn++++=magic
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
bind ^vb++++=bind
every ^at++++=every
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
confederacy ^nn+nom+++=confederacy
together ^nn+nom+++=together
as ^in++++=as
with ^in"++++=with
a ^at++++=a
keystone ^nn+++??+=keystone;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
passport ^nn++++=passport
to ^in++++=to
the ^ati++++=the
citizen ^nn++++=citizen
of ^in++++=of
our ^pp$+pp1+++=our
republic ^nn++++=republic
throughout ^in++++=throughout
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
in ^in++++=in
our ^pp$+pp1+++=our
power ^nn++++=power
to ^to+ncmp+++=to
furnish ^vbi++++=furnish
ourselves ^ppls+pp1+++=ourselves
with ^in++++=with
such ^abl++++=such
a ^at++++=a
national ^jj+atrb+++=national
appellation ^nn+nom+++=appellation,
, ^zz++++=EXTRAWORD
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
grand ^jj+atrb+++=grand
and ^cc+phrs+++=and
eternal ^jj+atrb+++=eternal
features ^nns++++=features
of ^in++++=of
our ^pp$+pp1+++=our
country ^nn++++=country;
; ^zz++++=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
noble ^jj+atrb+++=noble
chain ^nn++++=chain
of ^in++++=of
mountains ^nns++++=mountains
which ^whp+rel+subj++=which
formed ^vprf+++xvbn+=formed
its ^pp$+it+++=its
back ^rp++++=back-bone,
- ^zz++++=EXTRAWORD
bone ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vpsv++agls+xvbn+=ran
through ^rb+phrv+++=through
the ^ati++++=the
" ^zz++++="old
old ^jj+atrb+++=EXTRAWORD
confederacy ^nn+nom+++=confederacy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
first ^od++++=first
declared ^vprf+++xvbn+=declared
our ^pp$+pp1+++=our
national ^jj+atrb+++=national
independence ^nn+nom+++=independence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allude ^nn+++??+=allude
to ^in++++=to
the ^ati++++=the
Appalachian ^np+++??+=Appalachian
or ^cc++++=or
Alleghany ^np+++??+=Alleghany
mountains ^nns++++=mountains.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
might ^md+pos+++=might
do ^vb+do+vrb++=do
this ^dt+dem+++=this
without ^in++++=without
any ^dti++++=any
very ^ql+amp+++=very
inconvenient ^jj+atrb+++=inconvenient
change ^nn++++=change
in ^in++++=in
our ^pp$+pp1+++=our
present ^jj+atrb+++=present
titles ^nns++++=titles.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
might ^md+pos+++=might
still ^rb++splt++=still
use ^vb++++=use
the ^ati++++=the
phrase ^nn++++=phrase,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
United ^np++++=United
States ^nns++++=States,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
substituting ^vbg+++xvbg+=substituting
Appalachia ^np+++??+=Appalachia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Alleghania ^np+++??+=Alleghania,
, ^zz++++=EXTRAWORD
( ^zz++++=(I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
prefer ^vb+vprv+++=prefer
the ^ati++++=the
latter ^ap++++=latter,)
, ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
place ^in"++++=place
of ^in"++++=of
America ^np++++=America.
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title
of ^in++++=of
Appalachian ^np+++??+=Appalachian,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Alleghanian ^np+++??+=Alleghanian,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
still ^rb++splt++=still
announce ^vb+vpub+++=announce
us ^pp1o+pp1+++=us
as ^in++++=as
Americans ^nns+nom+++=Americans,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
would ^md+prd+++=would
specify ^vb+vsua+++=specify
us ^pp1o+pp1+++=us
as ^ql++++=as
citizens ^nns++++=citizens
of ^in++++=of
the ^ati++++=the
Great ^jj+atrb+++=Great
Republic ^nn++++=Republic.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
our ^pp$+pp1+++=our
old ^jj+atrb+++=old
national ^jj+atrb+++=national
cypher ^nn++++=cypher
of ^in++++=of
U ^zz++++=U.
. ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
might ^md+pos+++=might
remain ^vb++++=remain
unaltered ^jj++++=unaltered,
, ^zz++++=EXTRAWORD
designating ^jj+++xvbg+=designating
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
Alleghania ^np+++??+=Alleghania.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
crude ^jj+atrb+++=crude
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
hastily ^rb++++=hastily
thrown ^vbd+++xvbn+=thrown
out ^rb+phrv+++=out
to ^to++++=to
elicit ^vbi++++=elicit
the ^ati++++=the
ideas ^nns++++=ideas
of ^in++++=of
others ^aps++++=others,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
call ^vbi++++=call
attention ^nn+nom+++=attention
to ^in++++=to
a ^at++++=a
subject ^nn++++=subject
of ^in++++=of
more ^rbr++++=more
national ^jj+atrb+++=national
importance ^nn+nom+++=importance
than ^in++++=than
may ^md+pos+++=may
at ^rb++++=at
first ^rb"++++=first
be ^vb+be+aux++=be
supposed ^vpsv++agls+xvbnx+=supposed.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
respectfully ^rb++++=respectfully
yours ^pp$$++++=yours,
, ^zz++++=EXTRAWORD
Geoffrey ^np++++=Geoffrey
Crayon ^np+++??+=Crayon.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
End ^nn++++=END.
. ^zz++++=EXTRAWORD
