Horrible ^jj++++=Horrible
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wires ^nns++++=wires
picked ^vbd+++xvbn+=picked
up ^rp++++=up
sympathetic ^jj+atrb+++=sympathetic
vibrations ^nns+nom+++=vibrations.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
frightful ^jj++++=frightful
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
screams ^nns++++=screams
up ^rp++++=up
here ^rn+pl+++=here
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
seeing ^vbg+vprv++xvbgx+=seeing
and ^cc+phrs+++=and
hearing ^vbg+++xvbg+=hearing
from ^in++++=from
another ^dt++++=another
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
awful ^jj+pred+++=awful
to ^to++++=to
find ^vbi+vprv+++=find
those ^dt+dem+++=those
empty ^jj+atrb+++=empty
heaps ^nns++++=heaps
of ^in++++=of
clothes ^nns++++=clothes
around ^in++++=around
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Updike ^np++++=Updike's
's ^$++++=EXTRAWORD
clothes ^nns++++=clothes
were ^vbd+bed+vrb++=were
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
front ^jjb++++=front
hall ^npl++++=hall
switch ^nn++++=switch
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
got ^vbd+++xvbn+=got
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
move ^vb++++=move
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
fairly ^rb++++=fairly
safe ^jj+pred+++=safe.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
dealing ^nvbg+++xvbg+=dealing
with ^in+ppvb+++=with
a ^at++++=a
hideous ^jj+atrb+++=hideous
world ^nn++++=world
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
practically ^rb+down+++=practically
helpless. ^nn+++??+=helpless...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
still ^jj+pred+++=still!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
combined ^jj+atrb++xvbn+=combined
shock ^nn++++=shock
of ^in++++=of
the ^ati++++=the
revelation ^nn+nom+++=revelation
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
abrupt ^jj+atrb+++=abrupt
command ^nn++++=command
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
paralysis ^nn++++=paralysis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
my ^pp$+pp1+++=my
terror ^nn++++=terror
my ^pp$+pp1+++=my
mind ^nn++++=mind
again ^rb+tm+++=again
opened ^vbd+++xvbn+=opened
to ^in++++=to
the ^ati++++=the
impressions ^nns++++=impressions
coming ^vwbg+++xvbg+=coming
from ^in++++=from
what ^wdt+who+++=what
Tillinghast ^np+++??+=Tillinghast
called ^vbd+++xvbn+=called
" ^zz++++="beyond."
beyond ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
in ^in++++=in
a ^at++++=a
vortex ^nn++++=vortex
of ^in++++=of
sound ^nn++++=sound
and ^cc++++=and
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
with ^in++++=with
confused ^xvbn+++xvbn+=confused
pictures ^nns++++=pictures
before ^in++++=before
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
blurred ^jj+atrb++xvbn+=blurred
outlines ^nns++++=outlines
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
some ^dti++++=some
point ^nn++++=point
in ^in++++=in
space ^nn++++=space
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
pouring ^vbg+++xvbgx+=pouring
a ^at++++=a
seething ^jj+atrb+++=seething
column ^nn++++=column
of ^in++++=of
unrecognizable ^jj+atrb+++=unrecognizable
shapes ^nns++++=shapes
or ^cc++++=or
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
penetrating ^vbg+++xvbg+=penetrating
the ^ati++++=the
solid ^jj+atrb+++=solid
roof ^nn++++=roof
at ^in++++=at
a ^at++++=a
point ^nn++++=point
ahead ^rb+pl+++=ahead
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
glimpsed ^vbd+++xvbnx+=glimpsed
the ^ati++++=the
temple ^np++++=temple
like ^in++++=like
effect ^nn++++=effect
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
pillars ^nns++++=pillars
reached ^vbd+++xvbn+=reached
up ^rp++++=up
into ^in++++=into
an ^at++++=an
aerial ^jj+atrb+++=aerial
ocean ^nn++++=ocean
of ^in++++=of
light ^nn++++=light,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sent ^vwbn+++xvbn+=sent
down ^rp++++=down
one ^cd1++++=one
blinding ^jj+atrb+++=blinding
beam ^nn++++=beam
along ^in++++=along
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
the ^ati++++=the
cloudy ^jj+atrb+++=cloudy
column ^nn++++=column
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
the ^ati++++=the
scene ^nn++++=scene
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
wholly ^rb++++=wholly
kaleidoscopic ^jj++++=kaleidoscopic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
jumble ^nn++++=jumble
of ^in++++=of
sights ^nns++++=sights,
, ^zz++++=EXTRAWORD
sounds ^nns++++=sounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unidentified ^jj+atrb++xvbn+=unidentified
sense ^nn++++=sense-impressions
- ^zz++++=EXTRAWORD
impressions ^nns++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
dissolve ^vb++++=dissolve
or ^cc++++=or
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
lose ^vb++++=lose
the ^ati++++=the
solid ^jj+atrb+++=solid
form ^nn++++=form.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
definite ^jj+atrb+++=definite
flash ^nn++++=flash
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
always ^rb++splt++=always
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seemed ^vbd+seem++xvbnx+=seemed
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
to ^to++++=to
behold ^vbi++++=behold
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
strange ^jj+atrb+++=strange
night ^nn++++=night
sky ^nn++++=sky
filled ^vbd+++xvbn+=filled
with ^in++++=with
shining ^xvbg+++xvbg+=shining,
, ^zz++++=EXTRAWORD
revolving ^jj+atrb++xvbg+=revolving
spheres ^nns++++=spheres,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
it ^pp3+it+++=it
receded ^vbd+++xvbn+=receded
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
the ^ati++++=the
glowing ^jj+atrb++xvbg+=glowing
suns ^nns+++??+=suns
formed ^vbd+++xvbn+=formed
a ^at++++=a
constellation ^nn+nom+++=constellation
or ^cc++++=or
galaxy ^nn++++=galaxy
of ^in++++=of
settled ^vbd+++xvbn+=settled
shape ^nn++++=shape;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
shape ^nn++++=shape
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
distorted ^jj+atrb++xvbn+=distorted
face ^nn++++=face
of ^in++++=of
Crawford ^np+++??+=Crawford
Tillinghast ^np+++??+=Tillinghast.
. ^zz++++=EXTRAWORD
At ^rb++++=At
another ^dt++++=another
time ^nn++++=time
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
huge ^jj+atrb+++=huge
animate ^nn+nom+++=animate
things ^nns++++=things
brushing ^vwbg+++xvbg+=brushing
past ^nn++++=past
me ^pp1o+pp1+++=me
and ^cc++++=and
occasionally ^rb++++=occasionally
walking ^jj+++xvbg+=walking
or ^cc+phrs+++=or
drifting ^jj+++xvbg+=drifting
through ^in++++=through
my ^pp$+pp1+++=my
supposedly ^rb++++=supposedly
solid ^jj+atrb+++=solid
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
Tillinghast ^np+++??+=Tillinghast
look ^vb++++=look
at ^rb++++=at
them ^pp3o+pp3+++=them
as ^cs+sub+++=as
though ^cs+sub+++=though
his ^pp$+pp3+++=his
better ^jjr+atrb+++=better
trained ^jj+atrb++xvbn+=trained
senses ^nns++++=senses
could ^md+pos+++=could
catch ^vb++++=catch
them ^pp3o+pp3+++=them
visually ^rb++++=visually.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recalled ^vbd+vprv++xvbnx+=recalled
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
of ^in++++=of
the ^ati++++=the
pineal ^jj+atrb+++=pineal
gland ^nn++++=gland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondered ^vbd+vprv++xvbn+=wondered
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
with ^in++++=with
this ^dt+dem+++=this
preternatural ^jj+atrb+++=preternatural
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
became ^vbd+++xvbn+=became
possessed ^jj+++xvbn+=possessed
of ^in++++=of
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
augmented ^jj+atrb++xvbn+=augmented
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
and ^cc++++=and
above ^jjb++++=above
the ^ati++++=the
luminous ^jj+atrb+++=luminous
and ^cc+phrs+++=and
shadowy ^jj+atrb+++=shadowy
chaos ^nn++++=chaos
arose ^vbd+++xvbn+=arose
a ^at++++=a
picture ^nn++++=picture
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
vague ^jj++++=vague,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
the ^ati++++=the
elements ^nns+nom+++=elements
of ^in++++=of
consistency ^nn++++=consistency
and ^cc++++=and
permanence ^nn+nom+++=permanence.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
indeed ^rb++++=indeed
somewhat ^rb+down+++=somewhat
familiar ^jj++++=familiar,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
unusual ^jj+atrb+++=unusual
part ^nn++++=part
was ^vbd+bedz+aux++=was
superimposed ^vpsv++agls+xvbnx+=superimposed
upon ^in++++=upon
the ^ati++++=the
usual ^jj+atrb+++=usual
terrestrial ^jj+atrb+++=terrestrial
scene ^nn++++=scene
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
cinema ^nn++++=cinema
view ^nn++++=view
may ^md+pos+++=may
be ^vb+be+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
upon ^in++++=upon
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
curtain ^nn++++=curtain
of ^in++++=of
a ^at++++=a
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
attic ^nn++++=attic
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
the ^ati++++=the
electrical ^jj+atrb+++=electrical
machine ^nn++++=machine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
unsightly ^jj+atrb+++=unsightly
form ^nn++++=form
of ^in++++=of
Tillinghast ^np+++??+=Tillinghast
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
space ^nn++++=space
unoccupied ^jj++++=unoccupied
by ^in++++=by
familiar ^jj+atrb+++=familiar
objects ^nns++++=objects
not ^xnot++not++=not
one ^cd1++++=one
particle ^nn++++=particle
was ^vbd+bedz+vrb++=was
vacant ^jj+pred+++=vacant.
. ^zz++++=EXTRAWORD
Indescribable ^jj+atrb+++=Indescribable
shapes ^nns++++=shapes
both ^abx++++=both
alive ^jj++++=alive
and ^cc+cls+++=and
otherwise ^rb+cnj+++=otherwise
were ^vbd+bed+aux++=were
mixed ^vpsv++agls+xvbnx+=mixed
in ^in++++=in
disgusting ^xvbg+++xvbg+=disgusting
disarray ^nn++++=disarray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
close ^in+cmpx+++=close
to ^in"++++=to
every ^at++++=every
known ^jj+atrb++xvbn+=known
thing ^nn++++=thing
were ^vbd+bed+vrb++=were
whole ^jj+atrb+++=whole
worlds ^nns++++=worlds
of ^in++++=of
alien ^jj+atrb+++=alien,
, ^zz++++=EXTRAWORD
unknown ^jj+atrb+++=unknown
entities ^nns+nom+++=entities.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
likewise ^rb+cnj+++=likewise
seemed ^vprf+++xvbn+=seemed
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
known ^vbn+vprv+tht0+xvbn+=known
things ^nns++++=things
entered ^vbd+++xvbn+=entered
into ^in+ppvb+++=into
the ^ati++++=the
composition ^nn+nom+++=composition
of ^in++++=of
other ^ap++++=other
unknown ^jj+atrb+++=unknown
things ^nns++++=things
and ^cc++++=and
vice ^nn++++=vice
versa ^rb"++++=versa.
. ^zz++++=EXTRAWORD
Foremost ^jj++++=Foremost
among ^in++++=among
the ^ati++++=the
living ^jj+atrb++xvbg+=living
objects ^nns++++=objects
were ^vbd+bed+vrb++=were
inky ^nn+++??+=inky,
, ^zz++++=EXTRAWORD
jellyfish ^jj+atrb+++=jellyfish
monstrosities ^nns+nom+++=monstrosities
which ^whp+rel+obj++=which
flabbily ^jj++++=flabbily
quivered ^jj+++xvbn+=quivered
in ^in++++=in
harmony ^nn++++=harmony
with ^in++++=with
the ^ati++++=the
vibrations ^nns+nom+++=vibrations
from ^in++++=from
the ^ati++++=the
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
present ^vb++++=present
in ^in++++=in
loathsome ^jj+atrb+++=loathsome
profusion ^nn++++=profusion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
to ^in+ppvb+++=to
my ^pp$+pp1+++=my
horror ^nn++++=horror
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
overlapped ^vbd+++xvbnx+=overlapped;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
semi ^nn+++??+=semi-fluid
- ^zz++++=EXTRAWORD
fluid ^nn++++=EXTRAWORD
and ^cc++++=and
capable ^jj++++=capable
of ^in++++=of
passing ^nn++++=passing
through ^in++++=through
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
through ^in++++=through
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
as ^ql++++=as
solids ^nns++++=solids.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
were ^vbd+bed+vrb++=were
never ^rb++++=never
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seemed ^vbd+seem++xvbn+=seemed
ever ^rb++++=ever
floating ^vbg+++xvbg+=floating
about ^rb++++=about
with ^in++++=with
some ^dti++++=some
malignant ^jj+atrb+++=malignant
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
devour ^vbi++++=devour
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
the ^ati++++=the
attacker ^jjr++++=attacker
launching ^jj+++xvbg+=launching
itself ^ppl++++=itself
at ^in++++=at
its ^pp$+it+++=its
victim ^nn++++=victim
and ^cc++++=and
instantaneously ^rb++++=instantaneously
obliterating ^vbg+++xvbg+=obliterating
the ^ati++++=the
latter ^ap++++=latter
from ^in++++=from
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Shudderingly ^rb++++=Shudderingly
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
obliterated ^vprf+++xvbnx+=obliterated
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
exclude ^vb++++=exclude
the ^ati++++=the
thing ^nn++++=thing
from ^in++++=from
my ^pp$+pp1+++=my
mind ^nn++++=mind
as ^ql++++=as
I ^pp1a+pp1+++=I
strove ^vbd+++xvbnx+=strove
to ^to++++=to
observe ^vbi+vprv+++=observe
other ^ap++++=other
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
newly ^rb++++=newly
visible ^jj+atrb+++=visible
world ^nn++++=world
that ^tht+rel+subj++=that
lies ^vbz++++=lies
unseen ^jj++++=unseen
around ^rp++++=around
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Tillinghast ^np+++??+=Tillinghast
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
watching ^vbg+++xvbgx+=watching
me ^pp1o+pp1+++=me
and ^cc++++=and
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+obj++=that
float ^nn++++=float
and ^cc++++=and
flop ^nn++++=flop
about ^in++++=about
you ^pp2+pp2+++=you
and ^cc++++=and
through ^in++++=through
you ^pp2+pp2+++=you
every ^at++++=every
moment ^nn++++=moment
of ^in++++=of
your ^pp$+pp2+++=your
life ^nn++++=life?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
the ^ati++++=the
creatures ^nns++++=creatures
that ^tht+rel+obj++=that
form ^nn++++=form
what ^wdt+who+++=what
men ^nns++++=men
call ^vb++++=call
the ^ati++++=the
pure ^jj+atrb+++=pure
air ^nn++++=air
and ^cc++++=and
the ^ati++++=the
blue ^jj+atrb+++=blue
sky ^nn++++=sky?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
I ^pp1a+pp1+++=I
not ^xnot++not++=not
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
breaking ^xvbg+++xvbg+=breaking
down ^rp++++=down
the ^ati++++=the
barrier ^nn++++=barrier;
; ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
not ^xnot++not++=not
shown ^vbn+vprv++xvbn+=shown
you ^pp2+pp2+++=you
worlds ^nns++++=worlds
that ^tht+rel+obj++=that
no ^at++++=no
other ^ap++++=other
living ^jj+atrb++xvbg+=living
men ^nns++++=men
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
his ^pp$+pp3+++=his
scream ^vb++++=scream
through ^in++++=through
the ^ati++++=the
horrible ^jj+atrb+++=horrible
chaos ^nn++++=chaos,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
wild ^nn++++=wild
face ^vb++++=face
thrust ^vbd+++xvbn+=thrust
so ^ql++++=so
offensively ^rb++++=offensively
close ^in+cmpx+++=close
to ^in"++++=to
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
pits ^nns++++=pits
of ^in++++=of
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
glared ^vbd+++xvbnx+=glared
at ^in++++=at
me ^pp1o+pp1+++=me
with ^in++++=with
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
saw ^vbd+vprv++xvbn+=saw
was ^vbd+bedz+vrb++=was
overwhelming ^jj+atrb+++=overwhelming
hatred ^nn++++=hatred.
. ^zz++++=EXTRAWORD
The ^ati++++=The
machine ^nn++++=machine
droned ^j++++=droned
detestably ^jj++++=detestably.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
those ^dt+dem+++=those
floundering ^jj+atrb++xvbg+=floundering
things ^nns++++=things
wiped ^vbd+++xvbn+=wiped
out ^rb+phrv+++=out
the ^ati++++=the
servants ^nns+nom+++=servants?
? ^zz++++=EXTRAWORD
Fool ^jjb++++=Fool,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
harmless ^jj+pred+++=harmless!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
servants ^nns+nom+++=servants
are ^vb+ber+aux++=are
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
stop ^vbi++++=stop
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
discouraged ^vbd+++xvbn+=discouraged
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
needed ^vbd+++xvbnx+=needed
every ^at++++=every
drop ^nn++++=drop
of ^in++++=of
encouragement ^nn+nom+++=encouragement
I ^pp1a+pp1+++=I
could ^md+pos+++=could
get ^vb++++=get;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
afraid ^jj+pred+++=afraid
of ^in++++=of
the ^ati++++=the
cosmic ^jj+atrb+++=cosmic
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
damned ^vbd+++xvbn+=damned
coward ^nn++++=coward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
swept ^vbd+++xvbn+=swept
up ^rp++++=up
the ^ati++++=the
servants ^nns+nom+++=servants?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
scream ^vb++++=scream
so ^ql++++=so
loud?. ^vb+++??+=loud?...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
know ^vb+vprv+++=know
soon ^rb+tm+++=soon
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
me ^pp1o+pp1+++=me
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
any ^dti++++=any
such ^abl++++=such
things ^nns++++=things
as ^in++++=as
time ^nn++++=time
and ^cc++++=and
magnitude ^nn++++=magnitude?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
you ^pp2+pp2+++=you
fancy ^jj++++=fancy
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
such ^abl++++=such
things ^nns++++=things
as ^ql++++=as
form ^vb++++=form
or ^cc++++=or
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
struck ^vprf+++xvbnx+=struck
depths ^nns++++=depths
that ^tht+rel+obj++=that
your ^pp$+pp2+++=your
little ^jj+atrb+++=little
brain ^nn++++=brain
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
