Such ^abl++++=SUCH
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty
years ^nns++++=years
ago ^rb++++=ago?
? ^zz++++=EXTRAWORD
Vows ^np+++??+=Vows
broken ^vbd+++xvbn+=broken?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
Minnie ^np+++??+=Minnie's!...She
's!...she ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
faithful ^jj+pred+++=faithful.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
she ^pp3a+pp3+++=she
nursed ^vbd+++xvbnx+=nursed
her ^pp3o+pp3+++=her
mother ^npt++++=mother!
! ^zz++++=EXTRAWORD
All ^abn++++=All
her ^pp3o+pp3+++=her
savings ^nns++++=savings
on ^in++++=on
the ^ati++++=the
tombstone ^nn+++??+=tombstone
wreaths ^nns++++=wreaths
under ^in++++=under
glass ^nn++++=glass
daffodils ^nns++++=daffodils
in ^in++++=in
jars ^nns++++=jars.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
off ^in+pl+++=off
the ^ati++++=the
track ^nn++++=track.
. ^zz++++=EXTRAWORD
A ^at++++=A
crime...they ^nn+++??+=crime...They
would ^md+prd+++=would
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
her ^pp$+pp3+++=her
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
suppressed ^j+++xvbn+=suppressed
her ^pp3o+pp3+++=her
secret ^jj++++=secret
her ^pp3o+pp3+++=her
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
say ^vb+vpub+++=say
the ^ati++++=the
scientific ^jj+atrb+++=scientific
people ^nns++++=people.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
flummery ^nn+nom+++=flummery
to ^in++++=to
saddle ^nn++++=saddle
her ^pp$+pp3+++=her
with ^in++++=with
sex ^nn++++=sex!
! ^zz++++=EXTRAWORD
Nomore ^np+++??+=Nomore
like ^in++++=like
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Passing ^vbg+++xvbg+=Passing
down ^rb+phrv+++=down
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Croyden ^np+++??+=Croyden
twenty ^cd++++=twenty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
the ^ati++++=the
violet ^jj+atrb+++=violet
loops ^nns++++=loops
of ^in++++=of
ribbon ^nn++++=ribbon
in ^in++++=in
the ^ati++++=the
draper ^jjr+atrb+++=draper's
's ^vbz+bez+aux++0=EXTRAWORD
window ^nn++++=window
spangled ^vbd+++xvbn+=spangled
in ^in++++=in
the ^ati++++=the
electric ^jj+atrb+++=electric
light ^jj+atrb+++=light
catch ^nn++++=catch
her ^pp3o+pp3+++=her
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lingers ^nns+nom+++=lingers
past ^jjb++++=past
six ^cd++++=six.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
by ^in++++=by
running ^xvbg+++xvbg+=running
she ^pp3a+pp3+++=she
can ^md+pos+++=can
reach ^vb++++=reach
home ^nr++++=home.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pushes ^vbz++++=pushes
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
swing ^nn++++=swing
door ^nn++++=door.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
sale ^nn++++=sale-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Shallow ^jj+atrb+++=Shallow
trays ^nns++++=trays
brim ^nn++++=brim
with ^in++++=with
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pauses ^nns+++??+=pauses,
, ^zz++++=EXTRAWORD
pulls ^vbz++++=pulls
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
fingers ^nns+nom+++=fingers
that ^tht+rel+++=that
with ^in++++=with
the ^ati++++=the
raised ^jj+atrb++xvbn+=raised
roses ^nns++++=roses
on ^in++++=on
itno ^np++++=itno
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
choose ^vb++++=choose,
, ^zz++++=EXTRAWORD
no ^at++++=no
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
buy ^vb++++=buy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
tray ^nn++++=tray
with ^in++++=with
its ^pp$+it+++=its
surprises ^nns++++=surprises.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
shut ^vbd+++xvbn+=shut
till ^cs+sub+++=till
seven ^cd++++=seven,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
seven ^cd++++=seven.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
runs ^vbz++++=runs,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
rushes ^vbz++++=rushes,
, ^zz++++=EXTRAWORD
home ^nr++++=home
she ^pp3a+pp3+++=she
reaches ^vbz++++=reaches,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
Neighbours ^nns++++=Neighbours
the ^ati++++=the
doctor ^nn++++=doctor
baby ^nn++++=baby
brother ^nn++++=brother
the ^ati++++=the
kettles ^nn++++=kettles
calded ^vbd+++xvbn+=calded
hospital ^npl+nom+++=hospital
dead ^jj++++=dead
or ^cc++++=or
only ^rb+down+++=only
the ^ati++++=the
shock ^nn++++=shock
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blame ^nn++++=blame?
? ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
detail ^nn++++=detail
matters ^nns+nom+++=matters
nothing ^pn++++=nothing!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
carries ^vbz++++=carries
with ^in++++=with
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
to ^to++++=to
expiate ^nn+nom+++=expiate,
, ^zz++++=EXTRAWORD
always ^rb++++=always
there ^rn+pl+++=there
between ^in++++=between
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
nod ^vbi++++=nod
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
" ^zz++++="it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
thing ^nn++++=thing
I ^pp1a+pp1+++=I
want ^vb++++=want.
. ^zz++++=EXTRAWORD
The ^ati++++=The
draper ^jjr+atrb+++=draper's
's ^vbz+bez+aux++0=EXTRAWORD
window ^nn++++=window
looped ^vbd+++xvbn+=looped
with ^in++++=with
violet ^jj++++=violet
that ^dt+pdem+++=that'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do;
; ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
cheap ^jj++++=cheap
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
commonplace ^nn++++=commonplace
since ^in++++=since
one ^cd1++++=one
has ^vbz+hvz+vrb++=has
a ^at++++=a
choice ^nn++++=choice
of ^in++++=of
crimes ^nns++++=crimes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
so ^rb++++=so
many ^ap++++=many
( ^zz++++=(let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
peep ^nn++++=peep
across ^in+pl+++=across
again ^rb+tm+++=again
still ^rb+atrb+++=still
sleeping ^jj+++xvbg+=sleeping,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
sleep ^vbi++++=sleep!
! ^zz++++=EXTRAWORD
white ^jj++++=white,
, ^zz++++=EXTRAWORD
worn ^j+++xvbn+=worn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mouth ^nn++++=mouth
closed ^vbd+++xvbn+=closed
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
obstinacy ^nn+nom+++=obstinacy,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
would ^md+prd+++=would
think ^vb+vprv+++=think
no ^at++++=no
hint ^nn++++=hint
of ^in++++=of
sex ^nn++++=sex)
) ^zz++++=EXTRAWORD
so ^ql++++=so
many ^ap++++=many
crimes ^nns++++=crimes
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
your ^pp$+pp2+++=your
crime ^nn++++=crime;
; ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
crime ^nn++++=crime
was ^vbd+bedz+vrb++=was
cheap ^jj+pred+++=cheap;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
retribution ^nn+nom+++=retribution
solemn ^jj++++=solemn;
; ^zz++++=EXTRAWORD
for ^in++++=for
now ^rn+tm+++=now
the ^ati++++=the
church ^nn++++=church
door ^nn++++=door
opens ^vbz++++=opens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hard ^jj+atrb+++=hard
wooden ^jj+atrb+++=wooden
pew ^nn+++??+=pew
receives ^vbz++++=receives
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
brown ^jj+atrb+++=brown
tiles ^nns++++=tiles
she ^pp3a+pp3+++=she
kneels ^nns+++??+=kneels;
; ^zz++++=EXTRAWORD
every ^at++++=every
day ^nn++++=day,
, ^zz++++=EXTRAWORD
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
dawn ^nn++++=dawn
( ^zz++++=(here
here ^rn+pl+++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
at ^in++++=at
it ^pp3+it+++=it)
) ^zz++++=EXTRAWORD
prays ^vbz+vsua+++=prays.
. ^zz++++=EXTRAWORD
All ^abn++++=All
her ^pp3o+pp3+++=her
sins ^nns++++=sins
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
for ^rb++++=for
ever ^rb"++++=ever
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spot ^nn++++=spot
receives ^vbz++++=receives
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
raised ^vpsv++agls+xvbnx+=raised,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
burning ^vbg+++xvbgx+=burning.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
she ^pp3a+pp3+++=she
twitches ^nns+++??+=twitches.
. ^zz++++=EXTRAWORD
Small ^jj+atrb+++=Small
boys ^nns++++=boys
point ^nn++++=point.
. ^zz++++=EXTRAWORD
" ^zz++++="Bob
bob ^np++++=EXTRAWORD
at ^rb++++=at
lunch ^vb++++=lunch
to ^to++++=to-day"But
- ^zz++++=EXTRAWORD
day"but ^nn+++??+=EXTRAWORD
elderly ^jj+atrb+++=elderly
women ^nns++++=women
are ^vb+ber+vrb++=are
the ^ati++++=the
worst ^nn++++=worst.
. ^zz++++=EXTRAWORD
Indeed ^qlp++++=Indeed
now ^rn+tm+++=now
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
sit ^vb++++=sit
praying ^jj+++xvbg+=praying
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
Kruger ^np++++=Kruger's
's ^$++++=EXTRAWORD
sunk ^vprf+++xvbn+=sunk
beneath ^in+pl+++=beneath
the ^ati++++=the
cloudswashed ^nn++++=cloudswashed
over ^in++++=over
as ^in++++=as
with ^in"++++=with
a ^at++++=a
painter ^nn++++=painter's
's ^$++++=EXTRAWORD
brush ^nn++++=brush
of ^in++++=of
liquid ^jj+atrb+++=liquid
grey ^np++++=grey,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
adds ^vbz+vpub+++=adds
a ^at++++=a
tinge ^nn++++=tinge
of ^in++++=of
blackeven ^jj+++xvbn+=blackeven
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
the ^ati++++=the
truncheon ^nn++++=truncheon
gone ^vbd+++xvbn+=gone
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
always ^rb++++=always
happens ^vbz+vsua+++=happens!
! ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
as ^ql++++=as
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
felt ^j+++xvbn+=felt
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
someone ^pn++++=someone
interrupts ^nns+++??+=interrupts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
Hilda ^np+++??+=Hilda
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
you ^pp2+pp2+++=you
hate ^vb++++=hate
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She'll
'll ^md+prd+++0=EXTRAWORD
even ^rb++++=even
lock ^nn++++=lock
the ^ati++++=the
bathroom ^nn++++=bathroom
door ^nn++++=door
overnight ^jjb++++=overnight,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
cold ^jj+atrb+++=cold
water ^nn++++=water
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
the ^ati++++=the
night ^nn++++=night's
's ^$++++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
bad ^jj++++=bad
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
as ^cs+sub+++=as
if ^cs+cnd+++=if
washing ^xvbg+++xvbg+=washing
helped ^vprf+++xvbn+=helped.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
John ^np++++=John
at ^in++++=at
breakfast ^nn++++=breakfast
the ^ati++++=the
children ^nns++++=children
meals ^nns++++=meals
are ^vb+ber+vrb++=are
worst ^jjt+pred+++=worst,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
there ^ex+pex+++=there
are ^vb+ber+aux++=are
friends ^nns++++=friends
ferns ^vbz+++??+=ferns
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
altogether ^nn+nom+++=altogether
hide ^nn++++=hide
them ^pp3o+pp3+++0='em
they ^pp3a+pp3+++=they
guess ^vb++++=guess,
, ^zz++++=EXTRAWORD
too ^ql++++=too;
; ^zz++++=EXTRAWORD
so ^ql++++=so
out ^rp+pl+++=out
you ^pp2+pp2+++=you
go ^vb++++=go
along ^in++++=along
the ^ati++++=the
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
waves ^nns++++=waves
are ^vb+ber+vrb++=are
grey ^np++++=grey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
papers ^nns++++=papers
blow ^nn++++=blow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
glass ^nn++++=glass
shelters ^nns+nom+++=shelters
green ^jj++++=green
and ^cc++++=and
draughty ^nn+++??+=draughty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chairs ^nns++++=chairs
cost ^nn++++=cost
tuppence ^nns+nom+++=tuppence
too ^ql++++=too
much ^ap++++=much
for ^in++++=for
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
preachers ^nns+nom+++=preachers
along ^in++++=along
the ^ati++++=the
sands ^nns++++=sands.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
niggerthat ^nn+++??+=niggerthat's
's ^$++++=EXTRAWORD
a ^at++++=a
funny ^jj+atrb+++=funny
man ^nn++++=man
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
man ^nn++++=man
with ^in++++=with
parakeets ^nns+++??+=parakeets
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
creatures ^nns++++=creatures!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
no ^at++++=no
one ^cd1++++=one
here ^rn+pl+++=here
who ^whp+who+++=who
thinks ^vbz+vprv+++=thinks
of ^in++++=of
God?just ^np+++??+=God?just
up ^rp++++=up
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
pier ^nn++++=pier,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
rod ^nn++++=rod
but ^cc++++=but
no ^at++++=no
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
grey ^nn++++=grey
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky
or ^cc+cls+++=or
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
blue ^nn++++=blue
the ^ati++++=the
white ^jj+atrb+++=white
clouds ^nns++++=clouds
hide ^nn++++=hide
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
music ^nn++++=music
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
military ^jj+atrb+++=military
musicand ^nn+++??+=musicand
what ^wdt+who+++=what
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
fishing ^nvbg+++xvbg+=fishing
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
they ^pp3a+pp3+++=they
catch ^vb++++=catch
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
children ^nns++++=children
stare ^nn++++=stare!
! ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
home ^nr++++=home
a ^at++++=a
back ^jjb+atrb+++=back
way"home ^nn+++??+=way"Home
a ^at++++=a
back ^jjb+atrb+++=back
way ^nn++++=way!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
have ^vb+hv+vrb++=have
meaning ^nvbg+++xvbg+=meaning;
; ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
spoken ^vpsv++by+xvbnx+=spoken
by ^in++++=by
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
with ^in++++=with
whiskers ^nns+nom+++=whiskers
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
speak ^vb++++=speak;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
everything ^pn++++=everything
has ^vbz+hvz+vrb++=has
meaning ^nvbg+++xvbg+=meaning
placards ^nns++++=placards
leaning ^vwbg+++xvbg+=leaning
against ^in++++=against
doorways ^nns++++=doorways
names ^nns++++=names
above ^jjb+atrb+++=above
shop ^nn++++=shop-windows
- ^zz++++=EXTRAWORD
windows ^nns++++=EXTRAWORD
red ^jj+atrb+++=red
fruit ^nn++++=fruit
in ^in++++=in
baskets ^nns++++=baskets
women ^nns++++=women's
's ^$++++=EXTRAWORD
heads ^nns++++=heads
in ^in++++=in
the ^ati++++=the
hairdresser ^nn+nom+++=hairdresser's
's ^$++++=EXTRAWORD
all ^abn++++=all
say ^vb+vpub+++=say
" ^zz++++="Minnie
minnie ^nn+++??+=EXTRAWORD
Marsh ^npl++++=Marsh!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
here ^rn+pl+++=here's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
jerk ^nn++++=jerk.
. ^zz++++=EXTRAWORD
" ^zz++++="Eggs
eggs ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
cheaper ^jjr+pred+++=cheaper!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
always ^rb++++=always
happens ^vbz+vsua+++=happens!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
heading ^vbg+++xvbgx+=heading
her ^pp3o+pp3+++=her
over ^in++++=over
the ^ati++++=the
waterfall ^nn++++=waterfall,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight
for ^in++++=for
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
flock ^nn++++=flock
of ^in++++=of
dream ^nn++++=dream
sheep ^nns++++=sheep,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
turns ^vbz++++=turns
t ^zz++++=t'other
'other ^jjr+atrb+++0=EXTRAWORD
way ^nn++++=way
and ^cc++++=and
runs ^nns++++=runs
between ^in++++=between
my ^pp$+pp1+++=my
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Eggs ^nns++++=Eggs
are ^vb+ber+vrb++=are
cheaper ^jjr+pred+++=cheaper.
. ^zz++++=EXTRAWORD
Tethered ^np+++??+=Tethered
to ^in++++=to
the ^ati++++=the
shores ^nns++++=shores
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
crimes ^nns++++=crimes,
, ^zz++++=EXTRAWORD
sorrows ^nns++++=sorrows,
, ^zz++++=EXTRAWORD
rhapsodies ^nns+++??+=rhapsodies,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
insanities ^nns+nom+++=insanities
for ^in++++=for
poor ^jj+atrb+++=poor
Minnie ^np+++??+=Minnie
Marsh ^nn++++=Marsh;
; ^zz++++=EXTRAWORD
never ^rb++++=never
late ^jj++++=late
for ^in++++=for
luncheon ^nn++++=luncheon;
; ^zz++++=EXTRAWORD
never ^rb++++=never
caught ^vbd+++xvbn+=caught
in ^in++++=in
a ^at++++=a
storm ^nn++++=storm
without ^in++++=without
a ^at++++=a
mackintosh ^nn++++=mackintosh;
; ^zz++++=EXTRAWORD
never ^rb++++=never
utterly ^rb+amp+++=utterly
unconscious ^jj++++=unconscious
of ^in++++=of
the ^ati++++=the
cheapness ^nns+nom+++=cheapness
of ^in++++=of
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
reaches ^vbz++++=reaches
home ^nr++++=home
scrapes ^nns+++??+=scrapes
her ^pp3o+pp3+++=her
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
I ^pp1a+pp1+++=I
read ^vbd+vprv+tht0+xvbnx+=read
you ^pp2+pp2+++=you
right ^nn++++=right?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
human ^jj+atrb+++=human
face ^nn++++=face
the ^ati++++=the
human ^jj+atrb+++=human
face ^nn++++=face
at ^rb++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
fullest ^jjt+atrb+++=fullest
sheet ^nn++++=sheet
of ^in++++=of
print ^nn++++=print
holds ^vbz+vprv+++=holds
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
withholds ^nns+++??+=withholds
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
open ^jj++++=open,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looks ^vbz++++=looks
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
human ^jj+atrb+++=human
eye ^nn++++=eye
how ^wrb+who+++=how
d ^zz++++=d'you
'you ^nn+++??+=EXTRAWORD
define ^vb++++=define
it?there ^jj+atrb++??+=it?there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
break ^nn++++=break
a ^at++++=a
division ^nn++++=division
so ^ql++++=so
that ^dt+pdem+++=that
when ^wrb+who+++=when
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
grasped ^vprf+++xvbnx+=grasped
the ^ati++++=the
stem ^nn++++=stem
the ^ati++++=the
butterfly ^nn++++=butterfly's
's ^$++++=EXTRAWORD
off ^rp+pl+++=off
the ^ati++++=the
moth ^nn++++=moth
that ^tht+rel+subj++=that
hangs ^vbz++++=hangs
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
over ^in++++=over
