Those ^dt+dem+++=Those
escaped ^jj+++xvbn+=escaped.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
every ^at++++0=ev'ry
rancher ^nn++++=rancher's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
givin ^nn+++??+=givin'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
flowers ^nns+nom+++=flowers
and ^cc++++=and
weepin ^nn+++??+=weepin'
' ^zz++++=EXTRAWORD
over ^in++++=over
your ^pp$+pp2+++=your
youth ^nn++++=youth
and ^cc++++=and
kissin ^nn+++??+=kissin'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
good ^jj++++=good-bye.
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
go ^vbi++++=go
and ^cc++++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
about ^md"++pmd"++=about
to ^md+prd+++=to
fix ^vb++++=fix
up ^rp++++=up
the ^ati++++=the
vouchers ^nns+nom+++=vouchers
for ^in++++=for
our ^pp$+pp1+++=our
host ^nn++++=host,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
break ^vb++++=break
away ^rp+pl+++=away
and ^cc++++=and
ride ^vb++++=ride
like ^in++++=like
the ^ati++++=the
devil ^nn++++=devil.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
all ^abn++++=all
tear ^nn++++=tear
off ^in+pl+++=off
a ^ap++++=a
few ^ap"++++=few
shots ^nns++++=shots
and ^cc++++=and
foller ^jjr++++=foller
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry,
, ^zz++++=EXTRAWORD
leavin ^nn+++??+=leavin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
farmer ^nn++++=farmer
hopin ^nn+++??+=hopin'
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
the ^ati++++=the
villain ^nn++++=villain
is ^vbz+bez+aux++=is
recaptured ^vpsv++agls+xvbnx+=recaptured
and ^cc++++=and
the ^ati++++=the
girls ^nns++++=girls
tearfully ^rb++++=tearfully
prayin ^nn+++??+=prayin'
' ^zz++++=EXTRAWORD
that ^dt+dem+++=that
the ^ati++++=the
gallunt ^jj+atrb++xvbn+=gallunt
and ^cc+phrs+++=and
misguided ^jj+atrb+++=misguided
youth ^nn++++=youth
escapes ^nns++++=escapes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
about ^in++++=about
our ^pp$+pp1+++=our
only ^rb+down+++=only
resort ^nn++++=resort,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
country ^nn++++=country
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
bad ^jj+atrb+++=bad
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
liable ^jj+pred+++=liable
to ^to+jcmp+++=to
get ^vbi++++=get
turned ^vbd+++xvbn+=turned
down ^rb+phrv+++=down
cold ^jj++++=cold
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
some ^dti++++=some
story ^nn++++=story,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
try ^vbi++++=try
it ^pp3+it+++=it
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rode ^vbd+++xvbn+=rode
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
ranch ^nn++++=ranch
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
between ^in++++=between
the ^ati++++=the
others ^aps++++=others,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
hands ^nns++++=hands
tied ^vbd+++xvbn+=tied
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jim ^np++++=Jim
called ^vbd+++xvbn+=called
the ^ati++++=the
owner ^nn++++=owner
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
a ^at++++=a
night ^nn++++=night's
's ^$++++=EXTRAWORD
lodgin ^nn+++??+=lodgin'
' ^zz++++=EXTRAWORD
fer ^&fw++++=fer
my ^pp$+pp1+++=my
deputies ^nns++++=deputies
and ^cc++++=and
our ^pp$+pp1+++=our
prisoner ^nn+nom+++=prisoner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
sheriff ^nn++++=sheriff
of ^in++++=of
Guadalupe ^np+++??+=Guadalupe
County ^nn++++=County,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
fix ^vb++++=fix
up ^rp++++=up
the ^ati++++=the
bill ^nn++++=bill
in ^in++++=in
the ^ati++++=the
mornin ^nn+++??+=mornin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
in ^in+strn+++=in!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
feller ^nn++++=feller
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
callin ^nn+++??+=callin'
' ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
for ^in++++=for
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
" ^zz++++="Glad
glad ^jj++++=EXTRAWORD
to ^to+jcmp+++=to
accommodate ^nn+nom+++=accommodate
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Who ^whp+who+++=Who's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
prisoner ^nn+nom+++=prisoner?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Texas ^np++++=Texas
Charlie ^np++++=Charlie
that ^tht+rel+subj++=that
robbed ^vbd+++xvbn+=robbed
the ^ati++++=the
Bank ^nn++++=Bank
of ^in++++=of
Euclid ^np+++??+=Euclid
single ^jj++++=single-handed,"
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answers ^nns+nom+++=answers
Jim ^np++++=Jim.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
a ^at++++=a
long ^nn++++=long
run ^vbd+++xvbn+=run
clean ^jj++++=clean
across ^in+pl+++=across
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him
jest ^rb++++=jest
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
over ^in++++=over
into ^in++++=into
the ^ati++++=the
Indian ^jj+atrb+++=Indian
Territory ^nn++++=Territory.
. ^zz++++=EXTRAWORD
Fought ^j+++xvbn+=Fought
like ^in++++=like
a ^at++++=a
tiger ^nn++++=tiger."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
worked ^vbd+++xvbn+=worked
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feller ^nn++++=feller,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Morgan ^np++++=Morgan,
, ^zz++++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
a ^at++++=a
good ^jj+atrb+++=good
layout ^nn++++=layout
for ^in++++=for
the ^ati++++=the
night ^nn++++=night
and ^cc++++=and
a ^at++++=a
bully ^nn++++=bully
breakfast ^nn++++=breakfast
next ^ap++++=next
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
desperado ^nn+++??+=desperado
game ^nn++++=game
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
great ^jj+pred+++=great.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
fellers ^nns+nom+++=fellers
attended ^vbd+++xvbn+=attended
to ^in++++=to
the ^ati++++=the
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
jest ^rb++++=jest
sat ^vbd+++xvbn+=sat
around ^in++++=around
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
vicious ^jj++++=vicious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
my ^pp$+pp1+++=my
grub ^nn++++=grub
brought ^vbd+++xvbn+=brought
to ^rb+phrv+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
women ^nns++++=women
acted ^vbd+++xvbn+=acted
sorrowful ^jj++++=sorrowful
and ^cc+phrs+++=and
fed ^jj+++xvbn+=fed
me ^pp1o+pp1+++=me
pie ^nn++++=pie
and ^cc++++=and
watermelon ^nn++++=watermelon
pickles ^nns+++??+=pickles.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
leave ^vbi++++=leave
next ^ap++++=next
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Jim ^np++++=Jim
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Morgan ^np++++=Morgan,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
fix ^vb++++=fix
up ^rp++++=up
them ^pp3o+pp3+++=them
vouchers ^nns+nom+++=vouchers
with ^in++++=with
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
givin ^nn+++??+=givin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
the ^ati++++=the
wink ^nn++++=wink,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
out ^rb+phrv+++=out
a ^at++++=a
yell ^vb++++=yell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jabbin ^nn+++??+=jabbin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
spurs ^nps++++=spurs
into ^in++++=into
Black ^np++++=Black
Hawk ^np+++??+=Hawk,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cleared ^vbd+++xvbn+=cleared
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
like ^in++++=like
a ^at++++=a
puff ^nn++++=puff
of ^in++++=of
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
them ^pp3o+pp3+++0='em
shootin ^nn+++??+=shootin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
screamin ^nn+++??+=screamin'
' ^zz++++=EXTRAWORD
after ^in++++=after
me ^pp1o+pp1+++=me
like ^in++++=like
mad ^nn++++=mad.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
lovely ^jj+pred+++=lovely--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
boys ^nns++++=boys
overtook ^vbd+++xvbn+=overtook
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
Morgan ^np++++=Morgan
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
astonished ^jj++agls+xvbnx+=astonished
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
sheriff ^nn++++=sheriff,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
posse ^nn++++=posse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
terrible ^nn++++=terrible
desperado ^vb+++??+=desperado
doubled ^vbd+++xvbn+=doubled
up ^rp++++=up
in ^in++++=in
their ^pp$+pp3+++=their
saddles ^nns++++=saddles
laughin ^nn+++??+=laughin'
' ^zz++++=EXTRAWORD
fit ^jj++++=fit
to ^to+jcmp+++=to
bust ^vb++++=bust.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
hitch ^nn++++=hitch
in ^in++++=in
the ^ati++++=the
proceedings ^nns++++=proceedings
for ^in++++=for
five ^cd++++=five
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
to ^to++++=to
feel ^vbi+vprv+++=feel
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
pride ^nn++++=pride
in ^in++++=in
my ^pp$+pp1+++=my
record ^nn++++=record
as ^ql++++=as
a ^at++++=a
bank ^nn++++=bank-robber,
- ^zz++++=EXTRAWORD
robber ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forger ^jjr++++=forger,
, ^zz++++=EXTRAWORD
horse ^nn++++=horse-thief,
- ^zz++++=EXTRAWORD
thief ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
murderer ^nn+nom+++=murderer,
, ^zz++++=EXTRAWORD
accordin ^nn+++??+=accordin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
way ^nn++++=way
Bennett ^np++++=Bennett
presented ^vwbn+++xvbn+=presented
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
certainly ^rb++++=certainly
was ^vbd+bedz+vrb++=was
the ^ati++++=the
boss ^nn++++=boss
liar ^nn++++=liar
of ^in++++=of
the ^ati++++=the
range ^nn++++=range.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
story ^nn++++=story
framed ^vbd+++xvbn+=framed
up ^rp++++=up
that ^cs+sub+++=that
painted ^xvbn+++xvbn+=painted
me ^pp1o+pp1+++=me
as ^in++++=as
the ^ati++++=the
bloodiest ^jjt++++=bloodiest
young ^jj++++=young
tough ^jj++++=tough
the ^ati++++=the
Lone ^jjb+atrb+++=Lone
Star ^nn++++=Star
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
produced ^vprf+++xvbnx+=produced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
never ^rb++++=never
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
get ^vbi++++=get
me ^pp1o+pp1+++=me
all ^abn++++=all
the ^ati++++=the
attention ^nn+nom+++=attention
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
best ^jjt+atrb+++=best
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
place ^nn++++=place
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
answer ^nn++++=answer
to ^in++++=to
Jim ^np++++=Jim's
's ^$++++=EXTRAWORD
summons ^nn++++=summons,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
walked ^vbd+++xvbn+=walked
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
prettiest ^jjt+atrb+++=prettiest
girls ^nns++++=girls
I ^pp1a+pp1+++=I
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
joined ^vbd+++xvbn+=joined
their ^pp$+pp3+++=their
father ^nn++++=father
in ^in++++=in
invitin ^nn+++??+=invitin'
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="Glad
glad ^jj++++=EXTRAWORD
to ^to+jcmp+++=to
be ^vbi++vrb++=be
of ^in++++=of
assistance ^nn+nom+++=assistance
to ^to+vcmp+++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Sheriff ^np++++=Sheriff,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
name ^nn++++=name
is ^vbz+bez+vrb++=is
Purdy ^np+++??+=Purdy,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Purdy ^np+++??+=Purdy,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
may ^md+pos+++=may
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Mexican ^jj+atrb+++=Mexican
War ^nn++++=War,
, ^zz++++=EXTRAWORD
special ^jj+atrb+++=special
mention ^nn+nom+++=mention
three ^cd++++=three
times ^nns++++=times
for ^in++++=for
distinguished ^nn++++=distinguished
conduct ^vb++++=conduct.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
Annabel ^np++++=Annabel
and ^cc++++=and
Marie ^np++++=Marie."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
a ^at++++=a
hard ^jj+atrb+++=hard
time ^nn++++=time
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
prisoner ^nn+nom+++=prisoner?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^vbz++++=looks
young ^jj++++=young
for ^in++++=for
a ^at++++=a
criminal ^nn+nom+++=criminal.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+aux++0=EXTRAWORD
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Somehow ^rb+cnj+++=Somehow,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
those ^dt+dem+++=those
girls ^nns++++=girls
blushin ^nn+++??+=blushin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
bowin ^nn+++??+=bowin'
' ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
their ^pp$+pp3+++=their
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^vb++++=care
to ^to+vcmp+++=to
have ^vbi++vrb++=have
my ^pp$+pp1+++=my
crimes ^nns++++=crimes
made ^vbd+++xvbn+=made
out ^rp+pl+++=out
any ^dti++++=any
blacker ^jjr+atrb+++=blacker'n
'n ^nn+++??+=EXTRAWORD
necessary ^jj++++=necessary
and ^cc++++=and
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
give ^vbi++++=give
Jim ^np++++=Jim
the ^ati++++=the
high ^jj++++=high-sign
- ^zz++++=EXTRAWORD
sign ^vb++++=EXTRAWORD
to ^to++++=to
let ^vbi++++=let
me ^pp1o+pp1+++=me
off ^in+pl+++=off
easy ^jj++++=easy--just
-- ^--+clp+++=EXTRAWORD
just ^rb+emph+++=EXTRAWORD
make ^vb++++=make
it ^pp3+it+++=it
forgery ^nn+nom+++=forgery
or ^cc++++=or
arson ^nn++++=arson--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evidently ^rb++++=evidently
believin ^nn+++??+=believin'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
strength ^nn++++=strength
of ^in++++=of
a ^at++++=a
good ^jj+atrb+++=good
impression ^nn++++=impression,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
young ^jj++++=young
but ^cc++++=but
they ^pp3a+pp3+++=they
never ^rb++++=never
was ^vbd+bedz+vrb++=was
a ^at++++=a
old ^jj+atrb+++=old
man ^nn++++=man
with ^in++++=with
half ^nn++++=half
his ^pp$+pp3+++=his
crimes ^nns++++=crimes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
wanted ^vpsv++agls+xvbnx+=wanted
for ^in++++=for
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
things ^nns++++=things
in ^in++++=in
different ^jj+atrb+++=different
places ^nns++++=places,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
after ^cs+sub+++=after
him ^pp3o+pp3+++=him
for ^in++++=for
horse ^nn++++=horse-stealin'
- ^zz++++=EXTRAWORD
stealin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
murder ^nn++++=murder.
. ^zz++++=EXTRAWORD
Killed ^j+++xvbn+=Killed
a ^at++++=a
rancher ^nn++++=rancher
and ^cc++++=and
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
set ^vbd+++xvbn+=set
fire ^nn++++=fire
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
off ^rb+phrv+++=off
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++0=o'
stock ^nn++++=stock."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
dreadful ^jj++++=dreadful!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shuddered ^vbd+++xvbn+=shuddered
the ^ati++++=the
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
backin ^nn+++??+=backin'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
with ^in++++=with
horrified ^jj+atrb++xvbn+=horrified
glances ^nns+nom+++=glances
at ^in++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
get ^vbi++++=get
near ^in+pl+++=near
Jim ^np++++=Jim
to ^in++++=to
step ^nn++++=step
on ^in++++=on
his ^pp$+pp3+++=his
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
was ^vbd+bedz+vrb++=was
glarin ^nn+++??+=glarin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me
somethin ^nn+++??+=somethin'
' ^zz++++=EXTRAWORD
awful ^jj++++=awful.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
to ^to++++=to
observe ^vbi+vprv+++=observe
him ^pp3o+pp3+++=him
closely ^rb+cnj+++=closely,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
a ^at++++=a
depraved ^jj+atrb+++=depraved
face ^nn++++=face,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
looks ^vbz++++=looks
the ^ati++++=the
thorough ^jj+atrb+++=thorough
criminal ^nn+nom+++=criminal
in ^in++++=in
every ^at++++=every
feature ^nn++++=feature,
, ^zz++++=EXTRAWORD
dead ^jj++++=dead
to ^in++++=to
every ^at++++=every
decent ^jj+atrb+++=decent
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
