Any ^dti++++=Any
sore ^nn++++=sore
and ^cc++++=and
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
fresh ^jj+pred+++=fresh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
ask ^vb++++=ask
you ^pp2+pp2+++=you
a ^at++++=a
favor ^nn++++=favor.
. ^zz++++=EXTRAWORD
Slip ^vb++++=Slip
on ^in++++=on
a ^at++++=a
kimono ^np++++=kimono
and ^cc++++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
sneak ^vb++++=sneak
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front
stoop ^nn+++??+=stoop
and ^cc++++=and
talk ^nn++++=talk
it ^pp3+it+++=it
over ^rb++++=over.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
as ^ql++++=as
wide ^jj++++=wide
awake ^jj++++=awake
as ^in++++=as
a ^at++++=a
chorus ^nn++++=chorus
girl ^nn++++=girl
and ^cc++++=and
twice ^rb++++=twice
as ^in++++=as
hungry ^nn++++=hungry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
two ^cd++++=two
apples ^nns++++=apples
and ^cc++++=and
a ^at++++=a
box ^nn++++=box
of ^in++++=of
crackers ^nns+nom+++=crackers.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
on ^in+strn+++=on?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
snickered ^vbd+++xvbn+=snickered.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
done ^vbd+++xvbn+=done
in ^in++++=in
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
sets ^nns++++=sets,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
can ^nn++++=can
of ^in++++=of
sardines ^nns+++??+=sardines
and ^cc++++=and
an ^at++++=an
orange ^nn++++=orange.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
in ^in++++=in
six ^cd++++=six
minutes ^nns++++=minutes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wiped ^vbd+++xvbnx+=wiped
off ^in+pl+++=off
the ^ati++++=the
cold ^jj+atrb+++=cold
cream ^nn++++=cream
and ^cc++++=and
salt ^jj+atrb+++=salt
tears ^nns++++=tears
with ^in++++=with
a ^at++++=a
dry ^jj+atrb+++=dry
towel ^nn++++=towel,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
hair ^nn++++=hair
in ^in++++=in
a ^at++++=a
schoolgirl ^nn++++=schoolgirl
braid ^nn++++=braid
and ^cc++++=and
tied ^vbd+++xvbn+=tied
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
big ^jj+atrb+++=big
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dressed ^vbd+++xvbn+=dressed
herself ^ppl+pp3+++=herself
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
skirt ^nn++++=skirt
and ^cc++++=and
a ^at++++=a
baby ^nn++++=baby
blue ^jj+atrb+++=blue
dressing ^jj+atrb++xvbg+=dressing
sacque ^nn+++??+=sacque.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
outside ^jjb++++=outside
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gray ^np++++=gray
sweater ^nn++++=sweater
covered ^vbd+++xvbn+=covered
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
sartorial ^jj+atrb+++=sartorial
deficiencies ^nns++++=deficiencies.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
Gertie ^np+++??+=Gertie
in ^in++++=in
the ^ati++++=the
sickly ^jj++++=sickly
blue ^jj++++=blue
light ^jj++++=light
of ^in++++=of
the ^ati++++=the
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
hall ^npl++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
one ^cd1++++=one-half
- ^zz++++=EXTRAWORD
half ^abn++++=EXTRAWORD
of ^in++++=of
one ^cd1++++=one
second ^od++++=second
to ^to++++=to
discover ^nn+nom+++=discover
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
way ^nn++++=way
his ^pp$+pp3+++=his
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
mussed ^vpsv++agls+xvbnx+=mussed.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
kid ^nn++++=kid!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door,
, ^zz++++=EXTRAWORD
in ^in++++=in
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
smothered ^vwbn+++xvbn+=smothered
a ^at++++=a
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
first ^od++++=first
man ^nn++++=man
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
deceived ^vpsv++by+xvbnx+=deceived
by ^in++++=by
a ^at++++=a
pig ^nn++++=pig-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
braid ^nn++++=braid
and ^cc++++=and
a ^at++++=a
baby ^nn++++=baby
blue ^nn++++=blue
waist ^nn++++=waist.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
locate ^vb++++=locate
those ^dt+dem+++=those
two ^cd++++=two
gray ^np++++=gray
hairs ^nns++++=hairs
for ^in++++=for
you ^pp2+pp2+++=you
with ^in++++=with
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
shut ^vbd+++xvbn+=shut
and ^cc++++=and
my ^pp$+pp1+++=my
feet ^nns++++=feet
in ^in++++=in
a ^at++++=a
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Robert ^np++++=Robert
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Chambers ^nns+nom+++=Chambers
situations ^nns+nom+++=situations
make ^vb++++=make
me ^pp1o+pp1+++=me
nervous ^jj++++=nervous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Many ^ap++++=Many
earnest ^jj+atrb+++=earnest
young ^jj+atrb+++=young
writers ^nns+nom+++=writers
with ^in++++=with
a ^at++++=a
flow ^nn++++=flow
of ^in++++=of
adjectives ^nns++++=adjectives
and ^cc++++=and
a ^at++++=a
passion ^nn++++=passion
for ^in++++=for
detail ^nn++++=detail
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
describe ^vbi++++=describe
the ^ati++++=the
quiet ^nn++++=quiet
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
city ^nn++++=city
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^ap++++=a
few ^ap"++++=few
million ^cd++++=million
people ^nns++++=people
within ^in++++=within
it ^pp3+it+++=it
are ^vb+ber+aux++=are
sleeping ^vbg+++xvbgx+=sleeping,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
work ^vb++++=work
in ^in++++=in
the ^ati++++=the
clang ^nn++++=clang
of ^in++++=of
a ^at++++=a
distant ^jj+atrb+++=distant
owl ^nn++++=owl
car ^nn++++=car,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
roar ^nn++++=roar
of ^in++++=of
an ^at++++=an
occasional ^jj++++=occasional
" ^zz++++="L"
l ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
train ^nn++++=train,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hollow ^jj+atrb+++=hollow
echo ^nn++++=echo
of ^in++++=of
the ^ati++++=the
footsteps ^nns++++=footsteps
of ^in++++=of
the ^ati++++=the
late ^jj++++=late
passer ^jjr++++=passer-by.
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
go ^vb++++=go
elaborately ^rb++++=elaborately
into ^in++++=into
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
strong ^jj+pred+++=strong
on ^in++++=on
the ^ati++++=the
brooding ^nn++++=brooding
hush ^vb++++=hush,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
thing ^nn++++=thing
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
satisfactorily ^rb++++=satisfactorily.
. ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
front ^jjb+atrb+++=front
stoop ^nn+++??+=stoop
at ^rb++++=at
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
orange ^np++++=orange
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
the ^ati++++=the
sardine ^nn+++??+=sardine
can ^md+pos+++=can
in ^in++++=in
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
it ^pp3+it+++=it
this ^dt+dem+++=this
way ^nn++++=way:
: ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
hear ^vbi+vprv+++=hear
a ^at++++=a
cricket ^nn++++=cricket
chirp ^nn+++??+=chirp
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
screech ^nn++++=screech.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
really ^rb+emph+++=really
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
waiting ^nn++++=waiting
for ^in++++=for
a ^at++++=a
cannon ^np++++=cannon
cracker ^jjr++++=cracker
to ^to++++=to
go ^vbi++++=go
off ^in+pl+++=off
just ^rb+emph+++=just
before ^cs+sub+++=before
the ^ati++++=the
fuse ^nn++++=fuse
is ^vbz+bez+aux++=is
burned ^vpsv++agls+xvbnx+=burned
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bang ^uh++++=bang
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there
yet ^cc++++=yet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
it ^pp3+it+++=it
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times
in ^in++++=in
your ^pp$+pp2+++=your
mind ^nn++++=mind
before ^cs+sub+++=before
it ^pp3+it+++=it
happens ^vbz+vsua+++=happens."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
name ^nn++++=name's
's ^$++++=EXTRAWORD
Augustus ^np++++=Augustus
G ^zz++++=G.
. ^zz++++=EXTRAWORD
Eddy ^nn++++=Eddy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
announced ^vbd+vpub++xvbn+=announced
the ^ati++++=the
Kid ^nn++++=Kid
Next ^ap++++=Next
Door ^nn++++=Door,
, ^zz++++=EXTRAWORD
solemnly ^rb++++=solemnly.
. ^zz++++=EXTRAWORD
" ^zz++++="Back
back ^jjb+atrb+++=EXTRAWORD
home ^nr++++=home
they ^pp3a+pp3+++=they
always ^rb++++=always
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
Gus ^np++++=Gus.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
peel ^np++++=peel
that ^tht+rel+obj++=that
orange ^np++++=orange
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
unroll ^vb++++=unroll
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
this ^dt+dem+++=this
sardine ^nn+++??+=sardine
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
guilty ^jj+pred+++=guilty
of ^in++++=of
having ^nn+nn+aux++=having
interrupted ^vbd+++xvbn+=interrupted
you ^pp2+pp2+++=you
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
what ^wdt+who+++=what
the ^ati++++=the
girls ^nns++++=girls
call ^vb++++=call
a ^at++++=a
good ^jj+atrb+++=good
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
get ^vb++++=get
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++=of
your ^pp$+pp2+++=your
system ^nn++++=system
some ^dti++++=some
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
a ^at++++=a
bite ^nn++++=bite
of ^in++++=of
apple ^nn++++=apple
and ^cc++++=and
then ^rn+tm+++=then
wade ^vb++++=wade
right ^jj++++=right
in ^in++++=in
and ^cc++++=and
tell ^vb++++=tell
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
doing ^vbg+++xvbgx+=doing
in ^in++++=in
this ^dt+dem+++=this
burg ^nn+++??+=burg
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
thing ^nn++++=thing
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
slow ^jj+atrb+++=slow
music ^nn++++=music,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Gertie ^np+++??+=Gertie.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
pathetic ^jj++++=pathetic.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
Chicago ^np++++=Chicago
from ^in++++=from
Beloit ^np+++??+=Beloit,
, ^zz++++=EXTRAWORD
Wisconsin ^np+++??+=Wisconsin,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
little ^ap++++=little
town ^nn++++=town
was ^vbd+bedz+vrb++=was
a ^at++++=a
lonesome ^jj+atrb+++=lonesome
hole ^nn++++=hole
for ^in++++=for
a ^at++++=a
vivacious ^jj+atrb+++=vivacious
creature ^nn++++=creature
like ^in++++=like
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Lonesome ^np+++??+=Lonesome!
! ^zz++++=EXTRAWORD
Listen ^vb++++=Listen
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
laugh ^vb++++=laugh
a ^at++++=a
low ^jj+atrb+++=low
mirthless ^jj+atrb+++=mirthless
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
the ^ati++++=the
three ^cd++++=three-ply,
- ^zz++++=EXTRAWORD
ply ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
double ^jj++++=double-barreled,
- ^zz++++=EXTRAWORD
barreled ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
extra ^jj+atrb+++=extra
heavy ^jj+atrb+++=heavy
brand ^nn++++=brand
of ^in++++=of
lonesomeness ^nns+nom+++=lonesomeness
that ^tht+rel+obj++=that
a ^at++++=a
big ^jj+atrb+++=big
town ^nn++++=town
like ^in++++=like
this ^dt+pdem+++=this
can ^md+pos+++=can
deal ^vb++++=deal
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Talk ^nn++++=Talk
about ^in++++=about
your ^pp$+pp2+++=your
desert ^nn++++=desert
wastes ^nns++++=wastes!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
sociable ^jj+pred+++=sociable
and ^cc+phrs+++=and
snug ^jj++++=snug
compared ^jj+++xvbn+=compared
to ^in++++=to
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
three ^cd++++=three-fourths
- ^zz++++=EXTRAWORD
fourths ^nns+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
in ^in++++=in
Beloit ^np+++??+=Beloit,
, ^zz++++=EXTRAWORD
Wisconsin ^np+++??+=Wisconsin,
, ^zz++++=EXTRAWORD
by ^in++++=by
their ^pp$+pp3+++=their
first ^od++++=first
names ^nns++++=names.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
lived ^vprf+++xvbnx+=lived
here ^rn+pl+++=here
six ^cd++++=six
months ^nns++++=months
and ^cc++++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
on ^in++++=on
informal ^jj+atrb+++=informal
terms ^nns++++=terms
with ^in++++=with
anybody ^pn++++=anybody
except ^in++++=except
Teddy ^np++++=Teddy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
landlady ^nn++++=landlady's
's ^$++++=EXTRAWORD
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
trained ^jj+atrb++xvbn+=trained
rat ^nn++++=rat-and-book-agent
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
terrier ^nn++++=terrier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
overfriendliness ^nns+nom+++=overfriendliness.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
clerked ^vbd+++xvbnx+=clerked
at ^rb++++=at
the ^ati++++=the
Enterprise ^nn++++=Enterprise
Store ^nn++++=Store
in ^in++++=in
Beloit ^np+++??+=Beloit
the ^ati++++=the
women ^nns++++=women
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
in ^in++++=in
and ^cc++++=and
ask ^vb++++=ask
for ^in+ppvb+++=for
something ^pn++++=something
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
carry ^vb++++=carry
just ^rb+emph+++=just
for ^in++++=for
an ^at++++=an
excuse ^nn++++=excuse
to ^in++++=to
copy ^nn++++=copy
the ^ati++++=the
way ^nn++++=way
the ^ati++++=the
lace ^nn++++=lace
yoke ^nn++++=yoke
effects ^nns++++=effects
were ^vbd+bed+aux++=were
planned ^vpsv++agls+xvbnx+=planned
in ^in++++=in
my ^pp$+pp1+++=my
shirtwaists ^nns+nom+++=shirtwaists.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
see ^vb+vprv+++=see
the ^ati++++=the
way ^nn++++=way
those ^dt+dem+++=those
same ^ap++++=same
shirtwaist ^nn+nom+++=shirtwaist
stack ^nn++++=stack
up ^rp++++=up
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lingerie ^nn+++??+=lingerie
waists ^nn++++=waists
that ^tht+rel+obj++=that
the ^ati++++=the
other ^ap++++=other
girls ^nns++++=girls
in ^in++++=in
my ^pp$+pp1+++=my
department ^nn+nom+++=department
wear ^nn++++=wear
make ^vb++++=make
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
hand ^nn++++=hand-tucked
- ^zz++++=EXTRAWORD
tucked ^vbd+++xvbn+=EXTRAWORD
effort ^nn++++=effort
look ^vb++++=look
like ^in++++=like
a ^at++++=a
simple ^jj+atrb+++=simple
English ^jj+atrb+++=English
country ^nn++++=country
blouse ^nn++++=blouse.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
so ^ql+emph+++=so
dripping ^jj+++xvbg+=dripping
with ^in++++=with
Irish ^jj+atrb+++=Irish
crochet ^nn++++=crochet
and ^cc++++=and
real ^jj+atrb+++=real
Val ^np++++=Val
and ^cc++++=and
Cluny ^np+++??+=Cluny
insertions ^nns+nom+++=insertions
that ^tht+rel+obj++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
wonder ^nn++++=wonder
the ^ati++++=the
girls ^nns++++=girls
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
stoop ^nn+++??+=stoop-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
carrying ^jj+++xvbg+=carrying
them ^pp3o+pp3+++0='em
around ^in+strn+++=around."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hold
hold ^nn++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
minute ^nn++++=minute,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commanded ^vbd+vpub++xvbn+=commanded
Gus ^np++++=Gus.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
thing ^nn++++=thing
is ^vbz+bez+vrb++=is
uncanny ^jj+pred+++=uncanny.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
cases ^nns++++=cases
dovetail ^vb++++=dovetail
like ^in++++=like
the ^ati++++=the
deductions ^nns+nom+++=deductions
in ^in++++=in
a ^at++++=a
detective ^nn++++=detective
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Kneel ^vb++++=Kneel
here ^rn+pl+++=here
at ^in++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
little ^ap++++=little
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
my ^pp$+pp1+++=my
sad ^jj+atrb+++=sad
young ^jj+atrb+++=young
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
no ^at++++=no
child ^nn++++=child
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
this ^dt+dem+++=this
town ^nn++++=town
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
bigger ^jjr+atrb+++=bigger
field ^nn++++=field
for ^in++++=for
me ^pp1o+pp1+++=me
in ^in++++=in
Gents ^np+++??+=Gents'
' ^zz++++=EXTRAWORD
Furnishings ^nns++++=Furnishings.
. ^zz++++=EXTRAWORD
Joke ^nn++++=Joke,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Gertie ^np+++??+=Gertie
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gazed ^vbd+++xvbnx+=gazed
up ^rp++++=up
at ^in++++=at
Gus ^np++++=Gus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gus ^np++++=Gus
gazed ^vbd+++xvbn+=gazed
down ^rp++++=down
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
