Henry ^np++++=Henry
heavens ^nns++++=heavens!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
coming ^nvbg+++xvbg+=coming?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
lady ^nn++++=lady
richly ^rb++++=richly
dressed ^vbd+++xvbn+=dressed
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
her ^pp3o+pp3+++=her
way ^nn++++=way
toward ^in++++=toward
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Queen ^nn++++=Queen
of ^in++++=of
Sheba ^np+++??+=Sheba
- ^zz++++=-coming
coming ^vbg+++xvbg+=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
Solomon ^np++++=Solomon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
introduce ^vb++++=introduce
you ^pp2+pp2+++=you
to ^in++++=to
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
Sarah ^np++++=Sarah
Dangerlie ^np+++??+=Dangerlie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drew ^vbd+++xvbn+=drew
him ^pp3o+pp3+++=him
through ^in++++=through
the ^ati++++=the
throng ^nn++++=throng
toward ^in++++=toward
a ^at++++=a
door ^nn++++=door,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
presented ^vpsv++agls+xvbnx+=presented
to ^in++++=to
a ^at++++=a
tall ^jj++++=tall
and ^cc++++=and
strikingly ^rb++++=strikingly
handsome ^jj+atrb+++=handsome
girl ^nn++++=girl
and ^cc++++=and
made ^vbd+++xvbn+=made
his ^pp$+pp3+++=his
bow ^nn++++=bow
and ^cc++++=and
a ^at++++=a
civil ^jj+atrb+++=civil
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
young ^jj+atrb+++=young
lady ^npt++++=lady
responded ^vbd+++xvbn+=responded
with ^in++++=with
one ^cd1++++=one
equally ^rb++++=equally
polite ^jj++++=polite
and ^cc+phrs+++=and
important ^jj++++=important.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
men ^nns++++=men
were ^vbd+bed+aux++=were
pressing ^vbg+++xvbgx+=pressing
around ^rp++++=around
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
of ^in++++=of
whom ^whp+rel+pied++=whom
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
apt ^jj+atrb+++=apt
and ^cc+phrs+++=and
cordial ^jj+atrb+++=cordial
speeches ^nns++++=speeches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Floyd ^np+++??+=Floyd
fell ^vbd+++xvbn+=fell
back ^jjb++++=back
and ^cc+phrs+++=and
rejoined ^jj+++xvbn+=rejoined
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
face ^vb++++=face
lit ^vbd+++xvbn+=lit
up ^rp++++=up
at ^in++++=at
his ^pp$+pp3+++=his
return ^nn++++=return.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
afraid ^jj++++=afraid
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
away ^rp+pl+++=away
with ^in++++=with
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
leave ^vb++++=leave
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Never ^rb+cnj+++=Never,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
so ^rb++++=so
easily ^rb++++=easily
disposed ^jj+++xvbn+=disposed
of ^in+ppvb+++=of."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everyone
everyone ^pn++++=EXTRAWORD
goes ^vbz++++=goes
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
call ^nn++++=call
her ^pp3o+pp3+++=her
the ^ati++++=the
Queen ^nn++++=Queen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
they ^pp3a+pp3+++=they?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
like ^in++++=like
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+vrb++=don't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him
keenly ^rb++++=keenly.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
beautiful ^jj+pred+++=beautiful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everyone
everyone ^pn++++=EXTRAWORD
says ^vbz+vpub+++=says
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
as ^in++++=as
beautiful ^nn++++=beautiful
as ^in++++=as
someone ^pn++++=someone
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
pleasantly ^rb++++=pleasantly.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she?
? ^zz++++=EXTRAWORD
As ^cs+sub+++=As
whom ^whp+wpor+++=whom?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
took ^vbd+++xvbn+=took
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
go ^vb++++=go
and ^cc+phrs+++=and
get ^vb++++=get
some ^dti++++=some
supper ^nn++++=supper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
positively ^rb++++=positively.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
glanced ^vbd+++xvbn+=glanced
across ^in+pl+++=across
the ^ati++++=the
room ^nn++++=room
toward ^in++++=toward
where ^wrb+who+++=where
the ^ati++++=the
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
the ^ati++++=the
gleam ^nn++++=gleam
of ^in++++=of
her ^pp$+pp3+++=her
fine ^jj+atrb+++=fine
shoulders ^nns+nom+++=shoulders
as ^ql++++=as
she ^pp3a+pp3+++=she
disappeared ^vbd+seem++xvbnx+=disappeared
in ^in++++=in
the ^ati++++=the
crowd ^nn++++=crowd
surrounded ^vwbn+++xvbn+=surrounded
by ^in++++=by
her ^pp$+pp3+++=her
admirers ^nns+nom+++=admirers.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
later ^rbr+tm+++=later
Floyd ^np+++??+=Floyd
met ^vbd+++xvbn+=met
the ^ati++++=the
young ^jj+atrb+++=young
lady ^npt++++=lady
on ^in++++=on
the ^ati++++=the
stairway ^nn++++=stairway.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
recognized ^vbd+vprv++xvbn+=recognized
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing
on ^rb+cnj+++=on,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you
talking ^vbg+++xvbg+=talking
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
- ^zz++++=-"Over
" ^zz++++=EXTRAWORD
over ^in++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
sweet ^jj+pred+++=sweet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
interest ^nn++++=interest
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
feel ^vb+vprv+++=feel
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
talked ^vprf+++xvbnx+=talked
with ^in++++=with
a ^at++++=a
child ^nn++++=child
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
as ^ql++++=as
near ^in+cmpx+++=near
to ^in"++++=to
the ^ati++++=the
angels ^nns++++=angels
as ^ql++++=as
one ^cd1++++=one
can ^md+pos+++=can
get ^vb++++=get
on ^in++++=on
earth ^nn++++=earth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
anxious ^jj++++=anxious
to ^to+jcmp+++=to
meet ^vbi++++=meet
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Were
were ^vbd+bed+vrb++=EXTRAWORD
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
of ^in"++++=of
a ^at++++=a
line ^nn++++=line
of ^in++++=of
yours ^pp$$++++=yours
I ^pp1a+pp1+++=I
once ^cs+tm+++=once
read ^vprf+++xvbn+=read."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
written ^vprf+++xvbnx+=written
only ^rb+down+++=only
one ^cd1++++=one
line ^nn++++=line
that ^tht+rel+subj++=that
attracted ^vprf+++xvbn+=attracted
your ^pp$+pp2+++=your
attention ^nn+nom+++=attention,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
- ^zz++++=-it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
- ^zz++++=-"The
" ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
whitest ^jjt+atrb+++=whitest
soul ^nn++++=soul
of ^in++++=of
man ^nn++++=man
or ^cc++++=or
saint ^nn++++=saint
is ^vbz+bez+vrb++=is
black ^jj+pred+++=black
beside ^in+pl+++=beside
a ^at++++=a
girl ^nn++++=girl's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="Beside
beside ^in+pl+++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's,"
's," ^vb+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
correcting ^vbg+++xvbg+=correcting
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
- ^zz++++=-`beside
` ^zz++++=EXTRAWORD
beside ^in+pl+++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's.'"
's.'" ^nn+++??+=EXTRAWORD
Her ^pp3o+pp3+++=Her
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low
and ^cc+phrs+++=and
musical ^jj++++=musical.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
glanced ^vbd+++xvbn+=glanced
up ^rp++++=up
and ^cc++++=and
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
look ^vb++++=look,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
color ^nn++++=color
deepened ^vbd+++xvbn+=deepened
in ^in++++=in
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
as ^in++++=as
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
suddenly ^rb++++=suddenly
leant ^vbd+++xvbn+=leant
a ^rb++++=a
little ^rb"++++=little
towards ^in++++=towards
her ^pp$+pp3+++=her
and ^cc++++=and
gazed ^vbd+++xvbn+=gazed
earnestly ^rb++++=earnestly
into ^in++++=into
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
dropped ^vbd+++xvbnx+=dropped,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
instantly ^rb+tm+++=instantly
raised ^vbd+++xvbn+=raised
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes
yes ^uh++++=EXTRAWORD
- ^zz++++=-good-night,"
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
held ^vbd+vprv++xvbnx+=held
out ^rp+pl+++=out
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
taking ^jj+atrb++xvbg+=taking
gesture ^nn++++=gesture
and ^cc++++=and
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-night,"
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Floyd ^np+++??+=Floyd,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vpsv++agls+xvbn+=passed
on ^rb+phrv+++=on
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs
to ^in++++=to
the ^ati++++=the
dressing ^jj+++xvbg+=dressing-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
his ^pp$+pp3+++=his
coat ^nn++++=coat
and ^cc++++=and
hat ^nn++++=hat
and ^cc++++=and
came ^vpsv++agls+xvbn+=came
down ^in++++=down
the ^ati++++=the
stairway ^nn++++=stairway.
. ^zz++++=EXTRAWORD
A ^at++++=A
group ^nn++++=group
seized ^vbd+++xvbn+=seized
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
club ^nn++++=club,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
declined ^vbd+++xvbnx+=declined.
. ^zz++++=EXTRAWORD
" ^zz++++="Roast
roast ^vb++++=EXTRAWORD
oysters ^nns+nom+++=oysters
and ^cc++++=and
beer ^nn++++=beer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
ill ^jj++++=ill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
like ^in++++=like
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
seen ^vprf+++xvbnx+=seen
a ^at++++=a
spirit ^nn++++=spirit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
tired ^vpsv++agls+xvbnx+=tired,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
- ^zz++++=-good-night,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
as ^ql++++=as
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
down ^in++++=down
the ^ati++++=the
cold ^jj+atrb+++=cold
steps ^nns++++=steps
into ^in++++=into
the ^ati++++=the
frozen ^jj+++xvbn+=frozen
street ^npl++++=street.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
went ^vbd+++xvbn+=went
home ^nr++++=home
and ^cc++++=and
tossed ^vpsv++agls+xvbn+=tossed
about ^rb+phrv+++=about
all ^abn++++=all
night ^nn++++=night.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
life ^nn++++=life
was ^vbd+bedz+aux++=was
breaking ^vbg+++xvbgx+=breaking
up ^rp++++=up,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
all ^abn++++=all
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
losing ^vbg+++xvbgx+=losing
the ^ati++++=the
anchor ^nn++++=anchor
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
held ^vprf+++xvbnx+=held
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
call ^nn++++=call
her ^pp3o+pp3+++=her
the ^ati++++=the
queen ^nn++++=queen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
must ^md+nec+++=must
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
soul ^nn++++=soul
through ^rp++++=through
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Floyd ^np+++??+=Floyd
sent ^vbd+++xvbn+=sent
her ^pp$+pp3+++=her
the ^ati++++=the
poem ^nn++++=poem
which ^whp+rel+subj++=which
contained ^vbd+++xvbn+=contained
the ^ati++++=the
line ^nn++++=line
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
quoted ^vprf+++xvbnx+=quoted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
him ^pp3o+pp3+++=him
a ^at++++=a
note ^nn++++=note
thanking ^vwbg+++xvbg+=thanking
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
sympathetic ^jj+pred+++=sympathetic.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
invited ^vbd+++xvbnx+=invited
him ^pp3o+pp3+++=him
to ^to++++=to
call ^vbi++++=call.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine
in ^in++++=in
grain ^nn++++=grain
and ^cc++++=and
in ^in++++=in
look ^nn++++=look.
. ^zz++++=EXTRAWORD
A ^at++++=A
closely ^rb++++=closely
fitting ^jj+atrb++xvbg+=fitting
dark ^jj+atrb+++=dark
gown ^nn++++=gown
ornamented ^vwbn+++xvbn+=ornamented
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
glorious ^jj+atrb+++=glorious
red ^jj+atrb+++=red
rose ^nn+++xvbn+=rose
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
where ^wrb+who+++=where
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
soft ^jj+atrb+++=soft
hair ^nn++++=hair
coiled ^vwbn+++xvbn+=coiled
on ^in++++=on
her ^pp$+pp3+++=her
small ^jj+atrb+++=small
head ^nn++++=head,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
entered ^vbd+++xvbnx+=entered
tall ^jj++++=tall
and ^cc+phrs+++=and
straight ^jj++++=straight
and ^cc++++=and
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
Floyd ^np+++??+=Floyd
involuntarily ^rb++++=involuntarily
say ^vb+vpub+++=say
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes"
yes ^uh++++=EXTRAWORD
