Hans ^np++++=Hans
each ^dt++++=each
of ^in++++=of
them ^pp3o+pp3+++=them
took ^vbd+++xvbn+=took
half ^nn++++=half.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
also ^rb++++=also
divided ^vbd+++xvbn+=divided
the ^ati++++=the
pips ^nns++++=pips
and ^cc++++=and
ate ^vbd+++xvbn+=ate
all ^rb++++=all
but ^cc++++=but
one ^pn++++=one,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
proposed ^vbd+++xvbn+=proposed
should ^md+nec+++=should
be ^vb+be+aux++=be
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
see ^vb+vprv+++=see
what ^wdt+who+++=what
will ^md+prd+++=will
come ^vb++++=come
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="something
something ^pn++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+++=expect.
. ^zz++++=EXTRAWORD
A ^at++++=A
whole ^jj+atrb+++=whole
apple ^nn++++=apple-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
will ^md+prd+++=will
come ^vb++++=come
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
directly ^rb++++=directly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
a ^at++++=a
flower ^nn++++=flower-pot,
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
it ^pp3+it+++=it
with ^in++++=with
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
soon ^rb+tm+++=soon
both ^abx++++=both
very ^ql+amp+++=very
busy ^jj++++=busy
and ^cc+phrs+++=and
eager ^jj++++=eager
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
made ^vbd+++xvbn+=made
a ^at++++=a
hole ^nn++++=hole
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth
with ^in++++=with
his ^pp$+pp3+++=his
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
placed ^vwbn+++xvbn+=placed
the ^ati++++=the
pip ^nn+++??+=pip
in ^in++++=in
the ^ati++++=the
hole ^nn++++=hole,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
both ^abx++++=both
covered ^jj+++xvbn+=covered
it ^pp3+it+++=it
over ^rb++++=over
with ^in++++=with
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
not ^xnot++not++=not
take ^vb++++=take
it ^pp3+it+++=it
out ^rp+pl+++=out
tomorrow ^nr+tm+++=to-morrow
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
taken ^vprf+++xvbnx+=taken
root ^nn++++=root,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Molly ^np++++=Molly;
; ^zz++++=EXTRAWORD
" ^zz++++="no
no ^at++++=EXTRAWORD
one ^cd1++++=one
ever ^rb++++=ever
should ^md+nec+++=should
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
so ^rb++++=so
with ^in++++=with
my ^pp$+pp1+++=my
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
twice ^rb++++=twice;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
growing ^vbg+++xvbgx+=growing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
any ^dti++++=any
better ^jjr++++=better
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flowers ^nns+nom+++=flowers
all ^abn++++=all
died ^jj+++xvbn+=died."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Little ^ap++++=Little
Anthony ^np++++=Anthony
kept ^vbd+++xvbn+=kept
the ^ati++++=the
flower ^nn++++=flower-pot,
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
morning ^nn++++=morning
during ^in++++=during
the ^ati++++=the
whole ^jj+atrb+++=whole
winter ^nn++++=winter
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
but ^cc++++=but
black ^jj+atrb+++=black
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spring ^nn++++=spring
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sun ^nn++++=sun
shone ^vbd+++xvbn+=shone
warm ^jj++++=warm
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
two ^cd++++=two
little ^ap++++=little
green ^nn++++=green
leaves ^vbz++++=leaves
sprouted ^vbd+++xvbn+=sprouted
forth ^np++++=forth
in ^in++++=in
the ^ati++++=the
pot ^nn++++=pot.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
Molly ^np++++=Molly
and ^cc++++=and
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
wonderful ^jj++++=wonderful
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+emph+++=so
beautiful ^jj++++=beautiful!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
soon ^rb+tm+++=soon
a ^at++++=a
third ^nn++++=third
leaf ^nn++++=leaf
made ^vbd+++xvbn+=made
its ^pp$+it+++=its
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
that ^dt+dem+++=that
stand ^nn++++=stand
for ^in+ppvb+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
another ^dt++++=another
and ^cc++++=and
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Day ^nn++++=Day
after ^in++++=after
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
week ^nn++++=week
after ^in++++=after
week ^nn++++=week,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
plant ^nn++++=plant
became ^vbd+++xvbn+=became
quite ^rb++++=quite
a ^at++++=a
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
this ^dt+dem+++=this
about ^in++++=about
the ^ati++++=the
two ^cd++++=two
children ^nns++++=children
was ^vbd+bedz+aux++=was
mirrored ^vpsv++agls+xvbnx+=mirrored
to ^in++++=to
old ^jj+atrb+++=old
Anthony ^np++++=Anthony
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
tear ^nn++++=tear,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
wiped ^vpsv++agls+xvbnx+=wiped
away ^rb+phrv+++=away
and ^cc++++=and
disappear ^vb+seem+++=disappear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
might ^md+pos+++=might
come ^vb++++=come
again ^rb+tm+++=again
from ^in++++=from
its ^pp$+it+++=its
source ^nn++++=source
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++=of
Eisenach ^np+++??+=Eisenach
stretches ^vbz++++=stretches
a ^at++++=a
ridge ^nn++++=ridge
of ^in++++=of
stony ^jj+atrb+++=stony
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
has ^vbz+hvz+vrb++=has
a ^at++++=a
rounded ^jj+atrb++xvbn+=rounded
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shows ^vbz+vprv+++=shows
itself ^ppl++++=itself
above ^jjb++++=above
the ^ati++++=the
rest ^nn++++=rest
without ^in++++=without
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
bush ^nn++++=bush,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
grass ^nn++++=grass
on ^in++++=on
its ^pp$+it+++=its
barren ^jj+atrb+++=barren
summits ^nns+++??+=summits.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
" ^zz++++="Venus
venus ^np++++=EXTRAWORD
Mountain ^nn++++=Mountain,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
story ^nn++++=story
goes ^vbz++++=goes
that ^cs+sub+++=that
the ^ati++++=the
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Venus ^np++++=Venus,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
heathen ^jj+atrb+++=heathen
goddesses ^nns+nom+++=goddesses,
, ^zz++++=EXTRAWORD
keeps ^vbz++++=keeps
house ^nn++++=house
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+aux++=is
also ^rb++splt++=also
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Halle ^np+++??+=Halle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
child ^nn++++=child
round ^in++++=round
Eisenach ^np+++??+=Eisenach
well ^rb++++=well
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
who ^whp+who+++=who
enticed ^vbd+++xvbn+=enticed
the ^ati++++=the
noble ^jj+atrb+++=noble
knight ^nn++++=knight,
, ^zz++++=EXTRAWORD
Tannhauser ^np+nom++??+=Tannhauser,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minstrel ^nn++++=minstrel,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
circle ^nn++++=circle
of ^in++++=of
singers ^nns+nom+++=singers
at ^in++++=at
Wartburg ^np+++??+=Wartburg
into ^in++++=into
her ^pp3o+pp3+++=her
mountain ^npl++++=mountain.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Molly ^np++++=Molly
and ^cc++++=and
Anthony ^np++++=Anthony
often ^rb++++=often
stood ^vpsv++by+xvbn+=stood
by ^in++++=by
this ^dt+dem+++=this
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
day ^nn++++=day
Molly ^np++++=Molly
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
dare ^vb++++=dare
to ^to+vcmp+++=to
knock ^vbi++++=knock
and ^cc+phrs+++=and
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Lady
lady ^npt++++=EXTRAWORD
Halle ^np+++??+=Halle,
, ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Halle ^np+++??+=Halle,
, ^zz++++=EXTRAWORD
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door:
: ^zz++++=EXTRAWORD
Tannhauser ^np+nom++??+=Tannhauser
is ^vbz+bez+vrb++=is
here! ^nn+++??+=here!'"
'" ^nn+++??+=EXTRAWORD
But ^cc++++=But
Anthony ^np++++=Anthony
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dare ^vb++++=dare.
. ^zz++++=EXTRAWORD
Molly ^np++++=Molly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
only ^ap+down+++=only
said ^vprf+++xvbn+=said
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
" ^zz++++="Lady
lady ^npt++++=EXTRAWORD
Halle ^np+++??+=Halle,
, ^zz++++=EXTRAWORD
Lady ^npt++++=Lady
Halle ^np+++??+=Halle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
loudly ^rb++++=loudly
and ^cc+phrs+++=and
distinctly ^rb++++=distinctly;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
she ^pp3a+pp3+++=she
muttered ^vbd+++xvbnx+=muttered
so ^ql++++=so
much ^ap++++=much
under ^in++++=under
her ^pp$+pp3+++=her
breath ^nn++++=breath
that ^tht+rel+obj++=that
Anthony ^np++++=Anthony
felt ^vbd+vprv++xvbn+=felt
certain ^jj++++=certain
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
really ^rb+emph+splt++=really
said ^vprf++tht0+xvbnx+=said
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
quite ^rb++++=quite
bold ^jj++++=bold
and ^cc++++=and
saucy ^nn+++??+=saucy,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
sometimes ^rb++++=sometimes
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden
with ^in++++=with
a ^at++++=a
number ^nn++++=number
of ^in++++=of
other ^ap++++=other
little ^jj+atrb+++=little
girls ^nns++++=girls;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
all ^abn++++=all
stand ^vb++++=stand
round ^rb++++=round
him ^pp3o+pp3+++=him
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
want ^vb++++=want
to ^to+vcmp+++=to
kiss ^vbi++++=kiss
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
kissed ^vpsv++agls+xvbnx+=kissed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pushed ^vwbn+++xvbn+=pushed
them ^pp3o+pp3+++=them
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Molly ^np++++=Molly
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
who ^whp+rel+subj++=who
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
resist ^vbi++++=resist
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
may ^md+pos+++=may
kiss ^vb++++=kiss
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say
proudly ^rb+cnj+++=proudly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
her ^pp$+pp3+++=her
arms ^nns++++=arms
round ^in++++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
vain ^jj+pred+++=vain
of ^in++++=of
her ^pp$+pp3+++=her
power ^nn++++=power
over ^in++++=over
Anthony ^np++++=Anthony,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
would ^md+prd+++=would
submit ^vb+vpub+++=submit
quietly ^rb++++=quietly
and ^cc++++=and
think ^vb+vprv+tht0++=think
nothing ^pn++++=nothing
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Molly ^np++++=Molly
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
charming ^nvbg+++xvbg+=charming,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
bold ^jj++++=bold;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
tease ^vb++++=tease!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub++xvbnx+=said
Lady ^npt++++=Lady
Halle ^np+++??+=Halle
was ^vbd+bedz+vrb++=was
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
tempting ^jj+atrb++xvbg+=tempting
fiend ^nn++++=fiend.
. ^zz++++=EXTRAWORD
Saint ^nn++++=Saint
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tutelar ^nn+++??+=tutelar
saint ^nn++++=saint
of ^in++++=of
the ^ati++++=the
land ^nn++++=land,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pious ^jj+atrb+++=pious
princess ^nns+nom+++=princess
of ^in++++=of
Thuringia ^np+++??+=Thuringia,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
good ^jj+atrb+++=good
deeds ^nns++++=deeds
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
immortalized ^vpsv++agls+xvbnx+=immortalized
in ^in++++=in
so ^ql++++=so
many ^ap++++=many
places ^nns++++=places
through ^in++++=through
stories ^nns++++=stories
and ^cc++++=and
legends ^nns++++=legends,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
greater ^jjr+atrb+++=greater
beauty ^nn++++=beauty
and ^cc++++=and
more ^rbr++++=more
real ^jj+atrb+++=real
grace ^nn++++=grace.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
picture ^nn++++=picture
hung ^vbd+++xvbn+=hung
in ^in++++=in
the ^ati++++=the
chapel ^nn++++=chapel,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
silver ^nn++++=silver
lamps ^nns++++=lamps;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
least ^ql++++=least
resemble ^vb++++=resemble
Molly ^np++++=Molly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
apple ^nn++++=apple-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
two ^cd++++=two
children ^nns++++=children
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted,
, ^zz++++=EXTRAWORD
grew ^jj+atrb++xvbn+=grew
year ^nn++++=year
after ^in++++=after
year ^nn++++=year,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
so ^rb+emph+++=so
large ^jj++++=large
that ^cs+sub+++=that
it ^pp3+it+++=it
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
transplanted ^jj+++xvbn+=transplanted
into ^in++++=into
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
dew ^nn++++=dew
fell ^vbd+++xvbn+=fell
and ^cc++++=and
the ^ati++++=the
sun ^nn++++=sun
shone ^vbd+++xvbn+=shone
warmly ^rb++++=warmly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^rn+pl+++=there
it ^pp3+it+++=it
increased ^vbd+++xvbn+=increased
in ^in++++=in
strength ^nn++++=strength
so ^ql++++=so
much ^ap++++=much
as ^in++++=as
to ^to++++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
withstand ^vb++++=withstand
the ^ati++++=the
cold ^nn++++=cold
of ^in++++=of
winter ^nn++++=winter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
passing ^nn++++=passing
through ^in++++=through
the ^ati++++=the
severe ^jj+atrb+++=severe
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
put ^vbi++++=put
forth ^rp++++=forth
its ^pp$+it+++=its
blossoms ^nns+++??+=blossoms
in ^in++++=in
spring ^nn++++=spring
for ^in++++=for
very ^ql+amp+++=very
joy ^np++++=joy
that ^tht+rel+obj++=that
the ^ati++++=the
cold ^jj+atrb+++=cold
season ^nn++++=season
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone.
. ^zz++++=EXTRAWORD
In ^in++++=In
autumn ^nn++++=autumn
it ^pp3+it+++=it
produced ^vbd+++xvbn+=produced
two ^cd++++=two
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
one ^pn++++=one
for ^in++++=for
Molly ^np++++=Molly
and ^cc++++=and
one ^pn++++=one
for ^in++++=for
Anthony ^np++++=Anthony;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
could ^md+pos+++=could
not ^xnot++not++=not
well ^jj+pred+++=well
do ^vb+do+vrb++=do
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tree ^nn++++=tree
after ^cs+sub+++=after
this ^dt+pdem+++=this
grew ^vbd+++xvbn+=grew
very ^ql+amp+++=very
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Molly ^np++++=Molly
grew ^vbd+++xvbn+=grew
with ^in++++=with
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
as ^ql++++=as
fresh ^jj++++=fresh
as ^in++++=as
an ^at++++=an
apple ^nn++++=apple-blossom,
- ^zz++++=EXTRAWORD
blossom ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Anthony ^np++++=Anthony
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
behold ^vbi++++=behold
this ^dt+dem+++=this
flower ^nn++++=flower
for ^in++++=for
long ^nn++++=long.
. ^zz++++=EXTRAWORD
All ^abn++++=All
things ^nns++++=things
change ^nn++++=change;
; ^zz++++=EXTRAWORD
Molly ^np++++=Molly's
's ^$++++=EXTRAWORD
father ^npt++++=father
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Molly ^np++++=Molly
went ^vbd+++xvbn+=went
with ^in++++=with
him ^pp3o+pp3+++=him
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
time ^nn++++=time,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
only ^rb+down+++=only
a ^at++++=a
journey ^nn++++=journey
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
day ^nn++++=day
and ^cc++++=and
a ^at++++=a
night ^nn++++=night
to ^to++++=to
travel ^vbi++++=travel
so ^ql++++=so
far ^rb+pl+++=far
eastward ^rb++++=eastward
from ^in++++=from
Eisenbach ^np+++??+=Eisenbach
to ^in++++=to
a ^at++++=a
town ^nn++++=town
still ^rb++++=still
called ^xvbn+++xvbn+=called
Weimar ^np+++??+=Weimar,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
borders ^nns+nom+++=borders
of ^in++++=of
Thuringia ^np+++??+=Thuringia.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Molly ^np++++=Molly
and ^cc++++=and
Anthony ^np++++=Anthony
both ^abx++++=both
wept ^vprf+++xvbn+=wept,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+dem+++=these
tears ^nns++++=tears
all ^rb++++=all
flowed ^vbd+++xvbn+=flowed
together ^nn+nom+++=together
into ^in++++=into
one ^cd1++++=one
tear ^nn++++=tear
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
the ^ati++++=the
rosy ^jj++++=rosy
shimmer ^jjr++++=shimmer
of ^in++++=of
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
Molly ^np++++=Molly
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
loved ^vbd+++xvbn+=loved
him ^pp3o+pp3+++=him
more ^ql++++=more
than ^cs+sub+++=than
all ^abn++++=all
the ^ati++++=the
