Rosicrucian ^np+++??+=Rosicrucian
black ^jj+atrb+++=black
favor ^nn++++=favor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
can ^md+pos+++=can
do ^vb+do+vrb++=do
for ^in++++=for
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man.
. ^zz++++=EXTRAWORD
" ^zz++++="Many
many ^ap++++=EXTRAWORD
thanks ^rb+dspt+++=thanks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tarrion ^np+++??+=Tarrion.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Strong ^jj+atrb+++=Strong
Man ^nn++++=Man
departed ^vbd+++xvbn+=departed
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
the ^ati++++=the
appointment ^nn+nom+++=appointment
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
blocked ^vpsv++agls+xvbnx+=blocked.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Followed ^j+++xvbn+=Followed
a ^at++++=a
pause ^nn++++=pause
of ^in++++=of
eleven ^cd++++=eleven
days ^nns++++=days;
; ^zz++++=EXTRAWORD
with ^in++++=with
thunders ^nns+nom+++=thunders
and ^cc++++=and
lightnings ^nns+++??+=lightnings
and ^cc++++=and
much ^ap++++=much
telegraphing ^nvbg+++xvbg+=telegraphing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
appointment ^nn+nom+++=appointment
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
very ^ql+amp+++=very
important ^jj+atrb+++=important
one ^pn++++=one,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
only ^rb+down+++=only
between ^in++++=between
Rs ^np+++??+=Rs.
. ^zz++++=EXTRAWORD
500 ^cd++++=500
and ^cc++++=and
Rs ^np+++??+=Rs.
. ^zz++++=EXTRAWORD
700 ^cd++++=700
a ^at++++=a
month ^nn++++=month;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
Viceroy ^npt++++=Viceroy
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
diplomatic ^jj+atrb+++=diplomatic
secrecy ^nn++++=secrecy
that ^tht+rel+subj++=that
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
maintained ^vprf+++xvbn+=maintained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
than ^in++++=than
likely ^jj++++=likely
that ^tht+jcmp+++=that
a ^at++++=a
boy ^nn++++=boy
so ^ql++++=so
well ^rb++++=well
supplied ^vbd+++xvbn+=supplied
with ^in++++=with
special ^jj+atrb+++=special
information ^nn+nom+++=information
would ^md+prd+++=would
be ^vb+be+vrb++=be
worth ^in++++=worth
translating ^nn++++=translating.
. ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
translated ^vbd+++xvbnx+=translated
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
must ^md+nec+++=must
have ^vb+hv+aux++=have
suspected ^vprf+++xvbnx+=suspected
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
protested ^vbd+vpub++xvbnx+=protested
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
information ^nn+nom+++=information
was ^vbd+bedz+vrb++=was
due ^jj+pred+++=due
to ^in+jcmp+++=to
singular ^jj+atrb+++=singular
talents ^nns++++=talents
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
much ^ap++++=much
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
after ^in++++=after-history
- ^zz++++=EXTRAWORD
history ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
missing ^jj+atrb++xvbg+=missing
envelope ^nn++++=envelope,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
fill ^vb++++=fill
in ^rb+phrv+++=in
for ^in++++=for
yourself ^ppl+pp2+++=yourself,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
reasons ^nns++++=reasons
why ^wrb+who+++=why
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
written ^vpsv++agls+xvbnx+=written.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
about ^in++++=about
things ^nns++++=things
Up ^rp++++=Up
Above ^jjb++++=Above,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
to ^to++++=to
fill ^vbi++++=fill
it ^pp3+it+++=it
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
impossible ^jj+pred+++=impossible.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
Viceroy ^npt++++=Viceroy
said ^vbd+vpub++xvbn+=said
when ^wrb+who+whcl++=when
Tarrion ^np+++??+=Tarrion
was ^vbd+bedz+aux++=was
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
him ^pp3o+pp3+++=him
was: ^nn+++??+=was:--"So,
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
boy ^nn++++=boy
who ^whp+rel+obj++=who
' ^zz++++='rusked'
rusked ^jj+++xvbn+=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
Government ^nn+nom+++=Government
of ^in++++=of
India ^np++++=India,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Recollect ^vb+vprv+++=Recollect,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
not ^xnot++not++=not
done ^vbd+++xvbn+=done
Twice ^rb++++=TWICE."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
known ^vprf++tht0+xvbnx+=known
something ^pn++++=something.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
Tarrion ^np+++??+=Tarrion
said ^vbd+vpub++xvbn+=said
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
appointment ^nn+nom+++=appointment
gazetted ^vwbn+++xvbn+=gazetted
was: ^nn+++??+=was:--"If
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
were ^vbd+bed+vrb++=were
twenty ^cd++++=twenty
years ^nns++++=years
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
Viceroy ^npt++++=Viceroy
of ^in++++=of
India ^np++++=India
in ^in++++=in
twenty ^cd++++=twenty
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hauksbee ^np+nom+++=Hauksbee
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Tarrion ^np+++??+=Tarrion
thanked ^vbd+++xvbn+=thanked
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
with ^in++++=with
tears ^nns++++=tears
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
first: ^nn+++??+=first:--"I
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
next ^rb+cnj+++=next,
, ^zz++++=EXTRAWORD
to ^in++++=to
herself: ^nn++++=herself:--"What
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
fools ^nns++++=fools
men ^nns++++=men
are ^vb+ber+vrb++=are!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
