[ ^zz++++=[The
the ^ati++++=the
white ^jj+atrb+++=white
shingle ^nn++++=shingle
underfoot ^rb+pl+++=underfoot;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
nothing ^pn++++=nothing
but ^cc++++=but
to ^to++++=to
hold ^vbi+vprv+++=hold
on ^in+strn+++=on--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
well ^rb++++=well
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
for ^in++++=for
else ^rb+cnj+++=else
the ^ati++++=the
horses ^nns++++=horses
behind ^in+pl+++=behind
had ^vb+hv+aux++=had
certainly ^rb++splt++=certainly
trampled ^vprf+++xvbnx+=trampled
me ^pp1o+pp1+++=me
flat ^jj++++=flat
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
shouting ^vbg+vpub++xvbg+=shouting,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder
and ^cc+phrs+++=and
louder ^jjr++++=louder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
came ^vbd+++xvbn+=came
more ^rbr++++=more
pounding ^nvbg+++xvbg+=pounding
of ^in++++=of
hoofs ^nns++++=hoofs
alongside ^in+strn+++=alongside,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^rb++++=a
little ^rb"++++=little
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
on ^in++++=on
horseback ^nn++++=horseback
sprang ^vbd+++xvbn+=sprang
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
cannoning ^jj+++xvbg+=cannoning
against ^in++++=against
the ^ati++++=the
mare ^nn++++=mare's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
out ^rp+pl+++=out
a ^at++++=a
hand ^nn++++=hand
to ^to++++=to
catch ^vbi++++=catch
her ^pp$+pp3+++=her
by ^in++++=by
rein ^nn++++=rein,
, ^zz++++=EXTRAWORD
mane ^nn++++=mane,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
bridle ^nn++++=bridle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
raced ^vbd+++xvbn+=raced
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
side ^nn++++=side
by ^in++++=by
side ^nn++++=side,
, ^zz++++=EXTRAWORD
for ^in++++=for
ten ^cd++++=ten
seconds ^nns++++=seconds
or ^cc++++=or
so ^rb++++=so.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
gilt ^jj+atrb+++=gilt
buttons ^nns++++=buttons
twinkling ^vwbg+++xvbg+=twinkling
on ^in++++=on
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
as ^ql++++=as
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
past ^jjb++++=past
my ^pp$+pp1+++=my
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finding ^vbg+++xvbg+=finding
neither ^dt++neg++=neither
bit ^nn++++=bit
nor ^cc++neg++=nor
rein ^nn++++=rein,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
his ^pp$+pp3+++=his
hand ^nn++++=hand
at ^rb++++=at
length ^rb"++++=length
right ^jj++++=right
on ^in++++=on
top ^nn++++=top
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
riding-officer ^jjr++++=riding-officer--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
time ^nn++++=time
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
riding ^jj+++xvbg+=riding-officer
- ^zz++++=EXTRAWORD
officer ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
recognised ^vbd+vprv++xvbnx+=recognised
the ^ati++++=the
buttons ^nns++++=buttons--had
-- ^--+clp+++=EXTRAWORD
had ^vb+hv+vrb++=EXTRAWORD
no ^at++++=no
guess ^nn++++=guess
of ^in++++=of
anyone ^pn++++=anyone's
's ^vbz+bez+aux++0=EXTRAWORD
being ^vbg+beg++xvbg+=being
on ^in++++=on
the ^ati++++=the
mare ^nn++++=mare's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
oath ^nn++++=oath
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
expected ^vbd+vprv++xvbnx+=expected,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
shrill ^nn++++=shrill
scream ^vb++++=scream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
arm ^vb++++=arm
dropped ^vbd+++xvbn+=dropped,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
mare ^nn++++=mare
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
and ^cc+phrs+++=and
caught ^vbd+++xvbn+=caught
it ^pp3+it+++=it
in ^in++++=in
her ^pp$+pp3+++=her
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
above ^jjb++++=above
the ^ati++++=the
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
moment ^nn++++=moment
she ^pp3a+pp3+++=she
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
her ^pp$+pp3+++=her
stride ^nn++++=stride
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forged ^vbd+++xvbn+=forged
past ^nn++++=past
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
dropped ^vbd+++xvbnx+=dropped
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
a ^at++++=a
bullet ^nn++++=bullet
or ^cc++++=or
two ^cd++++=two
sang ^vbd+++xvbn+=sang
over ^rp++++=over
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
went ^vbd+++xvbn+=went
ping ^nvbg+++xvbg+=ping!
! ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
keg ^nn+++??+=keg.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
time ^nn++++=time
to ^to++++=to
be ^vbi++vrb++=be
afraid ^jj+pred+++=afraid,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
mare ^nn++++=mare's
's ^$++++=EXTRAWORD
neck ^nn++++=neck
rose ^vbd+++xvbn+=rose
again ^rb+tm+++=again
and ^cc++++=and
caught ^vbd+++xvbn+=caught
me ^pp1o+pp1+++=me
another ^dt++++=another
sad ^jj++++=sad
knock ^vb++++=knock
on ^in++++=on
the ^ati++++=the
nose ^nn++++=nose
as ^ql++++=as
she ^pp3a+pp3+++=she
heaved ^vbd+++xvbnx+=heaved
herself ^ppl+pp3+++=herself
up ^rp++++=up
the ^ati++++=the
cliff ^np++++=cliff-track,
- ^zz++++=EXTRAWORD
track ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
work ^nn++++=work
to ^in++++=to
grip ^nn++++=grip
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
keg ^nn+++??+=keg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twine ^nn+++??+=twine
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand
tighter ^jjr++++=tighter
in ^in++++=in
her ^pp$+pp3+++=her
mane ^nn++++=mane
to ^to++++=to
prevent ^vbi++++=prevent
myself ^ppl+pp1+++=myself
slipping ^vbg+++xvbg+=slipping
back ^jjb++++=back
over ^in++++=over
her ^pp$+pp3+++=her
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in+cmpx+++=on
to ^in"++++=to
those ^dt+dem+++=those
deadly ^jj+atrb+++=deadly
hoofs ^nns++++=hoofs.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
the ^ati++++=the
loose ^jj+atrb+++=loose
stones ^nns++++=stones
flying ^vwbg+++xvbg+=flying
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us
into ^in++++=into
the ^ati++++=the
bushes ^nns++++=bushes
right ^nn++++=right
and ^cc++++=and
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
Farther ^rbr++++=Farther
behind ^in+pl+++=behind
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
scrambling ^nn+nom+++=scrambling
of ^in++++=of
many ^ap++++=many
hoofs ^nns++++=hoofs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whether ^cs+who+++=whether
of ^in++++=of
the ^ati++++=the
tub ^nn++++=tub-carriers
- ^zz++++=EXTRAWORD
carriers ^nns+nom+++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
troopers ^nns+nom+++=troopers'
' ^zz++++=EXTRAWORD
horses ^nns++++=horses
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
guess ^vbi++++=guess.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mare ^nn++++=mare
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
for ^in++++=for
as ^in++++=as
the ^ati++++=the
slope ^nn++++=slope
grew ^vbd+++xvbn+=grew
easier ^jjr++++=easier,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whinnied ^vbd+++xvbnx+=whinnied
and ^cc+phrs+++=and
slackened ^vbd+++xvbn+=slackened
her ^pp$+pp3+++=her
pace ^nn++++=pace
to ^to++++=to
give ^vbi++++=give
them ^pp3o+pp3+++=them
time ^nn++++=time
to ^to++++=to
come ^vbi++++=come
up ^rp++++=up.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
also ^rb++++=also
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
shift ^vbi++++=shift
my ^pp$+pp1+++=my
seat ^nn++++=seat
a ^at++++=a
bit ^nn++++=bit,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
edges ^nns++++=edges
of ^in++++=of
the ^ati++++=the
kegs ^nns++++=kegs
were ^vbd+bed+aux++=were
nipping ^vbg+++xvbgx+=nipping
my ^pp$+pp1+++=my
calves ^nns++++=calves
cruelly ^rb++++=cruelly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beach ^nn++++=beach
below ^rb++++=below
us ^pp1o+pp1+++=us
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
wicked ^jj+atrb+++=wicked
place ^nn++++=place
in ^in++++=in
a ^at++++=a
priest ^nn++++=priest's
's ^$++++=EXTRAWORD
sermon ^nn++++=sermon--black
-- ^--+clp+++=EXTRAWORD
black ^jj++++=EXTRAWORD
as ^ql++++=as
pitch ^nn++++=pitch
and ^cc++++=and
full ^jj++++=full
of ^in++++=of
cursing ^xvbg+++xvbg+=cursing--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
all ^rb++++=all
alive ^jj++++=alive
with ^in++++=with
lanterns ^nns++++=lanterns;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
firing ^nvbg+++xvbg+=firing,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
no ^at++++=no
lights ^nns++++=lights
out ^rp+pl+++=out
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
hoped ^vbd+vprv+tht0+xvbnx+=hoped
my ^pp$+pp1+++=my
father ^nn++++=father
had ^vbd+hvd+aux++=had
managed ^vprf+++xvbnx+=managed
to ^to+vcmp+++=to
push ^vbi++++=push
off ^rp+pl+++=off
and ^cc++++=and
make ^vb++++=make
for ^in+ppvb+++=for
the ^ati++++=the
lugger ^nn++++=lugger.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
now ^rn+tm+++=now
on ^in++++=on
a ^at++++=a
grassy ^jj++++=grassy
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
mare ^nn++++=mare,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
starting ^xvbg+++xvbg+=starting
again ^rb+tm+++=again
at ^in++++=at
a ^at++++=a
canter ^jjr++++=canter
which ^whp+who+++=which
rattled ^vbd+++xvbn+=rattled
me ^pp1o+pp1+++=me
abominably ^rb+cnj+++=abominably,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
into ^in++++=into
an ^at++++=an
easy ^jj+atrb+++=easy
gallop ^nn++++=gallop.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
declare ^vb+vpub+++=declare
that ^tht+vcmp+++=that
except ^in++++=except
for ^in"++++=for
my ^pp$+pp1+++=my
fears ^nns++++=fears--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
chill ^nn++++=chill
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind
bit ^nn++++=bit
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
be ^vbi++vrb++=be
horribly ^rb++++=horribly
afraid ^jj+pred+++=afraid--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
like ^in++++=like
swinging ^nn++++=swinging
in ^in++++=in
a ^at++++=a
hammock ^nn+++??+=hammock
to ^in++++=to
the ^ati++++=the
pitch ^nn++++=pitch
of ^in++++=of
a ^at++++=a
weatherly ^jj+atrb+++=weatherly
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
dread ^nn++++=dread
of ^in++++=of
falling ^xvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
either ^dtx++++=either;
; ^zz++++=EXTRAWORD
for ^in++++=for
her ^pp$+pp3+++=her
heels ^nns++++=heels
fell ^vbd+++xvbn+=fell
so ^ql++++=so
lightly ^rb++++=lightly
on ^in++++=on
the ^ati++++=the
turf ^nn++++=turf
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
persuaded ^vbd+vsua++xvbnx+=persuaded
all ^abn++++=all
fear ^vb++++=fear
of ^in++++=of
broken ^xvbn+++xvbn+=broken
bones ^nns++++=bones
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
falling ^xvbg+++xvbg+=falling;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
desperate ^jj+atrb+++=desperate
dread ^nn++++=dread
of ^in++++=of
those ^dt+dem+++=those
thundering ^jj+atrb+++=thundering
tub ^nn++++=tub-carriers
- ^zz++++=EXTRAWORD
carriers ^nns+nom+++=EXTRAWORD
just ^rb+emph+++=just
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
come ^vbi++++=come
down ^rp++++=down
like ^in++++=like
a ^at++++=a
black ^jj+atrb+++=black
racing ^jj+atrb++xvbg+=racing
wave ^nn++++=wave
right ^jj++++=right
on ^in++++=on
top ^nn++++=top
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
miss ^npt++++=miss
us ^pp1o+pp1+++=us
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
by ^in++++=by
a ^at++++=a
foot ^nn++++=foot
or ^cc++++=or
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weight ^nn++++=weight
of ^in++++=of
them ^pp3o+pp3+++=them
on ^in++++=on
this ^dt+dem+++=this
wide ^jj++++=wide,
, ^zz++++=EXTRAWORD
empty ^jj++++=empty
down ^rp++++=down--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
nightmare ^nn++++=nightmare
we ^pp1a+pp1+++=we
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
running ^vbg+++xvbgx+=running
from ^in+strn+++=from.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
passed ^vbd+++xvbn+=passed
through ^in++++=through
an ^at++++=an
open ^jj+atrb+++=open
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
out ^rp+pl+++=out
upon ^in++++=upon
hard ^jj+atrb+++=hard
road ^npl++++=road
for ^in++++=for
half ^abn++++=half-a-mile
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
or ^cc++++=or
so ^ql++++=so
( ^zz++++=(but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
actual ^jj+atrb+++=actual
distance ^nn+nom+++=distance
or ^cc++++=or
the ^ati++++=the
pace ^nn++++=pace),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
through ^in++++=through
a ^at++++=a
third ^od++++=third
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
gates ^nns++++=gates
stood ^vbd+++xvbn+=stood
open ^jj++++=open;
; ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
left ^vpsv++agls+xvbnx+=left
so ^pn++++=so
on ^in++++=on
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
grey ^jj+atrb+++=grey
granite ^nn++++=granite
side ^nn++++=side-posts
- ^zz++++=EXTRAWORD
posts ^nns++++=EXTRAWORD
were ^vbd+bed+vrb++=were
my ^pp$+pp1+++=my
only ^ap+down+++=only
mile ^nn++++=mile-stones
- ^zz++++=EXTRAWORD
stones ^nns++++=EXTRAWORD
throughout ^in++++=throughout
the ^ati++++=the
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
mortal ^jj+atrb+++=mortal
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
strange ^jj+pred+++=strange
as ^ql++++=as
mortal ^nn++++=mortal
thing ^nn++++=thing
could ^md+pos+++=could
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
foreign ^jj+atrb+++=foreign
land ^nn++++=land
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
see ^vb+vprv+++=see
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
on ^in++++=on
horseback ^nn++++=horseback
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
going ^vbg+++xvbg+=going
the ^ati++++=the
dickens ^np++++=dickens
knew ^vbd+vprv++xvbn+=knew
whither ^jjr++++=whither,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
dickens ^np++++=dickens
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
pace ^nn++++=pace;
; ^zz++++=EXTRAWORD
in ^in++++=in
much ^rb++++=much
certain ^jj++++=certain
and ^cc++++=and
more ^rbr++++=more
possible ^jj+atrb+++=possible
danger ^nn++++=danger;
; ^zz++++=EXTRAWORD
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
without ^in++++=without
speech ^nn++++=speech
to ^to++++=to
explain ^vbi+vpub+++=explain
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when--as
-- ^--+clp+++=EXTRAWORD
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
supposed ^vbd+++xvbnx+=supposed
must ^md+nec+++=must
happen ^vb+++??+=happen
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
runaway ^jjb+atrb+++=runaway
fate ^nn++++=fate
should ^md+nec+++=should
shoot ^vb++++=shoot
me ^pp1o+pp1+++=me
among ^in++++=among
human ^jj++++=human
folk ^jjb++++=folk.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
overhead ^jjb++++=overhead-this
- ^zz++++=EXTRAWORD
this ^dt+dem+++=EXTRAWORD
seemed ^jj+++xvbn+=seemed
the ^ati++++=the
oddest ^jjt+atrb+++=oddest
thing ^nn++++=thing
of ^in++++=of
all ^abn++++=all--shone
-- ^--+clp+++=EXTRAWORD
shone ^j+++xvbn+=EXTRAWORD
the ^ati++++=the
very ^ql+amp+++=very
same ^ap++++=same
stars ^nns++++=stars
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
look ^vb++++=look
in ^in++++=in
at ^in++++=at
my ^pp$+pp1+++=my
bedroom ^nn++++=bedroom
window ^nn++++=window
over ^in++++=over
Roscoff ^np+++??+=Roscoff
quay ^np++++=quay.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me
once ^cs+tm+++=once
that ^dt+dem+++=that
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
millions ^cds++++=millions
of ^in++++=of
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
people ^nns++++=people
lived ^vbd+++xvbn+=lived
in ^in++++=in
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
head ^jjb++++=head
as ^in++++=as
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
queer ^jj+atrb+++=queer
thing ^nn++++=thing
that ^tht+rel+obj++=that
these ^dt+dem+++=these
people ^nns++++=people
should ^md+nec+++=should
be ^vb+be+aux++=be
keeping ^vbg+++xvbgx+=keeping
me ^pp1o+pp1+++=me
in ^in++++=in
view ^nn++++=view,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
own ^ap++++=own
folk ^jjb++++=folk
so ^ql++++=so
far ^rb+pl+++=far
away ^rp+pl+++=away
and ^cc++++=and
lost ^vpsv++agls+xvbn+=lost
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
grow ^vbi++++=grow
faint ^jj++++=faint;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj++++=little
by ^in++++=by
little ^jj++++=little
the ^ati++++=the
fields ^nns++++=fields
and ^cc++++=and
country ^nn++++=country
took ^vbd+++xvbn+=took
shape ^nn++++=shape
around ^rp++++=around
us ^pp1o+pp1+++=us--plough,
-- ^--+clp+++=EXTRAWORD
plough ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plough ^nn++++=plough
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
hard ^jj+atrb+++=hard
road ^npl++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
steep ^jj+atrb+++=steep
dip ^nn++++=dip
into ^in++++=into
a ^at++++=a
valley ^nn++++=valley
where ^wrb+who+++=where
branches ^nns++++=branches
met ^vbd+++xvbn+=met
over ^in++++=over
the ^ati++++=the
lane ^nn++++=lane
and ^cc++++=and
scratched ^vbd+++xvbn+=scratched
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
my ^pp$+pp1+++=my
