Did ^vbd+dod+aux++=Did
backing ^nvbg+++xvbg+=backing
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
" ^zz++++="
Bob ^np++++=Bob
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
" ^zz++++="
He ^pp3a+pp3+++=He
broke ^vbd+++xvbnx+=broke
off ^rb+cnj+++=off,
, ^zz++++=EXTRAWORD
glancing ^vbg+++xvbg+=glancing
at ^in++++=at
Doris ^np++++=Doris.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
clock ^nn++++=clock
began ^vbd+++xvbn+=began
to ^to++++=to
whirr ^vbi+++??+=whirr.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
came ^vbd+++xvbn+=came
rushing ^vbg+++xvbg+=rushing
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
bursting ^jj+++xvbg+=bursting
into ^in++++=into
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
moved ^vbd+++xvbn+=moved
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Shut
shut ^xvbn+++xvbn+=EXTRAWORD
that ^dt+dem+++=that
din ^nn+++??+=din
off ^in+strn+++=off,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
fist ^nn++++=fist
toward ^in++++=toward
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
snapped ^vbd+++xvbn+=snapped
into ^in++++=into
silence ^nn+nom+++=silence
and ^cc++++=and
retreated ^vbd+++xvbn+=retreated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
studied ^vbd+++xvbn+=studied
Doris ^np++++=Doris
and ^cc++++=and
Bob ^np++++=Bob,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
mutely ^jj++++=mutely
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
over ^rb++++=over
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bob ^np++++=Bob
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Doris
doris ^np++++=EXTRAWORD
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
rare ^jj++++=rare
antique ^jj++++=antique
and ^cc++++=and
that ^cs+sub+++=that
" ^zz++++="
" ^zz++++="Nuts.
nuts ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
walked ^vbd+++xvbn+=walked
up ^in+cmpx+++=up
to ^in"++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
out ^rb+phrv+++=out
of ^in++++=of
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Doris ^np++++=Doris.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
take ^vb++++=take
that ^dt+dem+++=that
damn ^nn++++=damn
clock ^nn++++=clock
with ^in++++=with
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
chin ^nn++++=chin.
. ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
the ^ati++++=the
clock ^nn++++=clock
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
it ^pp3+it+++=it
and ^cc++++=and
paid ^vpsv++agls+xvbn+=paid
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
weeks ^nns++++=weeks
that ^tht+rel+subj++=that
followed ^vwbn+vprv++xvbn+=followed
after ^cs+sub+++=after
Doris ^np++++=Doris
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
Larry ^np++++=Larry
and ^cc++++=and
the ^ati++++=the
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
got ^vbd+++xvbn+=got
along ^in++++=along
even ^rb++++=even
worse ^jjr++++=worse
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cuckoo ^nn++++=cuckoo
stayed ^vbd+++xvbn+=stayed
inside ^jjb++++=inside
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
even ^rb++++=even
at ^rb++++=at
twelve ^cd++++=twelve
o'clock ^rb++++=o'clock
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
busiest ^jjt++++=busiest.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
come ^vb++++=come
out ^rp+pl+++=out
at ^rb++++=at
all ^abn++++=all
he ^pp3a+pp3+++=he
usually ^rb+down+++=usually
spoke ^vbd+++xvbn+=spoke
only ^rb+down+++=only
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
never ^rb++++=never
the ^ati++++=the
correct ^jj+atrb+++=correct
number ^nn++++=number
of ^in++++=of
times ^nns++++=times.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sullen ^jj+atrb+++=sullen,
, ^zz++++=EXTRAWORD
uncooperative ^jj+atrb+++=uncooperative
note ^nn++++=note
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
a ^at++++=a
jarring ^nn++++=jarring
sound ^jj++++=sound
that ^cs+sub+++=that
made ^xvbn+++xvbn+=made
Larry ^np++++=Larry
uneasy ^jj++++=uneasy
and ^cc++++=and
a ^rb++++=a
little ^rb"++++=little
angry ^jj++++=angry.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
the ^ati++++=the
clock ^nn++++=clock
wound ^vbd+++xvbn+=wound,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
still ^rb++++=still
and ^cc++++=and
quiet ^jj++++=quiet
and ^cc++++=and
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
on ^in++++=on
his ^pp$+pp3+++=his
nerves ^nns++++=nerves
not ^xnot++not++=not
to ^to++++=to
hear ^vbi+vprv+++=hear
someone ^pn++++=someone
running ^jj+++xvbg+=running
around ^rp++++=around,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
and ^cc+phrs+++=and
dropping ^vbg+++xvbg+=dropping
things ^nns++++=things.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
even ^rb++++=even
the ^ati++++=the
whirring ^nn++++=whirring
of ^in++++=of
a ^at++++=a
clock ^nn++++=clock
sounded ^vbd+++xvbn+=sounded
good ^jj++++=good
to ^to+jcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
the ^ati++++=the
cuckoo ^nn++++=cuckoo
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
sometimes ^rb++++=sometimes
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen,"
listen ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
late ^jj+atrb+++=late
one ^cd1++++=one
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
closed ^jj+++xvbn+=closed
little ^ap++++=little
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
can ^md+pos+++=can
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
give ^vb++++=give
you ^pp2+pp2+++=you
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Germans ^nns+nom+++=Germans
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
Black ^jj+atrb+++=Black
Forest ^nn++++=Forest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paced ^vbd+++xvbnx+=paced
back ^jjb++++=back
and ^cc++++=and
forth ^rb++++=forth.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
what ^wdt+who+++=what
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
doing ^vbg+++xvbgx+=doing
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
young ^jj+atrb+++=young
punk ^nn+++??+=punk
with ^in++++=with
his ^pp$+pp3+++=his
books ^nns++++=books
and ^cc++++=and
his ^pp$+pp3+++=his
antiques ^nns++++=antiques.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
antiques ^nns++++=antiques;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
women ^nns++++=women."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
his ^pp$+pp3+++=his
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
that ^dt+dem+++=that
right ^jj++++=right?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
walked ^vbd+++xvbn+=walked
up ^rp++++=up
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Isn't
is ^vbz+bez+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
that ^dt+dem+++=that
right ^jj++++=right?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
anything ^pn++++=anything
to ^to++++=to
say ^vbi+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
eleven ^cd++++=eleven,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
a ^ap++++=a
few ^ap"++++=few
seconds ^nns++++=seconds
before ^in++++=before
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
wait ^vb++++=wait
until ^in++++=until
eleven ^cd++++=eleven.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
pretty ^rb++++=pretty
quiet ^nn++++=quiet
the ^ati++++=the
last ^rb++++=last
few ^ap++++=few
weeks ^nns++++=weeks
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
left ^vbd+++xvbnx+=left."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grinned ^vbd+++xvbnx+=grinned
wryly ^rb++++=wryly.
. ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it
here ^rn+pl+++=here
since ^cs+sub+++=since
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
scowled ^vbd+++xvbnx+=scowled.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
paid ^vbd+++xvbnx+=paid
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming
out ^rp+pl+++=out
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
like ^vb++++=like
it ^pp3+it+++=it
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Eleven ^cd++++=Eleven
o'clock ^rb++++=o'clock
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
town ^nn++++=town,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
tower ^nn++++=tower
clock ^nn++++=clock
boomed ^vbd+++xvbn+=boomed
sleepily ^rb++++=sleepily
to ^in++++=to
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
little ^jj+atrb+++=little
door ^nn++++=door
remained ^vbd+++xvbn+=remained
shut ^vbd+++xvbn+=shut.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
minute ^nn++++=minute
hand ^nn++++=hand
passed ^vbd+++xvbn+=passed
on ^rb+phrv+++=on
and ^cc++++=and
the ^ati++++=the
cuckoo ^nn++++=cuckoo
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stir ^vb++++=stir.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
someplace ^rb++++=someplace
inside ^jjb+pred+++=inside
the ^ati++++=the
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent
and ^cc+phrs+++=and
remote ^jj++++=remote.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Larry ^np++++=Larry
murmured ^vbd+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lips ^nns++++=lips
twisting ^vwbg+++xvbg+=twisting.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
fair ^jj++++=fair.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
job ^nn++++=job
to ^to++++=to
come ^vbi++++=come
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^rb++++=all
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
things ^nns++++=things
we ^pp1a+pp1+++=we
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
unhappily ^rb++++=unhappily
into ^in++++=into
the ^ati++++=the
kitchen ^nn++++=kitchen
and ^cc++++=and
opened ^vbd+++xvbn+=opened
the ^ati++++=the
great ^nn++++=great
gleaming ^vwbg+++xvbg+=gleaming
refrigerator ^nn++++=refrigerator.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
poured ^vbd+++xvbnx+=poured
himself ^ppl+pp3+++=himself
a ^at++++=a
drink ^nn++++=drink
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in++++=about
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
doubt ^nn++++=doubt
about ^in++++=about
it ^pp3+it+++=it
the ^ati++++=the
cuckoo ^nn++++=cuckoo
should ^md+nec+++=should
come ^vb++++=come
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Doris ^np++++=Doris
or ^cc++++=or
no ^at++++=no
Doris ^np++++=Doris.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
always ^rb++splt++=always
liked ^vprf+++xvbnx+=liked
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
very ^ql+amp+++=very
start ^vb++++=start.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
along ^rp++++=along
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
Bob ^np++++=Bob
too ^rb++++=too
probably ^rb++++=probably
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
enough ^qlp++++=enough
of ^in++++=of
Bob ^np++++=Bob
to ^to++++=to
get ^vbi++++=get
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
be ^vb+be+vrb++=be
quite ^rb++++=quite
happy ^jj+pred+++=happy
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
Bob ^np++++=Bob
and ^cc++++=and
Doris ^np++++=Doris
and ^cc++++=and
the ^ati++++=the
cuckoo ^nn++++=cuckoo.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
finished ^vbd+++xvbn+=finished
his ^pp$+pp3+++=his
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
drawer ^nn++++=drawer
at ^in++++=at
the ^ati++++=the
sink ^nn++++=sink
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
the ^ati++++=the
hammer ^nn++++=hammer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
it ^pp3+it+++=it
carefully ^rb++++=carefully
into ^in++++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
was ^vbd+bedz+aux++=was
ticking ^vbg+++xvbgx+=ticking
gently ^rb++++=gently
to ^in++++=to
itself ^ppl++++=itself
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="Look,"
look ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
the ^ati++++=the
hammer ^nn++++=hammer.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
with ^in++++=with
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
start ^vb++++=start
on ^in++++=on
you ^pp2+pp2+++=you
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="Birds
birds ^nns++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
feather ^nn++++=feather,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
the ^ati++++=the
three ^cd++++=three
of ^in++++=of
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
coming ^vbg+++xvbg+=coming
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
come ^vb++++=come
in ^in++++=in
and ^cc++++=and
get ^vb++++=get
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
whirred ^vbd+++xvbn+=whirred
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+tht0++=hear
you ^pp2+pp2+++=you
in ^in++++=in
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
talking ^xvbg+++xvbg+=talking
to ^to++++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
enough ^qlp++++=enough
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
three ^cd++++=three
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
figure ^nn++++=figure
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
owe ^vb++++=owe
me ^pp1o+pp1+++=me
" ^zz++++="
The ^ati++++=The
door ^nn++++=door
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cuckoo ^nn++++=cuckoo
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
fast ^rb+cnj+++=fast,
, ^zz++++=EXTRAWORD
straight ^rb++++=straight
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Larry ^np++++=Larry
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
down ^rp++++=down,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
brow ^nn++++=brow
wrinkled ^vwbn+++xvbn+=wrinkled
in ^in++++=in
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
