Mr ^npt++++=Mr.
Under ^in++++=Under
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^ql++++=so
very ^ql+amp+++=very
remarkable ^jj++++=remarkable--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
take ^vb++++=take
it ^pp3+it+++=it
as ^in++++=as
charitably ^rb++++=charitably
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
ran ^vbd+++xvbn+=ran
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
on ^in++++=on
some ^dti++++=some
such ^abl++++=such
glorious ^jj+atrb+++=glorious
close ^in+cmpx+++=close
to ^in"++++=to
his ^pp$+pp3+++=his
disappointed ^jj+atrb++xvbn+=disappointed
hopes ^nns++++=hopes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
razors ^nns++++=razors,
, ^zz++++=EXTRAWORD
pistols ^nns++++=pistols,
, ^zz++++=EXTRAWORD
bread ^nn++++=bread-knives,
- ^zz++++=EXTRAWORD
knives ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
touching ^jj+atrb++xvbg+=touching
letters ^nns+nom+++=letters
to ^in++++=to
the ^ati++++=the
coroner ^nn++++=coroner
denouncing ^vwbg+++xvbg+=denouncing
his ^pp$+pp3+++=his
enemies ^nns++++=enemies
by ^in++++=by
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
praying ^jj+++xvbg+=praying
piously ^rb++++=piously
for ^in++++=for
forgiveness ^nns+nom+++=forgiveness.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
time ^nn++++=time
his ^pp$+pp3+++=his
fierceness ^nns+nom+++=fierceness
gave ^vbd+++xvbn+=gave
way ^nn++++=way
to ^in++++=to
melancholia ^nn+++??+=melancholia.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married
in ^in++++=in
this ^dt+dem+++=this
very ^ap+amp+++=very
overcoat ^nn++++=overcoat,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
first ^od++++=first
and ^cc++++=and
only ^rb+down+++=only
frock ^nn++++=frock-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
buttoned ^vpsv++agls+xvbnx+=buttoned
up ^rp++++=up
beneath ^in+pl+++=beneath
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
recall ^vbi+vprv+tht0++=recall
their ^pp$+pp3+++=their
courting ^vbg+++xvbg+=courting
along ^in++++=along
this ^dt+dem+++=this
very ^ql+amp+++=very
walk ^vb++++=walk,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
years ^nns++++=years
of ^in++++=of
penurious ^jj++++=penurious
saving ^jj+++xvbg+=saving
to ^to++++=to
get ^vbi++++=get
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bright ^jj+atrb+++=bright
hopefulness ^nns+nom+++=hopefulness
of ^in++++=of
his ^pp$+pp3+++=his
marrying ^jj+atrb++xvbg+=marrying
days ^nns++++=days.
. ^zz++++=EXTRAWORD
For ^in++++=For
it ^pp3+it+++=it
all ^rb++++=all
to ^in++++=to
work ^nn++++=work
out ^rp+pl+++=out
like ^in++++=like
this ^dt+pdem+++=this!
! ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
there ^rn+pl+++=there
no ^at++++=no
sympathetic ^jj+atrb+++=sympathetic
ruler ^nn++++=ruler
anywhere ^rb++++=anywhere
in ^in++++=in
the ^ati++++=the
world ^nn++++=world?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reverted ^vbd+++xvbnx+=reverted
to ^in++++=to
death ^nn++++=death
as ^in++++=as
a ^at++++=a
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
canal ^nn++++=canal
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
crossed ^vprf+++xvbnx+=crossed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
doubted ^vbd+vprv++xvbn+=doubted
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
with ^in++++=with
his ^pp$+pp3+++=his
head ^jjb++++=head
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
while ^cs+sub+++=while
drowning ^nvbg+++xvbg+=drowning
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
the ^ati++++=the
purple ^jj+atrb+++=purple
pileus ^nns+++??+=pileus
caught ^vbd+++xvbn+=caught
his ^pp$+pp3+++=his
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
it ^pp3+it+++=it
mechanically ^rb++++=mechanically
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
stooped ^vbd+++xvbn+=stooped
towards ^in++++=towards
it ^pp3+it+++=it
to ^to++++=to
pick ^vbi++++=pick
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
impression ^nn++++=impression
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
some ^dti++++=some
such ^abl++++=such
small ^jj+atrb+++=small
leather ^nn++++=leather
object ^nn++++=object
as ^ql++++=as
a ^at++++=a
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
purple ^jj++++=purple
top ^jjb++++=top
of ^in++++=of
a ^at++++=a
fungus ^nns+++??+=fungus,
, ^zz++++=EXTRAWORD
a ^at++++=a
peculiarly ^rb++++=peculiarly
poisonous ^jj++++=poisonous-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
purple ^jj++++=purple:
: ^zz++++=EXTRAWORD
slimy ^jj++++=slimy,
, ^zz++++=EXTRAWORD
shiny ^jj++++=shiny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emitting ^nvbg+++xvbg+=emitting
a ^at++++=a
sour ^jj+atrb+++=sour
odour ^nn++++=odour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hesitated ^vbd+++xvbnx+=hesitated
with ^in++++=with
his ^pp$+pp3+++=his
hand ^nn++++=hand
an ^at++++=an
inch ^nn++++=inch
or ^cc++++=or
so ^rb++++=so
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
poison ^nn++++=poison
crossed ^vbd+++xvbn+=crossed
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
With ^in++++=With
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
picked ^vbd+++xvbnx+=picked
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
up ^rp++++=up
again ^rb+tm+++=again
with ^in++++=with
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
The ^ati++++=The
odour ^nn++++=odour
was ^vbd+bedz+vrb++=was
certainly ^rb++++=certainly
strong ^jj+pred+++=strong--acrid,
-- ^--+clp+++=EXTRAWORD
acrid ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
no ^at++++=no
means ^nns++++=means
disgusting ^vwbg+++xvbg+=disgusting.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off
a ^at++++=a
piece ^nn++++=piece,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fresh ^jj+atrb+++=fresh
surface ^nn++++=surface
was ^vbd+bedz+vrb++=was
a ^at++++=a
creamy ^jj+atrb+++=creamy
white ^nn++++=white,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
changed ^vprf+++xvbn+=changed
like ^in++++=like
magic ^nn++++=magic
in ^in++++=in
the ^ati++++=the
space ^nn++++=space
of ^in++++=of
ten ^cd++++=ten
seconds ^nns++++=seconds
to ^in++++=to
a ^at++++=a
yellowish ^jj++++=yellowish-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
even ^rb++++=even
an ^at++++=an
inviting ^jj+++xvbg+=inviting-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
change ^nn++++=change.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
broke ^vbd+++xvbnx+=broke
off ^rb+phrv+++=off
two ^cd++++=two
other ^ap++++=other
pieces ^nns++++=pieces
to ^to++++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
wonderful ^jj+atrb+++=wonderful
things ^nns++++=things
these ^dt+dem+++=these
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
the ^ati++++=the
deadliest ^jjt+atrb+++=deadliest
poisons ^nns++++=poisons,
, ^zz++++=EXTRAWORD
as ^ql++++=as
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vb+hv+aux++=had
often ^rb++splt++=often
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Deadly ^rb++++=Deadly
poisons ^nns++++=poisons!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
time ^nn++++=time
like ^in++++=like
the ^ati++++=the
present ^jj+atrb+++=present
for ^in++++=for
a ^at++++=a
rash ^nn++++=rash
resolve ^nn++++=resolve.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
not ^xnot++not++=not
here ^rn+pl+++=here
and ^cc+phrs+++=and
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tasted ^vprf+++xvbn+=tasted
a ^rb++++=a
little ^rb"++++=little
piece ^nn++++=piece,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
little ^ap++++=little
piece ^nn++++=piece
indeed ^rb++++=indeed--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
mere ^jjb+atrb+++=mere
crumb ^nn++++=crumb.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
pungent ^jj++++=pungent
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
almost ^rb+hdg+++=almost
spat ^vbd+++xvbn+=spat
it ^pp3+it+++=it
out ^rp+pl+++=out
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
merely ^rb+down+++=merely
hot ^jj++++=hot
and ^cc+phrs+++=and
full ^jj++++=full-flavoured:
- ^zz++++=EXTRAWORD
flavoured ^vwbn+++xvbn+=EXTRAWORD
: ^zz++++=EXTRAWORD
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
German ^jj+atrb+++=German
mustard ^nn++++=mustard
with ^in++++=with
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
horse ^nn++++=horse-radish
- ^zz++++=EXTRAWORD
radish ^jj++++=EXTRAWORD
and ^cc++++=and--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mushroom ^nn++++=mushroom.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
swallowed ^vbd+++xvbnx+=swallowed
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
excitement ^nn+nom+++=excitement
of ^in++++=of
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
he ^pp3a+pp3+++=he
like ^vb++++=like
it ^pp3+it+++=it
or ^cc++++=or
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
curiously ^rb++++=curiously
careless ^jj+pred+++=careless.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
try ^vb++++=try
another ^dt++++=another
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
bad ^jj++++=bad--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forgot ^vbd+vprv+tht0+xvbnx+=forgot
his ^pp$+pp3+++=his
troubles ^nns++++=troubles
in ^in++++=in
the ^ati++++=the
interest ^nn++++=interest
of ^in++++=of
the ^ati++++=the
immediate ^jj+atrb+++=immediate
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Playing ^vbg+++xvbg+=Playing
with ^in++++=with
death ^nn++++=death
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
another ^dt++++=another
bite ^vb++++=bite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
deliberately ^rb++++=deliberately
finished ^vbd+++xvbn+=finished
a ^at++++=a
mouthful ^nn+nom+++=mouthful.
. ^zz++++=EXTRAWORD
A ^at++++=A
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
tingling ^vbg+nom++xvbg+=tingling
sensation ^nn+nom+++=sensation
began ^vbd+++xvbn+=began
in ^in++++=in
his ^pp$+pp3+++=his
finger ^nn++++=finger-tips
- ^zz++++=EXTRAWORD
tips ^nns++++=EXTRAWORD
and ^cc++++=and
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pulse ^nn++++=pulse
began ^vbd+++xvbn+=began
to ^to++++=to
move ^vbi++++=move
faster ^rbr++++=faster.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
in ^in++++=in
his ^pp$+pp3+++=his
ears ^nns++++=ears
sounded ^vbd+++xvbn+=sounded
like ^in++++=like
a ^at++++=a
mill ^nn++++=mill-race.
- ^zz++++=EXTRAWORD
race ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
bi ^nn+++??+=bi'
' ^zz++++=EXTRAWORD
more ^rbr++++=more,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
his ^pp$+pp3+++=his
feet ^nns++++=feet
unsteady ^jj++++=unsteady.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
struggled ^vpsv++agls+xvbn+=struggled
towards ^in+strn+++=towards,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
patch ^nn++++=patch
of ^in++++=of
purple ^nn++++=purple
a ^at++++=a
dozen ^cd++++=dozen
yards ^nns++++=yards
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Jol'
jol ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
goo ^nn+++??+=goo'
' ^zz++++=EXTRAWORD
stuff ^nn++++=stuff,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes.
. ^zz++++=EXTRAWORD
" ^zz++++="E--lomore
e ^zz++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
lomore ^nn+++??+=EXTRAWORD
ye ^pp2+pp2+++=ye'."
'." ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
pitched ^vbd+++xvbnx+=pitched
forward ^rb++++=forward
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
on ^in+ppvb+++=on
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
outstretched ^jj++++=outstretched
towards ^in++++=towards
the ^ati++++=the
cluster ^nn+nom+++=cluster
of ^in++++=of
pilei ^nn+++??+=pilei.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
eat ^vb++++=eat
any ^dti++++=any
more ^rbr++++=more
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forgot ^vbd+vprv++xvbnx+=forgot
forthwith ^rb++++=forthwith.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rolled ^vbd+++xvbnx+=rolled
over ^in++++=over
and ^cc++++=and
sat ^vbd+++xvbn+=sat
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
look ^nn++++=look
of ^in++++=of
astonishment ^nn+nom+++=astonishment
on ^in++++=on
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
carefully ^rb++++=carefully
brushed ^jj+atrb++xvbn+=brushed
silk ^nn++++=silk
hat ^nn++++=hat
had ^vbd+hvd+aux++=had
rolled ^vprf+++xvbnx+=rolled
away ^rp+pl+++=away
towards ^in++++=towards
the ^ati++++=the
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pressed ^vbd+++xvbnx+=pressed
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^in++++=to
his ^pp$+pp3+++=his
brow ^nn++++=brow.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
rightly ^rb++++=rightly
determine ^vb++++=determine
what ^wdt+who+++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Anyhow ^rb+cnj+++=Anyhow,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
dull ^jj++++=dull--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
felt ^vbd+vprv++xvbnx+=felt
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
cheerful ^jj++++=cheerful.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
his ^pp$+pp3+++=his
throat ^nn++++=throat
was ^vbd+bedz+vrb++=was
afire ^nn+++??+=afire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
in ^in++++=in
the ^ati++++=the
sudden ^jj+atrb+++=sudden
gaiety ^nn++++=gaiety
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
dull ^jj++++=dull?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
dull ^jj+pred+++=dull
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
up ^rp++++=up
and ^cc++++=and
stood ^vbd+++xvbn+=stood
unsteadily ^rb+cnj+++=unsteadily,
, ^zz++++=EXTRAWORD
regarding ^in++++=regarding
the ^ati++++=the
universe ^nn++++=universe
with ^in++++=with
an ^at++++=an
agreeable ^jj+atrb+++=agreeable
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
remember ^nn+nom+++=remember.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
remember ^nn+nom+++=remember
very ^ql+amp+++=very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
of ^in"++++=of
a ^at++++=a
steam ^nn++++=steam
roundabout ^nn++++=roundabout
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
in ^in++++=in
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
disagreeable ^jj++++=disagreeable
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
be ^vbi++vrb++=be
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
quite ^rb++++=quite
right ^jj+pred+++=right;
; ^zz++++=EXTRAWORD
life ^nn++++=life
should ^md+nec+++=should
be ^vb+be+vrb++=be
as ^ql++++=as
gay ^np++++=gay
as ^ql++++=as
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
go ^vb++++=go
home ^nr++++=home
and ^cc++++=and
make ^vb++++=make
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reassure ^vb++++=reassure
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+++=why
not ^xnot++not++=not
take ^vb++++=take
some ^dti++++=some
of ^in++++=of
this ^dt+dem+++=this
delightful ^jj+atrb+++=delightful
toadstool ^nn+++??+=toadstool
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
them ^pp3o+pp3+++=them
to ^to++++=to
eat ^vbi++++=eat?
? ^zz++++=EXTRAWORD
A ^at++++=A
hatful ^nn++++=hatful,
, ^zz++++=EXTRAWORD
no ^at++++=no
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
those ^dt+dem+++=those
red ^jj+atrb+++=red
ones ^pn++++=ones
with ^in++++=with
white ^nn++++=white
spots ^vbz++++=spots
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^ap++++=a
few ^ap"++++=few
yellow ^nn++++=yellow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
dull ^jj+atrb+++=dull
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
an ^at++++=an
enemy ^nn++++=enemy
to ^in++++=to
merriment ^nn+nom+++=merriment;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
up ^rp++++=up
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
gay ^jj+pred+++=gay
to ^to++++=to
turn ^vbi++++=turn
his ^pp$+pp3+++=his
coat ^nn++++=coat-sleeves
- ^zz++++=EXTRAWORD
sleeves ^nns++++=EXTRAWORD
inside ^jjb++++=inside
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stick ^nn++++=stick
some ^dti++++=some
yellow ^jj+atrb+++=yellow
gorse ^nn++++=gorse
into ^in++++=into
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
home ^nr++++=home--singing---for
-- ^--+clp+++=EXTRAWORD
singing ^vbg+++xvbg+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
a ^at++++=a
jolly ^jj+atrb+++=jolly
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
departure ^nn++++=departure
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
discontinued ^vwbn+++xvbn+=discontinued
playing ^nvbg+++xvbg+=playing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
