' ^zz++++='Way
springing ^vwbg+++xvbg+=springing
over ^in++++=over
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Ada ^np+++??+=Ada
Lambert ^np++++=Lambert
knew ^vbd+vprv++xvbn+=knew
of ^in++++=of
the ^ati++++=the
legacy ^nn++++=legacy
which ^whp+rel+obj++=which
the ^ati++++=the
dead ^jj+atrb+++=dead
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
set ^vbd+++xvbnx+=set
up ^rb+phrv+++=up
her ^pp$+pp3+++=her
dimly ^rb++++=dimly
remembered ^vbd+vprv++xvbn+=remembered
face ^nn++++=face,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
saint ^nn++++=saint's,
's, ^nn+++??+=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
orthodox ^jj+atrb+++=orthodox
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
rosy ^jj+atrb+++=rosy
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
heavy ^jj++++=heavy-lidded,
- ^zz++++=EXTRAWORD
lidded ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
resolute ^jj+atrb+++=resolute
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
smoothly ^rb++++=smoothly
crimped ^jj+++xvbn+=crimped,
, ^zz++++=EXTRAWORD
gray ^np++++=gray-yellow
- ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=EXTRAWORD
hair ^nn++++=hair
gleamed ^vbd+++xvbn+=gleamed
out ^rp+pl+++=out
of ^in++++=of
its ^pp$+it+++=its
inner ^jjb++++=inner
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
worshiped ^vbd+++xvbnx+=worshiped
it ^pp3+it+++=it
with ^in++++=with
purest ^jjt+atrb+++=purest
offerings ^nns++++=offerings
of ^in++++=of
love ^nn++++=love
and ^cc++++=and
pity ^nn++++=pity
and ^cc++++=and
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
worth ^in++++=worth
the ^ati++++=the
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
Angeline ^np+++??+=Angeline
was ^vbd+bedz+aux++=was
really ^rb+emph+splt++=really
canonized ^vpsv++agls+xvbnx+=canonized
in ^in++++=in
return ^in"++++=return
for ^in"++++=for
her ^pp$+pp3+++=her
long ^rb++++=long
years ^nns++++=years
of ^in++++=of
silent ^jj+atrb+++=silent
suffering ^nvbg+++xvbg+=suffering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
own ^ap++++=own
shrine ^nn++++=shrine
and ^cc++++=and
her ^pp$+pp3+++=her
own ^ap++++=own
devotee ^nn++++=devotee.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
even ^rb++++=even
had ^vb+hv+vrb++=had
her ^pp$+pp3+++=her
tender ^jj+atrb+++=tender
vengeance ^nn+nom+++=vengeance
over ^rp++++=over
her ^pp3o+pp3+++=her
long ^jj++++=long-dead
- ^zz++++=EXTRAWORD
dead ^jj++++=EXTRAWORD
rival ^jjb++++=rival,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pretty ^rb++++=pretty
school ^nn++++=school-teacher
- ^zz++++=EXTRAWORD
teacher ^nn++++=EXTRAWORD
whom ^whp+rel+obj++=whom
Edward ^np++++=Edward
Lambert ^np++++=Lambert
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
could ^md+pos+++=could
not ^xnot++not++=not
remember ^nn+nom+++=remember
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
face ^nn++++=face
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
so ^ql++++=so
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Angeline ^np+++??+=Angeline
Laurence ^np+nom+++=Laurence's
's ^$++++=EXTRAWORD
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
now ^rn+tm+++=now
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^in++++=to
her ^pp$+pp3+++=her
girlish ^jj+atrb+++=girlish
craving ^nn++++=craving.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
all ^abn++++=all
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
half ^abn++++=half-shamefacedly,
- ^zz++++=EXTRAWORD
shamefacedly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing
of ^in++++=of
love ^nn++++=love,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
dreams ^nps++++=dreams
and ^cc++++=and
delicate ^jj+atrb+++=delicate
imaginings ^nns+++??+=imaginings.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
confronted ^vpsv++by+xvbn+=confronted
by ^in++++=by
the ^ati++++=the
reality ^nn+nom+++=reality
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
lives ^nns++++=lives
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
dead ^jj+atrb+++=dead
father ^nn++++=father
and ^cc++++=and
this ^dt+dem+++=this
dead ^jj+atrb+++=dead
woman ^nn++++=woman
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
all ^abn++++=all
a ^at++++=a-tremble
- ^zz++++=EXTRAWORD
tremble ^vb++++=EXTRAWORD
with ^in++++=with
indignation ^nn+nom+++=indignation
and ^cc++++=and
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
everything ^pn++++=everything
of ^in++++=of
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
girl ^nn++++=girl
to ^in++++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
little ^ap++++=little
face ^nn++++=face
all ^abn++++=all
flushed ^jj+++xvbn+=flushed
and ^cc+phrs+++=and
troubled ^jj+++xvbn+=troubled.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
known ^vprf+++xvbnx+=known,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
grandmother ^nn+nom+++=grandmother;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
in ^in++++=in
and ^cc++++=and
seen ^vbd+vprv++xvbn+=seen
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sick ^jj+pred+++=sick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
folks ^nns++++=folks
would ^md+prd+++=would
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
went ^vbd+++xvbn+=went
after ^in++++=after
her ^pp3o+pp3+++=her
money ^nn++++=money,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
as ^ql++++=as
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
cared ^vprf+++xvbnx+=cared
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
used ^md"++pmd"++=used
to ^to++++=to
take ^vb++++=take
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
pains ^nns++++=pains
to ^to++++=to
speak ^vbi++++=speak
to ^in++++=to
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
used ^md"++pmd"++=used
to ^to++++=to
look ^vb++++=look
at ^in++++=at
me ^pp1o+pp1+++=me
real ^jj++++=real
kind ^rb++++=kind
of ^rb"++++=of
funny ^jj++++=funny.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
meant ^vbd+vprv++xvbn+=meant."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
the ^ati++++=the
way ^nn++++=way
your ^pp$+pp2+++=your
father ^nn++++=father
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twa'n't
wa' ^jj+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
anything ^pn++++=anything
against ^in++++=against
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Against
against ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
guess ^vb++++=guess
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't!"
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ada ^np++++=Ada's
's ^$++++=EXTRAWORD
legacy ^nn++++=legacy
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
house ^nn++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
yard ^nn++++=yard
and ^cc++++=and
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
over ^in++++=over
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
key ^nn++++=key
into ^in++++=into
her ^pp$+pp3+++=her
own ^ap++++=own
possession ^nn++++=possession
and ^cc++++=and
went ^vbd+++xvbn+=went
over ^rp++++=over
her ^pp3o+pp3+++=her
new ^jj+atrb+++=new
domicile ^nn+++??+=domicile,
, ^zz++++=EXTRAWORD
in ^in++++=in
company ^nn++++=company
with ^in++++=with
her ^pp$+pp3+++=her
admiring ^vbg+++xvbg+=admiring
grandparents ^nns++++=grandparents,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era
in ^in++++=in
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Stepping ^vbg+++xvbg+=Stepping
over ^in++++=over
that ^dt+dem+++=that
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stepped ^vbd+++xvbnx+=stepped
also ^rb++++=also
a ^at++++=a
pace ^nn++++=pace
farther ^rbr++++=farther
into ^in++++=into
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
love ^nn++++=love
and ^cc++++=and
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
led ^vpsv++agls+xvbnx+=led
on ^in++++=on
by ^in++++=by
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
experience ^nn+nom+++=experience
instead ^rb+cnj+++=instead
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Emerging ^vbg+++xvbg+=Emerging
at ^rb++++=at
last ^rb"++++=last
from ^in++++=from
these ^dt+dem+++=these
little ^jj++++=little,
, ^zz++++=EXTRAWORD
simple ^jj+atrb+++=simple,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
longer ^rbr++++=longer
road ^nn++++=road
to ^to++++=to
look ^vbi++++=look
back ^jjb++++=back
upon ^in+strn+++=upon.
. ^zz++++=EXTRAWORD
Angeline ^np+++??+=Angeline
Laurence ^np+nom+++=Laurence's
's ^$++++=EXTRAWORD
memory ^nn++++=memory
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
pretty ^rb++++=pretty
well ^rb++++=well
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
grandmother ^nn+nom+++=grandmother
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
honest ^jj+atrb+++=honest
gratulation ^nn+nom+++=gratulation,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
riding ^jj+atrb++xvbg+=riding
home ^nr++++=home.
. ^zz++++=EXTRAWORD
" ^zz++++="Everythin'
everythin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
have ^vb+hv+vrb++=have
such ^abl++++=such
nice ^jj+atrb+++=nice
things ^nns++++=things.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
chiny ^nn+++??+=chiny
and ^cc++++=and
other ^ap++++=other
dishes ^nns++++=dishes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
table ^nn++++=table-cloths,
- ^zz++++=EXTRAWORD
cloths ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
plenty ^nn++++=plenty
of ^in++++=of
beddin ^nn+++??+=beddin'.
'. ^nn+++??+=EXTRAWORD
And ^cc++++0=An'
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
look ^vb++++=look
in ^in++++=in
them ^pp3o+pp3+++=them
bureau ^nn++++=bureau
drawers ^nns+nom+++=drawers?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ada ^np+++??+=Ada,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
to ^to++++=to
crying ^vbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
grandmother ^nn+nom+++=grandmother
looked ^vbd+++xvbn+=looked
wonderingly ^jj++++=wonderingly
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
it ^pp3+it+++=it
makes ^vbz++++=makes
anybody ^pn++++=anybody
feel ^vb+vprv+++=feel
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Angeline ^np+++??+=Angeline,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
all ^rb++++=all
have ^md"++pmd"++=have
to ^md+nec+++=to
come ^vb++++=come
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
has ^md"++pmd"++=has
to ^md+nec+++=to
be ^vbi++vrb++=be
left ^jj+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
livin ^nn+++??+=livin'
' ^zz++++=EXTRAWORD
has ^md"++pmd"++=has
to ^md+nec+++=to
make ^vb++++=make
use ^nn++++=use
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
real ^rb+emph+++=real
good ^jj+atrb+++=good
black ^jj+atrb+++=black
silk ^nn++++=silk
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
chamber ^nn++++=chamber
closet ^nn++++=closet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
nice ^jj++++=nice
brown ^jj++++=brown
woolen ^jj+++xvbn+=woolen.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'd
'd ^md+prd+aux++0=EXTRAWORD
make ^vb++++=make
over ^in++++=over
real ^rb+emph+++=real
nice ^jj++++=nice
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
use ^nn++++=use
savin ^nn+++??+=savin'
' ^zz++++=EXTRAWORD
such ^abl++++=such
things ^nns++++=things
for ^in++++=for
the ^ati++++=the
moths ^nns++++=moths
to ^to++++=to
eat ^vbi++++=eat
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Angeline ^np++++=Angeline's
's ^$++++=EXTRAWORD
clothes ^nns++++=clothes
hung ^vbd+++xvbn+=hung
undisturbed ^jj++++=undisturbed
in ^in++++=in
her ^pp$+pp3+++=her
closets ^vbz+++??+=closets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
dainty ^jj+atrb+++=dainty
store ^nn++++=store
of ^in++++=of
linen ^nn++++=linen
lay ^vbd+++xvbn+=lay
folded ^vbd+++xvbn+=folded
in ^in++++=in
her ^pp$+pp3+++=her
bureau ^nn++++=bureau,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Lambert ^np++++=Lambert's
's ^$++++=EXTRAWORD
protests ^nns++++=protests.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
them ^pp3o+pp3+++=them
touched ^vbd+++xvbn+=touched.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
house ^nn++++=house
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
rented ^vpsv++agls+xvbnx+=rented
and ^cc+phrs+++=and
stood ^vbd+++xvbn+=stood
vacant ^jj++++=vacant
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
that ^dt+dem+++=that
time ^nn++++=time
her ^pp$+pp3+++=her
grandparents ^nns++++=grandparents
died ^vbd+++xvbn+=died
within ^in++++=within
a ^at++++=a
month ^nn++++=month
of ^in++++=of
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ada ^np+++??+=Ada
sold ^vwbn+++xvbn+=sold
the ^ati++++=the
lonely ^jj+atrb+++=lonely
farm ^nn++++=farm
and ^cc++++=and
went ^vbd+++xvbn+=went
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
her ^pp$+pp3+++=her
little ^ap++++=little
village ^nn+nom+++=village
house ^nn++++=house.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
four ^cd++++=four
thousand ^cd++++=thousand
dollars ^nns++++=dollars
in ^in++++=in
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
People ^nns++++=People
thought ^vbd+++xvbn+=thought
her ^pp3o+pp3+++=her
remarkably ^rb++++=remarkably
fortunate ^jj++++=fortunate.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
marveled ^vbd+++xvbnx+=marveled
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
idea ^nn++++=idea
of ^in++++=of
that ^dt+dem+++=that
young ^jj+atrb+++=young
thing ^nn++++=thing
living ^vwbg+++xvbg+=living
all ^abn++++=all
alone ^rb+cnj+++=alone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Ada ^np+++??+=Ada
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty
and ^cc++++=and
looked ^vbd+++xvbn+=looked
seventeen ^cd++++=seventeen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
combed ^vbd+++xvbnx+=combed
her ^pp$+pp3+++=her
pale ^nn++++=pale
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair
straight ^rb++++=straight
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
net ^nn++++=net
like ^in++++=like
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
into ^in+ppvb+++=into
people ^nns++++=people's
's ^$++++=EXTRAWORD
faces ^nns++++=faces
directly ^rb++++=directly
and ^cc++++=and
questioningly ^jj++++=questioningly,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Kindly ^rb++++=Kindly
women ^nns++++=women
made ^vbd+++xvbn+=made
plans ^nns++++=plans
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
proposed ^vbd+++xvbnx+=proposed
lone ^jjb+atrb+++=lone
females ^nns++++=females
dressmakers ^nns+nom+++=dressmakers
and ^cc++++=and
tailoresses ^nns+nom++??+=tailoresses
for ^in++++=for
companions ^nns++++=companions;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
provided ^vbd+vsua++xvbnx+=provided
other ^ap++++=other
homes ^nrs++++=homes;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
little ^jj++++=little,
, ^zz++++=EXTRAWORD
innocent ^jj++++=innocent-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
girl ^nn++++=girl
was ^vbd+bedz+vrb++=was
resolute ^jj+pred+++=resolute.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
married ^jj+++xvbn+=married,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
covering ^vbg+++xvbg+=covering
their ^pp$+pp3+++=their
defeat ^nn++++=defeat
with ^in++++=with
knowing ^xvbg+++xvbg+=knowing
looks ^nns++++=looks.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
sharply ^rb+cnj+++=sharply,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
circumspect ^vb+++??+=circumspect.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
always ^rb++splt++=always
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
simple ^jj+atrb+++=simple,
