Moistening ^np+++??+=Moistening
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
toss ^nn++++=toss
and ^cc++++=and
moan ^nn++++=moan
as ^in++++=as
the ^ati++++=the
waves ^nns++++=waves
swished ^vbd+++xvbn+=swished
against ^in++++=against
the ^ati++++=the
liner ^nn++++=liner's
's ^$++++=EXTRAWORD
sides ^nns++++=sides
and ^cc++++=and
an ^at++++=an
ocean ^nn++++=ocean
dawn ^nn++++=dawn
stole ^vbd+++xvbn+=stole
foggily ^jj++++=foggily
through ^in++++=through
the ^ati++++=the
porthole ^nn++++=porthole.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
failure ^nn++++=failure
at ^in++++=at
the ^ati++++=the
work ^nn++++=work
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved.
. ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider
the ^ati++++=the
emotions ^nns+nom+++=emotions
of ^in++++=of
an ^at++++=an
artist ^nn++++=artist
who ^whp+rel+subj++=who
suddenly ^rb++++=suddenly
realizes ^vbz+vprv+++=realizes
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
masterpiece ^nn++++=masterpiece
is ^vbz+bez+vrb++=is
a ^at++++=a
tawdry ^nn++++=tawdry
smear ^vb++++=smear;
; ^zz++++=EXTRAWORD
consider ^nn+nom+++=consider
the ^ati++++=the
shock ^nn++++=shock
to ^in++++=to
a ^at++++=a
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
proud ^jj++++=proud
of ^in++++=of
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
finds ^vbz+vprv+++=finds
a ^at++++=a
blot ^nn++++=blot
black ^jj++++=black
as ^ql++++=as
midnight ^nn++++=midnight
on ^in++++=on
the ^ati++++=the
escutcheon ^nn+++??+=escutcheon
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
for ^in++++=for
many ^ap++++=many
prideful ^nn+nom+++=prideful
years ^nns++++=years
thought ^vbd+++xvbn+=thought
stainless ^jj++++=stainless.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
the ^ati++++=the
crushed ^jj+++xvbn+=crushed
Pettipon ^np+++??+=Pettipon
came ^vbd+++xvbn+=came
the ^ati++++=the
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
even ^cs+sub+++=even
though ^cs+sub+++=though
his ^pp$+pp3+++=his
job ^nn++++=job
was ^vbd+bedz+aux++=was
irretrievably ^rb++splt++=irretrievably
lost ^vpsv++agls+xvbnx+=lost
he ^pp3a+pp3+++=he
still ^rb++++=still
might ^md+pos+++=might
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
save ^vb++++=save
his ^pp$+pp3+++=his
honor ^nn++++=honor.
. ^zz++++=EXTRAWORD
As ^ql++++=As
early ^jj++++=early
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
immediate ^jj+atrb+++=immediate
superior ^nn++++=superior.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
tears ^nns++++=tears
in ^in++++=in
Monsieur ^npt++++=Monsieur
Pettipon ^np++++=Pettipon's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
and ^cc++++=and
voice ^nn++++=voice
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Monsieur
monsieur ^npt++++=EXTRAWORD
Deveau ^np+++??+=Deveau,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
misfortune ^nn++++=misfortune,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
doubtless ^rb++splt++=doubtless
been ^vprf+ben+aux+xvbnx+=been
informed ^vpsv++agls+xvbnx+=informed,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
overtaken ^vprf+++xvbnx+=overtaken
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
head ^jjb+atrb+++=head
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class
looked ^vbd+++xvbn+=looked
up ^rp++++=up
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
bearish ^jj+atrb+++=bearish
mood ^nn++++=mood,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
eleven ^cd++++=eleven
francs ^nns++++=francs
at ^in++++=at
cards ^nns++++=cards
the ^ati++++=the
night ^nn++++=night
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
brusquely ^rb++++=brusquely.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
heard ^vprf+++xvbnx+=heard
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
heard ^vprf+++xvbnx+=heard
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
trembled ^vbd+++xvbn+=trembled
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
aloud ^rb+cnj+++=aloud,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
faithful ^np+nom+++=faithful
work ^nn++++=work
on ^in++++=on
the ^ati++++=the
Voltaire ^np+++??+=Voltaire
for ^in++++=for
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Deveau ^np+++??+=Deveau,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
has ^vbz+hvz+vrb++=has
never ^rb++++=never
before ^in++++=before
happened ^nn++++=happened."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
thing ^nn++++=thing?
? ^zz++++=EXTRAWORD
Of ^in++++=Of
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
speak ^vb++++=speak?
? ^zz++++=EXTRAWORD
Out ^rp+pl+++=Out
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="This!"
this ^dt+pdem+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon
tragically ^rb++++=tragically.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thrust ^vbd+++xvbnx+=thrust
out ^rp+pl+++=out
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
paw ^npt++++=paw
of ^in++++=of
a ^at++++=a
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
in ^in++++=in
it ^pp3+it+++=it
nestled ^vbd+++xvbn+=nestled
a ^at++++=a
small ^jj+atrb+++=small
dark ^jj+atrb+++=dark
object ^nn++++=object,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
lifeless ^jj++++=lifeless.
. ^zz++++=EXTRAWORD
The ^ati++++=The
head ^jjb+atrb+++=head
steward ^nn++++=steward
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
a ^at++++=a
swift ^jj+atrb+++=swift
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah!"
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed
petulantly ^jj++++=petulantly.
. ^zz++++=EXTRAWORD
" ^zz++++="Must
must ^md+nec+++=EXTRAWORD
you ^pp2+pp2+++=you
trouble ^nn++++=trouble
me ^pp1o+pp1+++=me
with ^in++++=with
your ^pp$+pp2+++=your
pets ^nns++++=pets
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
busy ^jj+pred+++=busy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pets,
pets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
aghast ^jj+atrb+++=aghast
Pettipon ^np+++??+=Pettipon
raised ^vbd+++xvbn+=raised
protesting ^vbg+++xvbg+=protesting
hands ^nns++++=hands
toward ^in++++=toward
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
never ^rb++++=never
in ^in++++=in
this ^dt+dem+++=this
life ^nn++++=life,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
bring ^vb++++=bring
him ^pp3o+pp3+++=him
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
such ^abl++++=such
great ^jj+atrb+++=great
care ^nn++++=care?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
discuss ^vbi++++=discuss
entomology ^nn+++??+=entomology
at ^rb++++=at
six ^cd++++=six
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
that ^dt+dem+++=that
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
curiosity ^nn+nom+++=curiosity
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But--but
but ^cc++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
cabins ^nns++++=cabins,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
" ^zz++++="Indeed?"
indeed ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
head ^jjb+atrb+++=head
steward ^nn++++=steward
was ^vbd+bedz+aux++=was
growing ^vbg+++xvbgx+=growing
impatient ^jj++++=impatient.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
hook ^nn++++=hook
and ^cc++++=and
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
him ^pp3o+pp3+++=him
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Drown ^vb++++=Drown
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Bury ^np++++=Bury
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Burn ^nn++++=Burn
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
I ^pp1a+pp1+++=I
care ^nn++++=care?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
furious ^jj+pred+++=furious,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
" ^zz++++="at
at ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
sin ^nn++++=sin.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
pretending ^vbg+++xvbgx+=pretending
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
save ^vb++++=save
up ^rp++++=up
his ^pp$+pp3+++=his
wrath ^nn++++=wrath
until ^in++++=until
the ^ati++++=the
Voltaire ^np+++??+=Voltaire
returns ^nns++++=returns
to ^in++++=to
France ^np++++=France,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
will ^md+prd+++=will
denounce ^vb++++=denounce
me ^pp1o+pp1+++=me
before ^in++++=before
the ^ati++++=the
whole ^jj+atrb+++=whole
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
company ^nn++++=company.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
these ^dt+dem+++=these
long ^jj++++=long-nosed
- ^zz++++=EXTRAWORD
nosed ^vbd+++xvbn+=EXTRAWORD
Normans ^nns+nom++??+=Normans.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
so ^ql++++=so,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
save ^vb++++=save
my ^pp$+pp1+++=my
honor ^nn++++=honor
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
toward ^in++++=toward
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward
and ^cc++++=and
said ^vpsv++agls+xvbn+=said
with ^in++++=with
great ^jj+atrb+++=great
earnestness ^nns+nom+++=earnestness
of ^in++++=of
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
assure ^vb++++=assure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
every ^at++++=every
precaution ^nn+nom+++=precaution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passenger ^nn+nom+++=passenger
who ^whp+rel+subj++=who
occupies ^vbz++++=occupies
the ^ati++++=the
cabin ^nn++++=cabin
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
between ^in++++=between
ourselves ^ppls+pp1+++=ourselves,
, ^zz++++=EXTRAWORD
a ^at++++=a
fellow ^nn++++=fellow
of ^in++++=of
great ^jj+atrb+++=great
dirtiness ^nns+nom+++=dirtiness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
convinced ^vpsv++agls+xvbnx+=convinced
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
this ^dt+dem+++=this
aboard ^in+pl+++=aboard
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
I ^pp1a+pp1+++=I
not ^xnot++not++=not
say ^vb+vpub+++=say
to ^to+vcmp+++=to
Georges ^vb+++??+=Georges
Prunier ^np+++??+=Prunier--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
steward ^nn++++=steward
in ^in++++=in
the ^ati++++=the
corridor ^nn++++=corridor
next ^in+cmpx+++=next
to ^in++++=to
mine-- ^nn+++??+=mine--'Georges,
'georges, ^nn+++??+=EXTRAWORD
old ^jj+atrb+++=old
oyster ^nn++++=oyster,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
hairy ^jj++++=hairy
fellow ^jjb++++=fellow
in ^in++++=in
C ^zz++++=C
346 ^cd++++=346
has ^vbz+hvz+vrb++=has
a ^at++++=a
look ^nn++++=look
of ^in++++=of
itchiness ^nns+nom+++=itchiness
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
fancy ^vb+vprv+++=fancy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
on ^in++++=on
my ^pp$+pp1+++=my
guard ^nn++++=guard.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
ask ^vb++++=ask
Georges ^np+++??+=Georges
Prunier ^np+++??+=Prunier--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
honest ^jj++++=honest
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward--if
-- ^--+clp+++=EXTRAWORD
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Georges ^np+++??+=Georges
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='Alphonse,
alphonse ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
incline ^nn++++=incline
to ^to++++=to
agree ^vbi+vpub+++=agree
with ^in++++=with
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
And ^cc++++=And
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Georges ^vb+++??+=Georges,
, ^zz++++=EXTRAWORD
' ^zz++++='Georges,
georges ^nps++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brave ^jj++++=brave,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
surprise ^nn++++=surprise
me ^pp1o+pp1+++=me
if---- ^nn+++??+=if----'"
'" ^nn+++??+=EXTRAWORD
The ^ati++++=The
head ^jjb+atrb+++=head
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class
broke ^vbd+++xvbn+=broke
in ^rb+phrv+++=in
tartly ^rb++++=tartly:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
write ^vb++++=write
a ^at++++=a
book ^nn++++=book
of ^in++++=of
memoirs ^nns++++=memoirs,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
I ^pp1a+pp1+++=I
will ^md+prd+++=will
read ^vb+vprv+tht0+xvbn+=read
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
have ^vb+hv+vrb++=have
I ^pp1a+pp1+++=I
not ^xnot++not++=not
a ^at++++=a
thousand ^cd++++=thousand
and ^cc++++=and
two ^cd++++=two
things ^nns++++=things
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
Take ^vb++++=Take
away ^rb+phrv+++=away
your ^pp$+pp2+++=your
pet ^nn++++=pet.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
him ^pp3o+pp3+++=him
stuffed ^vbd+++xvbn+=stuffed.
. ^zz++++=EXTRAWORD
Present ^jj++++=Present
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
museum ^nn++++=museum.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
I ^pp1a+pp1+++=I
care ^nn++++=care?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started
to ^to++++=to
turn ^vbi++++=turn
from ^in++++=from
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
cheeks ^nns++++=cheeks
were ^vbd+bed+aux++=were
quivering ^vbg+++xvbgx+=quivering
like ^in++++=like
spilled ^vbd+++xvbn+=spilled
jelly ^nn++++=jelly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
entreat ^nn+++??+=entreat
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Deveau ^np+++??+=Deveau,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
begged ^vbd+++xvbn+=begged
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
consider ^nn+nom+++=consider
how ^wrb+who+++=how
for ^in++++=for
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
three ^cd++++=three
months ^nns++++=months
and ^cc++++=and
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
had ^vb+hv+aux++=had
not ^xnot++not++=not
happened ^vprf+++xvbn+=happened
in ^in++++=in
my ^pp$+pp1+++=my
cabins ^nns++++=cabins.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
little ^rb++++=little
rascal ^jj++++=rascal--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
tiny ^jj++++=tiny
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is--is
-- ^--+clp+++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
give ^vb++++=give
you ^pp2+pp2+++=you
my ^pp$+pp1+++=my
word ^nn++++=word,
, ^zz++++=EXTRAWORD
the ^ati++++=the
word ^nn++++=word
of ^in++++=of
a ^at++++=a
Pettipon ^np+++??+=Pettipon,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
there ^rn+pl+++=there
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
sailed ^vbd+++xvbn+=sailed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passenger ^nn+nom+++=passenger
brought ^vbd+++xvbn+=brought
him ^pp3o+pp3+++=him
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
reasons ^nns++++=reasons----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Enough!"
enough ^qlp++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
broke ^vbd+++xvbn+=broke
in ^rb+phrv+++=in
the ^ati++++=the
head ^jjb+atrb+++=head
steward ^nn++++=steward
of ^in++++=of
the ^ati++++=the
second ^od++++=second
class ^nn++++=class
with ^in++++=with
mounting ^xvbg+++xvbg+=mounting
irritation ^nn+nom+++=irritation.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
stand ^vb++++=stand
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
back ^jjb++++=back
to ^in++++=to
your ^pp$+pp2+++=your
work ^nn++++=work,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pettipon ^np+++??+=Pettipon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
presented ^vbd+++xvbnx+=presented
