Sang ^vbd+++xvbn+=Sang
patron ^nn++++=patron;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
husband ^nn++++=husband
died ^vbd+++xvbn+=died
soon ^rb+tm+++=soon
after ^in++++=after
our ^pp$+pp1+++=our
wedding ^nn++++=wedding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
chosen ^vprf+++xvbnx+=chosen
this ^dt+dem+++=this
solitary ^jj+atrb+++=solitary
place ^nn++++=place
to ^to++++=to
reside ^vbi++++=reside
in ^in++++=in
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
my ^pp$+pp1+++=my
widowhood ^nn+nom+++=widowhood."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
drowsy ^jj+atrb+++=drowsy
music ^nn++++=music
in ^in++++=in
her ^pp$+pp3+++=her
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
as ^in++++=as
of ^in"++++=of
the ^ati++++=the
melody ^nn++++=melody
of ^in++++=of
brooks ^nps++++=brooks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
murmurings ^nns+++??+=murmurings
of ^in++++=of
spring ^nn++++=spring;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
a ^at++++=a
strange ^jj+atrb+++=strange
grace ^nn++++=grace
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
her ^pp$+pp3+++=her
speech ^nn++++=speech
as ^ql++++=as
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
heard ^vprf+++xvbnx+=heard
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
on ^in++++=on
learning ^vb+vprv++xvbg+=learning
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
youth ^nn++++=youth
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
presumed ^vprf+++xvbnx+=presumed
to ^to+vcmp+++=to
remain ^vbi++++=remain
long ^rb++++=long
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
without ^in++++=without
a ^at++++=a
formal ^jj+atrb+++=formal
invitation ^nn+nom+++=invitation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
having ^nn+nn+aux++=having
sipped ^vbd+++xvbn+=sipped
the ^ati++++=the
cup ^nn++++=cup
of ^in++++=of
rich ^jj+atrb+++=rich
tea ^nn++++=tea
presented ^vwbn+++xvbn+=presented
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
arose ^vbd+++xvbnx+=arose
to ^to++++=to
depart ^vbi++++=depart.
. ^zz++++=EXTRAWORD
Si ^&fw++++=Si
would ^md+prd+++=would
not ^xnot++not++=not
suffer ^vb++++=suffer
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
so ^ql++++=so
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="Nay,
nay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="stay
stay ^vb++++=EXTRAWORD
yet ^rb++++=yet
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
in ^in++++=in
my ^pp$+pp1+++=my
house ^nn++++=house,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pray ^vb+vsua+tht0++=pray
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
your ^pp$+pp2+++=your
honored ^jj+atrb++xvbn+=honored
patron ^nn++++=patron
ever ^rb++++=ever
learn ^vb+vprv+++=learn
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
treated ^xvbn+++xvbn+=treated
you ^pp2+pp2+++=you
as ^in++++=as
a ^at++++=a
respected ^jj+atrb++xvbn+=respected
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regaled ^vwbn+++xvbn+=regaled
you ^pp2+pp2+++=you
even ^rb++++=even
as ^ql++++=as
I ^pp1a+pp1+++=I
would ^md+prd+++=would
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
greatly ^rb+amp+splt++=greatly
angered ^vpsv++agls+xvbnx+=angered.
. ^zz++++=EXTRAWORD
Remain ^vb++++=Remain
at ^rb++++=at
least ^rb"++++=least
to ^in++++=to
supper ^nn++++=supper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
rejoicing ^nvbg+++xvbg+=rejoicing
secretly ^rb++++=secretly
in ^in++++=in
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
for ^in++++=for
Si ^&fw++++=Si
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
the ^ati++++=the
fairest ^jjt++++=fairest
and ^cc+phrs+++=and
sweetest ^jjt++++=sweetest
being ^jj+++xvbg+=being
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her
even ^rb++++=even
more ^rbr++++=more
than ^in++++=than
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
his ^pp$+pp3+++=his
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
talked ^vbd+++xvbnx+=talked
the ^ati++++=the
long ^jj+atrb+++=long
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening
slowly ^rb++++=slowly
blended ^vbd+++xvbn+=blended
into ^in++++=into
one ^cd1++++=one
violet ^jj+atrb+++=violet
darkness ^nns+nom+++=darkness;
; ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
citron ^nn+++??+=citron-light
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sunset ^nn++++=sunset
faded ^vbd+++xvbn+=faded
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
starry ^jj+atrb+++=starry
beings ^nns++++=beings
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
Three ^cd++++=Three
Councillors ^nns++++=Councillors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
preside ^vb++++=preside
over ^in++++=over
life ^nn++++=life
and ^cc++++=and
death ^nn++++=death
and ^cc++++=and
the ^ati++++=the
destinies ^nns++++=destinies
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
their ^pp$+pp3+++=their
cold ^jj+atrb+++=cold
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
northern ^jj+atrb+++=northern
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
mansion ^nn++++=mansion
of ^in++++=of
Si ^&fw++++=Si
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
lanterns ^nns++++=lanterns
were ^vbd+bed+aux++=were
lighted ^vpsv++agls+xvbnx+=lighted;
; ^zz++++=EXTRAWORD
the ^ati++++=the
table ^nn++++=table
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
for ^in++++=for
the ^ati++++=the
evening ^nn++++=evening
repast ^nn++++=repast;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
place ^nn++++=place
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
little ^ap++++=little
inclination ^nn+nom+++=inclination
to ^to+ncmp+++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thinking ^nvbg+++xvbg+=thinking
only ^rb+down+++=only
of ^in++++=of
the ^ati++++=the
charming ^jj+atrb++xvbg+=charming
face ^nn++++=face
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Observing ^vbg+vprv++xvbg+=Observing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
scarcely ^rb+down+++=scarcely
tasted ^vprf+++xvbn+=tasted
the ^ati++++=the
dainties ^nns++++=dainties
laid ^vbd+++xvbn+=laid
upon ^in++++=upon
his ^pp$+pp3+++=his
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
Si ^&fw++++=Si
pressed ^vbd+++xvbn+=pressed
her ^pp$+pp3+++=her
young ^jj+atrb+++=young
guest ^nn++++=guest
to ^to++++=to
partake ^vbi++++=partake
of ^in++++=of
wine ^nn++++=wine;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
drank ^vbd+++xvbnx+=drank
several ^ap++++=several
cups ^nns++++=cups
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
purple ^jj+atrb+++=purple
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
so ^ql++++=so
cool ^vb++++=cool
that ^dt+dem+++=that
the ^ati++++=the
cup ^nn++++=cup
into ^in++++=into
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
poured ^vpsv++agls+xvbnx+=poured
became ^vbd+++xvbn+=became
covered ^vwbn+++xvbn+=covered
with ^in++++=with
vapory ^nn++++=vapory
dew ^nn++++=dew;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
warm ^vbi++++=warm
the ^ati++++=the
veins ^nns++++=veins
with ^in++++=with
strange ^jj+atrb+++=strange
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
To ^in++++=To
Ming ^np+++??+=Ming-Y,
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
drank ^vbd+++xvbnx+=drank,
, ^zz++++=EXTRAWORD
all ^abn++++=all
things ^nns++++=things
became ^vbd+++xvbn+=became
more ^rbr++++=more
luminous ^jj++++=luminous
as ^in++++=as
by ^in++++=by
enchantment ^nn+nom+++=enchantment;
; ^zz++++=EXTRAWORD
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
the ^ati++++=the
chamber ^nn++++=chamber
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
recede ^vbi+++??+=recede,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
roof ^nn++++=roof
to ^to++++=to
heighten ^vbi++++=heighten;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lamps ^nns++++=lamps
glowed ^vbd+++xvbn+=glowed
like ^in++++=like
stars ^nns++++=stars
in ^in++++=in
their ^pp$+pp3+++=their
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
Si ^&fw++++=Si
floated ^vbd+++xvbn+=floated
to ^in++++=to
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
ears ^nns++++=ears
like ^in++++=like
some ^dti++++=some
far ^rb+pl+++=far
melody ^nn++++=melody
heard ^vbd+vprv++xvbn+=heard
through ^in++++=through
the ^ati++++=the
spaces ^nns++++=spaces
of ^in++++=of
a ^at++++=a
drowsy ^jj+atrb+++=drowsy
night ^nn++++=night.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
heart ^nn++++=heart
swelled ^vbd+++xvbn+=swelled;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tongue ^nn++++=tongue
loosened ^vbd+++xvbn+=loosened;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
words ^nns++++=words
flitted ^vbd+++xvbn+=flitted
from ^in++++=from
his ^pp$+pp3+++=his
lips ^nns++++=lips
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
fancied ^vprf+++xvbnx+=fancied
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++splt++=never
dare ^vb++++=dare
to ^to+vcmp+++=to
utter ^vbi++++=utter.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Si ^&fw++++=Si
sought ^vprf+++xvbn+=sought
not ^xnot++not++=not
to ^to++++=to
restrain ^vbi++++=restrain
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
lips ^nns++++=lips
gave ^vbd+++xvbn+=gave
no ^at++++=no
smile ^nn++++=smile;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
long ^rb++++=long
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
laugh ^vbi++++=laugh
with ^in++++=with
pleasure ^nn++++=pleasure
at ^in++++=at
his ^pp$+pp3+++=his
words ^nns++++=words
of ^in++++=of
praise ^nn++++=praise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
return ^vbi++++=return
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
of ^in++++=of
passionate ^jj+atrb+++=passionate
admiration ^nn+nom+++=admiration
with ^in++++=with
affectionate ^jj+atrb+++=affectionate
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in++++=EXTRAWORD
your ^pp$+pp2+++=your
rare ^jj+atrb+++=rare
talent ^nn++++=talent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
your ^pp$+pp2+++=your
many ^ap++++=many
elegant ^jj+atrb+++=elegant
accomplishments ^nns+nom+++=accomplishments.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^to++++=to
sing ^vbi++++=sing
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
claim ^vb++++=claim
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
any ^dti++++=any
musical ^jj+atrb+++=musical
learning ^nvbg+vprv++xvbg+=learning;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
finding ^xvbg+++xvbg+=finding
myself ^ppl+pp1+++=myself
in ^in++++=in
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
a ^at++++=a
musical ^jj+atrb+++=musical
professor ^npt++++=professor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
venture ^vb++++=venture
to ^to+vcmp+++=to
lay ^vbi++++=lay
modesty ^nn++++=modesty
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beg ^vb++++=beg
you ^pp2+pp2+++=you
to ^to++++=to
sing ^vbi++++=sing
a ^ap++++=a
few ^ap"++++=few
songs ^nns++++=songs
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
deem ^vb+++??+=deem
it ^pp3+it+++=it
no ^at++++=no
small ^jj+atrb+++=small
gratification ^nn+nom+++=gratification
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
would ^md+prd+++=would
condescend ^vb+++??+=condescend
to ^to++++=to
examine ^vbi++++=examine
my ^pp$+pp1+++=my
musical ^jj+atrb+++=musical
compositions ^nns+nom+++=compositions."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
honor ^nn++++=honor
and ^cc++++=and
the ^ati++++=the
gratification ^nn+nom+++=gratification,
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
lady ^nn++++=lady,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Ming ^np+++??+=Ming-Y,
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
be ^vb+be+vrb++=be
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
helpless ^vb++++=helpless
to ^to+vcmp+++=to
express ^nns+nom+++=express
the ^ati++++=the
gratitude ^nn++++=gratitude
which ^whp+rel+obj++=which
the ^ati++++=the
offer ^nn++++=offer
of ^in++++=of
so ^rb+emph+++=so
rare ^jj++++=rare
a ^at++++=a
favor ^nn++++=favor
deserves ^vbz++++=deserves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
serving ^jj+++xvbg+=serving-maid,
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
obedient ^jj++++=obedient
to ^in++++=to
the ^ati++++=the
summons ^nn++++=summons
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
silver ^jj+atrb+++=silver
gong ^nn++++=gong,
, ^zz++++=EXTRAWORD
brought ^j+++xvbn+=brought
in ^in++++=in
the ^ati++++=the
music ^nn++++=music
and ^cc++++=and
retired ^jj+++xvbn+=retired.
. ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
took ^vbd+++xvbn+=took
the ^ati++++=the
manuscripts ^nns++++=manuscripts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
examine ^vbi++++=examine
them ^pp3o+pp3+++=them
with ^in++++=with
eager ^jj+atrb+++=eager
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
paper ^nn++++=paper
upon ^in++++=upon
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
written ^vpsv++agls+xvbnx+=written
had ^vb+hv+vrb++=had
a ^at++++=a
pale ^nn++++=pale
yellow ^jj+atrb+++=yellow
tint ^nn++++=tint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
light ^jj+pred+++=light
as ^ql++++=as
a ^at++++=a
fabric ^nn++++=fabric
of ^in++++=of
gossamer ^nn+nom+++=gossamer;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
characters ^nns+nom+++=characters
were ^vbd+bed+vrb++=were
antiquely ^jj++++=antiquely
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
traced ^vpsv++by+xvbnx+=traced
by ^in++++=by
the ^ati++++=the
brush ^nn++++=brush
of ^in++++=of
He ^pp3a+pp3+++=He
- ^zz++++=-song
song ^nn++++=EXTRAWORD
Ch ^nnu++++=Ch
- ^zz++++=-Tchoo
tchoo ^nn+++??+=EXTRAWORD
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
divine ^jj+atrb+++=divine
Genius ^nn++++=Genius
of ^in++++=of
Ink ^nn++++=Ink,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
no ^at++++=no
bigger ^nn++++=bigger
than ^in++++=than
a ^at++++=a
fly ^nn++++=fly;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
signatures ^nns++++=signatures
attached ^vbd+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
compositions ^nns+nom+++=compositions
were ^vbd+bed+vrb++=were
the ^ati++++=the
signatures ^nns++++=signatures
of ^in++++=of
Youen ^np+++??+=Youen-tchin,
- ^zz++++=EXTRAWORD
tchin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Kao ^np+++??+=Kao-pien,
- ^zz++++=EXTRAWORD
pien ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Thou ^pp2+pp2+++=Thou-mou,
- ^zz++++=EXTRAWORD
mou ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
mighty ^jj+atrb+++=mighty
poets ^nns++++=poets
and ^cc++++=and
musicians ^nns++++=musicians
of ^in++++=of
the ^ati++++=the
dynasty ^nn++++=dynasty
of ^in++++=of
Thang ^np+++??+=Thang!
! ^zz++++=EXTRAWORD
Ming ^np+++??+=Ming-Y
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
repress ^nns+nom+++=repress
a ^at++++=a
scream ^nn++++=scream
of ^in++++=of
delight ^nn++++=delight
at ^rb++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
treasures ^nns++++=treasures
so ^rb+emph+++=so
inestimable ^jj++++=inestimable
and ^cc++++=and
so ^rb+emph+++=so
unique ^jj++++=unique;
; ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
could ^md+pos+++=could
he ^pp3a+pp3+++=he
summon ^vb++++=summon
resolution ^nn+nom+++=resolution
enough ^dt++++=enough
to ^to++++=to
permit ^vbi++++=permit
them ^pp3o+pp3+++=them
to ^to++++=to
leave ^vbi++++=leave
his ^pp$+pp3+++=his
hands ^nns++++=hands
even ^rb++++=even
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
Lady ^npt++++=Lady!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="these
these ^dt+pdem+++=EXTRAWORD
are ^vb+ber+vrb++=are
veritably ^jj+atrb+++=veritably
priceless ^jj+atrb+++=priceless
things ^nns++++=things,
, ^zz++++=EXTRAWORD
surpassing ^jj++++=surpassing
in ^in++++=in
worth ^in++++=worth
the ^ati++++=the
treasures ^nns++++=treasures
of ^in++++=of
all ^abn++++=all
kings ^nns++++=kings.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
indeed ^rb++++=indeed
is ^vbz+bez+vrb++=is
the ^ati++++=the
handwriting ^nn++++=handwriting
of ^in++++=of
those ^dt+dem+++=those
great ^jj+atrb+++=great
masters ^nns+nom+++=masters
who ^whp+rel+obj++=who
sang ^nc+++xvbn+=sang
five ^cd++++=five
hundred ^cd++++=hundred
years ^nns++++=years
before ^in++++=before
our ^pp$+pp1+++=our
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
marvellously ^rb++++=marvellously
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
preserved ^vpsv++agls+xvbnx+=preserved!
! ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
not ^xnot++not++=not
this ^dt+dem+++=this
the ^ati++++=the
wondrous ^jj+atrb+++=wondrous
ink ^nn++++=ink
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
written ^vpsv++agls+xvbnx+=written:
: ^zz++++=EXTRAWORD
Po ^np++++=Po-nien-jou-chi,
- ^zz++++=EXTRAWORD
nien ^vb+++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
jou ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
chi ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i-tien-jou-ki,
- ^zz++++=EXTRAWORD
tien ^vb+++xvbn+=EXTRAWORD
- ^zz++++=EXTRAWORD
jou ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
ki ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='After
after ^cs+sub+++=EXTRAWORD
centuries ^nns++++=centuries
I ^pp1a+pp1+++=I
remain ^vb++++=remain
firm ^jj++++=firm
as ^ql++++=as
stone ^np++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
letters ^nns+nom+++=letters
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
make ^vb++++=make
like ^in++++=like
lacquer ^jjr+atrb+++=lacquer'?
'? ^nn+++??+=EXTRAWORD
And ^cc+cls+++=And
how ^wrb+who+++=how
divine ^jj++++=divine
the ^ati++++=the
charm ^nn++++=charm
of ^in++++=of
this ^dt+dem+++=this
composition ^nn+nom+++=composition!
! ^zz++++=EXTRAWORD
the ^ati++++=the
song ^nn++++=song
of ^in++++=of
Kao ^np+++??+=Kao-pien,
- ^zz++++=EXTRAWORD
pien ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
prince ^npt++++=prince
of ^in++++=of
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Governor ^nn++++=Governor
of ^in++++=of
Sze ^np+++??+=Sze-tchouen
- ^zz++++=EXTRAWORD
tchouen ^vb+++xvbn+=EXTRAWORD
five ^cd++++=five
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb++++=ago!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Kao-pien!
kao ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
pien ^vwbn+++xvbn+=EXTRAWORD
