General ^jj+atrb+++=General
settlement ^nn+nom+++=settlement.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
went ^vbd+++xvbn+=went
down ^in++++=down
the ^ati++++=the
rivers ^nns++++=rivers
to ^in++++=to
New ^jj+atrb+++=New
Orleans ^nns+nom++??+=Orleans,
, ^zz++++=EXTRAWORD
others ^aps++++=others
wandered ^jj+++xvbn+=wandered
off ^in+pl+++=off
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
to ^in++++=to
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Louis ^np++++=Louis,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
the ^ati++++=the
French ^jj+atrb+++=French
towns ^nns++++=towns
in ^in++++=in
Indiana ^np+++??+=Indiana
and ^cc++++=and
Illinois ^np+++??+=Illinois;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Congress ^nns+nom+++=Congress
at ^rb++++=at
last ^rb"++++=last
came ^vbd+++xvbn+=came
to ^in++++=to
their ^pp$+pp3+++=their
relief ^nn++++=relief
with ^in++++=with
a ^at++++=a
grant ^nn++++=grant
of ^in++++=of
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
thousand ^cd++++=thousand
acres ^nns++++=acres,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
left ^vpsv++agls+xvbnx+=left
at ^rb++++=at
Gallipolis ^np+++??+=Gallipolis
only ^rb+down+++=only
ninety ^cd++++=ninety-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
persons ^nns++++=persons,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
original ^jj++++=original
five ^cd++++=five
hundred ^cd++++=hundred
colonists ^nns+nom+++=colonists,
, ^zz++++=EXTRAWORD
to ^in++++=to
profit ^nn++++=profit
by ^in++++=by
the ^ati++++=the
nation ^nn++++=nation's
's ^$++++=EXTRAWORD
generosity ^nn+nom+++=generosity.
. ^zz++++=EXTRAWORD
In ^in++++=In
1807 ^cd+date+++=1807
few ^ap++++=few
or ^cc++++=or
none ^rb++++=none
of ^in++++=of
them ^pp3o+pp3+++=them
remained ^vbd+++xvbn+=remained
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
fondly ^jj++++=fondly
hoped ^vb+++xvbn+=hoped
to ^to+vcmp+++=to
make ^vbi++++=make
peaceful ^jj+atrb+++=peaceful
and ^cc+phrs+++=and
happy ^jj+atrb+++=happy
homes ^nrs++++=homes
for ^in++++=for
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
their ^pp$+pp3+++=their
children ^nns++++=children.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
sad ^jj++++=sad
ending ^jj+++xvbg+=ending
to ^in++++=to
a ^at++++=a
romantic ^jj+atrb+++=romantic
story ^nn++++=story,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
romantic ^jj++++=romantic
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
Ohio ^np+++??+=Ohio
stories ^nns++++=stories
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
must ^md+nec+++=must
not ^xnot++not++=not
blame ^vb++++=blame
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
deceived ^vbd+++xvbn+=deceived
the ^ati++++=the
colonists ^nns+nom+++=colonists
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
quite ^rb++++=quite
wittingly ^jj++++=wittingly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems)
) ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
their ^pp$+pp3+++=their
woes ^nns++++=woes
and ^cc++++=and
disasters ^nns+nom+++=disasters.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
partly ^rb+down+++=partly
owing ^in+cmpx+++=owing
to ^in"++++=to
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
New ^jj+atrb+++=New
Englanders ^nns+nom++??+=Englanders
who ^whp+rel+subj++=who
settled ^vbd+++xvbn+=settled
at ^rb++++=at
Marietta ^np+++??+=Marietta
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
eighty ^cd++++=eighty
comfortable ^jj+atrb+++=comfortable
cabins ^nns++++=cabins
waiting ^vwbg+++xvbg+=waiting
for ^in++++=for
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hire ^vb++++=hire
hunters ^nns+nom+++=hunters
to ^to++++=to
provide ^vbi+vsua+++=provide
their ^pp$+pp3+++=their
food ^nn++++=food,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
begin ^vb++++=begin
by ^in++++=by
giving ^xvbg+++xvbg+=giving
balls ^nns++++=balls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
able ^jj+atrb+++=able
and ^cc+phrs+++=and
educated ^jj+atrb++xvbn+=educated
men ^nns++++=men
among ^in++++=among
the ^ati++++=the
French ^jj+atrb+++=French
colonists ^nns+nom+++=colonists
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
cowered ^jj+++xvbn+=cowered
under ^in++++=under
their ^pp$+pp3+++=their
disasters ^nns+nom+++=disasters
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
were ^vbd+bed+vrb++=were
incurable ^jj+atrb+++=incurable
dreamers ^nns+nom+++=dreamers.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
them ^pp3o+pp3+++=them
used ^vbd+++xvbn+=used
afterwards ^rb+tm+++=afterwards
to ^to++++=to
tell ^vbi++++=tell
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
descending ^vbg+++xvbgx+=descending
the ^ati++++=the
Ohio ^np+++??+=Ohio
with ^in++++=with
two ^cd++++=two
philosophers ^nns+nom+++=philosophers
who ^whp+rel+subj++=who
believed ^vbd+vprv++xvbn+=believed
so ^ql++++=so
firmly ^rb++++=firmly
in ^in++++=in
the ^ati++++=the
natural ^jj+atrb+++=natural
innocence ^nn+nom+++=innocence
and ^cc++++=and
goodness ^nns+nom+++=goodness
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
invited ^vbd+++xvbnx+=invited
some ^dti++++=some
Indians ^nn++++=Indians
aboard ^in+pl+++=aboard
their ^pp$+pp3+++=their
boat ^nn++++=boat
and ^cc++++=and
were ^vbd+bed+vrb++=were
at ^rb++++=at
once ^rb"+tm+++=once
tomahawked ^jj+++xvbn+=tomahawked.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
skeptical ^jj+atrb+++=skeptical
companion ^nn++++=companion
shot ^vbd+++xvbn+=shot
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
savages ^nns+nom+++=savages
and ^cc++++=and
then ^rn+tm+++=then
jumped ^vbd+++xvbn+=jumped
into ^in++++=into
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
swam ^vbd+++xvbnx+=swam
for ^in++++=for
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
diving ^jj++++=diving
at ^rb++++=at
the ^ati++++=the
flash ^nn++++=flash
of ^in++++=of
their ^pp$+pp3+++=their
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
safe ^jj++++=safe
to ^to+jcmp+++=to
the ^ati++++=the
farther ^rbr++++=farther
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Frenchmen ^np+++??+=Frenchmen
at ^in++++=at
Gallipolis ^np+++??+=Gallipolis
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
the ^ati++++=the
stuff ^nn++++=stuff
that ^tht+rel+obj++=that
the ^ati++++=the
founders ^nns+nom+++=founders
of ^in++++=of
great ^jj+atrb+++=great
states ^nns++++=states
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
of ^in+strn+++=of;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
New ^jj+atrb+++=New
Englanders ^nns+nom++??+=Englanders
at ^in++++=at
Marietta ^np+++??+=Marietta
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
were ^vbd+bed+vrb++=were
the ^ati++++=the
New ^jj+atrb+++=New
Jerseymen ^np+++??+=Jerseymen
at ^in++++=at
Cincinnati ^np+++??+=Cincinnati,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
followed ^vbd+vprv++xvbn+=followed
next ^ap++++=next
after ^in++++=after
them ^pp3o+pp3+++=them
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
had ^vb+hv+vrb++=had
even ^rb++++=even
a ^at++++=a
harder ^jjr+atrb+++=harder
struggle ^nn++++=struggle
in ^in++++=in
their ^pp$+pp3+++=their
beginnings ^nns++++=beginnings
than ^in++++=than
the ^ati++++=the
people ^nns++++=people
at ^rb++++=at
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^rn+pl+++=there
the ^ati++++=the
emigrants ^nns+nom+++=emigrants
made ^vbd+++xvbn+=made
their ^pp$+pp3+++=their
settlement ^nn+nom+++=settlement
under ^in++++=under
the ^ati++++=the
guns ^nns++++=guns
of ^in++++=of
Fort ^nn++++=Fort
Harmar ^np+++??+=Harmar,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
region ^nn++++=region
loosely ^rb++++=loosely
held ^vpsv++by+xvbn+=held
by ^in++++=by
the ^ati++++=the
milder ^jjr++++=milder
Delaware ^np+++??+=Delaware
tribe ^nn++++=tribe
of ^in++++=of
the ^ati++++=the
Algonquin ^np+++??+=Algonquin
nation ^nn++++=nation;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
lands ^nns++++=lands
between ^in++++=between
the ^ati++++=the
Great ^jj+atrb+++=Great
Miami ^np++++=Miami
and ^cc++++=and
Little ^jj+atrb+++=Little
Miami ^np++++=Miami
were ^vbd+bed+aux++=were
claimed ^vpsv++agls+xvbnx+=claimed
and ^cc+phrs+++=and
held ^vpsv++by+xvbn+=held
by ^in++++=by
the ^ati++++=the
fierce ^jj+atrb+++=fierce
Miamis ^np+++??+=Miamis
and ^cc++++=and
Shawnees ^nns+nom++??+=Shawnees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
long ^rb++++=long
the ^ati++++=the
battle ^nn++++=battle
ground ^nn++++=ground
of ^in++++=of
the ^ati++++=the
Indians ^nn++++=Indians
and ^cc++++=and
the ^ati++++=the
Kentuckians ^np+++??+=Kentuckians
that ^tht+rel+obj++=that
the ^ati++++=the
region ^nn++++=region
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
Shawnee ^np+++??+=Shawnee
Slaughter ^nn+nom+++=Slaughter
House ^nn++++=House.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
warpath ^nn+++??+=warpath
of ^in++++=of
the ^ati++++=the
tribes ^nns++++=tribes
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
Ohio ^np+++??+=Ohio
River ^nn++++=River
to ^in++++=to
Lake ^nn++++=Lake
Erie ^np+++??+=Erie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
first ^rb++++=first
white ^jj+atrb+++=white
settlers ^nns+nom+++=settlers
had ^md"++pmd"++=had
to ^md+nec+++=to
build ^vb++++=build
stations ^nns+nom+++=stations
with ^in++++=with
blockhouses ^nns+++??+=blockhouses
and ^cc++++=and
stockades ^nns+++??+=stockades
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
could ^md+pos+++=could
begin ^vb++++=begin
to ^to++++=to
till ^vbi++++=till
the ^ati++++=the
ancient ^jj+atrb+++=ancient
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
immemorial ^jj++++=immemorial
the ^ati++++=the
Indians ^nn++++=Indians
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted
and ^cc+phrs+++=and
gathered ^vbd+++xvbn+=gathered
their ^pp$+pp3+++=their
harvests ^nns+++??+=harvests
of ^in++++=of
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
settlers ^nns+nom+++=settlers
arrived ^vbd+++xvbn+=arrived
from ^in++++=from
New ^jj+atrb+++=New
Jersey ^np++++=Jersey
in ^in++++=in
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
1788 ^cd+date+++=1788,
, ^zz++++=EXTRAWORD
some ^dti++++=some
eight ^cd++++=eight
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
settlement ^nn+nom+++=settlement
at ^in++++=at
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
year ^nn++++=year
a ^at++++=a
fort ^nn++++=fort
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
at ^rb++++=at
Cincinnati ^np+++??+=Cincinnati
and ^cc++++=and
garrisoned ^vpsv++agls+xvbn+=garrisoned
with ^in++++=with
United ^np++++=United
States ^nns++++=States
troops ^nns++++=troops;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
1791 ^cd+date+++=1791
a ^at++++=a
band ^nn++++=band
of ^in++++=of
five ^cd++++=five
hundred ^cd++++=hundred
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
led ^xvbn+++xvbn+=led
by ^in++++=by
Simon ^np++++=Simon
Girty ^np+++??+=Girty,
, ^zz++++=EXTRAWORD
attacked ^j+++xvbn+=attacked
Dunlap ^np++++=Dunlap's
's ^$++++=EXTRAWORD
Station ^nn+nom+++=Station
at ^rb++++=at
Colerain ^np+++??+=Colerain.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
beaten ^vpsv++agls+xvbnx+=beaten
off ^in+pl+++=off
only ^rb+down+++=only
after ^in++++=after
a ^at++++=a
stubborn ^jj+atrb+++=stubborn
fight ^nn++++=fight,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
Americans ^nns+nom+++=Americans
were ^vbd+bed+aux++=were
armed ^vpsv++agls+xvbnx+=armed
with ^in++++=with
the ^ati++++=the
cannon ^nn++++=cannon
which ^whp+rel+obj++=which
the ^ati++++=the
savages ^nns+nom+++=savages
so ^ql++++=so
much ^ap++++=much
dreaded ^jj+++xvbn+=dreaded;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
siege ^nn++++=siege
they ^pp3a+pp3+++=they
burned ^vbd+++xvbnx+=burned
a ^at++++=a
white ^jj+atrb+++=white
prisoner ^nn+nom+++=prisoner
near ^in+pl+++=near
the ^ati++++=the
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
surveyor ^nn++++=surveyor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
New ^jj+atrb+++=New
Jersey ^np++++=Jersey
men ^nns++++=men
of ^in++++=of
education ^nn+nom+++=education
and ^cc++++=and
substance ^nn+nom+++=substance
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
settlers ^nns+nom+++=settlers
in ^in++++=in
the ^ati++++=the
Symmes ^np+++??+=Symmes
Purchase ^nn++++=Purchase,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
tract ^nn++++=tract
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
Miamis ^np+++??+=Miamis
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called.
. ^zz++++=EXTRAWORD
John ^np++++=John
Cleves ^np+++??+=Cleves
Symmes ^np+++??+=Symmes,
, ^zz++++=EXTRAWORD
a ^at++++=a
prominent ^jj+atrb+++=prominent
citizen ^nn++++=citizen
of ^in++++=of
Trenton ^np+++??+=Trenton,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
the ^ati++++=the
government ^nn+nom+++=government,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
himself ^ppl+pp3+++=himself
with ^in++++=with
his ^pp$+pp3+++=his
friends ^nns++++=friends
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
place ^nn++++=place
his ^pp$+pp3+++=his
home ^nr++++=home.
. ^zz++++=EXTRAWORD
The ^ati++++=The
events ^nns++++=events
of ^in++++=of
this ^dt+dem+++=this
emigration ^nn+nom+++=emigration
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
so ^rb+emph+++=so
poetic ^jj++++=poetic
as ^ql++++=as
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
New ^jj+atrb+++=New
Englanders ^nns+nom++??+=Englanders
who ^whp+rel+subj++=who
settled ^vbd+++xvbn+=settled
on ^in+ppvb+++=on
the ^ati++++=the
Muskingum ^np+++??+=Muskingum,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
resulted ^vbd+++xvbnx+=resulted
in ^in++++=in
the ^ati++++=the
foundation ^nn+nom+++=foundation
of ^in++++=of
our ^pp$+pp1+++=our
greatest ^jjt+atrb+++=greatest
city ^nn++++=city;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
first ^od++++=first
school ^npl++++=school
in ^in++++=in
Ohio ^np+++??+=Ohio
was ^vbd+bedz+vrb++=was
at ^in++++=at
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
church ^npl++++=church
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
at ^rb++++=at
Cincinnati ^np+++??+=Cincinnati.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hamlet ^np++++=hamlet
opposite ^jj++++=opposite
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
Licking ^nvbg+++xvbg+=Licking
was ^vbd+bedz+aux++=was
first ^od++++=first
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Losantiville ^np+++??+=Losantiville,
, ^zz++++=EXTRAWORD
a ^at++++=a
name ^nn++++=name
made ^vbd+++xvbn+=made
up ^rp++++=up
of ^in++++=of
Greek ^nn++++=Greek
and ^cc++++=and
Latin ^jj+atrb+++=Latin
words ^nns++++=words
describing ^vwbg+++xvbg+=describing
its ^pp$+it+++=its
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
soon ^rb+tm+splt++=soon
changed ^vpsv++agls+xvbnx+=changed
to ^in++++=to
Cincinnati ^np+++??+=Cincinnati.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fort ^nn++++=fort
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
in ^in++++=in
1790 ^cd+date+++=1790,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^jj+atrb++xvbn+=called
Fort ^nn++++=Fort
Washington ^np++++=Washington;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
strongest ^jjt+atrb+++=strongest
fort ^nn++++=fort
in ^in++++=in
the ^ati++++=the
Northwest ^nr++++=Northwest
Territory ^nn++++=Territory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
its ^pp$+it+++=its
strength ^nn++++=strength
Cincinnati ^np+++??+=Cincinnati
owed ^vbd+++xvbn+=owed
her ^pp$+pp3+++=her
freedom ^nn+nom+++=freedom
from ^in++++=from
attacks ^nns++++=attacks
by ^in++++=by
the ^ati++++=the
Indians ^nn++++=Indians;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
of ^in++++=of
hewn ^vbd+++xvbn+=hewn
timber ^nn++++=timber,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
eighty ^cd++++=eighty
feet ^nns++++=feet
square ^nn++++=square.
. ^zz++++=EXTRAWORD
At ^in++++=At
Cincinnati ^np+++??+=Cincinnati,
, ^zz++++=EXTRAWORD
Harmar ^np+++??+=Harmar
and ^cc++++=and
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Clair ^np+++??+=Clair
began ^vbd+++xvbn+=began
their ^pp$+pp3+++=their
march ^nn++++=march
to ^in++++=to
defeat ^nn++++=defeat;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
too ^rb++++=too
the ^ati++++=the
recruits ^nns++++=recruits
for ^in++++=for
Wayne ^np++++=Wayne's
's ^$++++=EXTRAWORD
army ^nn++++=army
gathered ^vbd+++xvbn+=gathered
and ^cc+phrs+++=and
encamped ^vbd+++xvbn+=encamped
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
their ^pp$+pp3+++=their
march ^nn++++=march
to ^in++++=to
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
past ^nn++++=past
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^ql++++=so
rich ^np++++=rich
in ^in++++=in
legend ^nn++++=legend
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
much ^ap++++=much
humbler ^jjr+atrb+++=humbler
localities ^nns+nom+++=localities,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
Indian ^jj+atrb+++=Indian
story ^nn++++=story
which ^whp+rel+subj++=which
will ^md+prd+++=will
bear ^vb+vprv+++=bear
telling ^vbg+nom++xvbg+=telling
over ^in++++=over
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
concerns ^vbz++++=concerns
Jacob ^np++++=Jacob
Wetzel ^np+++??+=Wetzel,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brother ^nn++++=brother
of ^in++++=of
the ^ati++++=the
famous ^jj+atrb+++=famous
Lewis ^np++++=Lewis
Wetzel ^np+++??+=Wetzel,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
day ^nn++++=day
returning ^vwbg+++xvbg+=returning
from ^in++++=from
a ^at++++=a
hunt ^np++++=hunt
well ^rb++++=well
within ^in++++=within
the ^ati++++=the
bounds ^nns++++=bounds
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
log ^&fo++++=log
to ^in++++=to
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
growl ^nn++++=growl
from ^in++++=from
his ^pp$+pp3+++=his
dog ^nn++++=dog
warned ^vbd+vpub++xvbn+=warned
him ^pp3o+pp3+++=him
of ^in++++=of
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
instantly ^rb+tm+++=instantly
_treed_ ^jj+++??+=_treed_,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
jumped ^vpsv++agls+xvbn+=jumped
behind ^in+pl+++=behind
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
saw ^vbd+vprv+tht0+xvbn+=saw
an ^at++++=an
Indian ^nn++++=Indian
treed ^vbd+++xvbn+=treed
behind ^in+pl+++=behind
a ^at++++=a
neighboring ^jj+atrb+++=neighboring
oak ^nn++++=oak.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
both ^abx++++=both
fired ^jj+++xvbn+=fired;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Indian ^nn++++=Indian
missed ^vbd+++xvbn+=missed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Wetzel ^np++++=Wetzel's
's ^$++++=EXTRAWORD
bullet ^nn++++=bullet
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
the ^ati++++=the
savage ^jj+atrb+++=savage's
's ^vbz+bez+vrb++0=EXTRAWORD
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rushed ^vbd+++xvbnx+=rushed
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
with ^in++++=with
their ^pp$+pp3+++=their
drawn ^xvbn+++xvbn+=drawn
hunting ^np+++xvbg+=hunting
knives ^nns++++=knives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^vpsv++agls+xvbn+=fell
in ^in++++=in
a ^at++++=a
fearful ^jj+atrb+++=fearful
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
Wetzel ^np+++??+=Wetzel
unhurt ^nn+++??+=unhurt
was ^vbd+bedz+vrb++=was
no ^at++++=no
match ^nn++++=match
for ^in++++=for
the ^ati++++=the
wounded ^jj+++xvbn+=wounded
Indian ^jj++++=Indian,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
astride ^nn+++??+=astride
of ^in++++=of
him ^pp3o+pp3+++=him
with ^in++++=with
his ^pp$+pp3+++=his
knife ^nn++++=knife
lifted ^vbd+++xvbn+=lifted
when ^wrb+who+++=when
Wetzel ^np++++=Wetzel's
's ^$++++=EXTRAWORD
dog ^nn++++=dog
sprung ^vbd+++xvbn+=sprung
at ^rb++++=at
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
Wetzel ^np+++??+=Wetzel
now ^rn+tm+++=now
flung ^vbd+++xvbn+=flung
him ^pp3o+pp3+++=him
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
