Sitting ^vbg+++xvbg+=Sitting
unconsciously ^rb++++=unconsciously
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
speculate ^nn+nom+++=speculate
upon ^in++++=upon
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
time ^nn++++=time
that ^tht+rel+subj++=that
remained ^vprf+++xvbn+=remained
before ^cs+sub+++=before
his ^pp$+pp3+++=his
suffering ^nvbg+++xvbg+=suffering
would ^md+prd+++=would
lead ^vb++++=lead
him ^pp3o+pp3+++=him
into ^in++++=into
recklessness ^nns+nom+++=recklessness
and ^cc++++=and
death ^nn++++=death.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
approaching ^vbg+++xvbgx+=approaching
a ^at++++=a
very ^ap+amp+++=very
agony ^nn++++=agony
of ^in++++=of
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
all ^rb++++=all
human ^jj+atrb+++=human
endurance ^nn+nom+++=endurance
not ^xnot++not++=not
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
another ^dt++++=another
was ^vbd+bedz+aux++=was
suffering ^vbg+++xvbgx+=suffering
in ^in++++=in
a ^at++++=a
different ^jj+atrb+++=different
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hardly ^rb+down+++=hardly
less ^rbr++++=less
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beautiful ^nn++++=beautiful
senora ^vb+++??+=senora
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
two ^cd++++=two
lives ^nns++++=lives
in ^in++++=in
the ^ati++++=the
barrel ^nn++++=barrel
of ^in++++=of
her ^pp$+pp3+++=her
pistol ^nn++++=pistol;
; ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
should ^md+nec+++=should
thus ^rb+cnj+splt++=thus
hold ^vb+vprv+++=hold
any ^dti++++=any
life ^nn++++=life
at ^rb++++=at
all ^abn++++=all
was ^vbd+bedz+vrb++=was
a ^at++++=a
matter ^nn++++=matter
that ^tht+rel+++=that
astounded ^jj+++xvbn+=astounded,
, ^zz++++=EXTRAWORD
perplexed ^j+++xvbn+=perplexed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agonized ^jj++++=agonized
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
so ^rb+emph+++=so
extraordinary ^jj++++=extraordinary
a ^at++++=a
position ^nn+nom+++=position
amazed ^vwbn+++xvbn+=amazed
her ^pp$+pp3+++=her
beyond ^in++++=beyond
estimation ^nn+nom+++=estimation.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
one ^cd1++++=one
reflects ^vbz++++=reflects
that ^tht+vcmp+++=that
one ^cd1++++=one
is ^vbz+bez+vrb++=is
courageous ^jj+pred+++=courageous,
, ^zz++++=EXTRAWORD
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
courage ^nn+nom+++=courage
is ^vbz+bez+vrb++=is
questionable ^jj+pred+++=questionable.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
so ^ql+emph+++=so
tender ^jj++++=tender-hearted
- ^zz++++=EXTRAWORD
hearted ^jj++++=EXTRAWORD
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
make ^vb++++=make
good ^jj++++=good
her ^pp$+pp3+++=her
threat ^nn++++=threat
to ^to+ncmp+++=to
shoot ^vbi++++=shoot
if ^cs+cnd+++=if
the ^ati++++=the
murderer ^nn+nom+++=murderer
should ^md+nec+++=should
move ^vb++++=move.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
believed ^vbd+vprv+tht0+xvbnx+=believed
she ^pp3a+pp3+++=she
would ^md+prd+++=would
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^in++++=after
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
her ^pp$+pp3+++=her
husband ^nn++++=husband--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
passionate ^jj+atrb+++=passionate
nature ^nn++++=nature
could ^md+pos+++=could
he ^pp3a+pp3+++=he
resist ^vb++++=resist
the ^ati++++=the
temptation ^nn+nom+++=temptation
to ^to+ncmp+++=to
cut ^vbi++++=cut
the ^ati++++=the
fellow ^jjb+atrb+++=fellow's
's ^vbz+bez+vrb++0=EXTRAWORD
throat ^nn++++=throat
before ^in++++=before
her ^pp$+pp3+++=her
very ^ql+amp+++=very
eyes ^nns++++=eyes?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
too ^ql++++=too
horrible ^jj++++=horrible
to ^to++++=to
think ^vbi+vprv+++=think
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But--God!--the
-- ^--+clp+++=EXTRAWORD
god! ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
robber ^nn++++=robber
himself ^ppl+pp3+++=himself
had ^vb+hv+vrb++=had
a ^at++++=a
knife ^nn++++=knife!
! ^zz++++=EXTRAWORD
By ^in++++=By
thus ^rb+cnj+++=thus
summoning ^nvbg+++xvbg+=summoning
her ^pp3o+pp3+++=her
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she
not ^xnot++not++=not
inviting ^jj+++xvbg+=inviting
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
mortal ^jj+atrb+++=mortal
struggle ^nn++++=struggle
with ^in++++=with
a ^at++++=a
desperate ^jj+atrb+++=desperate
man ^nn++++=man
better ^jjr++++=better
armed ^jj+++xvbn+=armed
than ^in++++=than
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
easy ^jj++++=easy
to ^to+jcmp+++=to
liberate ^nn+nom+++=liberate
Basilio ^np++++=Basilio
and ^cc++++=and
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
go ^vb++++=go
his ^pp$+pp3+++=his
way ^nn++++=way;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband
would ^md+prd+++=would
follow ^vb+vprv+++=follow
and ^cc+phrs+++=and
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^cs+sub+++=that
the ^ati++++=the
mischief ^nn++++=mischief
of ^in++++=of
notifying ^j++++=notifying
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
best ^jjt+pred+++=best
to ^to+jcmp+++=to
keep ^vbi++++=keep
the ^ati++++=the
prisoner ^nn+nom+++=prisoner
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
plead ^vb+vsua+++=plead
for ^in++++=for
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Therein ^rb++++=Therein
lay ^jjb+++xvbn+=lay
her ^pp$+pp3+++=her
hope ^vb++++=hope
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
avert ^vb++++=avert
the ^ati++++=the
shedding ^jj+++xvbg+=shedding
of ^in++++=of
blood ^nn++++=blood
by ^in++++=by
either ^dtx++++=either
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
suspense ^nn++++=suspense;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
self ^nn++++=self-questionings;
- ^zz++++=EXTRAWORD
questionings ^nns+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dread ^nn++++=dread
of ^in++++=of
a ^at++++=a
terrible ^jj+atrb+++=terrible
termination ^nn+nom+++=termination
to ^in++++=to
an ^at++++=an
incident ^nn++++=incident
which ^whp+rel+subj++=which
already ^rb++++=already
had ^vbd+hvd+aux++=had
assumed ^vprf+++xvbnx+=assumed
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
tragedy ^nn++++=tragedy;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
fearful ^jj+atrb+++=fearful
responsibility ^nn+nom+++=responsibility;
; ^zz++++=EXTRAWORD
the ^ati++++=the
menacing ^jj+atrb+++=menacing
possibility ^nn+nom+++=possibility
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
in ^in++++=in
simple ^jj+atrb+++=simple
defence ^nn+nom+++=defence
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^md"++pmd"++=have
to ^md+nec+++=to
kill ^vb++++=kill
Basilio ^np++++=Basilio;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
trepidation ^nn+nom+++=trepidation
on ^in++++=on
the ^ati++++=the
score ^nn++++=score
of ^in++++=of
her ^pp$+pp3+++=her
aim ^nn++++=aim
and ^cc++++=and
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
the ^ati++++=the
pistol ^nn++++=pistol--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
these ^dt+dem+++=these
things ^nns++++=things
and ^cc++++=and
others ^aps++++=others
were ^vbd+bed+aux++=were
wearing ^vbg+++xvbgx+=wearing
her ^pp$+pp3+++=her
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
wonder ^vbi++++=wonder
how ^wrb+who+++=how
long ^rb++++=long
she ^pp3a+pp3+++=she
could ^md+pos+++=could
bear ^vb+vprv+++=bear
the ^ati++++=the
strain ^nn++++=strain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
or ^cc++++=or
not ^xnot++not++=not
her ^pp$+pp3+++=her
husband ^nn++++=husband
would ^md+prd+++=would
arrive ^vb++++=arrive
in ^in++++=in
time ^nn++++=time
to ^to++++=to
save ^vbi++++=save
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
Velasco ^np+++??+=Velasco,
, ^zz++++=EXTRAWORD
racked ^j+++xvbn+=racked
to ^in++++=to
the ^ati++++=the
marrow ^nn+++??+=marrow
by ^in++++=by
the ^ati++++=the
pains ^nns++++=pains
which ^whp+rel+obj++=which
tortured ^jj+++xvbn+=tortured
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
driven ^vpsv++by+xvbn+=driven
by ^in++++=by
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
drop ^vbi++++=drop
the ^ati++++=the
dagger ^nn++++=dagger
and ^cc++++=and
plead ^vb+vsua+++=plead
for ^in++++=for
his ^pp$+pp3+++=his
life ^nn++++=life
and ^cc++++=and
by ^in++++=by
fear ^nn++++=fear
of ^in++++=of
parting ^xvbg+++xvbg+=parting
with ^in++++=with
his ^pp$+pp3+++=his
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
urged ^vpsv++agls+xvbnx+=urged
to ^to+vcmp+++=to
despair ^vbi++++=despair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
to ^in++++=to
desperation ^nn+nom+++=desperation.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
supplication ^nn+nom+++=supplication
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
face ^nn++++=face
and ^cc++++=and
eyes ^nns++++=eyes
could ^md+pos+++=could
show ^vb+vprv+++=show
pleaded ^vbd+vpub++xvbn+=pleaded
eloquently ^jj++++=eloquently
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
this ^dt+dem+++=this
silent ^jj++++=silent
pleading ^xvbg+++xvbg+=pleading
came ^vbd+++xvbn+=came
evidence ^nn+nom+++=evidence
of ^in++++=of
his ^pp$+pp3+++=his
physical ^jj+atrb+++=physical
agony ^nn++++=agony.
. ^zz++++=EXTRAWORD
The ^ati++++=The
muscles ^nns++++=muscles
of ^in++++=of
his ^pp$+pp3+++=his
arms ^nns++++=arms
and ^cc++++=and
legs ^nns++++=legs
twitched ^vbd+++xvbn+=twitched
and ^cc+phrs+++=and
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
labored ^jj+++xvbn+=labored
breathing ^xvbg+++xvbg+=breathing
hissed ^vbd+++xvbn+=hissed
as ^ql++++=as
it ^pp3+it+++=it
split ^vbd+++xvbn+=split
upon ^in++++=upon
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
longer ^rbr++++=longer
to ^in++++=to
control ^nn++++=control
the ^ati++++=the
muscles ^nns++++=muscles
of ^in++++=of
his ^pp$+pp3+++=his
lips ^nns++++=lips;
; ^zz++++=EXTRAWORD
the ^ati++++=the
keen ^jj+atrb+++=keen
edge ^nn++++=edge
of ^in++++=of
his ^pp$+pp3+++=his
weapon ^nn++++=weapon
found ^vbd+vprv++xvbn+=found
a ^at++++=a
way ^nn++++=way
into ^in++++=into
the ^ati++++=the
flesh ^nn++++=flesh
at ^in++++=at
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
small ^jj+atrb+++=small
streams ^nns++++=streams
of ^in++++=of
blood ^nn++++=blood
trickled ^vbd+++xvbn+=trickled
down ^in++++=down
his ^pp$+pp3+++=his
chin ^nn++++=chin
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
upon ^in++++=upon
his ^pp$+pp3+++=his
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
take ^vb++++=take
his ^pp$+pp3+++=his
gaze ^nn++++=gaze
from ^in++++=from
her ^pp$+pp3+++=her
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
these ^dt+dem+++=these
two ^cd++++=two
regarded ^vbd+++xvbn+=regarded
each ^ppls++++=each
other ^ap++++=other
in ^in++++=in
a ^at++++=a
silence ^nn+nom+++=silence
and ^cc++++=and
a ^at++++=a
stillness ^nns+nom+++=stillness
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
terrible ^jj+pred+++=terrible.
. ^zz++++=EXTRAWORD
A ^at++++=A
crisis ^nn++++=crisis
had ^md"++pmd"++=had
to ^md+nec+++=to
come ^vb++++=come.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
a ^at++++=a
test ^nn++++=test
of ^in++++=of
nerve ^nn++++=nerve
that ^tht+rel+subj++=that
inevitably ^rb++++=inevitably
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
victim ^nn++++=victim
of ^in++++=of
one ^cd1++++=one
or ^cc++++=or
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spectacle ^nn++++=spectacle
of ^in++++=of
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pitiful ^jj+atrb+++=pitiful
sight ^nn++++=sight
of ^in++++=of
his ^pp$+pp3+++=his
imploring ^vbg+++xvbg+=imploring
look ^nn++++=look,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
feminine ^jj+atrb+++=feminine
flesh ^nn++++=flesh
of ^in++++=of
which ^whp+rel+pied++=which
Violante ^np+++??+=Violante
was ^vbd+bedz+aux++=was
composed ^vpsv++agls+xvbnx+=composed
could ^md+pos+++=could
bear ^vb+vprv+++=bear.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crash ^nn++++=crash
came ^vbd+++xvbn+=came--Basilio
-- ^--+clp+++=EXTRAWORD
basilio ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
break ^vbi++++=break
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
voluntarily ^rb++++=voluntarily
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
released ^vbd+++xvbnx+=released
his ^pp$+pp3+++=his
hold ^nn++++=hold
upon ^in++++=upon
the ^ati++++=the
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
went ^vbd+++xvbn+=went
clattering ^vbg+++xvbg+=clattering
through ^in++++=through
the ^ati++++=the
vine ^nn++++=vine-branches
- ^zz++++=EXTRAWORD
branches ^nns++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
instant ^nn+nom+++=instant
his ^pp$+pp3+++=his
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
free ^jj++++=free,
, ^zz++++=EXTRAWORD
began ^jj+atrb++xvbn+=began
pouring ^jj+++xvbg+=pouring
forth ^np++++=forth
a ^at++++=a
supplication ^nn+nom+++=supplication
in ^in++++=in
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
language ^nn+nom+++=language
with ^in++++=with
an ^at++++=an
eloquence ^nn+nom+++=eloquence
which ^whp+rel+obj++=which
Violante ^np+++??+=Violante
had ^vb+hv+aux++=had
never ^rb++splt++=never
heard ^vprf+++xvbnx+=heard
equalled ^vbd+++xvbn+=equalled.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
senora ^nn+++??+=senora!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="who
who ^whp+who+++=EXTRAWORD
but ^cc++++=but
an ^at++++=an
angel ^nn++++=angel
could ^md+pos+++=could
show ^vb+vprv+++=show
a ^at++++=a
mercy ^nn++++=mercy
tenderer ^jjr++++=tenderer
than ^in++++=than
human ^jj++++=human?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
hope ^nn++++=hope
for ^in++++=for
the ^ati++++=the
mercy ^nn++++=mercy
of ^in++++=of
the ^ati++++=the
Holy ^jj++++=Holy
Virgin ^jjb++++=Virgin,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
a ^at++++=a
sweetness ^nns+nom+++=sweetness
and ^cc++++=and
a ^at++++=a
kindness ^nns+nom+++=kindness
in ^in++++=in
your ^pp$+pp2+++=your
face ^nn++++=face
that ^tht+rel+subj++=that
belong ^vb++++=belong
to ^in++++=to
an ^at++++=an
angel ^nn++++=angel
of ^in++++=of
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
of ^in++++=of
God ^np++++=God!
! ^zz++++=EXTRAWORD
surely ^rb++++=surely
thy ^pp$+pp2+++=thy
unworthy ^jj+atrb+++=unworthy
son ^nn++++=son
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
into ^in++++=into
this ^dt+dem+++=this
strait ^nn++++=strait
for ^in++++=for
the ^ati++++=the
trying ^nn++++=trying
of ^in++++=of
his ^pp$+pp3+++=his
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
its ^pp$+it+++=its
chastisement ^nn+nom+++=chastisement
and ^cc++++=and
purification ^nn+nom+++=purification
at ^in+cmpx+++=at
the ^in"++++=the
hands ^in"++++=hands
of ^in"++++=of
thy ^pp$+pp2+++=thy
sweetest ^jjt++++=sweetest
and ^cc+phrs+++=and
gentlest ^jjt++++=gentlest
of ^in++++=of
daughters ^nns+nom+++=daughters;
; ^zz++++=EXTRAWORD
for ^in++++=for
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
put ^vb+++xvbn+=put
it ^pp3+it+++=it
into ^in++++=into
her ^pp$+pp3+++=her
heart ^nn++++=heart--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
as ^ql++++=as
pure ^jj++++=pure
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
face ^nn++++=face
is ^vbz+bez+vrb++=is
beautiful ^jj+pred+++=beautiful--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
spare ^vbi++++=spare
me ^pp1o+pp1+++=me
from ^in++++=from
a ^at++++=a
most ^ql+emph+++=most
horrible ^jj+atrb+++=horrible
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
hast ^&fw++++=hast
whispered ^jj+++xvbn+=whispered
into ^in++++=into
her ^pp$+pp3+++=her
mother ^nn++++=mother-soul
- ^zz++++=EXTRAWORD
soul ^nn++++=EXTRAWORD
that ^tht+rel+++=that
one ^pn++++=one
of ^in++++=of
thy ^pp$+pp2+++=thy
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
base ^nn++++=base
and ^cc++++=and
undeserving ^nvbg+++xvbg+=undeserving,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
sent ^vpsv++agls+xvbnx+=sent
unshriven ^jj++++=unshriven
to ^in++++=to
the ^ati++++=the
judgment ^nn+nom+++=judgment-seat
- ^zz++++=EXTRAWORD
seat ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
Holy ^np++++=Holy
Christ ^np++++=Christ,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
son ^nn++++=son.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
holy ^jj+atrb+++=holy
church ^npl++++=church
thou ^pp2+pp2+++=thou
hast ^&fw++++=hast
enlightened ^jj++++=enlightened
her ^pp$+pp3+++=her
soul ^nn++++=soul
to ^in++++=to
the ^ati++++=the
duties ^nns++++=duties
of ^in++++=of
a ^at++++=a
Christian ^nn++++=Christian,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
her ^pp$+pp3+++=her
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face
shines ^vbz++++=shines
the ^ati++++=the
radiance ^nn+nom+++=radiance
of ^in++++=of
heaven. ^nn+++??+=heaven.--Ah,
-- ^--+clp+++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
senora ^nn+++??+=senora!
! ^zz++++=EXTRAWORD
see ^vb+vprv+tht0++=see
me ^pp1o+pp1+++=me
plead ^vb+vsua+++=plead
for ^in++++=for
mercy ^nn++++=mercy!
! ^zz++++=EXTRAWORD
Behold ^vb++++=Behold
the ^ati++++=the
agonies ^nns++++=agonies
which ^whp+rel+subj++=which
beset ^vbd+++xvbn+=beset
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
my ^pp$+pp1+++=my
sufferings ^nns++++=sufferings
unlock ^vb++++=unlock
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
your ^pp$+pp2+++=your
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
go ^vb++++=go
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
senora ^nn+++??+=senora;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
find ^vb+vprv+++=find
in ^in++++=in
me ^pp1o+pp1+++=me
a ^at++++=a
slave ^nn++++=slave
all ^rb++++=all
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
humblest ^jjt++++=humblest
and ^cc++++=and
most ^ql+emph+++=most
devoted ^jj+++xvbn+=devoted
of ^in++++=of
slaves ^nns++++=slaves,
, ^zz++++=EXTRAWORD
happy ^jj++++=happy
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
beat ^vbd+++xvbn+=beat
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
glorying ^jj+++xvbg+=glorying
in ^in++++=in
my ^pp$+pp1+++=my
slavery ^nn+nom+++=slavery
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
starve ^vb++++=starve
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
giving ^xvbg+++xvbg+=giving
praise ^vb++++=praise
to ^in++++=to
Almighty ^jj+atrb+++=Almighty
God ^np++++=God
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
trample ^nn+++??+=trample
me ^pp1o+pp1+++=me
under ^in++++=under
your ^pp$+pp2+++=your
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Senora ^np+++??+=Senora,
, ^zz++++=EXTRAWORD
senora ^nn+++??+=senora,
, ^zz++++=EXTRAWORD
release ^nn++++=release
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
time ^nn++++=time
is ^vbz+bez+aux++=is
