Apollo ^np++++=Apollo
Raphael ^np++++=Raphael
and ^cc++++=and
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
Bruce ^np++++=Bruce
Lee ^nn++++=Lee
videotapes ^nns+++??+=videotapes,
, ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
saying ^vwbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Watch
watch ^vb++++=EXTRAWORD
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Watch ^vb++++=Watch
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Through ^in++++=Through
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
films ^nns++++=films
anew ^nn+++??+=anew;
; ^zz++++=EXTRAWORD
some ^dti++++=some
moves ^vbz++++=moves
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
merely ^rb+down+++=merely
competent ^jj++++=competent
became ^vbd+++xvbn+=became
luminous ^jj++++=luminous
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Watch
watch ^vb++++=EXTRAWORD
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
really ^rb+emph+++=really
mattered ^vbd+++xvbn+=mattered;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wisdom ^nn++++=wisdom
lay ^vbd+++xvbn+=lay
easy ^jj++++=easy
on ^in++++=on
his ^pp$+pp3+++=his
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rewound ^nn+++??+=rewound
the ^ati++++=the
sections ^nns+nom+++=sections
in ^in++++=in
which ^whp+rel+pied++=which
Bruce ^np++++=Bruce
Lee ^nn++++=Lee
used ^vwbn+++xvbn+=used
a ^at++++=a
nunchaku ^nn+++??+=nunchaku,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
unblinking ^jj+++xvbg+=unblinking,
, ^zz++++=EXTRAWORD
gasping ^vbg+++xvbg+=gasping
at ^rb++++=at
the ^ati++++=the
clean ^jj+atrb+++=clean
aggression ^nn++++=aggression
of ^in++++=of
the ^ati++++=the
metal ^nn++++=metal-and-wood
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
weapon ^nn++++=weapon.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
nunchaku ^nn+++??+=nunchaku,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
difficult ^jj++++=difficult
to ^to+jcmp+++=to
use ^vbi++++=use,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
said ^vbd+vpub++xvbn+=said
firmly ^rb+cnj+++=firmly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
almost ^rb+hdg+++=almost
sorry ^jj++++=sorry
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
wanted ^vprf+++xvbnx+=wanted
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
long ^rb++++=long
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
back ^jjb++++=back
from ^in++++=from
school ^nn++++=school
one ^cd1++++=one
day ^nn++++=day
and ^cc++++=and
Raphael ^np++++=Raphael
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="See."
see ^vb+vprv+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
cupboard ^nn++++=cupboard
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
out ^rp+pl+++=out
a ^at++++=a
nunchaku ^nn+++??+=nunchaku
two ^cd++++=two
pieces ^nns++++=pieces
of ^in++++=of
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
cleaning ^jj+atrb++xvbg+=cleaning
mop ^nn++++=mop
and ^cc++++=and
sanded ^jj+++xvbn+=sanded
down ^rp++++=down,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
together ^nn+nom+++=together
by ^in++++=by
a ^at++++=a
spiral ^nn++++=spiral
of ^in++++=of
metal ^nn++++=metal
springs ^nns++++=springs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
making ^vbg+++xvbgx+=making
it ^pp3+it+++=it
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
free ^jj+atrb+++=free
time ^nn++++=time
after ^in++++=after
his ^pp$+pp3+++=his
housework ^nn+++??+=housework.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
showed ^vbd+vprv++xvbnx+=showed
me ^pp1o+pp1+++=me
how ^wrb+who+++=how
to ^to++++=to
use ^vbi++++=use
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
moves ^vbz++++=moves
seemed ^vprf+++xvbn+=seemed
clumsy ^jj++++=clumsy,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
like ^in++++=like
Bruce ^np++++=Bruce
Lee ^nn++++=Lee's.
's. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
nunchaku ^nn+++??+=nunchaku
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
swing ^vbi++++=swing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^ap+down+++=only
ended ^jj+++xvbn+=ended
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
thump ^nn++++=thump
on ^in++++=on
my ^pp$+pp1+++=my
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
can ^md+pos+++=can
just ^rb+emph+splt++=just
start ^vb++++=start
like ^in++++=like
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in++++=to
practice ^nn++++=practice
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
school ^nn++++=school,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
through ^in++++=through
classes ^nns++++=classes
thinking ^vwbg+++xvbg+=thinking
of ^in++++=of
the ^ati++++=the
wood ^npl++++=wood's
's ^$++++=EXTRAWORD
smoothness ^nns+nom+++=smoothness
in ^in++++=in
the ^ati++++=the
palm ^nn++++=palm
of ^in++++=of
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
after ^in++++=after
school ^nn++++=school,
, ^zz++++=EXTRAWORD
with ^in++++=with
Raphael ^np++++=Raphael,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
real ^jj+atrb+++=real
life ^nn++++=life
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
parents ^nns++++=parents
did ^vbd+dod+aux++=did
not ^xnot++not++=not
notice ^vb+vprv+++=notice
how ^wrb+who+whcl++=how
close ^jj+atrb+++=close
Raphael ^np++++=Raphael
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become.
. ^zz++++=EXTRAWORD
All ^abn++++=All
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
play ^vbi++++=play
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Raphael ^np++++=Raphael
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
landscape ^nn++++=landscape
of ^in++++=of
outside ^jjb++++=outside:
: ^zz++++=EXTRAWORD
weeding ^jj+++xvbg+=weeding
the ^ati++++=the
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=washing
pots ^nns++++=pots
at ^in++++=at
the ^ati++++=the
water ^nn++++=water
tank ^nn++++=tank.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
finished ^vbd+++xvbn+=finished
plucking ^vbg+++xvbg+=plucking
a ^at++++=a
chicken ^nn++++=chicken
and ^cc++++=and
interrupted ^vbd+++xvbn+=interrupted
my ^pp$+pp1+++=my
solo ^jjb+atrb+++=solo
practice ^nn++++=practice
on ^in++++=on
the ^ati++++=the
lawn ^nn++++=lawn.
. ^zz++++=EXTRAWORD
" ^zz++++="Fight!"
fight ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
A ^at++++=A
duel ^nn++++=duel
began ^vbd+++xvbn+=began,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
bare ^jj++++=bare,
, ^zz++++=EXTRAWORD
mine ^pp$$++++=mine
swinging ^vbg+++xvbg+=swinging
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
weapon ^nn++++=weapon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
me ^pp1o+pp1+++=me
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
end ^nn++++=end
hit ^vbd+++xvbn+=hit
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
surprised ^vbd+++xvbn+=surprised
and ^cc++++=and
then ^rn+tm+++=then
impressed ^vbd+++xvbn+=impressed,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
not ^xnot++not++=not
thought ^nn+++xvbn+=thought
me ^pp1o+pp1+++=me
capable ^jj++++=capable.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
swung ^vbd+++xvbnx+=swung
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
feinted ^vbd+++xvbnx+=feinted
and ^cc+phrs+++=and
dodged ^vbd+++xvbn+=dodged
and ^cc+phrs+++=and
kicked ^vbd+++xvbn+=kicked.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time
collapsed ^vbd+++xvbn+=collapsed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
both ^abx++++=both
panting ^jj+++xvbg+=panting
and ^cc+phrs+++=and
laughing ^jj+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
even ^rb++++=even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
smallness ^nns+nom+++=smallness
of ^in++++=of
his ^pp$+pp3+++=his
shorts ^nns++++=shorts
that ^tht+rel+obj++=that
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
the ^ati++++=the
muscles ^nns++++=muscles
ran ^vbd+++xvbn+=ran
wiry ^jj++++=wiry
like ^in++++=like
ropes ^nns++++=ropes
down ^in++++=down
his ^pp$+pp3+++=his
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
On ^in++++=On
weekends ^nns++++=weekends,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ate ^vbd+++xvbnx+=ate
lunch ^nn++++=lunch
with ^in++++=with
my ^pp$+pp1+++=my
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
ate ^vbd+++xvbn+=ate
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
dreaming ^vbg+++xvbg+=dreaming
of ^in++++=of
escape ^nn++++=escape
and ^cc++++=and
hoping ^vbg+vprv++xvbg+=hoping
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
turn ^vb++++=turn
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
test ^nn++++=test
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
lunch ^nn++++=lunch,
, ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
served ^vbd+++xvbn+=served
white ^jj+atrb+++=white
disks ^nns+++??+=disks
of ^in++++=of
boiled ^jj+atrb++xvbn+=boiled
yam ^nn+++??+=yam
on ^in++++=on
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
greens ^nns++++=greens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
cubed ^vbd+++xvbn+=cubed
pawpaw ^nn+++??+=pawpaw
and ^cc++++=and
pineapple ^nn++++=pineapple.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
vegetable ^nn++++=vegetable
was ^vbd+bedz+vrb++=was
too ^ql++++=too
tough ^jj++++=tough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^npt++++=mother
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
we ^pp1a+pp1+++=we
grass ^nn++++=grass-eating
- ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=EXTRAWORD
goats ^nns++++=goats?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
wrong ^jj+pred+++=wrong
with ^in++++=with
your ^pp$+pp2+++=your
eyes ^nns++++=eyes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
me ^pp1o+pp1+++=me
a ^at++++=a
moment ^nn++++=moment
to ^to++++=to
realize ^vbi+vprv+++=realize
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
her ^pp$+pp3+++=her
usual ^jj++++=usual
figurative ^jj++++=figurative
lambasting ^jj+++xvbg+=lambasting
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
big ^jj+atrb+++=big
object ^nn++++=object
blocking ^vwbg+++xvbg+=blocking
your ^pp$+pp2+++=your
nose ^nn++++=nose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
ask ^vb++++=ask,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
a ^at++++=a
smell ^nn++++=smell
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whites ^nns++++=whites
of ^in++++=of
Raphael ^np++++=Raphael's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
A ^at++++=A
painful ^jj+atrb+++=painful,
, ^zz++++=EXTRAWORD
unnatural ^jj+atrb+++=unnatural
red ^nn++++=red.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
mumbled ^vbd+++xvbnx+=mumbled
that ^dt+dem+++=that
an ^at++++=an
insect ^nn++++=insect
had ^vbd+hvd+aux++=had
flown ^vprf+++xvbnx+=flown
into ^in++++=into
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
looks ^nns++++=looks
like ^in++++=like
Apollo ^np++++=Apollo,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
pushed ^vwbn+++xvbn+=pushed
back ^jjb++++=back
her ^pp$+pp3+++=her
chair ^nn++++=chair
and ^cc++++=and
examined ^jj+++xvbn+=examined
Raphael ^np++++=Raphael's
's ^$++++=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah-ah!
ah ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
to ^in++++=to
your ^pp$+pp2+++=your
room ^nn++++=room
and ^cc++++=and
stay ^vb++++=stay
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael
hesitated ^vbd+++xvbn+=hesitated,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
finish ^vbi++++=finish
clearing ^vbg+++xvbg+=clearing
the ^ati++++=the
plates ^nns++++=plates.
. ^zz++++=EXTRAWORD
" ^zz++++="Go!"
go ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^npt++++=father
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Before
before ^cs+sub+++=EXTRAWORD
you ^pp2+pp2+++=you
infect ^vb++++=infect
us ^pp1o+pp1+++=us
all ^rb++++=all
with ^in++++=with
this ^dt+dem+++=this
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Raphael ^np++++=Raphael,
, ^zz++++=EXTRAWORD
looking ^xvbg+++xvbg+=looking
confused ^xvbn+++xvbn+=confused,
, ^zz++++=EXTRAWORD
edged ^j+++xvbn+=edged
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^nn++++=mother
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Madam ^npt++++=Madam."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
an ^at++++=an
infection ^nn+nom+++=infection
of ^in++++=of
your ^pp$+pp2+++=your
conjunctiva ^nn+++??+=conjunctiva,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
that ^tht+rel+obj++=that
covers ^nns++++=covers
your ^pp$+pp2+++=your
eyes ^nns++++=eyes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
her ^pp$+pp3+++=her
Igbo ^np+++??+=Igbo
words ^nns++++=words,
, ^zz++++=EXTRAWORD
" ^zz++++="conjunctiva"
conjunctiva ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded
sharp ^jj++++=sharp
and ^cc+phrs+++=and
dangerous ^jj++++=dangerous.
. ^zz++++=EXTRAWORD
" ^zz++++="We're
we ^pp1a+pp1+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
buy ^vb++++=buy
medicine ^nn++++=medicine
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Use ^nn++++=Use
it ^pp3+it+++=it
three ^cd++++=three
times ^nns++++=times
a ^at++++=a
day ^nn++++=day
and ^cc++++=and
stay ^nn++++=stay
in ^in++++=in
your ^pp$+pp2+++=your
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
cook ^nn++++=cook
until ^cs+sub+++=until
it ^pp3+it+++=it
clears ^vbz++++=clears."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Okenwa,
okenwa ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
make ^vb++++=make
sure ^jj++++=sure
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
near ^rb++++=near
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Apollo ^np++++=Apollo
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
infectious ^jj++++=infectious."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
From ^in++++=From
her ^pp$+pp3+++=her
perfunctory ^jj+atrb+++=perfunctory
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
imagine ^vb+vprv+tht0++=imagine
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+vrb++=have
any ^dti++++=any
reason ^nn++++=reason
to ^to++++=to
go ^vbi++++=go
near ^in+pl+++=near
Raphael ^np++++=Raphael.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
parents ^nns++++=parents
drove ^vbd+++xvbn+=drove
to ^to+vcmp+++=to
the ^ati++++=the
pharmacy ^nn+nom+++=pharmacy
in ^in++++=in
town ^nn++++=town
and ^cc++++=and
came ^vbd+++xvbn+=came
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
eye ^nn++++=eye
drops ^nns++++=drops,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
father ^nn++++=father
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
Raphael ^vb++++=Raphael's
's ^$++++=EXTRAWORD
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
boys ^nns++++=boys'
' ^zz++++=EXTRAWORD
quarters ^nns+nom+++=quarters,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
someone ^pn++++=someone
going ^vbg+++xvbg+=going
reluctantly ^rb++++=reluctantly
into ^in++++=into
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
with ^in++++=with
my ^pp$+pp1+++=my
parents ^nns++++=parents
to ^in++++=to
Obollo ^np+++??+=Obollo
Road ^nn++++=Road
to ^to++++=to
buy ^vbi++++=buy
akara ^nn+++??+=akara
for ^in++++=for
dinner ^nn++++=dinner;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
felt ^vbd+vprv++xvbn+=felt
strange ^jj++++=strange
not ^xnot++not++=not
to ^to++++=to
have ^vbi++vrb++=have
Raphael ^np++++=Raphael
open ^nn++++=open
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
find ^vbi+vprv+tht0++=find
him ^pp3o+pp3+++=him
closing ^vbg+++xvbg+=closing
the ^ati++++=the
living ^jj+++xvbg+=living-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
curtains ^nns++++=curtains
and ^cc++++=and
turning ^nvbg+++xvbg+=turning
on ^in++++=on
the ^ati++++=the
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
quiet ^jj+atrb+++=quiet
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
