We ^pp1a+pp1+++=We,
raw ^jj+atrb+++=raw
bones ^nns++++=bones
in ^in++++=in
a ^at++++=a
Corsican ^nn+nom+++=Corsican
hut ^nn++++=hut;
; ^zz++++=EXTRAWORD
Boney ^jj++++=Boney
murdering ^jj+++xvbg+=murdering
the ^ati++++=the
sick ^nn++++=sick
at ^in++++=at
Jaffa ^np+++??+=Jaffa;
; ^zz++++=EXTRAWORD
Boney ^jj++++=Boney
with ^in++++=with
a ^at++++=a
hookah ^nn+++??+=hookah
and ^cc++++=and
a ^at++++=a
large ^jj+atrb+++=large
turban ^nn++++=turban,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
adopted ^vprf+++xvbn+=adopted
the ^ati++++=the
Turkish ^jj+atrb+++=Turkish
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
&c.) ^nn+++??+=&c.)--this
-- ^--+clp+++=EXTRAWORD
this ^dt+dem+++=EXTRAWORD
Corsican ^nn+nom+++=Corsican
monster ^nn+nom+++=monster,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
some ^dti++++=some
devoted ^jj+atrb++xvbn+=devoted
friends ^nns++++=friends
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Gilray ^np+++??+=Gilray
chronicle, ^nn+++??+=chronicle,--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
set ^nn+++xvbn+=set
of ^in++++=of
villains ^nns+++??+=villains
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
atheism ^nn+nom+++=atheism,
, ^zz++++=EXTRAWORD
tyranny ^nn++++=tyranny,
, ^zz++++=EXTRAWORD
plunder ^nn++++=plunder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wickedness ^nns+nom+++=wickedness
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
like ^in++++=like
their ^pp$+pp3+++=their
French ^jj+atrb+++=French
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
pictures ^nns++++=pictures
these ^dt+dem+++=these
men ^nns++++=men
were ^vbd+bed+vrb++=were
all ^abn++++=all
represented ^jj+++xvbn+=represented
as ^ql++++=as
dwarfs ^nns+++??+=dwarfs,
, ^zz++++=EXTRAWORD
like ^in++++=like
their ^pp$+pp3+++=their
ally ^nn++++=ally.
. ^zz++++=EXTRAWORD
The ^ati++++=The
miscreants ^nns+nom+++=miscreants
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
power ^nn++++=power
at ^in++++=at
one ^cd1++++=one
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
remember ^nn+nom+++=remember
right ^nn++++=right,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
Broad ^jj++++=Broad-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
Administration ^nn+nom+++=Administration.
. ^zz++++=EXTRAWORD
One ^pn++++=One
with ^in++++=with
shaggy ^jj+atrb+++=shaggy
eyebrows ^nns++++=eyebrows
and ^cc++++=and
a ^at++++=a
bristly ^jj+atrb+++=bristly
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hirsute ^nn+++??+=hirsute
ringleader ^jjr++++=ringleader
of ^in++++=of
the ^ati++++=the
rascals ^nns+nom+++=rascals,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
Charles ^np++++=Charles
James ^np++++=James
Fox ^nn++++=Fox;
; ^zz++++=EXTRAWORD
another ^dt++++=another
miscreant ^nn+nom+++=miscreant,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
blotched ^nn++++=blotched
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj+atrb+++=certain
Sheridan ^np+nom++??+=Sheridan;
; ^zz++++=EXTRAWORD
other ^ap++++=other
imps ^nns+++??+=imps
were ^vbd+bed+vrb++=were
hight ^nn+++??+=hight
Erskine ^np+++??+=Erskine,
, ^zz++++=EXTRAWORD
Norfolk ^np++++=Norfolk
( ^zz++++=(Jockey
jockey ^nn++++=EXTRAWORD
of ^in++++=of),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Moira ^np++++=Moira,
, ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Petty ^jj++++=Petty.
. ^zz++++=EXTRAWORD
As ^in++++=As
in ^in"++++=in
our ^pp$+pp1+++=our
childish ^jj++++=childish,
, ^zz++++=EXTRAWORD
innocence ^nn+nom+++=innocence
we ^pp1a+pp1+++=we
used ^md"++pmd"++=used
to ^to++++=to
look ^vb++++=look
at ^in++++=at
these ^dt+dem+++=these
demons ^nns++++=demons,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
sprawling ^jj+++xvbg+=sprawling
and ^cc+phrs+++=and
tipsy ^jj++++=tipsy
in ^in++++=in
their ^pp$+pp3+++=their
cups ^nns++++=cups;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
scaling ^vbg+nom++xvbg+=scaling
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
angelic ^jj+atrb+++=angelic
Pitt ^np++++=Pitt
hurled ^vwbn+++xvbn+=hurled
them ^pp3o+pp3+++=them
down ^rp++++=down;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
cursing ^vbg+++xvbg+=cursing
the ^ati++++=the
light ^nn++++=light
( ^zz++++=(their
their ^pp$+pp3+++=EXTRAWORD
atrocious ^jj+atrb+++=atrocious
ringleader ^jjr+atrb+++=ringleader
Fox ^nn++++=Fox
was ^vbd+bedz+aux++=was
represented ^vpsv++agls+xvbnx+=represented
with ^in++++=with
hairy ^jj+atrb+++=hairy
cloven ^jj+atrb++xvbn+=cloven
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tail ^nn++++=tail
and ^cc++++=and
horns ^nns++++=horns);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
kissing ^vbg+++xvbg+=kissing
Boney ^np++++=Boney's
's ^$++++=EXTRAWORD
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
inevitably ^rb++++=inevitably
discomfited ^vpsv++by+xvbn+=discomfited
by ^in++++=by
Pitt ^np++++=Pitt
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
good ^jj+atrb+++=good
angels ^nns++++=angels:
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hated ^vbd+++xvbn+=hated
these ^dt+dem+++=these
vicious ^jj+atrb+++=vicious
wretches ^nns+++??+=wretches,
, ^zz++++=EXTRAWORD
as ^ql++++=as
good ^jj+atrb+++=good
children ^nns++++=children
should ^md+nec+++=should;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
Virtue ^nn++++=Virtue
and ^cc++++=and
Pitt ^np++++=Pitt
and ^cc++++=and
Grandpapa ^np+++??+=Grandpapa.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
sisters ^nns+nom+++=sisters
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
portfolios ^nns+++??+=portfolios,
, ^zz++++=EXTRAWORD
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
grandfather ^nn+nom+++=grandfather
used ^md"++pmd"++=used
to ^to++++=to
hesitate ^nn+nom+++=hesitate.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
some ^dti++++=some
prints ^nns++++=prints
among ^in++++=among
them ^pp3o+pp3+++=them
very ^ql+amp+++=very
odd ^jj++++=odd
indeed ^rb++++=indeed;
; ^zz++++=EXTRAWORD
some ^dti++++=some
that ^cs+sub+++=that
girls ^vbz++++=girls
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand;
; ^zz++++=EXTRAWORD
some ^dti++++=some
that ^cs+sub+++=that
boys ^vbz++++=boys,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
best ^jjt++++=best
not ^xnot++not++=not
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
swiftly ^rb++++=swiftly
turn ^nn++++=turn
over ^in++++=over
those ^dt+dem+++=those
prohibited ^jj+atrb++xvbn+=prohibited
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
coarse ^jj++++=coarse,
, ^zz++++=EXTRAWORD
reckless ^jj++++=reckless,
, ^zz++++=EXTRAWORD
ribald ^jj+atrb+++=ribald,
, ^zz++++=EXTRAWORD
generous ^jj+atrb+++=generous
book ^nn++++=book
of ^in++++=of
old ^jj+atrb+++=old
English ^jj+atrb+++=English
humor ^nn++++=humor!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
savage ^jj++++=savage
the ^ati++++=the
satire ^nn++++=satire
was ^vbd+bedz+vrb++=was--how
-- ^--+clp+++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
fierce ^jj++++=fierce
the ^ati++++=the
assault ^nn++++=assault--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
garbage ^nn+nom+++=garbage
hurled ^vwbn+++xvbn+=hurled
at ^in++++=at
opponents ^nns++++=opponents--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
foul ^jj+atrb+++=foul
blows ^nns++++=blows
were ^vbd+bed+aux++=were
hit ^vpsv++agls+xvbnx+=hit--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
language ^nn+nom+++=language
of ^in++++=of
Billingsgate ^np+nom++??+=Billingsgate
flung ^vbd+++xvbn+=flung!
! ^zz++++=EXTRAWORD
Fancy ^jj++++=Fancy
a ^at++++=a
party ^nn++++=party
in ^in++++=in
a ^at++++=a
country ^nn++++=country-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
now ^rn+tm+++=now
looking ^vbg+++xvbg+=looking
over ^in++++=over
Woodward ^np++++=Woodward's
's ^$++++=EXTRAWORD
facetiae ^nn+++??+=facetiae
or ^cc++++=or
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
Gilray ^np+++??+=Gilray
comicalities ^nns+nom+++=comicalities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
slatternly ^jj+atrb+++=slatternly
Saturnalia ^nn++++=Saturnalia
of ^in++++=of
Rowlandson ^np++++=Rowlandson!
! ^zz++++=EXTRAWORD
Whilst ^cs+sub+++=Whilst
we ^pp1a+pp1+++=we
live ^vb++++=live
we ^pp1a+pp1+++=we
must ^md+nec+++=must
laugh ^vb++++=laugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
folks ^nns++++=folks
to ^to++++=to
make ^vbi++++=make
us ^pp1o+pp1+++=us
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
cannot ^md+pos+not++=cannot
afford ^vb++++=afford
to ^to+vcmp+++=to
lose ^vbi++++=lose
Satyr ^np+++??+=Satyr
with ^in++++=with
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
and ^cc++++=and
dances ^nns++++=dances
and ^cc++++=and
gambols ^nns+++??+=gambols.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
washed ^vprf+++xvbnx+=washed,
, ^zz++++=EXTRAWORD
combed ^j+++xvbn+=combed,
, ^zz++++=EXTRAWORD
clothed ^xvbn+++xvbn+=clothed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taught ^vbd+vsua++xvbn+=taught
the ^ati++++=the
rogue ^nn++++=rogue
good ^jj+atrb+++=good
manners ^nns+nom+++=manners:
: ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
us ^pp1o+pp1+++=us
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
learned ^vprf+++xvbnx+=learned
them ^pp3o+pp3+++=them
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
of ^in++++=of
nature ^nn++++=nature
soft ^jj++++=soft
and ^cc++++=and
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
put ^vprf+++xvbnx+=put
aside ^rp++++=aside
his ^pp$+pp3+++=his
mad ^jj+atrb+++=mad
pranks ^nns+++??+=pranks
and ^cc++++=and
tipsy ^jj+atrb+++=tipsy
habits ^nns++++=habits;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
frolicsome ^nn+++??+=frolicsome
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
gentle ^jj++++=gentle
and ^cc+phrs+++=and
harmless ^jj++++=harmless,
, ^zz++++=EXTRAWORD
smitten ^vprf+++xvbn+=smitten
into ^in++++=into
shame ^nn++++=shame
by ^in++++=by
he ^pp3a+pp3+++=he
pure ^jj+atrb+++=pure
presence ^nn+nom+++=presence
of ^in++++=of
our ^pp$+pp1+++=our
women ^nns++++=women
and ^cc++++=and
the ^ati++++=the
sweet ^jj+atrb+++=sweet
confiding ^nn++++=confiding
smiles ^nns++++=smiles
of ^in++++=of
our ^pp$+pp1+++=our
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
veterans ^nns+nom+++=veterans,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
pictorial ^jj+atrb+++=pictorial
satirists ^nns+nom+++=satirists,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
mentioned ^vprf+++xvbnx+=mentioned
the ^ati++++=the
famous ^jj+atrb+++=famous
name ^nn++++=name
of ^in++++=of
one ^cd1++++=one
humorous ^jj+atrb+++=humorous
designer ^nn+nom+++=designer
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
alive ^jj+pred+++=alive
and ^cc++++=and
at ^rb++++=at
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
we ^pp1a+pp1+++=we
not ^xnot++not++=not
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
own ^ap++++=own
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
own ^ap++++=own
portrait ^nn++++=portrait
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
famous ^jj+atrb+++=famous
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whiskers ^nns+nom+++=whiskers,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Illustrated ^jj+++xvbn+=Illustrated
London ^np++++=London
News ^nn++++=News
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
print ^nn++++=print
in ^cs+sub+++=in
that ^cs"++++=that
paper ^nn++++=paper
of ^in++++=of
an ^at++++=an
assemblage ^nn+nom+++=assemblage
of ^in++++=of
Teetotalers ^nns+nom++??+=Teetotalers
in ^in++++=in
" ^zz++++="Sadler's
sadler ^jjr+atrb+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Wells ^np++++=Wells
Theatre ^nn++++=Theatre,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
we ^pp1a+pp1+++=we
straightway ^rb++++=straightway
recognized ^vbd+vprv++xvbn+=recognized
the ^ati++++=the
old ^jj+atrb+++=old
Roman ^jj+atrb+++=Roman
hand ^nn++++=hand--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
old ^jj+atrb+++=old
Roman ^np++++=Roman's
's ^vbz+bez+vrb++0=EXTRAWORD
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
Plancus ^np+++??+=Plancus--George
-- ^--+clp+++=EXTRAWORD
george ^np++++=EXTRAWORD
Cruikshank ^np+++??+=Cruikshank's.
's. ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
the ^ati++++=the
old ^jj+atrb+++=old
bonnets ^nns+++??+=bonnets
and ^cc++++=and
droll ^nn+++??+=droll
faces ^nns++++=faces
and ^cc++++=and
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
short ^jj+atrb+++=short
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
figures ^nns++++=figures
of ^in++++=of
1820 ^cd+date+++=1820
sure ^jj++++=sure
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
George ^np++++=George
( ^zz++++=(who
who ^whp+who+++=EXTRAWORD
has ^vbz+hvz+aux++=has
taken ^vprf+++xvbnx+=taken
to ^to+vcmp+++=to
the ^ati++++=the
water ^nn++++=water-doctrine,
- ^zz++++=EXTRAWORD
doctrine ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
knows ^vbz+vprv+++=knows)
) ^zz++++=EXTRAWORD
handing ^vbg+++xvbg+=handing
some ^dti++++=some
teetotal ^jj+atrb+++=teetotal
cresses ^nns+nom++??+=cresses
over ^in++++=over
a ^at++++=a
plank ^nn++++=plank
to ^in++++=to
the ^ati++++=the
table ^nn++++=table
where ^wrb+who+++=where
the ^ati++++=the
pledge ^nn++++=pledge
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
administered ^vbd+++xvbn+=administered.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
often ^rb++++=often
has ^vbz+hvz+aux++=has
George ^np++++=George
drawn ^vwbn+++xvbn+=drawn
that ^dt+dem+++=that
picture ^nn++++=picture
of ^in++++=of
Cruikshank ^np+++??+=Cruikshank!
! ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
seen ^vbd+vprv++xvbn+=seen
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
fine ^jj++++=fine
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
facing ^vbg+++xvbg+=facing
the ^ati++++=the
effigy ^nn++++=effigy
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ainsworth ^np++++=Ainsworth
in ^in++++=in
Ainsworth ^np++++=Ainsworth's
's ^$++++=EXTRAWORD
Magazine ^nn++++=Magazine
when ^wrb+who+++=when
George ^np++++=George
illustrated ^vbd+++xvbn+=illustrated
that ^dt+dem+++=that
periodical ^jj++++=periodical!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
grand ^jj++++=grand
and ^cc+phrs+++=and
severe ^jj++++=severe
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
in ^cs+sub+++=in
that ^cs"++++=that
design ^nn++++=design
in ^in++++=in
G ^zz++++=G.
. ^zz++++=EXTRAWORD
C. ^np++++=C.'s
's ^$++++=EXTRAWORD
" ^zz++++="Omnibus,"
omnibus ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
represents ^vbz++++=represents
himself ^ppl+pp3+++=himself
tonged ^vbd+++xvbn+=tonged
like ^in++++=like
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Dunstan ^np+++??+=Dunstan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tweaking ^nvbg+++xvbg+=tweaking
a ^at++++=a
wretch ^nn++++=wretch
of ^in++++=of
a ^at++++=a
publisher ^nn+nom+++=publisher
by ^in++++=by
the ^ati++++=the
nose ^nn++++=nose!
! ^zz++++=EXTRAWORD
The ^ati++++=The
collectors ^nns++++=collectors
of ^in++++=of
George ^np++++=George's
's ^$++++=EXTRAWORD
etchings ^nns++++=etchings--oh
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
the ^ati++++=the
charming ^jj+atrb++xvbg+=charming
etchings! ^nn+++??+=etchings!--oh
-- ^--+clp+++=EXTRAWORD
oh ^uh++++=EXTRAWORD
the ^ati++++=the
dear ^jj++++=dear
old ^jj++++=old
" ^zz++++="German
german ^jj+atrb+++=EXTRAWORD
Popular ^jj+atrb+++=Popular
Tales!" ^np+++??+=Tales!"--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
capital ^nn++++=capital
" ^zz++++="Points
points ^nns++++=EXTRAWORD
of ^in++++=of
Humor" ^np+++??+=Humor"--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
delightful ^jj++++=delightful
" ^zz++++="Phrenology"
phrenology ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="Scrap-books,"
scrap ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=OUR
time--plancus ^nns+++??+=time--Plancus's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
fact! ^nn+++??+=fact!--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
collectors ^nns++++=collectors
of ^in++++=of
the ^ati++++=the
Georgian ^jj+atrb+++=Georgian
etchings ^nns++++=etchings,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
hundred ^cd++++=hundred
pictures ^nns++++=pictures
of ^in++++=of
the ^ati++++=the
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
remember ^nn+nom+++=remember
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
favorite ^jj+atrb+++=favorite
Hessian ^np+++??+=Hessian
boots ^nns++++=boots
in ^in++++=in
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
and ^cc++++=and
Jerry ^np++++=Jerry"
" ^zz++++=EXTRAWORD
itself ^ppl++++=itself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
woodcuts ^nns++++=woodcuts
as ^in++++=as
far ^rb+pl+++=far
back ^jjb++++=back
as ^in++++=as
the ^ati++++=the
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
trial ^nn++++=trial.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+aux++=has
rather ^rb++splt++=rather
deserted ^vprf+++xvbnx+=deserted
satire ^nn++++=satire
and ^cc++++=and
comedy ^nn++++=comedy
of ^in++++=of
late ^jj+atrb+++=late
years ^nns++++=years,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
turned ^vprf+++xvbn+=turned
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
warlike ^jj++++=warlike,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sublime ^jj++++=sublime.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
confessed ^vbd+vpub++xvbn+=confessed
our ^pp$+pp1+++=our
age ^nn++++=age
and ^cc++++=and
prejudices ^nns++++=prejudices,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
prefer ^vb+vprv+++=prefer
the ^ati++++=the
comic ^jj++++=comic
and ^cc+phrs+++=and
fanciful ^jj++++=fanciful
to ^in++++=to
the ^ati++++=the
historic ^jj++++=historic,
, ^zz++++=EXTRAWORD
romantic ^jj++++=romantic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
present ^vb++++=present
didactic ^jj+atrb+++=didactic
George ^np++++=George.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
respect ^vb++++=respect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
length ^nn++++=length
of ^in++++=of
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comfortable ^jj+atrb+++=comfortable
repose ^nn++++=repose
attend ^vb++++=attend
the ^ati++++=the
brave ^jj++++=brave,
, ^zz++++=EXTRAWORD
honest ^jj++++=honest,
, ^zz++++=EXTRAWORD
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
pure ^jj++++=pure-minded
- ^zz++++=EXTRAWORD
minded ^jj+atrb++xvbn+=EXTRAWORD
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
humorist ^nn+nom+++=humorist,
, ^zz++++=EXTRAWORD
moralist ^nn+nom+++=moralist!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
first ^od++++=first
who ^whp+who+++=who
brought ^vbd+++xvbn+=brought
English ^jj+atrb+++=English
pictorial ^jj+atrb+++=pictorial
humor ^nn++++=humor
and ^cc++++=and
children ^nns++++=children
acquainted ^vwbn+++xvbn+=acquainted.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
young ^jj+atrb+++=young
people ^nns++++=people
and ^cc++++=and
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers
and ^cc++++=and
mothers ^nns+nom+++=mothers
owe ^vb++++=owe
him ^pp3o+pp3+++=him
many ^ap++++=many
a ^at++++=a
pleasant ^jj+atrb+++=pleasant
hour ^nn++++=hour
and ^cc++++=and
harmless ^jj+atrb+++=harmless
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
no ^at++++=no
