Translation ^nn+nom+++=Translation
laughter ^nn+nom+++=laughter
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
mixed ^vpsv++agls+xvbnx+=mixed
with ^in++++=with
a ^at++++=a
rasp ^nn+++??+=rasp
which ^whp+rel+subj++=which
sounded ^vbd+++xvbn+=sounded
dangerous ^jj++++=dangerous
but ^cc++++=but
meant ^vbd+vprv++xvbn+=meant
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
always ^rb++++=always
had ^vb+hv+vrb++=had
something ^pn++++=something
in ^in++++=in
their ^pp$+pp3+++=their
mouths ^nns++++=mouths
to ^in++++=to
spit ^nn++++=spit
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
where ^wrb+who+whcl++=where
they ^pp3a+pp3+++=they
spat ^vbd+++xvbnx+=spat.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
always ^rb++++=always
complained ^vbd+vpub++xvbn+=complained
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
fleas ^nns++++=fleas
sprung ^vbd+++xvbn+=sprung
over ^in++++=over
onto ^in++++=onto
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
never ^rb++++=never
seriously ^rb++++=seriously
angry ^jj++++=angry
at ^rb++++=at
me ^pp1o+pp1+++=me
because ^cs+cos+++=because
of ^in"++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
even ^rb++++=even
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
fleas ^nns++++=fleas
liked ^vbd+++xvbn+=liked
being ^vbg+beg++xvbg+=being
in ^in++++=in
my ^pp$+pp1+++=my
fur ^nn++++=fur
and ^cc++++=and
that ^tht+vcmp+++=that
fleas ^nns++++=fleas
are ^vb+ber+vrb++=are
jumpers ^nns+nom+++=jumpers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
learned ^vbd+vprv++xvbnx+=learned
to ^to+vcmp+++=to
live ^vbi++++=live
with ^in+ppvb+++=with
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
no ^at++++=no
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
them ^pp3o+pp3+++=them
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
in ^in++++=in
a ^at++++=a
semi ^nn+++??+=semi-circle
- ^zz++++=EXTRAWORD
circle ^nn++++=EXTRAWORD
around ^rp++++=around
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
made ^xvbn+++xvbn+=made
noises ^nns++++=noises
to ^in++++=to
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
smoked ^vbd+++xvbn+=smoked
their ^pp$+pp3+++=their
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
crates ^nns++++=crates.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
slapped ^vbd+++xvbnx+=slapped
their ^pp$+pp3+++=their
knees ^nns++++=knees
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
pick ^vb++++=pick
up ^rp++++=up
a ^at++++=a
stick ^nn++++=stick
and ^cc++++=and
tickle ^nn+++??+=tickle
me ^pp1o+pp1+++=me
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
today ^nr+tm+++=today
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
journey ^nn++++=journey
on ^in++++=on
that ^dt+dem+++=that
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
certainly ^rb++splt++=certainly
decline ^vb++++=decline
the ^ati++++=the
invitation ^nn+nom+++=invitation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
equally ^rb++++=equally
certain ^jj++++=certain
that ^tht+jcmp+++=that
the ^ati++++=the
memories ^nns++++=memories
I ^pp1a+pp1+++=I
could ^md+pos+++=could
dwell ^vb++++=dwell
on ^in+ppvb+++=on
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
there ^rn+pl+++=there
between ^in++++=between
the ^ati++++=the
decks ^nns++++=decks
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
totally ^rb+amp+++=totally
hateful ^jj+pred+++=hateful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
calmness ^nns+nom+++=calmness
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
acquired ^vbd+++xvbnx+=acquired
in ^in++++=in
this ^dt+dem+++=this
circle ^nn++++=circle
of ^in++++=of
people ^nns++++=people
prevented ^vbd+++xvbn+=prevented
me ^pp1o+pp1+++=me
above ^jjb++++=above
all ^rb++++=all
from ^in++++=from
any ^dti++++=any
attempt ^nn++++=attempt
to ^to+ncmp+++=to
escape ^vbi++++=escape.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
at ^rb++++=at
it ^pp3+it+++=it
nowadays ^rb+cnj+++=nowadays,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
at ^rb++splt++=at
least ^rb"++++=least
sensed ^vbd+vprv++xvbn+=sensed
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
find ^vb+vprv+++=find
a ^at++++=a
way ^nn++++=way
out ^rp+pl+++=out
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
live ^vbi++++=live,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
this ^dt+dem+++=this
way ^nn++++=way
out ^rp+pl+++=out
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
reached ^vpsv++by+xvbnx+=reached
by ^in++++=by
escaping ^nn++++=escaping.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
no ^at++++=no
longer ^rbr++++=longer
know ^vb+vprv+++=know
if ^cs+cnd+++=if
escape ^vb++++=escape
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
ape ^nn++++=ape
it ^pp3+it+++=it
should ^md+nec+++=should
always ^rb++++=always
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
flee ^vbi++++=flee.
. ^zz++++=EXTRAWORD
With ^in++++=With
my ^pp$+pp1+++=my
present ^jj+atrb+++=present
teeth ^nn++++=teeth
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
careful ^jj++++=careful
even ^rb++++=even
with ^in++++=with
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
task ^nn++++=task
of ^in++++=of
cracking ^xvbg+++xvbg+=cracking
a ^at++++=a
nut ^nn++++=nut,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++++=able,
, ^zz++++=EXTRAWORD
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
to ^to++++=to
succeed ^vbi++++=succeed
in ^in++++=in
chewing ^nn++++=chewing
through ^in++++=through
the ^ati++++=the
lock ^nn++++=lock
on ^in++++=on
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=would
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
achieved ^vprf+++xvbnx+=achieved
by ^in++++=by
doing ^xvbg+++xvbg+=doing
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
No ^at++++=No
sooner ^rbr++++=sooner
would ^md+prd+++=would
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
stuck ^vprf+++xvbnx+=stuck
my ^pp$+pp1+++=my
head ^jjb++++=head
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
than ^in++++=than
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
captured ^vprf+++xvbnx+=captured
me ^pp1o+pp1+++=me
again ^rb+tm+++=again
and ^cc++++=and
locked ^vbd+++xvbn+=locked
me ^pp1o+pp1+++=me
up ^rp++++=up
in ^in++++=in
an ^at++++=an
even ^rb++++=even
worse ^jjr+atrb+++=worse
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
refuge ^nn++++=refuge
unnoticed ^jj++++=unnoticed
among ^in++++=among
the ^ati++++=the
other ^ap++++=other
animals ^nns+nom+++=animals
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boa ^nn+++??+=boa
constrictors ^nns++++=constrictors
opposite ^jj++++=opposite
me ^pp1o+pp1+++=me
and ^cc++++=and
breathed ^vbd+++xvbn+=breathed
my ^pp$+pp1+++=my
last ^ap++++=last
in ^in++++=in
their ^pp$+pp3+++=their
embraces ^nns++++=embraces.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
managed ^vprf+++xvbnx+=managed
to ^to+vcmp+++=to
steal ^vbi++++=steal
way ^nn++++=way
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
deck ^nn++++=deck
and ^cc++++=and
to ^to++++=to
jump ^vbi++++=jump
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
tossed ^vprf+++xvbnx+=tossed
back ^jjb++++=back
and ^cc++++=and
forth ^rb++++=forth
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while
on ^in++++=on
the ^ati++++=the
ocean ^nn++++=ocean
and ^cc++++=and
would ^md+prd+++=would
have ^vb+hv+aux++=have
drowned ^vprf+++xvbnx+=drowned.
. ^zz++++=EXTRAWORD
Acts ^nns++++=Acts
of ^in++++=of
despair ^nn++++=despair.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
think ^vb+vprv+++=think
things ^nns++++=things
through ^in++++=through
in ^in++++=in
such ^abl++++=such
a ^at++++=a
human ^jj+atrb+++=human
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
under ^in++++=under
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
my ^pp$+pp1+++=my
surroundings ^nns++++=surroundings
conducted ^vbd+++xvbn+=conducted
myself ^ppl+pp1+++=myself
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
things ^nns++++=things
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
work ^nn++++=work
things ^nns++++=things
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
observe ^vb+vprv+++=observe
things ^nns++++=things
with ^in++++=with
complete ^jj+atrb+++=complete
tranquility ^nn+nom+++=tranquility.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
these ^dt+dem+++=these
men ^nns++++=men
going ^vwbg+++xvbg+=going
back ^jjb++++=back
and ^cc++++=and
forth ^rb+cnj+++=forth,
, ^zz++++=EXTRAWORD
always ^rb++++=always
the ^ati++++=the
same ^ap++++=same
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
movements ^nns+nom+++=movements.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
one ^cd1++++=one
man ^nn++++=man.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
man ^nn++++=man
or ^cc++++=or
these ^dt+dem+++=these
men ^nns++++=men
went ^vbd+++xvbn+=went
undisturbed ^jj++++=undisturbed.
. ^zz++++=EXTRAWORD
A ^at++++=A
lofty ^np++++=lofty
purpose ^nn++++=purpose
dawned ^vbd+++xvbn+=dawned
on ^in+ppvb+++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
promised ^vbd+vpub++xvbn+=promised
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
could ^md+pos+++=could
become ^vb++++=become
like ^in++++=like
them ^pp3o+pp3+++=them
the ^ati++++=the
cage ^nn++++=cage
would ^md+prd+++=would
be ^vb+be+aux++=be
removed ^vpsv++agls+xvbnx+=removed.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
promises ^nns++++=promises,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
impossible ^jj++++=impossible
to ^to+jcmp+++=to
fulfill ^vbi++++=fulfill,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
made ^vbd+++xvbn+=made.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
one ^cd1++++=one
makes ^vbz++++=makes
the ^ati++++=the
fulfillment ^nn+nom+++=fulfillment
good ^jj++++=good,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
later ^rbr+tm+++=later
the ^ati++++=the
promises ^nns++++=promises
appear ^vb+seem+++=appear
precisely ^rb++++=precisely
there ^rn+pl+++=there
where ^wrb+who+++=where
one ^cd1++++=one
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
for ^in++++=for
them ^pp3o+pp3+++=them
earlier ^jjr++++=earlier
without ^in++++=without
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
men ^nns++++=men
in ^in++++=in
themselves ^ppls+pp3+++=themselves
were ^vbd+bed+vrb++=were
nothing ^pn++++=nothing
which ^whp+who+++=which
attracted ^vbd+++xvbn+=attracted
me ^pp1o+pp1+++=me
very ^ql+amp+++=very
much ^ap++++=much.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
follower ^nn+nom+++=follower
of ^in++++=of
that ^dt+dem+++=that
freedom ^nn+nom+++=freedom
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
mentioned ^vbd+vpub++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
certainly ^rb++++=certainly
have ^vb+hv+aux++=have
preferred ^vprf+++xvbnx+=preferred
the ^ati++++=the
ocean ^nn++++=ocean
to ^in++++=to
the ^ati++++=the
way ^nn++++=way
out ^rp+pl+++=out
displayed ^vbd+++xvbn+=displayed
in ^in++++=in
the ^ati++++=the
dull ^jj+atrb+++=dull
gaze ^nn++++=gaze
of ^in++++=of
these ^dt+dem+++=these
men ^nns++++=men.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
any ^dti++++=any
case ^nn++++=case,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+++xvbnx+=observed
them ^pp3o+pp3+++=them
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
even ^cs+sub+++=even
thought ^vprf+++xvbn+=thought
about ^in++++=about
such ^abl++++=such
things ^nns++++=things
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
accumulated ^jj+atrb++xvbn+=accumulated
observations ^nns+nom+++=observations
first ^od++++=first
pushed ^vbd+++xvbn+=pushed
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
proper ^jj+atrb+++=proper
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
easy ^jj++++=easy
to ^to+jcmp+++=to
imitate ^nn+nom+++=imitate
these ^dt+dem+++=these
people ^nns++++=people.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
already ^rb++++=already
spit ^nn++++=spit
on ^in++++=on
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
to ^in++++=to
spit ^nn++++=spit
in ^in++++=in
each ^ppls++++=each
other's ^ppls++++=other's
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
difference ^nn+nom+++=difference
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
licked ^vbd+++xvbnx+=licked
my ^pp$+pp1+++=my
face ^nn++++=face
clean ^jj++++=clean
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
smoking ^vbg+++xvbgx+=smoking
a ^at++++=a
pipe ^nn++++=pipe
like ^in++++=like
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
also ^rb++++=also
pressed ^vbd+++xvbn+=pressed
my ^pp$+pp1+++=my
thumb ^nn++++=thumb
down ^in++++=down
into ^in++++=into
the ^ati++++=the
bowl ^nn++++=bowl
of ^in++++=of
the ^ati++++=the
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
area ^nn++++=area
between ^in++++=between
decks ^nns++++=decks
cheered ^vbd+++xvbn+=cheered.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
an ^at++++=an
empty ^jj++++=empty
and ^cc++++=and
a ^at++++=a
full ^jj+atrb+++=full
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
difficulty ^nn++++=difficulty
with ^in++++=with
the ^ati++++=the
bottle ^nn++++=bottle
of ^in++++=of
alcohol ^nn++++=alcohol.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smell ^nn++++=smell
was ^vbd+bedz+vrb++=was
torture ^nn++++=torture
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forced ^vbd+++xvbnx+=forced
myself ^ppl+pp1+++=myself
with ^in++++=with
all ^abn++++=all
my ^pp$+pp1+++=my
power ^nn++++=power,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
weeks ^nns++++=weeks
went ^vwbn+++xvbn+=went
by ^in++++=by
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
overcome ^vb+++xvbn+=overcome
my ^pp$+pp1+++=my
reaction ^nn+nom+++=reaction.
. ^zz++++=EXTRAWORD
Curiously ^rb++++=Curiously
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nn++++=people
took ^vbd+++xvbn+=took
this ^dt+dem+++=this
inner ^jjb+atrb+++=inner
struggle ^nn++++=struggle
more ^rbr++++=more
seriously ^rb++++=seriously
than ^in++++=than
anything ^pn++++=anything
else ^rb+cnj+++=else
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
memories ^nns++++=memories
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
distinguish ^vb++++=distinguish
the ^ati++++=the
people ^nn++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
who ^whp+rel+subj++=who
always ^rb++++=always
came ^vbd+++xvbn+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
or ^cc++++=or
with ^in++++=with
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
at ^rb++++=at
very ^ql+amp+++=very
different ^jj+atrb+++=different
times ^nns++++=times.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
stand ^vb++++=stand
with ^in++++=with
the ^ati++++=the
bottle ^nn++++=bottle
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
me ^pp1o+pp1+++=me
and ^cc++++=and
give ^vb++++=give
me ^pp1o+pp1+++=me
instructions ^nns+nom+++=instructions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
solve ^vbi++++=solve
the ^ati++++=the
riddle ^nn++++=riddle
of ^in++++=of
my ^pp$+pp1+++=my
being ^vbg+beg++xvbg+=being.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^vbd+++xvbnx+=used
to ^in++++=to
uncork ^nn+++??+=uncork
the ^ati++++=the
bottle ^nn++++=bottle
slowly ^rb++++=slowly
and ^cc+phrs+++=and
then ^rn+tm+++=then
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
understood ^vprf+++xvbnx+=understood.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
always ^rb++++=always
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
wildly ^rb++++=wildly
over ^in++++=over-eager
- ^zz++++=EXTRAWORD
eager ^jj+atrb+++=EXTRAWORD
attentiveness ^nns+nom+++=attentiveness.
. ^zz++++=EXTRAWORD
No ^at++++=No
human ^jj+atrb+++=human
teacher ^nn++++=teacher
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
found ^vprf+++xvbnx+=found
on ^in++++=on
the ^ati++++=the
entire ^jjb+atrb+++=entire
earthly ^jj+atrb+++=earthly
globe ^nn++++=globe
such ^abl++++=such
a ^at++++=a
student ^nn++++=student
of ^in++++=of
human ^jj+atrb+++=human
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
uncorked ^vprf+++xvbnx+=uncorked
the ^ati++++=the
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
raise ^vb++++=raise
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
gaze ^nn++++=gaze
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
right ^jj++++=right
into ^in++++=into
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
nod ^vb++++=nod,
, ^zz++++=EXTRAWORD
pleased ^j+++xvbn+=pleased
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vb+++xvbn+=set
the ^ati++++=the
bottle ^nn++++=bottle
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
Delighted ^j+++xvbn+=Delighted
with ^in++++=with
my ^pp$+pp1+++=my
gradual ^jj+atrb+++=gradual
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
squeal ^jj++++=squeal
and ^cc++++=and
scratch ^nn++++=scratch
myself ^ppl+pp1+++=myself
all ^abn++++=all
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
wherever ^nn+nom+++=wherever
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
convenient ^jj+pred+++=convenient.
