Poor ^jj+atrb+++=POOR
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
will ^md+prd+++=will
like ^vb++++=like
our ^pp$+pp1+++=our
pudding ^nn++++=pudding.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
rice ^np++++=rice,
, ^zz++++=EXTRAWORD
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
salt ^jj++++=salt
boiled ^jj+++xvbn+=boiled
together ^nn+nom+++=together."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
call ^vb++++=call
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Pudding ^nn++++=Pudding,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
quick ^jj++++=quick
flush ^rb+cnj+++=flush,
, ^zz++++=EXTRAWORD
half ^abn++++=half
resentful ^jj++++=resentful,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
over ^in++++=over
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
call ^vb++++=call
it ^pp3+it+++=it
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
Upbraiding ^np+++??+=Upbraiding
myself ^ppl+pp1+++=myself
for ^in++++=for
my ^pp$+pp1+++=my
inadvertence ^nn+nom+++=inadvertence,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
but ^cc++++=but
again ^rb+tm+++=again
think ^vb+vprv+++=think
to ^in++++=to
myself ^ppl+pp1+++=myself
what ^wdt+who+++=what
Blandmour ^np+++??+=Blandmour
would ^md+prd+++=would
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
those ^dt+dem+++=those
words ^nns++++=words
and ^cc++++=and
seen ^vprf++tht0+xvbn+=seen
that ^tht+vcmp+++=that
flush ^rb++++=flush.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
a ^at++++=a
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
footfall ^nn++++=footfall
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
scraping ^nn++++=scraping
at ^in++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
voice ^nn++++=voice
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
wife ^nn++++=wife;
; ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
again ^rb+tm+++=again
in ^in++++=in
a ^at++++=a
jif ^nn+++??+=jif
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
must ^md+nec+++=must
take ^vb++++=take
all ^abn++++=all
my ^pp$+pp1+++=my
meals ^nns++++=meals
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
be ^vb+be+vrb++=be
speedy ^nn+++??+=speedy;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
Squire ^nn++++=Squire
Good ^jj++++=Good-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
first ^rb++++=first
catching ^vbg+++xvbg+=catching
sight ^nn++++=sight
of ^in++++=of
me ^pp1o+pp1+++=me
as ^ql++++=as
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
toward ^in++++=toward
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
inquiringly ^rb+cnj+++=inquiringly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
stock ^nn++++=stock-still,
- ^zz++++=EXTRAWORD
still ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
moisture ^nn++++=moisture
oozed ^vbd+++xvbn+=oozed
from ^in++++=from
his ^pp$+pp3+++=his
patched ^jj+atrb+++=patched
boots ^nns++++=boots
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
gentleman ^nn+nom+++=gentleman
stops ^nns++++=stops
here ^rn+pl+++=here
awhile ^rb++++=awhile
to ^in++++=to
rest ^nn++++=rest
and ^cc++++=and
refresh ^vb++++=refresh:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
take ^vb++++=take
dinner ^nn++++=dinner
with ^in++++=with
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
All ^abn++++=All
will ^md+prd+++=will
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
now ^rn+tm+++=now
in ^in++++=in
a ^at++++=a
trice ^nn++++=trice
: ^zz++++=:
so ^ql++++=so
sit ^vb++++=sit
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pray ^vb+vsua+++=pray.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
" ^zz++++="William
william ^np++++=EXTRAWORD
there ^ex+pex+++=there
wants ^vbz++++=wants,
, ^zz++++=EXTRAWORD
of ^in++++=of
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
to ^to++++=to
carry ^vbi++++=carry
a ^at++++=a
cold ^jj+atrb+++=cold
meal ^nn++++=meal
into ^in++++=into
the ^ati++++=the
woods ^nns++++=woods
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
to ^to++++=to
save ^vbi++++=save
the ^ati++++=the
long ^rb++++=long
one-o ^nn+++??+=one-o'clock
'clock ^nn+++??+=EXTRAWORD
walk ^nn++++=walk
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
warm ^jj+atrb+++=warm
dinner ^nn++++=dinner
is ^vbz+bez+vrb++=is
more ^ql++++=more
than ^cs+sub+++=than
pay ^nn++++=pay
for ^in++++=for
the ^ati++++=the
long ^rb++++=long
walk ^nn++++=walk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
about ^in++++=about
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
William ^np++++=William,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
often ^rb++splt++=often
debated ^vprf+++xvbnx+=debated
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
whether ^cs+who+++=whether
it ^pp3+it+++=it
really ^rb+emph+++=really
paid ^vbd+++xvbn+=paid.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
much ^rb++++=much
odds ^vb++++=odds,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
way ^nn++++=way,
, ^zz++++=EXTRAWORD
between ^in++++=between
a ^at++++=a
wet ^jj+atrb+++=wet
walk ^nn++++=walk
after ^in++++=after
hard ^jj+atrb+++=hard
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wet ^jj+atrb+++=wet
dinner ^nn++++=dinner
before ^in++++=before
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
oblige ^vbi++++=oblige
a ^at++++=a
good ^jj+atrb+++=good
wife ^nn++++=wife
like ^in++++=like
Martha ^np+++??+=Martha.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
women ^nns++++=women
will ^md+prd+++=will
have ^vb+hv+vrb++=have
their ^pp$+pp3+++=their
whimseys ^nns+++??+=whimseys."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
they ^pp3a+pp3+++=they
all ^abn++++=all
had ^vb+hv+vrb++=had
as ^ql++++=as
kind ^nn++++=kind
whimseys ^nns+++??+=whimseys
as ^ql++++=as
your ^pp$+pp2+++=your
wife ^nn++++=wife
has ^vbz+hvz+vrb++=has,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
some ^dti++++=some
women ^nns++++=women
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
all ^abn++++=all
maple ^nn+++??+=maple-sugar;
- ^zz++++=EXTRAWORD
sugar ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
content ^nn++++=content
with ^in++++=with
dear ^jj+atrb+++=dear
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
much ^ap++++=much
about ^rp++++=about
others ^aps++++=others."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
find ^vb+vprv+++=find
rare ^jj+atrb+++=rare
wisdom ^nn++++=wisdom
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
mused ^vbd+++xvbn+=mused
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
too ^ql++++=too
tired ^jj+++xvbn+=tired,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
lend ^vb++++=lend
a ^at++++=a
hand ^nn++++=hand
to ^to++++=to
draw ^vbi++++=draw
the ^ati++++=the
table ^nn++++=table
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nay,"
nay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
" ^zz++++="let
let ^vb+++xvbn+=EXTRAWORD
him ^pp3o+pp3+++=him
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
help ^vb++++=help."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
William ^np++++=William,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
" ^zz++++="Sit
sit ^vb++++=EXTRAWORD
still ^jj+pred+++=still,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
table ^nn++++=table
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
in ^in++++=in
due ^jj+atrb+++=due
time ^nn++++=time
we ^pp1a+pp1+++=we
all ^abn++++=all
found ^vbd+vprv++xvbn+=found
ourselves ^ppls+pp1+++=ourselves
with ^in++++=with
plates ^nns++++=plates
before ^in++++=before
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Coulter ^np+++??+=Coulter
" ^zz++++="salt
salt ^jj+atrb+++=EXTRAWORD
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
rye ^nn++++=rye-bread,
- ^zz++++=EXTRAWORD
bread ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pudding ^nn++++=pudding.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
help ^vb++++=help
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
this ^dt+dem+++=this
pork ^nn++++=pork
of ^in++++=of
the ^ati++++=the
Squire ^nn++++=Squire;
; ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
year ^nn++++=year's
's ^$++++=EXTRAWORD
pork ^nn++++=pork,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
me ^pp1o+pp1+++=me
have ^vb+hv+vrb++=have
on ^in++++=on
account ^nn++++=account.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
quite ^abl++++=quite
as ^ql++++=as
sweet ^jj++++=sweet
as ^ql++++=as
this ^dt+dem+++=this
year ^nn++++=year's
's ^$++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
; ^zz++++=;
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
hearty ^jj++++=hearty
enough ^dt++++=enough
to ^in++++=to
work ^nn++++=work
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
I ^pp1a+pp1+++=I
eat ^vb++++=eat
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
let ^vb+++xvbn+=let
the ^ati++++=the
rheumatiz ^nn+++??+=rheumatiz
and ^cc++++=and
other ^ap++++=other
sicknesses ^nns+nom++??+=sicknesses
keep ^vb++++=keep
clear ^jj++++=clear
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
ask ^vb++++=ask
no ^at++++=no
flavors ^nns++++=flavors
or ^cc++++=or
favors ^nns++++=favors
from ^in++++=from
any ^dti++++=any.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
eat ^vb++++=eat
of ^in++++=of
the ^ati++++=the
pork ^nn++++=pork!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
gently ^rb++++=gently
and ^cc++++=and
gravely ^np++++=gravely,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
knows ^vbz+vprv+++=knows
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
this ^dt+dem+++=this
year ^nn++++=year's
's ^$++++=EXTRAWORD
and ^cc++++=and
last ^jj+atrb+++=last
year ^nn++++=year's
's ^$++++=EXTRAWORD
pork ^nn++++=pork.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
perhaps ^rb++++=perhaps
he ^pp3a+pp3+++=he
will ^md+prd+++=will
like ^vb++++=like
the ^ati++++=the
pudding ^nn++++=pudding."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
summoned ^vbd+++xvbnx+=summoned
up ^rp++++=up
all ^rb++++=all
my ^pp$+pp1+++=my
self ^nn++++=self-control,
- ^zz++++=EXTRAWORD
control ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smilingly ^rb++++=smilingly
assented ^vbd+++xvbn+=assented
to ^in++++=to
the ^ati++++=the
proposition ^nn+nom+++=proposition
of ^in++++=of
the ^ati++++=the
pudding ^nn++++=pudding,
, ^zz++++=EXTRAWORD
without ^in++++=without
by ^in++++=by
my ^pp$+pp1+++=my
looks ^nns++++=looks
casting ^vwbg+++xvbg+=casting
any ^dti++++=any
reflections ^nns+nom+++=reflections
upon ^in++++=upon
the ^ati++++=the
pork ^nn++++=pork.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
impossible ^jj+pred+++=impossible
for ^in++++=for
me ^pp1o+pp1+++=me
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
being ^vbg+beg++xvbg+=being
ravenous ^jj++++=ravenous,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
a ^rb++++=a
little ^rb"++++=little
hungry ^jj++++=hungry
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time)
) ^zz++++=EXTRAWORD
to ^to++++=to
eat ^vbi++++=eat
of ^in++++=of
the ^ati++++=the
latter ^ap++++=latter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
yellowish ^jj+atrb+++=yellowish
crust ^nn++++=crust
all ^abn++++=all
round ^in++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
rankish ^jj+pred+++=rankish,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
dame ^np++++=dame
did ^vbd+dod+aux++=did
not ^xnot++not++=not
eat ^vb++++=eat
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
suffered ^vbd+++xvbnx+=suffered
some ^dti++++=some
to ^to++++=to
be ^vbi+vbi+aux++=be
put ^vpsv++agls+xvbnx+=put
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
busy ^jj+pred+++=busy
with ^in++++=with
it ^pp3+it+++=it
when ^wrb+who+++=when
Coulter ^np+++??+=Coulter
looked ^vbd+++xvbn+=looked
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
ate ^vbd+++xvbnx+=ate
of ^in++++=of
the ^ati++++=the
rye ^nn++++=rye-bread,
- ^zz++++=EXTRAWORD
bread ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
pudding ^nn++++=pudding,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Coulter ^np+++??+=Coulter.
. ^zz++++=EXTRAWORD
" ^zz++++="Quick,
quick ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
wife ^nn++++=wife;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Squire ^nn++++=Squire
sits ^vbz++++=sits
in ^in++++=in
his ^pp$+pp3+++=his
sitting ^vbg+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
window ^nn++++=window,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
far ^rb+pl+++=far
out ^rp+pl+++=out
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
time ^nn++++=time-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
play ^vb++++=play
the ^ati++++=the
spy ^nn++++=spy
on ^in++++=on
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
good ^jj++++=good
enough ^dt++++=enough
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
work ^nn++++=work.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
particular ^jj++++=particular.
. ^zz++++=EXTRAWORD
Wife ^nn++++=Wife,
, ^zz++++=EXTRAWORD
help ^vb++++=help
the ^ati++++=the
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
lose ^vb++++=lose
the ^ati++++=the
Squire ^np++++=Squire's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
will ^md+prd+++=will
become ^vb++++=become
of ^in++++=of
" ^zz++++="
and ^cc++++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
look ^nn++++=look
for ^in++++=for
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
honored ^vbd+++xvbnx+=honored
humanity ^nn+nom+++=humanity,
, ^zz++++=EXTRAWORD
with ^in++++=with
sly ^jj+atrb+++=sly
significance ^nn+nom+++=significance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
toward ^in++++=toward
his ^pp$+pp3+++=his
wife ^nn++++=wife;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
changing ^vbg+++xvbg+=changing
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
