Of ^in++++=Of
sum ^nn++++=sum
of ^in++++=of
ten ^cd++++=ten
shillings ^nns+nom+++=shillings
each ^ppls++++=each
Miss ^npt++++=Miss
Strubble ^np++++=Strubble
acquired ^vbd+++xvbn+=acquired
the ^ati++++=the
drawings ^nns++++=drawings
of ^in++++=of
the ^ati++++=the
camel ^nn++++=camel
dying ^vwbg+++xvbg+=dying
in ^in++++=in
Upper ^jjb++++=Upper
Berkeley ^np++++=Berkeley
Street ^nn++++=Street
and ^cc++++=and
of ^in++++=of
the ^ati++++=the
giraffes ^nns+++??+=giraffes
quenching ^vwbg+++xvbg+=quenching
their ^pp$+pp3+++=their
thirst ^nn++++=thirst
in ^in++++=in
Trafalgar ^np+++??+=Trafalgar
Square ^nn++++=Square;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
price ^nn++++=price
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nougat ^np++++=Nougat-Jones
- ^zz++++=EXTRAWORD
jones ^np++++=EXTRAWORD
secured ^vbd+++xvbn+=secured
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
roosting ^xvbg+++xvbg+=roosting
sand ^nn++++=sand-grouse.
- ^zz++++=EXTRAWORD
grouse ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
more ^rbr++++=more
ambitious ^jj+atrb+++=ambitious
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
" ^zz++++="Wolves
wolves ^nps++++=EXTRAWORD
and ^cc++++=and
wapiti ^nn+++??+=wapiti
fighting ^vwbg+++xvbg+=fighting
on ^in++++=on
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
the ^ati++++=the
Athenaeum ^np+++??+=Athenaeum
Club ^nn++++=Club,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
a ^at++++=a
purchaser ^nn+nom+++=purchaser
at ^in++++=at
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now
what ^wdt+who+++=what
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
plans ^nns++++=plans?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
who ^whp+who+++=who
contributed ^vbd+++xvbn+=contributed
occasional ^jj+atrb+++=occasional
paragraphs ^nns++++=paragraphs
to ^in++++=to
an ^at++++=an
artistic ^jj++++=artistic
weekly ^jj++++=weekly.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
go ^vb++++=go
back ^jjb++++=back
to ^in++++=to
Stolpmunde ^np+++??+=Stolpmunde
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
ship ^nn++++=ship
sails ^nns++++=sails,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
artist ^nn++++=artist,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
return ^vb++++=return.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
work ^nn++++=work?
? ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
career ^nn++++=career
as ^in++++=as
painter ^nn++++=painter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
nossing ^vbg+++xvbgx+=nossing
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
starves ^nns+++??+=starves.
. ^zz++++=EXTRAWORD
Till ^cs+sub+++=Till
today ^nr+tm+++=today
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sold ^vprf+++xvbnx+=sold
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
sketches ^nns++++=sketches.
. ^zz++++=EXTRAWORD
To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
bought ^vprf+++xvbnx+=bought
a ^ap++++=a
few ^ap"++++=few,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
away ^in+pl+++=away
from ^in"++++=from
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
other ^ap++++=other
times ^nns++++=times,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
some ^dti++++=some
American ^nn+nom+++=American
? ^zz++++=?"
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
rich ^jj++++=rich
American ^jj++++=American,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
chuckled ^vbd+++xvbn+=chuckled
the ^ati++++=the
artist ^nn++++=artist.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
be ^vb+be+aux++=be
thanked ^vpsv++agls+xvbnx+=thanked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dash ^nn++++=dash
his ^pp$+pp3+++=his
car ^nn++++=car
right ^nn++++=right
into ^in++++=into
our ^pp$+pp1+++=our
herd ^nn++++=herd
of ^in++++=of
schwines ^nns+++??+=schwines
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
being ^vbg+beg+aux+xvbg+=being
driven ^vprf+++xvbn+=driven
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
of ^in++++=of
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
schwines ^nns+++??+=schwines
he ^pp3a+pp3+++=he
killed ^vbd+++xvbnx+=killed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
paid ^vbd+++xvbnx+=paid
all ^abn++++=all
damages ^nns+nom+++=damages.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paid ^vbd+++xvbnx+=paid
perhaps ^rb++++=perhaps
more ^ql++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
worth ^in+strn+++=worth,
, ^zz++++=EXTRAWORD
many ^ap++++=many
times ^nns++++=times
more ^rbr++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
fetched ^vprf+++xvbnx+=fetched
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
after ^in++++=after
a ^at++++=a
month ^nn++++=month
of ^in++++=of
fattening ^xvbg+++xvbg+=fattening,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry
to ^to++++=to
get ^vbi++++=get
on ^in+cmpx+++=on
to ^in++++=to
Dantzig ^np++++=Dantzig.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^cd1++++=one
is ^vbz+bez+vrb++=is
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry
one ^cd1++++=one
must ^md+nec+++=must
pay ^vb++++=pay
what ^wdt+who+++=what
one ^cd1++++=one
is ^vbz+bez+aux++=is
asked ^vpsv++agls+xvbnx+=asked.
. ^zz++++=EXTRAWORD
God ^np++++=God
be ^vb+be+aux++=be
thanked ^vpsv++agls+xvbnx+=thanked
for ^in++++=for
rich ^jj+atrb+++=rich
Americans ^nns+nom+++=Americans,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
always ^rb++++=always
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry
to ^to++++=to
get ^vbi++++=get
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
and ^cc++++=and
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
now ^rn+tm+++=now
so ^rb++++=so
plenty ^nn++++=plenty
of ^in++++=of
money ^nn++++=money;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
send ^vb++++=send
me ^pp1o+pp1+++=me
some ^dti++++=some
to ^to++++=to
pay ^vbi++++=pay
my ^pp$+pp1+++=my
debts ^nns++++=debts
and ^cc++++=and
come ^vb++++=come
home ^nr++++=home.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
start ^vb++++=start
on ^in++++=on
Monday ^nr++++=Monday
for ^in++++=for
Stolpmunde ^np+++??+=Stolpmunde
and ^cc++++=and
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
come ^vb++++=come
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
your ^pp$+pp2+++=your
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hyaenas ^vbz+++??+=hyaenas?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
good ^nn++++=good.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
too ^ql++++=too
big ^jj++++=big
to ^to++++=to
carry ^vbi++++=carry
to ^in++++=to
Stolpmunde ^np+++??+=Stolpmunde.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
burn ^vb++++=burn
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
time ^nn++++=time
he ^pp3a+pp3+++=he
will ^md+prd+++=will
be ^vb+be+aux++=be
forgotten ^vpsv++agls+xvbnx+=forgotten,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
present ^vb++++=present
Knopfschrank ^np+++??+=Knopfschrank
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
as ^ql++++=as
sore ^jj++++=sore
a ^at++++=a
subject ^nn++++=subject
as ^ql++++=as
Sledonti ^np+++??+=Sledonti
with ^in++++=with
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
frequenters ^nns+nom+++=frequenters
of ^in++++=of
the ^ati++++=the
nuremberg ^np++++=Nuremberg
restaurant ^nn+nom+++=Restaurant,
, ^zz++++=EXTRAWORD
owl ^np++++=Owl
street ^nn++++=Street,
, ^zz++++=EXTRAWORD
soho ^np++++=Soho.
. ^zz++++=EXTRAWORD
