Within ^in++++=Within
in ^in++++=in
the ^ati++++=the
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
very ^ql+amp+++=very
wicked ^jj+atrb+++=wicked
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
and ^cc++++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
go ^vb++++=go
back ^jjb+atrb+++=back
home ^nr++++=home.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
joke ^nn++++=joke?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
serious ^jj+atrb+++=serious
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
half ^nn++++=half
an ^at++++=an
hour ^nn++++=hour's
's ^$++++=EXTRAWORD
argument ^nn+nom+++=argument
the ^ati++++=the
conversation ^nn+nom+++=conversation
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
turned ^vpsv++agls+xvbnx+=turned
upon ^in++++=upon
a ^at++++=a
different ^jj+atrb+++=different
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
were ^vbd+bed+aux++=were
considering ^vbg+++xvbgx+=considering
the ^ati++++=the
respective ^jj+atrb+++=respective
merits ^nns++++=merits
of ^in++++=of
pale ^nn++++=pale
blue ^jj+atrb+++=blue
and ^cc+phrs+++=and
pink ^jj+atrb+++=pink
wall ^nn++++=wall-paper
- ^zz++++=EXTRAWORD
paper ^nn++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
old ^jj+atrb+++=old
colonial ^jj+atrb+++=colonial
mansion ^nn++++=mansion
of ^in++++=of
the ^ati++++=the
Atwoods ^np+++??+=Atwoods
in ^in++++=in
Dalesburg ^np+++??+=Dalesburg
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
decorated ^vpsv++agls+xvbnx+=decorated
after ^in++++=after
the ^ati++++=the
wedding ^nn++++=wedding.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
Johnny ^np++++=Johnny
confessed ^vbd+vpub++xvbn+=confessed
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shoe ^nn++++=shoe
merchant ^nn+nom+++=merchant
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
through ^rp++++=through
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
strike ^nn++++=strike
me ^pp1o+pp1+++=me
as ^ql++++=as
being ^jj+++xvbg+=being
a ^at++++=a
most ^ql+emph+++=most
extraordinary ^jj+atrb+++=extraordinary
young ^jj+atrb+++=young
scamp ^nn+++??+=scamp.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
managed ^vprf+++xvbn+=managed
this ^dt+dem+++=this
enterprise ^nn++++=enterprise
with ^in++++=with
good ^jj+atrb+++=good
business ^nns+nom+++=business
judgment ^nn+nom+++=judgment
my ^pp$+pp1+++=my
entire ^jjb+atrb+++=entire
stock ^nn++++=stock
of ^in++++=of
goods ^nns++++=goods
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
complete ^jj+atrb+++=complete
loss ^nn++++=loss.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
propose ^vb++++=propose
to ^to++++=to
dispose ^vbi++++=dispose
of ^in+ppvb+++=of
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
second ^od++++=second
invoice ^nn+++??+=invoice
of ^in++++=of
cockleburrs ^nn++++=cockleburrs
arrived ^vbd+++xvbn+=arrived
Johnny ^np++++=Johnny
loaded ^vbd+++xvbn+=loaded
them ^pp3o+pp3+++=them
and ^cc++++=and
the ^ati++++=the
remainder ^nn+nom+++=remainder
of ^in++++=of
the ^ati++++=the
shoes ^nns++++=shoes
into ^in++++=into
schooner ^nn+nom+++=schooner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sailed ^vbd+++xvbn+=sailed
down ^rp++++=down
the ^ati++++=the
coast ^nn++++=coast
to ^in++++=to
Alazan ^np+++??+=Alazan.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
dark ^nn++++=dark
and ^cc++++=and
diabolical ^jj+atrb+++=diabolical
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated
his ^pp$+pp3+++=his
success ^nns+nom+++=success:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
bag ^nn++++=bag
of ^in++++=of
money ^nn++++=money
and ^cc++++=and
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
shoestring ^nvbg+++xvbg+=shoestring.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
besought ^vprf+++xvbn+=besought
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
Uncle ^nn++++=Uncle
of ^in++++=of
the ^ati++++=the
waving ^jj+atrb++xvbg+=waving
goatee ^nn++++=goatee
and ^cc++++=and
starred ^jj+atrb+++=starred
vest ^nn++++=vest
to ^to++++=to
accept ^vbi+vprv+++=accept
his ^pp$+pp3+++=his
resignation ^nn+nom+++=resignation,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
lotus ^nn++++=lotus
no ^at++++=no
longer ^rbr++++=longer
lured ^xvbn+++xvbn+=lured
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hankered ^vbd+++xvbnx+=hankered
for ^in++++=for
the ^ati++++=the
spinach ^nn+++??+=spinach
and ^cc++++=and
cress ^nn++++=cress
of ^in++++=of
Dalesburg ^np+++??+=Dalesburg.
. ^zz++++=EXTRAWORD
The ^ati++++=The
services ^nns++++=services
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
William ^np++++=William
Terence ^np+nom+++=Terence
Keogh ^np+++??+=Keogh
as ^ql++++=as
acting ^jj+++xvbg+=acting
consul ^np++++=consul,
, ^zz++++=EXTRAWORD
pro ^&fw++++=pro
term ^nn++++=term.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
suggested ^vpsv++agls+xvbnx+=suggested
and ^cc++++=and
accepted ^jj+++xvbn+=accepted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Johnny ^np++++=Johnny
sailed ^vbd+++xvbn+=sailed
with ^in++++=with
the ^ati++++=the
Hemstetters ^nns+nom++??+=Hemstetters
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
shores ^nns++++=shores.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
slipped ^vbd+++xvbn+=slipped
into ^in++++=into
the ^ati++++=the
sinecure ^nn++++=sinecure
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
consulship ^nn+nom+++=consulship
with ^in++++=with
the ^ati++++=the
ease ^nn++++=ease
that ^tht+rel+++=that
never ^rb++++=never
left ^jj+++xvbn+=left
him ^pp3o+pp3+++=him
even ^rb++++=even
in ^in++++=in
such ^abl++++=such
high ^jj+atrb+++=high
places ^nns++++=places.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tintype ^nn+++??+=tintype
establishment ^nn+nom+++=establishment
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
to ^to++++=to
become ^vbi++++=become
a ^at++++=a
thing ^nn++++=thing
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
its ^pp$+it+++=its
deadly ^rb++++=deadly
work ^nn++++=work
along ^in++++=along
the ^ati++++=the
peaceful ^jj++++=peaceful
and ^cc+phrs+++=and
helpless ^jj++++=helpless
Spanish ^jj++++=Spanish
Main ^jjb++++=Main
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
effaced ^vpsv++agls+xvbnx+=effaced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
restless ^jj+atrb+++=restless
partners ^nns+nom+++=partners
were ^vbd+bed+vrb++=were
about ^md"++pmd"++=about
to ^md+prd+++=to
be ^vbi++vrb++=be
off ^in+pl+++=off
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
scouting ^jj+++xvbg+=scouting
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
slow ^jj+atrb+++=slow
ranks ^nns++++=ranks
of ^in++++=of
Fortune ^nn++++=Fortune.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
they ^pp3a+pp3+++=they
would ^md+prd+++=would
take ^vb++++=take
different ^jj+atrb+++=different
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
rumors ^nns++++=rumors
of ^in++++=of
a ^at++++=a
promising ^jj+atrb+++=promising
uprising ^nn++++=uprising
in ^in++++=in
Peru ^np++++=Peru;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thither ^rb++++=thither
the ^ati++++=the
martial ^jj+atrb+++=martial
Clancy ^np+++??+=Clancy
would ^md+prd+++=would
turn ^vb++++=turn
his ^pp$+pp3+++=his
adventurous ^jj+atrb+++=adventurous
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
figuring ^vbg+++xvbgx+=figuring
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind
and ^cc++++=and
on ^in++++=on
quires ^nns++++=quires
of ^in++++=of
Government ^nn+nom+++=Government
letter ^nn++++=letter-heads
- ^zz++++=EXTRAWORD
heads ^nns++++=EXTRAWORD
a ^at++++=a
scheme ^nn++++=scheme
that ^tht+rel+subj++=that
dwarfed ^vwbn+++xvbn+=dwarfed
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
misrepresenting ^xvbg+++xvbg+=misrepresenting
the ^ati++++=the
human ^jj+atrb+++=human
countenance ^nn+nom+++=countenance
upon ^in++++=upon
tin ^nn++++=tin.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
suits ^nns++++=suits
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="in
in ^in++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
a ^at++++=a
business ^nns+nom+++=business
proposition ^nn+nom+++=proposition
is ^vbz+bez+aux++=is
something ^pn++++=something
diversified ^vbd+++xvbn+=diversified
that ^dt+pdem+++=that
looks ^vbz++++=looks
like ^in++++=like
a ^at++++=a
longer ^rbr++++=longer
shot ^nn+++xvbn+=shot
than ^in++++=than
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is--something
-- ^--+clp+++=EXTRAWORD
something ^pn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
a ^at++++=a
genteel ^jj+atrb+++=genteel
graft ^nn+++??+=graft
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
worked ^vbd+++xvbn+=worked
enough ^qlp++++=enough
for ^in++++=for
the ^ati++++=the
correspondence ^nn+nom+++=correspondence
schools ^nns++++=schools
to ^to++++=to
be ^vbi+vbi+aux++=be
teaching ^vbg+vsua++xvbgx+=teaching
it ^pp3+it+++=it
by ^in++++=by
mail ^nn++++=mail.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
the ^ati++++=the
long ^rb++++=long
end ^nn++++=end;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have
at ^rb++++=at
least ^rb"++++=least
as ^in++++=as
good ^jj++++=good
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
win ^vbi++++=win
as ^in++++=as
a ^at++++=a
man ^nn++++=man
learning ^vb+++xvbg+=learning
to ^to+vcmp+++=to
play ^vbi++++=play
poker ^nn++++=poker
on ^in++++=on
an ^at++++=an
ocean ^nn++++=ocean
steamer ^np++++=steamer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
running ^nvbg+++xvbg+=running
for ^in++++=for
governor ^nn++++=governor
of ^in++++=of
Texas ^np++++=Texas
on ^in++++=on
the ^ati++++=the
Republican ^jj+atrb+++=Republican
ticket ^nn++++=ticket.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
cash ^nn++++=cash
in ^in++++=in
my ^pp$+pp1+++=my
winnings ^nns++++=winnings
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
any ^dti++++=any
widows ^nns++++=widows'
' ^zz++++=EXTRAWORD
and ^cc++++=and
orphans ^nns+nom+++=orphans'
' ^zz++++=EXTRAWORD
chips ^nns++++=chips
in ^in++++=in
my ^pp$+pp1+++=my
stack ^nn++++=stack."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
grass ^nn++++=grass-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
globe ^np++++=globe
was ^vbd+bedz+vrb++=was
the ^ati++++=the
green ^jj+atrb+++=green
table ^nn++++=table
on ^in++++=on
which ^whp+rel+pied++=which
Keogh ^np+++??+=Keogh
gambled ^vbd+++xvbn+=gambled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
games ^nns++++=games
he ^pp3a+pp3+++=he
played ^vbd+++xvbnx+=played
were ^vbd+bed+vrb++=were
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
invention ^nn+nom+++=invention.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
no ^at++++=no
grubber ^nn++++=grubber
after ^in++++=after
the ^ati++++=the
diffident ^jj+atrb+++=diffident
dollar ^nn++++=dollar.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
care ^vb++++=care
to ^to+vcmp+++=to
follow ^vbi+vprv+tht0++=follow
it ^pp3+it+++=it
with ^in++++=with
horn ^nn++++=horn
and ^cc++++=and
hounds ^nns++++=hounds.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
to ^to+vcmp+++=to
coax ^vbi++++=coax
it ^pp3+it+++=it
with ^in++++=with
egregious ^jj+atrb+++=egregious
and ^cc+phrs+++=and
brilliant ^jj+atrb+++=brilliant
flies ^nns++++=flies
from ^in++++=from
its ^pp$+it+++=its
habitat ^nn++++=habitat
in ^in++++=in
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
strange ^jj+atrb+++=strange
streams ^nns++++=streams.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Keogh ^np+++??+=Keogh
was ^vbd+bedz+vrb++=was
a ^at++++=a
business ^nns+nom+++=business
man ^nn++++=man;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
schemes ^nns++++=schemes,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
their ^pp$+pp3+++=their
singularity ^nn+nom+++=singularity,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
as ^cs+sub+++=as
solidly ^rb++++=solidly
set ^vbd+++xvbn+=set
as ^ql++++=as
the ^ati++++=the
plans ^nns++++=plans
of ^in++++=of
a ^at++++=a
building ^jj+atrb++xvbg+=building
contractor ^nn++++=contractor.
. ^zz++++=EXTRAWORD
In ^in++++=In
Arthur ^np++++=Arthur's
's ^$++++=EXTRAWORD
time ^nn++++=time
Sir ^npt++++=Sir
William ^np++++=William
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
Knight ^nn++++=Knight
of ^in++++=of
the ^ati++++=the
Round ^jj+atrb+++=Round
Table ^nn++++=Table.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
modern ^jj+atrb+++=modern
days ^nns++++=days
he ^pp3a+pp3+++=he
rides ^vbz++++=rides
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
the ^ati++++=the
Graft ^np+++??+=Graft
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
Grail ^np+++??+=Grail.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
days ^nns++++=days
after ^in++++=after
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
departure ^nn++++=departure,
, ^zz++++=EXTRAWORD
two ^cd++++=two
small ^jj+atrb+++=small
schooners ^nns+nom+++=schooners
appeared ^vbd+seem++xvbn+=appeared
off ^in+pl+++=off
Coralio ^np+++??+=Coralio.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
some ^dti++++=some
delay ^nn++++=delay
a ^at++++=a
boat ^nn++++=boat
put ^vbd+++xvbn+=put
off ^rb+phrv+++=off
from ^in++++=from
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
a ^at++++=a
sunburned ^jj+atrb++xvbn+=sunburned
young ^jj+atrb+++=young
man ^nn++++=man
ashore ^rb+pl+++=ashore.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
young ^jj+atrb+++=young
man ^nn++++=man
had ^vb+hv+vrb++=had
a ^at++++=a
shrewd ^jj+atrb+++=shrewd
and ^cc+phrs+++=and
calculating ^jj+atrb++xvbg+=calculating
eye ^nn++++=eye;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
with ^in++++=with
amazement ^nn+nom+++=amazement
at ^in++++=at
the ^ati++++=the
strange ^jj+atrb+++=strange
things ^nns++++=things
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach
some ^dti++++=some
one ^cd1++++=one
who ^whp+rel+subj++=who
directed ^vbd+++xvbn+=directed
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
consul ^np++++=consul's
's ^$++++=EXTRAWORD
office ^nn++++=office;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thither ^rb++++=thither
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
his ^pp$+pp3+++=his
way ^nn++++=way
at ^in++++=at
a ^at++++=a
nervous ^jj+atrb+++=nervous
gait ^nn++++=gait.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
was ^vbd+bedz+aux++=was
sprawled ^vpsv++agls+xvbnx+=sprawled
in ^in++++=in
the ^ati++++=the
official ^jj+atrb+++=official
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
caricatures ^nns+++??+=caricatures
of ^in++++=of
his ^pp$+pp3+++=his
Uncle ^np++++=Uncle's
's ^$++++=EXTRAWORD
head ^jjb++++=head
on ^in++++=on
an ^at++++=an
official ^jj+atrb+++=official
pad ^nn++++=pad
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
his ^pp$+pp3+++=his
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Johnny ^np++++=Johnny
Atwood ^np+++??+=Atwood?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
the ^ati++++=the
sunburned ^jj+atrb++xvbn+=sunburned
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
business ^nns+nom+++=business
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
" ^zz++++="Gone,"
gone ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
carefully ^rb++++=carefully
at ^rb++++=at
Uncle ^nn++++=Uncle
Sam ^np++++=Sam's
's ^$++++=EXTRAWORD
necktie ^nn+++??+=necktie.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
like ^in++++=like
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
nut ^nn++++=nut-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
against ^in++++=against
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
always ^rb++++=always
was ^vbd+bedz+vrb++=was
a ^at++++=a
fellow ^jjb++++=fellow
to ^in++++=to
gallivant ^nn+nom+++=gallivant
around ^rp++++=around
instead ^rb+cnj+++=instead
of ^in++++=of
' ^zz++++='tending
tending ^vb+++xvbg+=EXTRAWORD
to ^to+vcmp+++=to
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
he ^pp3a+pp3+++=he
be ^vb+be+vrb++=be
in ^in++++=in
soon ^rb+tm+++=soon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
fair ^jj+atrb+++=fair
amount ^nn++++=amount
of ^in++++=of
deliberation ^nn+nom+++=deliberation.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
out ^rp+pl+++=out
at ^in++++=at
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
tomfoolery ^nn+nom+++=tomfoolery,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
conjectured ^jj+++xvbn+=conjectured
the ^ati++++=the
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
of ^in++++=of
virtuous ^jj+atrb+++=virtuous
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
" ^zz++++="Johnny
johnny ^np++++=EXTRAWORD
never ^rb++++=never
would ^md+prd+++=would
stick ^vb++++=stick
to ^in++++=to
anything ^pn++++=anything
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
succeed ^vbi++++=succeed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
manages ^nns+nom+++=manages
to ^to+vcmp+++=to
run ^vbi++++=run
his ^pp$+pp3+++=his
business ^nns+nom+++=business
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
be ^vb+be+vrb++=be
' ^zz++++='round
round ^in++++=EXTRAWORD
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
looking ^vbg+++xvbgx+=looking
after ^in+ppvb+++=after
the ^ati++++=the
business ^nns+nom+++=business
just ^rb+emph+++=just
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
admitted ^vbd+vpub++xvbn+=admitted
the ^ati++++=the
pro ^&fw++++=pro
term ^nn++++=term.
. ^zz++++=EXTRAWORD
consul ^np++++=consul.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you--then,
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
say--where ^nn+++??+=say--where's
's ^$++++=EXTRAWORD
the ^ati++++=the
factory ^nn++++=factory?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
factory ^nn++++=factory?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mildly ^rb+down+++=mildly
polite ^jj+atrb+++=polite
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
factory ^nn++++=factory
where ^wrb+who+++=where
