Human ^jj+atrb+++=Human
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
decided ^vprf+++xvbnx+=decided
to ^to+vcmp+++=to
leave ^vbi++++=leave
and ^cc++++=and
was ^vbd+bedz+aux++=was
asking ^vbg+vsua++xvbgx+=asking
himself ^ppl+pp3+++=himself
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
should ^md+nec+++=should
next ^rb++splt++=next
abide ^vb++++=abide.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
his ^pp$+pp3+++=his
delights ^nns++++=delights
was ^vbd+bedz+aux++=was
to ^to++++=to
return ^vbi++++=return
to ^in++++=to
a ^at++++=a
house ^nn++++=house
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
quitted ^vprf+++xvbn+=quitted
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
to ^to++++=to
behold ^vbi++++=behold
the ^ati++++=the
excitement ^nn+nom+++=excitement
and ^cc++++=and
bustle ^nn++++=bustle
occasioned ^vwbn+++xvbn+=occasioned
by ^in++++=by
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
play ^nn++++=play
the ^ati++++=the
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
autocrat ^nn+++??+=autocrat
over ^in++++=over
grovelling ^xvbg+++xvbg+=grovelling
dependents ^nns++++=dependents.
. ^zz++++=EXTRAWORD
In ^in++++=In
every ^at++++=every
case ^nn++++=case,
, ^zz++++=EXTRAWORD
save ^vb++++=save
the ^ati++++=the
two ^cd++++=two
already ^rb++++=already
mentioned ^vbd+vpub++xvbn+=mentioned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
parted ^vprf+++xvbnx+=parted
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
landlady ^nn++++=landlady
on ^in++++=on
terms ^nns++++=terms
of ^in++++=of
friendliness ^nns+nom+++=friendliness,
, ^zz++++=EXTRAWORD
never ^rb++++=never
vouchsafing ^vbg+++xvbg+=vouchsafing
a ^at++++=a
reason ^nn++++=reason
for ^in++++=for
his ^pp$+pp3+++=his
going ^vbg+++xvbg+=going
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
genially ^rb++++=genially
eluding ^vbg+++xvbg+=eluding
every ^at++++=every
attempt ^nn++++=attempt
to ^to+ncmp+++=to
obtain ^vbi++++=obtain
an ^at++++=an
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
last ^ap++++=last
abounding ^jj++++=abounding
in ^in++++=in
graceful ^jj+atrb+++=graceful
recognition ^nn+nom+++=recognition
of ^in++++=of
all ^abn++++=all
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
shrank ^vbd+++xvbn+=shrank
from ^in++++=from
dispute ^nn++++=dispute,
, ^zz++++=EXTRAWORD
hated ^j+++xvbn+=hated
every ^at++++=every
sort ^nn++++=sort
of ^in++++=of
contention ^nn+nom+++=contention;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
characteristic ^nn++++=characteristic
gave ^vbd+++xvbn+=gave
a ^at++++=a
certain ^jj+atrb+++=certain
refinement ^nn+nom+++=refinement
to ^in++++=to
his ^pp$+pp3+++=his
otherwise ^rb+cnj+++=otherwise
commonplace ^jj+atrb+++=commonplace
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
Vulgar ^jj+atrb+++=Vulgar
vanity ^nn++++=vanity
would ^md+prd+++=would
have ^vb+hv+aux++=have
displayed ^vprf+++xvbnx+=displayed
itself ^ppl++++=itself
in ^in++++=in
precisely ^rb++++=precisely
the ^ati++++=the
acts ^nns++++=acts
and ^cc++++=and
words ^nns++++=words
from ^in++++=from
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
nervously ^rb++++=nervously
shrank ^vbd+++xvbn+=shrank.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
of ^in++++=of
late ^jj++++=late
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thinking ^vbg+++xvbgx+=thinking
over ^rb+phrv+++=over
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
landladies ^nns++++=landladies,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
half ^abn++++=half-formed
- ^zz++++=EXTRAWORD
formed ^vprf+++xvbn+=EXTRAWORD
desire ^nn++++=desire
to ^to+ncmp+++=to
settle ^vbi++++=settle
down ^rp++++=down,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
himself ^ppl+pp3+++=himself
a ^at++++=a
permanent ^jj+atrb+++=permanent
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
this ^dt+dem+++=this
state ^nn++++=state
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
betook ^nn+++??+=betook
himself ^ppl+pp3+++=himself
to ^in++++=to
a ^at++++=a
strange ^jj+atrb+++=strange
house ^nn++++=house,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
as ^in++++=as
from ^in"++++=from
neutral ^jj+atrb+++=neutral
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
reflect ^vb+vprv+++=reflect
upon ^in++++=upon
the ^ati++++=the
lodgings ^nns++++=lodgings
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
judge ^nn++++=judge
between ^in++++=between
their ^pp$+pp3+++=their
merits ^nns++++=merits.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
foresee ^vb++++=foresee
what ^wdt+who+++=what
awaited ^jj+++xvbn+=awaited
him ^pp3o+pp3+++=him
under ^in++++=under
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield's
's ^$++++=EXTRAWORD
roof ^nn++++=roof;
; ^zz++++=EXTRAWORD
the ^ati++++=the
event ^nn++++=event
impressed ^vwbn+++xvbn+=impressed
him ^pp3o+pp3+++=him
as ^in++++=as
providential ^jj++++=providential;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt,
, ^zz++++=EXTRAWORD
with ^in++++=with
singular ^jj+atrb+++=singular
emotion ^nn+nom+++=emotion,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
choice ^nn++++=choice
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Lodgings ^nns++++=Lodgings
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
more ^ql++++=more
than ^cs+sub+++=than
perfect ^jj++++=perfect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
his ^pp$+pp3+++=his
habit ^nn++++=habit
to ^in++++=to
chat ^nn++++=chat
with ^in++++=with
landladies ^nns++++=landladies.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
forth ^np++++=forth
to ^in++++=to
them ^pp3o+pp3+++=them
on ^in++++=on
some ^dti++++=some
topic ^nn++++=topic
of ^in++++=of
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
suavely ^jj++++=suavely,
, ^zz++++=EXTRAWORD
instructively ^jj++++=instructively;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
in ^in++++=in
to ^in++++=to
their ^pp$+pp3+++=their
ordinary ^jj+atrb+++=ordinary
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
a ^at++++=a
half ^abn++++=half-absent
- ^zz++++=EXTRAWORD
absent ^jj+atrb+++=EXTRAWORD
smile ^nn++++=smile
of ^in++++=of
condescension ^nn++++=condescension.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield
seeming ^vwbg+seem++xvbg+=seeming
as ^ql++++=as
little ^ap++++=little
disposed ^jj+++xvbn+=disposed
to ^to+jcmp+++=to
gossip ^vb++++=gossip
as ^ql++++=as
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
a ^at++++=a
month ^nn++++=month
elapsed ^vwbn+++xvbn+=elapsed
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
anything ^pn++++=anything
of ^in++++=of
her ^pp$+pp3+++=her
history ^nn++++=history;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
evening ^nn++++=evening
the ^ati++++=the
reserve ^nn++++=reserve
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
landlady ^nn++++=landlady
modestly ^rb++++=modestly
inquired ^vbd+++xvbn+=inquired
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
satisfaction ^nn+nom+++=satisfaction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
replied ^vbd+vpub++xvbn+=replied
with ^in++++=with
altogether ^nn+nom+++=altogether
unwonted ^jj+atrb++xvbn+=unwonted
fervour ^nn++++=fervour.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
dialogue ^nn++++=dialogue
that ^tht+rel+subj++=that
ensued ^vbd+++xvbn+=ensued,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
exchanged ^vbd+++xvbnx+=exchanged
personal ^jj+atrb+++=personal
confidences ^nns+nom+++=confidences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
widow ^nn++++=widow
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
her ^pp$+pp3+++=her
husband ^nn++++=husband
four ^cd++++=four
years ^nns++++=years
ago ^rb++++=ago;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
from ^in+ppvb+++=from
the ^ati++++=the
Midlands ^nns++++=Midlands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vb+hv+aux++=had
long ^rb++splt++=long
dwelt ^vprf+++xvbnx+=dwelt
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
fell ^vbd+++xvbn+=fell
from ^in++++=from
her ^pp$+pp3+++=her
lips ^nns++++=lips
a ^at++++=a
casual ^jj+atrb+++=casual
remark ^nn++++=remark
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
hearer ^jjr++++=hearer
uneasy ^jj++++=uneasy.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
always ^rb++splt++=always
stay ^vb++++=stay
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbourhood ^nn+nom+++=neighbourhood
is ^vbz+bez+vrb++=is
too ^ql++++=too
crowded ^jj+++xvbn+=crowded.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have
a ^at++++=a
house ^nn++++=house
somewhere ^rb++++=somewhere
further ^jjb++++=further
out ^rp+pl+++=out.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
comment ^nn+nom+++=comment
on ^in++++=on
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
kept ^vbd+++xvbn+=kept
a ^at++++=a
place ^nn++++=place
in ^in++++=in
his ^pp$+pp3+++=his
daily ^jj+atrb+++=daily
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
at ^rb++++=at
length ^rb"++++=length
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
an ^at++++=an
anxiety ^nn++++=anxiety
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
invited ^vbd+++xvbnx+=invited
a ^at++++=a
renewal ^nn++++=renewal
of ^in++++=of
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
intention ^nn+nom+++=intention
of ^in++++=of
moving ^xvbg+++xvbg+=moving
just ^rb+emph+++=just
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
landlady ^nn++++=landlady,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
respectful ^jj+atrb+++=respectful
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
' ^zz++++='that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
decided ^vprf+++xvbnx+=decided
to ^to+vcmp+++=to
make ^vbi++++=make
a ^at++++=a
change ^nn++++=change
next ^ap++++=next
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
friends ^nns++++=friends
of ^in++++=of
mine ^nn++++=mine
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
to ^to++++=to
live ^vbi++++=live
at ^rb++++=at
Wood ^nn++++=Wood
Green ^nn++++=Green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
look ^vb++++=look
for ^in++++=for
a ^at++++=a
house ^nn++++=house
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
neighbourhood ^nn+nom+++=neighbourhood.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^rb++++=in
private ^nn+nom+++=private,
, ^zz++++=EXTRAWORD
gravely ^rb++++=gravely
disturbed ^vwbn+++xvbn+=disturbed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
who ^whp+who+whq++=who
had ^vbd+hvd+aux++=had
flitted ^vprf+++xvbnx+=flitted
from ^in++++=from
house ^npl++++=house
to ^in++++=to
house ^npl++++=house
for ^in++++=for
many ^ap++++=many
years ^nns++++=years,
, ^zz++++=EXTRAWORD
distressing ^jj++++=distressing
the ^ati++++=the
souls ^nns++++=souls
of ^in++++=of
landladies ^nns++++=landladies,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
lamented ^vbd+++xvbn+=lamented
the ^ati++++=the
prospect ^nn++++=prospect
of ^in++++=of
a ^at++++=a
forced ^jj+atrb++xvbn+=forced
removal ^nn++++=removal.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
accompany ^vbi++++=accompany
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
shrank ^vbd+++xvbnx+=shrank
from ^in++++=from
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
living ^xvbg+++xvbg+=living
in ^in++++=in
so ^rb+emph+++=so
remote ^jj++++=remote
a ^at++++=a
district ^nn++++=district.
. ^zz++++=EXTRAWORD
Wood ^nn++++=Wood
Green ^nn++++=Green!
! ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
name ^nn++++=name
appalled ^vbd+++xvbn+=appalled
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
endure ^vb++++=endure
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
betook ^nn+++??+=betook
himself ^ppl+pp3+++=himself
one ^cd1++++=one
dreary ^jj+atrb+++=dreary
autumn ^nn++++=autumn
afternoon ^nn++++=afternoon
to ^in++++=to
that ^dt+dem+++=that
northern ^jj+atrb+++=northern
suburb ^nn++++=suburb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
reassure ^vb++++=reassure
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
way ^nn++++=way
back ^jjb++++=back
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
once ^rb+tm+++=once
more ^rbr++++=more
to ^in++++=to
review ^nn++++=review
the ^ati++++=the
list ^nn++++=list
of ^in++++=of
old ^jj+atrb+++=old
lodgings ^nns++++=lodgings.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
from ^in++++=from
that ^dt+dem+++=that
day ^nn++++=day
his ^pp$+pp3+++=his
conversations ^nns+nom+++=conversations
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
frequent ^jj++++=frequent,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
intimate ^jj++++=intimate.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
he ^pp3a+pp3+++=he
occasionally ^rb++++=occasionally
made ^vbd+++xvbn+=made
an ^at++++=an
excuse ^nn++++=excuse
for ^in++++=for
knocking ^xvbg+++xvbg+=knocking
at ^rb++++=at
her ^pp3o+pp3+++=her
parlour ^nn++++=parlour
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lingered ^vpsv++agls+xvbn+=lingered
for ^in++++=for
a ^at++++=a
talk ^nn++++=talk
which ^whp+rel+subj++=which
ended ^vbd+++xvbn+=ended
only ^rb+down+++=only
at ^rb++++=at
supper ^nn++++=supper
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
ready ^jj++++=ready
to ^to+jcmp+++=to
do ^vbi++++=do
so ^ql++++=so
as ^ql++++=as
his ^pp$+pp3+++=his
hearer ^jjr++++=hearer
manifested ^jj+++xvbn+=manifested
a ^at++++=a
genuine ^jj+atrb+++=genuine
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
without ^in++++=without
impertinent ^jj+atrb+++=impertinent
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
by ^in++++=by
little ^jj++++=little
he ^pp3a+pp3+++=he
imparted ^vbd+++xvbnx+=imparted
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elderfield ^np++++=Elderfield
a ^at++++=a
complete ^jj+atrb+++=complete
knowledge ^nn++++=knowledge
of ^in++++=of
his ^pp$+pp3+++=his
commercial ^jj+atrb+++=commercial
history ^nn++++=history,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
pecuniary ^nn+nom+++=pecuniary
standing ^vwbg+++xvbg+=standing--matters
-- ^--+clp+++=EXTRAWORD
matters ^nns+nom+++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
never ^rb++++=never
before ^in++++=before
spoken ^nn++++=spoken
to ^in++++=to
a ^at++++=a
mere ^jjb+atrb+++=mere
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
A ^at++++=A
change ^nn++++=change
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
over ^rp++++=over
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
foundations ^nns+nom+++=foundations
of ^in++++=of
habit ^nn++++=habit
crumbled ^jj++++=crumbled
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
feet ^nns++++=feet;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
look ^nn++++=look
of ^in++++=of
complacence ^nn+nom+++=complacence,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
self ^nn++++=self-confident
- ^zz++++=EXTRAWORD
confident ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
superior ^jj+atrb+++=superior
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
Bar ^nn++++=Bar-parlours
- ^zz++++=EXTRAWORD
parlours ^nns+++??+=EXTRAWORD
and ^cc++++=and
billiard ^nn++++=billiard-rooms
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him
but ^cc++++=but
rarely ^rb++++=rarely
and ^cc++++=and
flittingly ^jj++++=flittingly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
lost ^vbd+++xvbn+=lost
his ^pp$+pp3+++=his
pleasure ^nn++++=pleasure
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Islington ^np+++??+=Islington,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spent ^vbd+++xvbn+=spent
all ^abn++++=all
his ^pp$+pp3+++=his
spare ^jj+atrb+++=spare
time ^nn++++=time
by ^in++++=by
the ^ati++++=the
fireside ^nn++++=fireside,
, ^zz++++=EXTRAWORD
perpetually ^rb++++=perpetually
musing ^vbg+++xvbg+=musing.
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
day ^nn++++=day
in ^in++++=in
March ^nn++++=March
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
landladies ^nns++++=landladies,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Higdon ^np++++=Higdon,
, ^zz++++=EXTRAWORD
sped ^j+++xvbn+=sped
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
another ^dt++++=another,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Evans ^np++++=Evans,
, ^zz++++=EXTRAWORD
panting ^vbg+++xvbg+=panting
under ^in++++=under
a ^at++++=a
burden ^nn++++=burden
of ^in++++=of
strange ^jj+atrb+++=strange
news ^nn++++=news.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
it ^pp3+it+++=it
be ^vb+be+aux++=be
believed ^vpsv++agls+xvbnx+=believed!
! ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
marry ^vb++++=marry--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
marry ^vbi++++=marry
that ^dt+dem+++=that
woman ^nn++++=woman
in ^in++++=in
whose ^whp+rel+pied++=whose
house ^nn++++=house
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living!
! ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Higdon ^np++++=Higdon
had ^vb+hv+vrb++=had
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
very ^ql+amp+++=very
best ^jjt+atrb+++=best
authority ^nn+nom+++=authority--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan's
's ^$++++=EXTRAWORD
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair
without ^in++++=without
reserve ^nn++++=reserve.
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
house ^npl++++=house
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken--at
-- ^--+clp+++=EXTRAWORD
at ^rb++++=EXTRAWORD
Wood ^nn++++=Wood
Green ^nn++++=Green.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well!
! ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all
these ^dt+dem+++=these
years ^nns++++=years,
, ^zz++++=EXTRAWORD
after ^in++++=after
so ^ql++++=so
many ^ap++++=many
excellent ^jj+atrb+++=excellent
opportunities ^nns+nom+++=opportunities,
, ^zz++++=EXTRAWORD
to ^to++++=to
marry ^vbi++++=marry
a ^at++++=a
mere ^jjb+atrb+++=mere
stranger ^nn+nom+++=stranger
and ^cc++++=and
forsake ^nn+++??+=forsake
Islington ^np+++??+=Islington!
