Half ^abn++++=Half
straight ^jj++++=straight.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
bent ^vpsv++by+xvbnx+=bent
by ^in++++=by
many ^ap++++=many
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
will ^md+prd+++=will
come ^vb++++=come
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
away ^rb+phrv+++=away
the ^ati++++=the
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
will ^md+prd+++=will
become ^vb++++=become
straight ^jj++++=straight
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
arms ^nns++++=arms
must ^md+nec+++=must
then ^rn+tm+splt++=then
keep ^vb++++=keep
them ^pp3o+pp3+++=them
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+tht0++=wish
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
some ^dti++++=some
pappooses ^nns+++??+=pappooses
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
might ^md+pos+++=might
shoot ^vb++++=shoot
arrows ^nns++++=arrows
into ^in++++=into
your ^pp$+pp2+++=your
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
help ^vb++++=help
much ^ap++++=much
to ^to++++=to
torment ^nn+nom+++=torment
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
have ^vb+hv+vrb++=have
this ^dt+dem+++=this
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
no ^at++++=no
pappooses ^nn++++=pappooses.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
afraid ^jj+pred+++=afraid
to ^to+jcmp+++=to
let ^vbi++++=let
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
men ^nns++++=men
shoot ^vb++++=shoot
arrows ^nns++++=arrows
into ^in++++=into
your ^pp$+pp2+++=your
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
strong ^jj+pred+++=strong,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
kill ^vb++++=kill
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
to ^to++++=to
die ^vbi++++=die
between ^in++++=between
the ^ati++++=the
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
right ^nn++++=right,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
so ^ql++++=so
great ^np++++=great
a ^at++++=a
brave ^nn++++=brave.
. ^zz++++=EXTRAWORD
" ^zz++++="Brother,
brother ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
think ^vb+vprv+++=think
much ^ap++++=much
better ^jjr++++=better
of ^in++++=of
you ^pp2+pp2+++=you
since ^cs+sub+++=since
you ^pp2+pp2+++=you
killed ^vbd+++xvbn+=killed
The ^ati++++=The
Weasel ^nn++++=Weasel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurt ^vbd+++xvbn+=hurt
our ^pp$+pp1+++=our
young ^jj+atrb+++=young
men ^nns++++=men.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
all ^abn++++=all
your ^pp$+pp2+++=your
warriors ^nns++++=warriors
at ^in++++=at
Chicago ^np++++=Chicago
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
as ^ql++++=as
bold ^np++++=bold
as ^ql++++=as
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Black ^jj++++=Black-Bird
- ^zz++++=EXTRAWORD
bird ^nn++++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
that ^dt+dem+++=that
fort ^nn++++=fort.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
many ^ap++++=many
scalps ^nns+++??+=scalps.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
encourages ^nns+nom+++=encourages
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
us ^pp1o+pp1+++=us
think ^vb+vprv+++=think
the ^ati++++=the
Great ^jj+atrb+++=Great
Spirit ^nn++++=Spirit
means ^nn++++=means
to ^to++++=to
help ^vbi++++=help
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
kill ^vb++++=kill
all ^abn++++=all
the ^ati++++=the
pale ^jj++++=pale-faces.
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
get ^vb++++=get
further ^jjb++++=further
into ^in++++=into
your ^pp$+pp2+++=your
settlements ^nns+nom+++=settlements,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
meet ^vbi++++=meet
many ^ap++++=many
such ^abl++++=such
braves ^nns++++=braves
as ^ql++++=as
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
tell ^vb++++=tell
us ^pp1o+pp1+++=us
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
then ^rn+tm+splt++=then
find ^vb+vprv+++=find
men ^nns++++=men
who ^whp+rel+subj++=who
will ^md+prd+++=will
run ^vb+++xvbn+=run,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
screech ^nn++++=screech
like ^in++++=like
women ^nns++++=women.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
a ^at++++=a
pleasure ^nn++++=pleasure
to ^to++++=to
torment ^nn+nom+++=torment
such ^abl++++=such
men ^nns++++=men.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+aux++=had
rather ^rb++splt++=rather
torment ^nn+nom+++=torment
a ^at++++=a
bold ^jj+atrb+++=bold
warrior ^nn++++=warrior,
, ^zz++++=EXTRAWORD
like ^in++++=like
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
makes ^vbz++++=makes
us ^pp1o+pp1+++=us
admire ^vb++++=admire
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
manliness ^nns+nom+++=manliness.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
love ^vb++++=love
our ^pp$+pp1+++=our
squaws ^nns+++??+=squaws,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
war ^nn++++=war-path.
- ^zz++++=EXTRAWORD
path ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
best ^jjt+pred+++=best
in ^in++++=in
the ^ati++++=the
lodges ^nns+++??+=lodges;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
we ^pp1a+pp1+++=we
want ^vb++++=want
nothing ^pn++++=nothing
but ^cc++++=but
men ^nns++++=men.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
man ^nn++++=man
a ^at++++=a
brave ^jj++++=brave
we ^pp1a+pp1+++=we
honor ^nn++++=honor
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
notwithstanding ^in+strn+++=notwithstanding,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
yet ^rb++splt++=yet
make ^vb++++=make
you ^pp2+pp2+++=you
weak ^jj++++=weak.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
we ^pp1a+pp1+++=we
hope ^vb++++=hope
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
try ^vb++++=try.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
may ^md+pos+++=may
not ^xnot++not++=not
think ^vb+vprv+++=think
quite ^abl++++=quite
so ^ql++++=so
well ^rb++++=well
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
always ^rb++splt++=always
call ^vb++++=call
you ^pp2+pp2+++=you
a ^at++++=a
brave ^nn++++=brave.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
all ^rb++splt++=all
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
all ^abn++++=all
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
in ^in++++=in
our ^pp$+pp1+++=our
power ^nn++++=power,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
can ^md+pos+++=can
do ^vb+do+vrb++=do
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
so ^rb++++=so
with ^in++++=with
Injins ^np+++??+=Injins;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
so ^rb++++=so
with ^in++++=with
pale ^jj++++=pale-faces.
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
try ^vbi++++=try
and ^cc+phrs+++=and
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
corporal ^npt+nom+++=corporal
understood ^vwbn+vprv++xvbn+=understood
very ^ql+amp+++=very
little ^ap++++=little
of ^in++++=of
this ^dt+dem+++=this
harangue ^nn+++??+=harangue,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
perfectly ^rb+amp+++=perfectly
comprehended ^vbd+++xvbn+=comprehended
the ^ati++++=the
preparations ^nns+nom+++=preparations
of ^in++++=of
the ^ati++++=the
saplings ^nns+nom+++=saplings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bough ^nn++++=Bough
of ^in++++=of
the ^ati++++=the
Oak ^np++++=Oak's
's ^$++++=EXTRAWORD
allusions ^nns++++=allusions
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
cold ^jj+atrb+++=cold
sweat ^nn++++=sweat
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
for ^in++++=for
resolute ^jj++++=resolute
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
foresaw ^vbd+++xvbnx+=foresaw
sufferings ^nns++++=sufferings
that ^tht+rel+++=that
human ^jj+atrb+++=human
fortitude ^nn++++=fortitude
could ^md+pos+++=could
hardly ^rb+down+splt++=hardly
endure ^vb++++=endure.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
state ^nn++++=state
of ^in++++=of
the ^ati++++=the
case ^nn++++=case,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
frame ^nn++++=frame
of ^in++++=of
mind ^nn++++=mind
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
recourse ^nn++++=recourse
to ^in++++=to
an ^at++++=an
expedient ^nn++++=expedient
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
often ^rb++splt++=often
heard ^vprf+++xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
might ^md+pos+++=might
now ^rn+tm+++=now
be ^vb+be+aux++=be
practised ^vpsv++agls+xvbnx+=practised
to ^in++++=to
some ^dti++++=some
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
to ^in++++=to
open ^jj++++=open
upon ^in++++=upon
the ^ati++++=the
savages ^nns+nom+++=savages
with ^in++++=with
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
exasperate ^nn+nom+++=exasperate
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
by ^in++++=by
taunts ^nns++++=taunts
and ^cc++++=and
sarcasm ^nn++++=sarcasm,
, ^zz++++=EXTRAWORD
to ^in++++=to
such ^abl++++=such
a ^at++++=a
degree ^nn++++=degree
as ^ql++++=as
might ^md+pos+++=might
induce ^vb++++=induce
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
weaker ^jjr+atrb+++=weaker
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
tribe ^nn++++=tribe
to ^in++++=to
dispatch ^nn++++=dispatch
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
the ^ati++++=the
saplings ^nns+nom+++=saplings
before ^in++++=before
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
manifested ^j+++xvbn+=manifested
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
ingenuity ^nn+nom+++=ingenuity
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
record ^vb+vpub+++=record
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
efforts ^nns++++=efforts.
. ^zz++++=EXTRAWORD
" ^zz++++="D'ye
do ^do+do+aux++0=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
call ^vb++++=call
yourselves ^ppls+pp2+++=yourselves
chiefs ^nns++++=chiefs
and ^cc++++=and
warriors ^nns++++=warriors?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
pretty ^rb++++=pretty
high ^jj++++=high
key ^jjb++++=key.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
call ^vb++++=call
ye ^pp2+pp2+++=ye
squaws ^nns+++??+=squaws!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
man ^nn++++=man
among ^in++++=among
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
Dogs ^nns++++=Dogs
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
best ^jjt+atrb+++=best
name ^nn++++=name.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
poor ^jj+atrb+++=poor
Injins ^np+++??+=Injins.
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
came ^vbd+++xvbn+=came
here ^rn+pl+++=here
in ^in++++=in
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
little ^jj+atrb+++=little
canoes ^nns++++=canoes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
but ^cc++++=but
a ^at++++=a
handful ^nn+nom+++=handful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
plentier ^jjr+pred+++=plentier
than ^in++++=than
prairie ^nn++++=prairie
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
bark ^nn++++=bark
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
throughout ^in++++=throughout
the ^ati++++=the
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
this ^dt+dem+++=this
handful ^nn+nom+++=handful
of ^in++++=of
pale ^jj++++=pale-faces?
- ^zz++++=EXTRAWORD
faces ^vbz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
drove ^vbd+++xvbn+=drove
your ^pp$+pp2+++=your
fathers ^nns+nom+++=fathers
before ^in++++=before
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
all ^abn++++=all
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
the ^ati++++=the
hunting ^jj+++xvbg+=hunting-grounds.
- ^zz++++=EXTRAWORD
grounds ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
an ^at++++=an
Injin ^np+++??+=Injin
of ^in++++=of
you ^pp2+pp2+++=you
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
get ^vb++++=get
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
shores ^nns++++=shores
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
salt ^jj+atrb+++=salt
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
to ^to++++=to
sell ^vbi++++=sell
brooms ^nns++++=brooms
and ^cc++++=and
baskets ^nns++++=baskets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
sneaking ^jj++++=sneaking
like ^in++++=like
a ^at++++=a
wolf ^nn++++=wolf
after ^in++++=after
a ^at++++=a
sheep ^nn++++=sheep.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
how ^wrb+who+whcl++=how
clams ^nns+++??+=clams
and ^cc++++=and
oysters ^nns+nom+++=oysters
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
fathers ^nns+nom+++=fathers
had ^vb+hv+vrb++=had
as ^ql++++=as
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
as ^ql++++=as
they ^pp3a+pp3+++=they
could ^md+pos+++=could
eat ^vb++++=eat;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you
ever ^rb++++=ever
tasted ^vprf+++xvbn+=tasted
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
eat ^vb++++=eat
them ^pp3o+pp3+++=them
all ^rb++++=all.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
an ^at++++=an
Injun ^nn++++=Injun
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
throw ^vb++++=throw
the ^ati++++=the
shell ^nn++++=shell
at ^in++++=at
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
call ^nn++++=call
him ^pp3o+pp3+++=him
a ^at++++=a
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
chiefs ^nns++++=chiefs
would ^md+prd+++=would
hang ^vb++++=hang
one ^pn++++=one
of ^in++++=of
you ^pp2+pp2+++=you
between ^in++++=between
two ^cd++++=two
such ^abl++++=such
miserable ^jj+atrb+++=miserable
saplings ^nns+nom+++=saplings
as ^in++++=as
these ^dt+pdem+++=these?
? ^zz++++=EXTRAWORD
No ^at++++=No!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
scorn ^vb++++=scorn
to ^in++++=to
practice ^nn++++=practice
such ^abl++++=such
pitiful ^jj+atrb+++=pitiful
torture ^nn++++=torture.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
bring ^vb++++=bring
the ^ati++++=the
tops ^nns++++=tops
of ^in++++=of
two ^cd++++=two
tall ^jj+atrb+++=tall
pines ^nns++++=pines
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
trees ^nns++++=trees
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
their ^pp$+pp3+++=their
prisoner ^nn+nom+++=prisoner
on ^in++++=on
the ^ati++++=the
topmost ^nn+++??+=topmost
boughs ^nns++++=boughs,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
crows ^nns+++??+=crows
and ^cc++++=and
ravens ^nns+++??+=ravens
to ^to++++=to
pick ^vbi++++=pick
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
miserable ^jj+atrb+++=miserable
Injins ^np+++??+=Injins!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
know ^vb+vprv+++=know'd
'd ^md+prd+vrb++0=EXTRAWORD
any ^dti++++=any
better ^jjr++++=better,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
you ^pp2+pp2+++=you
act ^nn++++=act
such ^abl++++=such
poor ^jj+atrb+++=poor
torment ^nn+nom+++=torment
ag ^nn++++=ag'in'
'in' ^nn+++??+=EXTRAWORD
a ^at++++=a
great ^jj++++=great
brave ^jj++++=brave?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
spit ^nn++++=spit
upon ^in++++=upon
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
call ^vb++++=call
you ^pp2+pp2+++=you
squaws ^nns+++??+=squaws.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^nns++++=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
women ^nns++++=women
of ^in++++=of
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
out ^rp+pl+++=out
your ^pp$+pp2+++=your
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
pieces ^nns++++=pieces
of ^in++++=of
dog ^nn++++=dog's
's ^$++++=EXTRAWORD
flesh ^nn++++=flesh
in ^in++++=in
their ^pp$+pp3+++=their
places ^nns++++=places."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
corporal ^nn+nom+++=corporal,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
delivered ^vbd+++xvbn+=delivered
himself ^ppl+pp3+++=himself
with ^in++++=with
an ^at++++=an
animation ^nn+nom+++=animation
suited ^vwbn+++xvbn+=suited
to ^in++++=to
his ^pp$+pp3+++=his
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
pause ^vbi++++=pause,
, ^zz++++=EXTRAWORD
literally ^rb++++=literally
for ^in++++=for
want ^in"++++=want
of ^in"++++=of
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Singular ^jj++++=Singular
as ^ql++++=as
it ^pp3+it+++=it
may ^md+pos+++=may
seem ^vb+seem+++=seem,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
tirade ^nn++++=tirade
excited ^vbd+++xvbn+=excited
great ^np++++=great
admiration ^nn+nom+++=admiration
among ^in++++=among
the ^ati++++=the
savages ^nns+nom+++=savages.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
very ^ql+amp+++=very
few ^ap++++=few
understood ^vprf+++xvbn+=understood
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
no ^at++++=no
one ^cd1++++=one
understood ^vbd+vprv++xvbn+=understood
all ^abn++++=all,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
manner ^nn++++=manner
was ^vbd+bedz+aux++=was
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
admirable ^jj+pred+++=admirable.
